name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1g2k_209	48.399206	41.028635	24.344746	9.555930	-6.086600	-26.744419	-61.943692	-97.725265	-116.221838	-133.263672	-140.630700	-142.440062	38.354586	38.091913	36.025423	40.554802	44.293493	52.990858	61.904244	74.292691	90.451185	95.831542	103.342357	104.456369	53.311442	50.518629	45.371962	41.811075	42.192024	40.099211	35.856361	36.584414	44.061838	53.836424	64.862891	78.509065	36.413004	31.413200	27.626550	23.549705	23.610355	20.563488	15.463790	11.040682	6.229477	-3.380045	-14.140488	-24.659363	-163.731946	-545.708083	-1129.242130	-1855.688665	-2847.681827	-4151.543292	-5890.764051	-7912.836879	-9949.626399	-11870.160425	-13683.016861	-15241.882951	43.322172	42.161699	42.723833	51.444483	62.606967	78.709709	93.524532	110.622242	129.856343	136.392473	144.379939	145.469185	-155.819946	-554.534256	-1198.425688	-2039.880564	-3185.228121	-4685.965002	-6650.319377	-8870.554406	-11032.154638	-12985.545914	-14788.720114	-16312.826191	42.975314	38.533048	35.344913	31.033063	29.832818	25.971388	20.784289	16.066034	10.683651	1.696050	-7.730194	-16.854481	82
1g2k_225	6.922043	-3.528519	-20.603853	-36.112499	-54.099652	-73.670293	-110.357983	-145.765071	-170.229519	-183.231062	-192.734863	-194.040706	2.170190	-3.737776	-5.927493	-0.329343	1.715934	13.218934	22.278921	33.042854	44.629786	54.432173	61.549658	63.127407	10.227413	5.166978	-0.946975	-4.831068	-6.483495	-8.080036	-13.543520	-12.963312	-7.349730	2.966643	13.500690	27.542666	-0.591023	-10.303816	-14.616477	-16.607377	-18.261807	-19.800100	-25.483394	-31.164369	-37.179082	-46.304819	-56.974510	-67.253376	-199.299600	-569.009836	-1145.489354	-1872.154509	-2863.920364	-4183.678559	-5955.314916	-7946.279636	-10014.154871	-11944.938519	-13808.609570	-15373.669852	5.200513	-1.483350	-0.883875	8.216502	18.071500	37.380015	52.621561	67.860987	82.659365	93.663437	101.343398	102.888885	-193.551202	-580.830265	-1218.697497	-2051.802386	-3201.097753	-4724.529660	-6727.616562	-8908.518003	-11101.091783	-13069.934758	-14926.207692	-16455.500316	3.951335	-5.074795	-8.570071	-11.392086	-13.874100	-15.966715	-21.632981	-27.657130	-34.205552	-42.697942	-52.050732	-60.921766	82
1g2k_242	8.673661	-7.825613	-26.017828	-38.265908	-54.503412	-75.128848	-111.784126	-146.977563	-173.265189	-189.392697	-198.243303	-199.506327	-1.976365	-17.042033	-21.789027	-13.127050	-10.298110	-0.535568	10.238822	24.279817	36.542036	46.158907	52.733449	54.256632	10.987835	-0.523967	-7.447681	-7.609956	-8.986409	-10.332239	-15.375059	-14.863711	-10.054623	-0.627244	10.524211	24.629238	-7.195559	-25.636531	-31.350952	-29.878571	-31.244823	-32.620048	-36.534655	-40.389250	-46.186758	-55.127925	-65.959764	-76.467066	-189.899753	-533.415580	-1087.933822	-1809.100095	-2769.080559	-4067.224235	-5846.937788	-7879.835186	-10004.041228	-12015.417767	-13865.852323	-15443.590208	5.382296	-10.045430	-12.495994	0.230879	10.315686	27.911226	45.082931	63.939638	79.679227	90.688108	97.759511	99.254445	-179.768095	-535.474777	-1147.073535	-1981.815233	-3093.116463	-4592.086443	-6610.664157	-8844.509298	-11100.965734	-13156.567448	-14995.780961	-16537.080890	1.746013	-15.860284	-21.104819	-19.793945	-22.289148	-24.040479	-27.858270	-31.963333	-38.255711	-46.592663	-56.079428	-65.163147	82
1g2k_247	7.430608	-11.660099	-29.394291	-42.271427	-61.361401	-83.301351	-119.822284	-155.801488	-178.194223	-194.730646	-200.768016	-202.708723	1.242548	-10.362753	-12.814970	-5.442747	-4.328597	3.532697	13.292130	23.539363	39.353116	45.533902	53.283296	54.752900	9.948479	-3.287044	-8.837657	-10.864198	-14.139454	-16.686837	-21.720972	-22.310578	-16.157642	-6.861607	4.920828	18.829336	-2.219335	-17.170311	-21.109320	-22.260668	-25.291720	-28.324375	-33.183838	-39.959099	-44.527315	-54.720529	-65.400220	-75.583921	-186.623570	-583.261603	-1186.072921	-1914.100248	-2908.144040	-4207.071244	-5981.439116	-7973.495394	-10084.054490	-12020.069868	-13817.917056	-15395.885690	3.968725	-9.169038	-8.589853	2.316416	11.027546	26.193890	42.182669	56.911069	76.168470	83.504335	91.694618	93.158125	-182.082377	-594.762528	-1262.204143	-2098.426593	-3246.333870	-4740.152975	-6749.472913	-8933.418211	-11178.345936	-13148.415071	-14932.868735	-16476.178470	1.900750	-13.020866	-15.855217	-17.882572	-22.000464	-25.923900	-30.759112	-37.874854	-42.930113	-52.511449	-61.805913	-70.591345	82
1g2k_248	63.047776	57.606332	43.251477	34.001805	13.716936	-6.817183	-39.562125	-72.879774	-95.485265	-111.818140	-117.774809	-119.014636	50.075786	45.547975	43.380194	53.801423	53.412519	62.049948	70.035774	82.871214	95.337253	101.601996	109.027405	111.669985	70.627384	70.639766	66.509819	65.849670	62.636907	62.101120	59.343501	60.790062	67.297773	77.237536	89.254402	103.202119	48.876261	39.722740	34.698026	34.037346	30.403132	28.329207	22.618900	17.775030	12.104825	2.673835	-7.807022	-17.644118	-195.148901	-591.451333	-1171.403027	-1904.653492	-2927.213974	-4252.418922	-5956.336825	-7945.845242	-9999.370312	-11926.818071	-13711.626555	-15296.990854	55.998692	50.898065	51.131481	65.289593	72.724968	88.832334	102.202258	119.549427	135.176712	142.607623	150.448070	153.112623	-183.676123	-593.239008	-1231.005305	-2079.463471	-3261.242842	-4786.504918	-6708.255593	-8894.064047	-11074.099291	-13037.442491	-14809.785597	-16363.930094	56.677399	48.355577	43.499982	42.046789	37.288710	34.306683	28.285611	23.105529	16.897240	8.080919	-1.033500	-9.487854	82
1g2k_265	16.200732	0.651102	-15.504092	-30.145247	-50.316071	-68.705824	-105.206307	-142.153844	-168.162078	-184.116233	-190.894725	-192.173188	7.870557	-3.107603	-5.903460	0.658552	0.114425	11.481648	19.179459	31.030409	43.884458	51.780264	59.009666	60.552959	19.894895	9.470194	3.432987	0.687201	-2.432161	-3.516506	-9.217991	-9.206217	-4.462272	5.090319	16.968279	30.714550	4.655895	-10.649748	-15.966914	-17.391101	-20.673688	-22.231247	-28.594240	-33.158138	-38.877892	-48.454581	-59.147803	-69.815351	-208.164210	-582.999558	-1146.112849	-1880.048395	-2872.566300	-4169.818576	-5905.961344	-7930.670964	-10059.761259	-12026.692637	-13841.441216	-15410.818889	13.113650	1.650803	1.264399	11.963084	19.106429	37.717702	51.251995	67.828977	84.214050	93.346965	101.018480	102.532445	-200.692473	-589.397295	-1210.100315	-2060.470817	-3208.303196	-4702.840910	-6664.008175	-8887.177694	-11152.491117	-13158.440670	-14960.054982	-16494.263069	11.588215	-2.879013	-7.805301	-9.471003	-13.754035	-16.268470	-22.761120	-27.620253	-33.805476	-42.783617	-52.110432	-61.361394	82
1g2k_271	5.550488	-6.642471	-27.436095	-37.328012	-54.790884	-75.182310	-111.466240	-146.740580	-168.565443	-184.954046	-192.004858	-193.615572	5.847713	0.869495	-4.187568	6.603261	8.874152	18.915875	26.895207	38.582836	51.256051	58.072808	65.815220	67.879012	8.613068	2.365929	-5.714879	-6.144555	-8.447961	-9.984045	-14.341081	-13.774368	-7.208959	2.450763	14.246778	27.851736	3.415718	-5.424929	-11.384083	-10.991632	-13.213145	-15.281949	-20.654560	-25.979411	-31.826473	-41.407366	-51.553013	-61.893271	-212.067258	-595.057146	-1200.738891	-1936.462130	-2926.502799	-4248.777199	-5998.725989	-8001.432718	-10039.571782	-11980.973430	-13797.850253	-15379.607354	6.197873	0.356105	-2.046309	12.598842	22.131130	39.899181	53.798407	70.039288	85.782185	93.826200	102.040830	104.108854	-207.491422	-606.711670	-1274.165314	-2123.720476	-3266.129331	-4790.691089	-6765.616672	-8962.104163	-11122.254970	-13100.815777	-14906.991629	-16455.941210	5.336977	-2.907125	-8.208416	-8.429316	-12.084494	-14.789597	-20.251133	-25.910841	-32.311361	-41.265438	-50.067202	-59.018680	82
1g2k_283	41.983205	31.512801	21.738899	9.358890	-10.021670	-32.551277	-66.824667	-100.033845	-122.051698	-136.808810	-142.171459	-144.715513	29.200139	24.022615	28.444727	37.260086	37.658823	44.184722	53.050099	65.073134	79.330145	84.756328	91.635141	92.330879	47.583976	43.178557	42.295935	40.602981	38.322158	36.539299	32.841973	34.333961	40.493018	51.042625	63.173757	76.520996	27.343221	18.485417	18.393771	17.398296	14.731269	11.322729	5.937479	0.518434	-5.070381	-15.103101	-25.906359	-36.556225	-179.165662	-588.938563	-1172.827615	-1931.398521	-2952.860872	-4277.955061	-6015.844150	-7997.491771	-10077.255372	-11956.914757	-13709.631183	-15275.102637	34.634839	28.197466	35.155994	48.139401	56.049749	69.940955	84.463260	100.855682	118.377581	124.815213	132.064707	132.747113	-170.946768	-597.736416	-1243.446567	-2121.972016	-3298.089671	-4818.539762	-6779.913274	-8952.270262	-11162.725795	-13070.663038	-14807.107300	-16339.135245	34.384458	25.880127	26.152997	24.753422	20.654275	16.265679	10.639563	4.832764	-1.283123	-10.668603	-20.064371	-29.328791	82
1g2k_290	28.032445	18.416841	0.332923	-13.619802	-28.117211	-52.512277	-85.357201	-119.054106	-140.840215	-158.373321	-166.155801	-168.813952	23.592654	23.767138	20.918460	28.559856	35.158881	42.381641	51.663957	65.405257	76.977154	83.822372	91.096777	92.027124	32.179953	28.657116	20.447859	19.107865	17.217917	14.438961	11.690006	12.915231	19.026744	28.353605	39.670489	52.983284	21.824056	18.414119	12.664235	13.162716	11.711299	8.755872	3.768839	-0.591172	-7.454839	-16.855300	-27.485643	-38.202531	-177.425659	-567.735872	-1135.793633	-1864.143494	-2871.392851	-4229.290126	-5952.343944	-7963.073509	-9980.138993	-11949.371701	-13779.080105	-15363.255289	29.083465	28.022956	27.033724	38.557562	53.452088	68.889966	83.757510	102.079111	116.599856	124.731771	132.495077	133.427242	-170.468609	-576.490835	-1199.391017	-2041.655547	-3217.031796	-4781.677322	-6721.925472	-8927.253029	-11062.994634	-13072.162015	-14891.992788	-16442.166220	28.862340	25.726288	19.767832	19.807980	17.850056	14.547195	9.343752	4.647938	-2.804134	-11.609051	-20.902151	-30.224628	82
1g2k_294	30.567546	17.591453	3.727837	-12.840694	-29.517802	-51.030409	-87.179862	-120.436028	-142.944748	-159.217440	-168.426203	-168.213062	21.329394	15.309296	16.401108	21.853081	26.387176	36.339050	46.057437	59.875972	71.996577	79.530478	85.482970	87.389563	33.920667	26.842815	23.343870	18.547672	17.657785	15.416364	10.821824	12.256909	18.893808	28.913513	39.711478	54.510354	18.188030	9.263551	8.066636	5.841841	5.618102	3.464866	-1.395085	-5.961357	-11.806155	-20.893415	-32.093734	-42.205819	-160.407929	-532.433731	-1095.549799	-1824.199149	-2825.809366	-4164.973206	-5944.841853	-7959.940837	-10008.668932	-11971.778815	-13810.160551	-15349.285403	26.452540	19.417984	22.607308	31.815673	44.680121	62.632566	78.499257	96.893706	112.096024	120.893996	127.342759	129.175769	-152.631608	-539.257767	-1158.683102	-1999.312480	-3167.501037	-4711.984380	-6723.741290	-8932.458630	-11102.008080	-13103.042812	-14930.058361	-16431.370662	24.787772	16.277658	15.244005	12.500821	11.894673	9.288359	4.399804	-0.495524	-6.894841	-15.353274	-25.203182	-33.880092	82
