name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1h22_1	73.419612	55.756809	59.217964	52.766207	43.192169	34.601807	24.014323	12.266003	-0.118241	-10.411229	-19.228048	-24.141516	57.146704	46.379640	55.141810	54.506052	47.284552	45.641413	48.571877	51.913008	55.400894	58.435338	59.149438	60.315670	79.275618	70.719388	79.765803	74.989792	66.376735	65.298698	64.931459	64.755627	67.280352	72.583758	77.768248	85.572403	55.253325	44.765072	52.861043	47.646355	40.460516	39.005125	36.728552	33.436857	31.666104	29.868287	25.972846	22.067955	-74.189669	-373.997102	-728.445164	-1209.461059	-1864.766598	-2760.486164	-3838.020457	-5082.602188	-6474.276496	-7881.679902	-9216.016451	-10455.456132	77.584952	66.004665	76.116306	77.221539	73.508798	75.606410	80.284924	84.910343	89.598546	93.006752	93.762406	94.941880	-53.629418	-361.964553	-750.201963	-1304.906440	-2058.066217	-3085.771576	-4291.827421	-5649.818267	-7126.303518	-8567.763263	-9899.009833	-11125.648897	77.300696	67.362045	75.442925	69.778258	61.633060	59.925457	57.496728	54.171377	52.360378	51.152036	48.354565	45.502221	78
1h22_12	86.424511	81.974648	69.347684	61.573203	57.435210	46.186351	31.178990	18.573789	5.280763	-7.271409	-13.438072	-15.752045	68.990235	66.460260	61.733017	59.917387	58.109391	54.713880	58.589265	63.307702	66.723462	67.395785	69.550248	70.531098	93.835196	97.006341	93.934329	89.003089	83.389109	81.495713	82.474164	85.041344	89.602501	96.912004	103.823860	114.075074	66.766318	61.653396	58.167512	52.179002	47.240935	44.566728	44.195026	42.199287	40.046928	37.409230	32.046956	26.690362	-112.645346	-430.161254	-906.895097	-1472.043071	-2281.846373	-3357.461725	-4768.937491	-6266.077788	-7882.019012	-9477.171016	-10951.423479	-12262.065972	90.693213	88.182683	84.771982	84.904071	87.869118	88.884709	95.481671	101.646552	106.315128	107.327579	109.518577	110.497393	-89.294231	-416.398782	-935.797339	-1581.396307	-2521.757608	-3748.560366	-5337.818990	-6965.192872	-8670.324810	-10291.821614	-11753.712766	-13038.858510	90.558334	86.854609	83.188851	76.465132	70.807278	67.767911	67.430302	65.397149	63.203257	61.378089	57.491182	53.538692	78
1h22_140	64.994501	51.007622	36.681904	22.406319	15.010644	2.221754	-14.654248	-28.788491	-42.943010	-53.005560	-58.081634	-59.162536	54.591843	53.040970	48.473300	42.768412	38.660622	33.838898	32.232089	34.073120	32.356569	32.648237	33.585815	34.489231	70.205249	65.392024	59.727837	51.663271	47.473400	44.486714	42.559760	40.914429	44.058056	51.400263	58.735629	68.825427	52.609626	49.491903	44.803462	37.192524	34.653080	31.136522	26.055240	19.506716	14.463943	11.443465	6.465039	1.531036	-100.547845	-462.094538	-956.776354	-1575.351391	-2410.944747	-3483.114693	-4765.699713	-6187.277082	-7607.946081	-9026.977048	-10336.274239	-11511.789933	66.655902	63.466218	60.271942	56.709100	57.169397	56.494876	56.885638	60.034546	59.176409	59.731454	60.687951	61.583394	-87.232893	-462.179742	-1002.410220	-1708.559302	-2666.001194	-3881.504643	-5308.258739	-6851.709963	-8337.827252	-9773.573503	-11065.686691	-12215.722293	66.325154	63.349865	58.592586	50.407322	46.813000	42.707353	37.439808	30.848976	25.736217	23.578605	20.060707	16.471183	78
1h22_156	26.826748	20.014644	7.478904	-5.536769	-10.763374	-19.372543	-38.229448	-51.248908	-65.296748	-74.523259	-80.041415	-82.431928	25.581604	27.890699	26.504905	23.073020	21.107825	22.078568	21.889586	24.138258	23.985455	25.044878	24.782727	25.566668	34.002179	36.236172	31.567202	22.805390	17.853806	17.504847	15.991696	17.574213	22.770967	31.581555	39.879442	50.190720	25.091074	24.620081	21.865874	14.618569	11.117387	10.639589	6.958397	2.162301	-1.173959	-4.036090	-9.549239	-14.853770	-206.883072	-578.333596	-1112.181993	-1747.947022	-2612.679433	-3790.025119	-5240.724465	-6716.445145	-8262.575600	-9763.865432	-11125.141139	-12426.314722	28.401879	30.010492	29.310880	27.616832	30.588565	36.438688	38.701110	42.152685	42.951286	44.261995	44.012360	44.798408	-198.455768	-581.942891	-1160.801863	-1881.662521	-2882.857416	-4231.420789	-5849.693866	-7440.155615	-9058.940350	-10575.782765	-11912.839522	-13189.631166	29.986271	30.487447	26.796112	18.403553	13.938326	13.086822	9.252630	4.414037	0.997156	-0.912764	-4.795194	-8.692126	78
1h22_186	59.062284	51.224996	54.567957	53.005535	48.265314	33.962713	13.993842	-2.156250	-15.576893	-24.441564	-27.980278	-29.510546	42.884944	38.801476	48.865951	54.737940	52.777984	47.242008	43.737094	43.499679	43.960427	44.630298	46.965969	47.709565	66.166820	67.829158	78.089856	77.220119	72.669843	69.923278	68.002391	66.230493	70.057353	78.264361	86.321663	96.687533	40.672127	35.977404	45.046371	43.811394	40.574980	37.532003	33.117589	26.329411	22.538393	19.662202	15.160170	10.396058	-150.862467	-477.799960	-916.336978	-1499.856178	-2307.737462	-3416.345801	-4749.004220	-6184.901488	-7668.917225	-9082.842852	-10399.247791	-11603.523211	59.232471	55.045059	66.491131	74.511273	77.076108	76.158371	74.860525	75.932552	77.350484	78.263689	80.620537	81.357902	-134.097904	-467.642545	-947.594629	-1621.931111	-2554.263556	-3820.746577	-5305.518753	-6861.162693	-8418.269983	-9845.610623	-11144.285542	-12323.200656	59.080462	55.669061	64.593117	62.879106	58.689004	55.346720	50.799529	43.980048	40.098007	38.130876	35.125765	31.712045	78
1h22_187	21.782982	13.118919	-2.148966	-12.560642	-14.317642	-27.946599	-47.219935	-61.080286	-72.162877	-82.681189	-89.490083	-91.609701	12.715333	11.311087	4.875296	2.773390	4.283708	0.584102	-1.416950	0.827145	3.199678	3.494445	2.378848	3.760325	28.320988	26.533210	20.476612	13.436377	10.681483	8.800738	7.070523	8.505948	14.134887	22.435217	30.346028	40.435867	11.058136	5.589352	-0.176364	-7.393934	-8.774185	-10.569318	-15.140019	-19.465213	-22.500049	-25.388870	-30.928216	-36.196165	-184.918001	-536.678647	-1029.996872	-1658.788983	-2520.723469	-3712.204940	-5121.061888	-6612.705618	-8133.719858	-9640.570101	-11009.959321	-12316.058830	21.419758	19.215748	14.137010	14.427208	21.027834	22.303159	22.570618	26.095280	29.396114	29.963983	28.871108	30.261880	-171.588370	-538.166035	-1074.163234	-1797.820212	-2796.565655	-4157.979705	-5724.113739	-7334.803733	-8927.119951	-10449.843295	-11794.937093	-13077.537755	21.696332	17.072638	11.100156	3.515413	1.393678	-0.702649	-5.446915	-9.823197	-12.932871	-14.886629	-18.819138	-22.695248	78
1h22_197	38.304067	24.734615	14.816367	3.233991	-0.107184	-12.895430	-30.934916	-43.764799	-55.156148	-65.653194	-70.944442	-72.128836	29.224578	26.098125	25.776909	23.027613	23.148494	19.817237	18.813548	21.983058	23.674100	22.952798	23.105750	23.732816	43.919850	39.210769	37.333688	30.753741	28.049449	25.346757	24.908597	26.158102	31.848045	40.326073	48.687139	59.053178	27.182619	21.539996	20.277510	13.964046	12.936503	10.052285	6.588759	1.995887	-1.149331	-4.321097	-9.420414	-15.021161	-151.965411	-523.723725	-1029.209377	-1669.718027	-2538.829186	-3716.491464	-5120.548286	-6606.674794	-8114.023402	-9580.011809	-10930.215990	-12158.827810	41.273668	37.038903	38.013755	37.540898	42.631122	44.102528	45.395027	49.845223	52.430253	51.943226	52.108223	52.736735	-138.529011	-522.602602	-1074.105573	-1808.779256	-2812.720840	-4158.490474	-5718.513238	-7325.406176	-8901.966314	-10379.276037	-11706.555213	-12907.323690	41.109019	36.074757	34.575782	27.720615	25.770933	22.471438	18.878171	14.236008	11.013144	8.802356	5.299369	1.146375	78
1h22_212	69.758271	55.740479	45.954571	33.413104	27.575045	12.525773	-6.016115	-17.395092	-25.859214	-34.676954	-39.640996	-42.450718	52.094250	41.614617	40.690015	36.179468	32.988488	26.227660	24.515495	29.039446	33.202137	32.604974	33.052482	32.763514	75.871145	68.932780	67.828590	60.376925	55.492802	52.469150	51.714001	53.418967	59.681997	68.623908	76.911962	87.078884	48.203744	34.272956	33.175082	25.762538	21.543601	18.192970	14.663079	10.748232	8.177377	5.062453	0.243678	-4.861849	-137.160313	-488.030287	-997.388514	-1623.114563	-2504.388127	-3615.582650	-4984.506653	-6453.226985	-7930.787525	-9321.644371	-10646.883730	-11882.219880	70.764848	60.134940	60.178296	57.710678	59.725809	56.994198	57.469463	63.306909	68.356631	67.942521	68.401591	68.114944	-119.283355	-483.444719	-1037.141983	-1751.449917	-2770.874299	-4030.599483	-5556.216231	-7149.125130	-8698.421331	-10096.019564	-11400.574754	-12610.573432	69.019840	56.456377	54.747086	46.542520	41.611839	37.371117	33.638854	29.689216	27.045978	24.911052	21.638143	17.911316	78
1h22_225	69.998797	59.942301	43.070836	34.129957	28.814974	19.934208	0.704001	-11.039572	-23.341159	-30.493051	-36.439902	-37.770150	41.634694	30.805223	22.455846	21.209863	18.718658	17.189321	12.239361	14.927148	15.241040	18.023024	17.909775	18.576571	76.574352	73.729708	68.394324	65.682446	62.185486	60.016847	56.734122	56.767498	60.164016	67.072158	73.391647	82.241020	38.523893	27.071961	21.517334	19.247215	17.315846	14.833961	8.802903	4.092046	0.458623	-2.066908	-7.092009	-12.191874	-100.750425	-376.728991	-866.007614	-1438.989263	-2200.046562	-3182.386535	-4379.429376	-5688.308355	-7046.317186	-8375.899121	-9607.986699	-10713.397144	57.525398	46.437433	39.301748	39.926570	41.629022	43.753374	40.685171	44.576539	45.792817	48.806153	48.714261	49.373000	-83.697699	-368.395101	-901.196030	-1552.304590	-2427.721644	-3545.974635	-4878.719967	-6300.320027	-7725.538197	-9073.981280	-10290.066466	-11372.321259	56.094296	45.637721	40.211830	37.290817	34.362337	31.173610	24.976464	20.231142	16.537412	14.783002	11.109289	7.254926	78
1h22_231	11.914339	-4.555343	-9.580979	-17.078608	-19.555469	-28.097233	-43.320150	-57.801437	-72.048906	-82.202890	-89.252637	-93.894473	6.549911	2.520264	4.950304	4.078386	4.138372	3.142813	3.327308	5.066994	4.934027	6.305608	7.117979	7.168247	17.250688	12.802267	14.595734	10.044262	6.395941	5.425197	3.772407	2.992586	5.830476	12.243789	18.786868	27.209170	4.943858	2.411788	4.277972	-0.111083	-2.458236	-4.047820	-7.690245	-12.162417	-15.702333	-18.178804	-22.360485	-27.058106	-164.401287	-512.733832	-933.274780	-1449.506375	-2160.616494	-3146.695856	-4362.826988	-5722.938109	-7138.908591	-8541.249002	-9872.626082	-11111.558188	18.093493	12.929442	16.406198	17.049397	21.044082	24.285629	26.602638	29.711106	30.613299	32.262658	33.106317	33.163576	-151.782744	-505.879194	-963.021189	-1550.936228	-2373.330625	-3504.779236	-4865.754801	-6346.503344	-7835.997787	-9261.063537	-10581.823713	-11802.519579	18.265945	16.138489	17.541922	12.223982	8.908469	7.151089	3.451804	-1.053060	-4.640156	-6.391968	-9.292986	-12.809437	78
