name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1k1i_108	42.122956	38.899169	35.750295	36.485177	43.166737	47.032012	44.103886	41.957539	40.012389	37.543369	32.919347	29.829357	33.772578	27.521885	28.456911	33.193564	42.544281	50.882849	57.613487	67.656299	77.209465	87.046355	91.704180	94.751305	45.937698	45.632382	43.178009	43.474254	47.248277	49.722052	49.946473	51.701658	54.496816	57.207271	61.238458	66.382434	32.277746	24.881597	23.487127	23.403895	27.988668	30.222047	28.791763	27.940452	26.445759	23.820117	19.754543	16.069588	-94.126325	-323.200780	-648.661937	-1037.187731	-1529.381155	-2181.115566	-3020.326751	-3991.415825	-5040.365238	-6189.637102	-7283.856247	-8321.353269	44.453930	38.165500	39.910690	46.268962	58.236343	69.346770	78.028777	89.565652	100.358598	110.870643	115.804559	119.011061	-81.915809	-321.590494	-676.227716	-1123.482992	-1691.873198	-2441.555572	-3389.599329	-4457.961211	-5577.307929	-6769.761758	-7871.734371	-8906.625785	44.108788	37.537782	35.659110	34.998436	38.203564	39.790773	38.256497	37.310199	35.687463	33.361756	29.954332	26.901975	64
1k1i_115	21.635777	9.924750	2.948788	6.361388	9.138717	12.062369	13.418876	13.644447	17.116803	15.933422	14.124438	12.781639	17.216880	9.572343	6.653652	15.232717	21.241043	29.458056	41.586251	53.804117	68.138234	76.150123	79.114022	76.925952	24.048410	15.163144	11.679247	12.805561	15.624127	18.040378	21.060038	25.027839	30.502165	35.694381	41.943221	48.647373	14.079935	2.938488	-0.603667	0.160888	3.688567	5.477796	5.580542	4.370675	3.028653	-0.909169	-7.001430	-13.652527	-161.579396	-501.636232	-927.024918	-1418.913632	-2069.426442	-2897.545647	-3899.059117	-5006.392925	-6162.071892	-7329.708138	-8376.067779	-9229.392093	22.181261	13.551437	11.946932	22.340341	31.859221	43.457330	57.599675	71.246578	86.667098	95.117293	98.188171	95.920893	-153.920245	-504.733612	-967.482757	-1532.735824	-2279.764921	-3228.405080	-4356.370382	-5567.381085	-6796.316984	-7992.055713	-9028.525416	-9854.915501	20.469452	9.540210	5.635355	5.358439	7.192399	8.042884	7.851186	6.475106	4.915786	1.464249	-3.642435	-9.316421	64
1k1i_159	52.669679	42.028527	35.379605	35.980807	40.153025	42.474679	43.865553	42.880732	40.093662	34.335128	33.555743	32.334140	47.002523	37.959518	33.883883	39.041466	45.865215	52.352425	63.535100	74.701622	83.561477	88.363498	95.641479	99.081801	53.920106	45.356006	41.078221	40.518604	43.347722	44.399429	46.844642	48.318956	50.043735	53.097286	58.939714	64.665181	43.984131	33.240844	28.666583	28.059322	31.461403	32.108050	33.306636	32.384282	30.161575	27.275698	24.797832	21.477105	-61.363000	-285.928466	-586.206476	-980.897793	-1482.606469	-2119.258128	-2933.105070	-3885.532980	-4921.704074	-5990.234850	-7012.792561	-7957.825949	53.117205	43.435291	40.345497	47.526081	57.271016	66.447984	79.508922	92.171442	102.273523	107.638873	115.145161	118.696640	-55.173902	-287.351597	-615.079689	-1076.373817	-1654.112173	-2381.740245	-3301.876882	-4350.605525	-5455.875418	-6555.099008	-7583.208692	-8521.771599	51.020961	40.439879	35.770913	35.125323	37.509447	37.549390	38.634340	37.631651	35.282324	32.734226	30.920556	28.252738	64
1k1i_167	33.331850	23.668203	12.938903	15.648346	19.354523	21.911840	23.653389	23.895714	24.866379	22.358473	19.575994	16.409248	22.445187	16.981336	10.240786	18.021075	24.500693	32.294461	43.820265	53.612255	66.528118	73.511956	78.658571	77.712034	35.515038	26.752491	19.547978	21.700396	25.169151	27.403000	29.907559	33.924759	37.688781	41.367259	46.411588	52.153482	18.954843	9.150757	2.355524	4.562285	8.062207	10.313684	10.104038	8.652530	7.280316	3.109698	-1.544021	-7.000309	-109.170365	-418.465398	-802.465660	-1245.285375	-1866.611141	-2609.621033	-3527.156116	-4489.161888	-5617.288280	-6728.525333	-7828.570761	-8753.573263	31.760428	25.333097	19.573485	28.918740	39.361837	49.795490	63.197321	74.081237	88.283483	95.770107	101.138880	100.218464	-100.056534	-422.410466	-836.517018	-1345.299464	-2066.727343	-2913.985745	-3946.735294	-4993.458312	-6199.544508	-7341.087869	-8445.112041	-9353.473914	29.503606	19.879864	12.527206	13.750870	16.343209	17.382852	16.934543	15.302626	13.774077	10.052070	6.169090	1.533005	64
1k1i_171	9.153638	-1.828684	-10.623450	-9.836189	-8.445448	-5.398870	-7.417290	-6.674790	-5.812115	-7.905028	-10.460610	-11.674728	2.975926	-3.049975	-7.510248	-1.279682	3.491427	12.062454	21.304928	34.492180	46.827403	55.098101	59.020035	58.748740	9.052185	-2.217239	-7.895537	-7.225624	-4.904315	-2.706962	-1.973558	1.690296	6.427219	10.627180	16.107265	22.547141	-1.492032	-12.769296	-17.870897	-17.026593	-14.334443	-12.310395	-13.613324	-14.233494	-15.417274	-19.242808	-24.815938	-30.685890	-118.326836	-418.985054	-796.066687	-1249.946941	-1893.046893	-2679.174794	-3656.556741	-4739.769060	-5877.841019	-7052.898701	-8131.452254	-9035.923048	8.771636	1.442505	-1.744983	6.375590	15.331288	27.181540	38.517650	53.188565	66.676930	75.493354	79.579760	79.289119	-114.391601	-430.543027	-841.384759	-1365.011268	-2107.721031	-3006.589758	-4104.865237	-5289.948881	-6497.875125	-7704.591843	-8779.125814	-9662.417436	5.321632	-6.069280	-11.295766	-11.063543	-9.090435	-7.867639	-9.396122	-10.160874	-11.537108	-14.901851	-19.589529	-24.565405	64
1k1i_172	19.765246	18.434345	16.379567	15.787929	16.186133	17.554711	17.546222	18.043458	15.010067	11.844343	6.559512	4.334634	10.348086	10.784622	11.672681	16.057494	19.411428	25.629492	35.081034	46.031022	54.758563	61.469871	64.004441	67.139315	22.572093	22.841602	21.841317	20.826909	21.508175	21.594819	22.640338	25.440469	26.784591	29.424795	33.467472	38.671679	7.275095	5.257331	4.242992	3.507708	4.493622	4.433768	3.341100	1.974625	-1.203752	-5.489224	-10.488797	-14.489980	-97.568742	-339.214801	-656.331405	-1081.148763	-1668.793204	-2376.738905	-3227.654237	-4172.891797	-5250.973519	-6331.625890	-7385.457863	-8393.811827	25.775955	25.656704	27.549967	33.743667	40.967300	49.988830	61.106690	73.275519	83.265294	90.497192	93.255522	96.523673	-81.654872	-332.200257	-679.803806	-1171.154314	-1852.589596	-2662.753051	-3619.876912	-4654.140347	-5804.714580	-6916.898714	-7972.945112	-8977.067375	23.852654	22.154561	20.846031	19.642999	19.994130	19.070208	17.702767	16.189125	12.878888	8.992686	4.723901	1.397730	64
1k1i_201	103.114243	105.068743	103.602262	100.860400	102.980029	105.276089	104.631027	105.912963	107.872234	108.659895	105.010764	104.997070	88.505103	87.109165	88.393905	90.062872	95.094291	102.581445	110.269507	122.739814	134.985173	143.188840	144.782307	144.720530	109.291150	111.643037	111.081400	109.096343	111.617827	113.751286	115.121384	119.040852	124.613522	129.748513	135.642127	142.242369	86.423472	80.088755	78.782208	75.700718	78.727992	80.176350	77.270717	75.937874	74.723485	70.393449	64.756470	58.795469	-86.294462	-383.062038	-771.312732	-1273.353577	-1927.758275	-2760.094090	-3686.501712	-4749.268717	-5870.286922	-6940.935618	-7975.976857	-8833.067264	103.223810	101.765180	104.041786	107.904540	116.436443	127.396346	136.622585	150.425693	163.743237	172.277973	173.997608	173.887890	-67.860129	-376.063815	-798.083548	-1377.064234	-2128.070667	-3082.835576	-4117.851510	-5282.796759	-6474.209675	-7567.398678	-8595.084274	-9431.079078	102.770906	97.386267	95.339166	91.642687	92.980937	93.550081	90.253107	88.746797	87.335249	83.527816	78.806134	73.757841	64
1k1i_204	18.021538	13.473832	16.575964	18.767146	21.874452	21.248173	20.737730	22.945875	24.701625	25.037645	21.828365	20.579292	12.997857	7.101577	13.317412	21.181109	27.498372	32.720310	42.918750	58.217422	72.495071	82.324456	85.017979	85.192947	19.166195	17.557642	20.754993	22.849035	27.324671	28.208076	30.168444	33.856706	39.282833	45.049521	50.838363	57.058083	9.306164	1.369864	3.846753	6.041196	11.026180	12.167255	11.708944	11.477242	11.279030	8.397998	2.705404	-3.259458	-153.525722	-398.653884	-780.846752	-1269.244339	-1906.466881	-2691.601446	-3655.441323	-4755.967006	-5949.224907	-7105.304440	-8173.216805	-9104.350905	16.425592	10.505887	18.243520	28.400919	38.559583	46.718461	58.912319	75.767170	91.384976	101.692659	104.537274	104.708944	-149.960297	-402.362920	-827.235777	-1391.115931	-2122.454506	-3013.931587	-4096.241859	-5305.815233	-6577.961628	-7762.386946	-8822.934352	-9734.908823	14.003348	6.849635	9.597825	11.487089	15.343845	15.373826	14.679315	14.301949	13.940063	11.546684	6.778492	1.698087	64
1k1i_207	80.125841	81.321845	79.952692	80.210572	82.373117	83.919854	85.187809	81.791824	77.303888	73.254693	68.798465	67.325669	59.287292	54.763879	54.589852	58.596327	63.092424	68.758772	77.833949	85.532786	92.222749	96.914154	98.144051	98.475174	83.921730	84.013661	83.834678	82.172814	83.387270	84.463715	86.295237	86.895491	87.946452	90.289162	94.793017	100.208875	54.343659	44.700104	42.565397	40.025770	41.717855	42.100452	40.625771	37.451379	33.654668	28.507974	23.006678	17.827601	-67.648679	-326.705615	-686.333463	-1116.905097	-1673.697537	-2372.327103	-3193.095197	-4169.700021	-5239.903200	-6288.084808	-7263.548159	-8119.823621	77.607292	72.828706	73.848908	79.502110	86.721182	95.074963	105.643683	114.718831	122.622278	127.771978	129.153982	129.502840	-50.551451	-320.596849	-713.733934	-1210.189745	-1848.019543	-2649.285137	-3574.490276	-4648.048140	-5789.550026	-6865.163359	-7836.325997	-8677.583020	74.040891	65.047938	62.646181	59.258780	59.196977	58.616910	56.833020	53.538133	49.599436	44.876124	40.175786	35.772879	64
1k1i_214	74.963646	78.613960	79.791369	84.092194	85.938837	90.733125	91.390664	93.412701	95.165631	94.698611	94.720425	92.988367	57.580591	56.661493	59.581608	67.871059	72.851790	82.574569	92.014393	104.492483	117.075767	124.296572	131.263257	131.315554	80.842193	86.859635	90.178628	94.597533	97.848592	100.352329	102.248529	105.543632	109.659747	114.493399	119.521307	124.952972	55.255706	52.377413	54.075309	57.259874	60.955805	63.048768	61.503165	59.668284	57.844115	53.717834	48.547155	42.585801	-80.799135	-331.171902	-697.677516	-1167.705419	-1819.698241	-2591.856791	-3489.148598	-4495.015161	-5599.397720	-6658.931168	-7722.222112	-8630.101046	74.932733	74.227380	78.531596	89.035070	98.037763	110.624463	121.623629	135.334038	149.056026	156.680003	163.832720	163.898477	-61.171846	-318.926255	-721.422463	-1265.325515	-2017.743705	-2900.669617	-3906.074834	-5007.530058	-6184.335798	-7267.757823	-8335.271233	-9227.297239	74.092864	72.245175	73.869671	76.646077	79.310246	80.258189	78.347514	76.341817	74.333928	70.715816	66.356061	61.225299	64
