name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1lpg_106	-2.802173	-28.752534	-54.104686	-57.571154	-54.081652	-54.501751	-68.282216	-87.809171	-113.771788	-137.819776	-161.526569	-176.875932	7.685532	2.628565	-0.495821	6.771412	16.833555	25.398040	33.683919	44.801839	51.726707	54.422207	56.364191	63.044630	-0.101010	-8.487272	-7.508383	2.406078	-1.916050	-4.031055	-4.386307	-6.275874	-1.577702	-1.113011	0.539240	3.620704	4.188969	5.345540	13.624135	23.097183	22.733285	23.702290	24.109827	25.002004	28.968770	30.939682	32.414709	34.666382	-104.337907	-343.035339	-649.118789	-1053.622028	-1601.960139	-2326.995565	-3261.360927	-4393.627674	-5805.756592	-7531.679528	-9614.935787	-11862.442501	9.221194	2.008035	-1.331986	6.522575	19.287666	29.911733	38.605611	49.836571	56.685293	57.967473	57.693656	62.138312	-104.211328	-342.162218	-662.785339	-1126.153340	-1768.340907	-2600.472401	-3650.273601	-4894.530004	-6402.912052	-8200.024552	-10340.569723	-12633.979456	7.013470	7.955600	16.102600	25.668436	24.962977	25.727465	26.192150	27.151447	31.171610	33.236010	34.779962	37.371034	78
1lpg_122	-2.874094	-23.118955	-51.332673	-54.295997	-52.055869	-49.055459	-60.178595	-72.658146	-92.718052	-111.524270	-126.812559	-141.237794	6.272787	5.633707	-1.549510	4.713596	13.726051	22.803021	26.981325	33.143961	35.646313	37.126703	40.138930	43.004951	0.195542	-4.955251	-9.430380	-4.625004	-12.702917	-14.457181	-18.592579	-16.544688	-12.686943	-12.866104	-10.644436	-12.826564	5.065883	9.799586	12.149778	17.583856	15.518298	16.275240	12.698942	12.598604	13.502394	12.740573	15.117819	13.053192	-77.456301	-277.437558	-563.993085	-894.423896	-1320.548663	-1835.111686	-2481.729945	-3290.351401	-4352.030617	-5713.739695	-7236.995328	-8960.655359	6.971331	4.032489	-2.999062	3.699204	14.475391	24.668419	29.052247	35.280375	37.705551	38.024827	39.448475	40.560825	-76.330800	-277.503500	-583.119678	-956.674015	-1455.348974	-2042.435173	-2765.403897	-3652.564806	-4789.584361	-6215.955598	-7780.127567	-9543.404851	6.712102	10.894486	13.686730	18.933962	16.086203	16.229664	12.664481	12.618395	13.526469	12.701207	15.200757	13.318630	78
1lpg_149	-3.589761	-28.351225	-57.796778	-65.183432	-64.796273	-66.220769	-82.726695	-101.525460	-132.021309	-157.069579	-181.142859	-196.595495	5.094667	-0.702419	-3.307153	2.751666	12.504250	20.106390	25.857362	37.153434	41.512660	44.886431	47.768054	53.416910	-0.728933	-4.891239	-3.828409	2.196917	-8.467344	-12.265122	-16.501706	-15.724590	-13.593875	-13.476421	-13.481492	-9.890821	0.116511	1.605830	11.337570	18.931307	16.730723	15.071887	11.132256	12.393525	14.470019	16.590454	17.832296	19.776698	-125.278654	-382.899098	-754.022535	-1217.974215	-1803.936783	-2606.161011	-3585.889154	-4767.068854	-6243.438931	-8069.974013	-10214.782862	-12506.261714	7.695235	0.066732	-2.919273	3.725576	15.738476	25.573646	31.689390	43.099264	47.403233	49.338221	49.987423	53.434020	-125.571089	-383.011934	-773.485495	-1303.334281	-1981.750560	-2907.314549	-4003.848155	-5299.418406	-6874.422524	-8777.337388	-10979.540361	-13313.544390	4.252313	6.045027	15.618472	23.155447	19.717414	17.782645	13.883471	15.243466	17.423482	19.712905	21.146554	23.585114	78
1lpg_16	-1.269493	-13.436326	-30.885715	-36.797912	-29.659800	-28.215069	-38.559174	-53.803174	-82.646277	-108.946642	-131.683027	-144.357933	12.797185	12.310464	16.710810	20.623515	31.349063	39.161547	49.990878	64.851838	72.157168	74.486198	76.154190	84.476740	-1.969164	2.362078	4.893271	6.500377	7.616590	9.111648	9.471834	10.705996	10.123887	9.178146	9.931914	11.681445	7.177232	14.710420	25.945365	29.927224	30.567303	32.488379	34.799050	39.088701	41.466813	41.388836	42.811209	44.597999	-91.513822	-258.938035	-520.407371	-833.502750	-1293.903702	-1934.908589	-2794.877881	-3893.498824	-5298.788429	-7076.726472	-9007.087849	-11090.964586	12.530355	11.406534	15.419456	19.518894	32.821617	42.515636	53.698508	68.663175	75.885491	76.656824	76.327345	82.612481	-94.896927	-258.040630	-536.277031	-890.649787	-1437.630012	-2178.384375	-3151.299333	-4366.189375	-5875.941011	-7738.316627	-9716.336639	-11841.738836	8.066565	16.312574	27.406934	31.039478	31.855923	33.731894	36.022417	40.292385	42.639012	42.371326	43.963958	46.136591	78
1lpg_198	-2.145953	-21.523541	-64.361713	-79.799603	-78.281461	-76.621053	-86.947717	-107.317938	-139.365202	-164.004457	-187.770494	-209.848330	5.100323	8.172192	-5.439395	-5.164966	6.517977	16.720285	29.090834	40.858904	47.333518	52.349776	55.783857	59.924150	2.685101	0.875112	-9.290928	-9.407639	-20.198465	-23.608682	-23.947484	-23.429553	-20.939805	-19.419635	-18.635436	-21.488322	3.010417	9.701380	8.226754	10.169359	8.659037	7.537890	7.047799	7.563026	10.034676	12.333497	13.285533	11.428548	-112.462749	-395.230411	-817.301043	-1350.622712	-1988.169483	-2793.432708	-3776.502957	-5046.903216	-6669.265687	-8636.137472	-10900.961724	-13444.215621	7.490156	7.268006	-6.648731	-6.086247	7.978941	20.024804	32.699759	44.586683	50.973147	54.391938	55.505306	57.107510	-110.211810	-400.116858	-848.020649	-1451.073702	-2187.902663	-3111.205665	-4212.873150	-5610.803673	-7348.340812	-9400.701568	-11725.022774	-14322.513127	6.764903	12.740414	11.299742	12.816460	9.849599	7.936212	7.450362	8.035150	10.548529	12.956764	14.172983	12.679994	78
1lpg_212	25.891102	10.553774	-16.332343	-27.804007	-24.184719	-26.957209	-46.886485	-66.952073	-101.595530	-132.170085	-155.315410	-171.471264	31.800189	31.028899	35.411251	39.681060	52.180006	60.548803	66.950277	79.088174	85.085785	87.084259	93.457552	102.253454	33.381732	45.776166	54.645019	57.686587	49.699145	44.166162	40.397929	46.109847	48.835305	49.172342	53.605871	54.589947	24.606063	34.802698	51.848503	58.485055	58.166364	57.152218	53.075121	54.719618	56.436404	57.881649	64.561772	65.904730	-179.961866	-501.868521	-959.028602	-1522.252171	-2249.461805	-3212.110638	-4389.507152	-5796.105640	-7557.682436	-9745.391937	-12161.138435	-14791.583399	39.650741	38.502097	42.790124	47.840598	63.257792	74.133939	80.956851	93.206566	99.103974	99.403085	103.432056	109.791605	-176.975485	-494.765019	-978.021697	-1614.708318	-2459.369613	-3563.644907	-4883.310351	-6422.970667	-8303.996703	-10582.276508	-13052.319726	-15731.628932	35.072199	47.489974	64.449587	70.778010	68.929763	67.321070	63.297354	65.068980	66.895900	68.593881	75.841212	77.932282	78
1lpg_227	5.353572	-17.569688	-58.842321	-69.297167	-68.416354	-68.872154	-87.390412	-108.967300	-143.286317	-171.175727	-197.417595	-217.012408	17.340251	21.801271	16.234614	24.136694	35.217841	45.028542	53.291142	65.279974	69.714244	74.992526	78.174983	82.536957	11.191321	16.048654	16.262988	17.181988	6.754470	1.971469	-0.495185	4.726739	8.783895	9.022278	9.657132	7.430752	10.480176	25.248039	36.397566	44.299688	42.956190	41.941533	39.906555	41.846968	44.224578	47.533292	49.592789	48.724911	-184.395409	-533.927023	-1032.604796	-1599.082704	-2332.317256	-3254.647722	-4429.417972	-5865.758510	-7583.835492	-9725.809729	-12150.583252	-14668.227435	21.806470	24.431290	18.479169	27.024932	41.003494	52.857377	61.542405	73.644914	77.999499	81.595059	82.400760	84.544707	-182.984666	-527.786569	-1053.320226	-1691.117317	-2542.361137	-3598.027806	-4915.677651	-6490.760039	-8320.367014	-10550.871612	-13033.091841	-15590.636569	17.353492	33.092136	44.070106	51.384975	48.423707	46.386427	44.393536	46.432822	48.967774	52.542536	55.115341	55.163287	78
1lpg_237	14.796102	-19.113502	-47.300500	-49.568818	-49.310695	-50.690814	-63.047095	-85.222837	-123.089995	-151.877096	-176.280915	-195.500684	25.278252	17.309681	23.824080	38.386890	50.737416	60.678371	73.511434	85.945468	89.648454	94.203793	98.945818	103.492387	21.574155	17.114689	27.416051	38.224218	26.178496	21.177418	23.748349	27.248084	28.194390	29.045078	30.351067	30.037304	19.628582	22.540997	43.278130	57.715387	58.196700	58.270806	58.701400	60.948820	62.005054	66.583372	70.039708	70.199373	-167.202975	-555.075452	-1045.534202	-1624.065830	-2349.462923	-3269.617108	-4437.980262	-5853.194231	-7622.212777	-9751.409634	-12147.647702	-14682.988499	31.577410	21.006273	27.293462	42.584660	57.387675	69.328536	82.578457	95.134929	98.761791	101.700674	104.138556	106.435734	-164.373283	-550.314135	-1068.263370	-1722.777373	-2558.239758	-3609.489277	-4924.907777	-6477.363421	-8365.924552	-10579.568528	-13030.281685	-15605.441785	28.296928	31.748596	52.292287	66.240011	64.525950	63.516701	63.988541	66.362547	67.551582	72.480527	76.530535	77.582429	78
1lpg_239	10.303657	-13.105192	-33.090452	-41.139491	-36.815486	-36.554544	-45.515560	-72.203382	-106.540998	-134.433897	-161.226595	-181.806834	11.419672	8.795798	11.344898	15.656517	25.271674	33.578093	47.964996	54.823908	59.787904	63.749541	66.786310	71.587165	14.902004	13.031699	25.788774	27.791886	25.520780	25.506127	29.971198	25.203250	24.565985	24.406217	25.729181	26.190216	5.376455	9.120979	27.123910	33.748991	34.584863	35.692730	39.609148	38.203527	39.915955	41.699940	44.041625	43.951175	-126.944662	-436.536322	-790.183447	-1205.128977	-1789.053520	-2573.414254	-3587.994897	-4822.997373	-6411.170585	-8433.422049	-10795.829551	-13326.717731	17.298951	12.050242	14.507106	19.086616	31.451062	41.859438	56.721207	63.708156	68.565203	70.790067	71.278095	73.554330	-125.448768	-438.285107	-800.816007	-1265.601135	-1950.219123	-2854.484250	-4000.634802	-5356.145123	-7056.446429	-9171.945512	-11602.064872	-14185.059745	13.018410	16.805609	34.384914	40.307151	40.518089	41.248072	45.254088	43.933788	45.658363	47.344030	49.695377	49.971197	78
1lpg_244	11.920735	6.327940	-27.431472	-30.212264	-29.653418	-32.810346	-50.272635	-68.898468	-98.946921	-125.822111	-151.426557	-168.561674	23.366217	37.596269	37.027688	47.727668	57.498477	63.518431	73.645706	85.741630	93.609010	100.021729	102.553375	108.809435	19.275553	42.371608	50.445422	57.536777	44.643751	39.897963	38.501538	44.044006	52.583954	54.658883	55.101128	54.886704	15.264212	40.950561	57.477628	67.711232	64.111181	61.793473	60.393865	61.704946	66.712840	71.851546	73.529176	74.050676	-208.722107	-536.318040	-1025.314140	-1554.996779	-2276.021432	-3220.608772	-4428.070744	-5779.120361	-7513.571354	-9657.946537	-12043.011889	-14558.104027	30.584268	44.508411	43.602498	55.035387	67.543134	75.916294	86.475774	98.678574	106.452499	111.207789	111.427254	115.454176	-206.710302	-527.637155	-1040.270913	-1636.562308	-2473.375549	-3556.702425	-4919.363528	-6395.026339	-8246.617289	-10480.450925	-12920.120283	-15476.018539	25.306336	53.338079	69.558283	79.165095	73.842325	70.803699	69.417306	70.899116	76.028470	81.448465	83.692982	85.106541	78
