name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1nc3_178	-25.147022	-33.334510	-40.914884	-39.344662	-26.299594	-13.296375	4.699895	15.197680	25.925396	34.243117	53.545437	58.104644	-19.354280	-16.301731	-15.415246	-13.232625	-8.324130	-7.730433	1.611733	6.235837	13.928478	23.578868	32.796555	37.529619	-21.310180	-18.477857	-10.391693	-6.279715	-13.734585	-18.048961	-13.397005	-14.818871	-13.492888	-16.164047	-22.434623	-20.292109	-28.488849	-27.467185	-20.441976	-9.856704	-4.136255	-1.703299	3.811177	2.267942	4.520433	3.944686	3.782112	4.807841	-166.133039	-432.581384	-764.489456	-1167.192494	-1676.197228	-2361.705666	-3252.422061	-4389.068031	-5695.820767	-7196.373698	-8822.689022	-10610.596630	-12.689056	-11.660725	-13.105261	-10.123267	-1.195259	2.552479	12.567694	16.600659	23.141671	30.642440	37.476371	39.948548	-167.426288	-437.746708	-788.448398	-1234.763997	-1817.430363	-2598.441726	-3599.610663	-4848.719393	-6244.480379	-7807.368556	-9468.447098	-11281.285201	-18.818501	-15.285444	-7.259973	2.227063	4.833043	6.512552	12.031339	10.616626	13.238667	13.340571	14.162043	16.086676	32
1nc3_408	-11.184651	-23.925893	-41.275895	-35.840780	-19.658494	-3.072500	10.575962	23.104653	37.739567	46.631604	67.729570	74.101713	-4.013556	-9.635683	-15.780982	-8.624091	-3.653277	1.566858	7.256260	14.953543	25.883583	34.865272	44.393693	50.862700	-9.609149	-10.217983	-10.256012	-4.601035	-8.582566	-8.695262	-7.123788	-5.938789	-1.984437	-4.963497	-7.748663	-3.417088	-14.878412	-20.158877	-19.551605	-6.320532	-0.564339	6.979438	10.365551	12.248832	16.734145	14.584699	16.590102	19.994000	-151.132995	-395.505417	-750.352419	-1155.075412	-1683.341680	-2353.483587	-3249.752215	-4359.882682	-5681.236013	-7193.519208	-8862.907029	-10721.974295	3.613913	-2.806909	-12.527086	-5.278140	4.539363	12.514792	18.741068	25.867755	35.579427	42.380161	49.392223	53.413465	-155.422203	-401.721969	-775.576647	-1225.189015	-1834.117846	-2593.997785	-3599.578925	-4816.815999	-6229.997159	-7806.565916	-9512.583959	-11399.969829	-4.245820	-6.266342	-5.629053	5.900451	9.493417	15.861097	19.113824	21.159644	25.935709	24.433031	27.319949	31.505755	32
1nc3_409	-2.046038	-19.124598	-22.504893	-14.500083	4.171805	17.981520	30.125694	42.945527	51.565612	61.260591	83.270799	92.260500	-1.409211	-4.036057	1.594633	9.363422	20.230737	20.227701	25.251581	32.094026	37.911226	47.865013	57.826507	67.541499	0.893477	-3.902398	9.430123	19.052430	16.628239	13.080122	11.906742	11.292766	9.602417	8.014565	5.985611	14.197846	-10.420950	-14.301707	-2.088267	13.146567	24.224058	26.477340	28.331208	27.697562	27.350220	26.241166	28.248381	35.777877	-128.231388	-399.732342	-734.917765	-1140.083284	-1639.299200	-2335.676037	-3234.489765	-4381.871407	-5705.163660	-7170.819441	-8854.620247	-10643.088697	8.920357	2.878489	6.233624	15.498178	29.851724	33.155933	38.773280	44.980015	49.626254	57.552905	64.949777	72.428011	-130.063544	-406.331520	-762.566794	-1215.655928	-1784.733954	-2578.424595	-3587.309385	-4849.070193	-6261.789776	-7785.517986	-9507.237678	-11318.254280	2.663314	-0.028130	13.469671	28.408618	35.685472	37.326722	39.105329	38.554675	38.566594	38.263066	41.112611	49.581108	32
1nc3_437	-4.246185	-14.374835	-21.324702	-15.960368	6.015788	19.083625	39.953526	53.468157	63.543737	74.437247	94.801825	97.479883	-4.798994	-5.644056	-2.864044	4.247027	14.060454	13.780280	27.831675	37.308191	44.168797	54.242698	63.657297	67.249020	-0.000702	2.063066	11.107039	15.602843	17.997834	14.551190	21.194634	22.239624	22.791945	22.617048	17.480518	18.781876	-16.807539	-17.360235	-8.174322	5.159171	16.777584	19.730256	29.428447	31.922105	33.548067	33.057040	33.228456	33.846385	-150.817050	-415.310839	-760.815459	-1155.013950	-1687.804902	-2383.112771	-3268.500366	-4369.253677	-5690.190669	-7198.762692	-8825.185006	-10528.008274	1.520407	-0.724824	-0.886330	6.579420	21.430668	24.108543	38.766661	47.679863	53.355234	61.256243	68.302039	69.905749	-150.934016	-416.196658	-780.753702	-1218.998367	-1834.934111	-2624.965463	-3619.547712	-4827.616515	-6238.394406	-7810.693709	-9472.006480	-11193.020592	-7.263892	-4.854842	4.894415	16.481261	26.044807	27.943515	37.588614	40.273261	42.237510	42.413643	43.595438	45.320226	32
1nc3_442	16.504777	10.841232	12.647912	15.456449	33.178435	47.366606	56.790640	71.554943	76.483562	86.924416	108.521972	110.381295	-2.603324	-3.466869	6.523098	11.602907	18.605248	20.546697	22.240499	32.508176	33.825353	45.724898	52.890956	56.095674	15.422472	23.510276	39.975291	41.689369	38.344367	36.945546	37.379591	41.856470	38.491850	36.963138	33.478228	34.603537	-21.846788	-21.269544	-6.411750	5.313699	13.306013	19.556290	22.379832	28.341485	25.477052	26.694022	25.628030	27.150126	-132.249424	-392.641317	-739.994694	-1132.204764	-1649.961415	-2338.096725	-3246.193905	-4367.727154	-5689.753010	-7254.014618	-9026.259124	-10919.478353	19.043653	17.341250	24.504320	29.834741	41.179385	46.105508	48.439220	58.129162	58.275193	67.807745	72.153855	72.886809	-134.497608	-394.732173	-762.749171	-1195.242326	-1792.618051	-2576.546992	-3594.475569	-4826.321611	-6236.419808	-7869.915446	-9686.683414	-11606.713993	3.243560	7.510858	23.161076	32.703405	37.767900	43.005599	45.795636	51.925236	49.427334	51.148205	50.762933	53.110320	32
1nc3_454	-4.229013	-5.670899	-15.330941	-10.360195	6.668344	22.694883	39.162568	53.001969	63.317496	75.079395	94.252355	97.797587	-9.232170	-2.804850	-3.261406	0.892247	7.447638	10.500888	17.036724	24.975178	32.054147	44.520428	53.826866	57.519004	1.761590	10.380004	17.576258	24.392794	20.852448	18.626387	21.510855	22.632337	23.150392	24.369730	19.390126	21.095456	-16.655868	-12.797785	-5.654268	5.944794	13.221866	16.862885	19.577585	20.279401	21.809618	24.124483	25.751664	26.335062	-135.855607	-385.500477	-719.140052	-1110.985937	-1629.181303	-2307.144802	-3221.818198	-4353.965965	-5677.358821	-7113.532643	-8720.405965	-10501.604351	4.826408	8.611974	5.748998	11.060277	22.202141	28.224426	35.459522	42.797747	48.672207	59.203736	66.191701	67.640307	-134.184482	-390.155066	-739.374740	-1176.378914	-1771.570718	-2543.800116	-3574.724077	-4819.338246	-6231.894476	-7722.931512	-9361.945394	-11167.314251	0.251317	6.000783	13.977863	24.934347	29.816795	32.527222	35.249124	36.078668	37.930079	41.128792	43.782011	45.264622	32
1nc3_466	11.414795	8.674246	4.453502	7.197610	26.632258	43.126950	59.307134	72.757891	85.182639	100.882343	123.461843	130.829619	15.862379	20.805505	27.350119	31.342560	38.309338	42.500963	52.615302	60.962618	70.413413	85.789160	95.270262	104.084800	14.259240	22.188744	32.553774	38.307543	38.220754	38.602288	42.489259	42.019333	45.071500	48.124254	46.833069	52.322682	6.815966	10.588184	21.653825	33.682571	41.914634	49.029620	56.064650	56.030013	60.522403	64.065808	66.166368	71.956923	-118.490789	-354.473882	-687.936274	-1090.705117	-1624.062620	-2304.553414	-3169.174762	-4286.488581	-5609.844423	-7136.755965	-8840.217286	-10675.873001	25.303632	28.438285	31.671341	36.324493	48.269804	55.305940	65.903465	73.651025	81.901650	95.002999	101.842859	108.271131	-121.486790	-361.652990	-715.449043	-1163.717209	-1776.667494	-2548.324252	-3515.487150	-4745.578885	-6159.453869	-7753.758855	-9496.161915	-11358.074880	19.043218	25.171160	36.393413	47.463094	53.733015	59.759676	66.642045	66.722583	71.517641	75.615353	78.495810	85.119738	32
1nc3_471	13.724106	4.630769	-5.305897	3.594268	13.529785	19.711599	33.646620	45.761836	58.627068	64.950622	87.018487	92.913941	2.827519	-2.460455	-3.279551	4.412976	5.788632	-0.118365	4.470014	11.179966	20.002597	24.960295	34.248341	41.195209	11.349569	13.043132	20.217222	29.050429	16.006525	10.747746	15.753044	16.359067	17.340400	14.198676	12.487435	15.424071	-14.273986	-21.105358	-14.140089	-1.195523	-0.893376	0.821390	5.704446	6.843885	8.272221	4.424739	7.114601	10.048623	-121.774157	-376.945463	-723.534659	-1129.574252	-1647.996618	-2332.111859	-3224.869142	-4361.696414	-5706.026028	-7225.661337	-8964.348143	-10817.335546	17.647031	10.010102	6.352736	14.692619	20.103363	16.959961	22.204223	28.299117	35.887410	38.648966	45.197913	49.760984	-127.428682	-389.126458	-750.725230	-1206.247005	-1801.143898	-2572.082834	-3572.267867	-4821.916583	-6261.102231	-7842.040651	-9621.456171	-11501.864686	3.519345	-1.116780	6.317286	18.165549	15.279271	15.831869	20.705065	21.945704	23.658230	20.464386	23.874344	27.672781	32
1nc3_478	1.773530	-5.396364	-5.559938	-1.685359	11.033871	29.345401	42.660849	57.022961	65.646080	81.000643	99.767647	102.645646	-11.240723	-12.511836	-5.062332	-2.175803	-0.638614	4.677277	7.738493	16.434495	22.339462	37.499409	44.930390	48.885638	7.526611	11.082970	25.403291	31.825209	25.305861	25.079521	26.488812	28.100192	26.565755	30.487759	24.142127	27.589206	-19.775980	-22.419880	-9.557052	0.828931	4.581232	10.191865	10.233629	11.824396	11.895649	16.870822	16.239750	19.562286	-119.957872	-369.944159	-688.974497	-1098.070672	-1630.362795	-2302.420059	-3194.710815	-4325.383276	-5638.452395	-7185.286571	-8831.735993	-10628.265003	3.555298	-0.315730	4.760601	8.102303	14.412086	22.580831	26.389791	34.467740	39.218955	52.068189	57.070472	58.773909	-117.389844	-372.805642	-710.089457	-1166.336902	-1776.234708	-2541.226557	-3542.454642	-4786.953307	-6189.060132	-7803.127191	-9484.178070	-11301.761531	-2.256565	-3.046448	10.699889	19.959137	21.486761	26.032288	26.160172	27.847871	28.280936	33.786619	34.121359	38.370965	32
1nc3_488	-0.666054	-10.112682	-26.503095	-22.028075	-1.330125	17.964259	35.237398	45.307388	58.621040	72.531332	93.921751	97.170791	-4.192588	-3.296482	-10.731980	-7.200696	3.855704	11.144470	19.450597	24.916066	34.262433	47.706558	58.694511	62.030591	2.527417	4.736463	4.957504	12.644564	12.010320	13.690521	16.721793	15.852120	18.387203	22.012466	19.331396	22.029289	-12.814654	-12.150177	-12.773287	-1.118054	9.527637	17.915987	21.683541	21.671014	24.881109	28.135581	30.991155	32.425254	-102.806381	-351.197858	-691.054612	-1094.052935	-1605.502148	-2270.181243	-3163.763584	-4261.143231	-5621.283591	-7070.637414	-8649.666657	-10407.047648	7.632341	4.716126	-5.708235	-1.028106	14.599442	24.789928	33.740016	38.660740	46.711461	58.176582	66.904521	68.055037	-103.149653	-356.019499	-715.722266	-1165.430352	-1755.384425	-2509.022696	-3514.874714	-4718.181004	-6174.977733	-7680.744811	-9290.599499	-11069.574457	1.358027	2.585497	2.512392	13.784326	22.099458	29.528966	33.266610	33.435374	36.836534	40.916426	44.829235	47.190077	32
