name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1o0h_105	1.931446	1.095428	1.879386	7.755161	35.112295	52.826170	67.049174	93.987448	95.696380	96.778621	97.262381	92.612699	2.765439	5.598456	12.927776	22.325520	34.804876	50.922474	71.399368	104.465646	112.441134	127.418085	145.256044	163.496857	-1.371500	-2.864261	-4.098388	-3.030144	6.568173	5.938514	4.199394	12.891933	7.178199	2.200187	-5.696334	-10.582043	-2.430738	-3.179382	-1.334579	4.492713	10.625626	14.081127	19.848620	38.527503	43.813204	53.253746	61.870897	76.578843	-30.436932	-104.559325	-217.719648	-353.662054	-569.963381	-883.843751	-1336.221050	-1930.750791	-2743.137412	-3705.231901	-4849.540428	-6155.150933	4.705468	6.225681	12.288459	22.359099	38.075667	56.388629	77.797849	111.166737	119.008137	133.041726	149.586079	166.641828	-34.365230	-114.587957	-243.865029	-404.041091	-667.199117	-1043.841709	-1571.261521	-2242.603858	-3118.527392	-4130.614430	-5318.750095	-6657.530286	0.072269	-0.773030	0.959320	6.856609	13.685456	17.457034	23.278937	41.882587	47.002116	56.270693	64.733440	79.396894	39
1o0h_109	0.767186	3.493615	6.111618	0.806947	39.823295	60.575676	87.463810	116.324076	117.961211	110.708846	111.584750	109.231732	2.000481	10.503536	20.581077	18.282805	36.922400	57.924750	93.009987	128.334449	139.435661	147.933264	167.965133	189.291089	-0.038472	-0.500938	-0.209778	-6.633031	12.162532	17.948626	28.513551	38.577965	29.968018	15.465646	8.708094	7.034315	0.374158	3.225581	7.038906	3.937492	16.647046	29.676798	49.824766	71.208753	76.351293	77.826580	88.390592	106.139536	-16.087721	-73.954291	-182.500455	-379.558684	-661.113109	-1047.481586	-1580.215857	-2292.340357	-3196.454491	-4282.900310	-5489.936639	-6868.678903	1.997319	8.708549	17.087185	16.283599	39.610095	63.370334	99.668057	135.374599	146.370337	153.847330	172.623294	192.768857	-17.180850	-82.512454	-211.395885	-444.451573	-783.345361	-1236.098415	-1852.034240	-2650.624682	-3623.528154	-4762.752774	-6008.972063	-7417.646885	0.665888	2.706924	6.239327	4.638402	19.077339	32.578468	52.902553	74.232603	79.318445	80.716070	91.381379	109.251190	39
1o0h_121	-1.992488	1.242461	1.200394	1.785447	21.554880	55.426045	82.666440	110.933024	113.467913	112.786622	119.219293	108.736708	-0.629125	6.990031	14.496655	19.509132	27.634143	57.419244	91.095530	125.541318	136.660847	150.638740	175.774854	187.835502	-2.937198	-1.463660	-3.161792	-6.007849	-2.081210	12.503699	23.729276	35.937363	27.468273	20.264630	16.032381	6.084773	-3.290978	-0.214048	2.141446	4.718551	7.516092	25.615253	45.268035	67.531259	71.924554	79.871437	93.131080	102.247275	-31.775941	-97.250716	-206.852022	-366.479983	-594.214726	-932.364631	-1401.744803	-2038.879212	-2877.526205	-3878.429677	-5060.580460	-6414.070147	0.308545	6.799718	12.881793	18.468215	29.810252	62.299681	97.000044	131.787019	142.773642	155.800846	179.607509	190.459809	-33.241556	-104.853811	-230.558865	-418.206638	-690.024510	-1098.998001	-1644.901121	-2361.056268	-3267.913377	-4319.461766	-5548.367112	-6934.326693	-1.843948	1.200720	3.327076	6.119478	9.475170	28.259221	48.009064	70.206160	74.464101	82.289866	95.423880	104.529749	39
1o0h_122	5.583083	7.214403	6.395331	4.722929	34.949180	52.418517	72.648349	106.050570	104.135825	100.789223	107.043870	103.082413	7.437547	10.529608	18.204077	21.556637	35.814986	52.982005	80.699967	121.105414	128.231402	138.006046	159.531892	172.994851	0.823360	3.628864	1.459925	-6.191000	3.382964	3.280491	8.274322	25.590701	17.107211	6.595286	4.923967	3.833529	0.117888	1.800674	4.133948	2.915169	8.853477	15.115562	28.748296	56.305544	60.506065	63.225340	75.727595	88.401630	-38.952794	-103.270873	-228.001623	-397.766413	-652.255513	-1004.234699	-1471.187360	-2053.985278	-2799.413022	-3673.973779	-4652.475748	-5678.979157	8.547732	11.929904	17.752677	21.235217	39.698711	59.245151	87.902579	128.580012	135.618958	144.647580	165.191486	177.880813	-44.521108	-110.947607	-253.084276	-451.261340	-763.046877	-1180.498670	-1721.056949	-2375.003605	-3173.063911	-4089.045154	-5098.601699	-6139.570768	2.032324	4.960758	6.801580	5.182337	12.495280	19.012885	32.700227	60.232503	64.457081	67.289656	79.979915	92.985763	39
1o0h_133	-1.425772	-2.970443	-2.484181	-4.618521	16.739230	40.165572	56.088383	76.000977	81.282514	77.148369	86.117068	79.136658	-2.638788	-0.687734	7.426623	8.629229	13.909089	35.818758	58.833380	85.402219	99.418127	109.209082	136.716738	151.132204	-2.820042	-5.241170	-5.246529	-10.248955	-6.927680	-1.133365	-0.460821	2.371163	-3.695928	-13.484464	-14.261229	-20.042598	-5.954093	-7.218023	-3.291564	-4.273640	-4.614998	6.666835	16.437769	30.492343	37.191574	41.519161	57.736821	69.305796	-31.009330	-90.888975	-203.237790	-383.564832	-645.838944	-999.903362	-1526.235780	-2211.959374	-3043.140027	-4032.807142	-5142.496731	-6393.071301	0.006630	1.057021	7.461652	9.416584	18.584089	43.045967	67.221522	94.137227	108.050247	116.952397	143.304324	156.687858	-32.698618	-97.349413	-225.717421	-437.399454	-751.210675	-1171.476971	-1782.171839	-2550.552382	-3445.557636	-4481.183696	-5629.319648	-6904.667010	-2.772506	-3.984217	-0.469316	-0.897696	-0.178277	11.533845	21.437460	35.415410	42.088971	46.436148	62.768866	74.521961	39
1o0h_146	-5.195871	-5.398907	-7.189318	-1.378429	26.868606	44.366048	61.405379	88.515695	89.356153	85.645858	85.219588	74.945145	-3.120525	0.242407	6.286582	15.662397	27.069052	43.758286	68.210233	102.187022	110.328717	119.015762	132.503046	139.773378	-8.669192	-8.126417	-11.102645	-10.463191	-0.724054	0.411005	-0.457576	8.499894	2.129359	-4.167503	-12.439229	-19.275058	-8.740772	-7.353007	-5.966091	-0.546331	4.241749	10.787102	18.720020	38.235519	42.693741	48.678080	52.899746	60.069442	-40.633411	-109.466141	-224.462930	-364.331200	-596.423131	-931.354573	-1394.797057	-1968.191129	-2700.240387	-3547.949610	-4456.831180	-5490.488860	-2.536923	0.028310	4.484447	14.565505	29.671081	48.869731	74.245808	108.508189	116.541538	124.475174	137.092772	143.538027	-44.626175	-116.704158	-246.342711	-412.890657	-695.490521	-1094.730824	-1635.553203	-2280.761918	-3066.222666	-3949.547232	-4885.117562	-5934.747781	-7.513768	-5.865331	-4.901372	0.716443	6.624622	13.701445	21.661867	41.156184	45.590881	51.650439	56.143681	63.543119	39
1o0h_150	-0.592062	-6.118428	-19.365830	-16.044634	15.957322	45.979030	53.355686	85.043788	80.642236	74.051843	84.062709	74.575631	-0.751573	-2.980999	-8.699410	-0.647727	13.622782	41.961500	58.952984	99.081521	105.551102	114.280548	142.004450	153.470860	-3.151793	-8.015379	-19.073062	-20.623480	-11.474387	-3.691540	-9.119466	5.312840	-7.788609	-19.607725	-18.510572	-26.885930	-7.961450	-13.467792	-20.926678	-16.555141	-9.100338	5.736901	10.546093	37.600150	40.135165	43.602537	61.088523	69.294722	-59.630870	-172.690447	-335.570097	-569.116696	-903.169404	-1335.494418	-1925.366677	-2656.514120	-3598.897911	-4650.979955	-5742.980185	-7010.509693	2.113385	-0.945296	-7.907073	1.304793	20.206907	51.312004	69.443278	109.916068	116.284000	124.146069	150.896563	161.398277	-62.803522	-181.111960	-357.354488	-635.182452	-1034.005824	-1544.960652	-2219.122654	-3035.830669	-4045.531891	-5141.246038	-6260.954607	-7549.551539	-3.997347	-8.666708	-16.019874	-10.939856	-2.839787	12.020460	16.903278	43.960638	46.534002	50.255638	68.262912	76.853233	39
1o0h_153	-2.967836	-5.919501	-1.988534	5.754320	35.118660	59.798637	77.259116	101.765741	106.010030	106.916625	111.647397	98.639617	-3.346444	-1.668017	7.166737	17.030222	30.371795	51.296310	75.122586	104.420382	116.558402	132.199593	156.759005	167.238640	-3.778403	-7.906006	-6.420739	-3.741568	8.394819	15.718607	17.689858	26.921599	19.252974	14.745993	10.847215	-1.404012	-5.039002	-6.621809	-2.764145	2.262300	8.689010	18.279685	28.004656	46.470893	50.906849	61.839774	76.754908	84.460168	-18.963455	-73.497728	-147.944114	-272.418413	-478.045945	-782.839267	-1224.618919	-1835.364122	-2644.258278	-3650.539418	-4842.468981	-6185.466303	-2.466687	-2.345597	5.576616	16.249328	33.174049	56.408339	81.195582	110.825000	122.856756	137.472605	160.635738	169.881798	-19.931670	-79.597519	-166.732674	-320.078231	-572.391178	-939.585829	-1454.539250	-2141.432952	-3019.013533	-4078.709234	-5318.137772	-6694.208753	-3.891161	-6.158427	-2.376668	3.400836	11.303979	21.447691	31.261209	49.620783	53.890513	64.513026	79.152004	86.772802	39
1o0h_168	-8.916758	-12.980648	-22.813583	-28.648965	-2.086016	18.409968	39.482002	66.003463	67.464597	55.012940	57.329028	44.231491	-6.579987	-0.414100	2.312398	4.795846	14.865855	34.822193	65.041953	99.220208	111.543628	115.557118	135.823043	142.085357	-8.695574	-8.949310	-11.149719	-18.974608	-16.440125	-10.729097	-6.442957	1.970788	-6.978067	-24.218667	-29.934414	-42.089921	-10.959998	-7.560834	-2.950221	0.351597	4.480242	18.744686	32.496452	52.767496	59.409893	58.471510	69.391542	72.164764	-87.179343	-248.305229	-466.694880	-744.183982	-1116.096253	-1585.005884	-2188.393359	-2962.374245	-3902.521748	-4946.406245	-5978.747472	-7183.460917	-1.935035	1.773091	2.880087	5.618373	20.037335	42.444472	73.652984	108.191788	120.413086	123.627450	143.109308	148.549430	-88.335651	-256.152225	-488.227899	-802.136980	-1240.686621	-1782.995982	-2476.812331	-3340.015223	-4347.302816	-5430.460549	-6481.391379	-7702.401050	-4.894200	-1.428624	3.377721	5.676273	9.274724	22.919464	36.573271	56.894450	63.675834	63.182616	74.915551	78.255426	39
1o0h_172	3.341023	5.612109	-5.763135	-12.704932	19.591739	44.698945	68.263853	86.928308	92.591230	86.625325	91.885219	82.709060	3.408494	7.958185	5.313803	2.682126	13.115146	37.280110	69.968931	96.492787	112.204905	122.474842	147.845861	163.439279	-1.062043	1.070428	-10.380083	-18.293950	-4.345031	2.922671	10.562571	12.790497	5.518618	-6.389697	-9.691296	-18.217857	-3.711869	-2.055079	-9.128924	-11.737594	-4.232842	10.191040	28.356492	42.535685	50.217774	54.681650	70.186720	82.044943	-39.997881	-106.910135	-253.015174	-467.481068	-794.136475	-1232.662624	-1817.127902	-2552.037129	-3522.724441	-4673.232947	-5944.065353	-7368.262311	5.801513	9.974428	5.579376	3.917993	19.659892	46.842673	80.753896	107.618315	123.197426	132.421784	156.490405	170.923090	-45.132676	-116.666755	-281.626606	-530.516211	-920.661444	-1437.283843	-2109.003295	-2925.637886	-3972.854977	-5177.103405	-6487.678678	-7940.410034	-0.568214	1.817644	-5.465598	-7.420074	2.018380	16.846004	35.130424	49.301594	56.909916	61.367045	77.041429	89.138900	39
