name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1o5b_19	20.520164	19.651425	21.463440	19.953101	24.111540	28.796395	33.424236	32.678270	32.956739	34.653510	36.316767	38.317053	14.725031	14.000451	17.752714	15.624606	16.102684	18.855968	24.914922	26.271211	27.849188	29.650302	30.038506	30.447727	23.436766	25.216143	27.786956	28.623335	31.404217	33.803011	37.348659	36.399278	37.919741	41.480511	45.128306	48.727801	13.533045	12.101658	13.553500	14.765421	21.195650	25.399648	27.895267	26.023363	25.725881	25.497959	23.688774	22.714980	-94.701883	-278.446547	-499.847983	-774.082958	-1129.506406	-1544.880181	-2014.900735	-2449.508138	-2825.054066	-3113.992516	-3314.063501	-3472.776718	18.371702	17.338400	21.688953	20.395932	22.459644	26.394927	33.021010	34.504364	36.005914	37.713054	38.062554	38.427903	-88.822496	-277.065492	-518.539194	-824.947262	-1224.981183	-1692.626821	-2215.057916	-2677.280584	-3059.718986	-3335.696493	-3512.966894	-3652.038319	18.251588	17.323600	18.432881	19.102251	24.551563	28.021573	30.351719	28.413267	28.037645	28.307046	27.252551	26.876309	21
1o5b_200	-2.734620	-7.162896	-7.817546	-6.080815	2.061606	8.103276	9.052970	6.323982	6.004103	4.848410	3.605958	3.118013	-5.102689	-4.842990	-2.250100	0.390673	5.512875	9.288548	11.231516	10.284689	11.520833	11.020222	9.359261	7.557484	-1.625179	-2.543370	-0.925246	-0.883731	1.624369	4.223574	4.376118	2.654882	2.872274	4.651367	7.024789	9.622235	-6.085934	-5.661946	-3.821958	-2.036491	3.560393	7.220582	6.498337	3.992213	2.916401	1.546712	-0.720081	-2.443078	-83.339971	-263.520092	-476.377472	-699.393620	-986.058395	-1353.434673	-1805.656535	-2243.344967	-2652.999569	-2966.536587	-3214.833827	-3376.451661	-3.842280	-4.753851	-1.613665	1.520671	7.901818	12.879909	15.543096	14.863800	16.208203	15.655756	13.969190	12.126885	-81.157118	-267.021668	-498.515815	-747.112219	-1074.557858	-1491.577978	-1997.480571	-2465.806846	-2890.089953	-3193.069192	-3421.557256	-3561.987752	-4.125235	-3.937938	-2.333967	-1.276084	3.424570	6.589213	5.786637	3.236461	2.112485	1.177736	-0.435598	-1.581920	21
1o5b_253	13.470776	14.250447	16.239800	13.071708	19.092822	18.780987	22.452589	24.001715	23.222024	24.514385	25.782537	27.104805	4.227285	3.319480	7.829563	5.357861	7.969631	4.946103	9.919610	13.288660	13.837174	15.292506	15.410683	15.136995	16.647458	19.834255	22.698349	20.485083	24.122631	23.537938	27.065627	27.533809	27.617236	30.453106	33.603642	36.924926	3.128480	1.415689	3.654760	3.152444	10.445694	11.044869	13.520693	12.838849	11.108593	10.233811	8.047827	6.798857	-104.592398	-278.856848	-512.620609	-778.429305	-1113.631830	-1542.853770	-2020.256618	-2454.524536	-2812.850703	-3106.093767	-3316.188573	-3474.762205	9.279821	8.194348	13.125590	11.225278	15.208955	13.604823	19.200987	22.708211	23.139646	24.508242	24.593592	24.276429	-98.013120	-277.541971	-532.314726	-827.032844	-1204.705617	-1688.651068	-2219.577032	-2682.788998	-3045.976208	-3327.538303	-3516.054675	-3654.728734	9.238595	8.158978	9.911468	8.592873	14.776312	14.834928	17.164861	16.421532	14.616362	14.229510	12.782722	12.130504	21
1o5b_256	69.937442	74.557715	76.843174	78.320310	83.636963	86.702382	88.149231	89.942597	90.833814	90.971680	92.232317	93.619747	58.188774	59.671058	63.616219	63.834908	66.265583	67.839628	70.699777	74.034166	76.114398	76.136062	76.108930	75.563808	75.214384	82.364256	86.834554	88.791790	90.133755	90.363252	91.950456	93.078200	94.578485	97.272108	101.027430	104.405267	58.097804	58.491429	61.555327	63.440564	69.688010	72.211857	72.544436	72.253154	71.822035	70.531201	68.819596	67.395229	-80.256976	-271.434875	-498.100620	-784.759209	-1144.068842	-1566.623156	-2025.430961	-2466.960691	-2834.921384	-3115.428158	-3327.329046	-3454.483680	63.442030	65.236856	69.818809	70.932822	74.733381	77.353487	80.643361	84.115994	86.094469	86.010477	85.948431	85.352468	-71.620301	-268.935909	-511.672172	-833.751800	-1237.079480	-1712.537246	-2220.279225	-2692.577259	-3068.515969	-3334.918241	-3524.729487	-3629.905378	64.694471	66.260408	68.784851	70.069114	74.994382	76.609495	76.724050	76.368359	75.865933	75.095395	74.136316	73.350965	21
1o5b_272	15.352881	12.592731	13.178148	12.067410	17.399118	23.585972	25.843347	26.222306	25.975897	27.968451	30.458844	32.379009	9.638282	7.637379	11.025378	10.865128	13.636623	16.638932	20.225990	22.211389	23.272373	25.530866	26.813792	27.065687	18.259085	18.248451	20.527003	20.395425	24.761774	28.133585	30.244923	30.370137	31.287239	34.468760	38.900680	42.498305	8.849743	6.032653	7.758291	9.732735	18.509561	22.699388	23.652739	22.482002	21.594232	21.159483	20.190392	19.148721	-101.946687	-292.345768	-533.649176	-794.037365	-1120.280540	-1547.626435	-2009.477032	-2452.202467	-2817.163591	-3128.010299	-3329.091100	-3480.260983	12.459083	9.945215	14.018855	14.244858	18.265262	22.716285	26.813454	28.972749	29.942130	32.135582	33.382295	33.589527	-96.645658	-291.983460	-555.568654	-841.930146	-1206.388975	-1693.418974	-2205.222366	-2678.228909	-3049.197673	-3350.858216	-3529.180552	-3660.154103	12.699540	10.240051	11.743626	12.682258	20.241645	23.893853	24.660163	23.429892	22.471148	22.512063	22.297399	21.861758	21
1o5b_329	-9.298448	-18.276572	-19.714363	-14.811934	-12.739403	-5.496110	-2.148972	-1.690585	-3.015653	-1.913273	0.173586	2.303013	-11.166037	-19.098493	-17.943676	-11.769128	-13.489993	-9.439541	-4.827904	-2.015562	-1.874701	-0.441017	0.556290	1.161855	-7.652122	-13.379378	-12.878114	-7.586500	-5.345207	-0.227044	2.853353	2.787337	2.697684	5.448768	9.038307	12.532261	-12.793061	-20.992580	-21.016117	-13.458824	-8.275678	-2.472563	-0.366322	-1.065703	-2.767323	-3.551449	-5.240249	-6.254651	-128.138873	-309.021056	-541.138798	-784.207989	-1108.963146	-1526.290393	-2003.346564	-2433.737941	-2811.169553	-3101.452763	-3315.991176	-3474.626203	-9.823532	-17.911017	-16.387836	-9.891603	-10.169296	-4.599176	0.666747	3.616179	3.707378	5.052040	6.017817	6.578560	-125.434570	-309.910464	-561.677888	-829.564601	-1194.108698	-1668.624599	-2199.920428	-2657.861295	-3042.889757	-3321.102632	-3515.187603	-3654.448279	-10.407269	-18.014534	-18.528826	-11.987367	-7.747048	-2.361429	-0.392059	-1.158091	-2.927826	-3.229516	-4.194867	-4.620595	21
1o5b_396	-3.549306	-12.738869	-14.396213	-11.486475	-6.495713	-0.544416	1.697914	3.646167	3.469159	5.172645	6.469189	8.398285	-8.618230	-15.024982	-13.539726	-10.104352	-8.949311	-5.097390	-1.550936	2.430342	3.630346	5.766543	5.946429	6.421071	-2.353675	-8.495552	-7.435673	-3.864904	0.429777	4.414812	6.732178	7.748669	8.622591	11.829765	15.179808	18.481917	-10.499539	-17.318561	-16.476707	-11.332330	-3.848354	1.756328	3.038477	3.100398	2.274329	2.004201	0.039054	-1.123312	-107.081689	-304.334806	-539.521638	-792.810068	-1131.209800	-1541.008065	-2014.440281	-2439.175127	-2812.847303	-3114.633431	-3319.777961	-3483.018988	-6.539544	-13.691267	-11.634423	-7.651493	-4.902259	0.148314	4.298096	8.404101	9.559265	11.616723	11.763244	12.194340	-104.842224	-307.440710	-562.922133	-843.371393	-1224.556501	-1686.959031	-2212.543267	-2664.589451	-3045.459433	-3336.512407	-3519.247730	-3663.548028	-7.506190	-14.163135	-13.624365	-9.296266	-2.690568	2.218736	3.339781	3.335137	2.451358	2.652687	1.429918	0.854236	21
1o5b_400	-9.971544	-17.485718	-15.183215	-13.995882	-11.656315	-4.488635	-0.893847	-0.502291	-0.987168	0.879552	2.743752	4.740995	-11.492411	-14.483305	-9.364308	-6.371201	-8.478773	-3.814956	1.002665	3.435046	4.325624	6.518270	7.313416	7.891136	-8.807084	-13.015984	-8.821724	-6.765134	-4.009843	1.202178	3.946187	4.039024	4.790023	8.222698	11.569941	15.030849	-13.177450	-16.692874	-12.888926	-8.056739	-2.840783	3.610204	5.319434	4.455890	3.471771	3.332904	1.412745	0.457609	-111.930489	-318.676103	-543.481392	-791.334248	-1130.089811	-1540.663426	-2019.224281	-2451.385320	-2826.117711	-3116.756686	-3325.997650	-3487.626061	-10.355113	-14.410403	-8.956348	-5.606400	-6.087958	-0.089847	5.391466	7.963201	8.795332	10.894748	11.655467	12.189321	-109.639353	-320.824579	-564.680926	-837.998374	-1220.365269	-1684.386599	-2216.716414	-2676.262056	-3058.547343	-3337.222094	-3525.116350	-3667.654195	-11.125489	-14.759336	-11.543670	-7.701225	-3.307644	2.571935	4.150565	3.223754	2.172836	2.515332	1.328844	0.962084	21
1o5b_406	11.658271	6.185045	6.300408	8.090429	14.912071	15.723564	14.932879	16.276794	15.548174	14.249252	13.792748	14.206797	9.172677	7.384787	10.075342	11.950708	14.929656	14.024719	14.468937	17.680712	18.353624	17.391268	16.031356	14.708238	14.662373	11.715671	12.222856	13.629094	15.565682	14.419178	14.385468	14.525419	14.535419	16.171556	18.783972	22.088642	9.125764	6.560882	6.624243	8.986686	13.924286	14.587508	13.543032	12.736911	11.088414	9.182626	6.652831	5.275515	-87.678816	-264.086579	-486.512879	-737.700512	-1071.503154	-1470.946186	-1937.770717	-2384.940539	-2764.193673	-3074.520017	-3298.951261	-3437.006003	11.935828	9.499652	12.452683	15.008549	19.577200	19.812177	20.887607	24.319469	24.961108	23.931390	22.539330	21.167264	-82.282185	-261.693777	-505.266879	-788.289514	-1167.748947	-1616.760641	-2135.118249	-2614.809163	-3002.901715	-3301.593488	-3504.347465	-3619.631660	12.803578	10.349541	9.890165	11.638996	15.748174	15.728255	14.558135	13.694082	11.981238	10.542454	8.727500	7.963957	21
1o5b_413	32.155789	20.636855	15.566325	13.317825	19.550372	25.615081	27.038964	28.892142	29.432195	29.709741	31.353917	33.476002	33.822324	27.878204	25.976579	23.902208	27.305918	32.189099	35.081762	38.694418	40.372016	40.516303	40.739461	40.894380	33.127737	24.981894	22.913854	22.554923	26.746743	29.478759	31.049015	32.179978	33.178774	35.804789	39.609660	43.446116	31.887078	24.666260	22.000511	23.014163	32.102651	37.362716	37.480902	37.359090	36.358437	34.975876	33.212971	32.245193	-89.685749	-326.575591	-596.673239	-878.952918	-1236.388017	-1658.818952	-2103.154866	-2538.614678	-2898.610832	-3185.770024	-3371.725991	-3495.863497	36.958505	30.114068	28.738807	27.275673	31.993128	37.881466	41.110349	44.855505	46.417824	46.471587	46.652291	46.758059	-86.197298	-328.924386	-621.134523	-932.076790	-1333.207784	-1809.406225	-2296.968687	-2762.303656	-3129.476043	-3403.743475	-3565.886322	-3668.607981	36.166588	29.081949	25.863722	25.912900	33.604135	37.899026	37.767888	37.583333	36.509024	35.640810	34.655725	34.321195	21
