name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1owh_159	160.891769	175.710956	181.591940	186.133580	188.378529	188.555893	180.957975	176.598195	174.941670	175.383161	176.183643	179.157414	124.740396	128.735291	137.545360	146.905639	150.506775	154.654997	155.072229	156.864474	159.030989	159.922911	158.804952	157.583401	172.561120	193.594542	204.950861	210.668789	216.427942	220.991686	222.343983	224.311602	228.561848	234.039527	240.355972	248.774477	124.064546	128.145705	136.876546	142.297794	149.712561	153.173286	151.152825	147.752885	144.801055	141.129781	137.808185	135.344582	-25.981819	-214.906557	-545.731001	-970.578626	-1505.786002	-2191.317582	-2995.952435	-3792.441737	-4558.882375	-5217.824459	-5778.804193	-6240.635255	155.875272	161.586286	170.886120	181.441717	187.263228	193.785608	195.267547	197.522628	199.925888	200.800232	199.671698	198.428920	7.416598	-181.842650	-541.119606	-1029.333731	-1638.065867	-2422.184086	-3322.375323	-4181.962242	-4980.649270	-5634.104648	-6168.504107	-6602.506820	157.344920	163.761303	171.725371	176.296316	182.015997	184.727717	182.499760	179.063090	176.055004	173.111825	170.924277	169.440582	44
1owh_174	-0.933804	-14.884312	-22.002338	-22.184740	-23.355288	-25.884771	-33.103772	-39.007333	-41.953675	-44.733139	-45.290815	-44.324951	-5.822910	-14.375765	-14.593141	-9.516526	-8.689179	-6.748427	-5.409239	-3.235747	-0.029379	0.298420	-0.420761	-1.155195	0.515583	-6.741976	-7.020060	-5.047832	-3.175967	-0.898078	0.274516	1.759089	4.427205	8.873538	14.281557	21.253444	-9.199681	-17.585620	-16.805590	-14.280949	-11.169299	-8.914110	-9.838152	-11.848894	-14.451580	-17.282098	-20.310619	-22.758589	-125.828199	-349.042331	-675.650148	-1044.495182	-1539.296234	-2139.564891	-2877.787294	-3665.472995	-4449.562870	-5158.542167	-5749.711513	-6280.857060	-2.738077	-11.884357	-11.508256	-5.361486	-1.920435	1.891371	4.329481	7.135646	10.761962	11.145508	10.425019	9.678107	-122.978288	-351.733861	-706.521769	-1125.946696	-1692.483892	-2369.912082	-3191.127056	-4042.476492	-4865.285717	-5575.004257	-6144.087631	-6653.337916	-4.985638	-12.974684	-12.453849	-10.575632	-8.280411	-6.838501	-7.903165	-9.946914	-12.593105	-14.840304	-16.866657	-18.464558	44
1owh_187	0.684903	-14.382260	-19.361733	-22.141513	-23.933917	-25.369975	-32.714762	-39.523831	-43.221653	-45.524104	-46.311008	-45.079705	-7.037246	-15.143744	-13.245051	-10.889387	-10.628783	-7.454652	-6.078624	-4.655110	-2.243798	-1.116163	-2.112228	-2.515185	1.560103	-6.521466	-5.318093	-5.289530	-4.188183	-1.253060	0.074265	1.029088	3.504974	8.052358	13.105606	20.094965	-10.651653	-18.174587	-15.985879	-15.480161	-13.115122	-10.274875	-10.873482	-13.339585	-16.114112	-18.714476	-22.130518	-24.538997	-116.202134	-339.335595	-663.062517	-1027.743240	-1516.015102	-2125.539023	-2862.773755	-3656.234841	-4436.934554	-5158.243423	-5748.819303	-6281.863956	-3.092979	-12.110041	-9.661221	-6.232203	-3.393515	1.864827	4.327348	6.399934	9.214140	10.423150	9.425458	9.009182	-113.898741	-342.565194	-695.012820	-1108.701415	-1667.300564	-2358.052686	-3177.191900	-4034.700853	-4852.526356	-5576.621308	-6144.559454	-6655.937676	-5.691097	-13.090470	-11.157490	-11.264676	-9.697057	-7.500334	-8.249679	-10.749878	-13.573029	-15.590636	-18.000425	-19.561410	44
1owh_210	34.600385	33.523030	22.862625	18.814041	21.574511	19.377555	16.378187	9.625495	6.304816	5.678200	6.476582	8.520654	25.295768	30.529335	25.261319	26.031704	30.587781	32.624791	37.671259	38.690008	41.202319	42.017732	41.909093	40.499406	38.934047	42.974905	39.956287	40.889458	45.800406	48.037652	51.591280	54.054960	57.817652	62.652596	68.604448	76.279310	23.347295	25.829935	22.444982	23.220407	29.216818	31.145846	31.708833	29.960262	27.877603	24.218113	21.031734	18.202385	-124.836946	-379.048880	-717.463164	-1115.842521	-1653.883519	-2287.721433	-3054.243899	-3871.532158	-4677.062986	-5354.549439	-5944.355725	-6427.743121	29.704533	34.271704	29.651227	31.620681	38.977409	42.863892	49.044677	50.685321	53.579063	54.408353	54.293386	52.864290	-118.641078	-380.077360	-743.965622	-1194.517231	-1810.995851	-2522.930615	-3379.224632	-4262.011114	-5104.974002	-5778.535111	-6344.910636	-6801.229529	29.167571	32.137241	28.241606	28.313635	33.339068	34.279014	34.732233	32.956186	30.825111	27.855946	25.740453	23.857171	44
1owh_213	59.968545	53.097653	55.073736	50.432337	51.642903	49.181988	44.469647	41.889480	41.388926	38.749280	37.772488	39.148795	41.600861	35.151558	43.410203	44.383526	47.651799	49.444011	52.218828	55.985505	59.362046	59.687233	58.001968	57.349934	65.468135	66.969046	73.913458	73.072154	76.506392	78.960893	81.035695	83.989289	88.502888	92.875318	98.317136	105.544427	39.188288	34.074064	40.723701	40.552279	46.236364	48.391759	47.309604	45.520214	43.470390	40.418343	37.092553	34.668381	-94.454453	-329.068640	-693.149397	-1115.471464	-1627.258638	-2256.885810	-2997.552490	-3755.237853	-4474.673162	-5188.772236	-5770.239812	-6297.610333	53.943031	47.493050	56.426015	58.395901	63.706243	67.227350	70.921929	75.153626	78.746105	79.135304	77.442095	76.776771	-80.386420	-316.937232	-715.939171	-1191.774584	-1771.416472	-2482.806389	-3309.867657	-4128.793665	-4878.657734	-5596.262508	-6155.125566	-6661.151830	53.083121	48.926738	55.231361	54.044412	58.014148	59.044414	57.734566	55.905013	53.795266	51.344803	49.050006	47.492121	44
1owh_216	21.368075	12.106498	8.217684	6.957119	5.722590	5.078995	-1.712495	-5.303117	-7.693144	-8.658520	-8.401054	-6.865678	4.174675	-4.439596	-2.885049	1.284031	1.874791	5.645773	7.274585	10.649165	12.085374	13.897298	13.543240	13.077918	25.474006	23.527914	25.911733	27.286654	30.035816	34.221264	35.097866	37.811270	41.866834	46.825696	52.618907	59.833859	1.340473	-6.964891	-5.171243	-2.976649	1.221290	4.775843	3.040286	1.230680	-1.360667	-3.955974	-6.917241	-9.403997	-135.985788	-371.554352	-711.959098	-1104.998641	-1618.179354	-2273.621368	-3043.410074	-3827.275612	-4550.959349	-5256.689162	-5840.500087	-6371.495617	11.019391	2.201822	4.635289	9.688356	12.671552	18.800000	21.505737	25.411782	27.045347	28.905712	28.553132	28.072252	-128.708373	-369.098377	-740.087503	-1183.223096	-1766.019780	-2512.810599	-3371.516821	-4216.484973	-4965.578188	-5672.921020	-6233.951942	-6742.940980	9.582586	2.087875	3.745676	4.942483	7.913107	10.865386	8.957360	7.116210	4.463621	2.482848	0.568394	-1.049366	44
1owh_217	45.668622	40.839469	34.156529	28.315789	29.791830	30.336344	23.967232	20.771870	20.315782	18.541930	18.781869	20.330136	29.164603	26.723916	26.241765	26.294758	29.793832	34.708449	36.040835	40.422344	43.565056	43.353506	42.445649	41.785480	49.505735	51.131718	51.346941	50.470169	54.943397	58.595655	60.226616	63.836765	68.638723	73.907775	79.883073	87.358752	25.697860	23.096022	23.128416	22.359608	28.704265	32.015558	30.545205	29.794101	27.594064	24.543918	21.426247	19.072853	-103.498422	-331.575097	-688.518113	-1127.949797	-1670.358875	-2316.305859	-3067.509138	-3879.163226	-4609.395183	-5284.263506	-5854.971556	-6380.771091	39.941979	37.266288	37.313442	38.899120	44.646930	51.483555	53.715259	58.695057	62.036303	61.853129	60.943350	60.268613	-94.001251	-325.435435	-713.964803	-1216.178601	-1829.542922	-2559.522205	-3392.250660	-4271.286390	-5029.548892	-5700.339671	-6246.566107	-6750.124906	37.886749	36.011344	35.616943	34.442038	39.206448	41.516982	39.800128	39.016465	36.760612	34.393982	32.354643	30.885309	44
1owh_225	63.903952	61.761980	59.188173	57.832199	55.375943	55.460128	49.181287	45.003588	43.148829	42.208682	41.782459	43.648505	47.396084	46.879983	49.985994	53.397549	52.900591	57.186842	58.161327	59.857266	61.846508	62.674900	61.830623	61.314805	69.771776	74.205678	76.893122	79.604458	81.482985	85.601423	86.228330	88.534022	93.040887	97.769288	103.515964	110.878536	45.035255	43.055645	44.994336	47.764654	52.049624	55.569598	52.664259	49.763621	47.527644	44.109418	41.131441	38.603024	-121.011803	-385.034768	-754.836897	-1170.966408	-1683.921136	-2333.263578	-3087.534775	-3845.347137	-4579.763082	-5260.072323	-5860.778406	-6380.910724	56.942573	56.436891	60.379929	64.675592	65.973306	72.293818	74.239012	76.367945	78.584832	79.445382	78.602338	78.071825	-109.292246	-380.064307	-783.055774	-1249.455200	-1826.705751	-2565.612991	-3406.357500	-4222.684717	-4986.605607	-5666.645248	-6246.318936	-6744.767655	56.303789	55.461630	56.963225	58.510208	60.803911	63.394642	60.298482	57.356445	55.066236	52.303039	50.351176	48.709078	44
1owh_227	41.808174	30.572071	19.436620	21.856533	26.549243	26.013696	21.932147	18.155676	15.714024	13.376757	13.953863	16.398306	20.402761	11.756230	6.081116	13.634798	20.326063	23.847410	26.232004	28.214696	28.299290	27.693830	26.571594	25.269503	48.619327	45.271409	42.539664	47.746698	54.063877	57.640513	59.690868	62.588894	66.318029	70.905592	76.983715	84.958393	17.200355	7.150416	3.110684	8.276509	17.864880	20.760152	18.612841	15.938504	12.013309	8.232851	4.823655	2.152413	-169.628319	-485.453563	-894.412152	-1354.929258	-1879.365040	-2545.694803	-3290.843774	-4070.269642	-4781.130383	-5479.892099	-6045.841186	-6524.551718	36.098352	27.387368	22.372084	30.888224	38.812357	44.088542	47.184718	49.596504	49.774427	49.198380	48.068141	46.745365	-155.585743	-476.519126	-915.565620	-1432.870471	-2018.017118	-2775.870766	-3607.209165	-4449.341119	-5186.681291	-5886.036289	-6427.844667	-6881.443642	34.942639	26.083718	21.165114	24.933261	31.675391	33.251857	30.762697	28.045743	24.037860	20.926455	18.627302	16.906914	44
1owh_229	46.922825	40.733031	34.879541	31.646594	32.853343	32.436804	27.920199	23.403160	21.839097	20.774364	19.153376	20.662635	36.191858	33.653135	32.811898	35.301094	38.705032	42.265290	45.488285	47.115468	50.791473	52.005436	51.303382	50.639810	50.982187	52.221484	53.805806	54.396253	57.952338	61.132823	62.783041	64.466373	68.161805	72.851330	77.959076	84.969002	34.005193	31.616794	32.611293	33.767035	39.661220	42.621598	41.745157	39.017589	37.239522	34.577700	32.011204	29.614285	-97.246505	-341.424531	-662.715874	-1070.396019	-1556.213440	-2138.254033	-2848.296044	-3569.332381	-4306.306523	-4964.546071	-5583.142186	-6082.123885	42.549662	39.574236	39.795739	43.491479	48.692539	53.830188	58.001833	60.087308	64.099697	65.347963	64.647512	63.967416	-90.446198	-341.152765	-688.761767	-1150.958156	-1698.707213	-2355.523324	-3148.160741	-3924.272346	-4697.247093	-5355.952044	-5958.286755	-6435.550083	41.703933	40.002998	40.957256	41.468848	45.645885	47.545309	46.471744	43.713659	41.878186	39.808630	38.146416	36.591280	44
