name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1owh_159	111.328857	133.603085	131.862470	139.642255	160.763113	176.328564	184.187140	191.220444	195.157796	199.364674	209.704230	215.055181	53.622522	64.380915	63.375224	68.163470	81.078898	90.441484	98.222344	105.892111	111.052031	113.783286	115.184993	122.352859	126.888475	159.920689	170.622203	173.114646	171.340831	169.224302	165.678462	164.088612	164.800274	164.689689	163.976612	163.434791	46.916773	67.090835	77.051761	84.169277	89.170593	90.852719	89.077991	88.021814	89.431004	90.335526	91.060041	89.562071	-58.205437	-229.504450	-546.310567	-961.290994	-1473.422431	-2176.248051	-3079.576760	-4211.622192	-5505.453070	-6983.933326	-8752.906885	-10679.475531	96.200301	110.359718	108.617575	112.227778	126.105169	135.853040	141.530658	146.229239	148.634663	147.592933	143.764929	145.647592	-38.876674	-201.250177	-533.494835	-1002.249725	-1596.421374	-2408.115712	-3427.996635	-4672.607387	-6048.300217	-7575.755936	-9380.356060	-11341.920692	93.535317	119.188786	128.913812	135.621819	139.534000	141.162642	139.690997	138.933561	140.818345	142.604941	144.119292	143.642851	44
1owh_174	-14.538819	-17.927421	-24.345832	-14.417945	4.301871	14.949605	27.741701	37.313793	45.312936	54.168202	65.579265	71.746805	-19.615300	-21.311050	-23.172084	-13.835832	-2.565619	2.340484	14.106927	23.251611	31.216637	37.363567	40.163975	48.488364	-12.677797	-5.693655	1.368182	6.077804	5.376582	2.002738	3.934187	5.341413	8.300972	12.638428	11.928870	13.670450	-25.216070	-21.034671	-13.422666	-4.462051	-0.382412	-2.502262	-0.573507	-0.289810	2.197207	6.313687	7.261443	8.762866	-117.623376	-312.128126	-614.736126	-951.955862	-1402.768415	-2000.719011	-2809.303181	-3809.431152	-5030.788847	-6474.768672	-8165.548305	-10049.646947	-11.306368	-14.402753	-17.355092	-8.708237	3.568610	8.618637	18.300103	24.742446	29.841051	31.842268	29.365448	32.145933	-117.270049	-310.222901	-629.322459	-1009.673057	-1535.341046	-2220.632184	-3134.608648	-4233.042358	-5538.485050	-7037.691759	-8767.548209	-10688.749653	-14.654909	-9.356175	-1.999802	6.771055	10.293558	7.918133	9.934780	10.398771	13.088983	17.546696	18.914701	20.989967	44
1owh_187	-7.506946	-19.406650	-29.529039	-20.722902	-3.202422	10.705341	22.744250	32.980852	39.382876	45.061962	54.202645	57.616487	-15.062941	-22.656089	-27.545769	-19.580704	-10.097579	-1.686518	8.765449	19.035106	26.009225	29.966580	30.381909	36.273460	-6.425456	-8.033740	-5.402687	-1.120679	-2.751024	-3.692525	-2.211689	0.650714	2.531808	3.071334	0.749301	-0.686241	-20.118619	-21.969581	-18.359335	-10.262788	-8.101474	-7.462246	-6.645370	-4.349779	-2.391758	-0.879230	-2.017407	-3.363630	-99.441209	-294.728302	-598.489096	-930.911650	-1379.642659	-1977.221140	-2777.173628	-3775.736997	-4983.345744	-6422.258727	-8092.215529	-9952.590133	-6.258522	-16.024312	-22.173346	-14.899722	-4.395695	4.168364	12.551854	20.090450	24.240845	24.054850	19.296193	19.762991	-98.732768	-292.760613	-613.878122	-988.478493	-1511.745090	-2198.556677	-3101.015011	-4197.187558	-5487.202039	-6981.906712	-8689.062938	-10585.941592	-9.360060	-10.860855	-7.559950	0.366509	2.065273	2.500177	3.392241	5.837155	8.002500	9.833364	9.144467	8.407737	44
1owh_210	6.381688	11.738458	0.217014	8.000245	23.012216	33.473359	48.703082	55.533379	60.684401	67.484790	83.346586	85.146039	1.940132	11.399609	3.428210	9.301584	14.722178	20.869797	34.685558	42.089575	47.800515	52.812980	60.017872	63.814371	10.371176	27.807433	31.561905	37.126552	31.933002	27.347432	30.245086	30.204319	33.189939	35.544273	37.646335	34.816497	-2.035956	13.540345	16.875876	25.911911	24.629365	23.577295	25.869923	25.797812	28.918580	32.000299	35.735341	32.176566	-113.955202	-339.906400	-651.420931	-1019.035249	-1532.219087	-2169.794591	-3020.385777	-4087.079287	-5363.670588	-6817.912777	-8467.124151	-10296.896586	12.444119	19.903529	11.442822	16.699254	23.290183	29.666856	41.482968	46.071380	48.866982	49.985305	52.409400	51.213752	-110.827817	-334.531866	-659.541868	-1071.934550	-1668.490339	-2394.658761	-3356.544473	-4527.232217	-5886.749629	-7392.006529	-9074.616034	-10935.393196	11.117713	27.733313	31.033093	40.018725	38.244734	36.896486	39.474331	39.663732	43.065066	46.807674	51.417052	48.848460	44
1owh_213	12.647031	15.802303	10.616139	12.143632	26.552297	39.592715	54.183051	61.921233	66.125145	70.908954	84.073305	90.418778	-9.703055	-7.583795	-8.836452	-8.678494	-0.646708	5.074105	18.374246	26.744451	32.376850	35.179536	37.939791	46.606716	20.463448	37.140708	44.866109	41.402630	34.787706	33.433017	36.520706	34.646883	36.929436	37.052179	39.287430	38.274072	-14.245053	-2.929420	4.475848	6.127249	7.511260	7.435202	10.356443	8.349507	11.258331	12.266347	15.113487	13.760620	-115.036744	-322.917744	-679.384826	-1089.356124	-1588.462088	-2287.503234	-3193.397077	-4294.374864	-5532.574892	-7076.780655	-8924.017906	-10933.292682	13.913223	15.692684	12.913084	12.061473	20.994991	26.781724	37.788378	43.361642	46.471500	44.998395	41.979125	44.886741	-107.076989	-307.917148	-686.200516	-1144.463987	-1718.758994	-2522.892943	-3547.082905	-4756.036339	-6068.593354	-7670.425908	-9559.751610	-11609.732158	12.385238	25.977457	32.914662	34.129693	34.354080	33.949868	37.007487	35.375925	38.847708	40.394820	43.694597	43.126897	44
1owh_216	-5.678253	-9.681027	-10.012735	-4.846907	12.257423	28.412234	40.610821	49.402979	50.975275	58.622289	70.643760	76.576542	-15.729717	-20.218076	-16.591488	-11.318051	-3.117593	5.446510	17.106043	26.374307	29.218876	34.350607	37.403333	45.458664	-0.091238	8.312856	22.014824	22.792777	20.592458	22.334120	24.151043	24.291281	23.300178	25.867933	26.596764	27.302084	-19.647114	-16.567555	-2.866247	3.800419	5.624462	8.023978	10.303136	10.065100	9.904178	12.695055	15.039184	15.273148	-126.571338	-341.343349	-653.362603	-1015.489029	-1498.201898	-2173.971228	-3031.440740	-4073.524274	-5304.334428	-6824.876642	-8601.996054	-10531.820975	-0.991014	-6.410725	-3.495402	0.912595	10.127578	18.966854	28.525988	35.143970	35.321404	36.100342	33.620458	36.162115	-121.650369	-332.737500	-662.425856	-1065.696766	-1626.335498	-2406.245676	-3373.048680	-4515.082335	-5822.119635	-7401.733215	-9219.336645	-11185.556379	-2.192487	2.674694	16.412201	22.595590	23.733672	26.102981	28.574619	28.692002	28.929640	32.093288	34.902030	35.909563	44
1owh_217	3.884567	2.266205	-6.054544	0.838756	15.150544	25.539533	37.549309	46.606808	49.551407	54.069595	65.275762	72.686143	-15.144429	-17.094018	-21.789793	-18.874185	-11.671321	-5.723526	5.997778	14.665669	19.179623	23.272746	25.397112	34.827560	9.099510	19.263934	25.519570	30.072797	22.692186	17.213176	18.999847	19.336633	19.436020	20.281314	19.588919	21.502004	-20.396514	-15.101411	-9.441004	-3.068872	-3.318281	-5.081313	-2.879451	-3.460179	-2.092535	1.072792	1.744336	3.038470	-118.713479	-320.766420	-658.973067	-1073.999135	-1598.484866	-2257.289161	-3104.425252	-4209.710266	-5516.671158	-6981.526989	-8738.503713	-10709.606017	4.922137	2.287374	-3.985740	-2.117804	6.075538	12.254666	21.987330	27.649546	29.202409	29.477440	26.304615	30.057937	-114.285569	-311.251760	-667.947699	-1137.416963	-1741.531955	-2493.243932	-3445.274637	-4662.007175	-6054.822509	-7568.352491	-9362.777370	-11372.543172	2.352855	9.460729	14.575231	20.830515	19.647440	17.579732	20.058468	19.666234	21.347482	25.295761	26.631479	28.667129	44
1owh_225	11.424038	15.347485	17.618742	22.915372	36.986647	53.414855	68.972617	76.815108	80.705415	87.204397	100.712146	107.418698	-8.450526	-7.758878	-2.533021	3.137455	10.138894	19.150513	32.957359	42.206951	46.810818	51.891361	54.648847	63.357418	19.786544	38.189914	52.160861	51.887844	45.908625	45.790150	49.339099	49.037637	51.028648	52.643258	52.373802	51.961459	-13.733273	-3.883242	9.456971	16.425504	17.928102	18.982071	21.909773	22.314740	24.388355	27.457281	27.504541	26.647480	-142.140372	-389.201578	-731.188259	-1119.784090	-1619.945651	-2302.658563	-3216.747274	-4282.281330	-5545.449321	-7032.416984	-8897.667410	-10949.379592	14.504044	15.203363	19.837648	24.945744	32.813652	41.999664	53.559860	60.226058	62.187876	63.320264	60.164439	62.840761	-134.374758	-375.900846	-737.970380	-1170.500218	-1746.820689	-2534.517844	-3570.482539	-4737.603840	-6079.022369	-7618.804317	-9531.142853	-11626.870214	12.765247	25.706446	38.934376	45.584299	45.851290	46.629137	49.776299	50.683121	53.264328	57.054611	57.458610	57.232086	44
1owh_227	-0.656756	-1.194530	-7.277947	-0.345207	14.379962	29.777164	40.892591	48.660967	51.480130	57.468111	73.013426	76.763662	-23.510379	-22.027234	-24.705337	-17.944213	-7.902047	0.126236	11.065293	20.147505	23.719062	27.375246	32.041968	37.881298	8.693328	24.491866	31.908469	32.550608	23.213880	21.249236	20.493347	19.372029	19.216488	19.245341	20.182762	18.964596	-29.858405	-18.442623	-11.275014	-2.946073	-0.603152	-0.625268	-0.968489	-1.624111	-1.439372	-0.726456	0.910926	-1.112749	-188.602131	-477.895941	-864.417899	-1304.293973	-1828.003735	-2552.983817	-3464.052495	-4565.763120	-5879.347038	-7463.663184	-9364.611659	-11330.461437	-0.148227	1.221954	-2.217006	3.925174	14.668173	22.664587	31.563607	38.040049	38.844068	38.184147	36.976287	37.558208	-179.059934	-460.274194	-865.950202	-1354.045774	-1953.001759	-2789.980440	-3819.844470	-5029.152026	-6427.500713	-8072.444063	-10019.698098	-12018.670854	-2.223641	12.548363	19.284184	27.279878	27.732950	27.127414	27.183097	27.120079	27.817082	29.174197	31.371959	30.543524	44
1owh_229	11.526815	10.573524	4.589628	10.075998	24.702992	41.894027	57.021507	61.753828	64.742214	68.137936	79.458931	83.285336	9.602003	10.760467	9.022760	11.654286	21.396229	33.238109	46.864467	52.843451	56.132237	57.729098	60.566421	66.451899	13.960845	25.545440	33.764628	37.353540	31.427900	33.064453	34.927633	33.808023	34.369979	31.806133	30.344099	30.707566	5.061103	13.208019	21.377674	27.141882	29.552235	33.224220	34.407322	33.742416	34.146449	32.489677	33.141956	32.912395	-91.820655	-319.944150	-627.047645	-1022.898057	-1495.809411	-2120.187496	-2966.402175	-3992.201666	-5246.149317	-6716.445731	-8485.271552	-10358.767673	17.334632	15.994255	14.036573	15.774226	26.324940	38.332311	49.790383	53.141927	53.535947	51.025579	48.289931	48.914614	-90.655656	-317.624452	-641.949172	-1086.079278	-1629.495902	-2346.302346	-3304.315570	-4425.691461	-5761.612909	-7287.743632	-9099.131273	-11005.128980	15.112203	23.857155	32.444636	38.058997	39.347941	42.734623	44.027915	43.685192	44.330668	43.141074	44.170063	44.790221	44
