name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1p1n_116	-13.187164	-7.254616	-9.086906	-4.351637	11.341507	22.567981	27.484745	33.441899	50.367004	52.325594	67.936436	81.278590	-14.736005	-12.354822	-4.353073	6.076994	23.132798	39.278458	51.723222	67.363822	92.869771	103.413296	116.482597	138.124181	-13.418264	-8.945715	-10.264446	-13.181882	-14.493370	-17.142066	-14.593099	-15.207096	-10.096946	-17.546915	-18.462173	-13.437840	-22.576290	-29.402833	-33.249652	-36.071771	-36.382711	-38.737487	-36.235792	-36.672894	-30.780832	-37.349875	-37.573124	-32.643111	-117.461892	-268.211114	-494.733589	-764.470467	-1163.381668	-1684.408541	-2339.559889	-3165.108561	-4149.409385	-5314.335462	-6690.384382	-8176.478696	-5.431095	-1.813739	2.548192	9.431631	21.290422	33.650385	43.240365	54.830711	75.509431	80.991335	89.321257	106.321291	-119.377880	-279.742216	-533.043847	-845.913699	-1320.120459	-1927.962923	-2665.911223	-3579.834550	-4644.223757	-5865.809991	-7285.388157	-8809.766499	-11.360250	-12.508326	-15.724120	-17.469865	-17.684531	-20.003441	-17.682311	-18.136690	-12.102931	-18.490955	-18.723119	-13.740809	29
1p1n_216	-3.768969	-3.346254	-3.649893	-5.682173	9.305854	19.101787	25.097746	23.600748	40.431116	49.422082	65.054394	79.774273	-7.469279	-8.104419	-1.910168	0.900038	17.051219	31.031532	44.793028	52.770304	78.166387	95.432945	110.265855	133.550119	-4.138292	-5.749052	-5.191975	-12.492681	-15.243271	-17.622970	-18.112438	-23.014600	-20.869959	-20.035004	-21.717153	-14.715311	-15.161945	-26.343120	-30.139275	-38.462753	-40.053286	-43.120963	-44.022821	-48.679891	-46.281606	-44.615953	-43.236917	-35.813231	-103.751122	-274.587235	-484.547965	-748.717733	-1131.330783	-1639.471699	-2310.978842	-3115.846191	-4129.102411	-5263.240528	-6594.657893	-8057.421910	2.584467	1.114878	5.502054	4.436629	15.740831	25.965959	36.505706	40.702733	60.833886	73.225167	83.585917	102.336133	-105.369223	-288.352864	-518.792256	-825.505932	-1279.381329	-1872.129359	-2637.423187	-3523.024212	-4624.442817	-5811.513176	-7183.568278	-8683.306625	-3.278974	-10.420670	-12.466786	-20.081145	-21.558945	-24.593095	-25.558192	-30.242591	-27.789457	-25.922307	-24.536046	-17.024388	29
1p1n_333	-15.365162	-5.866761	-12.468666	-12.610310	9.071978	19.653465	27.210599	31.208249	40.849207	50.608158	69.582186	87.388929	-13.891587	-8.002216	-6.120672	-0.030632	22.507287	38.265040	53.440339	67.074115	85.617147	103.708902	120.229381	146.673040	-14.900338	-8.619802	-12.852360	-20.655346	-16.387398	-17.808542	-15.425148	-17.004768	-20.030351	-19.237105	-17.228959	-7.367429	-21.183029	-26.443153	-33.389507	-40.724078	-36.352266	-36.784225	-34.708853	-35.727650	-37.997332	-36.518601	-33.843747	-23.431216	-119.732232	-273.029292	-495.186164	-763.218939	-1154.878450	-1661.510126	-2331.073781	-3136.196773	-4150.477435	-5293.017603	-6658.511806	-8112.220105	-7.161484	-0.264957	-1.155679	0.947803	18.254304	30.467624	42.465532	52.313680	65.705582	78.854927	90.694945	112.674740	-121.432398	-286.308701	-528.802216	-843.167925	-1310.731102	-1898.612623	-2658.384373	-3546.491151	-4645.468508	-5842.737785	-7251.446272	-8741.473148	-12.541795	-12.235894	-18.164246	-24.728232	-20.252563	-20.653453	-18.706160	-19.725894	-21.914846	-20.244808	-17.557189	-7.064701	29
1p1n_425	1.182180	7.903857	16.747216	19.228106	40.208292	53.406840	56.567128	63.698473	79.012312	96.484237	114.472761	128.730042	-3.273020	9.265822	29.023177	36.854782	59.666084	77.817776	88.737419	105.541024	129.153672	155.258326	171.699885	194.669772	0.153624	8.638647	16.154514	11.458724	13.126276	13.215007	11.931502	14.592218	19.170158	28.901463	30.915747	38.823892	-9.334915	-3.235127	3.333831	-2.316546	0.498581	1.030249	0.003770	2.428942	7.423108	18.482574	22.915839	31.109932	-65.218214	-228.279727	-435.797909	-714.427817	-1105.674897	-1620.363208	-2265.635753	-3101.355438	-4079.427776	-5182.672435	-6449.703791	-7930.988954	4.903263	12.012696	28.464566	31.499020	49.286777	63.706272	71.835947	84.366800	103.175021	124.593353	136.952404	155.201075	-66.713126	-239.087517	-473.844523	-801.120474	-1266.914019	-1865.422032	-2592.512504	-3517.333796	-4572.811132	-5726.137652	-7027.781369	-8547.080196	0.069951	5.428009	12.739737	7.383413	10.331057	10.908923	9.677734	12.083314	17.188087	28.472711	32.900785	41.168617	29
1p1n_433	41.127028	41.196624	39.862277	47.683745	65.542715	73.650971	80.870913	82.595019	95.239761	107.542240	126.262783	135.283999	36.288164	34.782427	42.439272	57.202562	77.575263	91.244295	105.804256	116.388173	136.483438	157.893441	174.926872	192.359868	39.780673	40.301457	42.551040	42.774442	43.959973	39.606650	39.486071	36.186004	37.643964	40.809531	41.662196	44.443822	26.659245	18.922704	19.254169	20.445785	24.685197	21.903765	21.990172	18.339571	19.289971	22.972505	25.516466	28.559383	-40.208365	-188.967479	-392.235635	-662.058421	-1009.567263	-1496.608355	-2124.884717	-2933.337319	-3893.940247	-5083.084628	-6370.483169	-7814.174711	45.716937	43.589244	48.031551	57.961541	74.721284	84.815911	96.431115	102.941300	118.223842	133.961922	146.732878	159.643586	-42.772825	-197.962312	-423.162790	-741.125477	-1150.098252	-1718.559087	-2433.217624	-3328.895657	-4368.813817	-5621.662043	-6948.286919	-8427.200447	37.698827	33.441773	34.537963	35.973161	40.759216	38.039786	37.996082	34.401492	35.470354	39.183497	41.739629	44.824802	29
1p1n_462	7.292335	9.632481	7.501491	14.146903	31.686527	46.263991	53.312628	56.527006	72.847001	87.818916	103.183089	115.326533	5.387935	6.141361	12.081870	23.573717	42.184813	61.416413	76.185142	87.718690	112.246390	135.925509	149.997074	170.092490	3.322797	6.681956	8.151538	7.469758	6.141694	5.595648	8.148048	5.214057	12.225919	19.702985	19.443169	25.662516	-6.039215	-11.792818	-12.363255	-13.325274	-14.572971	-15.370765	-12.586188	-16.358157	-8.726648	-0.404285	1.566195	7.453041	-95.794090	-241.396512	-438.203263	-684.731364	-1065.246006	-1581.274591	-2239.955973	-3034.352688	-3977.985414	-5107.024579	-6391.632395	-7841.766406	13.627198	15.932308	19.496759	27.205851	40.528469	55.646808	67.349406	75.176942	95.162280	113.804198	123.639155	139.162537	-100.469421	-251.818108	-466.709854	-755.909717	-1214.044224	-1820.475746	-2566.024674	-3443.113271	-4460.452011	-5644.203665	-6965.527710	-8451.665766	4.111179	4.089256	4.674900	4.423992	3.184015	2.403478	5.075061	1.339345	9.130060	17.603602	19.571898	25.510192	29
1p1n_465	-1.311903	8.370085	14.019123	16.852792	32.346912	42.608511	49.898459	58.691757	69.588818	81.116482	102.556994	119.882058	-0.067078	2.785722	17.998098	26.707385	43.732953	59.420770	73.464846	90.976130	110.097707	130.708051	150.915174	175.731552	-3.840046	5.694150	10.821329	6.466728	6.283822	4.469225	7.592876	9.251666	8.229287	11.174718	12.417885	23.098252	-10.529633	-15.397533	-12.505401	-15.835325	-15.219461	-15.981163	-13.656675	-12.218388	-13.599893	-9.407975	-6.056567	4.490297	-113.940958	-257.937727	-472.021591	-728.275191	-1118.775730	-1624.298334	-2278.345384	-3059.309326	-4090.148334	-5254.817407	-6601.358269	-7991.998852	7.900255	13.645768	25.657244	31.237481	43.027105	55.081340	66.152932	80.069490	93.765493	109.163892	124.795505	145.544747	-118.719568	-269.733887	-509.399166	-805.681436	-1269.902158	-1858.478671	-2599.471199	-3463.324797	-4582.342495	-5804.768988	-7196.079349	-8617.310812	-0.487358	1.874225	5.641513	3.520633	4.192537	3.471216	5.665686	7.155724	5.811525	10.142347	13.507943	24.149640	29
1p1n_482	-3.906976	-1.313708	0.396015	6.290779	19.257092	32.723933	28.324230	37.764169	51.752310	63.469500	77.211304	97.445015	-6.873367	0.660382	14.573208	26.991333	42.096522	60.294187	64.004454	82.948028	105.488866	126.090865	137.954564	166.770355	-2.286777	-2.368144	0.078955	-3.383613	-6.584831	-7.637680	-13.382100	-11.414626	-9.853840	-6.334832	-7.974644	3.130676	-12.204033	-15.274479	-13.298066	-15.483081	-16.633998	-18.092486	-22.777248	-20.674044	-18.492290	-14.131768	-14.500219	-3.041109	-75.527114	-242.437684	-470.380708	-745.136403	-1132.968182	-1675.270283	-2329.866300	-3146.873154	-4144.265956	-5313.008871	-6675.884494	-8135.743118	-0.075274	3.392994	12.797562	21.344684	31.781362	45.605911	46.652902	61.625957	79.202162	94.614794	101.877500	126.194248	-74.031823	-251.805522	-508.591131	-829.635607	-1285.398637	-1923.347881	-2655.857757	-3561.082103	-4640.772719	-5866.300455	-7269.943623	-8767.484669	-4.013545	-6.596461	-4.494944	-5.805842	-6.799999	-8.207877	-13.102268	-10.993206	-8.689195	-4.173844	-4.530247	7.001530	29
1p1n_489	-3.798214	5.804529	8.951948	15.035642	31.102043	39.148740	45.321258	51.098802	68.497621	84.729749	98.085504	114.749981	-4.552909	8.540744	21.207739	34.380042	52.679810	65.939905	79.317341	94.816959	120.749535	145.646134	158.275931	183.521465	-3.392027	3.821799	6.528035	5.042958	4.683126	1.796633	3.879226	4.382025	10.183468	18.241006	16.684959	25.630302	-9.098060	-5.474208	-4.456516	-5.975435	-4.332401	-6.592127	-5.071711	-4.236900	2.691120	12.623240	14.277074	23.698053	-62.924900	-207.308693	-404.325269	-682.789604	-1059.165884	-1561.720131	-2213.474747	-3012.615688	-3938.562500	-4991.722258	-6209.287266	-7625.040517	0.720413	9.465217	19.071985	26.609194	40.490528	50.087281	60.413657	71.997416	93.494409	113.990160	122.747037	143.481979	-63.461937	-220.483469	-444.140006	-774.486464	-1217.511299	-1799.887040	-2536.273283	-3418.748884	-4417.793105	-5518.331110	-6767.821637	-8221.217271	-2.678060	0.841932	2.712495	0.926340	2.891647	0.677564	2.099913	2.925486	9.993818	20.157808	21.815037	31.294974	29
1p1n_493	-3.160590	1.140783	-0.166566	12.254893	27.391753	38.912223	43.665380	48.905310	62.392170	74.565019	87.367420	99.885557	-6.467572	-0.934283	9.409538	29.898363	46.784397	63.537856	76.064684	90.561831	112.499039	132.799801	144.148882	165.077547	-3.366444	-0.704201	0.612719	3.434496	1.270412	1.005474	0.887525	0.437877	0.416352	4.598517	1.458499	5.888934	-13.486595	-16.681923	-15.898041	-11.606245	-12.177909	-11.558990	-11.696734	-12.008446	-11.891801	-7.705403	-8.759710	-4.186084	-78.554083	-227.155651	-451.625912	-736.191972	-1128.477745	-1637.150143	-2314.662425	-3114.098670	-4129.143398	-5299.005146	-6647.682257	-8119.155371	0.663570	3.950362	9.610417	24.947286	37.258189	50.444811	59.806638	70.650838	87.396567	102.515538	109.380566	125.762482	-80.372184	-239.347142	-490.268511	-827.034994	-1290.028586	-1879.387827	-2646.529358	-3527.792789	-4628.643599	-5854.932743	-7242.817749	-8751.216218	-4.935756	-6.143314	-5.596145	-1.099350	-1.320121	-0.661857	-0.869409	-1.132347	-0.933936	3.424358	2.394092	7.031154	29
