name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1q8u_140	15.408427	18.989252	14.699395	16.073892	51.918947	81.784124	104.948613	106.034061	96.980804	84.873694	69.910022	52.145702	16.018110	20.286161	19.212294	28.976194	50.811737	80.296937	117.763580	129.607020	142.178260	147.321943	160.217129	165.339136	17.216625	22.955329	24.878975	23.821880	33.795611	38.184772	41.732914	23.259299	13.887094	-4.664564	-13.952665	-30.105680	12.515375	17.404958	21.591008	28.168955	35.449579	46.901102	60.996174	54.504940	58.053971	55.907226	60.710558	62.857640	-81.589455	-239.240743	-502.467231	-859.502279	-1402.168465	-2152.210657	-3091.073346	-4294.763090	-5708.695925	-7394.385495	-9138.324962	-11141.244837	19.837478	23.578142	22.562695	33.008317	58.450197	90.581118	128.570018	140.590715	153.269206	157.381829	169.037536	172.730624	-80.187083	-241.315459	-523.988606	-940.951853	-1592.328728	-2471.477254	-3545.140233	-4877.676401	-6389.990240	-8146.377298	-9925.534939	-11959.161951	17.323122	22.825812	27.153596	33.860828	41.909005	53.678310	67.801596	61.345460	64.990539	63.082464	68.540474	71.241408	44
1q8u_202	-1.134501	-6.420567	-10.813580	-8.777494	31.250860	53.881941	57.981368	66.322447	57.460861	46.345177	29.285194	8.789101	-6.961524	-9.517551	-10.391224	-1.682125	24.647611	45.175361	64.254082	82.984264	95.358672	99.769481	109.009688	109.424029	-0.076102	-5.644294	-5.790461	-5.355164	7.500688	5.696498	-4.567064	-12.876135	-23.394750	-43.461050	-53.440180	-73.112601	-10.610522	-14.986045	-12.703500	-6.548060	2.819422	6.581083	8.081704	10.968634	13.636164	8.000106	11.085727	8.157022	-69.656835	-245.353217	-486.331307	-814.008787	-1291.003667	-2005.980586	-2926.842034	-4029.401096	-5358.065947	-6949.153571	-8678.573378	-10591.258566	-3.161230	-7.362527	-8.280657	1.273517	30.517270	53.583908	73.181326	92.063384	104.516315	107.935820	115.859738	114.900193	-68.164329	-251.179165	-510.500835	-895.142960	-1469.118161	-2312.305214	-3360.468306	-4577.840225	-6000.582927	-7661.806183	-9430.648201	-11373.434171	-6.115275	-10.849986	-8.573874	-2.063114	7.630866	11.757071	13.262163	16.189691	18.914462	13.466824	16.998671	14.573249	44
1q8u_203	18.002263	14.525105	14.556321	14.967106	54.489876	79.933263	92.296774	107.142891	91.736199	85.618902	62.648001	45.968858	12.049143	9.162684	10.882422	18.275476	40.299394	65.939948	91.657153	117.427798	122.710139	133.257091	138.718386	145.067282	19.503568	14.589626	17.918355	16.384270	30.607769	34.282507	31.052049	29.523463	14.582538	-0.837477	-17.247262	-31.834002	6.824703	1.330281	5.730063	10.409743	18.852960	29.440819	37.013816	47.967257	45.607967	46.065990	44.042687	47.863944	-81.301474	-239.222124	-467.374322	-768.860178	-1218.070787	-1885.478759	-2801.584274	-3948.296512	-5318.507771	-6950.758471	-8780.522277	-10737.260338	18.660481	15.590835	17.453197	25.313941	50.284910	78.260335	104.541131	130.480634	135.861569	145.367111	149.363654	154.297536	-78.303204	-242.124231	-488.791735	-837.142332	-1381.079404	-2169.548340	-3219.877105	-4492.736952	-5960.104308	-7667.033102	-9544.396142	-11531.465290	14.501636	9.887306	14.372570	18.910573	27.821922	38.678326	46.251035	57.176953	54.866211	55.450471	53.733393	58.052844	44
1q8u_214	6.839787	5.234405	-0.462013	-2.519624	42.398021	55.256246	70.074070	81.538011	69.646659	59.101525	45.917470	25.707161	7.719962	10.261079	7.896683	15.061155	43.501882	56.806522	85.084233	109.733614	119.441958	125.036244	138.707958	139.545211	6.492394	9.433729	7.889286	6.710908	21.621530	10.806911	9.808116	2.077112	-10.631295	-27.440745	-34.805681	-52.846032	2.141916	7.406567	7.988879	15.402818	26.391786	23.334056	31.914100	37.984007	38.475010	36.739436	42.177237	40.760176	-90.156624	-254.328621	-516.000568	-883.165244	-1432.704873	-2186.532596	-3141.794380	-4328.451180	-5746.456050	-7396.018698	-9131.591000	-11047.590637	10.379818	12.343590	10.142339	18.094694	50.206946	65.856513	94.635446	119.444471	129.237321	133.856004	146.290235	145.833594	-91.105782	-255.882845	-540.757294	-965.010236	-1628.481730	-2506.111221	-3593.842281	-4907.822852	-6424.626070	-8141.337049	-9912.126900	-11852.456464	5.790149	11.608094	12.459889	20.113271	31.901845	28.875761	37.450751	43.546974	44.111180	42.685702	48.772902	48.029780	44
1q8u_227	2.827703	-7.100881	-7.220181	-9.069822	16.826037	39.976313	51.765188	64.791227	50.027116	43.083547	19.698433	1.472348	4.545890	-4.254671	-1.841518	3.039883	19.130039	38.954194	63.813757	85.371166	91.397487	102.144490	105.516416	109.478718	1.002667	-6.387218	-2.265215	-6.932396	-3.800581	-6.991024	-10.319251	-14.519902	-29.600208	-46.220923	-62.071250	-80.236101	-2.153888	-9.998102	-4.353052	-3.406220	-1.183797	0.094668	7.277576	12.957325	10.924293	11.016960	8.649985	8.650124	-87.971822	-252.539599	-502.386008	-810.898994	-1273.769591	-1956.686442	-2872.371210	-3995.446272	-5342.441748	-6952.317030	-8702.038346	-10581.666895	7.124070	-2.204888	0.042825	5.458090	24.285150	46.623981	72.023121	93.742524	99.836101	109.561121	111.587372	114.221798	-89.881120	-257.634530	-526.868443	-883.377812	-1437.776718	-2245.555007	-3295.194418	-4539.592464	-5980.923420	-7664.694432	-9454.452693	-11362.600545	1.366339	-5.908148	-0.361864	0.496665	2.948512	4.655315	11.819342	17.502823	15.501015	15.733970	13.782357	14.331731	44
1q8u_23	18.558975	25.604721	26.007925	27.446452	66.835239	90.455524	103.615456	117.008989	101.528612	91.579449	71.580737	56.832043	16.227540	21.102534	24.526809	32.198714	58.008050	78.740093	105.600891	131.386165	138.726283	146.699097	154.646706	161.793244	17.948887	29.091576	35.521012	34.217616	45.524821	46.104042	40.542633	33.282217	18.533806	0.703442	-11.086334	-25.424099	8.923101	16.877029	25.445648	29.894788	38.477607	44.093637	49.659054	56.241188	55.727426	54.856652	56.802658	59.756587	-87.432475	-231.215992	-463.276397	-781.844621	-1263.960478	-2000.298600	-2990.200707	-4217.487751	-5672.431046	-7352.962062	-9074.625904	-11088.873734	21.642346	26.424253	29.971320	38.391022	67.444988	90.924129	118.386048	144.348937	151.769736	158.714695	165.471860	171.159520	-87.606855	-231.077942	-479.118212	-850.499750	-1436.247492	-2302.700396	-3440.601397	-4804.649309	-6361.089610	-8112.053865	-9863.367033	-11909.852412	15.418946	24.317766	32.979447	37.614684	46.837582	52.974212	58.525508	65.082776	64.606872	63.984322	66.639260	70.114683	44
1q8u_237	7.642123	1.906289	0.018786	-2.943943	28.202241	50.821890	60.434637	63.977630	52.573822	41.823993	22.450299	6.450697	5.586145	0.770329	2.139556	6.602005	25.630559	44.983206	69.281299	84.257231	94.138463	99.508858	107.828775	112.998506	7.740316	3.458095	5.134885	1.094039	8.184361	4.312421	-2.742665	-16.956074	-28.975269	-48.116197	-60.474766	-76.233835	0.293258	-4.649261	-0.597960	2.053173	6.863215	7.513567	12.408169	10.765824	12.032581	8.057905	9.734125	10.989602	-82.748475	-247.813367	-493.854824	-804.845094	-1275.913338	-1978.903787	-2911.556482	-4035.325955	-5442.563395	-7060.667494	-8843.293469	-10735.992607	9.084336	3.603041	4.854978	9.916852	31.833556	53.806675	78.667472	93.811681	103.795706	108.153480	115.100552	118.950453	-82.840466	-252.112211	-517.895055	-876.605594	-1442.183159	-2274.208603	-3342.724784	-4586.128627	-6096.268361	-7784.894232	-9609.740190	-11529.867720	4.718054	0.243333	4.215529	6.859564	12.029522	13.163560	18.060060	16.450429	17.744879	13.956977	16.050323	17.895434	44
1q8u_238	3.450454	4.782929	3.738416	4.387055	39.328388	58.426767	69.454653	80.024228	63.110406	51.082737	30.952676	16.504079	-1.630462	0.261655	2.852788	10.786565	33.040767	52.179104	76.878329	100.170726	103.781432	108.129054	115.623946	120.914515	4.784641	3.563701	7.473685	8.393655	17.878010	13.233676	7.143844	-1.339212	-17.727904	-36.554470	-51.201939	-63.664115	-5.230837	-7.020945	-0.503623	6.862278	14.533001	17.052288	21.474617	26.157731	21.986783	18.421829	18.076768	21.101414	-65.347575	-215.494446	-446.548653	-794.858653	-1317.884522	-2035.745896	-3002.483897	-4139.558311	-5498.552739	-7099.734783	-8875.353276	-10720.310235	2.138495	3.031559	5.481630	14.075216	39.835174	61.324831	86.583141	110.032295	113.744478	117.117991	123.255351	127.312760	-63.595818	-223.026554	-470.786585	-878.600890	-1507.578412	-2347.385088	-3452.496502	-4709.377755	-6159.738809	-7826.646711	-9644.212741	-11511.036312	-0.720597	-2.368565	4.056494	11.695681	20.215727	22.886675	27.295110	32.023785	27.953128	24.644549	24.747791	28.453314	44
1q8u_24	7.840955	6.923744	5.004934	2.022106	28.711383	54.402870	51.417335	61.600440	47.721719	35.820557	15.755451	-3.673359	9.199172	12.460358	14.074083	18.948682	34.473169	61.181639	69.567637	88.594562	96.176883	100.394495	111.319827	113.604052	9.823793	13.567853	13.751758	6.067176	9.152014	12.082333	-2.064887	-8.652243	-23.499224	-42.996413	-59.604015	-77.978603	6.218151	12.269242	15.017242	14.370377	16.095236	25.898280	20.731348	24.642576	24.251497	20.097215	21.128000	20.000292	-90.130422	-263.206948	-509.178055	-813.519262	-1248.554207	-1837.902795	-2683.971148	-3768.579950	-5122.749461	-6728.868295	-8561.252350	-10587.503107	11.768587	14.284743	15.675009	21.001209	39.012662	67.536694	76.395191	95.597949	103.273329	106.450159	115.839848	116.546506	-88.774163	-263.182078	-528.539915	-880.759426	-1402.063688	-2097.640480	-3063.361513	-4270.604706	-5727.255663	-7408.909596	-9296.809051	-11362.332030	9.775944	16.291491	18.751348	17.899001	19.641090	29.364776	24.175751	28.061232	27.655763	23.547738	24.726248	23.880045	44
1q8u_246	20.656804	26.282378	24.772464	24.891060	59.119738	76.921559	86.872488	86.693318	65.535877	58.451965	34.974450	16.716536	18.265783	24.162692	25.144685	32.863727	55.972513	74.807598	95.356314	103.879536	101.353007	109.790226	113.804324	118.738483	23.704445	30.687166	34.260843	30.227940	37.163306	33.979612	30.531840	16.475002	-3.192177	-17.653779	-37.471124	-57.200044	14.420786	20.135494	25.346419	28.516199	33.722483	37.396800	41.920958	37.314967	29.858197	30.467898	25.832757	25.352854	-93.956448	-259.294587	-504.683063	-820.113309	-1245.290975	-1805.247355	-2540.864976	-3520.344740	-4733.311099	-6257.939999	-7981.623120	-9985.809140	22.489190	28.240193	29.490748	37.732599	63.016123	83.306668	104.183769	112.840218	110.376536	117.774634	120.321062	123.596305	-90.620829	-259.363355	-523.204610	-888.044254	-1399.459558	-2053.971725	-2894.433516	-3980.825583	-5282.079240	-6883.472321	-8661.711629	-10714.469226	19.817892	26.548843	31.944172	34.938406	39.753706	43.054580	47.545516	42.939900	35.486246	36.035145	31.492097	31.093223	44
