name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1s38_117	-9.185543	-19.239320	-21.128248	-23.285479	-24.759989	-29.089510	-34.863303	-36.711513	-38.170498	-36.188539	-33.680629	-29.639535	-12.357424	-19.667748	-17.261010	-16.066560	-16.367101	-17.221881	-18.657464	-16.800575	-17.809973	-17.797757	-19.401822	-20.510239	-6.919547	-12.501358	-12.970725	-13.321147	-13.256202	-12.069972	-10.937135	-7.356963	-4.368131	-0.203025	3.417211	8.583661	-13.968327	-22.366959	-22.710540	-22.857346	-22.340379	-21.506130	-23.090099	-23.206422	-25.769161	-28.405180	-31.966611	-34.391081	-128.085379	-305.665107	-541.370379	-807.136160	-1187.855282	-1676.313775	-2171.525154	-2673.165677	-3086.762061	-3409.791190	-3628.221936	-3788.004223	-10.963140	-18.557451	-15.590708	-13.793258	-11.999556	-11.002549	-11.982879	-9.877079	-10.940676	-11.001420	-12.620540	-13.756475	-125.271130	-309.163814	-567.616159	-866.146862	-1304.593593	-1858.701782	-2398.812033	-2933.775177	-3353.618129	-3662.874335	-3855.384775	-3991.985090	-11.585984	-19.467350	-20.049051	-20.921019	-20.917533	-20.410001	-22.199429	-22.338913	-24.948808	-27.032082	-29.745625	-31.489358	22
1s38_123	20.836616	17.643568	18.896475	16.964826	13.425126	10.149966	5.845175	3.075418	0.022390	-1.540041	-1.107052	-0.245920	21.118073	25.420866	29.716929	30.843485	28.516057	27.959908	27.889954	28.975341	27.269216	26.403447	25.079417	23.084842	23.099618	22.991322	24.477234	23.211253	21.675665	21.567709	22.791101	23.761516	25.421126	27.991953	30.949543	34.953888	20.345698	22.446077	23.743012	22.569488	21.877993	21.581635	20.875142	19.068490	16.406224	14.196726	11.548822	9.383201	-66.174366	-233.794419	-419.411115	-651.233934	-969.058300	-1359.058290	-1788.939392	-2240.750402	-2632.699159	-3006.435740	-3282.463249	-3507.986093	25.423294	29.037201	33.724726	35.524930	34.829123	35.509817	35.902041	37.270812	35.609137	34.746980	33.417130	31.405679	-60.694222	-232.855691	-436.585025	-702.607672	-1065.532580	-1505.810317	-1980.048824	-2466.852440	-2869.047391	-3239.275021	-3497.912956	-3705.908412	25.497827	27.659738	28.585919	26.957029	25.675650	24.871834	24.001811	22.172241	19.476448	17.657888	15.676232	14.065998	22
1s38_152	-12.114644	-20.966737	-22.473089	-26.857018	-28.753173	-31.780587	-37.138683	-38.568304	-40.379438	-38.677542	-36.063096	-31.958576	-11.889173	-19.979749	-17.539566	-18.714442	-19.483981	-19.135107	-19.920977	-17.934097	-19.040373	-19.284537	-20.784905	-22.008396	-9.748615	-14.284444	-14.643861	-16.222744	-16.623544	-14.829889	-13.028963	-9.378593	-6.604912	-2.769504	0.955015	6.170859	-13.485895	-22.746491	-23.226835	-24.697123	-24.872726	-23.381788	-24.185767	-24.390925	-27.078296	-30.020900	-33.494735	-35.953373	-133.378073	-305.161652	-535.577519	-802.162050	-1190.737995	-1670.395520	-2173.293863	-2664.579160	-3089.262751	-3412.820177	-3632.125721	-3785.265814	-11.486257	-19.437290	-16.374303	-16.941233	-15.430616	-13.352906	-13.628072	-11.435123	-12.568737	-12.893383	-14.411374	-15.661361	-130.574705	-308.276112	-561.672958	-859.735321	-1309.719924	-1852.334364	-2401.185628	-2924.438154	-3356.771660	-3666.397017	-3859.900719	-3989.566585	-12.024345	-20.414720	-21.078493	-23.257934	-23.782624	-22.700790	-23.688756	-23.931631	-26.668058	-29.063164	-31.690741	-33.458380	22
1s38_305	-1.976802	-7.688475	-8.550527	-10.700539	-12.990951	-17.487155	-22.870359	-26.399094	-27.918467	-26.205426	-23.909937	-19.807143	-2.952614	-3.593924	-0.052741	1.082976	-0.032722	-1.072317	-1.752844	-1.368732	-1.764128	-1.996251	-3.559810	-4.745244	1.015560	-1.295264	-1.067604	-1.523760	-1.920443	-1.595479	-0.282719	2.742390	5.581073	9.440390	13.026183	18.124333	-3.469124	-6.163568	-5.669909	-6.073344	-6.002054	-5.790852	-6.897297	-7.378758	-9.703067	-12.568927	-16.025258	-18.567294	-111.700697	-288.926738	-519.536890	-781.968527	-1154.974969	-1621.116712	-2120.294841	-2624.994548	-3058.351586	-3377.861942	-3604.416242	-3757.675278	-2.067098	-3.070334	0.874494	2.714146	3.689705	4.261662	4.130008	4.781900	4.389754	4.070142	2.490542	1.278505	-109.025538	-291.668640	-544.826271	-841.883156	-1270.821032	-1797.701010	-2344.696781	-2883.261699	-3326.241818	-3631.504521	-3832.899336	-3962.617828	-1.623780	-3.919781	-3.781892	-4.773659	-5.175596	-5.431577	-6.697729	-7.206655	-9.576780	-11.901057	-14.525961	-16.380569	22
1s38_382	71.983398	76.016835	78.510194	79.732406	77.965607	71.426006	68.456839	66.743552	66.798738	67.556031	70.169421	73.717207	56.640928	57.578758	63.105460	67.208672	66.599046	62.979672	64.436425	65.371757	65.304239	64.792424	63.680143	62.219838	78.063316	83.924037	88.292323	90.630151	91.067816	90.719286	94.121508	97.130820	100.415517	103.679831	107.326146	112.284160	56.713184	54.994891	58.533532	59.968640	61.339721	60.344477	61.117731	59.950210	57.472392	54.406037	51.119569	48.579447	-49.371055	-190.193784	-411.063325	-694.220209	-1071.749062	-1549.751728	-2046.763229	-2516.002223	-2906.320204	-3250.141400	-3481.378997	-3647.287262	65.818488	67.235036	73.151687	78.400427	79.553939	77.671401	79.610771	80.690123	80.529394	79.962082	78.836366	77.348611	-38.944990	-183.767314	-425.620468	-754.028795	-1182.287362	-1720.845094	-2268.135243	-2766.708669	-3162.888392	-3496.999556	-3704.640327	-3848.078454	67.048184	66.356008	69.534461	70.809062	71.317428	69.937754	70.505767	69.306354	66.774919	64.217883	61.748993	59.876828	22
1s38_404	10.243457	5.608089	3.518282	1.645234	-0.875896	-4.727880	-11.626285	-14.330915	-15.685810	-14.440166	-11.496363	-7.655073	7.699768	8.303709	9.404765	9.830746	8.746008	8.409666	6.055133	7.230039	7.428860	6.659120	5.658808	3.940442	13.399165	11.870873	11.131253	11.227532	10.434037	10.770589	11.609142	14.670633	17.708343	21.624413	25.405313	30.427775	7.196367	5.144762	3.908841	2.846505	3.073226	3.308748	1.601592	1.142615	-0.776293	-3.631860	-6.939927	-9.671512	-97.363054	-284.237951	-497.466891	-763.360087	-1127.656928	-1594.480244	-2094.823842	-2596.956214	-3044.999054	-3364.081088	-3588.069531	-3730.848529	8.963170	8.984520	10.808045	12.268186	12.998366	14.325283	12.568579	14.010066	14.256975	13.393283	12.377503	10.632015	-94.077093	-289.268858	-522.241786	-825.697311	-1241.033327	-1771.210679	-2317.947450	-2854.424967	-3314.957908	-3618.891943	-3817.421118	-3935.575358	9.391368	7.653282	6.264796	4.949081	4.464422	4.277161	2.458111	1.968572	0.008215	-2.306397	-4.776907	-6.808515	22
1s38_405	36.310136	30.698513	26.889983	27.850793	23.491692	17.770241	12.782068	10.126272	8.294406	9.754139	12.510533	16.213619	30.000202	32.232359	31.647234	36.080636	33.113280	30.869386	30.417657	30.577282	30.258943	30.294957	29.893100	28.371530	39.873893	37.623124	35.322051	36.549101	35.095417	34.814399	36.725322	39.416901	42.318322	45.773531	49.403780	54.262181	29.704249	29.443964	26.881692	27.945684	27.820199	27.167366	26.646275	25.372735	23.459269	20.507793	17.472424	14.757372	-61.508526	-260.306378	-476.869235	-747.838481	-1097.682060	-1577.899132	-2067.447488	-2531.174420	-2967.573910	-3303.204571	-3553.948211	-3708.137529	32.214552	33.306459	33.071708	38.446167	36.923098	36.609308	36.636134	36.950311	36.669673	36.654001	36.239635	34.693577	-56.989638	-263.530596	-496.997226	-810.065467	-1204.051677	-1752.461293	-2288.349976	-2779.481770	-3227.682388	-3552.453802	-3781.270004	-3911.864998	32.765506	32.345774	29.240598	29.973395	28.824547	27.951834	27.229388	25.924189	23.963382	21.536650	19.288696	17.258351	22
1s38_425	36.770021	25.230040	23.545901	21.328743	22.664466	17.514181	12.145850	8.503752	5.385070	5.798629	7.924510	11.556219	31.066901	26.399165	28.839567	30.053713	32.629597	30.775737	30.601872	30.476046	28.474169	27.152441	25.207608	23.551593	38.744252	31.438020	31.405490	30.601841	31.971083	30.876014	32.594807	34.466420	36.448856	40.057215	43.948823	48.963400	29.371936	23.604265	23.862576	23.246582	25.176309	23.779938	23.269913	21.422652	18.249554	15.221060	11.959576	9.342624	-47.048808	-236.585354	-456.309593	-718.626754	-1082.832000	-1548.917877	-2068.317562	-2560.478549	-2993.144803	-3321.808734	-3541.406869	-3693.996655	38.407280	32.979487	35.951547	37.858120	42.475762	42.321471	42.843640	42.946190	40.946181	39.550666	37.587459	35.905099	-42.106051	-238.118067	-478.537920	-776.600308	-1198.456348	-1726.797566	-2298.741496	-2821.974780	-3263.004668	-3577.268101	-3770.012595	-3898.514221	37.559222	31.920143	31.915070	30.724571	32.172914	30.408718	29.799646	27.928535	24.709983	22.219308	19.797612	17.867554	22
1s38_426	23.797429	18.112779	13.919371	12.239927	6.956492	1.805498	-3.598273	-7.128846	-8.052107	-7.432988	-5.088717	-1.375166	19.743407	21.622704	21.259231	22.397813	18.383554	16.402697	16.001027	15.329722	15.980922	15.800616	14.935376	13.513344	26.294142	24.164173	21.035178	20.340336	17.926740	17.973343	19.363742	21.845144	24.964133	28.078584	31.660843	36.496936	18.807556	18.626826	15.628596	14.439208	12.790767	12.548624	11.779655	10.369369	8.725653	5.791591	2.694894	0.013732	-67.007928	-253.382280	-471.912390	-729.559152	-1088.457704	-1541.394828	-2042.894302	-2504.056583	-2939.159460	-3292.900632	-3540.413625	-3696.448088	22.653208	23.588778	23.650143	25.665195	23.541291	23.165711	23.409207	22.902343	23.603706	23.372683	22.493516	21.047242	-62.706021	-255.972550	-494.496837	-789.749009	-1199.044548	-1711.041464	-2263.338957	-2751.229551	-3198.851108	-3543.424798	-3768.340881	-3900.894204	22.550150	22.313097	18.941778	17.382283	15.152316	14.504683	13.624350	12.187680	10.500531	8.049464	5.740097	3.738764	22
1s38_430	9.057898	4.228352	1.753629	-1.123937	-3.686498	-7.391839	-11.125071	-14.936396	-15.733490	-14.983573	-12.246009	-8.253227	9.516706	7.070392	8.218791	8.452820	7.252873	7.084362	8.021062	7.626884	7.522870	6.692463	5.163497	3.468573	11.590210	10.467632	9.663406	8.258835	8.179538	9.175437	11.213073	13.894285	17.036376	20.808308	24.707723	29.863944	8.281728	3.798032	2.818421	1.084004	1.753343	2.578109	2.028254	0.833060	-1.472306	-4.307620	-7.704221	-10.408077	-101.132920	-278.002975	-500.013239	-770.160694	-1147.653334	-1626.948108	-2133.126624	-2629.774645	-3051.130113	-3388.911660	-3604.497545	-3745.113523	11.916133	9.429692	11.253634	12.353846	13.214328	14.747858	16.234992	16.057289	15.915486	15.018779	13.474052	11.749973	-97.047332	-281.715838	-523.573162	-830.867054	-1263.270406	-1806.654376	-2362.200182	-2889.593472	-3319.618173	-3644.682138	-3833.462296	-3949.377315	11.711559	8.000401	6.824182	4.645521	4.770098	5.159652	4.441497	3.215630	0.857133	-1.439438	-3.977064	-5.975902	22
