name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1u1b_124	-0.953559	-9.971011	-16.698861	-18.188195	18.372542	33.691544	53.630047	63.210760	55.613682	37.700244	15.161008	-11.871385	3.215590	2.357240	7.465272	13.835084	34.966492	55.856243	92.862566	119.549199	135.719971	151.220378	172.992102	199.381711	-3.309969	-13.623586	-20.697846	-27.671566	-20.278086	-29.017409	-33.496342	-45.903434	-67.176749	-97.203320	-137.293065	-165.223294	-0.712489	-6.563214	-6.526098	-4.002047	4.764463	10.061254	23.008794	31.922898	39.399955	44.766421	47.599614	67.150358	-42.695880	-178.007187	-382.235918	-659.291894	-1070.696795	-1635.172773	-2328.212656	-3265.830681	-4551.159518	-6139.575244	-8051.325582	-10208.094766	3.314531	2.172954	7.177478	16.131235	43.245113	68.652126	108.204366	137.692897	156.771164	174.156921	197.989449	226.781207	-46.033104	-192.357729	-422.887147	-749.956760	-1247.940927	-1912.589733	-2711.709387	-3760.664644	-5153.794905	-6830.788624	-8825.958761	-11044.393346	-0.455069	-6.273502	-6.263777	-3.202444	6.693512	12.293220	25.240918	34.184339	41.640478	46.849829	49.549693	69.081790	74
1u1b_149	1.814779	-6.076536	-15.623216	-21.715147	2.543441	29.018952	33.928287	56.188280	45.066366	25.117145	8.046563	-20.660402	6.459375	11.392547	15.090639	17.108122	29.855440	61.029096	83.221716	123.402835	136.155050	147.885304	167.706772	185.151620	-0.275415	-5.601907	-11.276757	-20.216494	-22.682185	-19.120459	-30.613074	-28.503576	-50.351120	-75.063227	-101.755172	-128.792409	1.214987	3.797692	6.607037	8.279832	10.960200	28.961972	35.967133	60.468624	67.342012	75.260256	83.328357	96.488141	-71.433055	-233.920081	-460.290928	-758.749630	-1185.592988	-1744.369565	-2509.652059	-3460.050542	-4722.220773	-6203.601808	-7823.769460	-9737.167577	7.304636	11.694349	15.246159	19.909911	37.875269	73.359889	98.450469	141.414743	156.858510	170.187773	191.513173	210.914183	-74.776733	-243.644088	-491.533621	-838.185351	-1345.262571	-2003.313888	-2880.226100	-3941.720596	-5302.353861	-6852.334798	-8523.792041	-10482.797773	2.341990	4.719588	7.410274	9.400061	12.230523	30.278428	37.310516	61.820079	68.703540	76.650195	84.854442	98.063085	74
1u1b_150	-1.526660	-6.196820	-19.874147	-15.975721	25.174690	56.540219	67.926751	94.580125	82.277367	60.018871	41.286316	17.898440	-0.203428	0.364628	-2.361733	9.274919	30.714268	67.445631	98.903179	146.886421	162.863588	178.133013	208.871553	240.650820	-2.842651	-3.564194	-10.438677	-7.897261	0.950774	10.172111	-0.697864	-0.165152	-32.013190	-66.667815	-99.686563	-124.363283	-4.678643	-3.826917	-4.597447	7.801574	16.134579	40.793286	52.294423	80.253338	82.277162	86.280759	100.383865	123.451592	-66.928984	-194.347661	-416.414212	-701.614763	-1148.205059	-1786.804904	-2682.617269	-3817.621521	-5324.167745	-7082.594075	-9240.532233	-11512.515537	0.145346	0.601907	-2.096355	12.421432	40.479828	82.891345	118.171779	169.728530	189.039332	206.248487	239.265888	273.381289	-68.600840	-200.368446	-444.099191	-776.171236	-1318.205182	-2072.556007	-3105.341557	-4378.010175	-6010.703763	-7858.116368	-10102.189334	-12429.939646	-4.083346	-3.066941	-3.728717	9.340531	19.027196	44.444286	56.171627	84.186876	86.190737	90.151952	104.150211	127.286670	74
1u1b_154	-2.472637	-9.670018	-20.620678	-17.166058	9.293670	30.243400	45.600599	66.405264	52.738592	33.189433	10.436759	-14.213504	0.498569	1.483374	1.861079	13.209300	25.743295	51.103640	86.923741	129.124532	142.248591	160.447526	181.988011	204.116983	-5.276583	-12.555443	-16.941564	-17.496339	-13.191971	-11.778720	-20.774044	-25.051835	-49.973926	-77.524104	-112.194164	-135.393033	-4.217231	-7.527299	-5.480921	3.716331	11.201866	26.993615	40.352140	63.235728	70.909046	82.459594	89.733492	105.985236	-49.909832	-198.883167	-423.881952	-712.327377	-1147.654139	-1780.887593	-2631.399988	-3744.186572	-5205.572162	-6918.279818	-8845.789074	-10820.397695	0.524797	1.149288	1.625486	15.850409	34.044031	65.052031	104.415760	150.133693	166.479098	186.583827	210.015149	233.984709	-53.464327	-215.923508	-461.948441	-800.940837	-1314.174298	-2059.383571	-3041.839621	-4289.020404	-5863.712625	-7659.896712	-9653.290239	-11664.597989	-4.014915	-7.302977	-5.102809	4.729327	12.812345	29.424876	42.933603	65.882626	73.543996	85.038894	92.383475	108.797145	74
1u1b_155	-2.658174	-18.846054	-39.541675	-39.573414	-8.307419	5.314852	29.152122	51.322575	38.425358	13.888788	4.272318	-30.737532	1.537352	-5.528811	-9.104963	2.724738	23.312685	41.953933	85.649250	129.228995	144.527591	159.715041	198.748435	220.075515	-5.073733	-17.655433	-30.780508	-31.406906	-28.244836	-37.127089	-34.416848	-30.908249	-58.058622	-92.858155	-118.040550	-146.440182	-4.370823	-12.730792	-15.373557	-1.290545	10.901016	17.957180	41.846795	71.714991	79.055457	86.005253	107.574313	128.312709	-80.178469	-267.514788	-575.241372	-948.859787	-1436.045344	-2107.637115	-2981.260865	-4093.218005	-5635.566211	-7520.407381	-9644.670540	-12027.236335	2.352701	-5.169336	-8.780921	5.962749	31.724810	55.156700	102.122663	148.884508	167.594192	184.931035	226.136477	249.932250	-83.780690	-280.861732	-618.763892	-1046.641348	-1617.799798	-2400.811463	-3404.079708	-4639.896121	-6308.616714	-8292.798646	-10498.226002	-12934.074826	-3.261992	-11.657073	-14.230258	-0.149345	11.230521	18.092534	41.953526	71.793785	79.132365	85.944634	107.528704	128.320121	74
1u1b_157	8.960524	1.870678	-1.325363	3.358946	35.376933	69.677475	71.326686	77.312201	60.543065	44.008174	24.393133	-22.919561	10.767746	11.287951	19.185426	31.133474	49.115541	86.002977	107.236013	132.064846	141.429337	161.410099	184.557744	192.998599	2.824138	0.494438	2.492196	4.993666	14.297023	26.628747	10.550601	-5.829004	-33.236161	-60.502763	-91.188724	-135.227137	1.671601	2.968567	11.885466	23.413672	35.448046	60.270703	66.032973	75.365069	80.128151	90.548241	100.004308	104.673500	-52.217210	-195.417446	-389.955746	-665.179449	-1073.464510	-1653.094002	-2499.759331	-3653.563626	-5124.217379	-6845.334761	-8781.208388	-11015.263843	11.145261	11.204325	18.981961	33.703791	57.251763	99.030006	123.832241	152.468244	165.102476	187.045804	212.095576	222.875432	-59.027398	-206.820313	-417.949024	-741.875124	-1228.512916	-1915.436756	-2889.320067	-4182.456010	-5767.589685	-7577.413098	-9579.910826	-11866.507647	2.278031	3.433610	12.248383	24.438104	37.175447	62.377670	68.303818	77.752068	82.473055	92.813613	102.298051	107.016483	74
1u1b_160	-5.486057	-3.630681	-5.738879	-3.507649	9.217123	22.194509	32.879443	60.057910	49.415529	32.052398	17.759112	-4.220424	-3.642628	4.520985	8.870491	15.896280	19.575400	35.516624	57.918551	97.499483	104.508354	112.438841	132.145765	151.427086	-5.640254	-5.496714	-5.890897	-9.551956	-13.960575	-18.154076	-23.832031	-14.483449	-37.837691	-60.899945	-84.675429	-106.333929	-5.403577	-1.459707	1.909428	4.243521	1.225732	5.807877	13.543388	39.798188	38.439582	41.964153	50.921886	66.129536	-39.216616	-126.541173	-247.389791	-423.989677	-688.679329	-1056.025377	-1588.373679	-2296.331593	-3312.539669	-4537.076214	-6019.528785	-7704.511507	-3.327725	4.674875	9.074308	17.829650	24.873709	43.886894	68.630718	110.649838	120.108871	129.502743	150.858500	172.053460	-40.013467	-135.474349	-268.871855	-480.459794	-795.134245	-1233.433383	-1852.332094	-2651.950755	-3759.173516	-5050.192065	-6595.473729	-8329.246567	-4.953672	-0.955188	2.472595	5.196324	2.504949	7.353763	15.214869	41.558595	40.169810	43.494972	52.301993	67.453190	74
1u1b_166	-1.005550	-15.668672	-40.201490	-41.038989	-11.341170	4.542157	24.341811	38.552750	18.004039	-5.170764	-34.549488	-75.355808	3.605086	-1.584044	-10.630602	-1.211988	12.668561	33.316370	74.246535	111.257369	120.583149	137.698822	157.457719	176.693574	-3.676117	-14.136909	-30.130742	-30.054271	-26.791441	-29.890310	-28.922067	-35.508212	-65.198712	-100.689364	-142.597542	-177.704814	-2.210285	-7.640458	-14.525499	-1.469475	6.893450	19.914889	43.356215	65.149409	71.105036	77.446085	82.161602	99.623714	-75.965510	-243.808781	-534.652701	-891.611226	-1376.779044	-2086.076201	-2993.937419	-4179.707454	-5754.398597	-7672.522110	-9825.764434	-12285.056309	3.607368	-1.998205	-10.942797	1.603912	21.020049	47.560415	92.027275	132.564670	145.315233	164.613528	186.513415	208.341934	-80.135888	-255.049107	-575.463330	-984.147022	-1552.463660	-2380.617382	-3419.814486	-4739.398635	-6434.387566	-8453.648638	-10683.007501	-13198.766861	-1.920391	-7.415047	-14.076109	-0.631156	7.458567	21.049622	44.552534	66.357264	72.306016	78.524172	83.285249	100.808137	74
1u1b_171	-9.651281	-11.007714	-11.292185	-7.684648	27.203174	55.769102	76.637634	110.516240	102.768925	89.892491	83.159471	53.728220	-11.142705	-8.459250	0.118077	9.170975	33.693768	65.212494	102.183254	151.247252	167.155011	188.351909	224.925267	248.267868	-10.582884	-14.724762	-17.635915	-18.928616	-8.091559	-3.125688	-8.321416	1.942091	-17.685629	-43.167989	-65.947748	-97.226896	-14.995786	-17.446697	-15.033641	-9.275513	3.875670	19.552245	32.648599	64.397732	74.203388	84.687963	103.552854	119.096833	-58.487526	-153.861768	-309.784657	-518.772691	-829.715405	-1293.894695	-1979.576053	-2946.112306	-4284.925184	-5908.820757	-7782.080716	-9914.371756	-10.392608	-7.868593	0.649994	11.891363	40.819643	76.562060	116.660180	169.193038	188.375641	211.565575	250.172746	275.881226	-59.561547	-163.642963	-342.554361	-591.002187	-969.479276	-1527.846092	-2333.140081	-3426.793220	-4881.096283	-6599.550393	-8553.035172	-10745.902032	-14.063731	-16.456713	-14.050689	-7.755653	6.004837	22.265272	35.549092	67.451692	77.222434	87.424660	106.142590	121.651869	74
1u1b_172	-10.188712	-9.222073	-28.707967	-24.004382	15.100037	45.475885	54.447692	80.353785	61.094358	37.292500	8.840407	-30.486258	-7.428813	1.993831	-1.473037	13.777770	36.331221	72.767375	104.809301	152.483684	165.086168	185.647212	211.029624	236.574413	-10.837502	-10.009605	-28.668972	-31.577142	-26.034131	-25.359097	-39.819067	-41.632993	-72.847485	-110.045744	-151.224301	-189.113992	-11.926483	-7.341277	-16.303061	-5.893621	4.815523	23.371935	33.037168	59.853072	67.193630	76.495865	86.580497	105.350258	-84.579115	-248.606682	-545.509607	-924.762211	-1450.180084	-2185.443659	-3149.863997	-4429.700456	-6146.042202	-8256.735668	-10616.936481	-13265.382387	-5.663959	3.408448	-0.052169	19.021618	47.829166	90.133453	125.755594	177.394608	193.805417	216.839349	244.575148	272.879297	-86.084770	-262.475897	-595.718406	-1044.329116	-1667.590765	-2535.833369	-3639.917776	-5072.553996	-6923.445294	-9147.849379	-11591.814415	-14305.259918	-9.868148	-5.241635	-14.091032	-2.775363	7.860539	26.685962	36.355710	63.249650	70.584965	79.710351	89.786662	108.611108	74
