name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1vso_115	-9.294073	-23.027453	-34.618498	-31.936389	0.482164	-4.121787	-0.973665	5.242810	13.196848	-10.399087	-34.016545	-75.819574	-4.700912	-7.559149	-5.699928	13.313930	25.081611	31.847440	53.838755	79.840196	97.689589	114.219865	133.570839	142.840842	-9.885860	-21.570247	-28.566392	-27.872765	-14.964217	-21.871789	-18.974492	-16.707102	-18.467456	-27.617366	-39.948003	-61.073421	-9.818884	-16.968672	-18.249093	-6.499722	-2.118570	-1.152016	8.978707	23.021818	32.446178	40.447442	48.759359	45.747077	-87.798720	-234.963849	-423.600155	-654.393213	-1005.209530	-1487.853288	-2202.284242	-3115.440581	-4333.745576	-5772.776559	-7484.661452	-9318.053567	-3.611223	-7.313360	-6.078698	15.463316	34.949911	47.410906	74.800178	105.296563	127.618829	146.798737	168.440814	180.021512	-90.273732	-243.921426	-450.924645	-727.143834	-1151.185781	-1713.714183	-2540.876139	-3562.028402	-4885.647520	-6401.923870	-8178.545780	-10062.623614	-8.029038	-14.645324	-16.097945	-4.634831	0.219373	1.069686	11.619748	25.759916	35.176606	43.079045	51.286780	48.405863	38
1vso_174	-13.510291	-21.256926	-34.481705	-31.673242	4.586784	1.222688	-8.667118	-3.141952	-0.573568	-25.730938	-42.875619	-78.890664	-10.950977	-15.385034	-12.828691	5.128147	22.538679	33.298757	41.512812	66.400197	79.900819	96.698942	120.406267	136.943760	-13.784960	-17.953634	-27.292214	-27.053354	-10.227086	-16.428666	-26.117084	-25.540734	-33.579395	-42.515965	-48.720956	-66.076533	-16.507844	-23.812122	-25.976565	-15.388361	-5.056833	-2.610973	-4.308252	7.515279	11.831143	22.134289	34.585941	36.907644	-96.649929	-234.429078	-450.499689	-686.327187	-1021.345699	-1508.839177	-2220.157848	-3155.659740	-4377.427149	-5805.764907	-7480.364736	-9328.867212	-9.081575	-13.717619	-11.804686	8.526502	32.531317	49.188496	62.537195	92.138929	110.107358	129.514423	155.418174	174.328503	-98.408776	-243.230494	-483.396318	-761.983170	-1165.910718	-1738.100001	-2555.177011	-3605.614345	-4932.872808	-6435.000066	-8172.137993	-10075.399025	-13.897891	-19.985448	-22.157034	-12.287265	-2.646395	-0.236170	-1.563463	10.369352	14.704554	24.937446	37.335884	39.757784	38
1vso_198	-6.227217	-12.256804	-32.189798	-33.399698	8.254992	22.562421	18.924712	29.018596	29.766692	-2.694869	-13.837688	-48.405701	-5.883227	-0.665438	-6.600948	7.071859	26.790515	52.685809	65.621316	96.516724	109.245624	116.381708	148.264903	163.738651	-6.343502	-10.196433	-25.229549	-27.951705	-7.192229	4.829225	3.071274	6.910395	-1.085461	-18.555908	-20.018516	-34.507526	-10.747708	-10.498611	-19.170872	-12.373387	-0.807060	18.807522	21.833529	37.911493	43.190385	42.653353	61.890355	64.609806	-81.419199	-236.571444	-439.780153	-685.381895	-1027.314794	-1505.651716	-2218.452098	-3135.990115	-4352.241704	-5792.631730	-7521.388495	-9342.744887	-2.715667	0.573310	-5.540741	10.377191	37.176328	69.125313	87.139869	122.553688	139.722169	149.492423	183.729415	201.483531	-82.760669	-247.284262	-468.711181	-759.421119	-1173.006848	-1735.999962	-2555.750371	-3586.081621	-4905.304183	-6420.722551	-8219.174738	-10090.820452	-6.933850	-6.995558	-15.428023	-9.364489	1.925267	21.566448	24.861753	41.010315	46.318306	45.730059	64.810835	67.676983	38
1vso_214	3.143631	-5.989818	-21.844482	-20.777042	6.887317	5.328254	3.975799	9.899226	4.230599	-25.497145	-50.798523	-82.205243	-2.774410	-10.036351	-10.081025	6.512287	15.357446	25.237616	42.802473	66.801834	73.323503	87.816110	100.838634	120.813344	4.522665	-3.655682	-15.337797	-16.087840	-7.859545	-11.396960	-12.338655	-11.190409	-27.446789	-40.860723	-55.962007	-67.478373	-9.458897	-22.299375	-26.140648	-16.800405	-14.964053	-11.233679	-4.346485	7.100974	4.470229	11.960397	13.855376	20.488159	-105.978793	-256.225209	-471.666109	-731.925729	-1108.316215	-1631.541702	-2340.700432	-3266.544570	-4505.781346	-6030.308828	-7707.316635	-9549.674911	2.740012	-4.207696	-4.952308	14.811979	30.750720	46.762801	68.956362	97.336933	108.279734	125.653658	140.812493	163.101721	-105.701410	-262.767283	-498.854285	-810.125676	-1259.399864	-1871.072549	-2685.891979	-3721.767648	-5066.940255	-6675.163045	-8410.727098	-10304.992170	-2.988492	-14.043012	-18.076961	-8.826792	-7.859356	-4.375399	2.508123	14.008598	11.390762	18.710035	20.702751	27.504176	38
1vso_219	7.734145	0.701034	-12.034622	-9.347526	32.003543	24.258843	11.971622	19.545277	26.380528	0.841644	-12.380807	-46.270519	3.159976	3.499116	4.896623	20.892274	44.806691	47.409339	52.013180	77.058610	95.312050	109.150696	134.542425	150.453934	9.611147	6.084417	-2.529457	-1.553636	19.221267	9.106064	-1.954893	2.137926	-1.535073	-13.193258	-16.710174	-30.749374	-2.360667	-5.328585	-8.401517	1.401882	16.392189	12.329968	8.462042	22.843945	31.808858	37.721419	51.963389	55.779542	-105.043541	-263.801652	-474.511037	-710.898336	-1035.225190	-1506.346786	-2186.417563	-3058.537997	-4249.988550	-5627.692006	-7270.650831	-9059.632453	8.239801	8.679861	9.702066	27.461347	57.479969	65.182898	74.401570	103.669124	126.394191	142.716781	170.296393	188.490899	-104.489472	-267.520222	-499.884045	-775.560556	-1169.312106	-1719.020299	-2501.281939	-3478.747301	-4777.682236	-6228.651409	-7935.483795	-9776.330747	3.688605	2.396585	-0.588061	7.661344	21.327734	16.671412	12.937926	27.372039	36.374095	42.224992	56.371197	60.283597	38
1vso_243	-7.678746	-22.757167	-38.058360	-41.199943	-0.783886	-1.450822	-2.731880	-2.789602	0.893687	-30.149380	-46.486395	-78.707055	-10.505513	-19.669629	-22.743580	-10.822200	6.405676	19.276832	36.987803	56.832972	70.020885	79.598006	106.091373	126.137180	-6.163704	-20.252637	-31.497600	-34.761564	-14.154337	-15.778409	-20.195080	-24.698775	-32.166074	-46.132496	-51.389325	-64.125273	-15.643982	-30.559348	-37.445525	-31.621476	-21.548673	-15.883662	-9.925410	-2.765391	1.103251	4.059359	18.681227	25.221156	-109.383587	-267.663712	-475.313060	-733.075750	-1079.768331	-1581.298317	-2299.857279	-3234.061216	-4484.280095	-5930.857020	-7653.671936	-9490.817546	-6.527674	-15.794059	-19.318814	-4.203627	19.402872	38.350713	61.146870	85.493569	103.244908	115.432358	144.220987	166.584020	-109.308897	-275.104849	-502.057077	-808.561351	-1223.666866	-1812.179257	-2642.126139	-3687.498508	-5046.720529	-6567.214729	-8356.287075	-10245.429788	-10.777483	-24.291086	-31.198673	-25.317866	-16.464184	-10.874349	-4.678143	2.552971	6.420726	9.352269	23.889498	30.589615	38
1vso_254	-1.347380	-11.908262	-29.702221	-36.038454	-9.252850	-6.051355	-17.368360	-8.007785	-3.483222	-34.909338	-55.925268	-77.232990	-11.243203	-17.174034	-21.676669	-11.550438	-2.963428	10.744717	18.380821	47.699122	61.497223	73.553455	91.900634	119.777507	0.325264	-8.557178	-22.917003	-30.567674	-21.855906	-20.972292	-33.999368	-29.605039	-35.153241	-49.300389	-61.123470	-62.257796	-18.056607	-29.374049	-37.948312	-34.782590	-32.478275	-25.659054	-29.553965	-13.446400	-7.781339	-1.932791	3.905866	19.028791	-114.286084	-279.064969	-496.087343	-764.638888	-1144.009752	-1659.938456	-2386.310200	-3313.056229	-4567.157006	-6068.941705	-7770.585849	-9574.880028	-4.468392	-10.410488	-15.375168	-2.321330	13.423558	33.113938	45.537652	79.242140	97.603359	112.404547	132.946676	163.046143	-113.447469	-285.399121	-522.107806	-840.638737	-1293.172494	-1897.542596	-2733.006438	-3771.840490	-5133.530571	-6714.429373	-8478.942373	-10331.611803	-10.298884	-19.996049	-28.638798	-25.883678	-24.470594	-18.016972	-21.832373	-5.703191	-0.010527	5.717628	11.601968	26.939208	38
1vso_273	-8.750942	-25.291255	-39.349065	-46.101905	-11.331619	-7.756002	-16.448901	-16.925524	-10.687154	-41.682601	-67.936523	-99.740735	-7.544580	-16.222803	-17.752114	-9.170763	2.976644	19.446725	30.012404	52.241973	68.255463	76.828584	91.396272	112.917835	-8.705865	-23.202667	-34.041980	-40.785256	-25.577879	-24.687369	-35.749079	-41.499370	-45.721234	-59.148157	-76.463379	-88.021116	-13.768166	-27.950459	-34.311901	-31.852221	-25.699702	-17.589075	-17.958921	-10.009401	-2.683524	0.240308	1.417719	9.572981	-107.078231	-280.424491	-486.863829	-751.716545	-1113.189097	-1632.116795	-2348.893227	-3317.912411	-4561.949344	-6018.677089	-7717.956428	-9576.368849	-3.387133	-12.601217	-14.084518	-2.417607	16.327066	39.254583	54.509440	81.539106	102.015933	113.167044	129.923117	153.811808	-108.270118	-289.709408	-517.313777	-830.105260	-1260.767647	-1872.341618	-2694.725904	-3782.873589	-5133.285348	-6662.550437	-8425.328821	-10336.707765	-8.722058	-21.796119	-27.709335	-25.422262	-20.475845	-12.327654	-12.659198	-4.595272	2.736457	5.633980	6.836397	15.143716	38
1vso_301	-12.654313	-21.834443	-41.514596	-43.729107	-21.741246	-12.540473	-18.037948	-12.323506	-10.220242	-35.129016	-59.806198	-94.362011	-17.152973	-16.965132	-22.224877	-9.043869	-3.541188	18.078594	33.662979	58.837901	70.120832	85.942434	102.183835	119.516860	-11.624627	-21.492226	-38.063750	-39.852030	-36.184424	-30.088373	-35.735354	-35.501862	-42.587689	-53.108287	-66.476581	-80.867517	-21.448237	-28.611681	-38.042342	-29.631126	-31.340305	-16.715787	-11.810262	-0.394337	2.879302	10.040884	15.364093	19.671751	-85.426341	-229.684214	-427.177864	-666.381708	-1025.409422	-1508.179425	-2234.849359	-3153.228131	-4376.202740	-5848.428766	-7547.186511	-9405.677628	-15.127284	-16.435500	-22.013437	-5.944040	7.008558	34.752913	55.692426	85.340630	101.099937	119.630360	138.112186	157.825155	-84.680877	-238.919753	-458.112811	-741.063796	-1171.536710	-1739.223375	-2578.475427	-3607.421080	-4934.342772	-6486.363354	-8247.366366	-10159.002370	-18.803179	-26.027835	-35.241222	-26.820322	-28.353319	-13.601578	-8.345922	3.146480	6.458123	13.447589	18.741086	23.159243	38
1vso_310	-3.368735	-18.643572	-33.937261	-31.920711	-0.169401	-5.912635	-14.287242	-11.968832	-9.196552	-42.716769	-62.425149	-97.967896	-7.861568	-13.539521	-13.989248	3.594485	15.959543	23.046423	34.767231	58.768023	69.582261	76.347875	99.327457	116.279980	-2.444836	-16.662839	-27.012544	-26.913383	-14.752885	-20.760101	-31.895019	-34.370998	-41.854382	-58.618185	-69.114564	-83.085877	-12.344772	-23.635578	-27.271620	-17.341638	-12.782214	-11.574716	-12.489514	-1.595735	0.483760	1.422809	10.915895	16.737089	-80.697001	-242.555165	-454.300504	-704.380431	-1058.955315	-1557.207412	-2284.861789	-3221.737588	-4444.987709	-5890.665561	-7594.872898	-9442.844398	-4.748897	-12.214856	-13.368269	6.768705	26.091974	38.977320	55.894872	84.496852	99.720410	109.121374	134.358952	153.663064	-80.346218	-251.798291	-482.888152	-781.802715	-1207.820975	-1789.088723	-2629.675425	-3679.025656	-5006.219171	-6525.112071	-8295.217596	-10193.808487	-8.585802	-20.081624	-23.914877	-14.472910	-10.478243	-9.490041	-10.137714	0.856228	2.958160	3.871716	13.308115	19.258032	38
