name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
1w4o_101	-2.568958	-13.274484	-26.670510	-33.876425	-18.385371	-17.548580	-21.084911	-23.132577	-35.342715	-46.242365	-63.917381	-84.657335	-0.250366	-3.971296	-4.857183	-1.627531	3.334588	12.089072	23.884284	37.850201	44.583471	57.785939	72.239896	88.777995	-4.309509	-13.238049	-18.673475	-30.875993	-38.016283	-48.074190	-56.731207	-65.099087	-86.235059	-105.027244	-128.303207	-150.026749	-5.993751	-12.590733	-10.453440	-9.410521	-10.400052	-6.153571	-0.301531	9.396861	10.351755	16.941086	24.741059	35.682707	-75.287559	-227.408598	-448.083594	-720.982565	-1065.566261	-1490.980761	-2056.617737	-2720.467219	-3555.862866	-4573.337991	-5781.583612	-7137.363893	1.507462	-2.173932	-2.636090	3.050519	12.705877	24.931503	39.539259	56.023307	65.235998	80.107605	96.277954	114.733578	-77.357006	-237.845385	-475.872487	-790.600133	-1196.130450	-1684.260434	-2325.237531	-3055.363901	-3953.832527	-5021.882365	-6271.688110	-7663.163613	-3.773415	-10.009560	-7.935482	-7.527619	-9.913646	-6.617788	-0.866885	8.679095	9.613646	16.342376	24.232085	35.279993	32
1w4o_119	5.933680	5.823457	-12.485546	-14.833152	14.170773	20.931738	22.019907	40.291049	30.738472	14.578817	3.085896	-28.069731	11.277999	18.945162	12.710113	19.424275	37.507506	51.259276	67.611179	102.024958	110.817483	118.103357	136.150819	141.995787	0.935833	0.673077	-15.582768	-21.177031	-13.319359	-18.727019	-24.703132	-17.793480	-36.438302	-59.015029	-78.583493	-108.025400	3.534655	7.311119	-1.609464	4.663898	15.986936	24.010133	32.095322	57.459734	60.419722	62.252400	71.115885	74.220499	-59.372915	-165.808931	-371.226147	-589.373262	-908.690009	-1328.031557	-1840.957876	-2488.212587	-3322.262151	-4294.661269	-5433.082017	-6738.345623	11.464497	18.971196	13.268361	21.964617	46.145613	64.034632	82.786695	120.010528	131.447930	140.291714	159.927621	167.594897	-65.874817	-179.018893	-408.918982	-657.935082	-1042.809686	-1529.548753	-2110.303014	-2831.009804	-3730.224733	-4748.073091	-5926.963968	-7263.090948	4.109660	7.936536	-0.793653	4.865066	16.606060	24.292895	32.208621	57.501936	60.457115	62.447545	71.412438	74.617407	32
1w4o_170	-7.153297	-14.761653	-24.079333	-34.870018	-19.808056	-15.912429	-14.765604	-14.194333	-24.801657	-38.983557	-52.752056	-79.460245	-6.149375	-10.901556	-11.704457	-15.641592	-8.583431	1.147872	14.565152	28.381615	34.105937	40.219953	53.662921	58.576034	-9.948184	-14.131865	-19.604399	-31.202186	-30.914393	-34.693564	-41.645451	-47.727786	-65.488308	-85.622935	-106.814233	-133.420050	-11.419340	-15.228136	-15.840793	-18.833400	-15.015698	-7.628609	-2.606388	7.179918	8.664155	9.544908	14.550876	15.694580	-51.789414	-136.369339	-283.050623	-487.014439	-765.891090	-1113.146437	-1549.286017	-2132.387557	-2870.523123	-3731.532014	-4777.799447	-5933.488870	-5.362631	-10.083327	-10.280065	-12.000464	0.249474	13.315451	28.863386	45.318025	53.472606	61.004073	76.003590	82.553303	-54.571081	-141.332245	-304.541287	-537.882748	-868.997097	-1268.543412	-1764.471973	-2410.537019	-3206.294960	-4109.085419	-5195.663467	-6380.236992	-10.355091	-13.961418	-14.223404	-17.116252	-12.823866	-5.769769	-0.850972	8.932568	10.411979	11.367430	16.387252	17.606236	32
1w4o_178	-5.976134	-10.864101	-12.592428	-16.044773	-4.378668	-4.953795	6.388951	15.585018	5.078438	-3.422632	-14.812138	-37.798923	-3.946968	-5.406904	0.411919	3.349625	7.544340	10.199257	33.902123	56.124808	61.199572	73.388232	87.227411	95.531039	-6.782321	-14.082143	-17.119689	-22.466039	-26.869061	-34.919732	-32.451155	-31.353111	-48.955171	-66.547425	-82.570080	-104.434593	-6.800356	-13.165631	-11.437933	-9.074146	-10.802129	-10.279297	5.065458	21.655370	22.309528	26.306037	34.162844	40.050562	-42.357692	-124.104534	-241.237625	-411.447694	-653.584528	-972.490982	-1411.799084	-1960.460908	-2658.166713	-3499.339970	-4434.930996	-5592.991715	-3.819788	-5.328074	0.765367	5.526944	14.207724	20.099859	46.556476	71.380899	78.726371	92.351963	107.503786	117.563051	-43.546041	-134.143350	-266.335729	-464.211743	-754.286243	-1122.564921	-1630.383094	-2240.819671	-2992.987959	-3880.415550	-4846.804571	-6035.984997	-6.441922	-12.659270	-10.921666	-8.550191	-9.853682	-9.442872	5.996475	22.633753	23.251767	27.235335	35.181958	41.079665	32
1w4o_194	-8.140609	-13.782415	-27.210714	-28.059018	-10.119940	-1.810315	-11.812581	-14.758287	-23.912365	-43.904627	-70.021126	-88.683203	-6.363329	-6.652621	-8.471066	-1.483855	7.447224	22.719261	27.664728	41.165844	50.008054	53.775696	58.505846	75.209647	-7.925306	-13.281555	-25.613807	-30.976662	-32.892568	-39.866877	-55.488861	-67.770711	-84.976655	-110.103809	-143.219171	-163.400310	-9.037405	-12.968992	-18.474619	-13.619673	-9.870378	-2.963340	-4.760646	1.608880	5.395286	5.197234	2.017628	12.684633	-66.411171	-192.843631	-391.870945	-629.697400	-963.024733	-1393.221391	-1923.126982	-2592.554510	-3406.631966	-4420.269359	-5616.451083	-6878.723102	-5.863839	-6.200358	-7.361872	2.421113	16.763370	36.369424	43.694448	59.969069	71.222438	76.669033	83.103661	101.519768	-66.716787	-202.906894	-425.910343	-702.911155	-1096.700902	-1598.631889	-2194.039007	-2934.999709	-3809.215265	-4870.699183	-6109.185915	-7401.987021	-8.195659	-11.858666	-17.102948	-12.205872	-8.799103	-2.158006	-4.118228	2.178565	5.908557	5.808430	2.704803	13.534925	32
1w4o_200	-4.037814	-7.183426	-19.623969	-20.104970	-13.824999	-3.615511	2.907502	6.674840	-1.938308	-12.556066	-29.686864	-57.615931	-2.941791	-0.757776	-3.026632	2.949443	2.055304	16.163897	36.526598	54.694055	62.429613	74.185174	84.709451	90.849846	-4.809685	-10.590937	-23.152106	-27.587706	-35.855276	-36.369808	-36.946050	-40.251722	-57.426150	-76.522468	-99.878937	-127.947776	-6.216950	-9.761242	-15.893365	-12.025876	-15.684614	-6.079397	6.913593	20.106892	22.097787	26.635956	29.888718	32.015637	-50.791221	-149.369647	-314.409481	-509.861450	-784.081347	-1153.560928	-1632.619899	-2214.671391	-2936.835083	-3849.710844	-4903.169139	-6163.629866	-1.998651	0.027232	-1.938771	6.427358	9.567527	27.847856	50.852320	71.468929	81.433654	94.759938	106.799809	114.820578	-52.151401	-160.616091	-345.034554	-574.247545	-893.322258	-1326.379890	-1873.613961	-2516.735092	-3294.054322	-4255.923170	-5346.510867	-6642.110341	-4.996305	-8.456490	-14.595664	-10.583155	-14.805935	-5.087722	7.890561	21.016987	23.004434	27.554826	30.871498	33.009406	32
1w4o_246	-4.081780	-10.345593	-28.215921	-36.203302	-9.842269	-6.425625	-7.023442	-5.545152	-18.252779	-33.657423	-51.701262	-76.283904	-4.304659	0.602786	-2.527048	0.569685	16.074335	27.955738	45.383358	64.347964	73.035757	85.081868	101.954505	116.184035	-6.210079	-13.548596	-24.757604	-37.161267	-38.197815	-46.661704	-54.692498	-64.354346	-85.755868	-106.793585	-132.686979	-156.890524	-11.887011	-14.201796	-16.521420	-13.826512	-7.107828	0.240086	8.329005	18.240249	22.077362	29.974144	38.180227	47.751689	-92.483139	-294.975338	-569.946046	-868.555237	-1249.394278	-1735.630212	-2347.863041	-3080.168199	-4019.473802	-5155.377597	-6461.788137	-7882.269252	-1.652590	2.984206	0.268181	5.612303	26.085278	41.874444	62.022737	83.660471	95.164138	109.027219	127.686463	143.791195	-94.981958	-312.335251	-608.443106	-946.936209	-1397.343449	-1957.151946	-2653.478288	-3463.498870	-4474.117114	-5663.133692	-7013.100028	-8465.546873	-8.679933	-10.772504	-13.350725	-12.075792	-7.412384	-1.276920	6.533422	16.233903	20.067307	28.131377	36.517949	46.295487	32
1w4o_273	2.294020	-2.443182	-20.915529	-26.602031	9.875420	11.895169	13.554821	10.953942	0.962955	-15.570065	-36.781980	-65.651453	5.174850	10.720064	7.327192	11.348772	35.259589	45.850252	64.117617	78.460654	88.566265	98.615833	110.895333	121.173217	1.856003	-5.079805	-18.989259	-28.050178	-18.050003	-27.318336	-35.055387	-48.176265	-67.341247	-89.231240	-117.869966	-146.665988	-0.636170	-2.520339	-6.651750	-2.590102	13.583523	19.876211	27.075413	33.259706	38.106407	44.061262	47.749269	52.910656	-84.742046	-258.632092	-506.112389	-797.549115	-1168.849795	-1637.425376	-2221.894981	-2961.667402	-3895.995928	-5013.535517	-6293.232824	-7684.982111	7.318496	12.588108	9.619830	16.901115	46.147033	60.337520	81.190825	98.423557	111.389793	123.227695	137.239735	149.328624	-86.666488	-273.228756	-542.342746	-879.405974	-1319.904049	-1856.341255	-2520.512614	-3339.791960	-4345.992186	-5515.587392	-6837.732161	-8260.852340	2.062485	0.274024	-4.021543	-0.185080	14.449121	19.475688	26.438325	32.466338	37.295778	43.406805	47.265933	52.621001	32
1w4o_274	-7.537064	-6.505515	-27.539790	-30.350889	-0.827133	4.227956	3.990373	3.939837	-6.010377	-21.393665	-43.931127	-74.475224	-8.327679	4.058072	-1.595025	5.624985	22.251719	36.962713	53.058441	70.016807	80.540761	92.254669	104.735745	112.570396	-9.722581	-9.670885	-25.639889	-32.735424	-29.515631	-36.789205	-45.701743	-57.247191	-74.271122	-95.688753	-125.693755	-155.891755	-16.431198	-10.141944	-16.148527	-9.495827	0.000017	9.336979	14.932674	22.494359	29.606476	36.867900	40.893624	43.859272	-105.557823	-273.091918	-534.381776	-828.776590	-1216.019616	-1694.610522	-2282.743221	-3028.137134	-3958.048428	-5093.042041	-6409.364459	-7809.355010	-5.614616	6.593771	1.281062	11.363875	33.612453	51.996080	70.575470	90.429194	103.730720	117.300752	131.589690	141.235506	-108.722902	-286.963713	-570.471864	-909.767222	-1368.498667	-1918.366367	-2585.361177	-3412.482409	-4410.863672	-5599.975826	-6960.744694	-8391.107601	-13.116875	-6.654777	-12.921537	-6.978399	1.060311	9.059873	14.394006	21.795160	28.889556	36.315610	40.485761	43.676781	32
1w4o_3	7.431704	-2.145172	-12.264229	-7.040477	16.773969	27.949736	29.749392	34.605965	22.126567	3.848104	-17.065709	-42.834989	6.063033	6.003370	8.168247	23.080685	35.799689	56.657641	76.821300	98.857208	105.819080	115.310596	126.529597	140.389363	7.159015	-5.432116	-11.068893	-10.648357	-9.812029	-12.165765	-18.222037	-24.458057	-45.401436	-70.433968	-97.707565	-124.146071	0.405327	-8.214327	-6.451300	6.770025	15.085254	29.394550	39.386911	52.783770	55.547359	59.802550	63.545724	71.616381	-83.854687	-270.534027	-499.686810	-794.268064	-1174.157909	-1649.512986	-2232.607062	-2975.361109	-3930.023491	-5053.475687	-6305.667533	-7729.727002	8.647197	8.224394	10.909567	29.347996	46.800312	71.762376	94.389285	119.340973	129.255757	140.509831	153.362040	169.140531	-84.117217	-286.249246	-534.570730	-879.417610	-1321.382620	-1873.181332	-2534.690091	-3358.283882	-4385.327600	-5561.434066	-6851.054298	-8309.121195	3.535250	-5.012495	-3.372411	9.815872	16.033912	29.337534	39.027878	52.250699	55.020555	59.437910	63.429037	71.684185	32
