name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2br1_118	20.967919	4.751988	-4.797447	-4.764633	-1.034931	-1.713811	-1.823251	0.418607	-2.688750	-4.987012	-7.865193	-6.388914	14.078508	7.759353	6.612153	15.093551	16.902427	17.698980	25.620781	35.328045	38.146917	39.716580	38.198403	36.072810	24.301291	14.066605	11.878853	11.824330	10.212795	7.287602	6.958680	7.471580	6.224862	6.386907	10.767674	19.427162	11.346626	2.349582	0.620855	1.985584	2.471095	0.321113	-1.410760	-4.655230	-11.479720	-17.419713	-24.208528	-29.652740	-100.067076	-360.754768	-729.313522	-1203.105017	-1841.570010	-2684.489649	-3648.055554	-4666.720406	-5675.838325	-6638.016728	-7483.874504	-8128.244798	30.182529	22.994175	23.181050	33.362259	38.674472	42.756760	52.012651	62.482090	65.763470	67.430407	65.915090	63.790190	-84.873583	-355.087441	-761.853568	-1311.058162	-2046.294368	-3010.884534	-4086.626562	-5193.801172	-6251.306449	-7221.175933	-8045.842269	-8657.159994	28.841736	20.193145	18.761062	19.718101	19.352484	16.767776	14.852623	11.612496	4.778471	-0.365483	-5.862481	-10.048671	50
2br1_167	51.980119	47.552439	35.751574	34.260837	34.746526	34.003317	29.344946	26.235698	25.536693	26.415118	27.567144	30.172576	36.189846	35.629034	31.112895	36.514799	33.063080	34.282828	37.874565	44.468472	50.102278	53.689777	52.971884	49.513650	56.012418	57.354906	54.431159	54.683306	51.758497	49.772258	46.786047	46.511916	47.906514	49.079150	54.594624	63.714881	32.476605	28.998678	25.901925	25.725569	21.791950	21.016800	16.188549	12.959899	8.154317	1.813002	-6.541083	-13.413072	-98.816224	-349.317248	-724.679230	-1204.954526	-1942.076509	-2877.455699	-3921.183230	-5081.969510	-6180.132395	-7166.029831	-7931.672052	-8504.382845	52.433088	51.732220	48.127149	55.545595	57.293434	62.234671	67.153952	74.705099	80.828764	84.486613	83.780620	80.322363	-84.295774	-345.026278	-750.966423	-1310.648873	-2171.263531	-3236.617472	-4395.944770	-5656.331474	-6805.314260	-7793.536666	-8523.981476	-9053.141095	50.328293	47.899189	44.512730	44.207303	40.677995	39.537161	34.454390	31.218175	26.405511	21.020144	14.275615	8.859927	50
2br1_195	66.552927	66.527650	60.925378	59.589713	64.766013	65.641564	59.869180	59.851765	59.909191	57.692536	55.765262	56.724616	55.192669	58.811168	62.300974	69.235952	72.495433	75.228009	77.490413	85.881292	91.746464	93.613412	92.684270	89.131696	70.985927	76.227836	78.474659	78.040894	76.870909	73.582459	70.200977	68.884376	69.742387	69.652936	74.686655	83.103206	52.370295	53.326939	57.066475	58.000544	58.494216	56.832671	51.659097	47.204298	42.036756	35.869015	29.485231	23.208853	-75.610749	-296.616398	-656.322110	-1123.157181	-1783.245090	-2584.282738	-3588.609069	-4645.991187	-5680.777890	-6664.589261	-7495.054413	-8108.945825	72.356405	76.300062	80.769873	89.334339	96.567099	102.025134	105.788293	115.024347	121.400220	123.381823	122.465230	118.914660	-56.342435	-287.702490	-681.968228	-1222.089427	-1989.785181	-2901.595448	-4027.365260	-5179.681594	-6266.638101	-7259.266502	-8065.044670	-8641.750842	71.171458	73.456005	77.089856	77.569579	77.612733	75.136265	69.788260	65.325030	60.153511	54.799397	49.776349	44.815633	50
2br1_208	55.334726	47.539696	40.263452	36.685273	41.554282	38.628041	35.270276	35.287698	33.921477	34.503032	36.896816	40.823612	52.143713	53.775948	56.731714	61.993623	63.769988	62.598119	68.938175	76.837857	81.739841	84.299453	85.547056	82.769929	58.528811	58.118961	59.297904	59.519826	59.944335	56.520997	55.811564	55.268069	55.731391	57.953318	63.996032	73.334884	49.876566	49.579755	52.388659	53.928667	54.279019	51.707905	50.058076	45.101631	39.198523	33.481110	26.090804	19.075173	-91.134854	-352.865497	-753.891051	-1256.156716	-2004.480765	-2955.336911	-4038.964743	-5152.003778	-6250.147859	-7202.301439	-7992.373885	-8536.821564	60.497717	61.453251	65.420831	72.461774	79.284610	81.884343	89.741538	98.419400	103.781083	106.374415	107.636770	104.857210	-82.252282	-354.893655	-793.728926	-1371.179866	-2243.294246	-3323.610455	-4528.540916	-5731.384006	-6879.650741	-7828.198173	-8587.018629	-9086.525409	59.650640	59.975806	62.726915	63.834079	64.354435	61.412245	59.571016	54.620821	48.695098	43.969188	38.155369	32.627626	50
2br1_228	122.655696	126.978425	129.768674	132.686552	133.054751	133.582773	128.399504	126.288023	124.444332	121.641490	122.458418	125.154481	100.462870	101.991452	110.321503	118.228498	115.883265	116.719095	118.870108	123.594885	127.578564	127.068951	126.958173	125.103023	132.254997	146.402750	158.127228	159.319952	152.777463	149.558102	146.764078	144.727549	144.682151	145.695898	152.723346	162.136751	97.478953	99.146069	108.012033	107.687210	103.734705	100.614647	95.715889	89.287525	82.981389	76.760308	70.884291	65.346625	-93.372837	-365.160819	-772.966048	-1271.142442	-1984.629302	-2901.967958	-3897.900775	-4933.331250	-6004.204672	-6941.020490	-7726.400052	-8357.493769	129.338773	132.270932	141.664142	151.164323	152.595331	156.889670	160.200404	165.545979	170.018640	169.553388	169.450805	167.597831	-60.633735	-333.983813	-778.457049	-1354.302000	-2180.335167	-3231.357298	-4339.256901	-5461.709232	-6588.801977	-7524.936728	-8281.465995	-8877.789695	128.905185	132.953637	141.296197	140.003177	134.845546	131.099425	125.966377	119.540276	113.230608	107.962742	103.593490	99.409328	50
2br1_248	112.475932	109.134054	109.243467	109.366368	108.775548	108.793416	105.369640	102.919883	100.612943	97.838430	97.382007	99.988713	90.827094	89.335302	96.726630	102.677698	98.745589	99.717749	104.004928	108.301662	111.303099	110.749320	109.794275	107.390466	120.674824	127.428922	135.761429	135.347950	128.828018	125.122207	122.511420	120.666904	120.682464	121.279040	127.064765	136.495240	87.507200	86.076647	93.505310	92.687801	87.178289	84.270199	79.625889	73.014281	66.304337	59.458136	52.515186	46.743073	-83.865697	-375.572095	-780.635644	-1271.254541	-2019.154246	-2936.262061	-3954.051072	-5014.680459	-6075.630264	-7023.523555	-7830.830822	-8440.763352	118.364946	117.450931	125.764927	133.068058	133.791234	137.993039	143.533469	148.486026	151.912578	151.408025	150.467599	148.065554	-55.074475	-352.615251	-793.474980	-1356.318439	-2229.518248	-3277.090559	-4410.598743	-5558.615703	-6670.646163	-7618.126637	-8396.780924	-8968.955111	117.349042	117.696790	124.455683	122.473186	116.548643	112.810469	107.958665	101.342297	94.620633	88.735085	83.302431	78.926725	50
2br1_257	58.931537	50.832318	47.291695	46.690984	47.729827	45.455755	41.435166	42.945905	41.475375	41.710017	43.571350	47.234043	52.131088	54.938582	60.135750	67.300252	65.247844	64.207448	70.001764	79.449438	84.043159	86.780950	86.622163	83.885981	64.134242	63.612609	67.514335	69.435874	66.505630	63.809776	62.318739	63.369348	64.145815	65.159633	71.279009	80.800731	51.133978	51.545777	56.033737	58.320192	55.991555	53.617193	51.335256	48.218607	42.712498	36.263341	28.491879	21.865049	-103.478818	-393.617667	-782.683670	-1277.778508	-1992.525757	-2932.432439	-4020.638533	-5120.686801	-6199.690806	-7158.446386	-7915.234832	-8473.233110	56.588525	58.427191	64.784476	73.852657	76.230697	79.077037	86.464784	96.667575	101.701157	104.479898	104.328310	101.595541	-94.182194	-394.476360	-819.289527	-1390.812761	-2217.807933	-3289.235219	-4502.471915	-5692.000496	-6819.492861	-7777.776823	-8500.152326	-9015.197146	57.112918	57.949577	62.361051	64.304227	61.641672	59.036156	56.595412	53.474393	47.952437	42.463919	36.287664	31.117710	50
2br1_315	9.230034	-6.006228	-14.044207	-18.889465	-17.141495	-17.747655	-18.055934	-21.355435	-21.877187	-21.194908	-22.199752	-19.460607	4.105103	1.574755	2.179403	3.532787	3.479966	3.609345	11.763302	17.871858	22.967509	26.693399	25.985434	23.962486	11.657392	3.284739	2.714113	1.067384	-0.768149	-2.676576	-0.759121	-2.567037	-1.485400	-0.312147	3.893318	11.861900	1.771592	-3.749074	-3.448588	-5.446476	-5.695291	-7.845537	-7.386473	-11.765252	-16.800575	-22.426118	-30.174655	-36.943750	-126.643696	-413.432384	-785.091174	-1239.470549	-1895.930596	-2773.639007	-3780.468358	-4875.614423	-5899.986916	-6843.647707	-7656.175566	-8246.423856	7.580314	3.564026	5.387291	8.397483	12.462797	16.297978	25.938933	32.948412	38.466733	42.268865	41.576006	39.553805	-121.925870	-421.643080	-827.122906	-1347.564436	-2107.493963	-3110.573517	-4232.204526	-5420.119451	-6490.520762	-7438.176071	-8224.662812	-8777.781161	6.492986	0.966804	1.334817	-1.103087	-1.619318	-3.907482	-3.592541	-7.975029	-13.025662	-17.772979	-24.115867	-29.539242	50
2br1_316	7.438580	-0.473506	-10.258984	-15.737444	-13.423717	-16.057655	-17.067840	-18.342081	-17.854679	-17.102453	-16.636632	-13.552003	0.664374	5.904125	5.386325	7.341974	7.099434	5.650902	12.921096	19.932883	25.584452	29.992626	29.874464	27.213799	10.494064	7.819029	6.207140	4.610825	3.217005	0.034674	1.509393	0.696239	2.794899	4.468944	9.835894	18.803383	-1.374984	-0.357077	-0.717756	-1.940458	-2.438538	-5.549021	-6.216188	-10.559898	-15.188068	-20.121301	-27.505675	-34.078595	-125.341280	-403.274166	-788.674814	-1266.620537	-1939.312753	-2845.008127	-3906.217667	-4986.002559	-6020.107789	-7006.928842	-7799.626465	-8367.814808	3.793635	7.427993	7.839186	11.609254	15.471109	17.784755	26.660595	34.457358	40.526526	45.015988	44.900566	42.240524	-120.247940	-412.458414	-832.201946	-1380.267657	-2158.057780	-3193.978595	-4377.882176	-5544.364486	-6623.574939	-7616.755614	-8379.891187	-8906.965271	2.942498	3.838394	3.314829	1.792240	0.919810	-2.395449	-3.215725	-7.559761	-12.199242	-16.275975	-22.185746	-27.355571	50
2br1_349	12.259285	0.133475	-8.255134	-10.321657	-8.559037	-10.593817	-11.465768	-13.817550	-14.705166	-13.981884	-13.454117	-11.014617	6.229147	2.025330	3.140006	7.843510	7.152542	7.030660	15.170826	21.187969	26.265352	30.312601	30.848676	27.807235	15.272542	8.939551	8.745945	9.072144	7.452059	5.085061	6.522549	5.050513	6.027631	7.316140	12.321776	21.057098	3.429340	-3.760487	-2.739349	-2.497580	-3.093917	-4.517978	-4.488043	-9.364309	-14.313096	-19.741486	-27.082283	-33.727264	-132.093248	-392.377002	-779.349863	-1247.027540	-1921.195077	-2815.065070	-3876.879116	-4955.012653	-5992.596121	-6958.040624	-7770.993981	-8350.019342	11.195832	6.327495	8.452292	14.980045	18.454966	21.952319	31.708424	38.503877	44.003084	48.108458	48.656564	45.618363	-125.711324	-396.504151	-820.452972	-1358.969183	-2138.354070	-3158.651898	-4345.334773	-5510.428815	-6593.947753	-7563.887029	-8350.072687	-8888.573183	9.772624	3.150419	4.163178	4.104776	3.190551	1.464417	1.331817	-3.546738	-8.511269	-13.071678	-18.967322	-24.219838	50
