name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2br1_118	-8.007516	-27.768188	-49.452281	-50.227989	3.524417	28.904488	42.713639	64.996738	83.819689	75.302391	106.305672	94.062437	-4.398106	-4.641917	-11.385305	-0.918841	13.505723	19.703026	37.122853	53.178622	59.704988	59.862538	73.666649	78.710828	-3.085545	-13.429171	-20.312816	-26.685555	-13.467851	-14.011829	-11.295809	-9.487284	-14.818382	-18.244013	-10.665294	-7.147718	-7.463268	-9.789779	-12.553639	-6.739119	-2.154884	-4.463747	1.680922	5.416308	9.165866	6.137471	14.770019	10.577755	-103.544308	-325.877821	-655.367860	-1064.233289	-1625.854251	-2426.249072	-3412.914925	-4601.747464	-5945.843551	-7503.723360	-9201.485142	-10974.300088	-0.007319	-4.058135	-14.493520	-2.873904	17.748434	28.208921	46.343415	61.761946	67.201123	65.237600	76.594086	79.599686	-101.976205	-329.784952	-684.781756	-1158.165562	-1820.138818	-2747.965679	-3857.423283	-5161.666865	-6584.857751	-8193.708559	-9921.311640	-11716.906342	-1.102006	-3.399001	-6.072909	-0.113284	3.974425	1.804054	7.922102	11.834428	16.143894	13.977656	23.702064	20.702723	50
2br1_167	5.654556	-6.560117	-32.838001	-26.747107	41.770540	71.484582	77.435886	91.135800	120.366728	113.169046	132.485536	116.950890	7.181319	8.726130	-0.507874	13.386846	21.539219	39.392976	48.361365	54.909337	62.448896	65.571063	72.650550	74.310120	6.412757	6.041964	-5.207754	-1.641467	24.575718	28.763190	25.581428	20.393299	22.667342	21.314669	14.356673	16.952296	0.877110	3.178720	-1.778788	9.561080	10.327517	19.057623	18.310497	14.970915	20.626581	20.043316	20.640989	12.017681	-80.518064	-284.564866	-611.057868	-1017.950607	-1669.525926	-2552.046435	-3646.454637	-5002.632856	-6536.364572	-8330.109497	-10183.257002	-12076.502883	13.347237	11.146356	-2.018683	13.255260	30.505624	53.287686	62.980159	68.815289	75.041578	75.599896	80.128076	79.773752	-82.816777	-291.249142	-639.510278	-1113.824835	-1889.549087	-2909.642706	-4134.118961	-5618.865693	-7243.575695	-9099.788747	-10980.596413	-12891.989943	8.825838	11.111056	5.768364	17.880725	21.320040	30.520271	29.686482	26.493000	32.643803	32.832081	34.803146	27.693058	50
2br1_195	11.064347	-0.324256	-25.188555	-20.033556	42.422348	64.776335	68.563634	75.708758	96.896161	95.197318	112.832924	101.127018	6.912792	5.997289	-0.287085	13.682757	31.537766	42.077984	50.754764	53.453608	58.086466	63.601019	69.316441	75.419843	9.324560	9.258698	1.402365	3.475313	26.258007	24.977913	16.916686	3.941849	-1.725642	0.331237	-5.903132	-2.224130	-3.088456	-1.608253	-2.620196	8.443894	17.598072	19.299625	17.632118	8.263667	8.557278	9.739915	9.262632	5.761444	-82.044877	-270.503005	-599.411339	-997.429733	-1576.027852	-2338.359269	-3384.655058	-4620.414096	-6022.519535	-7616.759531	-9346.335838	-11143.896859	15.355786	12.177782	1.461550	16.168944	41.305196	55.569745	64.933193	66.987564	70.427235	73.760762	77.020427	81.068056	-86.362252	-277.010049	-629.120240	-1088.418278	-1774.709002	-2653.281134	-3834.791828	-5190.026050	-6677.333975	-8324.925762	-10083.848356	-11903.522122	7.325012	9.925565	8.264485	19.213506	29.253125	30.598840	28.813505	19.606228	20.370073	22.415426	23.086263	20.815251	50
2br1_208	20.352170	9.348925	-10.882054	-7.248951	65.420649	102.967251	105.518204	126.777799	154.374905	151.572465	175.153402	162.770374	23.760130	27.652220	27.151655	41.860484	61.278484	81.244288	88.649964	102.836868	113.474606	119.629646	127.022920	131.860242	18.923438	22.709105	19.052700	20.499019	50.683056	62.439187	54.751660	55.488471	55.463142	58.717100	53.870403	60.801467	15.406157	22.188441	26.041421	39.322594	50.046028	63.572940	60.726948	62.706088	69.879254	72.311810	71.756304	67.613449	-70.961607	-290.845186	-649.287028	-1075.953692	-1730.371751	-2626.257457	-3776.144610	-5114.111289	-6648.682986	-8387.092395	-10281.217596	-12175.182883	28.760898	27.911116	22.643147	38.105167	66.378920	91.407273	99.656077	113.176065	122.508080	126.327027	131.060554	133.899025	-75.363316	-298.681105	-681.846326	-1172.369230	-1951.877247	-2985.379892	-4276.583753	-5739.644088	-7364.829651	-9158.385669	-11085.122776	-12995.509771	22.252289	28.413119	31.512287	44.514292	57.244395	71.233972	68.367368	70.605064	78.326806	81.790624	82.549404	79.959036	50
2br1_228	6.240714	11.173786	-9.421209	-13.837097	55.874775	104.152665	114.069962	132.306235	163.840099	153.774221	175.012199	158.601442	-7.470685	4.852070	4.887157	12.262905	28.724230	54.119113	67.481165	79.057595	87.665566	89.255866	96.394148	99.925277	15.576364	32.697041	28.444983	18.508301	39.168928	53.547401	51.721769	46.884021	45.852400	43.753613	37.723292	40.965480	-14.529825	-2.086523	2.483277	7.371842	13.706424	27.277268	28.602262	26.949965	31.357249	29.950683	31.831422	23.951648	-152.370816	-381.362005	-767.811195	-1234.325966	-1915.502918	-2868.968263	-4077.105621	-5582.563002	-7366.546490	-9318.012017	-11388.587438	-13620.046297	9.825949	22.092152	18.039523	27.147437	51.698690	82.503287	96.789516	107.553571	114.508567	113.454751	117.743057	118.664691	-147.363741	-377.837982	-791.261634	-1327.120830	-2135.068906	-3245.236772	-4605.462365	-6260.585956	-8160.923846	-10175.536293	-12276.199014	-14537.041398	6.113487	22.707192	27.473461	32.469548	38.964499	52.948244	54.293265	52.787058	57.551411	57.237126	60.657189	54.210040	50
2br1_248	17.379956	11.020309	-7.053115	-10.699898	56.107706	94.802189	99.850351	120.941516	146.844731	132.803167	159.346310	151.635713	2.709329	13.234233	13.287322	20.981989	35.191045	54.968830	65.530114	78.354827	80.268577	75.687873	87.833040	99.380838	21.362639	30.555591	27.950410	19.679971	41.288446	48.272251	39.080065	36.593827	29.194822	23.145771	22.260797	34.145023	-5.421399	7.653629	10.907578	16.681063	21.982304	30.206974	27.195927	26.267856	23.226677	16.274856	22.656249	23.073604	-119.469167	-363.115950	-737.022693	-1191.496647	-1890.991840	-2826.832431	-4015.908403	-5494.535091	-7253.929316	-9219.862072	-11282.137569	-13428.617816	22.387847	29.835722	25.891151	34.542206	57.913590	82.706957	94.230116	106.239363	106.521889	99.197573	108.471571	117.600028	-118.151445	-362.327572	-764.343950	-1282.717666	-2114.517795	-3199.433188	-4538.583534	-6165.047894	-8038.347059	-10069.696784	-12163.593567	-14335.111818	17.072082	31.581915	35.005647	40.080709	46.978205	55.271953	52.338183	51.536765	48.842056	42.833919	50.692869	52.645973	50
2br1_257	12.569833	-6.017746	-20.287652	-14.941344	48.641142	82.798985	93.235670	111.937401	139.100217	133.539023	147.140046	137.107491	12.634761	10.612183	12.642634	27.363921	38.888857	55.412357	69.702323	85.293622	96.257343	101.301749	104.964779	112.485584	16.088456	11.825718	12.266589	14.222404	34.043038	40.610888	41.687845	41.669262	41.596175	40.484670	29.005232	37.441951	6.111224	5.875162	11.564963	24.738133	28.013421	36.539671	41.892904	46.248117	54.320947	53.992523	51.256918	49.834370	-107.995690	-352.660289	-695.651189	-1111.181941	-1732.761316	-2624.732857	-3757.033948	-5053.603719	-6583.165805	-8279.542947	-10113.010236	-12011.561203	21.594744	16.487353	15.325440	31.303381	50.343985	72.077550	87.232927	102.194811	111.832468	114.614373	115.786060	121.216241	-108.344735	-355.614008	-721.776851	-1199.529728	-1935.655255	-2971.063359	-4244.829965	-5661.560717	-7284.196903	-9035.383369	-10896.635395	-12814.950105	17.573396	18.555406	24.695658	37.784786	41.522367	50.731967	56.093135	60.748374	69.317496	70.044990	68.708428	68.716348	50
2br1_315	-2.779856	-26.384191	-45.863375	-53.021825	6.544799	31.075032	44.902879	67.189102	80.163344	71.868275	88.503193	76.690152	1.493716	0.350280	-1.194932	0.841939	15.162715	24.344688	42.096639	57.805831	56.454365	59.263556	64.322986	68.635794	1.235794	-11.176705	-16.028067	-26.991360	-5.842393	-8.591058	-4.108529	0.652312	-10.978615	-14.074130	-22.437160	-17.524348	-0.668754	-3.045968	-1.294391	-1.468178	6.730170	6.699251	15.203549	20.380287	16.921148	16.044417	13.962667	9.112981	-84.249836	-323.082016	-648.733227	-1040.277789	-1606.931983	-2437.097774	-3456.430396	-4715.156305	-6126.425053	-7729.682062	-9455.669146	-11264.414315	4.979068	-2.533129	-7.342905	-3.808876	17.437156	31.475724	50.024113	65.030772	62.501054	63.154216	65.805260	68.056003	-83.072730	-329.550068	-679.385950	-1128.559383	-1798.584821	-2762.254361	-3906.516984	-5286.947514	-6779.681954	-8435.275571	-10189.499732	-12019.758942	4.474299	0.013721	2.084111	2.149178	10.877872	11.565494	20.095718	25.374146	22.432591	22.480835	21.620688	18.019842	50
2br1_316	-10.078644	-29.896327	-52.658739	-58.819792	8.729946	34.121756	43.142864	61.173010	80.932136	76.998065	93.800892	74.291646	-1.660507	-0.392430	-3.091347	0.326051	12.996154	24.999430	37.618682	48.010504	53.290353	58.681089	65.767479	64.893390	-7.606214	-16.037908	-24.128358	-32.680274	-7.204704	-5.168646	-6.594565	-6.498090	-12.097412	-11.508980	-19.412655	-21.759153	-4.512822	-3.676696	-3.436046	-1.795116	3.034338	7.456500	9.773323	9.821689	12.552456	13.222422	13.928961	4.149923	-82.502785	-311.106845	-647.870881	-1059.337239	-1646.742594	-2496.468251	-3581.428584	-4837.737028	-6283.934195	-7939.548738	-9709.818297	-11540.492646	-0.660630	-5.656407	-12.644963	-8.293132	11.660472	28.481808	41.945133	51.690794	55.752007	58.839113	63.449175	60.556400	-82.787032	-318.918033	-679.649186	-1151.685044	-1847.324008	-2833.648376	-4053.686645	-5425.245517	-6955.954538	-8667.230095	-10465.689468	-12315.587760	-2.011632	-3.247093	-3.634975	-2.039342	3.609874	8.619899	10.955566	11.220896	14.465657	15.993538	17.950175	9.525071	50
2br1_349	-12.113950	-33.303467	-53.658160	-60.789070	3.469795	27.725244	38.053440	51.754445	73.724339	62.597414	81.762170	66.127299	0.451310	-1.867997	-3.131434	-0.214733	15.185173	27.933522	43.664512	52.942306	59.401194	59.277292	66.904679	70.196782	-8.048955	-19.199429	-24.119891	-34.841459	-9.777764	-9.758836	-10.203497	-15.637141	-18.780364	-25.186970	-31.603836	-29.923828	-1.290076	-4.621419	-3.343066	-2.658589	5.873021	10.800730	16.801549	15.242492	19.017246	15.070060	15.082931	9.645375	-87.727584	-304.578702	-651.677854	-1054.491001	-1639.713931	-2478.828860	-3570.852056	-4818.393917	-6238.205083	-7892.214726	-9683.157564	-11496.181027	-1.355665	-8.090240	-14.261409	-9.732586	12.914994	30.302809	46.862029	55.515735	60.811890	58.390051	63.443665	64.747637	-87.285389	-311.016199	-686.335836	-1148.870891	-1841.229944	-2813.605287	-4042.375586	-5404.156575	-6905.838237	-8614.605648	-10437.622271	-12269.201971	-1.470628	-5.399603	-4.946565	-3.786232	5.515088	10.864388	16.854122	15.540394	19.882901	16.780634	17.945002	13.875944	50
