name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2r9w_124	65.880158	59.463209	61.335950	65.033146	72.617850	79.300308	85.011194	88.120768	89.853996	89.196909	87.576621	85.558205	54.713183	55.563432	66.353985	78.028986	90.729800	106.048203	125.458735	141.917896	153.755396	159.155818	159.915795	155.575899	69.317620	64.735658	65.212087	63.375146	62.260776	61.316966	61.567487	60.594434	60.412449	61.739208	63.290814	67.347930	51.648080	47.181690	48.910733	47.552670	46.739784	45.609257	44.088855	40.263670	34.919235	28.332790	20.714199	13.080038	-55.406065	-266.255287	-581.797924	-977.492675	-1544.350088	-2253.269272	-3136.040862	-4129.483993	-5124.228311	-6045.684716	-6866.294347	-7524.366757	67.069351	67.517381	79.184970	92.396602	108.740352	126.911807	147.893405	165.335988	177.821128	183.358446	184.124921	179.773324	-43.536099	-264.425513	-621.397088	-1087.333971	-1757.592241	-2582.068969	-3589.663965	-4686.162345	-5743.225775	-6678.797765	-7484.477611	-8113.980335	65.238146	61.326590	63.039837	61.294560	60.061963	58.364901	56.742159	52.917461	47.558361	41.682035	35.243010	28.747935	42
2r9w_145	10.163831	4.918879	3.292128	6.175439	7.261236	11.557647	12.382668	12.293836	10.829027	9.673641	9.587115	9.873247	10.300065	8.724532	13.122538	22.761856	28.155804	40.676487	55.410327	68.164522	77.869428	85.982080	92.109804	95.927284	11.417096	6.824433	5.263857	4.853519	1.710158	1.939426	1.120459	0.339510	-0.536400	0.324610	2.246407	6.090164	7.633735	1.317249	0.447517	0.655766	-2.182266	-1.913820	-2.801229	-5.225928	-9.431724	-13.686212	-18.227752	-22.718510	-87.862483	-243.337393	-469.389568	-775.042688	-1214.691445	-1825.156343	-2615.050618	-3495.822388	-4425.049964	-5353.406552	-6224.510004	-7024.411583	11.194212	9.528392	14.537208	25.516266	33.926370	49.552428	65.942997	79.689253	90.155972	98.485734	104.633177	108.457337	-87.381793	-251.763717	-504.442782	-865.314575	-1384.298430	-2097.896929	-2998.404524	-3969.040643	-4960.015402	-5915.101615	-6787.194113	-7579.386652	9.405320	3.686074	2.768683	2.950147	0.070137	0.521798	-0.349707	-2.757120	-6.971274	-10.764921	-14.459869	-18.138127	42
2r9w_202	141.123390	134.980621	131.620740	135.385486	140.035799	138.957514	137.095681	139.238617	140.890453	140.908262	142.714932	144.774969	118.974062	113.994110	115.598634	126.290594	135.443324	142.101382	153.099095	165.351336	175.498710	178.536739	180.089415	177.372747	147.050035	143.783408	138.330764	137.526604	135.477972	133.382785	132.773769	131.796785	132.386239	134.925866	137.885339	143.652775	113.725360	101.720798	93.946493	92.168769	90.386847	87.106216	83.499501	77.602173	71.893083	64.885353	57.483060	50.484052	-69.528985	-361.085595	-710.672271	-1151.582284	-1764.343889	-2528.572537	-3459.891929	-4416.048244	-5399.725992	-6251.337591	-6992.566666	-7569.081793	130.921347	126.173020	128.354099	140.476251	153.082300	162.534038	175.018555	187.978546	198.660444	201.751631	203.301151	200.562247	-58.044277	-360.671505	-743.607652	-1258.568827	-1977.710826	-2856.289286	-3911.595964	-4958.482347	-6001.859154	-6857.480849	-7577.995722	-8123.303432	127.633172	117.060175	108.274412	105.620778	102.719701	98.560199	94.784928	88.899221	83.170921	77.005200	70.931952	65.164698	42
2r9w_206	89.396265	85.833826	88.403914	93.664561	104.551104	108.819814	108.255144	109.741421	111.194053	108.114832	106.016692	103.357732	66.887558	65.919042	75.482590	88.565559	104.874526	118.994897	131.263008	143.955704	153.133965	153.357297	150.488120	143.552836	94.183264	92.361723	91.985596	89.122566	89.326538	86.949756	85.006244	83.015181	82.950542	84.185851	86.399589	90.834494	61.876532	53.484369	52.066216	48.876659	49.111021	46.283816	40.992319	34.120388	26.988096	18.399934	9.646045	1.089647	-79.552406	-344.056115	-702.480472	-1150.681982	-1798.706986	-2636.812643	-3592.162946	-4607.371765	-5596.295300	-6484.493540	-7236.415956	-7862.217646	79.645610	78.445502	88.771061	103.413835	124.049189	141.564904	155.215247	168.689549	178.317200	178.601610	175.730310	168.768095	-65.581107	-342.174895	-742.492282	-1270.584737	-2042.250477	-3015.829215	-4091.726965	-5202.922703	-6245.807308	-7135.613809	-7859.857869	-8451.736735	76.279781	68.850668	66.895334	62.996193	62.823869	59.367480	53.844502	46.981968	39.828272	32.120939	24.780705	17.468221	42
2r9w_246	121.916222	116.792860	112.859909	118.163202	121.172730	120.728289	118.947438	120.126400	121.414981	122.381114	123.157435	125.226721	98.210234	96.079768	97.231087	108.872459	116.219102	123.463527	133.900461	145.144117	154.872978	158.844474	159.973516	157.989241	127.770249	125.568676	120.084100	119.470811	117.088984	115.492215	114.355943	113.101948	113.782928	116.142830	119.069162	124.698134	92.942845	83.593477	76.028178	74.164683	71.971430	69.368778	65.062640	59.006119	53.509766	46.511260	39.480383	32.762064	-81.410994	-377.614254	-727.039272	-1156.000979	-1758.437673	-2507.565029	-3413.864224	-4358.131575	-5330.971071	-6168.649729	-6921.181693	-7515.813247	113.929073	111.814117	113.427521	126.442415	137.184380	147.046487	158.929249	170.884758	181.145577	185.163562	186.297785	184.292530	-65.551485	-373.187472	-754.962236	-1257.840700	-1964.316010	-2827.106533	-3853.161730	-4888.100520	-5920.515017	-6763.862345	-7497.259768	-8063.531047	110.608502	102.526461	93.803029	91.007532	87.685833	84.088177	79.641755	73.595860	68.078386	61.903548	56.158321	50.629352	42
2r9w_247	64.391879	62.602161	68.465886	75.527803	83.508455	87.980673	86.865825	88.536756	86.944022	84.195974	80.676007	79.982199	43.328133	42.999827	56.664550	71.865860	85.040863	99.475670	112.140022	125.394870	133.497374	133.824382	129.807838	124.724449	69.502804	68.138007	69.923672	68.823273	67.407086	65.450802	62.758638	60.966845	59.676464	60.903389	62.627868	67.404439	39.043267	30.933120	32.565641	31.395124	30.031064	27.475401	21.956188	15.565102	8.138837	-0.613811	-9.807452	-18.133290	-88.434795	-330.953285	-678.612657	-1120.857842	-1751.827033	-2585.827979	-3560.051070	-4575.864304	-5621.715723	-6505.424289	-7271.554453	-7894.803545	55.963938	55.492854	69.869557	86.697471	103.861629	121.980878	136.235876	150.294814	158.996488	159.361678	155.343674	150.232393	-74.974157	-331.343560	-721.620550	-1243.007181	-1990.261616	-2964.357952	-4063.689018	-5175.203655	-6281.645501	-7165.125024	-7902.950288	-8492.599507	53.200880	46.075135	47.245693	45.519796	43.583376	40.692021	35.044167	28.661894	21.219927	13.351233	5.565024	-1.505348	42
2r9w_307	29.942361	26.417227	23.190217	29.712156	34.307550	40.754202	40.990242	45.802767	47.303226	45.443582	40.149551	38.193471	24.890212	25.226703	27.554127	40.851305	49.718914	64.283865	76.704774	94.700300	109.969429	118.410255	119.250132	118.499165	31.717618	29.461149	26.437876	27.108508	24.874476	24.825657	22.971199	22.414298	21.993496	22.115260	21.944169	25.249193	21.527668	16.800064	13.390296	13.772982	12.293522	12.233780	9.165394	6.822059	3.815335	-1.237755	-8.409484	-14.956384	-79.197446	-256.961521	-512.869599	-855.400043	-1320.458359	-1949.273660	-2720.410304	-3627.167352	-4660.677406	-5661.485460	-6574.356253	-7332.588495	30.090442	30.204143	33.324793	48.345870	59.932042	77.348027	91.136100	110.142845	126.392948	135.077013	135.936843	135.183323	-74.054477	-261.395062	-547.160200	-958.206861	-1502.698517	-2237.634454	-3112.363983	-4119.404038	-5233.201881	-6265.575359	-7175.287650	-7916.480212	27.756147	23.632560	20.210589	20.734481	18.611811	18.373562	15.210864	12.867438	9.858017	5.268487	-0.984368	-6.578276	42
2r9w_393	46.578986	46.763388	44.507925	47.048869	49.164204	51.176491	50.927834	55.429615	56.435252	57.600653	56.744763	57.616087	40.973328	46.379282	50.273649	58.329109	64.347964	72.575853	82.345084	98.059337	107.491512	116.797685	120.786550	124.922386	51.223820	52.828862	49.577948	45.854488	41.434807	38.267831	36.897290	36.970234	36.766211	38.187083	39.855013	43.391019	38.287695	37.066533	33.403958	28.886922	25.461084	21.528266	17.789870	15.325432	10.592940	6.508484	1.336482	-3.376205	-121.154630	-340.429643	-632.428223	-982.151350	-1450.122553	-2042.081589	-2764.329812	-3606.516847	-4453.182998	-5340.208723	-6156.648917	-6938.112899	51.988253	57.763445	62.383935	71.603947	79.953406	90.294931	101.235996	117.810798	127.819040	137.322863	141.317218	145.456755	-106.750233	-337.102106	-661.787597	-1072.687282	-1620.296310	-2306.028896	-3124.434838	-4058.942625	-4962.055155	-5877.730626	-6693.411588	-7470.769752	50.906687	50.969908	46.816338	41.567648	36.885413	32.201949	28.361501	25.908663	21.180585	17.582837	13.290071	9.369950	42
2r9w_411	80.747722	74.656702	70.151606	72.003386	79.877902	83.668082	86.220224	85.989899	86.108537	84.857545	85.982004	86.914378	57.514627	54.173043	60.376141	71.773475	85.500499	98.586029	115.625633	127.432016	135.410282	137.275396	136.385387	130.796235	85.586484	81.616701	78.455207	74.934766	73.461467	71.801355	71.107653	68.232333	67.126152	68.857834	71.859426	77.609809	53.495225	44.024201	42.132148	39.041182	38.396789	36.193381	32.779445	25.217483	16.907923	8.518197	-0.163364	-8.430712	-70.613008	-313.650096	-717.969184	-1210.134726	-1868.283643	-2685.193511	-3681.633937	-4732.680479	-5738.986886	-6632.393059	-7350.377174	-7897.602519	71.329412	67.749338	74.812760	88.067312	105.692549	121.818610	140.479092	153.130884	161.554066	163.460475	162.558288	156.938011	-57.907579	-313.793010	-764.350461	-1340.678706	-2114.667835	-3057.670420	-4187.033465	-5336.483083	-6395.392443	-7289.952850	-7977.705781	-8485.649209	68.790688	60.226584	58.149173	54.571939	53.006488	49.921910	46.335684	38.789234	30.457515	22.967367	15.780638	8.863550	42
2r9w_449	73.211864	77.875258	75.500717	77.953094	84.539285	89.986988	91.439428	90.658794	92.675226	91.513985	91.999054	92.726916	53.660547	58.890530	64.012624	76.127162	88.667058	104.022326	119.748061	133.497699	144.962210	147.973902	147.457790	143.577266	78.699587	82.362349	80.864354	80.138731	79.459253	78.834746	77.645011	75.744521	75.829757	77.268984	80.074873	85.518577	51.203414	48.924394	47.025173	46.817788	46.808876	46.029121	42.627628	37.561159	31.420002	23.347462	15.013530	7.318076	-59.728150	-247.335333	-577.076548	-1034.910845	-1664.399871	-2466.621189	-3424.351857	-4513.144181	-5544.379502	-6458.331036	-7200.633509	-7808.582128	65.515725	70.836349	77.179574	91.462627	108.036828	126.802924	144.123095	158.960406	171.005225	174.089552	173.564577	169.659166	-46.888626	-246.035734	-616.706273	-1158.838367	-1899.339867	-2830.363241	-3912.936597	-5110.082046	-6199.844519	-7118.192386	-7831.907130	-8405.049159	64.361041	63.022994	61.510121	61.471386	61.053328	59.845803	56.307175	51.257430	45.110588	37.884743	30.982444	24.557385	42
