name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2v00_103	15.735373	14.514151	10.671577	11.348121	11.115680	8.279415	3.601886	-0.554562	-3.685203	-6.327769	-9.975103	-12.236554	4.334559	5.045713	4.530255	8.140979	9.044295	7.847843	6.049892	5.243619	5.789854	6.040944	5.270381	4.671721	17.662496	19.436117	20.329937	20.518723	18.898091	16.694427	14.213398	12.328529	11.576031	11.952172	12.575910	14.127014	2.027408	1.427123	2.108843	2.622406	1.888195	-0.007315	-3.528247	-6.537516	-8.609719	-10.381231	-12.267421	-14.096205	-67.594244	-204.182147	-385.951604	-591.616690	-853.700880	-1167.680333	-1533.687001	-1955.706357	-2429.086824	-2891.442725	-3371.876088	-3810.096358	9.270324	9.627622	9.505718	13.553218	15.656008	15.338443	13.986236	13.522539	14.413811	14.740696	13.963253	13.361740	-63.801470	-205.818583	-400.724916	-633.320520	-934.244979	-1289.428765	-1696.783395	-2155.272852	-2658.113959	-3129.883455	-3610.800252	-4044.814956	7.709785	7.448020	7.867932	7.714025	6.161471	3.658889	0.043926	-2.948061	-5.009153	-6.497396	-7.963011	-9.362643	29
2v00_107	32.218036	23.847750	21.377099	20.266836	18.102549	14.725220	13.348067	11.157777	7.847075	4.798095	0.506681	-2.122728	28.618390	27.365701	28.489697	30.652619	29.906715	27.994300	29.084379	29.811817	29.546037	30.365149	30.115375	29.934989	33.189796	28.767312	28.623605	27.342635	24.473042	22.263230	21.425316	19.863544	18.938217	18.805677	19.411675	20.737279	26.901413	24.949232	25.241649	24.401972	23.128425	21.183873	19.430058	16.786181	14.567350	13.107271	12.035127	10.627765	-22.874858	-169.020094	-329.534430	-528.355943	-757.358166	-1037.322025	-1349.260106	-1722.218904	-2134.286075	-2603.355445	-3109.152727	-3557.906421	34.504184	32.389198	33.882526	36.627810	36.540407	35.416477	36.811944	37.844648	37.868212	38.797815	38.542396	38.357241	-17.196730	-169.423642	-344.159997	-572.598052	-829.775082	-1144.935896	-1491.787311	-1899.958354	-2336.718330	-2821.169469	-3333.341498	-3781.322391	33.378862	31.333512	31.349692	30.073226	27.649496	25.167036	23.282867	20.654615	18.450974	17.176534	16.390391	15.334249	29
2v00_120	12.335288	5.137274	-0.160912	-6.486929	-6.801194	-10.416698	-17.435385	-24.985542	-29.146589	-31.325400	-32.833862	-32.689353	2.796599	-1.483802	-1.656336	-3.853542	-2.348335	-3.146332	-4.463442	-6.337783	-7.514399	-8.696213	-11.084328	-13.773168	13.471196	8.716508	7.204648	3.152622	2.325830	-0.599768	-3.775824	-6.173995	-6.838624	-6.147445	-4.299342	-0.638410	-0.366881	-7.018782	-8.321382	-12.355954	-12.300984	-15.223785	-19.176863	-22.879591	-26.395339	-30.051881	-33.607619	-36.365014	-71.746418	-226.862753	-458.219794	-742.499499	-1118.138031	-1610.181372	-2192.657854	-2839.181928	-3413.097205	-3913.146342	-4322.002574	-4633.109051	7.882315	3.229926	3.841202	2.723076	6.318090	7.558208	7.102323	5.788950	4.814116	3.643919	1.258131	-1.425578	-66.871408	-229.259324	-485.243078	-810.194075	-1242.287174	-1804.403772	-2452.017639	-3151.284849	-3745.771714	-4240.391596	-4627.604860	-4914.158394	5.521795	-0.740937	-1.872297	-6.194317	-6.775892	-9.964596	-14.031832	-17.710528	-21.200405	-24.267983	-26.907635	-28.834955	29
2v00_136	14.605465	13.060190	10.408695	14.599823	12.925875	10.387032	6.912306	4.349999	1.479699	-2.169930	-4.146052	-5.563827	10.846540	17.111200	17.365432	23.892450	23.341497	22.811768	22.812459	23.733684	24.449456	23.792575	23.735411	23.323827	16.581862	17.305739	18.635355	21.970469	21.130591	18.948727	17.945650	17.598634	17.519153	17.898667	19.183302	21.103031	9.940323	12.962429	14.215669	16.744012	16.249663	14.413046	12.495026	10.936248	9.323883	7.352547	5.492733	3.592517	-58.716271	-224.793866	-390.956351	-592.214266	-886.366441	-1235.977507	-1640.737708	-2083.448098	-2570.032511	-3058.308050	-3509.149890	-3927.521500	11.708040	16.776629	17.220531	24.601327	25.747774	26.347741	26.872188	28.125022	29.162251	28.595818	28.530970	28.116229	-56.257205	-231.134124	-406.080114	-641.789473	-980.149074	-1375.438356	-1823.614534	-2302.469231	-2816.153890	-3312.569565	-3759.429302	-4170.820995	11.421653	14.168514	14.821227	17.129142	16.189541	13.842207	11.833031	10.295871	8.699783	7.046112	5.710039	4.298787	29
2v00_143	8.230648	5.604671	9.981398	8.380943	8.832415	7.909573	7.547210	7.018065	5.693868	3.306686	0.516265	-3.594428	3.282169	4.052369	11.364595	12.835540	14.505340	15.224205	17.703168	19.965884	21.747379	22.390214	22.168468	21.575027	10.065829	10.525521	15.530601	15.516607	15.350652	14.110796	14.375018	14.540957	14.097829	14.176174	15.146009	16.175842	1.794275	1.825813	6.874710	6.933672	7.957847	6.826406	6.238711	5.301981	3.576649	1.852298	0.525516	-0.651522	-67.077674	-185.726994	-325.972747	-522.670330	-754.952257	-1054.561863	-1392.834367	-1759.768510	-2175.265807	-2614.133403	-3046.200326	-3542.689520	6.931869	7.473801	14.978987	17.187592	19.711816	21.508326	24.410973	26.941250	28.998360	29.727834	29.498323	28.901396	-63.026557	-183.983553	-338.205177	-565.169388	-828.405272	-1171.227405	-1548.371745	-1946.623183	-2387.849951	-2837.937248	-3270.017160	-3768.903229	6.148327	6.475078	11.144197	10.993777	11.084318	9.600909	8.924683	8.013037	6.293745	4.804260	3.865119	2.974006	29
2v00_145	7.307238	0.370829	-3.247095	-5.289073	-9.588195	-15.585424	-25.217977	-31.256526	-34.761542	-38.139984	-39.206481	-38.828729	1.314017	-3.015571	-1.596152	1.130221	-1.379749	-4.172643	-7.842886	-8.910969	-9.847738	-12.238225	-14.697733	-17.408875	8.810837	5.133448	4.381401	2.252141	-1.750846	-6.064963	-9.956703	-12.390546	-13.197353	-12.852533	-10.587921	-6.958138	-1.268218	-7.078429	-7.488792	-9.311854	-12.819136	-16.894654	-21.650593	-25.765505	-29.625564	-33.641468	-37.029121	-39.915367	-84.334310	-231.327730	-454.203814	-742.958436	-1137.471848	-1648.899124	-2263.338814	-2888.529447	-3444.842004	-3945.917897	-4331.653376	-4629.182393	4.834106	0.313852	2.294113	6.207886	6.155372	5.419717	2.751161	2.138550	1.347150	-1.044720	-3.497209	-6.203930	-80.626839	-232.187095	-478.184466	-813.444638	-1269.317783	-1852.976863	-2534.291925	-3207.006625	-3781.020963	-4275.482906	-4637.135607	-4909.430470	3.111179	-2.239631	-2.686368	-4.648128	-8.493093	-12.891794	-17.690290	-21.775693	-25.610091	-29.039805	-31.467579	-33.510228	29
2v00_159	18.682972	15.739401	15.240165	16.291336	15.911983	15.948311	15.342750	14.940146	13.451344	11.286686	8.495751	5.300957	11.566624	12.181423	14.245361	17.869619	18.505064	20.144063	22.439331	24.596747	25.991999	27.068373	26.998007	27.164087	20.173414	19.670123	21.720509	23.208012	22.608915	21.928714	22.202554	22.093561	21.600993	21.879197	22.839301	23.842613	9.882484	9.194489	10.960588	12.479357	12.585392	12.216553	11.769176	10.513922	8.737468	7.446521	6.294592	5.143984	-44.356974	-163.626399	-305.686343	-482.912421	-715.195083	-992.572702	-1321.790795	-1672.491603	-2068.283655	-2503.790840	-2933.052252	-3410.753121	16.188167	16.355876	18.824695	23.032880	24.760740	27.257491	29.983254	32.383239	34.043157	35.219459	35.142075	35.304562	-40.501522	-164.048712	-318.310167	-521.763043	-787.278500	-1102.863813	-1471.341436	-1852.168716	-2271.647023	-2719.598063	-3149.783156	-3630.378443	15.109769	14.565493	16.180506	17.368918	16.828809	15.996873	15.461165	14.221047	12.456410	11.378116	10.582309	9.709561	29
2v00_183	-10.578900	-10.174891	-13.344165	-13.338295	-14.308938	-17.402284	-21.603124	-25.276853	-28.252243	-32.547874	-35.412436	-36.300509	-9.078241	-4.506399	-3.942254	-1.661187	-1.526838	-2.862750	-3.471711	-3.751553	-3.104707	-4.242698	-4.826841	-4.602443	-7.983412	-5.736576	-5.602847	-5.364379	-6.590602	-8.505900	-9.725080	-11.139323	-11.522277	-11.348298	-10.273867	-8.321385	-9.579643	-8.156133	-7.972239	-8.042166	-9.144213	-10.798631	-12.915447	-15.574581	-17.443213	-19.526038	-21.434754	-23.267343	-107.916049	-246.995350	-428.851031	-624.585979	-921.170539	-1261.749524	-1671.312029	-2110.684812	-2595.542186	-3090.273268	-3559.638030	-3983.435211	-9.210755	-4.891936	-4.028183	-1.255272	0.742424	0.458953	0.426965	0.472690	1.438435	0.385590	-0.201957	0.021275	-105.572470	-250.523021	-447.477470	-669.008712	-1014.336536	-1396.691677	-1851.728139	-2326.520120	-2839.036520	-3342.487624	-3808.699800	-4226.441718	-8.895110	-7.079219	-7.266249	-7.955306	-9.351385	-11.542555	-13.730888	-16.362921	-18.218631	-20.002977	-21.407916	-22.752147	29
2v00_193	12.329028	6.342963	9.057911	10.197838	12.052407	8.161254	4.127878	2.656978	0.510347	-2.393242	-4.412664	-7.591540	8.902451	7.713215	13.458009	17.500219	20.605196	18.735195	17.609941	19.378678	20.174449	20.063127	20.532274	19.482327	14.027259	12.352939	17.340712	18.732590	19.678607	17.437344	16.782957	16.574103	16.584240	16.724797	17.973319	19.376427	7.605937	6.125520	10.869253	12.191091	13.784021	11.899822	10.160051	8.769864	7.222252	5.185934	3.802577	2.098955	-60.991209	-201.374760	-360.529005	-563.364632	-835.430721	-1171.801499	-1543.655091	-1959.044105	-2391.085950	-2844.985431	-3298.910532	-3753.125940	10.739054	8.934503	15.058157	19.809249	24.355801	23.574038	22.891831	24.973096	26.003137	25.980268	26.439049	25.385995	-58.103902	-201.771786	-375.378662	-609.144061	-922.746852	-1303.778410	-1712.918989	-2163.149108	-2617.369818	-3079.787787	-3533.526083	-3984.776676	10.104630	8.676308	13.188762	14.189406	15.201208	12.826015	10.996623	9.628049	8.088050	6.350955	5.403559	4.095609	29
2v00_198	40.821537	38.816536	37.609229	38.076859	33.783172	30.328045	27.001095	25.405285	23.179837	20.211780	15.801286	12.881769	31.274007	31.192811	32.770085	35.543995	32.283151	30.224023	29.442229	30.717968	31.861594	32.855209	31.870129	31.354262	43.740490	43.343341	45.498274	45.187727	40.713108	37.882391	36.055136	34.643437	34.057258	34.125907	34.768252	35.929023	30.008644	28.228453	29.589112	29.012421	25.314024	22.948106	20.176465	17.656509	15.903225	14.603643	13.234502	11.616645	-39.553171	-148.676928	-312.569799	-502.661292	-758.046359	-1032.190365	-1357.840330	-1732.978801	-2161.490907	-2643.388310	-3127.440324	-3578.030571	37.250918	37.201068	39.393506	42.797692	40.687130	39.215471	38.791458	40.364266	41.821643	42.918499	41.928107	41.407392	-32.685208	-144.436869	-325.440262	-543.562709	-834.963212	-1141.211401	-1503.623198	-1913.414514	-2369.526047	-2867.385693	-3354.472407	-3803.828428	36.760341	35.441081	36.929822	35.966351	31.525091	28.459354	25.574865	23.072510	21.325722	20.201157	19.171820	17.913892	29
