name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2vvn_205	-1.663384	1.672758	1.716864	0.671037	22.153787	31.579436	37.320007	49.266905	62.213102	75.011921	95.399416	103.285846	2.878046	14.001695	24.048318	27.023983	43.228723	50.847349	54.896178	67.388336	83.291255	99.399328	110.642230	118.285718	-5.660740	3.584478	15.986140	12.325302	11.993976	10.378529	8.725288	12.388257	13.111059	13.175978	9.012261	11.975462	-9.934950	-3.934684	5.600763	5.167567	7.330003	9.923799	8.271738	11.540837	12.789914	15.509469	16.254796	19.523247	-118.475263	-324.978411	-607.206605	-938.593334	-1417.542890	-1983.059083	-2711.956761	-3578.089459	-4635.744364	-5851.355468	-7231.573462	-8761.093631	7.896289	17.100747	23.326173	23.056829	33.073522	37.566560	38.892974	47.731892	58.656418	70.167067	77.778434	81.788754	-125.461713	-338.748520	-639.373562	-1009.485358	-1570.161726	-2206.843736	-3020.513908	-3968.478149	-5104.798244	-6374.122598	-7790.603576	-9345.280503	-3.514253	5.052926	15.953491	17.002654	19.337603	22.222448	20.320679	23.725805	25.277556	28.141134	28.754750	31.917862	32
2vvn_391	-9.546015	-8.340519	-8.023628	-6.402926	11.880028	17.406650	24.399314	38.921235	51.160106	59.665845	76.936010	83.627171	-2.831785	6.959059	18.353528	25.088967	40.042375	44.855186	51.166869	66.942889	81.794580	92.805448	101.813146	109.525065	-11.884172	-5.853550	6.225143	5.406485	1.579701	-4.158403	-4.824567	-0.527867	0.422171	-2.310315	-8.836326	-7.888178	-13.450246	-10.215253	0.381821	2.947988	3.977305	4.053473	4.949862	9.803347	10.822110	9.622595	8.381638	10.910823	-123.908634	-336.349540	-611.300686	-960.348882	-1435.509634	-2015.989212	-2747.465623	-3625.948021	-4691.903384	-5884.018933	-7272.768162	-8758.610136	0.365124	7.804969	15.173653	17.529408	27.000295	28.511353	32.109396	44.079837	53.989282	60.773377	66.114829	70.419638	-130.258813	-350.519556	-643.637737	-1037.256963	-1590.805641	-2244.040803	-3059.728282	-4023.067589	-5166.334018	-6406.849417	-7831.873562	-9340.949694	-8.902826	-3.566438	8.086200	11.582058	13.224270	13.572914	14.214266	19.150704	20.499030	19.547659	18.167734	20.559433	32
2vvn_401	23.333296	23.426621	16.717915	23.486428	42.929821	45.622033	49.883980	64.016349	76.064675	86.023116	107.476675	114.003609	25.491991	30.869043	35.820870	47.026753	62.797538	64.034527	68.938136	84.463573	99.466173	112.849263	125.049568	133.345130	21.909523	26.267196	30.699410	34.453164	33.130651	25.888318	23.580788	27.161949	26.762517	24.783145	22.721521	25.314603	15.832169	16.342582	20.166155	26.597891	29.032467	26.514480	27.145950	31.648510	31.795109	32.368352	33.410058	38.226257	-75.646298	-247.061504	-506.178310	-837.447523	-1280.650070	-1835.578734	-2501.918164	-3351.721569	-4348.054421	-5508.453877	-6896.255086	-8404.131490	32.464140	36.663590	36.802295	43.231822	54.013726	51.969242	54.595032	66.205757	76.592534	85.600902	93.892291	98.476614	-80.183874	-256.667546	-537.243740	-914.237779	-1428.008638	-2051.148587	-2791.693610	-3727.556873	-4796.906262	-6008.338872	-7437.614097	-8971.224935	23.999002	26.997866	31.021564	37.936583	40.980693	38.700274	39.047786	43.625429	44.072292	44.802792	45.762712	50.480912	32
2vvn_403	10.853449	5.970174	0.575321	10.346801	33.597774	38.436561	45.587936	59.776915	71.431490	81.301472	100.842791	107.636876	10.913841	12.020087	16.807963	29.837574	50.209056	53.342839	60.664683	75.270903	89.965229	102.411320	112.714814	118.596793	10.137546	9.510228	14.162688	21.004151	23.303144	16.927217	19.686723	26.436781	24.774991	21.467713	18.451176	22.265415	3.282458	-0.866413	2.663045	9.998978	16.983718	14.594863	19.399335	25.807111	24.953471	23.358295	23.500584	26.777749	-78.026838	-262.548882	-508.486925	-835.766139	-1264.049314	-1817.447210	-2471.939541	-3292.640198	-4292.813064	-5436.455263	-6803.944775	-8251.463153	17.198225	15.267701	16.125993	23.797413	39.348008	39.016284	44.095203	55.081450	65.015796	73.162719	79.634954	82.077561	-80.576314	-272.468242	-536.053438	-913.332941	-1409.971778	-2035.335414	-2759.978830	-3658.823202	-4734.340235	-5929.319335	-7336.656436	-8806.020333	10.588383	7.220525	11.359453	18.798900	26.363761	24.178782	28.697170	35.237398	34.642922	33.208376	33.272493	36.448362	32
2vvn_405	4.690052	2.882319	-4.728075	3.043240	18.738788	28.376449	37.474139	47.601713	54.991104	67.300000	86.900792	89.121458	6.485739	13.953970	16.830494	28.207789	40.682350	48.657897	57.612444	69.339096	79.435745	93.179277	104.672108	107.748432	2.253801	5.629628	8.962916	13.381778	9.578177	8.098643	8.641526	10.233514	8.614101	8.591430	7.132811	6.164813	-2.186571	0.785211	3.394710	9.628599	9.424856	12.003413	14.482395	17.178072	15.891963	15.900929	18.394942	18.682954	-72.852468	-253.472900	-492.880703	-803.228065	-1225.492206	-1759.701981	-2414.934854	-3232.578790	-4168.100531	-5323.358292	-6581.135317	-7996.564726	10.250411	14.142257	13.143970	19.793548	27.487719	32.077167	38.592644	46.635855	52.623755	61.840242	70.039145	69.714638	-77.173885	-264.213126	-522.060712	-876.758385	-1367.285730	-1970.951625	-2702.181024	-3598.443693	-4597.881121	-5807.632355	-7096.814075	-8534.483250	2.513071	5.620105	8.915008	15.402129	15.812042	18.595178	20.826410	23.610262	22.694979	22.852752	25.220641	25.404629	32
2vvn_406	13.668861	15.212095	10.330717	20.059138	35.175581	40.100880	51.296733	63.581511	75.304652	86.522814	104.719936	111.469501	8.367345	10.674880	13.066997	25.898539	37.632759	41.130835	51.306828	65.888895	79.915295	93.896231	104.064092	111.591662	15.824273	22.246143	25.779972	31.048217	27.054618	20.493142	22.635012	25.785440	25.541506	24.753415	20.915836	22.383522	-1.408837	-3.493950	-2.916415	3.928942	4.632557	3.008995	6.860021	12.129633	11.952502	12.794706	13.282264	16.012488	-101.644523	-281.061204	-514.143971	-837.213559	-1265.984388	-1808.484481	-2490.625661	-3323.631161	-4344.495153	-5524.751633	-6839.130672	-8317.100590	19.329507	22.078294	22.363258	30.484980	37.816403	38.013853	45.594316	56.421049	65.525078	74.990773	81.705128	85.644128	-99.656198	-283.218092	-532.299183	-902.018618	-1395.839885	-2011.023183	-2778.220322	-3693.408878	-4791.055361	-6025.046676	-7372.951348	-8876.765698	11.059665	13.476828	16.311015	23.681622	25.169508	23.779779	27.446396	32.750462	32.803043	33.808181	34.158997	36.775496	32
2vvn_407	26.519337	37.287872	33.650967	38.450064	53.829344	61.376441	67.019063	76.035769	88.870343	100.689209	119.949281	127.023226	21.661153	37.044608	41.691125	49.365615	60.157533	65.763456	71.985391	82.298345	98.241321	112.456011	123.037791	130.035473	25.638422	41.726784	46.616934	50.350035	45.904436	41.375554	40.192045	40.672310	40.536098	39.867184	36.497992	39.882659	11.145111	22.171864	25.034848	29.508268	27.639558	27.301882	29.140796	30.414087	31.289846	31.887631	32.485523	36.204936	-65.973814	-243.025280	-479.287644	-802.163817	-1256.829106	-1807.335506	-2492.669553	-3327.650907	-4333.251423	-5530.172299	-6883.192818	-8361.686505	28.748731	41.535832	43.481418	46.207512	51.413103	53.730359	57.461830	64.140436	75.342734	84.860553	91.778681	95.245322	-67.941612	-251.645592	-504.279184	-872.583030	-1402.640627	-2024.757866	-2787.901527	-3701.883478	-4782.305577	-6034.283895	-7423.869304	-8925.759966	19.392744	31.887844	36.356012	41.092401	39.585084	39.474449	41.086952	42.452476	43.604344	44.310531	44.796675	48.420062	32
2vvn_409	16.333846	23.179469	27.292001	32.633456	54.195834	64.358064	76.912839	89.267433	97.311994	107.336386	128.614268	134.005389	10.981111	16.661642	31.648882	41.334736	57.446881	66.096544	78.421474	91.737531	102.473793	114.968498	129.593880	135.854917	13.111315	27.260191	43.186692	44.995339	45.103224	42.047487	46.603798	50.242821	48.047472	46.810038	43.724367	45.202360	-3.366457	0.517136	14.602644	19.462397	21.713751	23.924186	30.949314	34.972020	32.981372	33.143090	36.868596	39.755177	-97.093033	-270.074465	-535.332687	-875.791299	-1351.552078	-1949.297397	-2666.134467	-3560.821324	-4594.243074	-5806.279860	-7141.137515	-8612.635520	19.649156	25.275623	35.742748	41.225096	51.542637	56.410010	66.203883	75.577765	81.782472	89.792813	101.034334	103.942231	-101.056568	-277.563640	-563.362219	-948.156522	-1503.839752	-2181.697332	-2980.707274	-3960.504025	-5064.923157	-6328.453013	-7696.049829	-9188.355793	6.721356	14.612829	29.390148	35.220230	37.930226	40.350704	47.071583	51.176413	49.585482	49.930754	53.491806	56.242845	32
2vvn_419	8.547128	8.079336	-1.461100	3.109882	21.225290	27.615131	30.478300	40.317491	52.752151	61.782747	78.450404	82.892032	10.522809	11.946017	14.714149	24.133466	38.459579	43.822961	47.076499	58.918997	73.686153	85.296533	93.771762	99.948467	4.513990	10.587580	13.068942	14.731428	13.963791	8.724921	5.038379	5.784823	6.574846	3.299116	-0.652820	0.946309	-0.483254	0.265357	3.161791	7.453184	9.390237	8.944460	8.120800	10.566276	11.267771	9.458153	8.870456	12.554738	-84.972455	-220.970230	-458.125159	-766.649943	-1190.558731	-1717.583177	-2363.311240	-3181.695057	-4173.454195	-5312.925522	-6583.751281	-7987.820892	16.615890	18.457217	16.063205	20.649780	29.728323	31.733260	32.658003	40.707203	50.603084	57.836048	62.971250	65.801354	-91.097953	-227.563608	-484.334269	-835.831375	-1328.961136	-1925.163874	-2642.708256	-3541.159949	-4607.282054	-5798.289821	-7100.894087	-8525.895151	6.717939	10.887840	13.279249	17.684343	19.876093	19.595821	18.562619	21.090166	21.979579	20.307168	19.605391	23.182743	32
2vvn_425	16.928890	18.390430	9.347244	13.199241	29.234809	39.426408	49.263439	60.411412	68.252926	76.815737	93.262514	94.986866	19.540424	27.120709	29.467218	37.266948	49.862510	58.206041	69.372076	82.295191	93.277227	103.105252	112.156830	114.635453	9.651194	15.067159	19.474018	20.754534	16.752927	14.373555	15.159273	17.525699	15.205830	12.443397	5.836600	5.501748	6.349236	9.285851	12.895172	15.968075	15.461836	16.660574	21.108012	24.693707	23.267249	20.448152	18.647524	19.448445	-60.366464	-222.241291	-470.922407	-786.901123	-1213.867870	-1756.552535	-2408.842709	-3227.368389	-4222.004218	-5367.979030	-6616.141670	-7943.198648	23.684060	28.517497	26.121861	29.169485	36.800490	41.510015	50.317012	59.517517	65.732592	71.247291	77.114175	76.679699	-69.494329	-237.896688	-504.702582	-864.972638	-1361.166057	-1977.831183	-2705.280299	-3602.131487	-4668.222254	-5864.319912	-7143.474489	-8485.227288	11.427840	15.050877	18.642266	21.976845	21.981633	23.307346	27.515665	31.136026	29.932575	27.297389	25.348734	26.007461	32
