name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2w4x_1000	2.868935	-15.314564	-45.243747	-63.018792	-69.010867	-81.470026	-106.524768	-128.518716	-154.154620	-176.488368	-193.065111	-208.465629	9.548822	3.277925	0.910689	3.120911	12.829274	14.249736	15.401130	20.715221	32.372333	44.883952	52.946774	59.324596	1.495663	-4.705727	-9.145673	-9.198119	-11.162774	-13.046785	-16.154373	-14.952242	-14.491324	-16.536074	-22.007528	-16.886162	-2.025018	-9.329644	-7.198466	-6.119279	-5.695278	-4.617541	-3.370720	-1.823698	-1.413676	-0.416821	-1.740240	2.301339	-101.708975	-272.979738	-513.169188	-828.144151	-1258.042589	-1822.800994	-2562.659837	-3437.562392	-4512.004573	-5813.052929	-7238.773374	-8861.186850	9.180789	2.911242	0.389474	1.064816	8.758248	9.752474	10.451056	15.013621	24.949454	35.321850	42.908284	49.095453	-106.597825	-281.878641	-537.602962	-894.703286	-1394.925397	-2036.001739	-2863.674888	-3819.447585	-4974.625055	-6339.034414	-7805.607981	-9459.615368	-2.899301	-10.048924	-7.813228	-6.270572	-5.580063	-4.557745	-3.384611	-1.824953	-1.282027	-0.141395	-1.601691	2.244049	33
2w4x_156	-4.262305	-21.939658	-50.834432	-65.692128	-77.259771	-87.902617	-105.658120	-127.012185	-151.007529	-174.283584	-189.318840	-208.109958	3.613658	1.019558	-6.113035	-1.694446	3.551012	6.197802	12.439628	17.647674	31.841449	43.356660	53.362708	56.495813	-4.877591	-15.685622	-22.476194	-19.765369	-25.478258	-27.636348	-26.455002	-23.261493	-20.870029	-26.111860	-27.972781	-24.932297	-3.249959	-11.220329	-13.077613	-10.192510	-11.117512	-10.666856	-5.773450	-4.027578	-2.593319	-4.500369	-3.946401	-2.282681	-74.527009	-227.264683	-424.470711	-702.904256	-1091.022446	-1599.603370	-2270.760292	-3125.303723	-4219.038445	-5484.844064	-6941.874112	-8575.399797	3.804671	1.224236	-5.996854	-3.661627	-0.293693	1.983503	7.775108	12.181093	24.401838	33.775080	43.229061	46.162625	-77.919822	-241.365171	-448.936587	-771.234448	-1219.193654	-1797.663149	-2549.517421	-3487.053355	-4670.347860	-6000.275928	-7503.712813	-9170.096092	-3.403197	-11.309738	-13.037106	-10.517696	-11.311081	-10.862639	-6.031958	-4.262354	-2.898577	-4.731991	-4.263680	-2.730702	33
2w4x_172	-3.465230	-17.977111	-48.762460	-62.736674	-71.463995	-76.274561	-97.380126	-122.286916	-146.569961	-166.427137	-181.038830	-200.077813	1.952514	-2.785586	-9.965001	-5.682115	0.819547	7.996782	10.066951	15.129930	28.337160	43.733737	54.186416	57.535717	-5.843052	-11.282414	-22.798464	-17.795343	-20.056508	-17.196491	-18.636869	-20.026222	-18.726971	-20.534892	-21.058763	-19.192803	-6.854861	-12.726253	-17.616805	-13.602573	-12.941790	-8.180719	-7.214737	-5.565652	-4.357991	-3.437486	-2.143618	0.155766	-75.960077	-205.654704	-406.115196	-687.390001	-1073.821579	-1560.147822	-2222.175896	-3062.729580	-4121.400578	-5401.347107	-6869.638159	-8457.520876	1.906058	-2.499409	-9.849094	-7.393967	-2.842593	3.987255	5.617152	9.868167	21.218861	34.333470	44.239832	47.392481	-81.030763	-216.704448	-431.896838	-755.075300	-1201.244243	-1753.690386	-2494.553762	-3417.771569	-4560.885909	-5910.147305	-7426.775444	-9044.551967	-7.245567	-12.707988	-17.574101	-13.700664	-12.997141	-8.260405	-7.354021	-5.700360	-4.512588	-3.626476	-2.372866	-0.235084	33
2w4x_180	-9.940678	-19.308897	-37.115437	-51.903489	-60.430755	-68.463169	-83.501054	-102.804223	-129.852088	-146.727319	-160.700915	-178.506958	-13.037776	-11.896653	-10.344485	-9.754467	-3.285806	1.085153	5.273726	11.521852	24.284249	43.132959	53.048861	57.188905	-9.300261	-11.867725	-14.042780	-10.552134	-12.845702	-10.171729	-9.027702	-6.048265	-6.520814	-5.058187	-6.346727	-4.699474	-18.998160	-21.513434	-20.606034	-18.245494	-17.872215	-13.509648	-11.239230	-9.295778	-7.592976	-4.018875	-3.048743	-1.902832	-74.189575	-190.888456	-366.958503	-623.844266	-996.023049	-1486.080177	-2084.320715	-2887.407478	-3941.836798	-5227.604674	-6624.208213	-8218.375234	-12.409592	-11.194905	-9.820897	-11.166278	-6.781999	-2.809361	1.069235	6.525825	17.352699	33.802878	43.187225	47.137714	-76.310485	-201.831730	-395.280553	-688.879673	-1121.214920	-1678.158742	-2343.655386	-3226.731347	-4367.694065	-5726.701219	-7166.960007	-8796.032215	-18.660227	-21.053423	-20.149564	-18.189064	-17.989260	-13.619231	-11.386765	-9.443610	-7.840462	-4.401901	-3.514589	-2.456135	33
2w4x_190	-13.703890	-22.698189	-59.269534	-76.769677	-81.667520	-94.025812	-110.412365	-133.691381	-158.618262	-173.876850	-191.503811	-213.525634	-12.720503	-6.005170	-13.488636	-10.191378	2.116901	2.140453	7.233282	10.993223	22.802157	40.627570	47.520311	48.284413	-13.133697	-16.779362	-30.807609	-29.358416	-28.077803	-32.011014	-31.057388	-30.436678	-27.515956	-25.995845	-29.473303	-31.504843	-17.160523	-16.827817	-21.283816	-16.945572	-12.343009	-12.809498	-9.896401	-8.554200	-7.152820	-4.980161	-5.598410	-5.975609	-68.265725	-205.795781	-433.589693	-721.908978	-1126.397068	-1622.700469	-2262.907431	-3087.076499	-4153.008608	-5421.389957	-6843.393747	-8399.947974	-12.610372	-5.675659	-13.554905	-11.911687	-1.742284	-2.066168	2.660528	5.666645	15.603355	31.197472	37.610341	38.183792	-69.842500	-220.657891	-466.636555	-793.094455	-1266.757203	-1823.767019	-2537.368787	-3439.390065	-4589.541160	-5927.169885	-7391.961911	-8977.133449	-17.300142	-16.763137	-21.428231	-17.010853	-12.418021	-12.973812	-10.125710	-8.760800	-7.380749	-5.206280	-5.866846	-6.425442	33
2w4x_211	-2.677742	-14.140574	-29.925235	-48.353827	-57.313901	-68.260013	-86.264534	-108.723551	-135.231924	-156.507495	-172.969955	-188.799325	9.674409	12.817151	21.613533	25.289430	34.890188	38.577257	43.216960	49.437442	60.596035	71.795595	79.622268	85.822340	-2.858596	-0.417150	6.323776	6.541790	3.337139	4.668997	4.999815	5.528280	6.100666	3.120194	-2.500530	-0.392342	-0.170292	2.467921	13.706314	15.788872	17.550795	21.626444	23.799886	25.886802	25.928932	25.171264	24.219111	26.409445	-119.861632	-286.934826	-501.816502	-824.320233	-1270.723905	-1849.987742	-2555.788771	-3433.411037	-4528.825853	-5787.260599	-7202.445401	-8810.459000	9.606192	13.197093	21.888387	23.426094	30.936199	34.225587	38.493938	43.984957	53.361614	62.589426	69.932712	75.932398	-125.293478	-296.069710	-527.682405	-896.955906	-1414.772734	-2070.321146	-2856.588411	-3816.995565	-4995.238813	-6312.299108	-7767.404505	-9408.228387	-0.805509	2.473709	13.887051	15.886809	17.904260	21.957276	24.022926	26.154479	26.307834	25.785106	24.677252	26.651120	33
2w4x_289	-8.886968	-9.501079	-29.047225	-37.461667	-46.129563	-59.611127	-79.867631	-104.968578	-127.922330	-150.105572	-161.230477	-177.276632	3.495543	16.199891	22.395033	32.347917	40.606356	41.987589	46.629987	50.366509	65.259143	77.424689	85.935179	92.263184	-8.278041	4.774077	8.787562	18.365029	17.224592	13.752269	12.487977	10.447408	14.632242	10.709764	11.126761	13.815517	-6.469557	5.405097	14.044133	22.155383	23.268346	25.124142	27.101811	27.206884	30.618831	30.230173	29.222821	32.548441	-129.271193	-293.774921	-517.774938	-827.702649	-1280.348143	-1845.168918	-2576.209585	-3456.701331	-4552.429241	-5835.440189	-7264.508671	-8885.519473	3.231742	16.118344	22.052031	29.825577	36.065622	37.107739	41.331528	44.324689	57.460959	67.604114	75.647456	81.783541	-134.144462	-301.640445	-544.286574	-899.375496	-1424.944964	-2060.478536	-2878.936614	-3840.927468	-5020.807846	-6365.190504	-7834.978356	-9487.856387	-7.313858	4.941698	13.603590	21.609519	23.103062	24.907329	26.798808	26.924861	30.481292	30.320115	29.175714	32.290947	33
2w4x_296	-12.767947	-21.892913	-41.543196	-52.241308	-63.335419	-75.700044	-90.542527	-112.927755	-136.404094	-159.706591	-170.714418	-185.480196	2.243086	10.504635	15.454804	23.823806	30.495393	32.432604	41.453951	46.575223	61.849613	72.033000	84.570531	89.142916	-12.926046	-9.629763	-5.798253	0.234444	-2.959413	-3.479010	1.688871	0.800885	3.361664	-0.143919	-0.138556	3.241609	-6.614870	-1.011073	7.015448	13.049172	12.737314	16.333778	22.726084	23.831874	26.580218	25.554595	27.840296	29.278362	-118.270701	-292.791652	-516.787723	-820.608868	-1268.419856	-1829.502703	-2552.722619	-3404.263496	-4498.791110	-5785.309527	-7235.727993	-8824.072093	2.391293	10.654725	15.426981	21.808277	26.406198	27.977497	36.574957	41.008052	54.480390	62.626587	74.669657	79.054808	-123.930672	-305.209820	-545.464307	-893.265092	-1414.598996	-2045.704478	-2855.164724	-3783.742172	-4963.964031	-6311.060832	-7805.715579	-9423.981961	-6.979664	-1.232056	6.893698	12.940618	12.917138	16.461683	22.778333	23.916919	26.764087	25.952135	28.128687	29.330924	33
2w4x_306	-21.612480	-37.950746	-60.077557	-67.166031	-76.653232	-91.875667	-109.674374	-132.234122	-155.985249	-179.137305	-195.743471	-212.988267	-9.599096	-4.710540	-0.855406	9.574940	16.418484	16.277024	22.743542	26.797668	42.183275	51.690883	62.426941	65.942406	-19.790942	-23.208197	-22.545273	-13.637289	-15.117027	-18.565895	-16.583720	-15.285131	-14.162260	-17.883887	-22.685731	-20.830183	-15.731796	-13.066655	-7.042870	0.638914	1.039892	2.170122	6.543344	8.300895	9.647709	7.864964	8.059419	9.504890	-116.516347	-299.622969	-526.673865	-828.948348	-1268.353018	-1833.694277	-2546.766580	-3401.846668	-4501.036292	-5766.498269	-7250.071001	-8844.061543	-8.698488	-3.951094	-0.224899	8.407654	13.145719	12.627683	18.687699	22.082008	35.632324	43.135228	53.331488	56.636601	-120.257456	-309.766279	-555.278438	-902.161125	-1411.496309	-2049.166942	-2844.698060	-3775.497935	-4963.345272	-6287.606616	-7818.801107	-9441.843207	-15.283438	-12.661346	-6.504770	1.354711	1.956325	3.062699	7.359470	9.194986	10.618302	9.044651	9.141006	10.334725	33
2w4x_37	-15.998518	-32.226509	-56.733360	-66.720825	-74.078126	-86.558716	-105.519884	-129.098372	-154.254834	-172.774957	-187.429115	-205.572633	1.893793	4.125409	5.784883	17.661286	29.602150	33.444476	39.028440	45.046846	56.792973	70.108849	78.915767	82.008407	-17.421068	-20.011582	-20.804074	-16.008991	-14.923484	-15.191122	-16.591406	-16.734807	-15.108855	-14.522196	-16.461598	-16.005784	-7.597623	-6.515377	-1.280927	8.021227	12.304799	16.907817	20.706610	23.120150	23.975117	24.325800	24.809946	24.684695	-117.735021	-295.047971	-527.626375	-818.205384	-1271.643258	-1848.949053	-2544.767028	-3418.313879	-4486.513642	-5778.595381	-7217.971933	-8804.621545	2.340252	4.581414	6.137157	16.577767	25.772745	29.186720	34.418196	39.675202	49.746435	60.968739	69.265776	72.174708	-124.894307	-307.568800	-555.466178	-886.819885	-1417.695513	-2071.355921	-2843.134168	-3797.738827	-4946.586308	-6302.493521	-7782.946884	-9399.689100	-7.650664	-6.421208	-1.021439	8.786040	12.723719	17.289306	20.988093	23.416294	24.444387	24.969206	25.311320	24.957465	33
