name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2xb8_133	11.398961	0.753179	-15.420916	-11.177690	-3.228197	0.439878	6.889329	4.524405	1.698664	8.114878	19.647526	18.804090	12.862764	10.903317	15.189402	28.292150	38.038987	48.365649	67.665335	79.342075	87.741401	106.246857	121.229730	133.926935	8.426495	6.682683	10.177972	17.317719	13.642927	15.063045	22.210929	22.319207	18.730915	24.113217	22.688356	27.024290	-0.075390	-6.403067	-2.208436	5.650320	5.419325	7.306967	13.460649	12.808848	9.324902	15.989758	18.664648	20.363071	-132.738348	-392.713444	-746.363784	-1186.904127	-1798.329994	-2593.462469	-3550.082767	-4705.104640	-6074.529590	-7652.360268	-9312.295373	-11120.568625	18.126336	15.859141	22.542193	39.957132	57.188176	74.493073	97.783954	113.125963	125.197821	146.050298	162.394096	176.335827	-138.681596	-409.494821	-797.308092	-1312.504111	-2030.697053	-2949.329808	-4029.602352	-5301.161068	-6770.242260	-8417.500047	-10114.348959	-11954.030798	6.654813	0.958242	4.812717	12.258058	10.654656	11.625522	17.400745	16.562135	12.940745	19.992621	23.564394	26.157145	39
2xb8_268	0.195817	-3.383652	-19.885325	-13.956945	2.089646	5.289558	4.762257	5.532665	5.691754	6.129965	9.373751	4.041350	7.118644	12.326312	16.072929	31.858500	48.211205	58.517999	71.115193	86.422432	98.573625	110.263093	116.341553	124.957792	-0.757323	1.168189	5.694292	12.553259	17.726210	17.774512	19.918861	24.058044	21.954086	22.235659	11.757467	13.030743	-3.377027	-6.241248	-0.956913	7.983781	14.361431	16.089203	17.005486	20.837813	19.579819	19.859173	13.110751	11.732980	-146.999854	-396.087321	-749.453037	-1186.951843	-1801.084886	-2578.170500	-3562.517031	-4716.827548	-6086.123492	-7683.161144	-9337.455999	-11190.906741	10.355135	15.372870	21.442095	41.320295	65.804528	82.472299	99.476695	118.438625	134.266748	148.338258	155.738010	165.666590	-151.314972	-414.521357	-799.431924	-1311.114270	-2036.971210	-2930.544184	-4044.453757	-5314.327703	-6784.436651	-8451.422328	-10141.458227	-12027.834990	1.356335	-0.789206	4.082452	12.427627	17.952705	18.385485	19.100994	22.731470	21.342111	22.001090	16.188598	15.645883	39
2xb8_28	-13.945474	-24.947769	-47.464226	-42.699180	-33.244674	-23.353055	-23.284978	-24.700746	-28.101753	-22.049867	-8.888761	-9.676922	-8.403457	-6.366593	-7.360656	7.855836	19.361495	35.872270	48.599118	62.867693	71.818095	88.872232	105.646163	118.105395	-17.266998	-18.663462	-23.335719	-15.904594	-17.742583	-10.292112	-8.018434	-6.597052	-11.072289	-5.495569	-6.602493	-1.316496	-20.089675	-22.056252	-25.213138	-15.928379	-14.002776	-6.543716	-5.663052	-4.369994	-7.521997	-1.738519	1.871838	4.241837	-139.779444	-405.005515	-772.531204	-1216.743521	-1823.092059	-2619.344746	-3586.240408	-4793.630364	-6161.601151	-7735.741794	-9384.723875	-11196.707715	-5.912120	-4.902585	-3.668731	15.715194	34.753731	58.555567	75.336874	93.719235	106.207742	125.524236	143.633053	157.330375	-146.118218	-422.914325	-825.733632	-1344.374602	-2056.618754	-2979.606699	-4069.134541	-5402.558038	-6866.957004	-8507.843501	-10192.865740	-12034.979741	-16.313146	-18.244898	-21.849176	-13.090901	-12.456560	-5.712390	-5.166298	-4.003324	-7.314941	-1.140371	3.415265	6.691041	39
2xb8_282	10.568371	10.470145	-11.303947	-6.919055	5.473064	8.881969	10.733397	10.184710	6.522829	6.899585	12.058864	9.679286	12.310459	19.141026	19.779159	34.444901	46.933613	56.825284	71.809243	85.279251	93.506384	105.534158	114.580030	126.481761	10.169677	16.714370	16.303850	21.023294	21.400936	22.517340	25.661283	28.362004	22.932473	23.234264	15.221975	19.310186	1.234941	1.625358	2.887346	11.459170	13.201807	15.206182	17.291067	19.345732	14.704187	15.532487	11.957669	13.718265	-149.643810	-389.844605	-761.471126	-1192.515712	-1799.984311	-2582.638175	-3567.205614	-4716.474666	-6073.502854	-7663.514175	-9334.704282	-11191.407062	18.156278	24.633190	27.859195	46.112218	66.322808	82.870514	102.258214	119.322400	131.128444	145.557302	155.975136	169.196214	-153.017012	-402.841194	-810.547167	-1311.812412	-2029.065032	-2931.267681	-4047.660217	-5311.958595	-6767.926320	-8427.806850	-10136.829203	-12027.210440	8.653232	9.486669	10.627934	18.088891	18.656792	19.557476	21.411566	23.260937	18.480920	19.718870	17.034165	19.616703	39
2xb8_285	1.909160	-2.846988	-28.451129	-25.837691	-10.852040	-8.449613	-6.242335	-3.562164	-3.783696	-1.816907	10.895915	9.857613	14.208200	17.199838	11.878734	24.752035	39.266201	49.196194	65.047352	81.850263	92.417059	105.823689	121.054284	133.553609	-1.527943	-0.129518	-3.928021	1.112388	4.941136	4.643510	9.565401	14.444353	13.208463	15.175994	13.730328	18.568182	1.698263	-2.187438	-5.010344	1.948882	6.109471	7.199609	11.348582	15.450965	13.828745	16.547522	18.520510	20.826671	-155.716961	-393.082324	-753.036419	-1204.100742	-1818.029280	-2604.037322	-3589.782692	-4738.543299	-6103.399842	-7670.365125	-9322.429906	-11124.097478	15.447253	18.851002	15.659146	32.528091	55.129086	71.714936	91.883839	112.300960	126.479033	142.181668	158.764837	172.500099	-163.762980	-413.911385	-803.784243	-1328.085847	-2054.978608	-2961.913756	-4074.990719	-5338.576473	-6801.969950	-8434.904815	-10124.009043	-11955.950851	4.494667	1.818340	-1.553761	4.738424	8.038146	8.002865	11.837854	15.746678	13.969389	17.121004	20.010310	23.218701	39
2xb8_35	-11.379290	-22.124518	-42.025661	-39.984363	-26.511736	-19.219435	-13.001691	-14.056641	-13.366143	-14.465473	-5.274952	-6.217950	-7.400160	-5.220191	-3.796863	7.130569	20.861630	35.165307	53.323833	67.560530	79.528663	89.100736	103.023610	114.990589	-13.622556	-15.909479	-18.145915	-13.372995	-11.139432	-6.060087	2.574291	4.346011	3.561775	2.907431	-2.822009	2.562795	-17.831671	-20.897990	-22.038444	-15.915365	-12.569102	-7.121353	-0.403638	0.545477	0.209245	-0.810223	-0.508687	1.587299	-133.435040	-399.044034	-765.074243	-1203.959806	-1813.446885	-2615.271309	-3563.816952	-4778.954645	-6132.868528	-7720.775173	-9367.821166	-11176.647785	-4.625506	-3.344714	0.432514	14.952869	36.623740	58.422395	80.438604	98.895846	114.342801	126.189585	141.438399	154.641521	-138.255835	-417.303137	-820.570812	-1327.593209	-2047.693768	-2977.303913	-4044.364154	-5387.381649	-6836.670952	-8491.318056	-10174.424737	-12012.832340	-13.802064	-16.675166	-18.138867	-13.032425	-10.591956	-5.701869	0.607585	1.455409	0.940545	0.277033	1.526752	4.525688	39
2xb8_408	34.907441	24.185594	7.609114	7.494106	22.031968	24.385571	23.227260	21.542307	20.226426	22.660058	28.322414	20.439886	32.147491	33.263561	34.065428	43.067716	57.890954	66.501576	77.919368	89.172668	99.113044	110.564624	120.911766	125.038785	35.400378	32.705973	34.007273	35.213801	36.311678	37.696422	37.863973	41.452674	38.469568	43.340482	36.108522	36.807407	22.452214	17.530395	18.466977	20.300071	22.560757	24.831999	23.488080	25.763360	23.187645	27.403404	26.803968	24.773157	-90.491854	-368.927744	-717.824018	-1159.968283	-1771.044528	-2532.500101	-3494.362300	-4610.660768	-5935.341198	-7392.692974	-8933.539199	-10603.126315	36.971374	37.154658	39.516628	52.514959	75.568466	90.078473	105.616756	120.260783	133.711425	147.171209	158.712838	163.906280	-91.504517	-385.594281	-761.793733	-1280.715667	-2007.499978	-2880.159482	-3966.820660	-5190.060629	-6611.682858	-8123.163720	-9693.451297	-11384.123477	28.576409	23.914185	23.595266	24.788307	26.337978	27.023847	25.356824	27.415755	24.710235	29.447657	29.842026	28.776239	39
2xb8_423	31.739619	47.322373	29.950438	32.963082	46.888392	53.209358	51.695790	50.047126	52.669198	52.768231	63.611099	64.246280	21.761559	39.980625	41.016869	53.444460	68.716820	82.703754	93.729908	107.342402	122.580301	133.222782	148.157638	163.073780	37.114636	53.862307	54.395335	62.178311	62.739948	65.417568	65.561648	67.901609	69.183025	69.823063	66.621473	73.453608	15.285143	23.598087	24.280972	31.816679	34.652302	39.299015	38.971508	41.129478	43.802650	44.134245	45.233229	50.143917	-101.149611	-300.477951	-628.311217	-1088.068777	-1718.609568	-2504.134690	-3442.110412	-4626.392785	-5999.214146	-7563.589908	-9269.667840	-11089.180013	30.789615	48.898021	52.513784	70.109891	93.897171	114.363702	129.004839	146.617010	165.616049	178.534284	194.941087	211.113376	-96.448404	-310.523702	-671.792267	-1213.401607	-1960.636368	-2865.468347	-3919.013636	-5224.885039	-6698.805578	-8328.346719	-10077.516067	-11927.526155	25.689110	34.666611	35.472430	43.515243	45.817035	49.178827	48.367814	50.389710	52.955071	53.713513	55.620456	61.416359	39
2xb8_428	20.291301	32.456228	14.517480	11.184684	28.337630	32.618629	35.052700	30.849794	31.608659	34.976904	44.302486	46.732891	16.504134	37.250517	39.058526	44.129571	62.177064	74.491093	88.807544	98.388073	110.965416	124.489769	137.456688	153.109499	24.593025	40.792366	41.486358	40.225367	43.115053	42.544658	46.328993	48.101035	47.877824	49.471859	46.436911	55.096426	10.635805	23.044931	24.028530	23.594094	28.875801	29.988734	32.116091	31.937959	32.520774	34.042523	35.286518	41.475989	-105.476530	-325.654597	-665.883255	-1099.947399	-1691.084474	-2475.446129	-3423.325019	-4619.994952	-5980.700120	-7491.830740	-9140.452417	-10900.104141	24.541530	44.748976	49.652564	58.889228	84.529814	103.927461	122.192706	135.878326	152.095306	167.773345	182.110427	198.955144	-101.550637	-335.967883	-713.749339	-1218.978211	-1919.688084	-2831.538440	-3900.349955	-5218.866668	-6677.736888	-8250.486433	-9935.875439	-11722.830912	20.018873	32.781727	34.302873	33.496910	37.748864	38.083154	39.835055	39.527404	39.966846	41.999914	44.114309	51.229925	39
2xb8_433	0.132913	0.515722	-20.553259	-18.025952	-3.707345	-0.564156	-3.804700	-4.871516	-4.399992	-7.881775	-0.789048	-3.898484	-6.165105	3.850107	-0.139657	9.613645	23.904934	34.305929	44.484976	57.819933	70.296971	78.703557	89.849737	99.292376	2.413259	9.792578	7.116502	10.571805	10.533287	11.273359	10.074783	13.334016	13.403514	11.207396	6.885082	10.290816	-14.472329	-9.911910	-13.371188	-10.781351	-10.469584	-8.587500	-10.747730	-8.180178	-7.316875	-7.680652	-7.501538	-6.268595	-110.178033	-363.830896	-705.343573	-1134.655241	-1754.093647	-2534.341319	-3515.598185	-4679.826500	-6055.562263	-7593.198011	-9283.328205	-10961.641454	1.171630	10.293228	8.485292	22.310946	45.579988	62.512276	76.984082	94.085342	110.292301	120.863704	133.443139	143.909309	-108.561183	-376.750225	-748.241705	-1252.269603	-1993.223659	-2891.884528	-3999.238479	-5279.460024	-6754.709264	-8352.504921	-10081.094162	-11778.362681	-5.926002	-1.143244	-5.058585	-2.878019	-2.532006	-1.830852	-4.270951	-1.880474	-1.152620	-1.067805	-0.064774	2.262378	39
