name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2xj7_118	-3.742416	-6.180911	-14.975416	-24.894900	-33.151386	-40.894838	-46.505664	-50.977763	-56.421225	-59.194916	-59.002712	-54.761441	-2.847396	2.923191	-0.874040	-5.969389	-12.663202	-16.039502	-14.008742	-12.556785	-13.626004	-14.377474	-15.660826	-16.546100	-2.615190	-3.167602	-7.840019	-13.667504	-18.759080	-22.657141	-24.985753	-25.350031	-22.822210	-19.375205	-17.125736	-12.962865	-5.392519	-3.880599	-8.155904	-13.566911	-18.474474	-22.468839	-26.797798	-31.099972	-33.841640	-37.193502	-42.993687	-48.645758	-114.050068	-315.471372	-576.467546	-912.403358	-1392.108045	-1972.991898	-2640.281421	-3308.899980	-3972.417344	-4572.086893	-5040.221492	-5352.620229	-1.284457	3.765666	0.598957	-3.423736	-7.149837	-8.440187	-5.488301	-3.603359	-4.402081	-5.124755	-6.416047	-7.330805	-112.617299	-322.924152	-606.996107	-988.038756	-1541.683049	-2198.301346	-2940.823256	-3659.291793	-4347.569697	-4944.653642	-5391.508175	-5677.827537	-2.827406	-1.110582	-5.610640	-11.411862	-16.488251	-20.949718	-25.438964	-29.765962	-32.548951	-35.351575	-40.203552	-44.972934	35
2xj7_131	-14.700672	-19.577001	-28.939419	-36.744480	-40.789670	-50.505661	-54.007471	-59.973862	-65.312886	-67.254195	-66.302952	-62.054274	-14.290087	-10.478231	-15.385856	-18.348709	-20.680972	-26.101261	-22.011605	-21.726651	-23.120440	-24.106283	-24.821816	-26.047407	-13.283125	-14.960486	-19.349332	-22.740672	-26.037818	-31.152013	-32.295104	-33.056349	-30.791361	-26.946678	-24.494055	-20.232419	-16.658000	-16.256338	-20.816227	-24.005011	-26.688079	-31.885408	-35.215092	-39.892327	-43.183410	-46.712137	-52.396230	-58.120552	-128.778520	-341.119260	-604.194900	-951.273255	-1430.005616	-2012.594833	-2688.283497	-3380.054679	-4035.187886	-4599.970876	-5060.305852	-5360.838052	-12.365136	-9.404850	-13.479243	-15.201057	-14.728985	-18.176254	-13.116370	-12.361055	-13.548414	-14.546709	-15.269060	-16.524839	-126.373452	-346.494001	-633.045145	-1029.090700	-1581.278812	-2238.374298	-2991.426847	-3735.611771	-4413.161961	-4971.130712	-5410.147260	-5683.737423	-13.688530	-13.170941	-17.800863	-21.265277	-24.349091	-30.131344	-33.591680	-38.294947	-41.645805	-44.585164	-49.306203	-54.133885	35
2xj7_161	-10.435721	-17.071708	-21.646449	-33.173407	-38.686107	-48.742470	-52.896213	-57.908804	-64.131440	-65.623347	-65.365861	-60.965389	-11.490195	-10.475104	-9.805334	-16.147530	-20.115747	-26.067817	-22.048151	-21.340323	-23.433155	-23.607445	-25.127573	-26.086925	-8.764980	-12.558178	-14.136223	-20.890061	-24.479262	-29.291589	-30.837927	-31.455484	-29.437040	-25.780804	-23.561400	-19.301181	-13.964349	-16.227200	-17.310810	-23.339492	-26.632894	-31.690311	-35.083178	-39.838098	-43.235272	-46.766407	-52.722678	-58.391419	-123.479485	-326.787104	-594.389623	-938.670122	-1419.395355	-1998.400402	-2689.632534	-3360.420543	-4018.727547	-4595.217037	-5050.778305	-5355.169647	-8.618866	-8.285207	-7.255731	-12.564862	-13.628381	-17.574477	-12.513596	-11.404798	-13.264309	-13.428628	-14.957608	-15.946765	-120.453014	-329.928851	-622.130419	-1012.440041	-1567.278256	-2218.936893	-2993.291554	-3713.167106	-4394.995082	-4967.183514	-5400.229585	-5678.190266	-10.034385	-12.109761	-13.666643	-20.157563	-23.733003	-29.323914	-32.846802	-37.634098	-41.079497	-44.026007	-49.013132	-53.789976	35
2xj7_254	12.301958	6.001704	4.011439	-5.379681	-11.683903	-20.145159	-24.733743	-29.856965	-35.767009	-37.210335	-36.371697	-31.964586	8.819297	2.260714	4.302672	-0.862663	-5.450570	-9.784008	-6.903916	-6.118294	-7.651601	-8.416438	-9.379277	-10.154762	14.337531	11.836753	12.738301	8.046449	3.659693	-0.290900	-1.559049	-2.179454	-0.394772	3.660766	6.017600	10.129050	5.565006	-2.863995	-2.882237	-7.880415	-11.410407	-15.507372	-18.992344	-23.612526	-27.105529	-30.575804	-36.386681	-42.085328	-137.713849	-314.938860	-581.706953	-931.622694	-1404.100447	-1979.678731	-2654.067663	-3330.225897	-3997.735830	-4555.400486	-5010.033724	-5320.215812	11.278555	5.151971	8.034934	4.125230	2.151936	-0.296438	3.549904	4.772869	3.486740	2.726119	1.757832	0.956410	-134.534908	-315.746600	-610.061050	-1006.781232	-1548.572452	-2197.415410	-2951.169392	-3678.681384	-4372.138303	-4923.057531	-5356.198885	-5640.857681	9.322856	1.977843	1.979047	-3.304239	-7.409299	-12.157744	-15.776803	-20.422312	-23.976701	-26.835315	-31.681113	-36.495977	35
2xj7_401	47.031082	45.895773	42.756239	34.234198	26.972824	20.997299	14.658658	8.059746	3.264999	1.023025	2.442640	6.664662	36.987456	35.880806	36.554674	32.419311	26.529332	24.915722	25.951832	25.178836	24.546450	23.379837	22.763409	21.807807	49.778713	52.264223	51.738088	47.219528	42.468609	39.145821	37.416692	36.206685	38.310376	42.179547	44.709982	48.829847	33.849397	30.497455	29.453700	24.855822	20.542129	17.082933	13.179586	7.883952	4.574813	1.104390	-4.655154	-10.338838	-89.556322	-280.560417	-539.090676	-884.272673	-1364.320818	-1952.097975	-2620.473267	-3299.565302	-3962.112257	-4536.163996	-4982.999954	-5293.688567	43.012771	42.045258	43.205343	40.259903	36.989440	37.451660	39.324156	38.988498	38.598787	37.451798	36.825286	35.843704	-83.950636	-281.339959	-562.038934	-955.666392	-1506.306688	-2174.861536	-2918.032709	-3648.244898	-4336.304118	-4904.781378	-5329.373560	-5614.260172	41.130959	38.735358	37.215147	32.288496	27.410121	23.409429	19.287275	13.966165	10.605183	7.736481	2.955544	-1.840720	35
2xj7_404	51.758164	59.014138	58.087391	55.082819	50.939880	42.847811	38.226237	34.904592	29.600127	27.818716	29.108952	32.757502	32.572056	37.439262	38.454717	39.851995	37.010417	32.900917	34.802971	37.202286	36.015975	35.485338	35.061549	34.432578	57.915622	67.428800	70.612910	70.861328	68.173430	64.625100	63.179302	62.917250	64.831151	68.515744	71.073539	75.084628	31.422313	33.608695	34.864281	34.571715	32.455721	28.595628	24.575523	20.365829	16.977764	13.625969	8.189654	2.898579	-88.187943	-248.856056	-480.535593	-832.677715	-1304.087551	-1882.011770	-2522.186362	-3184.012311	-3837.917797	-4405.177463	-4856.899819	-5198.164267	42.014051	47.339511	48.918907	51.840344	51.537462	49.424255	52.105514	54.934830	54.006060	53.477655	53.049117	52.395767	-76.073548	-239.697527	-490.346202	-899.232698	-1440.287919	-2095.193935	-2808.647471	-3523.437708	-4203.211946	-4766.378089	-5197.222213	-5515.518951	42.219359	45.459524	46.372360	46.152146	43.413855	38.994774	34.778755	30.540109	27.107780	24.319449	19.831156	15.375613	35
2xj7_405	58.448874	60.733357	50.356473	42.493853	37.207066	32.014790	27.139985	21.744732	16.482321	13.860937	14.522917	17.282686	46.370008	44.033685	37.312189	33.739410	29.813848	28.204466	30.722701	31.285539	29.845983	29.392203	28.764211	27.409722	61.479206	65.642199	60.814499	56.150760	52.821549	50.371431	48.833848	47.603489	49.607632	53.197933	55.677074	59.303156	42.999378	37.895003	31.888837	27.371094	24.478343	21.608071	18.089172	13.133624	9.790677	6.816033	1.516983	-4.057066	-85.639542	-232.854930	-500.659850	-834.362921	-1296.457132	-1841.997822	-2495.503656	-3159.263722	-3794.444162	-4392.529656	-4858.250260	-5203.574210	52.940067	51.595407	45.741926	43.180119	41.880491	42.057131	45.512096	46.518729	45.307463	44.909295	44.279392	42.903581	-79.026978	-229.555309	-522.675448	-900.999912	-1432.632394	-2048.551891	-2781.054940	-3497.085610	-4156.039218	-4754.052658	-5199.887425	-5522.117748	50.910374	47.276755	41.407056	36.417821	33.061933	29.562041	25.896658	20.906392	17.518405	15.082268	10.705735	5.962840	35
2xj7_406	47.732591	54.014153	47.712223	35.478804	30.133263	23.610984	18.930966	14.402578	8.941224	8.148732	9.851776	14.018471	27.714661	29.340553	25.298047	16.981312	12.647210	9.912270	12.640103	15.385325	13.774016	13.536875	13.015656	12.393148	52.322669	59.906760	57.385019	50.595882	47.123664	44.738301	43.523001	43.557169	45.574357	49.523090	52.059494	56.197901	24.568885	22.712001	18.090184	10.959045	7.860796	4.930158	1.597778	-1.632073	-5.259411	-8.865113	-14.656251	-20.159920	-108.521953	-265.701018	-521.045475	-863.249579	-1320.189761	-1895.933134	-2565.144062	-3288.504859	-3950.874011	-4505.886147	-4943.541976	-5272.020992	34.938058	37.260153	33.837092	26.646579	24.769058	24.152345	27.829133	31.165709	29.780056	29.549981	29.027691	28.379499	-99.969396	-260.534726	-538.423250	-926.223653	-1450.116425	-2105.015281	-2855.714201	-3641.380327	-4327.953400	-4875.912834	-5290.331709	-5594.326741	33.203794	32.582181	27.721765	20.222306	16.481027	13.109289	9.625200	6.369904	2.687301	-0.288970	-5.081533	-9.719795	35
2xj7_407	48.109971	42.523788	41.985564	29.959724	21.913548	17.682391	12.716448	6.731670	0.974704	-1.815319	-2.600328	0.853668	31.881926	25.607152	27.268525	18.727614	11.802035	11.584202	13.469459	14.774027	13.123001	12.510518	10.397102	10.220607	50.853094	48.213392	48.376641	41.156623	35.673224	34.050882	32.965179	32.074042	33.733753	36.945586	38.941340	42.708940	28.100554	19.514635	17.860031	10.254429	5.364895	3.302027	0.090240	-3.708542	-7.203724	-10.486533	-16.232042	-21.446018	-84.400856	-262.976934	-492.706787	-813.259858	-1239.925514	-1801.753936	-2432.795362	-3133.703361	-3778.238887	-4373.319860	-4834.925861	-5198.802396	43.783891	37.736098	40.227609	32.685219	28.016331	30.046297	32.783963	34.680443	33.275772	32.704144	30.589510	30.391231	-75.377432	-258.318601	-512.406068	-874.780980	-1363.540585	-2008.644495	-2712.818331	-3473.987517	-4142.764678	-4736.759440	-5176.939080	-5519.693977	41.286995	33.609521	31.877191	23.832409	18.293380	15.961676	12.592950	8.770066	5.227749	2.473683	-2.345271	-6.753101	35
2xj7_409	39.218098	38.252773	33.646605	29.481822	21.464522	12.024200	3.246655	-1.238299	-6.343961	-8.050620	-8.262881	-4.631320	27.633009	31.842319	30.848282	30.802793	24.209031	18.894586	16.972376	19.119457	18.298917	18.864507	17.475177	16.917137	41.476992	44.358064	44.159737	41.056582	35.660783	31.689171	28.286211	27.641215	29.042041	31.936979	33.529739	37.364564	25.085529	27.896850	26.776190	23.576830	18.814643	14.146084	8.381178	4.362439	0.563197	-3.113449	-9.333929	-14.821119	-47.615184	-222.338478	-468.276236	-789.030895	-1235.598956	-1831.388945	-2479.284669	-3159.270980	-3812.915975	-4414.505094	-4888.073746	-5233.486198	40.452619	43.968589	44.051921	45.215872	41.003599	38.305464	37.277683	39.918123	39.353205	39.976600	38.584493	38.001073	-38.031847	-217.587047	-488.948638	-858.854843	-1368.844646	-2049.088244	-2766.393931	-3501.631117	-4180.761931	-4782.500473	-5236.284728	-5558.405410	38.850852	41.789394	41.019663	37.608172	32.272349	27.597767	21.711765	17.655838	13.805452	10.677997	5.384274	0.736302	35
