name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2zcr_187	-0.237833	15.610093	19.359906	29.942354	38.441892	49.975068	53.737958	55.905389	56.739832	53.296094	46.356963	45.770239	-8.651022	2.105306	12.644040	26.836437	36.623330	49.005324	62.835042	76.459248	86.855858	89.719076	86.568906	84.660239	1.135842	12.064284	12.674126	10.987208	4.352966	-0.839454	-4.944095	-9.194469	-10.834189	-14.130503	-12.059303	0.060619	-13.050986	-8.521640	-4.187020	-4.027071	-9.467716	-13.436337	-17.937324	-25.261331	-32.773742	-41.726363	-52.163791	-60.067894	-111.193421	-392.993129	-791.075631	-1301.819115	-2013.592298	-2952.783086	-4049.443431	-5218.145441	-6360.375746	-7330.061532	-8216.299473	-8979.803347	-4.003861	5.420418	17.466129	34.370117	49.175706	66.272017	82.541738	97.733237	109.042809	111.957182	108.745033	106.657443	-109.090358	-410.107835	-853.461167	-1456.029612	-2293.265632	-3381.712686	-4611.948220	-5889.488452	-7092.548079	-8060.546604	-8919.201426	-9651.930719	-7.562901	-3.194869	1.254476	1.372035	-4.557657	-8.889382	-13.709754	-21.294210	-29.139295	-37.451395	-46.775249	-53.727072	52
2zcr_216	40.343822	46.511939	49.063605	62.401235	69.561432	79.508211	86.286122	85.500062	87.028376	84.668014	82.663751	80.181379	26.444113	28.924802	35.688124	51.272906	60.864171	72.550460	88.153406	97.790727	108.578493	112.462840	112.812690	109.693724	43.816895	43.895167	43.936937	43.069474	36.229059	29.748629	28.640342	23.819891	23.354947	20.389284	25.057227	36.597940	22.359290	17.548428	18.947002	18.310484	13.448763	8.813632	6.203796	-2.378542	-8.843814	-17.551470	-26.650156	-34.733616	-103.669093	-367.537153	-785.496337	-1324.374892	-2022.736151	-2924.646793	-4019.658782	-5162.446517	-6301.544860	-7311.508750	-8199.966220	-9007.573995	33.009553	34.918297	43.137188	61.542537	75.549167	91.228971	109.340789	120.426263	132.158588	136.206373	136.502404	133.249394	-97.244290	-376.365658	-841.095723	-1477.962709	-2295.250389	-3338.637531	-4573.732032	-5819.448283	-7021.502697	-8036.956303	-8900.546555	-9679.545333	30.042121	25.559482	27.037736	26.344756	20.365506	14.856544	11.950962	3.094373	-3.695524	-11.779620	-19.767788	-26.926914	52
2zcr_273	12.778319	25.045538	32.041140	41.530598	48.794276	63.587518	71.007220	75.802311	75.087990	72.486007	67.617963	66.371609	6.652381	16.225519	28.137579	40.698220	51.266284	66.108189	83.497097	98.488609	106.085506	108.998404	106.100839	104.062960	14.599108	22.527874	24.982888	22.542539	15.618834	13.259011	12.257509	9.689882	7.479003	5.457997	9.101985	21.101272	2.740914	6.515531	10.682295	8.904577	4.648557	2.458763	0.643413	-6.338916	-15.470650	-24.117328	-34.663350	-42.412776	-114.606785	-409.087964	-819.439588	-1353.477459	-2061.554862	-2999.476386	-4099.304703	-5317.822270	-6429.761030	-7429.131648	-8293.605386	-9080.199218	10.389446	18.673562	32.213784	47.575363	62.447770	82.046350	101.891107	118.657005	126.960396	130.000187	127.008252	124.809104	-111.889077	-423.651721	-881.802676	-1510.597779	-2333.751513	-3422.500678	-4661.900015	-5999.235203	-7164.945112	-8165.671019	-8999.927780	-9756.788404	7.434098	11.087321	15.408121	13.543352	8.051847	5.523539	3.379966	-3.828108	-13.341886	-21.320100	-30.701607	-37.498928	52
2zcr_28	56.039826	68.394989	84.726831	100.443909	106.798031	116.263248	120.662790	123.747585	123.123012	120.664028	117.396496	116.672221	47.946851	53.791054	72.521004	90.833726	99.041973	109.230833	121.589116	135.050738	143.670658	147.301014	147.295093	146.716055	59.298757	67.249254	78.958778	81.596005	75.087303	69.646595	68.100681	66.725213	64.960749	62.711462	66.261919	77.544400	44.114846	44.401905	55.721344	58.307485	53.180699	48.598690	45.222863	40.563759	33.286084	25.446457	16.315344	8.984266	-89.937130	-351.573353	-731.470811	-1233.602863	-1900.713792	-2777.235919	-3802.703804	-4962.694883	-6064.941861	-7041.807644	-7935.297548	-8744.512134	51.825191	57.102641	77.240337	98.275475	110.419290	124.808161	139.396524	154.595098	164.107404	167.890990	167.870940	167.186147	-84.359194	-359.782955	-784.478581	-1381.107983	-2156.673126	-3171.694671	-4324.285960	-5597.114953	-6759.120228	-7740.312772	-8612.967657	-9398.159542	49.110578	49.748749	61.061672	63.599618	57.151000	52.026966	48.322832	43.457435	35.861833	28.626632	20.538340	14.086538	52
2zcr_283	28.022971	36.153969	45.868903	60.143395	69.382914	79.943103	86.317805	90.108475	89.352397	87.687924	82.164931	81.121169	18.182885	22.823057	38.793872	55.854043	68.148992	79.790920	95.808093	110.694702	118.297107	122.095867	119.030543	116.063231	30.048066	35.444717	40.834791	41.420828	35.240164	30.440819	28.472899	24.513326	22.725348	20.841895	23.927619	36.363934	13.895310	14.330107	22.865609	24.100266	20.703591	17.121667	14.169759	6.735619	-2.022559	-10.509038	-21.136510	-29.203726	-101.987951	-366.568149	-774.366012	-1297.941581	-2010.433435	-2931.478654	-4034.872229	-5234.802853	-6365.122789	-7371.544660	-8244.318402	-9003.250289	22.444473	26.163667	43.326757	63.197642	80.233779	96.280517	114.802795	131.394959	139.835824	143.772496	140.621412	137.461388	-98.113049	-379.169330	-832.352267	-1453.837226	-2288.535676	-3353.635930	-4596.675558	-5912.517090	-7099.238882	-8108.318463	-8951.771609	-9677.972049	19.113016	19.688277	28.025850	29.250625	25.040009	20.895183	17.630215	9.959304	0.863071	-6.979280	-16.460771	-23.560711	52
2zcr_294	-4.734997	5.129048	12.574408	23.730047	35.269047	46.403557	51.882579	57.429353	54.878171	51.721976	46.327716	44.063422	-8.261973	-1.468774	12.728843	26.353022	39.637369	52.502753	67.473872	83.843137	89.583589	92.658512	89.815491	85.634780	-2.492250	3.468566	7.109900	5.800555	1.504284	-3.354561	-6.679928	-9.400967	-11.582821	-14.741582	-11.698754	0.044824	-11.997695	-10.772678	-3.379551	-4.322096	-7.268304	-10.448216	-14.792559	-21.170121	-30.377549	-39.300911	-49.849558	-58.587270	-138.719507	-407.588756	-816.173567	-1333.027656	-2044.713563	-2958.672395	-4063.777599	-5238.243041	-6382.913550	-7370.102600	-8244.753816	-9002.814598	-5.109328	1.015009	16.453549	32.680357	50.803499	68.028958	85.561037	103.549391	110.199242	113.364150	110.444706	106.071656	-134.819642	-420.307751	-874.829943	-1482.423189	-2318.519645	-3375.575353	-4622.224563	-5910.332028	-7113.857814	-8102.267193	-8948.364990	-9673.452017	-7.796776	-6.230040	0.982054	-0.169950	-3.833971	-7.586876	-12.213700	-18.832961	-28.367206	-36.650277	-46.063617	-53.840724	52
2zcr_296	14.204603	22.774336	29.848530	46.686645	52.978624	68.766450	73.917462	79.189979	79.205067	76.699499	72.252209	71.438581	10.127069	13.662270	24.789562	43.656682	53.167643	69.456284	84.131096	99.708878	108.735882	112.406945	108.966149	105.841290	16.463257	21.734276	24.535504	27.927178	20.585285	19.048370	16.142344	13.708648	11.681037	9.804366	14.051492	26.822269	6.220843	5.002556	8.680131	11.561789	6.975093	6.097619	1.969023	-4.682830	-13.086132	-21.055865	-31.802788	-39.946411	-121.887069	-399.899411	-807.518150	-1323.936680	-2040.499058	-2979.162658	-4074.465069	-5276.190267	-6389.749034	-7412.781413	-8267.673022	-9034.236210	12.870801	15.469443	27.965967	49.521084	63.746701	84.784538	101.871889	119.163141	128.954549	132.807443	129.258780	125.947407	-117.525535	-410.961364	-864.925602	-1476.779024	-2314.634628	-3404.357408	-4635.213477	-5953.252949	-7123.076185	-8149.942752	-8973.524696	-9708.149281	9.978291	8.886282	12.495820	15.225430	9.782584	8.552488	4.100996	-2.781505	-11.538153	-18.857785	-28.434270	-35.617038	52
2zcr_318	-10.184965	1.530710	4.009771	17.636938	28.407789	40.779120	49.154777	48.620449	49.609573	45.080599	39.665010	39.748077	-15.981007	-7.429916	0.321472	16.988667	28.879492	43.210768	60.630942	71.932550	81.592678	82.746326	80.108845	78.417315	-9.231717	-2.307205	-2.297321	-0.656231	-4.564093	-8.762312	-11.267191	-16.305473	-18.138377	-21.585282	-18.324052	-5.423805	-20.387407	-18.248969	-16.093044	-13.785211	-16.819025	-18.960716	-22.789953	-30.542445	-39.058230	-48.772237	-59.054151	-66.543316	-127.218419	-425.896600	-835.940275	-1359.724702	-2079.763876	-2995.159084	-4090.386213	-5274.926982	-6403.241543	-7383.807516	-8274.780365	-9023.827566	-12.927986	-5.849536	3.423507	22.967562	39.800719	58.266702	78.127000	91.040623	101.558648	102.788048	100.091508	98.204160	-124.499421	-441.935390	-896.657936	-1515.890419	-2360.862588	-3418.437091	-4653.266574	-5947.092217	-7135.207556	-8114.595978	-8978.476853	-9695.469776	-16.447385	-14.574339	-12.351724	-10.014599	-13.732334	-16.679393	-20.844354	-28.854376	-37.700083	-46.766292	-55.932726	-62.449887	52
2zcr_324	0.766725	11.485071	16.347433	30.325838	40.848495	49.274752	55.352047	54.402852	54.107778	49.674285	46.467972	44.467586	-2.229393	9.952808	19.128117	35.854538	47.329312	58.028227	73.743951	84.714237	93.577191	95.182524	94.910654	91.868454	1.372261	8.290293	9.821870	9.637328	5.332048	-1.015371	-3.343238	-8.813022	-11.869252	-15.145209	-10.956182	0.621064	-6.318627	-0.515868	2.311239	2.670777	-0.846985	-4.877297	-7.908703	-15.932683	-25.070029	-34.309790	-43.456867	-51.569979	-119.378624	-400.960362	-806.265251	-1323.326321	-2041.167163	-2952.663835	-4058.465550	-5219.393203	-6347.569775	-7322.278033	-8220.253732	-8983.705033	-0.356722	10.550652	21.306688	40.797198	57.328198	72.183446	90.466980	102.957454	112.682236	114.361347	114.048214	110.828334	-117.762478	-415.908473	-868.262340	-1480.820678	-2325.633266	-3375.111148	-4619.806453	-5885.735074	-7073.837771	-8047.322415	-8921.375415	-9653.395003	-3.535916	2.081837	5.117168	5.444265	1.400218	-3.364992	-6.674526	-14.959566	-24.442050	-33.042830	-41.097910	-48.255680	52
2zcr_33	34.891427	44.442768	46.561975	56.943796	64.413110	79.923562	83.223559	89.252458	90.467401	85.869657	80.570522	80.142018	21.936041	27.507995	33.344386	46.947344	56.752601	72.242196	85.809959	101.303377	111.103095	113.375102	110.164256	108.132537	37.930838	43.125166	40.745163	37.965629	31.609644	28.929694	24.844115	22.864498	21.252046	18.389598	21.811540	34.473746	17.786699	17.920843	16.418542	14.962878	10.634379	8.284776	3.728545	-3.124233	-11.514126	-19.869601	-30.546724	-38.358351	-111.105239	-368.134521	-782.414962	-1305.913119	-2017.916114	-2957.624128	-4031.727298	-5236.522890	-6366.404959	-7403.769992	-8272.096818	-9049.530769	28.185220	33.324048	40.723462	56.900768	71.334576	91.653432	107.502522	124.748401	135.400342	137.861387	134.553771	132.343657	-106.188286	-376.705813	-840.144038	-1456.577734	-2288.646020	-3381.343400	-4586.934370	-5910.580087	-7100.231089	-8142.286430	-8980.204088	-9726.860436	25.153269	25.736758	24.435312	22.726070	17.494499	14.862868	9.948468	2.858361	-5.869966	-13.607099	-23.126234	-29.984156	52
