name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
2zcr_187	3.583870	-0.368601	-23.261085	-2.791196	50.975032	85.311478	98.225386	132.392418	127.979122	118.334514	77.994356	4.682986	14.208245	15.379378	17.444909	41.612225	76.849351	127.211246	177.750222	246.573363	284.317395	315.746627	340.576341	375.367779	-2.091889	-7.176754	-24.318359	-26.874111	-31.136198	-44.222539	-76.171355	-95.127032	-140.822960	-198.196903	-274.534940	-335.048528	5.367676	3.407682	9.005453	20.986226	25.322941	37.445018	44.285722	73.309396	85.237582	96.267200	96.516333	109.491321	-61.324213	-311.972400	-668.123847	-1120.545687	-1752.198204	-2619.968584	-3781.299630	-5257.739131	-7097.673739	-9251.468910	-11774.282150	-14556.356684	13.362985	10.129656	13.453441	39.773013	82.073603	138.061400	189.414391	257.970447	295.338577	323.655366	343.599804	373.184110	-67.913573	-332.426149	-720.863659	-1257.487037	-2026.255949	-3065.597839	-4408.973491	-6068.975518	-8058.456387	-10315.047117	-12921.197596	-15770.641600	6.060726	3.079817	9.287533	21.726004	26.267762	38.508434	45.344893	74.319660	86.315889	97.737812	98.590061	112.546785	52
2zcr_216	5.134218	1.785912	-27.897730	-6.742390	41.290221	72.139004	74.055956	93.078324	80.400165	70.825256	51.384917	-27.903042	-0.397056	5.379098	0.018846	25.085141	54.737434	110.345169	148.587224	201.848000	231.537700	259.236837	300.150082	330.933989	0.317452	-0.840637	-27.797773	-30.601038	-39.063952	-53.006135	-93.494657	-121.813478	-174.299800	-235.015238	-292.456772	-357.641257	-12.021066	-5.769282	-9.469848	3.876083	3.744891	21.823726	19.306552	36.835325	41.329937	45.944002	60.868355	72.165967	-81.350881	-311.796209	-691.144220	-1161.698541	-1780.321544	-2621.884328	-3786.456925	-5197.179300	-6965.626154	-9128.093858	-11596.045040	-14334.513202	9.612113	12.552328	8.103403	35.265199	71.133869	131.893728	170.957070	223.985697	253.290645	277.823870	313.907524	339.557230	-87.230151	-324.770625	-739.540396	-1297.054833	-2045.881076	-3055.594350	-4401.821225	-5979.236405	-7890.554367	-10164.090752	-12716.341725	-15519.947522	0.061477	6.325803	3.018745	16.732961	15.835007	33.643330	31.125751	48.798145	53.397920	58.215705	73.693582	85.933532	52
2zcr_273	4.940351	8.422380	-6.633987	12.141849	57.077761	96.325289	101.971013	137.404994	123.868584	110.322707	86.440633	13.882876	8.732983	21.322978	29.622698	51.097489	85.558683	146.313352	189.315670	253.703313	281.970398	312.988145	350.637084	390.442936	2.621817	3.699196	-7.818396	-13.328316	-22.048684	-29.559810	-66.547001	-86.914274	-140.374796	-203.151064	-264.837906	-324.971352	1.583891	9.719287	20.075687	29.049728	33.815844	56.246985	57.741153	80.895134	84.764292	94.188207	106.255511	123.840758	-73.328952	-328.675274	-698.043061	-1173.589132	-1798.372477	-2655.364885	-3818.691470	-5305.566276	-7130.782442	-9307.614409	-11823.877203	-14621.543957	13.105803	20.839879	30.507667	54.142312	94.622908	161.164782	204.993454	269.150729	297.018023	324.846790	357.613663	392.147717	-76.486725	-345.360622	-750.351202	-1313.392738	-2064.519061	-3094.391817	-4439.696939	-6113.251707	-8083.872533	-10367.855774	-12968.189340	-15835.276796	7.762553	14.465659	25.508232	34.819245	38.528245	61.208274	62.746002	85.893580	89.859871	99.588452	112.279697	130.803757	52
2zcr_28	10.521017	2.155803	-11.527150	2.924556	48.219665	76.183239	91.449207	127.256209	115.453794	105.572607	74.132204	-1.899263	4.589821	2.618292	9.825337	27.801495	61.255609	111.226929	159.436522	224.143805	252.587861	281.174012	311.211688	342.815246	5.031714	-6.189792	-11.741481	-17.371516	-23.240161	-37.412745	-60.390612	-75.644812	-129.096369	-184.624038	-253.844346	-317.231791	-7.575278	-13.529788	0.926412	9.241947	15.212339	31.440592	42.166757	69.264003	71.118041	80.280128	84.510319	96.214590	-75.969175	-300.330691	-635.412813	-1072.173637	-1653.241889	-2463.336873	-3523.619450	-4942.748445	-6713.666809	-8756.164094	-11179.167626	-13860.817210	14.629006	10.404266	18.743210	38.837799	78.105874	133.515702	182.460472	246.882929	274.929459	300.589628	325.845792	352.362605	-81.434406	-317.060292	-678.498857	-1196.015802	-1896.717849	-2867.579299	-4092.942894	-5692.318260	-7612.331658	-9753.316460	-12260.998216	-15008.679351	4.537280	-0.948624	14.000391	22.788552	28.021034	44.508298	55.296785	82.217077	84.045201	93.597624	98.241793	110.753594	52
2zcr_283	21.474260	14.409668	-4.466172	8.831407	64.922907	96.555201	112.091793	136.012816	128.813794	122.382436	90.470973	11.559404	28.304125	24.178836	32.977328	51.810692	92.404934	146.248620	199.270111	256.693018	293.437030	325.266061	355.676040	388.656024	18.372669	9.786108	-4.251545	-15.546502	-16.364994	-29.868317	-57.755531	-87.816107	-133.406210	-189.250673	-259.344566	-323.915927	20.410408	12.908229	24.838865	30.482235	41.278468	57.690312	68.265314	85.125355	97.688916	107.760300	111.973070	125.246313	-51.988851	-282.350810	-651.018793	-1124.493955	-1752.449088	-2607.021751	-3756.729004	-5251.491347	-7053.853222	-9237.301772	-11719.051503	-14532.167565	33.484104	26.118923	35.727493	56.613816	103.945978	163.282353	217.043033	274.211661	310.602785	339.259139	364.909614	392.549677	-56.083668	-300.557915	-701.903746	-1264.259686	-2024.823999	-3047.226995	-4378.486926	-6059.095258	-8004.851476	-10296.808089	-12860.217021	-15741.287755	27.295905	19.661602	31.914772	37.935119	48.486303	64.919059	75.442296	92.249210	104.959939	115.316989	120.260045	134.375097	52
2zcr_294	12.636348	6.986858	-8.629341	3.876392	60.244275	85.768275	114.705632	144.514785	129.395233	112.004100	86.906446	8.821398	23.444566	23.868508	35.550918	56.740398	97.815421	143.300307	209.245933	272.285963	299.010356	321.325036	358.468098	391.099261	6.480575	1.382929	-10.191466	-19.341167	-20.446288	-41.146042	-58.351772	-83.663958	-134.607531	-202.795586	-266.365555	-329.627619	13.389086	11.902159	25.783719	35.335885	46.002598	53.742831	74.670719	95.667251	101.524680	100.951941	112.065813	125.312683	-70.373584	-306.352931	-675.933676	-1133.890809	-1765.356927	-2620.286591	-3772.378413	-5250.489588	-7063.962559	-9246.923212	-11760.500656	-14523.207385	23.811037	21.288002	33.666998	56.955789	104.943882	155.824627	222.585912	285.412038	311.780577	330.904026	363.142275	390.622406	-77.398074	-324.544604	-729.330817	-1269.081133	-2035.681793	-3056.441846	-4397.305201	-6061.196034	-8015.569230	-10307.757718	-12906.489309	-15732.984260	15.661724	14.261603	28.336458	38.184384	48.791645	56.492578	77.376260	98.395350	104.396731	104.100335	115.790936	130.064495	52
2zcr_296	13.149391	11.569386	-9.324402	9.070651	55.834889	82.560419	98.590747	121.876188	113.859454	112.117129	95.697931	20.810873	20.467915	23.085604	25.706379	46.786127	79.339748	129.661721	182.201979	238.119658	271.344579	310.221870	355.096736	387.715792	10.408354	9.249250	-7.742022	-15.107982	-23.276683	-44.171578	-71.409327	-100.859892	-147.783012	-200.974657	-255.510766	-317.377639	12.375413	13.288845	18.347283	25.253623	29.023868	40.248659	50.360452	66.216858	74.670534	90.852573	110.273788	121.365957	-66.730677	-312.889397	-683.403180	-1147.585988	-1783.406690	-2663.448359	-3826.987692	-5309.507368	-7092.449636	-9302.471339	-11783.066865	-14560.027416	26.671714	25.395414	29.159614	52.228162	91.443085	147.719026	201.154170	256.838228	289.719710	325.376937	365.475886	392.901695	-70.703348	-327.564451	-732.686019	-1283.708286	-2051.299064	-3106.596418	-4452.590671	-6116.981116	-8041.104836	-10364.285172	-12926.549116	-15770.236502	20.451937	20.683366	26.263275	33.359989	36.779519	48.367164	58.587624	74.484865	83.145202	99.545186	119.702181	131.792840	52
2zcr_318	7.667299	6.693182	-15.267913	5.874318	58.663850	98.464787	111.621402	127.385992	114.473690	90.000976	70.545982	-2.720587	15.242684	22.115083	24.268184	49.194448	83.179536	141.806063	194.019666	244.847242	275.681803	292.775876	335.509904	372.340447	-0.405458	-0.686655	-17.355897	-18.670066	-24.502689	-30.015399	-61.928779	-95.864432	-151.125405	-223.314547	-282.701665	-340.311580	3.248185	8.504081	14.246950	27.670770	30.876487	52.002042	60.279237	74.157167	77.622008	74.603126	90.019878	107.917456	-62.274187	-322.011445	-689.613406	-1154.328392	-1798.123501	-2636.593088	-3788.648429	-5246.480261	-7067.876266	-9261.301696	-11810.003980	-14530.125937	17.708618	19.326114	22.723629	49.972380	90.980053	154.517141	207.438921	258.022240	288.522325	302.389855	340.071727	371.891522	-71.396161	-342.587704	-743.366562	-1294.362949	-2075.599059	-3077.368645	-4412.570108	-6045.430580	-8017.301528	-10318.151405	-12956.321090	-15737.117961	7.352754	10.817918	17.132531	31.119278	34.281746	54.886846	63.079907	77.015460	80.599895	77.799831	93.631148	112.690427	52
2zcr_324	12.546657	-3.261783	-19.797233	6.098115	57.426577	77.627662	85.483836	120.102357	112.309582	100.040281	77.184053	-7.051108	22.704848	23.474276	28.347376	59.469564	94.078034	135.317954	181.883712	254.233742	287.419790	314.228647	355.122826	380.548021	5.975302	-4.673891	-19.360176	-17.133122	-21.737281	-47.165704	-84.019304	-100.568281	-148.540730	-208.088531	-269.677222	-341.778744	12.917819	15.204559	20.209356	39.041390	44.329165	48.117607	52.435776	85.109956	93.144747	100.028048	114.645696	118.058449	-60.773309	-309.522367	-664.990675	-1115.752401	-1742.319018	-2594.317937	-3774.527417	-5202.468988	-6999.747839	-9151.557445	-11676.017223	-14444.879512	22.196529	18.487977	24.602691	57.916573	99.271884	145.783142	193.189679	265.306188	298.113516	321.816855	357.704870	377.960642	-68.471638	-323.158593	-715.782404	-1252.363560	-2011.503112	-3028.248797	-4395.669115	-5998.548541	-7940.833368	-10197.208279	-12809.995705	-15646.209312	14.115018	14.977261	20.738218	40.090285	45.249788	48.926830	53.161655	85.916692	94.046908	101.256906	116.285845	120.666801	52
2zcr_33	19.267382	15.510385	-11.168777	8.779761	53.936079	80.790859	91.301160	124.592604	119.850356	110.222432	91.506254	17.921711	24.719913	26.384469	24.648191	49.620640	77.543201	125.823443	175.412037	241.570679	278.927946	308.375949	351.112022	386.598235	16.150982	13.197326	-10.290275	-15.193642	-26.182593	-47.452551	-77.355694	-99.819452	-145.187725	-204.826875	-261.836139	-320.683686	16.472695	16.689162	16.505030	27.936174	26.308207	35.498735	44.457325	68.362739	80.337937	88.215477	105.240206	120.920856	-68.258911	-297.186825	-684.260884	-1147.720359	-1788.544518	-2675.327600	-3812.330241	-5288.738308	-7092.756944	-9320.063046	-11819.727596	-14565.969702	29.404893	28.605957	28.035590	54.862627	89.314333	143.527273	193.959393	259.846483	296.865870	323.021365	360.924556	391.329419	-72.421050	-309.827433	-735.578830	-1283.984781	-2056.634239	-3120.817751	-4432.240977	-6095.177199	-8044.783410	-10385.189049	-12967.559806	-15776.548814	23.231050	23.742030	24.387809	35.848737	33.733720	43.236393	52.358921	76.224631	88.362789	96.386275	114.099324	130.895482	52
