name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3aru_10	12.025421	13.030022	15.234104	25.477315	41.658378	48.422815	54.416599	55.042289	59.148338	59.825437	62.064584	51.997737	14.967546	22.409528	29.857347	42.622474	54.508594	60.469373	72.305507	80.850331	93.131113	105.205911	116.515326	129.786997	9.052333	16.027584	23.049616	24.252225	18.914500	6.284801	-4.720998	-18.646056	-33.647784	-50.418466	-72.736626	-96.509995	6.408124	14.971965	25.360113	33.577309	35.234814	33.451795	34.121653	33.219915	33.976859	36.038025	34.656739	35.574280	-110.233306	-260.764625	-456.207506	-695.920465	-1082.410547	-1594.382931	-2211.399414	-2992.180006	-4001.302681	-5269.917324	-6799.140459	-8528.438199	17.881460	25.402565	32.592031	45.002512	56.639418	61.802496	71.657662	77.106226	85.574874	92.809849	98.121823	105.200465	-114.046071	-263.017013	-472.578543	-749.401689	-1207.080832	-1797.511095	-2493.720888	-3351.194618	-4439.520471	-5771.805533	-7355.410377	-9131.170625	11.601533	21.702951	31.965677	40.375012	42.025533	40.246609	41.294884	40.761110	41.570437	43.533908	42.020120	42.978355	38
3aru_167	-2.628812	-0.493585	-5.184717	-0.911218	7.390000	14.232100	20.318421	23.425737	27.587293	29.937047	33.257085	22.874917	-2.507978	4.242108	4.645399	10.483115	18.139630	22.263180	31.388275	41.912444	53.697339	66.340822	78.378643	90.308856	-5.086433	-2.384450	-3.610859	-4.858994	-15.779175	-25.927925	-36.558806	-49.210051	-63.915359	-77.546317	-96.512313	-120.449098	-8.173811	-5.113345	-4.147646	-0.520150	-1.719774	-4.232836	-5.348002	-5.186199	-5.102917	-2.033487	-0.610236	-0.779330	-65.058620	-199.178743	-411.582372	-671.220945	-1000.857908	-1477.096388	-2130.175780	-2923.682754	-3902.533606	-5069.988535	-6513.909102	-8195.664619	0.497227	5.477657	5.577146	10.694747	18.233945	21.503332	28.041144	35.186384	43.348171	51.769745	58.207090	64.046183	-67.803902	-209.991553	-441.809114	-738.488072	-1122.149652	-1671.841349	-2412.467547	-3286.330409	-4339.214593	-5560.484190	-7052.343093	-8779.967496	-3.936447	-0.912005	0.311098	3.931729	2.552763	-0.014868	-1.183684	-0.893842	-0.712414	2.487315	3.849682	3.647535	38
3aru_169	4.859251	8.302714	3.606877	2.669941	17.164867	25.196676	29.639421	37.178718	43.315557	45.970872	49.521177	40.870113	7.197947	15.923210	17.154986	18.928515	30.769011	38.312530	47.453711	61.439349	74.826606	87.578901	99.216030	112.486117	1.940553	5.583381	4.779963	-0.916660	-5.820909	-15.182172	-24.745693	-33.916859	-47.657461	-60.716869	-78.743600	-100.189967	2.409637	7.875581	9.867998	9.625914	11.434448	11.437203	12.337790	14.732896	15.122578	17.956637	19.029500	21.346993	-36.519415	-142.727591	-342.939526	-591.645879	-923.837933	-1360.121271	-1925.263927	-2656.603834	-3576.341359	-4646.337845	-6086.657136	-7745.884046	7.158508	13.883277	14.276405	15.180382	26.871675	33.679871	40.713243	51.472844	61.315696	70.226443	75.928588	82.943484	-40.000036	-153.228216	-373.224038	-657.887908	-1049.930719	-1550.734091	-2185.530000	-2993.955549	-3986.978004	-5106.923828	-6600.875445	-8307.770378	3.171101	8.064379	10.031452	9.686317	11.517440	11.452051	12.412110	14.834835	15.204207	18.192711	18.845718	20.898617	38
3aru_174	-3.565542	-0.096432	-6.090147	-3.985898	8.028840	13.896050	25.181384	29.891690	33.574078	34.457056	37.080758	27.572018	-2.947967	6.283991	5.713762	10.228991	20.195038	24.788721	39.376187	51.160867	63.185584	74.796641	86.537834	99.110447	-5.463767	-2.655404	-5.455528	-8.876254	-15.902834	-24.945398	-31.165332	-42.565855	-56.951074	-73.314957	-92.237133	-114.652328	-7.293429	-2.606704	-3.399236	-1.300811	-0.409540	-0.942402	2.471019	3.475742	4.788715	5.752303	7.063836	7.995292	-57.306886	-180.404104	-398.733710	-642.828344	-972.629970	-1420.888857	-2039.802213	-2812.526551	-3779.281708	-4942.927726	-6346.358300	-7961.206921	-2.169873	5.147409	4.099858	7.982140	17.786120	21.606012	33.644123	42.053159	50.376063	57.697750	64.034703	70.818602	-59.490860	-191.544103	-432.218056	-709.908158	-1095.847558	-1609.596066	-2312.936515	-3165.285861	-4206.275711	-5426.405267	-6875.461190	-8533.164833	-5.498804	-1.075830	-1.565500	0.485601	1.266417	0.652781	3.943753	4.992482	6.295899	7.309773	8.596754	9.562655	38
3aru_202	13.283635	10.435114	3.885837	7.508431	24.534459	38.878932	46.640637	48.635035	55.634296	55.362961	57.683299	45.215791	7.954632	13.344129	13.092416	19.383917	34.723045	49.031077	62.543097	73.358523	89.455909	101.886459	114.682826	127.111987	12.285437	13.825801	17.982841	16.756139	11.407607	4.578323	-4.731895	-20.930419	-34.125162	-53.741293	-74.807760	-100.076648	2.051182	6.128491	13.185895	19.095312	25.320082	31.393991	34.603907	32.985990	36.577308	37.298316	39.561077	40.667206	-63.133773	-247.471709	-513.209536	-838.708027	-1274.332767	-1835.475519	-2551.600722	-3444.971563	-4515.513355	-5864.674281	-7475.295606	-9365.195341	16.050059	18.702854	17.794409	23.227079	38.339235	51.866276	62.957077	70.234393	82.644460	90.212934	96.963150	102.644357	-63.923977	-253.445589	-536.839768	-907.448945	-1413.945039	-2056.788769	-2862.113129	-3844.828093	-4993.176542	-6406.771703	-8067.327792	-10006.037231	11.717612	15.277813	22.358357	28.308272	34.350414	40.447115	43.988159	42.796110	46.777361	47.671751	50.068302	51.233639	38
3aru_205	40.067413	51.884014	51.662412	64.556607	77.309943	86.328193	91.970906	96.529483	98.129267	100.298731	104.274587	98.919048	23.497073	33.165991	35.019171	47.576057	56.760625	64.118460	74.435433	85.488172	94.685413	107.432516	120.680639	137.983747	39.122902	58.404548	61.915358	65.393233	58.595295	47.903550	37.182896	25.570255	10.634285	-3.919239	-22.940005	-42.997518	14.105939	27.163593	31.849041	38.869272	39.388779	37.853217	37.371844	38.166292	38.302333	41.400297	43.065416	47.265384	-73.643325	-196.514202	-361.089624	-587.724859	-937.214997	-1398.953101	-1972.533644	-2760.220194	-3731.704682	-4933.403159	-6376.725392	-8053.074608	41.615848	52.554097	54.611874	66.571714	75.604820	82.217277	90.678803	98.183928	103.686151	111.894099	119.505166	130.676792	-73.345333	-192.836145	-365.696045	-632.321450	-1045.598905	-1580.138257	-2230.616591	-3104.263504	-4149.720900	-5411.652906	-6905.257362	-8629.622146	34.596621	50.201904	54.907019	62.010555	62.530681	60.955927	60.814059	61.562748	61.706292	64.760196	66.331664	70.464902	38
3aru_222	-0.482929	3.845356	-2.705013	0.779492	15.764340	23.675911	31.939477	39.835730	43.317224	39.907828	41.088812	31.508278	-0.849048	9.091788	8.980078	15.478459	28.236365	33.688082	46.346730	61.520342	73.458893	81.146168	92.863127	106.940243	-4.948831	1.296641	2.298155	-0.649388	-5.987155	-16.919388	-25.739144	-35.885295	-50.634355	-70.333929	-93.495228	-116.109639	-8.728908	-1.383857	3.017307	6.411253	9.948762	8.224077	10.037861	12.785356	13.664370	12.437571	12.404944	14.816464	-66.039450	-203.634999	-423.432782	-708.349109	-1077.925808	-1603.340025	-2259.879494	-3091.258007	-4082.586121	-5368.418944	-6952.483133	-8717.411534	2.929472	11.080398	10.583971	16.044610	28.597788	33.094444	43.456591	55.106276	63.536005	66.392756	71.811802	79.583115	-70.688292	-215.377476	-450.359645	-777.072396	-1209.752164	-1816.017300	-2555.972581	-3472.955707	-4535.764540	-5882.963059	-7522.562616	-9333.541727	-3.656620	3.710937	8.262824	11.483776	14.887935	13.092129	15.135521	18.056912	19.192502	17.914841	17.650307	20.116823	38
3aru_235	17.257497	18.268903	8.799142	16.422273	32.659790	40.404724	47.982264	48.638091	50.392628	52.321155	54.819216	43.207000	11.552277	12.383971	8.709818	18.145688	32.982628	40.738509	54.320950	63.942294	74.781006	88.436033	101.802037	115.495651	16.219833	24.608397	25.182582	27.275499	20.381828	7.351081	-1.801497	-18.884859	-35.965863	-54.017793	-77.015388	-102.249254	3.446110	6.543676	9.937371	18.442061	24.004855	23.985338	26.978882	24.657607	24.450537	26.115390	27.404217	28.827119	-98.581686	-272.750876	-539.668801	-867.326954	-1306.505421	-1877.544343	-2575.925680	-3462.255080	-4539.531666	-5919.290346	-7569.654037	-9440.720493	22.885882	23.799845	19.674412	28.359226	42.933913	49.865384	61.220659	67.385927	74.515471	83.072459	90.136205	97.261407	-99.515348	-274.987592	-556.874665	-929.142447	-1439.834038	-2094.683377	-2880.651896	-3855.332422	-5010.595668	-6458.881981	-8163.917970	-10082.849214	17.120817	22.259070	25.584054	34.196901	39.493499	39.446036	42.887566	41.041845	41.212525	42.934269	44.256454	45.849230	38
3aru_239	29.498199	24.646744	13.219202	16.351456	35.804707	42.439366	47.221883	51.882713	58.626276	61.287847	60.333006	48.442311	15.820198	8.637185	2.414985	7.614008	23.861120	31.881338	42.029293	55.098256	70.971550	85.387409	94.498000	107.601679	27.909531	32.364606	31.171839	29.187118	23.129637	10.511173	0.441916	-11.725210	-24.220859	-41.607383	-64.934674	-89.367427	3.721876	1.482970	3.290401	8.779434	13.693532	15.016127	16.476869	18.277857	22.545216	25.028114	24.887278	26.871518	-105.089732	-283.254045	-556.869816	-860.488014	-1307.666630	-1844.659290	-2535.714800	-3388.702981	-4426.142986	-5787.380775	-7384.359071	-9214.004685	33.469922	27.704684	20.938787	25.651371	41.710835	49.102313	57.079327	66.877954	79.203676	88.545590	91.636751	98.317349	-106.206235	-280.781958	-567.670150	-911.401305	-1437.540058	-2047.648376	-2826.006877	-3765.256927	-4879.931380	-6310.603727	-7957.475231	-9833.764390	24.205566	25.095676	26.681460	32.328529	37.170219	38.466616	40.398928	42.740808	47.420353	49.926777	49.886516	52.036096	38
3aru_240	-2.397828	5.123728	0.152993	2.087767	16.441598	27.765563	32.089683	36.785508	36.992339	37.404132	44.292937	34.187556	-9.166010	2.445207	2.852782	7.794492	18.437758	28.552991	37.667713	50.512065	58.952190	69.787086	85.198502	98.809421	-1.414107	9.117850	7.449614	2.560801	-4.132074	-12.495478	-24.474399	-36.062044	-51.446029	-68.418858	-84.159593	-108.357204	-14.114569	-4.039529	-2.736072	-0.293450	0.468167	2.145745	1.001886	2.528842	2.436120	2.522434	6.478227	8.118604	-99.591956	-238.402564	-458.199249	-722.343773	-1099.795247	-1586.092287	-2205.044440	-2951.212619	-3902.558976	-5073.065818	-6488.073038	-8248.555530	-0.353770	10.872216	10.694792	14.953329	25.352178	34.711723	41.670324	51.643650	56.665410	63.240970	73.201984	80.150369	-98.407806	-240.333019	-477.767281	-778.351987	-1223.191811	-1784.022097	-2482.691711	-3303.687850	-4324.443067	-5551.884405	-7015.058262	-8827.914344	-3.361679	7.897293	8.976817	11.359932	12.020078	13.656064	12.727327	14.713793	14.821721	15.013355	18.965961	20.306003	38
