name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3b68_121	-15.531882	-34.713442	-53.547064	-51.748530	-26.184333	-14.105606	-13.887148	-21.145180	-27.850952	-41.041311	-44.650703	-50.988863	-7.632459	-13.144243	-9.890056	6.907636	39.328928	72.190655	108.029922	137.806252	176.171061	200.864571	221.194434	248.785337	-11.095865	-12.503259	-6.352503	3.506198	19.042155	30.829418	41.463509	46.567151	55.567159	62.201546	58.736923	64.403863	-12.925995	-16.747432	-10.547536	-0.085630	16.498736	28.116983	37.160220	39.624948	46.322501	51.484310	49.262727	50.590399	-207.149153	-564.079859	-1029.346737	-1627.768588	-2453.640571	-3575.959552	-5025.809799	-6811.511869	-8942.792989	-11460.497009	-14168.323832	-17053.301396	-6.291110	-11.682488	-4.510199	19.026579	63.040339	108.442121	154.191311	192.902529	240.083883	271.865942	297.229195	329.241753	-206.168895	-571.725324	-1080.508852	-1776.480256	-2756.602057	-4074.707725	-5734.110659	-7719.371577	-10031.554009	-12673.127537	-15458.391199	-18409.097903	-10.697293	-14.363309	-8.206519	1.412046	17.102574	28.183743	36.841587	38.990552	45.450157	50.712319	49.125642	51.264263	49
3b68_126	-3.617881	-24.418702	-51.408927	-51.077156	-28.846974	-25.737981	-26.866710	-35.779884	-49.564733	-61.490195	-58.849595	-62.545616	4.011926	-1.213293	-4.292196	12.367136	41.235929	66.087776	100.922881	132.155437	165.291482	191.033461	218.478513	248.557170	-0.289663	-5.200522	-5.670046	4.319802	16.409028	21.230037	30.075462	31.914633	34.462735	41.517321	44.876902	54.740968	-1.457845	-6.326894	-5.550257	6.191506	19.396832	24.566001	32.087774	33.769258	34.547868	40.112913	44.095900	49.244996	-180.170819	-526.644752	-1013.824448	-1610.266678	-2421.302568	-3567.655089	-5027.204311	-6847.058725	-9037.296620	-11550.626504	-14325.880715	-17226.181925	4.137127	-1.162685	-0.322748	23.240027	63.259153	101.356156	146.221504	186.792491	229.115158	261.852353	294.591741	329.086962	-180.248632	-535.516001	-1066.439865	-1759.949932	-2722.355268	-4067.755870	-5736.966892	-7764.649772	-10142.141620	-12776.842595	-15634.445235	-18597.904403	-0.509696	-5.404228	-4.578412	6.505279	18.603302	23.692508	30.883217	32.334361	32.881068	38.579198	43.151992	49.138145	49
3b68_192	-2.139849	-12.305431	-41.740772	-43.064830	-22.512261	-10.053476	-9.583196	-23.778186	-28.737725	-40.575228	-38.303954	-45.677572	-0.821634	2.036973	-2.735403	12.396207	40.547155	74.396612	111.555238	136.745025	177.088161	201.913654	227.890984	253.576076	3.079870	7.176929	3.343518	13.253643	23.705025	35.712658	44.049271	44.297209	53.808362	60.519653	62.592820	69.386653	-4.628223	-2.965178	-4.575568	6.415136	18.630033	31.441932	39.358622	39.734778	46.818272	52.144527	54.642998	56.339436	-169.158339	-502.773153	-990.936814	-1612.041820	-2447.538759	-3572.522175	-5028.518705	-6820.183171	-8966.848655	-11427.154060	-14122.492314	-16991.956371	0.215959	3.021139	2.216022	24.851235	64.473225	110.836895	157.993595	192.113445	241.343964	272.873691	303.870181	333.931630	-165.890988	-512.796606	-1045.639010	-1768.436708	-2757.046829	-4076.358246	-5744.964819	-7734.483792	-10062.700282	-12638.472728	-15411.723836	-18343.603144	-2.839242	-1.113147	-2.605886	8.168103	19.357130	31.594712	39.162564	39.222363	46.039619	51.490629	54.630172	57.143163	49
3b68_228	16.624372	5.208032	-21.010510	-24.855697	-9.012608	0.272918	-5.816266	-9.677476	-17.721607	-29.089718	-22.259764	-27.184491	15.287133	10.551360	5.740902	16.281885	38.055431	66.840552	95.662860	129.522474	166.069904	191.175469	224.924087	252.833968	19.669243	29.591393	26.784983	34.956656	39.827489	46.302294	52.419249	57.521640	65.953624	73.069253	79.007722	87.391916	6.080121	7.008474	3.405198	10.941040	17.356865	23.424525	27.800693	31.021130	37.076631	43.138585	49.992011	53.485421	-198.193095	-541.964350	-1019.187593	-1647.647475	-2474.643591	-3576.709724	-5015.099771	-6802.145010	-8917.528077	-11359.859754	-14202.815988	-17055.783021	18.592350	14.245433	13.400463	31.330672	63.337228	103.827323	142.360999	185.291154	230.517290	262.301573	301.775497	333.992557	-197.782791	-545.742089	-1068.921510	-1798.972741	-2771.018258	-4065.086796	-5710.651503	-7703.941320	-9997.366711	-12555.523410	-15495.869476	-18410.216129	10.365720	11.654263	7.952963	14.983235	19.323362	24.337955	28.273559	31.216125	37.006382	43.208743	50.496361	54.849314	49
3b68_269	-3.233600	-18.626263	-33.852050	-33.527588	-13.211196	0.563328	-6.141970	-16.363336	-21.946201	-36.516880	-40.102248	-45.751702	0.749963	4.541896	11.594003	27.739754	55.519464	89.046478	120.754660	148.080609	187.063760	210.349738	232.952891	263.369469	0.438036	1.401530	10.591065	22.810008	32.128624	44.757552	51.335021	51.505823	61.911768	67.485769	68.094228	75.247567	-4.054693	-0.699239	9.434577	21.669001	33.400367	45.719256	52.250471	50.864386	58.686293	62.967097	65.216651	68.733849	-162.214922	-532.075911	-989.778965	-1600.979616	-2425.930010	-3521.886790	-5015.703533	-6788.310096	-8910.333186	-11421.138259	-14211.841825	-17172.174654	2.640770	6.200531	16.774440	40.717326	79.355778	124.841980	167.410940	203.455381	251.140050	281.483028	309.497476	344.582058	-161.297037	-545.135766	-1043.613357	-1758.565099	-2731.910281	-4015.020116	-5727.547095	-7697.280640	-9997.205873	-12630.132198	-15503.639808	-18535.259456	-1.433967	1.873378	11.639616	23.932081	34.220508	45.809774	52.326374	50.583567	58.123344	62.513022	65.298904	69.544570	49
3b68_291	-2.282771	-12.239595	-37.135298	-36.122841	-20.911587	-14.003379	-12.930854	-19.560689	-27.940107	-37.687382	-28.522157	-36.957795	2.494731	6.829162	2.259782	18.445361	39.867491	66.986240	104.465100	135.560312	174.324602	202.938654	236.651403	263.798862	2.073635	8.503299	7.609058	19.111779	22.712698	32.630048	43.525292	48.966756	58.552901	67.508248	77.739999	81.544174	-3.297920	0.935694	-0.446726	11.778824	16.080945	25.449652	35.315091	38.437386	47.281016	54.683449	65.346496	65.311326	-193.235313	-542.857846	-1013.159524	-1604.618719	-2430.547462	-3545.279462	-4996.874028	-6793.813510	-8947.018947	-11487.825231	-14262.161531	-17216.968895	4.649861	9.382072	8.076644	31.030895	63.714487	103.103063	150.703039	190.963525	238.782041	274.626845	313.662085	345.416530	-192.270985	-554.926847	-1064.423753	-1752.168352	-2731.735528	-4037.874826	-5700.915118	-7701.458475	-10036.905258	-12705.281737	-15563.014518	-18587.889620	-0.262594	4.431935	2.356673	13.805241	17.044714	25.750128	35.343195	38.205483	46.849925	54.337885	65.549030	66.272113	49
3b68_304	-21.188454	-39.782448	-65.143417	-66.556150	-46.344113	-40.923001	-44.356060	-54.394593	-64.806710	-71.882198	-69.178214	-75.748426	-11.342481	-12.939662	-14.093448	1.309644	28.943500	55.114025	87.861304	117.392491	152.468609	183.604973	211.473318	239.598033	-17.103992	-20.512695	-20.342571	-10.151448	-1.414059	5.432949	12.962932	16.107033	20.919208	30.631734	33.605565	38.827534	-15.203427	-17.412011	-15.667320	-3.479957	6.873212	13.679329	19.997770	22.420114	25.291173	33.901883	37.893017	39.152700	-190.890673	-538.505848	-1022.402756	-1626.374652	-2445.254525	-3573.288148	-5037.056817	-6851.338953	-8988.198917	-11501.027724	-14260.786232	-17167.001646	-11.551032	-13.413989	-10.587404	11.881143	50.806270	89.596053	132.541826	171.366692	215.223148	253.447177	286.588229	319.172035	-190.240043	-548.436949	-1077.688395	-1778.592903	-2750.069080	-4071.581371	-5745.586247	-7764.320222	-10081.020431	-12719.575292	-15562.222151	-18534.830822	-14.639122	-17.020570	-15.146191	-3.480005	5.836137	12.199378	18.283187	20.465702	23.078138	31.811301	36.384214	38.446268	49
3b68_405	43.939273	36.380057	22.270800	27.598321	39.814233	44.885917	37.969608	28.813806	15.443513	2.248033	7.085198	3.478731	30.069579	25.664669	32.129145	52.082921	70.634431	95.564965	127.209398	158.186957	194.313293	219.780376	250.241843	283.284540	50.003299	59.220633	67.166587	80.569354	84.389312	91.620956	96.812905	99.868168	104.572110	110.361925	116.156118	125.538079	20.848928	19.596910	27.239753	41.555047	47.400525	54.865297	61.025408	63.552262	68.149118	73.146348	79.612998	85.537899	-155.558141	-470.718631	-924.991641	-1507.426063	-2307.209821	-3399.363047	-4885.672000	-6722.439709	-8961.304437	-11498.939339	-14309.794449	-17301.965580	39.530076	35.482542	45.812610	72.470341	101.425813	138.444514	180.978834	221.593336	267.418563	299.948178	335.822330	373.572092	-148.086140	-467.830163	-966.678225	-1647.092653	-2591.209288	-3872.295068	-5582.358134	-7631.990396	-10064.920540	-12725.308788	-15622.526829	-18685.570206	31.304119	30.322477	37.909755	51.408209	55.690897	62.562416	68.723963	71.091457	75.538943	80.637378	87.647594	94.322575	49
3b68_410	111.628904	115.037580	86.936325	82.423225	99.472064	98.703223	92.671988	85.926293	72.523961	59.295389	62.850296	57.092615	88.317384	99.731345	93.631229	101.602827	124.263113	141.412409	174.504625	207.736538	242.308468	269.504412	300.251325	331.084428	121.036594	139.641705	135.676283	140.459518	144.672881	144.957287	151.399605	153.824870	159.796997	168.183037	173.341094	181.598457	82.585535	94.206273	90.484963	94.896304	100.841073	100.954286	108.254248	110.820591	115.528638	123.235497	128.013477	131.983721	-87.854030	-426.408289	-920.452788	-1509.945808	-2304.826409	-3357.684178	-4850.109642	-6655.527926	-8875.082036	-11482.904592	-14431.805823	-17479.152902	93.813349	105.031412	102.638836	116.952857	149.537952	177.272374	221.788940	264.385419	308.573822	343.319835	380.062312	415.731430	-77.271163	-425.064336	-963.209686	-1645.823025	-2586.249373	-3813.673925	-5537.820263	-7555.079284	-9966.835586	-12706.519932	-15756.242325	-18876.527332	88.983165	100.449672	96.358568	99.525629	103.432102	102.128676	109.706991	112.073252	116.631850	124.390090	129.554664	134.261614	49
3b68_418	66.424186	63.765089	56.102230	53.410191	71.040416	74.442740	62.659503	52.591656	37.569014	29.853724	29.997596	18.425130	44.478828	44.624253	57.632430	70.233276	93.908964	119.060282	146.016792	173.459919	204.287623	232.169901	256.383745	276.017390	76.581521	86.722231	100.000347	105.287288	111.694889	117.614452	119.455626	120.090711	128.069012	139.882116	144.319244	150.778451	35.452606	37.197478	52.221755	58.844998	65.721161	72.775163	75.559758	74.862779	80.609830	90.839858	95.925204	97.521255	-135.452409	-434.680373	-854.108035	-1449.898472	-2282.811117	-3428.433740	-4937.137659	-6719.102191	-8890.996926	-11318.420946	-14028.899319	-16794.314137	53.918057	54.500518	71.769762	91.928557	127.325604	165.700144	203.409726	239.519450	279.390291	313.752258	343.038517	366.654121	-125.159542	-431.439966	-895.519021	-1594.875808	-2583.911079	-3929.492142	-5656.474430	-7634.852756	-9983.927417	-12520.442688	-15305.379507	-18119.050896	45.879372	47.954184	63.443958	70.080599	76.279500	83.238886	85.924575	84.836709	90.355788	100.739196	106.454239	108.998798	49
