name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3bgz_115	35.412824	28.031155	28.142840	31.383180	24.786620	17.712726	12.200644	9.346491	6.405885	2.351982	4.218972	10.593590	35.228218	31.844283	38.669308	50.713665	50.365917	53.974823	62.963540	73.783924	80.980500	81.601958	82.320217	81.792336	40.546305	40.863797	44.581869	46.779003	40.303982	36.655909	35.251966	34.044375	34.110491	36.257605	41.796514	51.591649	36.100587	34.216329	38.276654	40.361707	33.846510	30.520168	27.607441	23.458302	18.096455	11.501283	6.345756	2.615057	-66.184188	-237.121631	-496.096589	-897.243975	-1516.531921	-2321.250828	-3254.873495	-4279.924147	-5296.293809	-6186.969045	-6881.914561	-7358.858208	39.671683	36.113127	43.938475	58.535232	63.023071	70.414638	81.005894	92.802096	100.639605	101.360982	102.071890	101.508817	-57.960175	-231.562004	-520.819851	-1003.752455	-1732.218899	-2655.072587	-3698.841729	-4817.667380	-5887.713067	-6779.325256	-7443.096126	-7878.513657	41.503751	40.218085	44.593461	47.600608	41.837894	38.545059	35.532996	31.388206	26.025344	20.231030	16.458381	14.034347	38
3bgz_138	20.339069	17.579721	16.443686	16.341397	12.831877	6.966782	1.827730	-3.008669	-6.175648	-10.699361	-9.914442	-5.874380	24.411839	27.816339	35.332812	44.185736	47.201878	52.480483	62.671333	71.264267	79.104866	78.376556	76.798957	73.871960	25.656573	29.836861	31.941062	30.513760	26.002346	21.926334	20.219691	18.485022	18.182758	20.127167	25.210931	34.275698	26.432123	30.537583	34.591010	34.174449	29.086750	25.335266	22.419742	17.583650	12.141008	4.822346	-1.328254	-5.824164	-66.614799	-232.374795	-506.176708	-886.604055	-1514.023704	-2335.383162	-3293.331516	-4316.587974	-5362.427139	-6232.059263	-6886.423777	-7362.000797	29.641771	32.651266	41.045325	51.837103	60.169381	69.528190	81.443921	90.970919	99.513056	98.839584	97.251652	94.289702	-58.567569	-229.928811	-535.708035	-986.581749	-1731.875985	-2678.536634	-3751.615215	-4863.953802	-5967.347087	-6833.040538	-7450.364006	-7882.453753	32.525783	37.067252	41.359115	41.269857	37.426149	33.920825	30.944943	26.113485	20.669051	14.178092	9.484178	6.299341	38
3bgz_166	3.369892	-4.288018	-12.518853	-13.560440	-14.137182	-19.353174	-22.626583	-28.696898	-32.135054	-37.218009	-37.252199	-34.470401	-0.053102	0.977494	0.022259	7.001226	12.484257	18.839887	30.310629	38.406378	44.633788	43.802273	41.779133	37.966921	7.853977	5.622359	0.431782	-1.708569	-4.582740	-7.977187	-9.569680	-12.112308	-12.793737	-11.487352	-7.221703	0.817240	0.301952	-0.081093	-4.276900	-6.038227	-9.944402	-12.682620	-15.690285	-21.078814	-27.498431	-35.173963	-42.004578	-47.407595	-100.949620	-296.763322	-572.999207	-940.320242	-1558.547637	-2387.667932	-3331.458037	-4383.111100	-5393.520347	-6277.745409	-6948.182744	-7442.325642	1.670121	1.735897	1.393528	10.223569	21.243701	31.634990	44.702815	53.822890	60.647857	59.897633	57.866039	54.018998	-96.187810	-298.740513	-602.901855	-1038.959726	-1778.521452	-2736.165907	-3792.794464	-4939.254138	-6000.911774	-6883.284315	-7518.428754	-7970.058019	2.902613	2.517099	-1.838112	-3.369662	-5.815573	-8.396890	-11.525002	-16.908232	-23.330774	-30.182827	-35.578567	-39.686181	38
3bgz_289	-1.585559	-12.505420	-20.168094	-20.369643	-20.252031	-23.372051	-29.908647	-35.149885	-39.367993	-43.321275	-43.113436	-40.560978	1.962674	-0.622493	-0.161212	7.985183	14.416150	22.909427	31.227170	39.576921	45.427427	45.774473	43.578017	39.285897	2.379480	-2.201636	-7.260970	-8.500771	-11.340105	-13.783997	-16.378766	-18.697368	-19.410319	-17.436107	-13.018166	-5.011891	2.170941	-0.906504	-4.077984	-5.147285	-8.935271	-10.658497	-14.696762	-20.169104	-26.457621	-33.496214	-40.398210	-45.949437	-109.180003	-306.251029	-581.799680	-962.370544	-1590.311261	-2420.812512	-3374.617822	-4412.013056	-5435.294266	-6321.688617	-6982.267647	-7468.273753	1.845356	-1.381739	-0.630651	9.578732	21.629791	34.095413	44.033268	53.357417	59.838884	60.271210	58.062925	53.734358	-106.005662	-308.023749	-610.224895	-1063.663364	-1816.050552	-2774.846174	-3839.522806	-4968.256989	-6044.424576	-6929.767566	-7553.340286	-7996.010768	2.985901	0.158771	-3.495807	-4.114599	-6.420048	-8.058625	-12.204627	-17.662615	-23.948801	-30.157232	-35.599684	-39.842467	38
3bgz_303	10.066431	0.055193	-5.459784	-7.267174	-6.087816	-12.338079	-19.548485	-24.962607	-29.169352	-33.504275	-34.306293	-33.043643	7.692069	4.048600	7.560695	14.420170	22.056524	27.184158	35.526701	42.791906	49.298944	49.173640	46.909096	41.709958	13.045762	8.383630	5.495778	2.559243	0.398286	-4.347768	-7.445780	-9.647134	-10.715092	-9.465650	-5.710611	2.012930	6.993189	2.777586	2.223642	0.250004	-2.782750	-6.915970	-11.056775	-16.664950	-22.856762	-30.568406	-37.634990	-43.241424	-79.692737	-254.789842	-535.484876	-909.454171	-1528.519018	-2349.673687	-3313.374436	-4315.605371	-5345.345445	-6221.444764	-6905.600075	-7401.306545	9.866189	5.614369	9.734925	18.394080	31.655663	40.778767	50.883111	59.029019	66.195033	66.138566	63.875087	58.641537	-76.041760	-257.230318	-569.842602	-1011.836442	-1755.823404	-2701.911590	-3780.161298	-4866.262724	-5951.465975	-6826.201891	-7476.376269	-7928.577556	9.962488	5.984660	5.437560	3.679946	2.215909	-1.745139	-5.929829	-11.522584	-17.730246	-24.634286	-30.291056	-34.609005	38
3bgz_37	-8.048010	-23.653472	-28.898306	-32.342792	-30.585433	-35.507060	-40.245864	-46.618906	-51.051567	-54.166567	-54.568144	-51.067739	-6.980125	-10.345486	-7.428138	-2.789131	5.188316	11.495333	22.388188	29.941304	35.362513	35.357926	32.928551	29.406946	-4.674022	-12.821348	-15.847483	-19.428762	-21.258793	-24.482037	-26.430977	-29.146304	-30.053369	-27.518840	-23.534594	-15.303126	-6.891624	-10.204502	-11.812883	-15.330720	-17.557946	-20.553052	-23.674423	-29.464182	-36.096750	-43.184497	-50.381647	-55.815722	-103.668169	-321.407385	-605.460521	-993.986224	-1605.848359	-2439.222988	-3412.370716	-4465.141407	-5487.886608	-6340.152981	-7014.775362	-7495.876022	-6.486523	-11.201566	-7.404004	-0.767438	12.269386	22.729832	35.375214	43.921694	49.924682	49.973095	47.540411	43.983040	-100.307935	-324.044352	-640.330930	-1099.338435	-1827.283958	-2790.247266	-3881.499587	-5026.238521	-6099.751326	-6946.328306	-7585.124195	-8023.135130	-5.589133	-9.182625	-10.675507	-13.884608	-15.150182	-17.892862	-21.085858	-26.867948	-33.521553	-39.731672	-45.480443	-49.595887	38
3bgz_401	89.497451	80.494897	78.743526	80.745639	76.694108	73.742525	67.511005	61.433401	57.189038	53.466470	53.512565	57.693854	76.462161	71.829816	75.891980	85.310958	86.428527	93.277124	101.258877	105.929068	110.990081	112.398670	111.527624	109.597184	96.841596	94.849336	95.122349	92.805559	86.433524	84.118174	82.451928	81.164128	81.007983	83.282595	87.845851	96.638802	76.197714	70.876461	70.398183	68.097993	61.847511	59.408790	55.853435	50.369418	44.638914	38.609055	32.745025	28.465410	-55.277544	-281.777494	-574.318401	-963.893795	-1545.709875	-2322.692516	-3261.641433	-4208.418690	-5188.598957	-6084.198677	-6781.102678	-7283.928660	89.961774	85.334681	90.205420	101.108546	106.169648	116.556085	126.249095	131.654360	137.307050	138.838564	137.963900	136.001743	-38.732710	-270.094336	-592.016178	-1051.786153	-1736.587699	-2637.454326	-3695.984849	-4720.907001	-5754.543967	-6656.572076	-7324.481525	-7789.051518	91.150585	86.801297	85.991851	83.275850	76.877659	74.275779	70.675644	65.200823	59.465557	54.198625	49.679397	46.654491	38
3bgz_415	29.632909	28.165043	24.144346	23.521879	23.102601	16.775660	10.245683	5.034478	2.314216	-1.132479	-4.630713	-4.626327	25.503359	31.197458	34.772701	41.954407	47.619955	52.224501	60.970419	68.631033	76.350110	77.212346	72.831527	67.425348	33.359508	35.787148	34.294349	31.235486	27.057942	22.947329	19.935550	18.077838	17.375214	18.581590	21.259234	28.032534	25.689903	29.496954	29.098894	26.321330	21.780764	17.793689	13.929497	8.983234	3.232079	-4.213098	-11.877514	-17.776261	-43.592384	-207.078695	-473.926684	-838.096339	-1423.567909	-2230.005257	-3164.014268	-4154.267698	-5160.164804	-6020.175872	-6711.703283	-7231.702369	30.200523	35.078210	39.571305	48.721802	59.258078	68.129202	78.557881	87.123132	95.497523	96.432624	92.049578	86.615385	-37.211404	-208.589750	-507.647070	-940.269803	-1637.536268	-2571.318168	-3617.443902	-4692.673637	-5753.476175	-6614.148994	-7272.670552	-7752.752558	31.099986	34.957939	34.905378	32.558929	29.054458	25.566817	21.622930	16.680795	10.919152	4.251685	-2.070341	-6.741649	38
3bgz_418	101.987858	104.026431	100.799100	102.530632	97.820526	93.673457	90.204561	85.113269	79.838548	77.190930	77.607738	81.583067	83.309169	88.919055	90.684684	99.159975	99.367109	103.717144	112.491598	119.779869	124.628145	127.794118	129.080735	129.183210	110.442460	117.782682	117.271012	117.716745	112.461113	110.647383	110.922968	110.097886	109.752121	112.365841	117.569183	125.976890	84.612348	89.284973	88.384268	87.997713	82.302182	80.273027	78.624433	75.030481	70.077628	65.265294	61.314421	58.055505	-6.804471	-191.523995	-443.698495	-804.229586	-1370.972477	-2076.741742	-2907.588695	-3846.593966	-4809.959243	-5684.593353	-6405.413352	-6956.182014	97.487652	102.785489	104.858896	115.349078	119.765674	127.131556	137.285221	145.493683	151.008361	154.300664	155.587134	155.671222	9.229818	-180.649542	-454.747983	-887.118033	-1554.653338	-2364.451286	-3296.605756	-4323.517054	-5341.254939	-6225.620097	-6924.470562	-7444.201845	99.942469	105.174410	103.625998	103.629223	98.316229	95.980893	94.217940	90.630084	85.668443	81.518024	78.752201	76.622398	38
3bgz_422	55.437346	49.373586	45.366521	43.749011	39.617258	32.760738	26.262194	21.558410	18.118572	13.818238	12.960925	15.133678	42.577904	45.050970	47.992612	51.500709	51.968102	52.988064	59.636185	67.505899	74.151664	75.796491	77.662562	78.985262	59.296271	58.570052	56.354820	52.953748	47.886101	44.467731	43.452688	42.946359	42.989810	44.526912	48.583897	55.631354	41.648389	42.695191	41.294665	37.566384	32.293835	28.578133	26.662660	24.054331	20.081719	14.862422	11.029801	8.103623	-27.673560	-229.553221	-501.769610	-808.411510	-1301.101983	-1950.365007	-2761.153547	-3664.161338	-4581.085238	-5419.776355	-6169.749385	-6799.683097	50.633423	51.773010	55.396423	59.974863	64.208906	68.207732	76.445951	85.259495	92.559871	94.332187	96.205098	97.518853	-19.013559	-229.939912	-530.586956	-885.745003	-1469.762096	-2214.949531	-3129.111757	-4117.313066	-5088.120683	-5935.870257	-6671.366720	-7279.576830	50.485377	51.310457	49.777922	45.543446	40.634778	36.858661	34.948300	32.341648	28.354599	23.740810	20.932147	18.972059	38
