name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3cj4_115	0.486409	-13.973581	-31.880910	-38.514510	-28.157250	-19.589968	-16.642335	-18.160068	-8.902671	-7.721510	-3.090732	1.438410	4.584053	2.152996	-3.075442	-2.549641	8.523052	22.600388	35.516225	45.219582	61.863054	74.372088	84.244505	102.975431	0.166029	-8.125814	-11.610302	-11.956493	-9.747884	-4.812238	-2.548648	-4.042669	3.591463	6.638315	6.540918	16.974651	2.513517	-1.081760	-2.951317	-3.292314	-0.189791	4.434493	6.919943	6.107802	14.449219	18.403425	19.200173	27.496195	-45.837584	-221.615570	-443.640174	-736.300498	-1122.871311	-1661.290546	-2373.402248	-3308.567208	-4442.741200	-5729.769508	-7169.384367	-8709.658120	3.368734	-1.830251	-5.932522	-3.834796	10.360284	27.599828	41.479685	51.258505	68.007457	79.740954	87.987917	105.026549	-47.095313	-231.101511	-470.721501	-808.438597	-1263.394375	-1891.346442	-2698.035857	-3732.868754	-4953.215389	-6297.434645	-7775.109693	-9345.950208	2.056892	-2.619624	-4.298578	-4.494957	-1.599654	3.126564	5.572006	4.701822	13.066502	17.299355	18.655626	27.709786	47
3cj4_125	3.282455	5.528870	-14.302157	-15.005755	-2.300894	2.794557	9.065453	13.699636	18.605972	21.531582	33.789919	31.580299	7.255872	15.253739	8.255884	14.083066	27.441679	39.319128	55.907794	71.462379	83.297548	97.339416	115.471847	127.828588	4.588678	14.523845	11.006062	13.770990	16.153469	17.556357	22.666627	27.307346	29.614967	35.394580	42.069239	46.112613	4.183957	11.651419	8.734290	11.334825	14.257126	16.315454	21.181790	25.720282	28.874924	35.484216	43.843588	45.667064	-96.781360	-267.029401	-515.773084	-814.008696	-1248.913919	-1845.766358	-2620.878878	-3621.129993	-4767.421386	-6093.990446	-7584.397136	-9175.384956	8.375698	15.508994	9.473917	16.650016	33.872590	49.169751	66.828057	82.470144	94.384923	107.650803	124.117826	134.794670	-96.469293	-271.256300	-537.754638	-882.311665	-1401.166885	-2095.647669	-2975.909102	-4082.907714	-5310.905754	-6692.665323	-8221.770160	-9842.290583	6.899656	14.909060	11.723598	13.993192	17.017633	19.110759	23.988627	28.546378	31.880099	38.906982	47.946740	50.696362	47
3cj4_128	7.104576	2.011412	-20.374329	-30.628839	-21.043950	-11.662160	-8.195049	-7.292886	-0.757135	1.745814	7.189010	11.034928	9.817357	9.900708	1.422754	-0.655098	9.697084	24.971462	39.744926	51.505762	65.230227	78.855901	89.504855	107.645370	9.170975	11.344509	3.631054	-1.171046	-1.299236	5.535082	6.788206	8.512836	13.484443	16.146954	17.375368	27.224834	7.833492	7.827556	1.377459	-1.571428	-0.539049	6.369322	8.783411	10.784586	16.576485	19.267510	21.208220	28.829725	-78.497549	-236.426847	-490.626645	-802.787470	-1209.263515	-1775.530067	-2540.854675	-3506.377194	-4656.761138	-6014.052228	-7505.703536	-9064.653206	11.699225	11.371602	4.277329	3.403117	16.940882	35.473577	51.223847	63.069833	76.860711	89.627000	98.609859	115.094313	-77.127924	-240.548749	-517.107699	-870.768064	-1350.819937	-2011.183961	-2883.101883	-3949.088431	-5183.823664	-6605.345555	-8134.646167	-9722.397071	11.128100	12.056298	5.970167	2.576379	3.217607	10.139908	12.423147	14.459057	20.328822	23.250061	25.828064	34.367523	47
3cj4_137	17.705790	14.981952	-0.928399	-5.727431	5.363529	16.206569	17.149822	20.645331	33.550917	33.956440	40.931675	37.509375	20.590817	26.140967	21.869747	25.459480	37.192175	54.575801	66.402354	79.837106	100.034125	111.441359	122.782500	134.225287	12.892838	17.581393	21.640626	21.674561	21.943484	29.159689	29.691258	33.612665	41.252109	41.308337	41.475897	45.529478	11.560456	15.448215	18.444790	20.019565	21.435033	28.868855	29.692074	32.820204	41.552537	41.928254	42.390568	43.705477	-75.581923	-272.627868	-524.053527	-846.626716	-1277.200815	-1880.457404	-2680.325102	-3660.567073	-4839.270690	-6198.697106	-7685.528760	-9353.797397	22.165687	26.262446	23.571974	28.322252	43.423574	64.310593	77.198621	90.707788	110.976318	121.569625	131.301563	140.907780	-81.361399	-286.724668	-554.095077	-921.637834	-1430.942763	-2136.288482	-3043.647487	-4123.527148	-5391.781397	-6812.112144	-8335.940213	-10037.592808	14.652714	18.857376	22.025085	22.978260	23.941824	31.409102	32.196398	35.448920	44.294093	45.055319	46.313772	48.416574	47
3cj4_140	-4.657970	-12.205951	-38.861774	-40.781800	-34.726254	-26.386489	-24.927623	-21.534108	-14.643413	-11.720918	-7.049060	-10.202004	-2.787510	-1.870393	-15.273678	-9.810538	-3.168754	11.995250	24.178090	38.552390	51.930492	65.840757	76.040354	87.710276	-3.064351	-2.115149	-12.095860	-11.527455	-15.333736	-11.782116	-11.424975	-9.340267	-4.777527	0.991737	-0.659329	2.986905	-5.531293	-5.066127	-14.735642	-13.938529	-16.411858	-12.511053	-11.893317	-10.011704	-5.095166	0.803516	0.264927	1.646140	-97.096597	-296.967647	-564.040463	-883.551111	-1327.194182	-1943.032244	-2742.407234	-3760.758631	-4924.377916	-6300.514397	-7833.839052	-9453.129898	-0.744232	-1.640505	-13.656038	-6.543253	3.431220	22.039877	35.240859	49.695134	63.164623	76.227128	84.730095	94.703774	-96.195208	-301.845143	-589.162784	-961.289518	-1482.178380	-2203.116964	-3107.930201	-4234.084831	-5480.375562	-6915.413641	-8488.555856	-10136.956034	-1.970628	-1.630072	-11.232569	-10.573389	-13.595859	-9.774297	-9.200106	-7.265439	-2.135873	4.117481	4.293932	6.655424	47
3cj4_157	-3.889568	-10.325755	-27.362981	-37.084538	-27.687950	-24.117917	-23.412014	-17.415364	-16.367016	-18.125611	-11.714161	-11.973082	-3.345876	-2.563790	-7.142347	-8.907390	0.929157	9.540751	20.537522	37.098439	45.141434	53.961792	65.490299	78.767672	-2.435751	-2.153084	-9.556680	-13.091184	-12.782822	-11.088110	-11.453914	-7.533938	-7.116957	-6.186497	-4.345744	1.075494	-4.665331	-3.209534	-8.428766	-10.877839	-10.165778	-9.225684	-8.788466	-5.111454	-3.889600	-3.056638	-0.952362	2.062175	-60.110792	-194.726853	-399.636055	-678.214678	-1044.640063	-1580.309484	-2292.167098	-3238.635496	-4340.862967	-5635.431952	-7083.753589	-8581.110367	-1.898141	-2.391613	-5.764527	-6.093747	6.689292	18.667679	30.715516	47.360540	55.491320	63.501990	73.345642	85.015226	-59.295930	-198.005226	-423.614877	-745.667622	-1178.624047	-1803.685884	-2612.398560	-3665.319117	-4847.041916	-6199.857509	-7687.751222	-9212.798402	-2.275770	-0.890854	-5.670014	-7.987050	-7.453988	-6.153572	-5.727829	-2.201925	-0.925567	0.100111	2.658273	6.497657	47
3cj4_164	-3.490393	-6.445833	-26.947347	-31.136325	-25.970140	-21.338931	-16.389811	-13.744131	-9.910688	-13.930778	-1.941440	-3.693096	0.469143	5.727717	-1.392677	0.992399	6.674538	16.878395	32.421397	46.185518	57.067124	64.092090	81.835026	93.878873	-2.868964	2.101388	-2.380303	-2.307690	-7.741184	-6.166310	-3.141429	-0.942069	1.028873	-0.679965	5.908556	10.902699	-3.018264	1.573616	-2.075581	-2.016903	-6.319581	-5.414265	-2.758732	-0.364189	2.203850	0.825356	8.912957	11.229609	-94.247306	-280.445221	-532.146789	-836.671853	-1266.198187	-1860.061884	-2657.902469	-3651.962147	-4837.692824	-6198.059013	-7717.800736	-9278.276003	1.566504	5.203194	-0.765316	3.039171	12.045975	25.744234	42.407761	56.256828	67.209262	73.393347	89.428554	99.890093	-94.719420	-285.756146	-556.629950	-906.568968	-1413.272075	-2105.185484	-3015.670654	-4114.801663	-5386.571900	-6804.810906	-8363.455206	-9949.433082	-0.429677	4.078650	0.348832	0.122144	-4.556601	-3.522796	-0.916840	1.525453	4.196722	3.164862	11.909080	15.291227	47
3cj4_166	-4.723510	-8.081929	-23.782928	-29.861172	-21.252856	-16.800925	-9.924563	-7.190969	2.316500	0.408628	7.867353	7.040819	1.088905	5.775699	2.812896	3.595708	12.654115	23.271869	40.704402	54.119502	70.379704	78.888084	91.666680	104.312136	-4.605378	-1.428048	-2.387939	-4.318103	-4.808857	-3.559935	1.731483	3.396174	11.369298	12.006098	14.466273	20.594613	-2.058445	1.501799	1.248432	0.076423	0.200096	1.530174	7.654532	9.436475	18.047035	18.207268	21.444088	24.841397	-85.394170	-249.888907	-484.604575	-774.484364	-1175.123578	-1747.148489	-2487.805711	-3443.211439	-4561.349527	-5891.982320	-7351.450959	-8882.366062	0.591707	4.009954	2.385761	4.649531	16.886492	30.985044	49.329969	62.823123	79.159153	86.869540	98.023266	109.058156	-86.183646	-256.453786	-511.881984	-844.840446	-1317.971403	-1986.276950	-2827.943606	-3885.429896	-5084.487636	-6474.347722	-7971.920229	-9529.438939	-1.247550	2.453146	2.496827	1.216619	1.043414	2.615431	8.606495	10.388051	19.102447	19.539700	23.406649	27.715645	47
3cj4_168	0.261242	-3.547336	-20.675523	-24.657560	-16.137383	-4.973464	-4.870712	-2.664869	4.631115	3.233047	11.384458	9.033549	2.962060	4.258831	1.087880	5.038361	14.199541	31.479290	41.605597	54.828499	68.904877	78.613374	92.251900	103.963802	1.455568	3.680440	1.067225	1.930869	1.604187	9.789438	9.658653	10.558469	15.784259	16.631859	18.519104	21.779987	0.624211	1.029338	0.397018	2.192096	2.390977	10.551236	10.670627	11.837763	17.247082	18.648128	21.662746	22.582876	-76.648236	-229.700750	-466.058860	-763.589138	-1182.530818	-1749.074088	-2483.459110	-3444.401027	-4599.568086	-5934.660504	-7415.573747	-8965.097497	4.157215	4.666764	2.483589	7.970712	20.686873	41.270146	52.328261	65.628923	79.792550	88.674304	100.638839	110.722144	-76.356416	-234.677234	-491.260660	-835.669656	-1331.785990	-1992.048454	-2821.326983	-3885.768035	-5127.455125	-6521.324580	-8042.494742	-9620.654082	3.075135	3.977752	3.409338	5.211143	5.406653	13.626752	13.711926	14.865414	20.332235	22.002299	25.611895	27.450218	47
3cj4_179	-1.699536	-2.688996	-21.302980	-30.809047	-21.822507	-17.261187	-15.458927	-9.526722	-2.123454	-1.720562	12.876807	10.564752	5.192810	9.433925	5.093348	1.854479	11.616453	21.968439	34.684374	51.727146	66.485501	77.719563	97.773781	108.776432	-1.684150	4.954466	1.092041	-3.807877	-3.316027	-1.790869	-2.165442	2.738871	9.671018	11.913268	20.349310	25.244275	1.436816	6.021949	3.990504	-1.409216	0.235056	1.835498	2.155132	7.346616	14.812999	16.998458	26.874095	28.788223	-94.863235	-249.930948	-493.291749	-794.595792	-1206.745896	-1774.219713	-2535.144792	-3507.915957	-4689.094664	-6025.382381	-7472.852026	-9010.478351	4.686340	8.471234	5.211745	3.554480	16.623341	30.217260	44.030517	61.158687	76.008209	86.399350	104.862122	114.270196	-95.927326	-254.302039	-518.342560	-866.129454	-1351.490786	-2011.391616	-2877.015390	-3955.519084	-5224.771071	-6620.012296	-8103.880441	-9666.963051	2.447732	7.789935	5.806527	0.379842	1.749639	3.375454	3.706073	8.881019	16.394774	18.876225	29.489633	32.381097	47
