name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3coy_110	-5.723475	-2.351933	-6.891420	-5.103628	12.160750	33.680805	52.349834	58.259547	53.675343	56.267857	62.882669	60.395360	-7.502401	-0.738021	-7.559952	-6.219474	9.216650	25.118734	45.765113	65.392440	72.485150	90.088472	108.447831	116.015112	-10.992663	-5.903825	-6.161180	-2.279433	2.308843	13.294975	21.008034	23.912938	18.927788	21.619754	24.436703	26.195853	-19.142934	-13.872765	-17.951578	-14.167359	-8.981007	2.017887	10.019658	14.660795	8.961628	12.036319	15.809070	17.693284	-108.751131	-311.010749	-652.168445	-1101.756317	-1756.757698	-2689.823182	-3990.011733	-5639.002040	-7626.380511	-9999.889865	-12736.997662	-15742.316002	-4.102330	1.299926	-5.690419	-3.399734	16.012510	35.184991	56.606220	76.455486	83.656456	99.672776	115.715171	120.913730	-115.068035	-324.638857	-695.830308	-1212.288665	-1985.539263	-3063.278397	-4539.357560	-6362.712217	-8495.340966	-10980.788269	-13800.086976	-16863.046383	-14.709299	-9.302522	-13.338622	-9.292988	-3.574110	7.875197	15.855655	20.432257	14.744560	17.875247	21.858048	24.175170	57
3coy_120	1.956070	5.653301	15.357568	15.765029	38.963950	57.295544	74.796865	80.154816	77.744145	75.532940	83.238703	77.856963	8.956839	17.482838	24.028262	25.416193	45.632026	58.161202	75.522150	93.305344	105.173936	117.300662	132.743420	136.650078	-4.997031	4.700038	18.450856	21.017738	31.490837	37.917913	45.396532	45.553225	40.872599	36.901875	38.284601	37.541269	-2.953063	7.863473	16.625063	20.558964	30.426051	36.393998	41.375579	42.222733	40.022785	36.417474	35.414497	34.688079	-97.430150	-294.420169	-626.195467	-1046.639787	-1680.104145	-2610.192784	-3844.335691	-5389.471948	-7339.998290	-9602.099750	-12177.011560	-15054.043053	9.127542	16.394929	23.023847	25.219963	49.448569	65.277661	83.380086	101.372523	113.355155	124.013362	137.295806	138.939591	-106.402445	-306.949726	-672.185084	-1148.090065	-1900.948923	-2977.818321	-4373.936638	-6081.314802	-8180.657343	-10549.216575	-13201.977956	-16133.542656	-1.779648	9.219181	18.368469	22.318784	32.900635	39.393856	44.400355	45.230883	43.009041	39.530911	38.801228	38.492279	57
3coy_156	-2.406327	5.914935	6.891871	5.594745	37.627657	54.262647	68.439824	70.913810	73.196314	79.203359	83.245630	76.325115	0.564658	12.740408	12.450464	11.921094	40.848991	51.823026	66.739413	80.818306	95.470387	114.386179	128.808323	129.977821	-6.672871	2.507637	13.457265	12.355970	30.036363	32.927426	38.373346	40.969321	41.757470	44.421474	44.944050	42.252817	-10.747941	-1.872199	6.057709	6.717680	24.370541	26.801750	30.501113	33.214164	35.237793	37.780928	39.588099	36.548423	-126.776486	-351.474651	-703.076626	-1145.633886	-1800.335172	-2701.738844	-3883.282301	-5301.234879	-7099.604491	-9248.022873	-11681.981673	-14339.351871	3.831987	14.708970	14.524006	14.892163	47.835166	61.564527	77.152569	91.402867	106.174746	123.690115	136.114633	135.268876	-132.342904	-366.055631	-744.467091	-1248.219577	-2025.817096	-3064.524258	-4397.296295	-5953.255617	-7886.446415	-10139.208362	-12642.995553	-15347.535738	-6.231079	3.003083	11.151655	11.807372	29.930288	32.347310	36.102733	38.888810	40.964775	43.639319	45.781457	43.276610	57
3coy_158	12.272325	3.220459	5.037874	4.661065	33.154890	50.277970	72.052700	75.080610	76.241286	82.158525	96.096460	93.629974	15.540073	10.655608	10.734718	11.556073	38.037203	50.351417	76.558771	90.574712	104.214500	122.304439	144.220308	149.675318	5.161807	3.539682	18.916308	21.299096	35.213155	37.570645	45.932836	45.589345	44.965800	47.958176	53.751007	53.363989	-1.281576	-3.863027	7.940020	12.636240	27.672028	31.075853	40.878298	39.125021	39.640631	41.733099	46.886784	46.007833	-156.077416	-469.013521	-912.144829	-1461.769624	-2177.261463	-3142.138816	-4358.492294	-5873.325112	-7670.200618	-9810.558718	-12207.271491	-14935.793155	19.726552	13.279054	13.257751	14.883819	44.716228	59.634575	86.355199	100.553223	114.255483	131.048108	151.100984	154.496976	-165.078100	-483.750845	-953.661997	-1574.036465	-2409.760501	-3519.038237	-4893.025764	-6561.126920	-8485.619838	-10723.912761	-13187.691335	-15968.107723	4.586373	2.622911	14.279225	18.611833	32.692338	35.631099	45.403966	43.760185	44.385817	46.865461	52.614591	52.316381	57
3coy_16	0.858975	1.085082	3.998826	16.395468	45.858374	62.735263	81.751701	84.571951	84.059646	85.098941	98.344710	91.977712	3.084529	7.833671	10.100603	22.952063	49.706417	63.553822	85.892658	101.136648	113.480945	126.989072	148.189549	150.656718	-4.212755	3.186131	19.781748	32.653033	44.920800	48.298285	54.568988	56.747372	55.176000	50.649341	58.319773	56.767883	-13.556938	-6.580667	7.670164	22.593888	35.616086	42.211177	48.621058	50.654561	50.460473	45.214881	51.928370	50.061258	-193.193294	-502.358414	-948.261918	-1502.427238	-2253.370251	-3230.763039	-4488.896912	-6038.645344	-7866.622215	-10025.360133	-12502.669982	-15384.018854	6.954650	10.921185	13.117258	26.744991	57.150116	73.606472	96.564028	111.994906	124.434858	136.677241	155.926938	156.151673	-201.049374	-514.222520	-986.894176	-1615.594784	-2497.242902	-3615.949816	-5037.194754	-6740.857069	-8697.026801	-10954.735977	-13500.849029	-16439.285471	-7.743100	0.566403	14.634886	29.119406	41.332949	47.400646	53.863103	56.017268	55.981786	51.213456	58.485265	57.087108	57
3coy_163	7.761279	15.270112	7.119038	6.951746	16.047770	33.273752	52.207486	60.117907	56.462444	51.101373	54.046708	54.482749	10.975823	22.109234	11.380025	11.613544	18.415136	31.605988	53.332900	74.754619	83.605758	91.390160	103.520718	113.717343	3.158991	8.841564	12.705519	16.195008	16.198528	23.777972	30.743809	36.954628	34.888340	28.001971	27.337216	32.987708	0.256364	5.728056	5.251838	9.847476	10.211782	19.248906	26.963676	34.952862	33.401367	25.535833	24.471900	30.592852	-105.466760	-308.571762	-681.522558	-1177.394239	-1858.312012	-2768.716730	-4012.492009	-5580.756705	-7505.874096	-9746.022653	-12240.486685	-15068.954938	13.411510	23.466956	12.819541	14.109380	24.585099	40.448687	62.885465	84.508260	93.442873	99.820732	109.960826	117.955204	-111.721625	-325.684947	-726.810006	-1292.726092	-2084.512237	-3127.065135	-4537.441853	-6267.760546	-8332.636028	-10675.977925	-13236.995443	-16117.912015	3.849026	9.736314	9.672188	14.579540	14.921257	23.820226	31.546139	39.520767	37.970400	30.337982	29.746925	36.340696	57
3coy_168	2.768679	13.679083	15.605477	18.485662	43.467913	65.814790	80.024988	91.643582	95.311832	92.393606	93.312867	93.707431	3.647696	21.077571	22.123898	24.919984	47.537019	64.118314	80.205162	105.416813	121.764556	134.006717	144.339449	153.163925	1.651331	11.257698	19.853575	24.625191	35.087110	45.564669	48.582875	55.618544	54.901961	50.888282	47.525824	48.536024	-1.351616	10.781242	16.729204	21.614164	32.040840	41.844523	44.671529	53.520529	53.217045	50.283691	46.538938	46.205005	-69.760760	-267.267725	-593.109921	-1037.263816	-1683.152733	-2593.755189	-3839.182486	-5410.252014	-7376.470205	-9657.564729	-12221.044836	-15143.079001	5.559377	20.541673	21.554132	25.204507	51.999868	71.606784	88.437212	113.866791	130.334676	141.105865	149.336733	155.834510	-71.932066	-282.688997	-637.076136	-1146.847646	-1915.187879	-2965.188223	-4375.170784	-6113.017849	-8231.813283	-10618.821761	-13254.003102	-16237.516068	1.285103	12.590427	18.779759	23.885868	35.136526	45.215092	48.057035	56.866668	56.542669	53.750294	50.363762	50.402303	57
3coy_185	13.432308	2.311298	-0.036012	-1.744968	14.917062	23.395615	30.965371	48.028864	51.003061	47.999048	50.265979	49.732999	10.793025	3.906590	1.531565	-1.814553	14.209820	17.116701	29.288559	60.709008	75.890743	88.986060	100.155315	109.392265	6.589625	0.827709	6.001443	7.086315	11.492368	10.803071	11.312678	23.528521	27.133131	22.788608	22.938933	29.811580	-2.492068	-7.890114	-4.307915	-4.325449	1.893065	1.355495	4.707125	19.315013	22.846461	19.933673	17.927331	25.062742	-85.321010	-326.704200	-679.855904	-1201.521464	-1841.583702	-2784.366328	-4062.066112	-5658.680434	-7680.871338	-10069.599299	-12828.015166	-15771.660972	14.799100	5.987096	3.623193	1.120763	20.230912	26.218293	39.079816	70.712514	86.011347	97.519303	106.336531	113.308218	-92.964865	-340.602986	-721.859570	-1319.821896	-2063.396924	-3147.434090	-4590.685138	-6359.168720	-8533.996269	-11038.460334	-13879.692568	-16873.253113	2.532145	-3.060539	0.698601	0.872038	6.483642	6.177904	9.487094	24.061704	27.568666	24.711714	22.886169	30.560308	57
3coy_189	13.029701	14.357008	12.357162	11.328125	26.709714	49.883602	61.299380	69.755678	65.957583	66.364637	71.530957	60.711084	14.551233	20.767070	15.968540	15.420052	28.681807	47.354547	60.629489	82.658748	91.794316	106.100188	121.831829	119.194860	6.010178	11.077649	18.202953	21.023301	25.629159	36.368447	40.708180	46.693122	43.591277	40.798626	38.481383	37.320015	0.907963	6.946183	9.482961	13.440360	18.601118	30.234621	34.231020	41.547579	38.912277	35.498834	33.626964	31.306491	-104.783644	-322.191192	-697.546277	-1207.669224	-1899.457505	-2807.243671	-4065.975421	-5724.403822	-7756.077488	-10103.349423	-12761.781511	-15688.846683	18.278779	23.184555	18.292384	18.587733	35.579860	56.982349	70.945997	93.212158	102.445518	115.221220	128.771737	123.901275	-112.986261	-335.295572	-741.404504	-1322.363309	-2128.745345	-3171.093349	-4593.074477	-6430.838663	-8614.788576	-11073.470127	-13810.593423	-16784.483575	5.807911	12.083177	14.840397	18.887506	24.007348	35.529913	39.520795	46.775411	44.111421	40.851986	39.350314	37.585630	57
3coy_215	-0.118023	-6.681720	-7.521529	4.098592	25.986211	47.585964	75.779981	86.814468	89.528736	87.055456	95.222015	90.356053	4.978523	3.437290	0.885442	10.698322	30.532024	47.974933	80.191689	104.094459	119.074083	130.860009	147.585984	151.052140	-4.796354	-6.906421	6.106594	17.094101	28.718778	35.626665	50.477385	57.036992	57.765285	52.678154	54.046295	50.800645	-7.811510	-9.795428	-0.261901	9.726869	22.034570	30.619798	46.482044	53.591120	54.802508	50.487540	51.260631	47.705645	-151.142315	-439.062906	-838.053802	-1366.289095	-2085.424055	-3052.503390	-4277.353442	-5857.782507	-7740.019527	-9991.579858	-12470.681290	-15248.311117	6.835910	4.006284	1.496433	12.261857	35.664759	56.016517	88.837065	112.931344	128.018100	138.375417	153.157513	154.552941	-158.708898	-454.925686	-876.382826	-1483.676325	-2319.411023	-3433.326800	-4817.318832	-6562.648757	-8582.085858	-10938.091159	-13484.877595	-16313.230677	-4.411490	-5.698955	3.795955	13.801621	25.562403	34.014111	49.898877	57.038301	58.351664	54.300677	55.648881	52.730110	57
