name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3dd0_156	11.852908	18.687413	27.541872	39.258251	70.045596	109.620780	149.122883	188.422953	194.639158	205.541483	217.534616	217.028486	13.253433	16.941293	19.967076	23.851060	33.466630	51.077662	67.172652	87.149388	88.116910	92.021747	92.975307	87.579442	10.620289	18.716195	28.614011	30.096606	36.827506	50.029754	54.720687	67.422143	66.386219	64.498429	62.874222	57.250128	9.019235	14.038515	20.934333	24.130485	29.253460	41.383517	45.579271	57.992444	57.613896	55.411958	52.738806	45.611295	-40.137695	-167.083780	-364.337171	-607.747172	-972.188544	-1491.720144	-2184.917240	-3050.817223	-4041.014998	-5287.112376	-6699.870478	-8209.013173	18.964830	20.082892	20.462326	24.807327	39.067634	59.620873	76.743665	97.230277	98.148297	100.945850	100.515417	93.931243	-41.710262	-170.727132	-381.926913	-659.620564	-1092.891751	-1697.718943	-2487.606675	-3443.245419	-4494.558403	-5796.402710	-7245.684743	-8778.873756	15.634531	20.382198	27.215397	30.489798	36.498595	49.036276	53.293782	65.698920	65.394044	63.298652	60.813479	54.012894	26
3dd0_158	-11.966406	-13.157047	-5.321552	4.173564	33.157462	61.206093	113.781844	153.633225	161.621791	171.669378	186.844119	191.397445	-10.258493	-14.874091	-9.530551	-7.654009	-3.249191	6.037069	31.533358	52.559315	53.960223	57.614502	63.054181	62.397822	-11.088478	-12.900279	-5.277535	-2.462433	3.874836	3.332618	17.738314	26.100135	24.094838	26.356876	29.257792	27.680849	-12.972488	-17.631345	-10.060323	-5.678865	-4.168329	-3.970955	7.065818	16.005497	14.588649	15.272540	18.121528	15.514386	-68.305420	-201.193991	-383.270142	-623.506965	-993.227223	-1492.997210	-2181.174753	-3055.854681	-4088.653388	-5247.539747	-6628.015132	-8156.542930	-6.886260	-13.485686	-10.408139	-8.571333	0.698614	12.596933	39.153773	60.724853	62.063227	64.752315	68.863526	66.960616	-67.844783	-204.427819	-398.567445	-670.153070	-1108.627456	-1691.162311	-2482.533573	-3454.344801	-4555.608692	-5757.123597	-7171.191095	-8726.790850	-8.646139	-12.999540	-5.461500	-1.386685	1.395137	1.729046	12.861406	21.815018	20.428857	21.386344	24.457658	22.108169	26
3dd0_161	-10.923550	-4.753294	-0.223308	8.849272	33.388169	65.256238	115.302797	149.824457	160.157272	161.965978	181.999116	186.286285	-6.476462	-3.220506	-2.321429	-2.140318	4.462986	15.927176	42.369828	60.295040	62.617682	59.279092	70.595209	70.784638	-10.458789	-5.737174	-1.211436	0.600154	5.454033	11.234879	24.459388	28.020169	28.533931	21.230415	28.591784	25.631624	-8.773130	-6.564742	-3.387722	-1.322615	2.674170	7.620801	20.184695	25.581701	26.024237	18.553633	26.722068	23.476801	-68.341656	-181.066691	-363.788234	-589.406430	-925.207264	-1404.964746	-2051.092297	-2869.424298	-3889.827790	-5035.263026	-6382.733601	-7863.771045	-4.091795	-2.343221	-4.091904	-3.460306	7.203541	21.517511	48.936364	67.361333	69.629325	65.304941	75.286915	74.270947	-68.575161	-184.152013	-378.724567	-635.733898	-1030.736499	-1590.563913	-2334.414040	-3243.715316	-4334.985354	-5525.837235	-6908.336143	-8417.306766	-5.409239	-2.753934	0.039753	2.341102	6.913660	12.397883	25.027631	30.430903	30.876632	23.596011	31.921862	28.924050	26
3dd0_162	2.985651	14.344052	25.598014	28.902830	59.026456	93.696474	138.555282	173.375186	189.753547	198.021443	207.785804	218.114210	6.416401	15.098643	20.817521	15.731158	26.680707	38.271027	55.480088	74.320194	82.773987	84.973771	84.592232	90.631811	4.145801	16.851534	26.369669	21.859639	28.460269	36.738371	44.119057	50.704088	52.918891	51.810391	50.653849	55.277898	4.148835	14.357097	21.143415	18.245275	24.592112	30.838558	36.154961	44.535525	46.855346	45.695579	43.484287	46.592964	-59.828850	-177.269076	-371.505225	-628.276075	-980.657985	-1506.102438	-2239.179169	-3080.030145	-4145.729719	-5385.927373	-6771.255171	-8241.435912	10.637135	18.075664	20.959085	16.183573	31.287889	45.865704	64.220333	83.535752	91.924378	93.052085	91.374831	96.303451	-59.317268	-177.083561	-386.654216	-676.905318	-1094.663244	-1706.605712	-2546.312560	-3473.880371	-4616.709423	-5907.323786	-7322.983895	-8815.662435	9.449226	20.577519	27.055322	24.189442	30.830614	37.545696	42.998764	51.364617	53.696714	52.717787	50.806772	54.324348	26
3dd0_168	-1.549771	-1.799729	12.193080	28.221905	54.268841	90.420493	123.401607	160.638418	171.344044	181.439702	190.979908	189.954768	4.542850	2.677238	15.095055	25.082086	31.719227	47.649356	58.782604	78.639422	83.271564	87.276600	86.873133	81.123378	0.411701	0.240226	12.809091	21.336161	24.599634	32.834216	32.170924	38.523379	41.642866	42.121312	37.535215	30.398536	2.629269	0.864985	14.423088	26.686900	29.841517	37.655941	37.045653	44.226941	48.430064	48.259957	43.894656	36.414669	-69.420842	-214.311437	-401.950436	-639.660412	-996.991313	-1492.538027	-2158.454659	-2986.870007	-3988.365465	-5145.557918	-6540.589658	-8080.978229	6.286520	2.721304	12.737612	22.834371	33.720265	52.463582	64.448640	84.783167	89.341858	92.364219	90.588936	83.575202	-68.006134	-215.097963	-416.069045	-685.568367	-1107.636631	-1687.308121	-2446.188633	-3366.356980	-4433.590817	-5637.965591	-7070.936818	-8640.210832	5.527921	4.503649	18.006159	29.939001	33.478145	41.600107	40.910275	48.073666	52.294421	52.343258	48.129942	40.876511	26
3dd0_182	12.563524	25.097985	19.515371	27.457913	53.457937	88.049644	122.974986	144.694016	153.025868	167.669276	188.613531	191.176809	16.100844	25.215057	16.601821	16.405519	25.041897	34.438520	43.356064	47.360298	50.967340	59.466658	70.753632	69.089141	11.962923	24.246309	19.617908	19.222196	22.140493	28.351785	29.802464	26.542011	25.973685	29.061542	36.926703	32.412117	12.669845	21.935687	16.416628	17.209998	20.592190	23.583101	23.210490	19.684514	20.458821	25.123535	33.335114	27.571339	-40.020423	-168.621427	-374.586831	-625.284875	-968.139157	-1501.850858	-2224.183414	-3064.953082	-4050.265384	-5330.250646	-6723.141386	-8206.893562	18.367522	24.253358	13.189425	13.026201	25.531214	38.207064	48.242316	52.703596	56.245352	63.535538	73.462631	70.671585	-41.022967	-172.924520	-390.953424	-675.086250	-1080.050087	-1705.987960	-2528.198779	-3450.566631	-4499.017978	-5837.651934	-7265.236011	-8773.900177	15.840422	24.258707	18.681756	19.209534	22.658734	26.472846	26.231976	22.681945	23.506857	28.155006	36.577858	31.195798	26
3dd0_197	5.447109	18.730426	20.726990	28.490199	53.226732	87.073451	128.467169	170.573484	184.678069	197.554968	209.369267	208.096545	8.653053	16.173458	14.064130	13.952095	22.781989	34.581258	50.847510	75.051381	83.010521	88.316918	91.739038	85.018165	6.077262	18.811947	22.003927	20.838422	24.467189	31.533517	40.099420	53.184586	56.226048	57.267038	55.678064	48.598545	6.821548	14.356597	15.689149	16.321900	21.602685	26.398182	33.990000	47.910144	51.882347	52.208025	50.610673	41.826315	-42.337604	-155.544544	-349.166889	-607.165088	-946.186594	-1445.045651	-2141.577130	-2986.819120	-3996.438432	-5243.311862	-6568.689073	-8074.192694	12.833050	17.705280	13.015914	12.562743	25.185816	39.858824	57.305615	82.008524	89.917170	94.082267	96.272405	88.353027	-42.003415	-158.851022	-365.137574	-657.989532	-1056.158010	-1638.616568	-2433.445328	-3369.612709	-4447.965717	-5750.504483	-7106.984569	-8637.890019	11.805011	18.863258	20.039994	20.246887	25.563811	30.830450	38.643937	52.551869	56.564106	56.944900	55.668164	47.177032	26
3dd0_234	4.176460	9.105778	17.561319	22.374615	56.058700	95.957420	137.661562	162.068179	175.420168	189.279330	211.405690	211.953720	4.268386	4.619611	9.437371	7.330631	21.933247	34.548751	50.758265	56.932988	64.286471	71.016251	84.359874	81.755797	0.628656	7.272967	16.206212	14.528787	26.261785	35.012672	35.037617	33.890385	38.875332	41.776405	50.771739	49.234491	-3.892577	-1.095469	6.868115	7.925554	19.634971	24.226600	22.621744	22.421755	27.163159	29.945280	39.683580	37.784280	-64.098070	-190.994081	-383.135220	-630.658975	-976.346089	-1528.426657	-2242.485109	-3132.353504	-4131.728116	-5409.080805	-6804.384343	-8284.767743	10.649836	9.846183	12.160688	10.389285	29.159814	45.354770	62.670704	69.356106	76.649175	82.218024	94.212849	90.501279	-67.622667	-194.111149	-397.847957	-676.299032	-1085.066270	-1735.105172	-2556.417460	-3535.484509	-4598.684858	-5932.332657	-7361.610652	-8860.595561	3.668964	7.581091	15.423655	16.427576	28.480047	34.125660	32.634297	32.422883	37.231633	40.087637	50.079579	48.599883	26
3dd0_238	-10.209898	-16.951849	-2.264503	3.547661	32.673322	67.022028	119.747456	162.089682	179.093629	192.446776	207.282854	207.319732	-3.121037	-10.645871	1.219731	1.983659	9.116362	24.560725	48.705507	72.550387	82.188615	88.687177	93.456991	88.460030	-11.113688	-16.168948	-2.572536	-4.200066	1.705090	6.736173	22.208379	35.631990	41.495230	46.810551	47.977889	42.437665	-8.153258	-13.960074	-0.729646	2.638835	6.739645	12.094834	22.333570	36.422395	42.368179	46.395604	47.270389	40.963298	-89.028177	-257.734872	-439.824675	-685.306910	-1052.765942	-1548.786063	-2237.390558	-3092.223987	-4124.898671	-5314.958741	-6700.901618	-8258.155696	-0.630353	-9.854628	0.598790	1.532586	13.114757	31.242439	56.490458	80.852726	90.421107	95.895414	99.340288	93.084587	-90.715722	-259.375906	-454.700194	-729.413590	-1164.024001	-1744.662543	-2537.066748	-3484.442625	-4588.914450	-5825.172759	-7246.135147	-8831.195361	-4.331833	-9.161062	4.914800	7.808542	12.420606	17.893379	28.260641	42.352224	48.320309	52.566762	53.686272	47.643490	26
3dd0_263	10.763007	17.930707	22.450176	32.117227	59.412213	85.440701	123.331940	152.686975	167.229766	174.923068	191.385921	193.847794	11.067109	15.177352	16.273138	16.860146	24.430684	30.737993	46.890463	59.675130	65.709826	66.596097	75.485179	72.093324	13.530047	20.889908	25.845755	27.308745	30.668553	31.800671	38.958414	41.732326	39.690512	34.218591	35.102173	31.984685	7.515288	12.180274	16.187357	19.260599	22.761384	23.658099	31.534597	35.879942	33.966577	28.613925	31.940936	26.885238	-84.139238	-216.243268	-409.884387	-663.423830	-1025.708531	-1524.795390	-2194.851825	-3019.944812	-4074.727316	-5324.549654	-6706.163990	-8254.053577	14.530515	19.207535	18.263362	18.875803	30.607502	39.359635	56.499552	69.782073	75.732844	75.505182	83.073722	78.423089	-81.624032	-212.806376	-416.241962	-702.871705	-1132.451223	-1711.172832	-2474.264126	-3385.963900	-4521.981276	-5829.302894	-7247.520967	-8823.179116	12.635843	20.135592	24.334678	27.018000	30.625037	31.398029	39.316793	43.675274	41.740205	36.485932	40.061995	35.268477	26
