name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3dx1_119	-4.716076	-6.501447	-6.847390	-8.574693	-7.093708	-10.387032	-11.830970	-16.279840	-20.628836	-23.045552	-25.646436	-28.069647	-14.915559	-22.386673	-24.907285	-29.030867	-33.645603	-39.125998	-40.981932	-44.186124	-47.284748	-49.370091	-52.642187	-57.065478	-5.670168	-8.725479	-12.455362	-20.618688	-26.084170	-33.504165	-38.984213	-45.031166	-47.678141	-48.096104	-49.024202	-48.067977	-20.762031	-30.632837	-35.286569	-42.614706	-47.553191	-52.903644	-57.848498	-64.042623	-68.460137	-71.997354	-77.067130	-81.799163	-132.516577	-258.481624	-428.266096	-640.355074	-941.904790	-1286.033606	-1662.687015	-1998.305868	-2244.344427	-2417.203021	-2509.276877	-2558.909398	-10.676519	-17.257657	-19.474000	-23.032750	-26.021282	-30.579410	-32.062081	-35.222337	-38.496185	-40.665211	-43.938776	-48.368260	-130.578473	-258.697832	-443.245734	-684.983535	-1033.515377	-1419.216118	-1837.845870	-2194.419179	-2438.965879	-2597.050469	-2667.490747	-2698.122148	-15.379297	-23.972890	-29.042170	-36.826948	-42.174146	-48.078944	-53.138910	-59.342796	-63.788072	-66.862603	-71.263832	-75.472192	21
3dx1_20	-12.855179	-14.361429	-14.580979	-15.840344	-16.066608	-19.677327	-20.234890	-24.820251	-28.950011	-31.947337	-34.522018	-36.781363	-23.706285	-29.661438	-32.003182	-35.733269	-41.581543	-47.577896	-48.692650	-52.001511	-54.788022	-57.452794	-60.689982	-64.933019	-14.003119	-16.621697	-20.176070	-27.783494	-34.830595	-42.288984	-47.483434	-53.602922	-56.346074	-56.927259	-57.770949	-56.765311	-29.805355	-37.866268	-42.320996	-49.163465	-55.283804	-60.792462	-65.547781	-71.860842	-76.297870	-80.079848	-85.036309	-89.700000	-133.712915	-267.758293	-444.611009	-658.863106	-960.044751	-1308.737139	-1689.619789	-2022.501044	-2270.164050	-2428.655697	-2524.828670	-2576.067994	-19.931784	-25.414865	-27.426195	-30.584653	-34.859730	-39.888805	-40.611867	-43.893325	-46.856153	-49.616723	-52.853658	-57.102853	-132.085453	-268.366764	-460.959829	-705.224575	-1053.207982	-1443.777913	-1867.846212	-2220.418792	-2466.684288	-2608.021016	-2683.083080	-2715.394201	-24.971878	-32.096495	-36.920253	-44.227851	-50.816168	-56.851787	-61.714091	-68.038072	-72.504558	-75.807020	-80.100099	-84.241831	21
3dx1_25	-8.514505	-10.535498	-10.700830	-10.481289	-10.988499	-13.752227	-15.066376	-19.379928	-23.272848	-25.934188	-28.817825	-31.165412	-20.410277	-27.588315	-28.743432	-30.870724	-37.220857	-42.340332	-44.113938	-47.205519	-49.893144	-52.290757	-55.834185	-60.203483	-9.934249	-12.773465	-16.251681	-22.879993	-29.800578	-36.704310	-42.079462	-48.120875	-50.805785	-51.224793	-52.162981	-51.184431	-26.602217	-35.623085	-38.987478	-44.695451	-50.926703	-55.829925	-60.713184	-66.969933	-71.433056	-75.092561	-80.162221	-84.898759	-127.472698	-260.067143	-431.410503	-645.250009	-947.516449	-1293.599497	-1671.710256	-2003.782796	-2255.673272	-2420.633453	-2513.748403	-2561.525078	-15.819312	-22.371675	-23.306969	-24.872194	-29.630492	-33.805877	-35.203624	-38.262479	-41.112005	-43.598587	-47.142719	-51.519331	-125.986465	-261.287850	-446.322924	-691.252571	-1039.584975	-1428.383888	-1849.163232	-2201.794437	-2452.689949	-2601.342951	-2672.577029	-2700.960155	-20.938156	-28.875513	-32.750434	-38.907281	-45.574938	-51.025318	-56.022340	-62.290853	-66.781991	-69.967765	-74.369784	-78.582228	21
3dx1_287	9.722697	7.865332	9.812598	6.003289	6.093940	3.428607	1.917453	-2.581970	-7.055734	-9.324494	-11.959013	-13.969647	-3.401986	-8.923947	-8.156445	-14.291672	-19.813691	-25.107575	-26.688106	-29.803648	-32.964978	-34.910530	-38.240879	-42.251636	8.598841	6.097640	4.074914	-5.237590	-11.958955	-18.990603	-24.884922	-31.065416	-33.740557	-34.190725	-35.060364	-33.996229	-9.533839	-16.729973	-18.696554	-27.032025	-32.672551	-37.781503	-42.988322	-49.315610	-53.828489	-57.513378	-62.525024	-67.139842	-101.992773	-247.420386	-426.186415	-644.599303	-948.687372	-1306.319608	-1683.755825	-2015.526168	-2252.252864	-2405.725227	-2498.810072	-2549.551377	2.631116	-2.629140	-1.584866	-7.186182	-11.158965	-15.458575	-16.702645	-19.806839	-23.174794	-25.228738	-28.558172	-32.575586	-98.404908	-246.255403	-440.562773	-688.439967	-1039.531390	-1442.737635	-1861.483114	-2213.123723	-2446.521779	-2583.198402	-2654.896319	-2686.982040	-2.441760	-8.834646	-11.278044	-20.144160	-26.314282	-31.973768	-37.305201	-43.647130	-48.190436	-51.398961	-55.742431	-59.835788	21
3dx1_29	-7.997899	-9.210173	-7.709295	-8.619411	-9.773386	-12.210357	-14.468719	-18.453169	-22.958358	-25.669439	-28.229178	-30.475537	-19.758839	-26.002697	-25.833595	-29.004489	-34.895904	-40.211725	-42.313288	-45.036380	-48.203404	-50.577251	-53.783566	-58.038797	-9.280924	-11.287102	-13.330159	-20.495118	-28.240687	-35.094310	-41.250647	-47.279413	-50.015881	-50.575015	-51.388481	-50.392049	-25.731901	-33.884386	-36.063156	-42.161716	-48.231810	-53.370553	-58.729334	-64.907436	-69.355199	-73.114741	-78.020085	-82.720073	-122.080030	-257.463671	-433.290035	-653.910174	-952.315415	-1308.593487	-1677.509164	-2013.580056	-2260.273137	-2418.534586	-2515.068831	-2562.561603	-14.084969	-19.934134	-19.418680	-21.998668	-26.479189	-30.778397	-32.584338	-35.276942	-38.623780	-41.091591	-44.296533	-48.558800	-119.593634	-258.120292	-449.210694	-701.491362	-1043.871257	-1446.394179	-1854.083030	-2210.768252	-2455.748627	-2597.333276	-2672.775201	-2701.168210	-19.013174	-26.269427	-28.822378	-35.372529	-42.073722	-47.736044	-53.238269	-59.435366	-63.914133	-67.192324	-71.434251	-75.609448	21
3dx1_304	-0.362687	-5.267730	-4.485842	-6.798625	-4.836882	-8.140863	-10.027189	-14.042745	-17.958392	-21.201453	-23.923153	-26.368320	-10.880885	-19.342282	-20.887393	-25.035732	-28.995669	-34.550022	-36.887909	-39.681969	-42.264570	-45.113388	-48.495422	-52.911899	-1.854023	-7.410728	-10.577878	-19.038643	-24.535924	-31.767708	-37.298900	-43.126467	-45.943520	-46.592275	-47.507019	-46.516961	-16.893665	-27.222923	-31.445600	-38.664751	-43.555781	-48.732893	-53.725594	-59.732213	-64.233474	-67.963313	-73.019814	-77.694250	-122.377470	-253.301348	-424.166369	-634.099593	-930.415422	-1275.696402	-1655.366868	-1990.882110	-2238.942978	-2410.798549	-2501.226119	-2552.622207	-6.057464	-13.856702	-15.041026	-18.658464	-21.005734	-25.588039	-27.543590	-30.296370	-33.050384	-35.988706	-39.370820	-43.794363	-120.337002	-252.561377	-440.060133	-678.253776	-1021.444085	-1409.486007	-1831.383764	-2187.397220	-2435.084636	-2591.283473	-2659.766354	-2692.114530	-10.983028	-20.237340	-24.786012	-32.495530	-37.786643	-43.474229	-48.584631	-54.604722	-59.135786	-62.406005	-66.790986	-70.945210	21
3dx1_382	1.701656	0.243157	1.298051	-1.721880	-0.511387	-2.678397	-5.326929	-8.600838	-12.286751	-15.620869	-18.512653	-21.233099	-5.910146	-10.510601	-11.406241	-15.869937	-19.893003	-24.918745	-27.450932	-29.781136	-32.078851	-34.945467	-38.523572	-43.142779	0.246181	-2.993717	-5.336247	-14.307015	-19.993969	-26.604347	-32.725957	-37.965038	-40.652122	-41.349787	-42.255661	-41.351742	-11.417064	-18.923311	-22.048480	-29.480253	-34.103432	-39.125804	-44.503607	-49.930237	-54.179029	-57.872519	-62.985042	-67.681416	-109.275571	-244.383244	-416.292434	-625.351273	-915.338583	-1263.140575	-1623.522953	-1974.321707	-2230.252044	-2409.550725	-2492.610809	-2546.951544	-3.257703	-7.581187	-7.996875	-11.957643	-14.479892	-18.483524	-20.701132	-22.925415	-25.368921	-28.322357	-31.901210	-36.527006	-108.074655	-247.344726	-435.147872	-671.946013	-1007.254179	-1400.236312	-1798.010017	-2172.418665	-2428.559298	-2592.481679	-2652.600597	-2687.641496	-7.790364	-14.501625	-17.832212	-25.774025	-30.871065	-36.367374	-41.862784	-47.299464	-51.575417	-54.819539	-59.250859	-63.430639	21
3dx1_39	-18.730124	-17.698797	-16.092933	-17.535997	-17.998918	-21.462818	-22.088103	-26.667977	-30.974997	-33.962960	-36.463913	-38.684019	-30.602879	-34.830317	-35.297447	-39.542939	-45.316025	-50.771625	-52.134278	-55.368735	-58.314081	-60.976589	-64.120875	-68.331158	-19.604816	-19.642012	-21.769261	-29.320111	-36.606980	-44.104997	-49.302357	-55.466126	-58.268425	-58.833612	-59.707111	-58.686657	-36.328472	-42.778166	-45.685474	-52.689577	-58.744068	-64.040165	-68.844323	-75.188713	-79.701603	-83.470004	-88.439729	-93.098140	-134.821082	-269.050234	-444.261220	-660.408374	-961.522227	-1306.027086	-1694.100751	-2024.334658	-2268.097656	-2427.511269	-2523.429604	-2573.775595	-25.373935	-29.154862	-29.270719	-32.893846	-37.154798	-41.699406	-42.632294	-45.851878	-48.980165	-51.739123	-54.883321	-59.099568	-132.225998	-269.321274	-460.548477	-707.229221	-1054.179111	-1440.084140	-1873.067730	-2222.557523	-2464.267943	-2606.678611	-2681.587213	-2712.980015	-30.040552	-35.556316	-38.828670	-46.255798	-52.848144	-58.708404	-63.607847	-69.965075	-74.506244	-77.797158	-82.103373	-86.238546	21
3dx1_440	32.236524	42.390614	45.959615	50.381415	48.914235	46.784396	42.937317	42.238673	40.775495	38.741956	36.959969	35.688176	20.819409	25.881646	27.619189	29.040880	25.086980	22.002963	19.108355	19.145811	18.598368	16.872311	14.631547	11.572749	34.004875	43.497807	44.563388	41.744881	34.736097	28.675846	22.546815	18.009946	16.108946	15.886327	15.215959	16.246564	18.118206	21.667555	22.118020	19.731533	16.017271	12.722550	7.644264	2.811555	-0.559851	-3.641859	-8.051023	-12.422920	-66.649090	-179.459811	-356.454089	-578.404515	-861.736546	-1174.763651	-1487.395947	-1806.140591	-2082.829618	-2272.948435	-2393.237725	-2455.267262	27.244908	32.619335	34.716430	36.873673	33.951385	31.517199	28.753121	28.873933	28.280033	26.492546	24.254777	21.189411	-59.897831	-175.798903	-368.842686	-625.319792	-945.838188	-1295.512082	-1638.639557	-1982.653811	-2266.693746	-2445.379328	-2547.953012	-2593.085238	25.475605	29.820196	30.015842	27.348352	22.700933	18.695289	13.440174	8.595612	5.200451	2.534964	-1.266064	-5.140632	21
3dx1_457	28.557623	31.452776	27.551995	27.311267	26.085595	26.000772	24.640514	20.860552	17.230098	14.584204	10.786004	8.986588	23.742776	23.664853	18.796194	15.769489	12.191661	9.052441	7.307890	4.435484	2.001595	-0.188010	-4.525349	-8.033464	26.655446	26.760912	20.161758	14.395895	6.356863	1.023070	-3.759608	-8.974666	-11.436013	-12.009791	-13.080160	-12.005109	18.355804	14.369894	7.883328	2.456865	-2.553300	-6.680843	-10.801939	-16.129329	-20.092385	-23.604885	-28.669286	-32.995505	-43.709228	-170.218604	-339.625148	-547.585195	-809.671845	-1134.644671	-1498.791039	-1844.401934	-2117.515260	-2300.993316	-2398.263741	-2467.320737	31.468733	31.317682	26.838036	24.545247	21.961052	19.814122	18.453189	15.701601	13.191450	10.928330	6.591458	3.075548	-39.729773	-172.206200	-356.525165	-595.836005	-893.768489	-1262.610922	-1668.135454	-2038.118860	-2314.263568	-2483.597794	-2558.445458	-2609.992691	26.886583	23.375818	16.673081	11.031839	5.186664	0.637495	-3.602178	-8.939917	-12.920612	-15.995316	-20.408109	-24.240990	21
