name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3fv1_115	-20.247829	-28.988614	-36.818214	-42.680356	-46.860584	-54.280751	-67.430843	-76.293477	-77.542981	-77.993667	-78.121738	-77.008445	-32.803290	-41.349307	-42.486356	-40.294357	-36.893437	-30.491392	-24.416907	-17.129324	-8.348886	-7.184614	-11.299746	-18.402924	-20.343927	-28.193382	-32.413666	-39.115022	-44.453872	-48.085686	-52.277468	-53.736880	-51.782041	-48.959448	-48.102718	-46.211906	-40.664384	-57.157215	-64.047926	-72.033745	-77.915334	-82.790708	-89.997686	-97.936677	-104.556685	-113.401939	-125.806500	-138.356706	-230.596007	-500.046615	-846.687833	-1274.720516	-1894.321524	-2689.586107	-3668.882516	-4697.662715	-5691.588943	-6511.103810	-7162.259921	-7660.633512	-28.470760	-36.803616	-36.949688	-33.314833	-25.552062	-15.314360	-7.009208	1.601224	11.109129	12.282215	8.051333	0.764454	-228.301734	-510.138940	-891.018441	-1384.204853	-2112.763919	-3033.173741	-4139.671764	-5263.371224	-6312.723355	-7128.884272	-7747.796575	-8209.693976	-34.523828	-49.647484	-57.002819	-65.977557	-72.430906	-77.908485	-85.356512	-93.528656	-100.384943	-108.496651	-119.563865	-130.871392	41
3fv1_191	-22.592582	-29.548540	-40.331644	-45.633590	-51.359277	-57.382846	-71.279105	-81.087389	-82.687344	-82.042154	-82.690950	-80.665111	-30.151022	-38.529583	-42.143727	-39.404669	-37.515135	-29.919088	-24.953932	-19.054001	-9.600436	-7.152975	-11.911299	-18.398114	-23.386632	-29.625849	-36.220131	-42.602225	-48.434788	-51.447947	-55.664537	-57.517069	-55.556278	-52.531998	-51.754825	-49.722730	-38.456910	-55.002383	-63.803695	-71.622264	-77.874240	-82.328098	-89.790385	-98.263416	-104.337712	-112.908639	-125.432813	-138.007206	-236.763472	-495.969090	-848.785636	-1279.489382	-1897.562994	-2692.204053	-3667.008009	-4683.820315	-5696.735719	-6519.173148	-7166.101817	-7656.495755	-26.779008	-34.425072	-37.122229	-32.825964	-26.630698	-15.193118	-8.014345	-0.849900	9.398734	11.849272	6.969193	0.291785	-235.636940	-507.052997	-893.065780	-1389.622456	-2115.356698	-3035.596877	-4135.230511	-5243.993661	-6315.752931	-7136.617974	-7750.482822	-8204.701464	-33.175621	-47.933834	-57.273759	-65.971277	-72.852475	-77.900336	-85.596039	-94.317948	-100.629535	-108.483796	-119.665668	-130.992518	41
3fv1_262	-7.930233	-12.506141	-25.561014	-31.007156	-33.163740	-39.511390	-54.168366	-64.058366	-66.149634	-65.918561	-65.923688	-63.742586	-18.113168	-22.619091	-28.865856	-26.482690	-20.532215	-13.763458	-8.899627	-3.356216	4.703895	7.150957	3.093428	-3.504272	-7.563101	-11.468436	-19.538245	-25.643567	-29.940077	-32.930813	-37.679592	-39.792967	-38.071789	-35.122432	-34.448631	-32.114929	-25.617941	-38.439476	-49.076123	-56.783087	-61.358886	-65.817327	-73.420197	-82.388309	-89.058362	-97.509679	-110.155293	-122.545371	-214.615745	-483.884481	-836.961444	-1264.650132	-1891.105442	-2675.112625	-3661.160071	-4679.911225	-5671.600329	-6505.237684	-7156.110259	-7639.700370	-13.246537	-17.330687	-22.523210	-18.631663	-8.054025	2.155971	9.258120	16.051790	24.808885	27.280445	23.104930	16.311918	-211.514573	-492.880195	-879.217433	-1373.410728	-2114.722542	-3017.653440	-4131.220030	-5242.697625	-6288.651089	-7121.345118	-7740.304273	-8186.802168	-18.870965	-30.147301	-41.211016	-49.865623	-54.837834	-60.219889	-68.077621	-77.294842	-84.225485	-91.967509	-103.273481	-114.407133	41
3fv1_333	-29.915999	-36.772169	-44.937431	-51.689422	-54.387609	-61.630354	-75.555803	-83.581446	-87.312285	-87.289605	-87.219491	-85.964209	-42.478242	-51.223237	-52.429614	-50.886927	-46.015372	-39.799543	-34.757537	-26.273453	-20.082275	-17.988896	-21.870676	-29.428881	-29.958471	-35.789689	-40.720725	-47.134618	-51.771519	-55.129938	-59.754890	-61.341326	-59.981211	-57.232381	-56.255443	-54.140289	-50.609340	-66.895713	-74.093130	-81.962773	-86.966474	-91.823506	-99.602000	-107.422564	-114.587978	-123.315876	-135.613630	-148.225110	-248.349173	-507.733480	-854.396986	-1288.899933	-1904.708867	-2696.727937	-3672.866814	-4704.406291	-5693.772258	-6524.795059	-7178.305761	-7661.302132	-37.790845	-45.722583	-46.203794	-42.967180	-33.873371	-23.861263	-16.612433	-6.786368	0.092509	2.207852	-1.795800	-9.547705	-246.732150	-517.119507	-896.414227	-1398.820439	-2122.222957	-3038.391447	-4140.612634	-5269.227855	-6311.682513	-7141.981456	-7763.810177	-8208.848848	-43.983740	-58.431021	-66.370891	-74.975857	-80.698595	-86.180036	-94.205178	-102.260666	-109.682947	-117.696533	-128.665175	-140.016405	41
3fv1_407	54.837985	46.453825	40.953996	36.580124	31.872320	23.922082	13.883274	5.283468	1.993368	2.588617	4.077334	5.246660	21.172954	10.374645	11.647163	14.876642	16.990444	23.181115	30.815018	38.598057	43.429196	45.517670	42.525966	35.341080	55.881868	48.277720	47.389131	42.375110	37.088244	33.967631	30.989051	29.226325	31.028822	34.385402	35.512094	37.625011	11.586875	-5.814011	-9.303373	-16.692019	-22.280019	-26.515517	-33.449391	-41.522228	-48.997887	-57.197300	-69.399597	-81.723522	-110.889181	-369.639235	-729.233454	-1168.895783	-1776.297716	-2580.986988	-3542.177738	-4575.447955	-5523.580014	-6331.961099	-6960.139144	-7449.795462	41.963387	31.137248	33.128760	38.391570	44.223784	54.296489	64.079182	73.195015	78.571010	80.637156	77.519082	70.151408	-97.822865	-368.020175	-762.531464	-1277.456277	-1983.083834	-2916.555412	-4004.778129	-5137.462233	-6130.795136	-6936.518739	-7533.113451	-7986.474691	34.127477	17.841112	13.698681	5.864510	-0.935114	-5.793484	-12.951752	-21.269094	-29.012542	-36.508492	-47.369476	-58.462335	41
3fv1_415	44.838637	49.501211	49.004882	43.226998	37.907572	29.725130	23.313932	15.213093	11.600737	11.454711	10.667421	12.709403	25.836000	30.322721	37.127222	40.853601	43.513041	48.752665	61.741996	70.885851	77.837397	79.940397	75.040174	67.384436	45.371085	52.396029	53.354558	48.302763	42.308558	39.257308	37.188347	35.734289	36.815326	39.464052	39.955135	42.162639	17.720196	16.795150	15.798763	9.915955	4.113632	-0.248438	-5.308375	-12.714081	-20.030772	-28.894597	-41.845507	-54.829575	-127.775812	-366.345631	-708.120409	-1158.949340	-1780.548154	-2569.536497	-3548.922332	-4600.412653	-5612.260159	-6455.430167	-7112.269579	-7575.318022	38.701261	43.388258	50.929934	56.593231	63.427843	72.218664	87.492005	98.044717	105.744649	107.878296	102.863619	94.995700	-119.401828	-365.615357	-745.427734	-1272.128759	-2000.657150	-2909.536052	-4022.599099	-5174.504743	-6241.465515	-7083.445724	-7706.903901	-8129.644671	32.335625	32.626064	31.071851	24.708874	18.102785	12.905763	7.632544	0.002460	-7.563199	-15.702639	-27.290664	-38.978483	41
3fv1_435	104.068624	118.890839	116.591351	112.121713	109.298353	103.670830	95.494223	92.241616	88.630843	86.873396	87.576442	91.215988	80.300884	93.560603	98.783877	103.130029	107.669487	116.855582	126.956894	140.112816	146.572959	148.287706	146.091102	140.277003	107.460314	122.678006	124.955102	120.759537	117.483669	115.030092	111.893922	111.476199	113.214789	116.320974	117.385232	119.308154	74.675012	81.059245	81.506333	76.310306	72.486636	69.313286	62.735695	56.059085	49.303059	41.478484	29.599923	16.438921	-67.799066	-289.442645	-634.383131	-1072.739250	-1692.137091	-2501.809005	-3461.078056	-4486.446250	-5480.631147	-6351.825501	-7040.097610	-7508.385387	92.643863	106.096119	112.248772	118.359489	127.093733	140.289744	152.439079	166.924844	174.094940	175.909137	173.624311	167.600051	-58.225541	-290.283295	-670.955366	-1179.766354	-1904.602565	-2845.035273	-3929.677333	-5055.727441	-6102.502756	-6975.460540	-7635.227955	-8065.772492	88.710303	96.304513	96.433593	90.614239	86.071112	82.374494	75.472638	68.559236	61.552928	54.425354	43.857993	31.985353	41
3fv1_436	68.324024	56.271530	47.327856	43.030707	40.984990	33.778014	23.076740	14.221376	9.750318	8.200376	11.404283	13.433427	31.191872	17.420589	15.012556	18.145575	23.473526	29.244463	36.874524	44.760489	47.828515	48.447631	47.987790	41.721486	69.590183	58.786683	55.275642	50.791795	46.966768	43.831300	40.646122	38.801403	40.506768	43.376586	44.707062	46.801502	21.821155	1.212205	-4.793743	-11.241693	-15.505674	-20.209348	-26.900499	-34.850588	-42.673036	-51.074012	-62.750639	-75.016528	-91.131615	-369.893471	-726.260970	-1156.798817	-1776.664629	-2558.851551	-3524.307845	-4565.081639	-5500.890398	-6328.187450	-6979.702228	-7469.467708	53.477158	39.404669	37.635399	42.375612	51.991021	61.211995	70.999437	80.264751	83.819798	84.479363	83.915909	77.466460	-74.938330	-367.761970	-755.068756	-1256.105419	-1985.973805	-2890.097794	-3984.150499	-5125.931158	-6103.876968	-6929.214437	-7553.175552	-8007.321736	45.842145	26.247734	19.365584	12.042363	7.060408	1.432797	-5.517787	-13.695474	-21.800461	-29.484856	-39.842714	-50.868657	41
3fv1_442	69.580438	67.365936	66.129694	70.361201	68.738902	62.588608	53.166246	45.438284	43.696329	44.654611	46.643641	49.732377	54.131356	51.501896	56.611836	68.946421	75.067490	82.111423	89.428145	97.894521	106.313560	111.244258	110.221830	104.481859	71.489855	73.278210	77.331400	79.996461	77.382448	75.036411	72.659277	71.468762	73.411608	77.061373	78.338928	80.592768	47.841940	41.268722	42.901989	43.759532	40.959688	36.912434	30.477179	23.300701	17.055135	10.273433	-1.187558	-13.531512	-136.119564	-375.749358	-695.805143	-1108.718156	-1717.560381	-2504.807422	-3428.272620	-4434.671440	-5412.285934	-6275.329864	-6943.348103	-7415.123584	62.451616	60.465085	66.308158	80.589997	90.994400	101.970676	111.243702	121.026061	130.182748	135.226850	134.108670	128.171700	-128.431651	-374.314933	-724.167246	-1211.723843	-1927.263301	-2837.949865	-3877.202847	-4978.066874	-6011.533351	-6880.799495	-7521.992032	-7957.556042	58.042546	53.037020	54.024617	54.492190	51.115530	46.619578	39.897137	32.493069	26.015663	19.892760	9.715042	-1.381221	41
3fv1_451	58.389874	74.177333	69.780724	66.181348	64.959893	58.593602	51.964872	46.576401	41.774361	39.353993	40.923130	43.426459	40.182420	52.266939	53.154806	57.429693	63.442114	70.514178	81.154207	92.747459	98.107854	98.973525	96.731911	90.723126	60.474046	77.218161	77.101393	72.770415	70.575039	68.151443	66.213757	65.528020	66.819356	68.623004	69.832980	72.051054	32.688049	37.970681	34.313672	28.397537	25.820193	22.068248	16.482130	10.077115	3.218040	-5.745532	-17.606362	-29.856467	-146.370449	-363.800984	-687.028091	-1110.426449	-1709.910231	-2492.735384	-3417.274166	-4442.072208	-5425.909720	-6280.101030	-6928.202071	-7410.837986	52.396994	65.325883	67.387749	73.353223	83.522854	94.396467	106.989042	120.000544	126.064342	127.009891	124.652812	118.456790	-136.475681	-361.143753	-717.078964	-1209.700870	-1914.596067	-2821.484282	-3868.962693	-4997.059977	-6033.850251	-6890.563946	-7508.743850	-7955.599596	46.884219	53.874466	50.004972	43.405767	40.141316	35.818814	29.909205	23.297850	16.180905	7.889897	-2.659896	-13.670574	41
