name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3fv1_115	-19.529054	-19.864696	-23.950603	-25.823193	-9.011713	-5.595097	-1.825376	-9.883926	4.917180	5.195456	12.303086	17.807702	-9.127401	-7.131083	5.208022	13.975799	28.854786	35.845714	46.611504	46.071579	68.856357	79.254756	80.795816	91.135323	-19.754336	-15.657949	-11.987581	-17.836296	-19.748715	-23.880304	-16.930459	-18.339426	-13.457172	-15.760138	-22.590910	-13.100781	-16.378983	-22.506416	-25.813553	-29.601463	-29.848460	-32.666333	-26.048257	-27.056358	-21.368989	-22.615381	-23.964238	-12.446808	-189.182257	-424.732856	-735.348012	-1130.092521	-1692.720413	-2461.627036	-3490.085184	-4741.237514	-6223.449024	-7917.757622	-9822.245916	-11862.784324	-7.399295	-5.406133	3.639300	10.760973	28.841935	40.520671	58.736519	66.644604	96.047075	110.980130	120.630021	139.156562	-194.367450	-440.556096	-784.510864	-1239.346478	-1908.019010	-2801.703062	-3969.902273	-5345.520901	-6951.004717	-8724.017756	-10679.276494	-12757.601309	-18.687830	-21.978767	-21.196353	-24.192357	-25.167177	-28.418720	-21.858392	-23.777698	-18.669451	-20.363634	-23.351992	-13.944667	41
3fv1_191	-20.838421	-16.821544	-23.664489	-20.728705	-0.415195	7.848108	6.043010	-0.399637	12.410035	20.282119	30.080510	40.461469	-8.009613	-4.084561	6.335367	19.713938	38.154226	48.806565	54.416829	55.224811	75.814783	93.374041	97.172897	112.013081	-21.661992	-13.912886	-11.337964	-12.385664	-11.774517	-11.879035	-8.710997	-9.891270	-4.669280	-1.182084	-4.952687	10.321640	-16.182436	-20.856420	-24.346820	-23.616119	-21.296782	-21.149068	-17.852897	-18.862589	-12.868170	-8.952181	-7.688647	9.314379	-197.582861	-426.734444	-741.322914	-1133.755392	-1693.123118	-2459.883901	-3484.577584	-4723.735054	-6206.733132	-7914.166569	-9813.402341	-11827.229546	-6.749882	-2.628108	4.201833	15.682237	37.339954	52.683096	65.503363	74.602194	101.890884	124.135787	136.041973	158.885200	-204.699097	-444.352357	-789.782138	-1241.937324	-1909.770048	-2801.765948	-3961.996131	-5325.490302	-6929.514637	-8720.648934	-10670.476771	-12719.452257	-19.216556	-20.611607	-20.276291	-18.994150	-17.401971	-17.700930	-14.689967	-16.720957	-11.216487	-7.686384	-8.058800	6.743808	41
3fv1_262	-15.239003	-12.944662	-20.086616	-16.577264	6.581069	15.611171	8.227193	-0.056271	12.729386	19.529224	30.841194	39.890736	-1.336053	2.981669	12.321123	25.954291	46.300830	58.166457	58.352922	58.532528	78.452572	95.055007	99.307207	113.516875	-14.842346	-8.715961	-6.510943	-6.891936	-3.519785	-3.682877	-6.056026	-8.259418	-3.427392	-0.404171	-3.956755	9.688996	-9.117211	-13.779855	-18.171160	-16.921690	-12.925153	-12.212546	-14.388213	-15.200083	-10.215995	-6.296313	-5.840786	10.285963	-187.321700	-430.276414	-741.942887	-1128.704514	-1694.280576	-2448.524555	-3485.043637	-4736.133992	-6208.072483	-7898.209018	-9833.834042	-11862.954252	-3.337960	1.120008	6.815884	18.412565	42.388141	58.602886	66.229147	74.866092	101.313936	122.467833	135.172499	157.443516	-192.859272	-446.957531	-789.531768	-1236.487673	-1914.602565	-2789.694421	-3963.687146	-5340.884158	-6931.836131	-8701.846574	-10692.656859	-12758.036059	-15.376269	-16.881835	-17.399774	-15.757705	-12.063978	-12.204660	-14.456762	-16.176309	-11.805753	-8.331605	-9.311439	4.606184	41
3fv1_333	-31.191901	-30.543815	-36.656585	-33.063865	-11.362731	-1.355581	-5.814894	-11.706969	-5.365471	6.364928	19.675732	26.869873	-18.050929	-17.349867	-7.241946	5.786474	26.317712	38.863492	41.159157	42.054578	55.630382	76.543799	83.355816	95.387678	-31.343962	-27.449099	-24.799886	-23.288892	-22.078817	-20.649397	-19.744473	-20.701803	-22.634435	-13.914029	-14.986266	-3.754893	-25.879396	-34.044712	-38.125400	-36.496940	-32.491978	-30.703274	-30.475942	-31.989419	-33.415196	-24.867564	-21.372001	-7.972006	-205.155400	-436.720443	-747.787309	-1143.217339	-1698.419061	-2455.874096	-3485.828477	-4738.435573	-6200.506329	-7918.440485	-9844.952308	-11866.115806	-16.857993	-16.022700	-9.494485	1.532539	25.355123	42.526816	52.241008	61.696468	81.750789	107.416841	122.648876	142.662109	-211.911409	-453.857322	-794.743799	-1251.881256	-1913.977977	-2795.488898	-3961.888354	-5341.821402	-6921.816676	-8724.212293	-10704.745370	-12761.845706	-28.980311	-33.918430	-34.264579	-32.074903	-28.750467	-27.466394	-27.300372	-29.617214	-31.639094	-23.468149	-21.411433	-10.256696	41
3fv1_407	36.739274	34.387508	28.799393	28.140912	41.746884	44.941711	36.238864	41.359533	47.133699	59.720353	70.889183	70.416045	43.118608	42.674335	56.958371	63.480697	76.079037	82.389272	81.356819	93.700024	107.738700	129.590110	135.868355	141.286599	39.288904	37.161094	42.460823	37.521567	31.549043	25.938790	23.396483	29.695688	30.771110	39.928886	35.510035	40.408468	34.927524	23.752229	25.063310	18.398663	16.360575	11.586538	9.428292	15.768211	18.628903	28.339818	30.422006	38.221080	-101.085634	-340.807487	-671.152008	-1077.893698	-1641.258355	-2421.266612	-3447.965769	-4701.461092	-6148.877944	-7828.001393	-9705.450438	-11813.729912	32.798078	31.320787	40.313355	44.740997	60.450380	71.491622	77.340480	98.376736	118.529135	144.934341	159.099427	173.314795	-99.444593	-354.452180	-717.909679	-1191.456803	-1856.955988	-2765.266019	-3925.741808	-5313.826678	-6870.949525	-8629.404353	-10557.942681	-12708.055254	20.973736	11.226472	14.722130	8.580272	5.493323	0.255549	-2.550142	3.039498	5.004933	14.293329	14.603827	20.646494	41
3fv1_415	24.468688	25.940119	30.935341	24.907503	43.931893	46.744334	48.691281	40.537002	50.725898	57.366315	69.951794	81.620481	36.185854	40.385046	64.627365	69.951150	86.263910	91.432079	100.364956	100.476885	118.122422	135.413809	140.967624	157.097048	23.269049	29.061440	42.533475	34.155512	34.172530	28.985417	31.879877	29.739948	33.656312	37.199720	35.286682	51.679129	25.610173	22.942777	32.729796	26.573335	27.593910	22.974218	25.839140	24.815720	29.287569	34.557557	36.416526	54.324873	-119.881498	-352.016704	-653.886942	-1069.936231	-1637.152760	-2399.970924	-3417.357978	-4683.967747	-6154.115607	-7845.837565	-9749.417990	-11810.596416	25.391394	29.014956	48.229481	51.050355	70.867005	80.416221	96.526655	105.430312	129.534271	151.331856	165.002837	189.508754	-123.613596	-364.769622	-701.159710	-1183.696205	-1859.215834	-2742.962194	-3897.907429	-5292.733144	-6879.265282	-8650.260278	-10606.103283	-12706.315510	11.109056	10.436326	22.418062	16.460029	16.955918	11.530267	14.096482	12.453187	16.258308	21.033864	21.250505	37.130159	41
3fv1_435	31.090472	44.367757	40.287964	41.166210	58.982757	67.901838	60.740234	61.108291	67.244885	68.764146	88.178661	93.913035	39.435129	52.024907	67.909781	79.379984	96.667295	108.664938	109.223724	117.725945	132.057224	144.762534	157.674099	168.181547	31.986813	49.554418	55.268268	50.862991	49.406267	49.604930	45.416210	47.526379	50.253352	51.626258	55.106904	63.315145	28.539311	35.352366	38.289429	35.868645	38.004602	38.880122	35.610971	38.885711	43.050190	46.844039	54.589624	64.751065	-116.539968	-323.829272	-640.252537	-1041.568055	-1608.023010	-2387.630234	-3400.459818	-4640.967148	-6109.442345	-7801.127954	-9717.909935	-11785.469407	26.623229	38.877585	49.227847	58.546782	79.057243	95.929884	103.377310	120.355641	141.085391	158.305773	179.633357	198.565500	-119.326754	-334.301957	-684.876817	-1150.580826	-1824.102735	-2733.002939	-3877.877931	-5248.494830	-6830.359860	-8598.903631	-10571.590924	-12680.770924	11.910656	21.086607	25.729925	23.718850	25.118582	25.712478	21.848652	24.254976	27.717361	31.031634	37.354556	45.528598	41
3fv1_436	42.322440	44.195399	40.417784	35.958825	63.030099	69.482719	67.503188	63.726677	67.795191	73.932415	87.148408	88.459006	43.771222	45.618012	58.264224	62.729259	86.588074	96.371448	101.179196	104.010338	115.813064	132.008117	139.531841	145.097364	46.780779	46.970904	55.431053	49.321833	54.646910	52.191437	55.493122	56.004731	53.538363	58.189884	52.647850	59.595615	34.616656	24.240331	26.347097	20.621952	27.084132	26.345545	29.030767	28.900839	27.613043	33.818249	34.326783	42.738805	-102.650118	-357.438433	-682.752805	-1087.359131	-1659.816115	-2413.442456	-3439.150572	-4694.451889	-6158.794654	-7837.897715	-9721.913569	-11775.842357	26.739064	27.160601	35.312513	37.561812	64.953388	78.870841	90.752254	102.132820	120.164719	140.847276	156.337786	170.217066	-97.418287	-370.875681	-723.812414	-1189.560101	-1876.138757	-2750.625010	-3913.610629	-5299.217612	-6877.900281	-8633.511597	-10572.120046	-12663.393066	13.877841	4.524679	9.817135	4.368379	10.315498	8.411748	10.620560	9.617897	7.483533	13.225235	12.007486	18.404901	41
3fv1_442	15.971620	25.338490	31.260766	43.898456	61.662974	72.388126	68.787281	65.420741	73.674320	76.537980	84.000307	89.286731	25.648423	35.371205	56.489287	77.652170	93.574576	106.605243	109.681321	114.553524	130.084897	143.365031	147.448153	157.694186	16.828008	30.524604	48.375200	55.663955	54.260023	54.066071	55.103765	54.169695	56.385407	57.504158	51.035956	60.180385	16.751415	19.098650	30.382060	36.930639	37.494933	37.086319	37.829677	37.883247	40.407852	42.781665	44.663280	56.194033	-164.806331	-381.639212	-666.376142	-1047.972361	-1612.958925	-2403.525448	-3404.184952	-4662.838440	-6145.583503	-7891.306603	-9728.179551	-11726.749512	22.231265	32.293041	49.982942	68.925739	88.333704	106.458994	116.078404	129.680254	151.735555	169.841792	181.254778	199.285092	-169.255697	-393.444221	-703.188394	-1154.405179	-1827.344248	-2752.110444	-3879.463539	-5269.481229	-6870.673175	-8700.777996	-10581.256652	-12614.869808	8.930307	14.833939	29.862092	36.857877	36.968127	36.505532	36.320478	35.703273	37.590696	39.596663	39.306667	48.502340	41
3fv1_451	17.833237	20.467294	8.888637	12.182584	27.536399	36.197948	33.159104	28.845306	30.342723	36.150412	48.634589	54.950356	29.950471	34.335301	39.079590	51.337946	64.851621	76.129478	81.280756	84.713397	93.530273	109.299791	116.464128	128.088375	16.699421	26.154544	23.702165	21.460252	17.789365	18.202217	17.531260	15.839103	11.155703	14.079151	11.595215	21.361208	17.724690	17.987647	10.510843	9.091923	7.483374	8.154515	9.067830	8.268331	4.118096	8.499194	11.440753	23.938336	-155.332943	-365.513984	-660.043562	-1044.471680	-1595.673173	-2356.129139	-3337.076924	-4561.087271	-6005.975533	-7642.791247	-9481.948317	-11449.585130	17.520196	22.247474	22.651557	32.614297	49.611101	65.609118	77.425581	89.309817	104.436946	124.531781	139.483826	158.917281	-159.352927	-372.531926	-696.748138	-1145.435742	-1803.494233	-2690.176137	-3800.838184	-5153.830321	-6713.597284	-8426.962981	-10316.623863	-12320.558875	0.963865	4.752705	0.014765	-1.178787	-3.140252	-2.787793	-2.503091	-4.006973	-8.798802	-4.919745	-3.642362	6.718072	41
