name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3g0w_185	3.753741	-13.266286	-42.364258	-22.476020	15.259411	51.732888	71.235805	83.345222	101.206384	104.146211	111.709794	112.711748	6.465837	-0.585949	-18.140650	-0.287977	27.627616	58.001816	89.019268	115.219366	153.703475	180.263077	204.581347	227.718063	4.375520	-6.193264	-23.374375	-11.187773	3.923147	16.702925	23.074827	25.385391	35.422706	41.384865	44.152778	52.125488	2.210302	-7.944508	-23.214613	-10.236946	5.692051	16.097572	21.490563	21.632147	29.575357	32.656907	34.289894	37.535163	-95.965268	-386.532688	-769.187695	-1197.371751	-1818.993673	-2724.383681	-3908.674638	-5270.104481	-6944.061254	-8922.254122	-11138.942301	-13432.419823	7.550594	0.184257	-14.897688	7.415917	44.379792	85.335578	124.388072	156.813267	201.994732	233.681616	261.879883	288.117463	-96.617889	-405.710116	-818.409875	-1317.575860	-2060.358851	-3132.486441	-4492.619127	-6003.452791	-7823.830562	-9906.374353	-12196.088223	-14540.114072	4.188355	-5.546006	-21.258069	-8.847688	7.104905	18.125327	23.606254	23.328518	31.078278	34.259675	36.277742	40.174271	37
3g0w_195	-5.905492	-25.367238	-47.398405	-33.433914	-7.329429	29.287073	41.214615	56.837674	74.997650	77.521719	81.408149	88.559642	-1.749333	-7.996960	-16.444098	-2.595686	12.931264	44.814459	68.786211	99.466931	138.537503	165.009374	185.821760	215.678894	-5.623678	-18.509856	-29.034653	-22.726307	-17.938656	-6.496032	-6.060170	-1.474326	7.841921	12.909812	14.003011	28.141163	-6.225137	-15.541879	-22.320861	-13.191857	-8.242614	2.370551	2.798485	6.181425	13.705100	16.257455	15.935798	25.432741	-102.995636	-382.667735	-765.146485	-1200.754287	-1832.834657	-2731.108505	-3932.779236	-5281.570775	-6963.327124	-8931.546883	-11162.368379	-13492.931965	-1.301004	-8.031932	-13.969371	4.231989	28.678131	71.165854	103.442757	140.253839	186.086347	217.589647	242.328382	275.428331	-104.514241	-399.606766	-814.829731	-1321.075093	-2070.894293	-3135.775717	-4514.384262	-6012.972743	-7844.193900	-9915.796836	-12219.576051	-14604.389210	-4.883512	-14.042589	-21.121620	-12.658562	-7.760966	3.547903	4.173849	7.114709	14.443132	17.075856	17.119019	27.229216	37
3g0w_196	-5.543308	-25.839216	-52.252105	-33.327373	-1.514107	28.183672	46.880895	55.101838	69.553012	75.445074	86.768520	94.753587	0.012456	-9.134512	-23.332599	-5.333399	17.711942	42.193146	72.286045	95.054274	130.858570	160.880135	189.010597	219.513059	-5.811728	-21.335233	-34.455670	-22.055918	-13.030630	-8.555198	-2.088821	-1.976250	3.784522	12.688700	21.905359	34.825770	-4.745344	-18.591558	-29.157854	-14.895202	-4.141377	-0.833560	4.851114	3.080978	7.540255	14.316646	22.280044	30.496692	-105.279145	-395.065075	-772.408219	-1206.349527	-1833.654498	-2734.756904	-3927.049784	-5277.112940	-6950.384978	-8902.200709	-11111.974914	-13428.820366	0.180304	-9.298908	-21.140048	1.410007	33.308998	68.344900	106.684358	135.549329	178.028953	213.034043	245.059880	278.775307	-107.285998	-416.277179	-821.360903	-1326.667248	-2072.880653	-3140.372408	-4509.494630	-6005.999666	-7826.574648	-9880.718956	-12161.269741	-14534.056824	-3.670020	-17.152403	-28.235322	-14.481623	-3.861413	0.128625	6.003330	3.791403	8.051536	14.909574	23.251714	32.072753	37
3g0w_241	-11.665265	-22.941523	-51.280656	-37.468545	-9.233418	21.178472	36.127523	54.279491	67.571207	70.974145	73.377896	82.007233	-5.013551	-7.101300	-22.318025	-9.253285	8.271496	31.880883	58.686347	91.115460	123.412398	150.405666	169.753928	201.268989	-12.108028	-18.478267	-33.458138	-24.164804	-19.507263	-14.283800	-10.464992	-2.740658	4.474415	10.501732	10.552456	27.163839	-10.797988	-16.931061	-28.773041	-17.765379	-12.905838	-10.294640	-7.112131	-1.488368	2.410057	6.038829	5.294792	17.677818	-126.283629	-387.657274	-770.659140	-1220.968018	-1863.946438	-2768.634496	-3938.224036	-5301.239072	-6919.548789	-8851.426726	-11053.486286	-13366.701633	-4.953371	-7.194345	-20.356611	-2.598891	24.206659	58.236543	92.749701	131.581302	170.049623	201.949943	225.182013	259.933520	-128.930175	-404.905511	-816.148713	-1337.664552	-2104.154701	-3173.724525	-4513.188934	-6030.331287	-7785.622920	-9818.893711	-12092.659158	-14459.702313	-9.688539	-15.489845	-28.067069	-17.466131	-12.480435	-9.322614	-6.175586	-0.913782	2.708455	6.428813	6.056323	19.019270	37
3g0w_27	-9.820038	-24.692186	-49.122329	-36.051450	-4.369677	28.522445	45.034324	61.828711	78.691103	84.248895	88.168869	98.833330	-4.815980	-7.772768	-20.775566	-8.864580	12.520863	39.357210	68.092333	99.227465	137.866518	168.092200	189.092746	222.557557	-9.579740	-20.134607	-31.015351	-25.366772	-16.624695	-7.230076	-2.488685	5.093674	13.177261	21.717526	23.278431	41.693825	-9.534733	-17.960995	-26.896889	-19.830874	-10.424714	-3.116019	1.221225	6.910495	14.304690	21.402382	21.885565	35.938994	-113.211602	-402.760115	-778.008829	-1224.607315	-1857.528923	-2752.626985	-3925.813090	-5260.289484	-6928.846483	-8884.060553	-11117.498588	-13429.254182	-4.068524	-7.378175	-18.112120	-1.452256	28.918603	65.905465	102.479844	139.696957	185.051486	220.283238	245.250337	281.927491	-114.890699	-423.596292	-826.105793	-1346.781262	-2099.938622	-3157.645182	-4501.971491	-5984.073205	-7800.990415	-9859.273762	-12166.209510	-14531.096977	-7.837263	-15.938105	-25.512572	-18.814207	-9.507092	-1.842720	2.517011	7.770979	14.987884	22.150037	22.978255	37.637562	37
3g0w_281	-8.927998	-27.078959	-53.661708	-45.266476	-14.650365	18.253083	35.943477	49.381638	58.436207	66.715241	80.061880	79.719947	-1.345764	-9.228873	-22.616379	-14.075781	5.622747	32.846198	62.233365	90.264413	120.038707	152.310862	182.801893	204.479928	-10.314141	-20.245555	-34.216660	-31.094623	-26.491583	-16.717151	-12.539702	-7.387481	-5.630850	6.299959	17.049113	24.152460	-8.299138	-17.380281	-28.407766	-21.864420	-17.542879	-9.158626	-5.395017	-1.950917	-1.824677	8.189991	18.047028	20.633599	-129.558058	-399.773064	-786.428747	-1229.837528	-1860.975227	-2774.035142	-3952.616502	-5303.528353	-6939.711026	-8859.840056	-11057.461080	-13325.914012	-1.505719	-9.370476	-20.135190	-7.511950	21.271897	59.404857	96.620083	130.811724	166.859354	203.988964	238.377152	263.115034	-133.478363	-416.192252	-835.516113	-1344.798469	-2101.560299	-3182.508730	-4535.363624	-6033.805874	-7809.387497	-9828.141220	-12098.287273	-14416.150387	-7.367286	-15.948028	-27.223928	-21.630416	-17.284923	-8.045701	-4.310531	-1.301135	-1.455235	8.655001	18.875216	22.108655	37
3g0w_401	0.533709	-11.037655	-38.602244	-20.763859	14.767794	38.225815	61.308022	76.098216	102.144169	99.780927	112.914737	112.426346	-1.649127	0.480770	-16.220869	-2.821694	23.773705	43.006766	77.581459	108.064046	157.032156	178.930426	208.679575	230.735989	1.945392	-4.427487	-19.516612	-9.149426	2.584893	4.879915	11.294322	16.336226	32.266681	34.563750	43.887304	49.864254	-5.803205	-7.315254	-20.889491	-12.152801	1.511978	3.574036	9.552736	14.014147	29.916910	30.186669	37.990182	39.461741	-83.015192	-346.021138	-712.427783	-1166.640459	-1802.329116	-2701.788258	-3895.675345	-5252.153018	-6950.105285	-8893.987551	-11088.214745	-13388.979156	3.408522	4.536626	-9.222394	9.976834	45.570287	74.716479	117.568607	154.256818	210.203756	236.949949	270.500441	295.685344	-81.332523	-358.272333	-756.925670	-1294.236229	-2049.639230	-3105.894012	-4481.845039	-5987.698302	-7839.167906	-9879.478300	-12144.829060	-14497.635638	0.076844	-1.814223	-15.115482	-5.765122	7.798800	10.078654	16.223618	20.265484	36.024849	36.400221	44.589352	46.698972	37
3g0w_409	7.346117	3.084910	-22.481442	-3.552591	28.066026	53.034998	69.765728	87.677239	102.947241	106.742672	116.201600	120.890296	6.319400	7.855126	-4.214196	12.679246	32.689846	55.251061	83.678825	116.201539	152.958597	179.317319	206.454344	234.716617	9.471259	10.397221	-3.778099	8.265273	15.150128	16.649528	23.379684	29.027378	36.218022	44.468611	51.013017	63.606378	1.212252	0.762188	-9.744287	3.131301	9.298213	12.340665	18.819145	22.535591	28.534902	33.592968	39.303246	47.876052	-102.067872	-326.278171	-703.723558	-1152.655441	-1815.826414	-2683.666146	-3865.019892	-5228.849898	-6917.801044	-8818.117854	-11072.484245	-13437.504320	11.382416	12.743704	3.521503	25.652608	55.838846	87.292933	123.839851	162.787754	206.378476	237.379024	268.604595	300.217402	-101.029525	-334.731559	-747.191710	-1273.032360	-2067.213817	-3084.446816	-4438.878616	-5959.400963	-7797.753474	-9791.330893	-12123.573479	-14545.173104	7.352895	7.036551	-3.238521	9.759645	16.685503	19.324932	25.972649	29.330904	35.155207	40.304387	46.325031	55.453517	37
3g0w_410	24.103919	13.697185	6.111419	25.523986	61.268951	87.407334	99.445220	117.672929	127.648182	131.254959	140.222666	146.380608	15.306617	15.311997	16.681970	33.521533	58.078000	80.326358	103.855515	137.350675	167.928533	194.794244	220.318951	249.726563	26.381667	24.646665	26.779368	38.156225	46.994922	52.122720	52.806835	60.072308	63.670571	72.948343	79.945697	93.405971	9.996258	9.319898	11.728904	23.301263	32.088581	37.299879	37.474685	43.841055	45.674136	52.620926	58.724830	68.181697	-90.870083	-364.909295	-712.451438	-1153.470740	-1788.891705	-2684.433881	-3842.181462	-5244.941437	-6895.518354	-8788.052509	-10922.538138	-13257.757619	20.467980	19.921783	23.593015	45.593602	79.438323	111.533770	142.552741	182.964119	219.888666	251.430135	280.599424	313.327406	-89.013123	-373.687579	-751.749351	-1270.603664	-2032.830976	-3084.756913	-4411.049944	-5978.225166	-7768.658636	-9753.185479	-11953.082934	-14345.099529	16.221069	15.533235	17.371752	28.947291	37.835400	43.185758	43.248593	49.387621	50.935834	58.024127	64.576061	74.585438	37
3g0w_413	14.824841	9.742992	-16.179938	11.739511	44.235053	73.896753	97.509052	115.505708	128.622151	132.943679	145.322132	147.546857	13.860989	18.283919	4.579499	30.053779	52.991104	78.416612	112.757884	145.864084	179.559721	208.369207	237.928334	263.141856	16.005935	17.160084	3.837195	22.877092	32.007916	39.024555	50.799355	56.758888	61.597833	69.243885	78.933174	88.695616	8.889649	11.044102	-0.044858	19.567362	30.021359	36.713074	47.297497	51.782337	54.603595	60.160261	68.734177	73.951107	-91.612177	-339.683840	-725.267950	-1150.895445	-1777.546857	-2662.515938	-3829.366052	-5213.805210	-6876.486450	-8866.230115	-11124.323961	-13481.222893	17.534400	21.681219	10.681489	40.998046	72.818939	108.298949	150.626904	190.423131	230.699891	264.689210	298.304817	326.807335	-91.075618	-351.379658	-769.876902	-1270.681541	-2016.903625	-3061.622605	-4401.765051	-5946.333168	-7754.356616	-9850.305074	-12184.623594	-14596.481540	13.569792	15.926172	4.790757	24.181801	34.524692	41.599907	52.306351	56.500305	59.123994	64.737992	73.630463	79.433902	37
