name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3g2n_117	5.664307	-1.886031	-6.922021	-1.834630	30.383151	49.092243	65.686043	77.183632	89.122850	93.155905	80.091931	54.518227	11.293258	9.333147	12.873246	18.453609	27.820400	33.755603	50.332739	62.644926	78.051119	97.020614	109.362008	116.923236	-2.660677	-4.320895	-6.815833	-17.553488	-28.582129	-36.080130	-41.770634	-54.739967	-67.090945	-83.577755	-103.724997	-126.446837	-2.579495	-3.332741	0.978840	1.962400	-1.948456	-0.625710	4.556200	5.875929	9.309929	12.467114	12.525098	12.611913	-100.596083	-302.842839	-621.743834	-1017.295868	-1535.613858	-2242.624257	-3168.430200	-4386.188519	-5798.629913	-7568.620069	-9555.259891	-11865.510697	12.845111	10.140207	14.208569	20.853926	33.089197	41.692150	59.184638	71.872885	87.494298	105.472233	116.251809	122.002270	-110.272973	-318.077400	-666.696392	-1120.518555	-1729.523544	-2542.082437	-3590.211198	-4936.802229	-6454.071502	-8316.216473	-10362.452388	-12726.012846	0.151010	-0.145692	4.225197	4.895245	0.266221	1.406141	6.614222	7.925578	11.452297	14.666183	15.024372	15.345036	37
3g2n_197	6.752765	0.442980	-2.571345	-3.321727	36.197521	57.403589	70.318535	83.155826	94.607489	93.827284	78.691002	50.469599	6.941897	7.502883	9.496955	13.337440	26.099876	34.824134	48.115483	61.221728	75.123791	89.872090	101.595501	106.739082	-1.875013	-3.604651	-2.603448	-18.072471	-21.986699	-28.676852	-36.510330	-47.866526	-62.129337	-81.305088	-104.368841	-129.062084	-7.643749	-7.823916	-2.440268	-2.998787	-3.259571	-0.230037	2.920192	4.038242	5.548258	5.677231	4.552208	2.965747	-100.180110	-321.594473	-638.000709	-1013.414045	-1528.844787	-2249.206561	-3166.309603	-4333.445081	-5783.702412	-7465.252229	-9476.045214	-11748.162400	10.640580	10.070387	12.642129	17.662365	33.421921	45.024209	59.174389	72.615475	86.743069	100.598534	110.696496	114.086073	-109.234783	-339.272647	-681.448351	-1112.319621	-1718.515742	-2550.172156	-3586.216470	-4874.707218	-6436.886912	-8199.776123	-10275.474915	-12598.695383	-2.766413	-2.681190	2.669728	1.855217	1.008354	4.006386	7.174334	8.343253	9.882731	10.239428	9.299988	7.990619	37
3g2n_244	6.360796	8.023051	-0.826345	4.095816	42.075989	59.317951	74.723727	81.921870	93.842020	95.472783	78.897433	53.516898	6.358316	18.104142	13.650678	22.264382	37.287888	43.639325	55.571960	64.474978	80.290205	96.356279	107.111038	114.793511	-4.314671	1.395702	-1.824347	-11.371968	-15.064860	-24.454025	-32.876960	-46.265519	-59.513624	-77.670955	-101.009787	-123.905606	-9.775002	1.190402	1.603253	6.294155	8.382971	9.004821	10.527509	10.742308	12.942498	13.420993	12.794647	13.020588	-84.494758	-272.531979	-585.258406	-977.410041	-1473.843382	-2166.638204	-3133.031007	-4291.106123	-5652.976013	-7362.146585	-9406.488322	-11701.977907	9.594590	20.108305	16.288299	25.924153	43.669972	52.614576	65.560968	74.795905	90.816619	105.935741	114.994612	120.872253	-95.557879	-290.592000	-629.198872	-1081.063332	-1663.560767	-2461.432750	-3559.153139	-4832.513611	-6295.722729	-8092.097273	-10203.559736	-12552.744701	-5.528455	5.435102	6.079137	10.477094	11.783695	12.206894	13.720826	14.006195	16.326026	16.904025	16.348029	16.782038	37
3g2n_35	1.550531	-3.812674	-9.080756	-5.337044	29.324564	48.669402	63.949811	74.010342	84.113891	88.163847	72.472078	47.546369	6.706412	7.814885	7.002709	13.913125	24.410386	32.566725	46.978834	59.728393	73.140549	92.381562	102.696546	110.425217	-7.964403	-7.583378	-9.339738	-21.741644	-28.894209	-35.367883	-43.303020	-56.645234	-71.565316	-87.419150	-110.704319	-132.206917	-8.659554	-6.924860	-5.027262	-3.562978	-4.780189	-1.205870	1.901774	3.004297	4.171187	7.824317	5.517462	6.370213	-114.864333	-316.298362	-634.782733	-1027.441196	-1543.066722	-2247.775115	-3191.160493	-4360.596798	-5785.441700	-7502.278756	-9498.703747	-11777.064275	8.037084	8.834598	8.681352	16.720936	30.005455	40.787125	56.106840	69.197265	82.819318	101.131761	109.863405	115.822401	-126.218020	-333.315291	-679.426934	-1133.147665	-1737.204355	-2548.005705	-3616.761862	-4906.221771	-6438.641530	-8241.949684	-10300.910767	-12630.652017	-6.049202	-3.460080	-1.424928	-0.217712	-2.246338	1.100764	4.186909	5.351361	6.573687	10.382718	8.322770	9.439934	37
3g2n_355	3.200143	-4.934904	-2.254467	2.388294	32.469973	54.216930	67.763342	76.027972	87.762793	90.916109	77.171589	50.705981	7.774667	6.838135	15.852336	22.369323	32.931222	42.087820	55.392754	65.756540	80.810430	98.587691	110.443681	116.521255	-5.776327	-8.140452	-2.826814	-13.965476	-25.556875	-30.674874	-40.152243	-54.454322	-69.171707	-85.737767	-106.941510	-130.047612	-6.886458	-6.809609	3.832718	5.942952	3.495362	7.802754	9.814525	9.849484	11.538951	14.140650	13.106398	12.135167	-109.798666	-311.130018	-621.240178	-1021.812146	-1531.354849	-2236.590481	-3178.621389	-4361.849101	-5800.831460	-7574.925809	-9554.400330	-11840.786541	9.428851	7.955969	17.543720	25.212209	38.342702	50.184677	64.417013	75.115374	90.383962	107.138488	117.440815	121.750659	-120.327950	-327.163746	-666.611854	-1127.790738	-1722.927831	-2535.270171	-3602.367239	-4906.155273	-6456.627126	-8322.402120	-10361.803540	-12699.614980	-4.003108	-3.274598	7.450957	9.326741	5.859821	9.997182	12.008615	12.074107	13.805269	16.433246	15.712608	15.023142	37
3g2n_40	4.469326	-11.063734	-20.790658	-9.124930	23.361711	45.079415	60.252834	68.262020	81.975852	80.899656	66.708158	37.074638	8.178690	0.538623	-3.326898	9.403724	20.572907	30.296829	43.590013	51.243670	67.631837	81.513281	95.306730	98.899765	-0.729410	-13.324585	-16.460193	-23.958102	-31.808437	-39.654854	-47.975040	-60.962724	-75.106557	-94.477973	-117.815259	-142.391415	-3.271377	-13.370159	-11.467400	-6.657984	-6.675212	-5.059025	-2.978823	-4.062059	-1.922931	-1.723201	-2.505593	-4.397805	-105.257025	-323.999331	-647.255993	-1037.492014	-1540.017235	-2227.131706	-3166.418955	-4322.607188	-5786.351963	-7541.677013	-9549.931603	-11821.398033	9.886411	1.619998	-1.683917	12.260081	25.966262	38.163302	52.409399	60.387858	77.013956	89.908080	102.095292	103.951672	-111.998549	-340.110041	-687.524826	-1142.795835	-1729.222421	-2521.700415	-3587.403119	-4859.754740	-6440.581483	-8283.890213	-10357.250089	-12677.373259	-0.334489	-9.806530	-7.888073	-3.259246	-4.321780	-3.022419	-0.933354	-1.955618	0.188255	0.455783	-0.098825	-1.679912	37
3g2n_401	9.141980	7.528743	2.296972	4.660703	42.749872	62.254191	70.809329	83.035324	92.657162	95.451796	81.840839	53.214348	11.287229	20.986586	20.838023	27.942646	40.162335	46.656647	55.409356	69.278712	83.168556	100.617259	114.451592	120.494038	3.232052	0.463557	0.500024	-12.171522	-16.627516	-24.106949	-35.074719	-46.074003	-62.211002	-78.357047	-100.727681	-127.733218	1.450492	4.752596	8.609680	10.758615	10.627703	11.802647	11.297036	13.910897	14.541059	18.350909	18.655562	16.271492	-61.935260	-268.691057	-589.817689	-978.268158	-1499.785626	-2209.703916	-3123.184809	-4294.948371	-5708.769107	-7490.952483	-9531.753890	-11869.554729	13.163264	20.960684	21.602886	29.694083	44.982463	54.118097	63.761241	77.971772	92.082990	108.514111	120.682187	124.886766	-68.828591	-291.130523	-640.906908	-1087.011665	-1698.957243	-2515.291475	-3543.436344	-4836.637575	-6358.443246	-8232.752880	-10340.549493	-12734.115345	4.151584	6.985824	11.247610	13.030758	12.418556	13.382076	12.929442	15.563454	16.252851	20.049606	20.499996	18.315034	37
3g2n_405	2.783962	-2.369735	-6.122300	-0.012892	39.865915	60.440607	73.159349	88.261594	99.593077	98.717770	86.039964	61.311568	4.086503	12.776312	13.883709	24.827833	41.375243	48.950261	60.597185	74.682647	89.366306	104.764465	119.139703	127.851628	-2.563247	-6.381541	-6.584597	-17.068348	-19.098883	-26.275043	-34.604312	-44.391354	-57.598821	-75.798104	-97.684326	-119.553145	-5.152706	-0.536549	2.705058	7.803165	12.118612	13.627325	15.339887	17.524522	19.768452	21.939622	22.286253	23.705581	-60.603589	-269.411193	-603.321764	-997.988685	-1505.404396	-2216.232516	-3138.949813	-4332.982282	-5730.771796	-7451.108007	-9505.519972	-11817.248601	6.937749	13.480909	15.343924	27.267360	46.676933	56.947087	69.503239	83.941563	98.858263	113.314414	125.990028	132.880013	-65.610921	-286.868913	-653.578510	-1108.198903	-1703.975770	-2522.454016	-3562.466582	-4882.169930	-6383.834139	-8188.308634	-10312.251721	-12677.593046	-1.526917	2.380694	6.079472	10.774728	14.376830	15.719454	17.475653	19.664385	22.023621	24.323912	24.761930	26.394263	37
3g2n_423	2.559605	-3.546558	-6.971414	-4.433410	35.345310	57.769373	70.653868	79.506256	94.309726	94.835265	82.857061	54.237385	0.704803	2.657556	5.684521	11.907547	26.962573	35.261159	47.614850	58.190017	76.396766	92.214970	106.239629	111.759838	-4.902337	-7.148693	-7.246228	-19.601429	-23.487543	-27.975000	-36.467329	-51.368185	-62.884480	-81.101602	-101.045053	-126.205859	-12.600874	-11.717330	-6.463853	-4.461857	-3.110118	0.463389	2.766385	2.343529	6.890476	8.104669	8.938621	7.965788	-85.428493	-297.693850	-614.680379	-1010.870199	-1518.326020	-2235.324997	-3169.366639	-4363.997193	-5784.842476	-7521.057729	-9518.179460	-11870.519348	4.892567	5.270052	8.864599	16.098305	33.956146	45.065776	58.327119	69.252979	87.676560	102.528373	114.962982	118.606037	-92.874126	-313.382902	-659.821815	-1114.729607	-1711.531710	-2538.492593	-3592.917818	-4912.254215	-6441.599336	-8264.351375	-10323.723851	-12731.775090	-7.419674	-6.752735	-1.379069	0.259951	0.848856	4.336099	6.657558	6.255743	10.872659	12.199431	13.284944	12.463834	37
3g2n_427	20.866679	18.022015	13.835113	19.745716	65.576606	85.551966	94.631209	105.048987	117.478163	117.429677	102.825990	76.482898	14.296542	17.977578	15.837294	22.295767	41.797707	49.358874	60.657233	70.723923	86.405886	102.444796	113.687273	120.461521	14.900392	13.762322	15.846945	6.920368	7.167944	-0.672539	-10.236880	-22.820982	-37.020768	-55.144163	-77.917949	-100.943214	0.733874	1.023998	5.029371	7.310878	11.669972	13.203015	14.669482	14.763957	17.167379	19.580509	17.568032	17.529158	-93.769511	-312.435126	-607.947433	-979.714923	-1499.582678	-2213.697954	-3090.849628	-4275.129427	-5714.631359	-7433.079182	-9365.623256	-11625.773189	20.906585	23.629965	22.263894	29.935204	52.602181	62.804943	74.813519	85.239163	101.155176	116.245157	125.993973	131.017801	-99.085746	-328.266187	-643.310034	-1074.167671	-1690.129846	-2514.811893	-3501.785662	-4810.999650	-6363.532506	-8166.754768	-10157.136227	-12468.859049	8.623598	9.335280	13.373333	15.478410	19.391933	20.676362	22.133508	22.238693	24.677747	27.215212	25.557639	25.780732	37
