name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3gc5_402	1.747633	-7.668319	-7.123588	-14.058290	-17.729769	-28.586997	-41.977190	-49.306158	-54.662122	-57.904627	-59.059268	-57.429378	-2.290170	-11.450122	-7.342678	-10.375799	-12.786149	-18.612485	-24.269578	-24.186647	-24.496998	-24.833961	-27.181657	-29.430796	5.633452	2.593083	7.559894	7.148937	7.940466	9.158825	10.193793	14.032605	18.219667	22.458712	26.855156	33.294436	-5.731181	-16.858361	-13.493130	-14.543121	-13.372662	-12.538809	-14.870758	-15.567442	-17.756715	-21.481214	-26.547911	-31.047478	-215.233662	-472.140165	-778.415186	-1162.303183	-1706.082930	-2414.227697	-3201.247389	-4021.676354	-4813.862223	-5560.098673	-6155.282870	-6639.912045	1.911274	-6.519440	-1.815666	-3.878914	-3.189752	-6.468804	-11.130053	-10.494707	-10.505035	-10.776451	-13.132977	-15.407508	-209.074054	-469.844004	-799.940771	-1229.316554	-1855.331293	-2656.494377	-3521.637275	-4401.410635	-5225.486654	-5973.286696	-6543.314870	-7000.447811	0.375804	-9.124679	-6.541160	-8.535230	-8.045963	-7.814559	-10.349601	-11.090957	-13.339874	-16.412034	-20.365395	-23.889159	36
3gc5_403	29.753611	26.901854	22.878201	13.327866	7.103537	-2.978479	-18.023428	-24.624638	-30.368492	-32.774061	-33.336580	-29.995469	16.948117	17.623885	16.900892	11.079128	6.115165	1.162999	-5.828289	-5.057565	-6.294890	-5.949513	-7.667457	-9.777733	34.424463	36.071693	37.088849	34.489430	33.776925	35.188263	35.800868	39.869591	44.182362	48.982154	53.419084	60.238542	13.974943	11.141616	10.384318	6.691352	6.450779	7.287036	4.663576	4.041237	1.569179	-1.767627	-6.837587	-11.697479	-155.419994	-420.398585	-730.229460	-1124.330937	-1679.375577	-2408.668266	-3212.298727	-4039.894096	-4822.872772	-5568.104959	-6168.801184	-6592.428580	21.389804	21.775618	21.745505	17.125357	15.073891	12.958557	6.974459	8.295446	7.315744	7.721772	6.004170	3.861280	-148.054081	-421.071574	-753.547414	-1196.989421	-1830.987044	-2659.310488	-3540.913251	-4428.025694	-5238.981148	-5985.001382	-6560.252845	-6951.969806	20.039868	18.057951	16.635646	12.244786	11.132845	11.555914	8.716176	8.052413	5.519294	2.845539	-1.094499	-4.908416	36
3gc5_406	46.807740	42.330042	36.249807	28.650776	24.108469	11.867134	-1.075049	-7.591785	-13.713043	-16.919509	-17.418358	-15.406804	32.653629	33.377769	30.588413	26.352687	22.985528	15.668032	10.810987	11.359176	10.550553	9.782647	8.915940	6.116248	51.706146	52.136053	51.536629	50.131034	50.245156	50.590421	51.526929	55.276835	59.195097	63.650831	68.048164	74.730031	29.864200	27.589041	25.124086	22.681275	22.970656	22.811099	20.690375	19.705902	17.332287	13.636593	8.967102	4.327270	-137.371764	-403.992221	-716.824643	-1092.157248	-1642.682544	-2353.182026	-3145.142047	-3955.577468	-4761.729888	-5488.671979	-6113.755807	-6559.527333	40.426480	40.818753	38.645270	35.439729	35.216214	30.541303	26.724597	27.808151	27.332424	26.605254	25.736721	22.909994	-129.256322	-401.606685	-737.522537	-1159.052913	-1791.693176	-2594.260295	-3466.729002	-4336.702510	-5175.272246	-5900.532929	-6504.093555	-6918.902203	39.288520	37.763909	34.585631	31.286924	30.961810	30.292439	27.990408	26.969997	24.535478	21.502858	17.905548	14.286083	36
3gc5_408	44.542268	40.865501	33.783619	28.570093	15.419889	4.522159	-8.713164	-18.644467	-24.625918	-27.467340	-27.457459	-23.842418	32.594740	35.001245	31.831929	30.695929	18.859644	12.883397	7.944987	5.747949	5.961926	5.761809	5.271561	3.279836	47.921357	48.936914	47.608479	46.948607	42.237117	41.381470	42.923224	45.015095	48.905179	53.057144	57.486431	64.499542	29.055465	28.375075	26.057728	24.760009	20.337607	19.208443	17.962990	15.801196	13.946522	10.043493	5.389132	0.725615	-113.328796	-372.020738	-673.560802	-1049.896659	-1603.736971	-2288.734625	-3072.567634	-3898.333025	-4724.577142	-5457.271159	-6072.550812	-6483.703410	40.832168	42.708619	40.088672	40.109472	31.397332	27.803888	23.876924	22.279729	22.891295	22.749968	22.262993	20.236432	-104.649350	-369.991104	-693.156387	-1121.389267	-1752.744740	-2527.073223	-3389.671084	-4276.069191	-5138.931337	-5870.785890	-6463.758336	-6842.462514	38.803212	38.693462	35.660378	33.698914	28.696096	26.910251	25.446674	23.250014	21.334571	18.095665	14.527106	10.906410	36
3gc5_426	35.191734	36.635978	28.707613	24.625912	19.335224	9.993331	-5.966467	-13.487314	-18.819501	-22.366606	-25.053688	-22.825822	22.024451	23.263593	18.044377	16.747492	12.700550	7.881095	0.567161	0.116191	1.196169	0.207975	-2.580492	-4.729996	40.796576	46.001865	43.928246	44.358630	43.865225	44.695850	44.693398	48.150513	51.830167	56.362759	60.206766	66.664302	19.750418	16.785203	12.386144	11.319067	11.514872	11.736944	9.142499	8.034966	6.130191	2.658945	-2.389364	-7.062294	-165.350578	-409.784936	-716.528202	-1081.654773	-1603.098420	-2280.234530	-3081.131553	-3882.874339	-4716.415872	-5443.883670	-6078.611192	-6541.571406	28.992078	30.512914	26.146128	25.945379	24.653798	22.295729	16.159887	16.242884	17.756473	16.810893	14.021694	11.845364	-156.442531	-407.728375	-736.917189	-1148.703714	-1744.505586	-2510.738398	-3396.712349	-4257.618543	-5130.884970	-5856.866569	-6469.314893	-6903.217541	28.468320	26.768409	21.886502	20.038940	19.349253	19.012646	16.291765	15.141886	13.186537	10.366586	6.368606	2.689397	36
3gc5_427	41.774905	40.037077	41.823366	38.678541	37.089993	32.272133	19.171837	9.574084	2.756618	-0.597869	-0.666701	2.969034	26.901132	29.470099	35.931781	36.550899	36.184877	35.726696	31.414565	29.229703	28.238015	26.166975	24.237267	22.409348	47.069878	52.346565	61.077284	63.859050	66.787568	69.335822	70.520784	72.878067	76.767039	81.145502	85.653356	92.669453	24.195373	25.823007	33.741281	35.574224	38.992149	40.970299	39.265506	36.892630	34.597752	30.065213	24.751277	20.122530	-121.361035	-385.011466	-712.737609	-1103.238739	-1661.207474	-2335.283466	-3159.256084	-3995.743059	-4829.533092	-5528.318874	-6101.508859	-6521.628777	40.908205	43.113442	50.249959	52.047270	54.670559	56.368207	53.289482	51.670473	51.043632	48.972790	47.036824	45.177970	-107.036646	-377.475533	-729.176292	-1170.524509	-1810.254839	-2571.229983	-3485.282769	-4383.103710	-5251.571455	-5943.346414	-6489.003191	-6877.339671	39.839799	42.269350	49.531038	50.563443	53.092107	54.203379	52.383086	49.967106	47.607638	43.791100	39.641932	36.059974	36
3gc5_428	80.214593	83.261861	81.781971	69.175527	57.396013	46.681160	34.002970	24.917242	18.363531	14.866134	14.489129	18.513569	61.139232	61.984713	63.680979	54.901974	44.522069	37.813300	32.776844	30.907803	29.963394	29.696816	28.584001	28.491023	84.765041	92.126247	96.402041	89.923028	86.235599	85.778495	85.714121	87.724562	90.993571	94.573365	98.598240	104.957099	57.371557	55.782936	58.493160	51.304353	48.590375	47.389437	44.475551	42.381785	40.048377	36.313671	31.557969	27.346316	-87.613715	-296.606372	-582.785848	-960.899182	-1473.643391	-2113.328951	-2857.884048	-3639.307759	-4417.820943	-5143.395979	-5723.421067	-6163.815033	78.023811	79.577593	81.841422	74.253732	66.411007	61.926767	57.942792	56.648942	56.075881	55.883026	54.766853	54.651503	-71.601461	-284.964021	-593.307642	-1020.696800	-1601.168661	-2322.320514	-3148.610183	-3989.571194	-4802.170201	-5531.456373	-6089.585780	-6504.310904	75.978180	75.886997	77.969105	70.189920	66.488074	64.671967	61.626919	59.504710	57.121250	53.978271	50.261611	46.999436	36
3gc5_436	54.724295	47.733063	42.251555	32.620844	23.231913	12.020257	2.101899	-9.694211	-15.349613	-19.105526	-18.025730	-14.249168	38.478389	32.981389	31.712644	26.194421	18.311090	11.906317	9.968820	5.804427	6.098152	4.721474	4.661376	2.846162	58.726213	56.710299	55.783491	52.565734	49.546228	49.429156	52.120239	54.792023	58.911987	63.487536	68.145652	75.338268	34.783855	27.157307	25.078135	20.894640	18.703160	17.993002	17.469943	15.635698	13.713887	10.000172	5.175555	0.661250	-100.115909	-339.352565	-655.860686	-1057.802705	-1608.892800	-2314.214621	-3105.374083	-3941.669248	-4771.702481	-5502.828069	-6102.086657	-6516.938792	51.293362	45.787633	45.117844	41.022634	36.025859	32.233896	31.397846	27.834818	28.515151	27.166824	27.102596	25.254743	-89.061929	-332.809864	-676.052590	-1133.236319	-1760.456232	-2557.025312	-3430.481583	-4326.825995	-5192.420459	-5920.595459	-6495.734133	-6877.666586	49.151492	42.467052	39.849510	35.231325	32.171435	30.945150	30.292580	28.426173	26.449018	23.400488	19.699788	16.238654	36
3gc5_446	69.147093	70.473687	60.141929	49.437234	39.522404	31.147398	19.209991	10.070130	2.775921	0.353010	0.976329	4.597803	52.003172	52.121933	44.179821	37.212394	28.725399	24.865530	21.169067	19.432001	17.958475	18.360242	18.170659	16.645050	74.655235	79.367563	75.589689	71.394786	68.650823	70.048562	71.320128	74.324366	77.905705	82.719413	87.252739	94.120192	48.646742	44.712585	38.290363	33.128400	31.525621	32.427611	30.856556	29.406668	26.999590	23.825886	19.140747	14.541724	-116.375515	-351.926053	-661.433195	-1057.193662	-1586.961767	-2259.771491	-3045.669126	-3865.241201	-4688.441489	-5431.763727	-6036.364174	-6467.762112	65.194301	65.765744	58.800235	53.020484	47.108717	45.530628	42.908131	41.752283	40.679408	41.131290	40.938435	39.381125	-101.782725	-343.697550	-676.458074	-1122.875133	-1723.817947	-2484.872348	-3356.172327	-4237.719753	-5096.714687	-5841.597218	-6423.889267	-6824.876494	63.630491	61.074922	54.317492	48.442429	45.713497	45.887777	44.135387	42.646026	40.191657	37.649315	34.058531	30.482288	36
3gc5_451	53.109927	51.793771	50.986845	47.465223	46.760793	37.418670	24.498708	15.864988	10.284983	8.673349	8.560733	10.564971	39.968781	44.658476	47.859312	48.791571	49.676354	44.858502	40.775066	39.706551	39.228610	38.216429	36.924286	34.150328	58.653170	63.961643	69.474152	71.419521	74.845189	74.948062	76.549511	79.447384	83.668224	88.882391	93.361484	100.106499	38.123189	41.337473	45.788541	46.933650	51.135765	50.701710	49.454507	47.733902	45.362430	41.342048	36.366344	31.764680	-111.698705	-373.803775	-682.254162	-1088.137451	-1649.754283	-2336.125717	-3157.797117	-3995.222155	-4805.066882	-5476.485722	-6071.287055	-6520.502712	50.941854	55.191607	58.767726	61.089266	64.946109	62.398735	59.493999	58.995903	58.835051	57.827244	56.531951	53.729432	-98.910131	-364.687637	-694.650974	-1158.286708	-1801.331317	-2574.551559	-3484.925287	-4384.104559	-5225.982862	-5888.812329	-6459.116376	-6877.919787	50.719500	54.566091	58.089482	58.728837	62.038361	60.822513	59.411312	57.646767	55.217617	51.954357	48.098604	44.509790	36
