name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3gnw_134	-2.384172	-8.775272	-19.603915	-11.558173	15.068641	40.455912	64.173049	67.150378	51.374254	41.602648	37.221235	24.340104	0.026832	0.289190	-8.169545	1.668916	27.257944	47.838341	80.748208	110.563078	123.448134	142.814207	163.469497	173.443652	1.262360	-0.766810	-4.144544	5.348581	16.442090	19.421602	24.452464	25.327958	21.609691	28.521837	31.941359	27.236478	-0.834147	-1.483812	-6.844450	3.809258	15.032394	17.001961	23.183653	26.979736	25.204237	33.251431	37.095799	30.495084	-89.434469	-319.940984	-743.989602	-1289.391629	-2087.824580	-3223.819493	-4801.779676	-6833.626556	-9430.810159	-12627.596069	-16570.893425	-21187.619442	2.198153	1.703798	-4.383354	10.271145	46.249786	76.995238	117.590258	154.280575	174.220270	198.197795	222.194972	235.228852	-86.249406	-327.376642	-795.543596	-1426.555906	-2378.945654	-3708.316908	-5518.077009	-7780.114491	-10582.762525	-13942.600237	-18033.984580	-22787.985907	1.963489	1.276293	-3.004767	8.331100	21.126690	24.068266	30.640621	34.553128	32.835399	40.622115	43.966927	36.947891	76
3gnw_136	-0.577601	-6.860441	-13.105745	-9.779307	20.644282	47.040037	75.238137	82.585624	67.885456	50.117323	36.660939	20.601165	1.511001	1.914931	-3.033436	0.677204	29.527131	51.808806	90.342157	125.703050	142.084567	155.522390	166.283902	174.764238	0.034736	-2.014447	0.285831	5.148824	21.764128	29.051950	38.667577	43.799488	41.256569	36.843509	31.185782	25.954838	-1.820311	-1.924931	-2.087159	2.324964	18.317148	25.155941	37.513730	48.009465	50.586868	48.788000	42.862146	37.111897	-79.913002	-285.369137	-656.966789	-1172.432523	-1921.935693	-2991.555877	-4487.258639	-6457.523296	-9000.293253	-12289.627221	-16197.448208	-20791.508470	2.120983	1.601312	-1.312712	7.511949	46.491863	78.393717	124.371597	166.649473	190.116944	208.603318	222.686636	234.240221	-80.023334	-293.779373	-702.575895	-1303.781470	-2199.522332	-3449.182464	-5164.821746	-7363.421271	-10110.457928	-13582.986718	-17638.552080	-22368.998102	-0.659605	-1.053710	-0.319164	5.396524	23.240344	31.026009	43.849566	54.521855	57.178371	54.934608	48.447300	42.192561	76
3gnw_155	5.075855	6.875689	2.106836	9.601413	37.799803	64.220901	82.706487	87.767716	78.754535	63.704038	55.405076	44.719833	8.278933	15.705578	11.253079	18.494425	45.088321	64.584852	95.563436	128.533736	148.498960	163.840735	181.482989	195.629589	7.168581	15.863704	17.763062	25.537806	38.829318	48.634328	50.630236	54.937372	55.459412	55.673084	55.335435	55.799433	6.289647	16.144617	15.143902	21.993227	34.579550	40.938292	48.390864	57.883874	60.837378	63.107800	63.368659	64.091884	-80.119621	-262.522198	-589.756331	-1055.555862	-1786.882074	-2900.597869	-4454.813242	-6442.799052	-9040.018695	-12269.804913	-16248.555668	-20786.075500	8.988076	15.867227	13.364083	25.482630	62.588172	93.155229	132.018806	171.922362	199.255209	219.431764	240.519448	257.647476	-79.451278	-265.374561	-626.706547	-1173.181480	-2052.022600	-3359.961393	-5142.141759	-7355.270718	-10165.755458	-13567.306511	-17700.320323	-22367.908866	7.603507	17.430861	17.298153	25.529684	40.669431	48.995977	56.964137	66.631709	69.706949	71.620912	71.219740	71.536497	76
3gnw_179	2.192281	-9.501754	-19.766313	-14.324040	20.009463	49.560747	64.517277	74.495367	59.889469	47.734308	40.200374	19.961595	2.895197	-6.024817	-16.732480	-12.868544	19.027555	43.756100	68.913058	107.832073	124.825715	142.507337	157.006974	159.928248	1.756586	-4.176668	-7.847627	0.907418	19.401777	28.207616	26.196095	36.585739	33.005182	35.992885	38.028068	28.051233	-0.521882	-7.386747	-15.002434	-9.528812	7.262889	14.862777	15.486759	31.990598	33.183359	37.541085	37.202714	26.197653	-55.810035	-232.266741	-566.569658	-1063.160943	-1828.895654	-2946.463474	-4491.380546	-6466.366368	-9110.500648	-12335.729581	-16191.987757	-20682.947265	3.739777	-5.783180	-14.198040	-4.176239	38.932259	74.408172	107.207750	152.966578	177.530702	199.968627	217.686682	223.538156	-56.908014	-239.984147	-611.135236	-1199.848942	-2120.237470	-3429.469489	-5194.935473	-7390.201047	-10251.097042	-13645.729248	-17641.773702	-22259.734088	0.722243	-6.176151	-12.426869	-4.380532	15.350497	24.625931	25.735662	42.393854	43.706983	47.694700	46.896934	35.551902	76
3gnw_201	30.208802	20.024071	13.721403	23.626862	58.331318	90.615383	106.251739	115.705068	102.483160	85.156694	68.460367	63.966235	16.701422	3.449480	-4.469857	3.543114	35.800252	63.021938	88.701550	124.859698	140.246632	153.728917	162.637408	180.682046	29.722028	30.908925	34.622521	44.896562	59.146983	66.347291	63.028139	68.425895	72.232253	71.151387	65.245460	69.575092	5.994105	-1.079099	-1.965238	6.069929	19.758809	26.164252	24.148040	31.670128	36.847440	37.340822	33.408422	36.522887	-111.653781	-362.361201	-783.231064	-1371.133900	-2236.093264	-3430.518865	-5046.434627	-7099.647138	-9726.191343	-13109.392325	-17039.722382	-21548.324996	25.089142	11.993117	6.225840	20.007776	63.365229	100.835064	133.809930	176.667026	199.065172	217.577756	229.700672	250.622904	-110.855101	-364.998266	-820.896622	-1508.888466	-2544.398882	-3941.418868	-5788.915170	-8075.092172	-10903.633934	-14466.720761	-18532.558400	-23164.566113	15.429281	9.136367	8.788341	18.041839	33.210081	40.185351	38.293950	45.868807	51.108256	51.300407	47.130151	50.142469	76
3gnw_205	6.212035	6.970999	-2.797933	5.507558	29.860654	57.061943	87.292290	97.476171	80.557037	67.387123	58.219308	42.830839	3.025640	8.520136	-1.414458	6.195372	29.263210	50.997284	89.330060	125.536642	136.739962	153.121665	168.903067	177.334535	10.965834	16.625925	19.049768	27.205042	32.921873	38.058269	51.053897	59.519452	56.009972	58.814052	60.790923	56.069613	0.771597	5.892151	4.874932	11.736863	17.731598	21.139922	34.236097	45.805159	44.642630	48.972521	51.305773	46.618484	-111.763048	-342.227949	-737.235536	-1260.207538	-2051.297600	-3137.854929	-4646.811767	-6569.857798	-9080.766830	-12323.385011	-16314.344822	-20793.202243	7.448114	12.587648	4.584676	17.254045	50.756051	81.633173	127.240580	169.847469	187.896792	209.176016	228.411730	239.753867	-107.303115	-345.935944	-772.038906	-1384.283644	-2334.052789	-3601.559567	-5332.335107	-7472.594284	-10182.420359	-13601.235529	-17746.723379	-22353.048394	6.068752	11.445733	10.926900	18.749752	26.405185	30.207443	43.639517	55.281357	54.184798	58.108508	59.727670	54.710074	76
3gnw_216	0.919744	5.470221	7.799647	18.470836	51.194978	80.426555	109.349089	113.224430	101.240630	81.199620	65.485910	54.860083	4.241316	11.052087	12.791094	23.611349	53.368063	77.165985	117.209993	148.103154	165.355282	175.730039	183.903529	195.531821	2.506656	16.311502	26.534503	35.633731	50.581959	57.872961	69.178514	69.825915	72.085664	70.592380	65.936050	64.031906	-0.650722	10.191724	16.403370	25.221175	38.160386	44.264061	58.202785	61.509740	66.194504	66.339800	61.496482	57.774661	-130.909208	-345.477772	-727.749349	-1280.209392	-2125.045453	-3348.113072	-4965.357411	-7002.583382	-9564.152674	-12856.673975	-16759.651662	-21260.719238	6.472323	13.306039	17.224514	33.155950	74.784856	109.902317	157.523528	194.979888	218.971833	234.199436	245.582462	260.106139	-130.513365	-347.951761	-768.092931	-1413.656192	-2431.163966	-3864.706871	-5712.072298	-7973.843125	-10729.853400	-14191.039858	-18230.124102	-22857.153005	2.519756	13.916685	20.889989	30.624832	46.110700	53.584590	67.782026	71.118117	75.872923	75.797487	70.654765	66.750782	76
3gnw_218	27.286015	28.638272	27.023925	30.662741	51.503288	84.796463	108.776732	116.080387	99.626322	76.583649	66.375506	62.183661	22.765942	24.693023	21.160283	23.693398	44.319934	73.056951	105.790479	140.268622	153.649276	163.339708	179.341429	200.685572	28.213634	35.558318	41.957031	47.464811	53.103064	65.474067	74.799346	80.515540	73.915546	65.456860	62.409706	65.484326	18.099652	21.682161	24.123575	27.706900	34.671006	45.635302	57.236998	69.181141	67.273860	63.203227	61.216525	65.124594	-57.185218	-260.596999	-537.846988	-959.768868	-1580.188433	-2539.565497	-3944.221606	-5856.062292	-8388.262530	-11688.129945	-15656.639452	-20187.945973	27.003051	28.277289	26.217491	33.308156	61.866694	100.424928	140.644094	182.275095	203.177152	218.123467	237.646587	262.061626	-55.130591	-265.044518	-563.304894	-1060.127746	-1801.496565	-2938.900713	-4557.809579	-6698.309853	-9447.232804	-12938.647336	-17069.108387	-21740.378207	22.952277	26.516533	29.221250	34.112137	42.149224	54.966933	67.219445	79.432837	77.699443	72.973693	70.090014	73.396058	76
3gnw_219	20.684861	18.531073	14.356130	16.838450	37.556610	56.951825	78.327137	75.504161	63.412977	50.581056	45.775140	35.832694	18.316189	17.578660	15.116964	16.253093	36.791596	52.415799	83.239161	105.757432	118.261248	131.924132	148.164004	157.248605	18.427583	27.519656	34.138615	35.437881	36.845888	38.105490	43.803065	44.607996	48.064022	47.717571	52.689598	53.297177	8.371775	12.987492	17.977613	17.845835	21.016522	22.498662	29.253461	32.190383	34.954827	35.225728	40.121104	38.385187	-121.202410	-387.425231	-765.465664	-1319.795307	-2143.285678	-3297.141272	-4855.184761	-6783.749369	-9185.698498	-12148.847074	-15629.717067	-19657.687412	22.209212	21.093374	20.548543	26.748514	58.138982	83.700830	121.851534	150.434885	169.079453	186.858793	205.850285	217.440456	-124.070983	-394.259832	-802.406359	-1448.438626	-2435.810005	-3778.824987	-5560.939307	-7694.216567	-10274.762099	-13385.481332	-16979.130141	-21110.886862	13.247464	18.204159	23.464586	24.128220	29.022699	31.182109	38.232736	41.167403	43.939245	44.129144	49.018031	47.324069	76
3gnw_220	11.600777	15.204898	11.726485	14.153218	39.286757	61.037005	91.475915	93.007751	76.863677	63.945258	57.595286	43.118186	17.024309	25.327551	22.192829	24.351932	48.004871	62.621619	102.117312	129.679651	143.092299	158.824491	174.978612	184.374445	6.326891	23.690902	30.487942	31.181392	42.599580	47.694516	59.956216	60.056585	54.609766	56.042156	54.796520	47.689316	7.332508	24.763106	28.779524	28.572376	39.446997	40.744808	55.076977	58.752698	57.539614	61.122236	59.032217	52.910258	-89.007274	-278.281341	-603.899823	-1071.673632	-1788.953331	-2838.034013	-4325.175842	-6289.498204	-8761.013054	-11798.668734	-15495.438978	-19818.070288	17.234070	25.272051	23.891668	30.664199	64.635497	88.922640	136.081718	170.598218	190.857466	211.056008	230.319732	242.568059	-96.049095	-282.692978	-636.442176	-1184.699842	-2048.082472	-3272.960339	-4985.216164	-7176.346295	-9845.232511	-13039.894179	-16876.424740	-21325.948662	8.254972	25.932610	30.522634	31.409826	44.693752	47.206972	62.086871	65.947967	64.834852	68.177715	65.629292	59.139087	76
