name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3jvr_137	42.214671	38.190459	34.205042	32.925451	29.884234	29.400798	25.878543	24.166737	23.943371	23.611306	26.736776	31.576675	30.639934	27.396028	26.721278	29.857048	28.957517	33.068257	36.554309	41.639170	46.373511	49.740923	52.762942	55.673903	45.210200	44.886674	45.261566	46.812591	46.071110	47.940852	49.832686	53.340690	57.269552	61.188679	65.863151	71.394948	29.245766	25.928340	25.846254	27.347268	27.274133	28.846670	29.000689	29.674733	29.675275	28.789353	27.213304	25.860775	-36.036603	-163.917180	-347.387726	-588.412758	-890.957916	-1296.643677	-1767.684196	-2281.111607	-2793.599530	-3296.480994	-3687.594201	-4015.272398	39.901768	36.636511	36.738990	41.478726	42.417960	48.834455	53.626197	59.734427	65.135218	68.803452	71.749931	74.468277	-24.733192	-154.727734	-353.922710	-634.303689	-978.959524	-1447.729808	-1975.826273	-2536.034884	-3075.827119	-3586.545639	-3966.439696	-4281.042671	39.432949	36.334858	35.821282	37.180074	36.173087	37.402517	37.234709	37.632716	37.320414	36.498953	35.285445	34.244325	36
3jvr_154	47.199669	46.128703	37.970270	32.348390	28.752850	26.127952	22.300548	19.149039	19.923076	21.301966	23.917609	26.843413	35.177847	37.457268	34.968861	34.931344	34.161976	35.915198	37.355029	39.469847	43.330257	45.531418	46.933539	47.111121	50.337038	51.722396	48.471092	46.064096	44.325168	45.048223	47.300052	49.948798	53.628114	57.634836	61.917506	66.895331	34.061082	34.554832	31.693687	29.645957	28.990955	29.177411	27.971570	26.495805	25.036649	22.730722	20.259248	18.065731	-18.316755	-164.515669	-404.209453	-703.310500	-1068.085846	-1505.389144	-1977.081915	-2479.126485	-2956.136633	-3381.575946	-3738.245193	-4037.049163	45.566710	47.506050	46.967402	48.657050	49.900314	53.554879	55.930570	58.750994	62.954274	65.155460	66.399206	66.324754	-7.580812	-160.372178	-427.368750	-770.223501	-1184.294025	-1680.722694	-2199.992735	-2741.244623	-3240.157546	-3664.953380	-4007.903338	-4291.028182	45.269107	45.874462	43.639495	41.225539	39.300816	38.623722	36.908847	35.028140	33.156784	30.942395	28.861576	26.993425	36
3jvr_162	51.750448	45.015850	40.091791	37.001980	34.685740	33.315514	30.383911	28.936383	28.550409	27.473833	30.417204	35.467423	38.276912	33.247401	31.951537	33.388708	33.272311	36.379882	40.515025	45.723163	50.152171	52.880829	55.881713	59.315176	54.343342	51.276681	50.796536	50.992368	50.922199	52.406550	54.376485	57.922007	61.598412	65.182123	69.992669	75.382826	36.678869	31.695246	31.161796	31.529294	31.981158	33.218816	33.567209	34.320283	34.085207	33.015868	31.701471	30.424226	-20.874968	-150.529313	-331.423659	-568.127887	-869.467978	-1265.528899	-1733.196426	-2236.941186	-2740.951050	-3241.277842	-3633.682645	-3966.003979	48.118865	42.962203	42.363694	45.289444	47.225906	52.493493	57.971246	64.171571	69.252340	72.298620	75.242978	78.508023	-11.430030	-143.173825	-338.741347	-613.079682	-958.334428	-1413.492348	-1939.470290	-2488.566998	-3019.303308	-3527.529838	-3909.219448	-4229.671337	47.370323	42.536778	41.532511	41.695921	41.438614	42.270456	42.328041	42.803998	42.262464	41.259049	40.297264	39.324322	36
3jvr_168	41.799192	36.935752	31.028867	28.029995	24.504293	22.788897	20.044118	18.582761	18.106361	16.701179	18.721477	22.724710	29.005434	25.685538	22.935849	24.180212	22.582579	25.136738	29.786694	34.273493	38.081377	39.855350	41.934919	45.163606	44.328525	43.172807	41.936125	42.117974	41.229306	43.124353	45.135354	48.232535	51.687216	55.170500	59.498611	64.353924	27.281530	23.898185	22.215931	22.540261	22.263493	23.697492	24.384202	24.443551	23.940619	22.719030	21.161800	19.917836	-21.756405	-149.696704	-326.119618	-558.180980	-843.489446	-1232.804128	-1699.447916	-2180.085606	-2657.300912	-3124.436659	-3502.849157	-3850.876728	40.901934	37.475291	35.582188	38.134022	38.191732	43.031509	49.111970	54.487816	58.841645	60.856330	62.883897	66.006118	-9.032871	-139.099441	-330.210802	-597.884447	-922.255270	-1371.216432	-1898.134220	-2421.654466	-2923.164212	-3395.772659	-3763.520023	-4102.291281	40.057869	36.834321	34.820602	34.786039	33.546420	34.725040	35.164949	34.940797	34.110928	32.949588	31.734203	30.767319	36
3jvr_171	42.744854	40.521332	34.805817	32.795516	31.760666	28.753418	23.706310	21.945067	21.736556	21.658721	24.055317	27.884098	32.842734	30.829652	29.581544	31.619397	32.930269	33.506766	34.017818	37.993966	42.179436	44.737359	47.335882	48.826124	45.948358	46.623708	46.104781	46.916121	46.969286	47.278382	48.582929	51.104845	54.240402	57.920595	62.500091	67.678074	31.539640	27.618992	26.935050	27.124779	27.958725	27.714860	26.171246	25.184168	24.145983	22.517795	20.993953	19.156268	-55.459051	-202.462990	-428.341091	-692.534074	-1027.011759	-1414.739576	-1868.555195	-2360.965952	-2856.413510	-3327.600579	-3728.580643	-4042.043595	44.780813	43.029831	42.767486	46.260826	49.480863	51.362711	52.905055	57.722038	62.458209	65.226520	67.782082	69.052115	-45.151846	-198.590775	-443.650551	-746.537838	-1129.383568	-1566.637455	-2071.624999	-2608.211104	-3130.811578	-3607.975427	-3999.816701	-4299.469486	44.585103	41.247236	40.069049	39.721784	39.355315	37.989504	36.015278	34.696178	33.304790	31.758046	30.581965	29.059989	36
3jvr_187	21.459257	22.257440	18.275385	21.808643	16.934209	12.697300	6.450809	5.086747	4.910946	6.098219	8.277666	11.453094	16.500534	20.829716	22.760107	30.772545	28.355590	28.476029	30.887170	38.297392	45.274684	48.763613	50.137511	49.931227	24.191649	27.613191	27.709318	30.248818	27.126745	26.523649	27.650155	31.434816	35.067488	39.355072	43.556669	48.483603	16.330832	19.303137	20.344816	23.176238	20.555861	19.760629	19.771000	21.404688	21.705644	20.036274	17.238041	14.333725	-51.525296	-178.919687	-398.189449	-641.418123	-968.900826	-1365.864252	-1886.298787	-2463.179198	-3060.296021	-3549.190762	-3944.454381	-4245.670748	19.469756	23.566818	27.078017	36.216955	35.971910	37.912508	42.102762	50.872373	58.851978	62.480401	63.716255	63.204445	-47.317138	-180.263214	-424.711327	-703.533849	-1078.431105	-1529.003127	-2113.594330	-2745.963857	-3380.532364	-3871.444791	-4251.275702	-4532.817231	20.013028	23.147317	24.615638	26.787448	23.401569	21.912566	21.775766	23.193338	23.221868	21.642280	19.245190	16.698852	36
3jvr_195	23.516484	24.451349	27.291562	23.248527	17.825232	12.318722	7.662312	5.266418	5.856824	6.539300	7.292609	8.540152	19.595997	19.807049	25.532169	26.066754	22.977005	21.566185	24.418755	30.225731	39.080764	45.002002	47.117656	48.265897	25.786496	29.236351	33.947075	31.364451	28.252752	26.996375	28.522961	30.650296	34.165986	37.649253	41.245046	45.137019	19.226918	19.264032	23.739413	21.957215	19.012741	17.750430	18.580423	19.338379	21.044398	20.753923	18.917792	16.812716	-38.672930	-118.358537	-252.976153	-456.241913	-740.623715	-1091.666639	-1529.772386	-2036.201447	-2604.104909	-3130.072437	-3555.746118	-3938.877861	23.997249	24.519547	31.385172	33.269633	32.617485	33.090906	37.417101	44.510834	54.561843	60.957474	63.114715	64.199879	-34.116592	-115.839139	-266.170086	-502.033649	-831.077268	-1228.983240	-1720.755879	-2277.148074	-2886.412618	-3426.562631	-3843.591865	-4216.300226	24.280464	24.782273	29.560459	27.764983	24.784451	23.196199	23.880731	24.495433	26.040840	25.814150	24.296180	22.460758	36
3jvr_210	43.422177	39.103742	39.279377	38.613972	36.798388	35.850456	33.586856	30.763983	27.506731	24.386757	24.068444	24.937584	35.719911	35.420452	39.085048	42.143217	42.369395	45.052439	49.856741	54.479873	58.416518	61.135434	63.743762	64.345753	45.159135	44.560094	47.335563	47.547536	47.341869	48.201400	49.176655	50.070175	52.088107	54.519611	57.673208	61.632836	34.384653	34.037474	36.872383	37.213788	37.485124	38.007258	37.893961	36.938184	36.629334	35.561377	33.915033	31.722332	-15.456530	-142.161468	-303.614828	-508.861143	-780.889582	-1121.174914	-1553.821573	-2047.116115	-2590.973076	-3139.858601	-3622.033307	-4006.249187	44.446438	43.815987	48.348838	52.482456	54.524590	58.936707	65.163590	70.971157	75.952332	79.228992	82.011903	82.542621	-6.750336	-139.152965	-317.067655	-554.040775	-866.787302	-1256.391868	-1746.003132	-2288.381561	-2867.626994	-3431.111745	-3910.623957	-4283.760210	43.793813	43.526986	46.097102	46.001456	45.610350	45.678105	45.393817	44.271405	43.775639	42.768606	41.402249	39.487940	36
3jvr_225	39.743675	40.319036	37.868725	38.349858	34.350965	31.668794	29.877773	25.074927	19.470601	15.061996	13.489555	15.104396	27.724630	29.929222	30.397742	34.143876	31.965035	32.646761	36.437984	39.046990	41.219175	43.055042	45.136065	47.022382	42.258587	44.824691	44.101215	44.538670	42.490850	41.820548	42.943485	42.677415	43.292593	45.249637	47.914455	51.861024	26.656819	27.337688	26.311933	26.738857	24.914884	23.868343	23.354725	21.587714	20.440645	19.390358	17.777131	15.989538	-21.963518	-135.692742	-293.692419	-483.538726	-750.559553	-1076.158952	-1463.281710	-1938.637055	-2484.320460	-3028.422114	-3522.130534	-3912.095699	37.205039	39.242138	40.372373	45.050073	44.730998	47.013713	51.909385	55.714278	59.047342	61.482582	63.797330	65.650282	-12.811500	-131.590355	-304.653407	-524.454611	-830.656481	-1202.988867	-1640.438625	-2164.248750	-2747.411465	-3307.442405	-3801.126041	-4182.410564	36.865371	37.698726	36.249073	36.171713	33.803364	32.276903	31.522000	29.618433	28.331171	27.335757	25.969104	24.440489	36
3jvr_229	19.548159	17.356290	13.809464	15.695143	16.861375	12.913319	6.760082	6.159938	7.489343	10.844836	15.072147	19.460576	15.850338	20.376206	22.167523	28.804430	32.503883	32.890630	35.427121	42.094832	47.497136	50.859833	51.641468	51.311253	22.788606	25.576126	26.748859	29.741227	30.749953	31.332088	33.296562	37.878272	42.582627	47.676889	52.695322	58.006011	15.408196	18.538484	19.854319	22.619998	24.538268	24.318756	24.295818	25.060562	24.380995	22.054097	18.703603	15.475838	-78.463915	-278.581669	-528.924651	-815.521269	-1176.046042	-1629.243229	-2198.086629	-2786.042010	-3335.012185	-3779.795008	-4103.891034	-4369.957125	22.700140	26.873266	29.735086	37.630823	43.195331	45.645937	49.897836	57.639456	63.491604	66.745627	67.188435	66.456593	-70.817164	-279.126357	-550.886847	-879.083569	-1290.931575	-1805.713088	-2443.951605	-3084.096585	-3659.318307	-4100.198537	-4401.862171	-4646.755871	23.319873	26.712538	27.362937	29.188137	29.596472	28.556111	28.223111	28.625794	27.485408	25.267408	22.403401	19.558684	36
