name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3jvr_137	3.561172	-0.079245	-11.277169	-6.965638	4.286442	17.880801	24.277770	27.532396	29.259556	31.513941	37.506955	38.653480	1.102802	2.149307	-4.440533	-0.484548	7.389557	16.216835	24.138991	30.734802	35.569489	42.057273	46.567496	52.848496	5.866235	8.247545	6.901403	11.345508	10.413327	13.940470	14.288972	14.563547	17.714736	20.545346	20.425097	23.240185	-0.623735	1.690667	-0.034116	3.557729	5.293963	8.554202	9.521639	10.008984	12.575722	15.417219	16.515613	18.631437	-56.016317	-184.506320	-380.432404	-640.772951	-973.187907	-1443.542638	-2014.966264	-2706.946350	-3493.198197	-4444.484553	-5467.143164	-6663.470144	5.138098	5.331362	-0.465834	5.058607	15.300307	26.760264	35.835117	43.411174	49.098560	55.934158	60.424221	66.620885	-54.417004	-184.738461	-393.350293	-695.639835	-1083.622731	-1630.533825	-2274.280825	-3034.357538	-3869.716179	-4859.430938	-5902.854860	-7122.882958	4.231099	6.411463	4.684041	8.475899	9.730928	12.970309	13.815167	14.303502	16.900798	19.906569	21.377993	23.779470	36
3jvr_154	19.028195	14.188859	-4.387331	-2.628983	15.174686	28.983326	33.425139	38.731853	43.533191	42.716804	48.297652	47.439245	16.082180	15.225237	3.308628	6.292732	19.454556	29.339479	34.913840	42.767920	50.595220	53.996901	59.006576	62.551478	22.066188	21.808507	16.152532	18.967140	22.903162	24.040820	23.855724	25.983834	30.905902	30.657268	31.191076	35.137419	15.235097	13.997679	8.107529	12.268548	18.216097	20.182250	19.578059	20.760735	25.046148	24.862104	28.038570	30.833541	-31.744643	-172.404040	-413.028793	-698.970562	-1062.313209	-1545.163774	-2127.350620	-2829.201900	-3630.751570	-4573.508870	-5603.302092	-6694.408741	19.885136	17.997302	7.779714	12.216954	27.975111	40.239650	46.971273	55.763076	64.444171	68.181599	73.178158	76.657524	-29.148165	-175.320190	-436.575655	-761.242598	-1186.512648	-1745.118555	-2395.485524	-3164.628751	-4017.582752	-4995.795514	-6044.585625	-7147.457481	19.755150	18.377976	13.454611	17.500952	22.901343	24.538715	23.868021	25.045235	29.364149	29.423628	33.017675	36.297142	36
3jvr_162	6.370866	-0.160273	-12.832283	-11.195894	3.029091	15.352269	22.350302	25.644171	27.778273	27.728077	29.570655	29.989955	2.447668	2.245797	-4.869085	-2.619027	7.247436	14.954919	23.917762	30.510659	35.908249	40.322359	40.746434	46.524929	8.249201	7.519668	5.340727	7.407523	9.981542	12.078693	12.412639	13.021504	16.704345	17.898487	13.385147	15.568409	0.699720	1.581942	-0.434543	2.054029	5.977556	8.015674	9.607292	10.443638	13.693790	15.168243	11.770990	13.497382	-47.091119	-176.844524	-380.246270	-635.162354	-965.725949	-1423.954139	-1993.635659	-2673.119734	-3451.674088	-4397.450852	-5410.984550	-6606.385302	6.531909	5.201480	-1.103083	2.456437	14.910438	25.063822	35.217883	42.763740	49.019577	53.789507	54.194664	59.886876	-45.548913	-177.191788	-394.639035	-687.632508	-1075.852517	-1606.783840	-2250.318866	-2995.786177	-3822.877244	-4806.428307	-5840.767714	-7060.357827	5.501058	6.006874	4.079058	6.518056	10.188780	12.101352	13.588304	14.427076	17.717572	19.356614	16.331781	18.320888	36
3jvr_168	6.096458	-1.294621	-13.738030	-12.677927	-2.640300	11.042469	16.047609	18.104019	20.610871	17.282713	19.718663	20.613970	2.668425	0.982023	-6.295742	-4.417019	2.334431	11.642763	18.034642	23.384757	28.921676	28.961059	30.462975	36.526838	7.498018	5.796759	3.215068	5.796345	4.416824	8.248248	7.379259	6.305814	10.042461	8.934919	5.751831	8.576295	0.161895	-0.659895	-3.224437	-0.097640	1.220980	5.045229	4.764496	3.908154	7.172889	5.191712	3.771330	6.074162	-51.771925	-188.958159	-387.575899	-646.621007	-965.543496	-1406.197622	-1982.641510	-2671.286407	-3420.253664	-4337.724078	-5362.061112	-6536.417444	6.445090	3.730848	-2.619932	0.538395	9.453682	21.150784	28.825214	35.184748	41.480531	41.843553	43.332652	49.312679	-50.907704	-190.858610	-403.241111	-699.266345	-1070.611348	-1581.241053	-2233.695751	-2991.126354	-3785.065611	-4737.276190	-5784.065157	-6981.701679	4.696634	3.647526	1.207257	4.240918	4.957614	8.684375	8.325630	7.480254	10.765126	8.960377	7.860475	10.432349	36
3jvr_171	14.849212	4.570899	-11.512654	-9.834316	2.375431	14.153457	17.605376	21.118202	25.317141	24.574015	29.053733	30.486176	13.523875	7.235944	-2.176213	-0.300109	8.133129	17.804272	22.919020	29.138408	37.167930	41.003238	43.115834	49.636192	18.399591	15.958541	9.199156	10.518860	7.688569	6.649551	3.598859	2.511586	5.178954	4.625465	3.839341	7.331690	11.557591	7.222172	0.959292	3.071814	3.582531	5.704797	3.171338	1.255869	3.886053	3.201764	3.009923	5.454914	-71.647748	-238.703826	-488.014697	-777.893708	-1158.755100	-1646.911037	-2265.764956	-3032.303776	-3936.496357	-4999.401932	-6146.749890	-7370.712477	17.752034	11.108960	2.745474	6.004458	17.080100	28.905285	35.266946	42.592027	51.661788	55.901575	58.003798	64.445186	-69.048248	-240.617748	-508.763382	-838.150013	-1284.963197	-1848.850875	-2545.712401	-3390.418017	-4358.232004	-5465.238729	-6635.332048	-7877.867929	16.953593	13.189861	6.850166	8.636694	8.461561	9.992889	7.359091	5.450828	8.100996	7.621372	7.850164	10.773611	36
3jvr_187	5.137822	1.739165	-11.073774	-10.076911	-1.895055	5.832610	14.718818	15.617895	13.431676	12.413878	15.143397	13.567532	8.120851	9.255507	3.344226	6.003876	10.196667	14.848718	24.465127	28.457926	29.897654	32.810909	34.236628	36.708572	6.765759	7.389518	5.705511	4.171381	3.217302	2.338481	6.233263	4.596124	1.833158	2.425462	0.846671	2.717381	6.825425	7.696899	6.662421	7.095357	7.686802	7.983343	11.660092	10.007042	7.316010	8.068900	7.704323	8.357411	-49.411809	-166.818622	-382.190453	-629.357150	-959.987126	-1387.708260	-1963.080135	-2637.427701	-3423.697638	-4228.289730	-5192.007004	-6228.379722	8.556957	9.099176	4.444880	8.212771	14.853050	21.539833	32.573931	37.516763	39.843797	42.999910	44.408063	46.817870	-49.127589	-170.950211	-405.407503	-687.354513	-1071.841894	-1563.473902	-2214.158559	-2953.658680	-3792.055966	-4619.172094	-5600.684247	-6650.650669	7.978628	8.950253	8.543809	8.701846	8.957424	8.909678	12.610578	10.952808	8.291057	9.381524	9.380308	10.444893	36
3jvr_195	2.999165	-0.051116	-3.438561	-3.367283	7.355969	19.424858	23.686665	29.093275	32.619282	30.896299	31.505834	28.377724	3.122803	1.083410	1.511313	2.250298	6.832602	15.091920	20.239116	29.011479	36.103914	38.521445	38.870896	39.947752	4.224891	5.699058	9.149225	11.534077	15.405297	19.322265	18.879130	20.007667	22.219660	21.392147	18.887953	19.878304	1.408643	0.970054	4.256820	6.799843	8.569097	12.432678	12.120809	13.922927	16.433094	15.848728	15.412010	15.502487	-45.165409	-126.948356	-261.958214	-466.701424	-764.127057	-1160.681484	-1685.107017	-2330.790705	-3134.361101	-3981.522928	-4868.494335	-5875.593404	4.713182	2.629362	4.081476	6.014462	13.407559	23.913392	30.336756	40.137778	48.283168	51.001030	51.342420	52.350650	-44.814770	-127.413363	-274.307123	-509.476798	-860.041917	-1318.642389	-1911.161065	-2624.142134	-3487.745330	-4365.783950	-5263.958604	-6283.724565	3.634165	3.578235	7.367491	10.095269	12.295866	16.196507	15.879550	17.682484	20.198866	19.807208	19.794325	20.244189	36
3jvr_210	13.501018	8.668845	7.441018	9.547301	25.030985	37.148537	42.395331	47.994395	48.818081	46.369717	52.678186	53.412241	10.435105	10.545076	13.392282	15.666363	27.744420	36.901068	43.107483	50.840712	54.609018	55.899833	61.584262	66.151809	13.679571	14.855656	20.084417	21.305581	27.056281	31.618929	31.055103	31.874634	32.114710	29.646054	30.130544	32.836417	7.825278	9.514573	14.524937	15.819953	23.039790	28.177615	27.725875	27.947580	27.988960	25.695635	28.061391	29.805827	-28.697691	-150.696600	-308.748973	-510.656800	-775.686409	-1139.480453	-1633.877981	-2221.265584	-2907.691445	-3727.379103	-4603.175610	-5573.359329	13.289849	12.217395	15.865045	19.106356	33.246248	44.338218	51.740413	60.349726	64.911206	66.537016	72.212939	76.715115	-28.752277	-154.445237	-325.575707	-557.196969	-869.407887	-1290.594197	-1852.199144	-2500.677013	-3233.742302	-4087.423048	-4982.029088	-5968.228068	11.212722	12.556868	17.639684	18.759596	25.724866	30.740189	30.279646	30.502161	30.560688	28.413502	31.078372	33.126211	36
3jvr_225	7.058480	3.437094	2.576780	8.908506	18.621140	27.443841	34.467916	39.894962	42.397927	40.725099	44.584880	46.599424	3.546748	4.516168	7.653531	14.573629	20.017349	25.661808	33.645040	40.857503	46.373559	48.458346	50.723766	56.800708	9.352596	10.867934	14.305338	18.499129	19.629781	21.353930	22.632494	24.273042	24.685474	23.724358	23.559166	26.867008	2.307329	4.275957	8.121112	13.219189	14.470225	16.484328	17.947333	18.827657	19.399549	18.484465	18.877277	21.487229	-41.631196	-154.414771	-298.300758	-474.343454	-730.641552	-1084.082191	-1527.386242	-2105.921502	-2831.077144	-3697.369682	-4611.056645	-5547.710859	7.494909	7.640409	11.205892	18.933970	26.434486	34.045057	43.033565	51.181291	57.661751	60.129364	62.379666	68.395195	-39.514979	-154.710640	-309.762386	-513.401623	-815.170035	-1224.919177	-1728.263285	-2369.478042	-3151.082613	-4057.566926	-4991.844967	-5942.352157	6.911121	8.740392	12.271967	17.117113	18.243514	20.237088	21.677230	22.559739	23.140912	22.277857	22.897249	25.861403	36
3jvr_229	3.966304	-8.228073	-13.898362	-8.652662	1.812252	10.630050	12.390935	14.388815	14.694122	12.872577	17.040123	16.118682	2.927627	-3.539285	-2.420459	4.486320	12.870445	19.486032	22.436929	26.927104	30.334565	31.820794	35.582046	38.451849	7.083184	6.287767	10.629581	12.181240	7.222221	7.600269	6.119943	4.956423	6.215580	6.573504	4.287244	6.322772	-0.714706	-2.106193	3.182888	7.670996	7.995395	11.333291	10.104559	8.183318	9.070860	8.943200	9.233228	10.047316	-83.800777	-282.299438	-526.121568	-801.290345	-1143.827372	-1592.052257	-2182.810635	-2845.808546	-3584.747103	-4388.093513	-5284.010294	-6282.585272	6.944500	-0.263768	1.749676	9.673112	19.790254	28.405495	32.590339	37.898780	41.986224	43.698139	47.449974	50.257609	-82.118468	-281.034279	-541.883590	-855.765090	-1253.570123	-1767.389744	-2433.008393	-3159.090684	-3942.723791	-4768.619024	-5678.867786	-6690.111706	4.551964	3.472472	8.371913	12.115392	11.039027	13.845450	12.530697	10.613958	11.520763	11.762907	12.568644	13.848217	36
