name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3l7b_163	-1.989907	-8.151299	-17.109001	-16.631777	12.041190	21.692309	22.435704	19.246269	18.732440	7.384262	-18.737850	-65.809610	8.587081	13.026360	9.316222	14.388078	28.981887	36.780445	46.914030	56.474999	74.682282	92.191717	107.164171	108.490289	-7.156483	-10.893812	-17.690172	-29.385237	-35.961548	-46.098200	-59.237783	-79.085319	-95.570693	-117.944067	-149.708371	-187.327081	-0.681779	1.402821	-0.139579	1.962981	5.091736	8.675726	12.237806	11.218587	17.170716	21.011998	20.871459	17.948858	-109.327608	-307.702444	-612.285167	-990.803654	-1465.628637	-2115.957462	-3006.899157	-4138.326315	-5473.741551	-7075.169834	-8986.391637	-11157.214952	8.198095	12.415649	9.602892	16.590801	33.936381	44.913861	57.592350	69.127413	89.106147	107.675593	123.124008	124.771166	-116.819543	-323.596582	-655.759293	-1091.165124	-1647.168914	-2393.778996	-3401.751341	-4653.360945	-6092.430374	-7774.734454	-9752.523309	-11973.004413	-0.432568	1.846248	0.457729	2.356123	4.626022	7.850352	11.356146	10.314413	16.271567	20.199698	20.189195	17.441664	33
3l7b_203	4.650057	10.851222	21.173232	16.538184	36.411724	44.224114	41.038880	41.380446	38.625383	21.368469	-10.047744	-44.707333	0.122043	15.819481	29.910995	32.520576	39.981482	42.001818	47.140784	59.405309	75.424291	87.805686	99.951197	111.359368	-1.243440	6.820378	18.521382	2.543136	-5.461074	-16.414973	-32.919653	-49.291832	-70.799919	-98.411925	-131.169580	-160.125605	-12.709156	-0.187937	16.370882	16.494922	18.282491	18.701457	16.924803	18.516312	20.659579	20.411009	22.282784	25.752136	-114.671628	-332.359874	-609.802270	-952.619234	-1412.500887	-2071.812862	-2912.460717	-3999.355771	-5368.661057	-7002.663170	-8982.723800	-11079.800776	4.447854	19.791684	34.644294	38.530294	48.518358	54.038572	61.457613	75.651736	93.629510	107.160719	119.791778	131.495366	-119.942103	-348.394462	-648.806023	-1038.481061	-1572.429720	-2332.673318	-3282.973252	-4488.132511	-5971.466546	-7690.061210	-9738.969118	-11884.249956	-7.674238	5.014093	21.429207	20.745229	21.568333	21.889480	20.040455	21.632302	23.788777	23.605865	25.470066	29.185361	33
3l7b_207	0.811889	-7.619477	-5.375107	-4.140697	25.916590	31.274764	38.184522	34.983469	29.286668	15.692913	-13.881379	-56.839052	4.616755	4.263853	11.417123	14.238843	29.867546	33.122372	48.602109	58.766117	72.213086	89.177425	101.845790	107.895520	-6.869778	-10.953087	-7.858658	-17.469139	-22.236491	-35.351917	-44.740225	-61.672457	-83.818125	-110.706998	-145.532475	-182.668060	-8.311540	-8.892648	-0.719679	0.899819	5.657584	6.462465	13.427323	14.631519	15.896785	16.942234	14.911983	13.198333	-117.322670	-310.175502	-592.067985	-979.998526	-1454.762938	-2119.571115	-3018.498051	-4089.455766	-5461.120979	-7104.167262	-9044.898065	-11273.961696	5.637938	5.089361	12.972345	17.958684	36.349061	42.857450	60.944208	72.843146	88.191486	106.272159	119.399270	125.774094	-125.944883	-322.711760	-631.088877	-1079.111135	-1634.422078	-2395.683202	-3417.559874	-4596.183808	-6077.864764	-7808.442591	-9817.329987	-12102.645899	-6.616704	-7.029735	1.138189	2.796239	6.685719	7.150706	14.082230	15.276484	16.549797	17.642242	15.695395	14.090681	33
3l7b_217	2.826637	1.775952	3.005033	5.437007	29.050993	36.124094	35.060544	29.125523	26.843057	8.758768	-22.812144	-64.032659	-3.715700	4.537498	10.263767	17.117326	27.637356	29.207180	36.339300	43.179976	59.254876	70.500315	81.808379	86.874835	-3.213995	-3.745004	2.077262	-7.713264	-14.899876	-25.132567	-40.251969	-61.821774	-83.497186	-110.840330	-144.823354	-179.128876	-17.352296	-13.080985	-1.866010	1.961477	4.482854	5.252273	4.840851	2.106754	3.721872	3.221290	3.372260	1.669484	-111.307969	-342.829343	-614.279299	-964.189782	-1423.325404	-2073.623592	-2926.271552	-4015.722317	-5387.482400	-7010.219959	-9004.231845	-11122.720294	1.890890	9.731740	16.270543	24.467988	37.565373	42.441965	51.939344	60.683426	78.695830	91.045011	102.838524	108.196771	-116.165589	-360.728674	-649.803004	-1049.723451	-1585.733457	-2333.140342	-3299.093268	-4505.023808	-5991.136472	-7696.152556	-9761.373944	-11928.171145	-11.045462	-6.619267	4.462062	7.538887	9.120032	9.656671	9.181005	6.449327	8.060680	7.615664	7.731512	6.251903	33
3l7b_22	3.881260	-3.003395	-7.917308	-7.471520	17.521331	26.521935	23.049924	19.282913	16.925625	1.004825	-26.928371	-65.716022	7.801077	10.076355	12.693538	17.489869	25.929019	32.356514	38.084231	47.526872	64.177294	78.532330	89.207937	98.457353	-4.852114	-4.568282	-7.144610	-16.782871	-26.545341	-38.142532	-53.655716	-73.411650	-94.674659	-120.998197	-149.740383	-182.916298	-5.753463	-0.786729	3.918764	7.825033	5.589327	7.062841	7.016451	7.238029	8.708430	10.044686	10.222135	11.583787	-94.841069	-295.001369	-601.267662	-966.887338	-1450.491754	-2093.930833	-2952.637490	-4095.807601	-5425.976837	-7055.675332	-8892.410770	-11057.815050	9.181346	11.079348	14.395548	20.767511	32.252003	41.738831	49.811769	61.352584	79.792474	95.255231	106.355862	115.927309	-104.536505	-308.717219	-641.463796	-1057.589534	-1625.747401	-2364.983087	-3332.764817	-4599.774538	-6036.766134	-7750.013556	-9643.138531	-11862.961444	-3.788180	1.257852	5.929814	9.341534	6.531908	7.567079	7.435172	7.656582	9.143092	10.530542	10.918310	12.416585	33
3l7b_256	1.380080	-3.208167	-4.901138	1.009024	27.297794	36.106275	38.936366	34.552425	30.816585	17.340574	-9.582588	-48.609868	7.012588	8.794914	13.123106	20.212204	31.946420	37.643985	49.079096	57.975156	73.391802	90.527431	106.335260	115.666514	-6.168167	-8.805304	-6.184700	-12.622365	-19.714432	-29.984633	-42.283067	-61.489445	-81.682590	-107.844903	-140.940741	-174.559017	-5.805721	-6.605507	2.098341	6.265962	8.469126	11.751347	15.115535	14.250653	16.889617	19.187874	19.585224	20.758599	-119.946032	-315.389078	-588.739594	-962.089923	-1443.227736	-2114.700223	-2990.783207	-4075.599563	-5407.595867	-7051.160179	-9023.933659	-11226.875983	7.524833	9.165482	14.232371	23.279996	37.898169	47.055526	60.925614	71.647589	88.860052	107.157964	123.455154	133.108624	-128.747160	-332.439646	-626.208738	-1058.292480	-1620.247845	-2392.166508	-3384.135391	-4580.589620	-6017.697944	-7749.299097	-9794.831475	-12052.952765	-4.610960	-5.147336	3.507055	7.550123	9.020570	12.101377	15.402073	14.540832	17.191599	19.547855	19.970241	21.277472	33
3l7b_30	2.112969	-6.670574	-14.941337	-6.677919	27.885803	33.678793	34.135132	32.114404	24.531845	12.155290	-13.658578	-59.005260	7.817698	10.810971	8.747720	20.493363	38.187118	43.079544	52.423821	63.412947	74.837512	93.255649	107.729654	110.786179	-3.839064	-9.910359	-14.172510	-18.605902	-20.301333	-33.867218	-47.531778	-65.956598	-88.186443	-113.907130	-143.949598	-181.819159	-2.209997	-1.378925	0.282541	8.578752	14.440468	15.287174	17.411738	18.528563	18.780115	21.536179	22.135059	19.103339	-98.027903	-303.483155	-602.685886	-976.862347	-1454.278333	-2105.470444	-2978.488483	-4118.118890	-5443.324067	-7100.800042	-9005.203897	-11220.950935	7.981065	10.505265	9.337170	22.957233	43.596282	51.623543	63.415827	76.468461	89.619186	109.188582	124.126955	127.510144	-105.343814	-319.003926	-644.040311	-1076.378423	-1637.640807	-2384.191482	-3370.897281	-4633.104486	-6057.915991	-7804.703625	-9773.405091	-12043.123018	-1.470479	-0.647225	1.178901	9.241691	14.402887	14.857709	16.928572	18.046858	18.307649	21.094097	21.840673	18.929000	33
3l7b_38	-3.546359	-4.806613	-11.871473	-7.205936	19.349158	29.522526	27.811156	23.289761	19.597533	3.147883	-24.537371	-68.311574	-1.800057	6.060972	2.399003	12.370444	25.825707	32.788965	39.183086	48.544849	63.889721	77.552587	90.213589	95.728525	-9.736613	-9.705763	-13.548962	-20.211117	-27.032770	-37.533342	-53.944218	-74.296991	-93.665268	-122.127743	-154.180085	-190.669212	-12.882351	-8.250510	-8.568970	-0.921444	2.302094	4.694045	3.491056	2.790973	6.073876	5.563530	4.454409	3.838035	-100.245328	-300.470886	-603.134918	-973.024037	-1446.289994	-2099.801135	-2978.182072	-4109.544341	-5436.086408	-7094.349900	-8989.184550	-11221.172790	-0.366195	6.982279	4.430702	16.123511	32.332297	42.593556	51.482317	62.875553	79.973961	94.779145	107.890168	113.740041	-106.785228	-317.032352	-647.948208	-1071.633601	-1625.033748	-2376.992494	-3370.285772	-4622.268954	-6050.908890	-7796.445604	-9755.157022	-12042.679515	-10.890066	-6.279248	-6.223967	1.034152	3.418330	5.547184	4.324900	3.631501	6.925350	6.442667	5.480889	4.957809	33
3l7b_402	13.859464	10.941833	13.568559	25.133180	49.794533	48.324892	43.865893	43.729901	38.047124	22.404989	-7.956367	-47.390264	8.356821	13.716865	22.153991	35.443029	45.990441	43.419174	47.192377	60.116345	72.777755	87.299745	100.674851	110.412509	10.687688	7.714807	12.074644	10.856466	1.674814	-16.299722	-32.879573	-50.595183	-74.115571	-100.774586	-134.056074	-168.508110	-2.068964	-1.251800	9.262537	19.887738	21.125119	17.424554	15.420180	16.001302	14.668309	16.232632	17.878377	19.277616	-114.336493	-319.116676	-608.521444	-983.695626	-1479.985933	-2130.759955	-2986.234870	-4057.927172	-5374.013096	-7023.353464	-9015.880788	-11244.821464	12.916924	18.055201	27.105875	42.360006	55.757391	56.045924	62.094536	76.820238	91.228453	106.911698	120.788214	130.859959	-116.176423	-328.935353	-642.911739	-1077.459474	-1655.944730	-2396.832698	-3363.414787	-4551.560275	-5973.836357	-7711.305862	-9776.304192	-12063.173674	3.262293	4.245251	14.536783	24.929394	25.262880	20.934762	18.834120	19.403190	18.069110	19.660756	21.290453	22.788706	33
3l7b_416	23.052447	18.184448	17.719329	19.525161	49.497669	55.717009	54.727672	47.636813	47.641331	38.060719	11.784764	-30.564647	23.412479	27.373542	32.613205	38.160243	53.928256	58.054497	65.437314	72.112465	91.818149	111.801452	126.033458	131.840787	17.427550	14.572342	17.516348	6.671362	0.413539	-12.071259	-26.889449	-46.705751	-65.211072	-87.895957	-117.667440	-151.990857	12.473226	13.805178	22.411950	24.757222	27.782281	28.902229	29.160357	29.059207	34.961359	39.107192	40.342468	40.640994	-79.470519	-292.541698	-591.339553	-961.868004	-1439.499440	-2088.843568	-2952.735748	-4072.817158	-5451.627196	-7062.457412	-8936.980589	-11101.756584	25.503556	28.940546	35.055462	42.353592	60.866305	68.123633	77.889982	86.551406	108.194938	129.260816	143.923665	150.044672	-85.509041	-308.311909	-633.344822	-1059.472358	-1620.259963	-2364.108083	-3340.258777	-4576.924037	-6068.546043	-7763.386115	-9699.233249	-11914.713396	15.158180	16.468151	25.171773	27.135800	29.273585	30.005239	30.196567	30.099291	36.003260	40.232932	41.632163	42.092238	33
