name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3lka_161	6.344238	-3.809188	-11.223138	-14.333065	-17.602763	-20.349132	-26.401695	-31.801959	-39.013790	-43.362966	-45.545747	-45.103593	6.629743	2.631914	4.545429	10.280619	14.597258	20.236486	24.679308	29.021128	28.689923	28.066213	24.992512	21.741534	8.925218	1.418710	-2.075834	-6.372089	-10.330480	-15.740587	-22.143416	-25.046012	-31.607237	-35.689186	-33.610036	-27.647667	5.616870	-0.044143	1.343958	2.196992	3.565443	3.913598	2.231447	0.060792	-4.630820	-9.093782	-13.933775	-17.526235	-72.234361	-243.402234	-459.455037	-730.381714	-1058.312770	-1460.741263	-1910.005258	-2337.184178	-2736.639723	-3056.542698	-3271.718183	-3427.166021	10.180353	5.589859	8.210304	14.960128	20.870379	27.883110	32.949461	37.515228	37.218301	36.494572	33.286312	29.877318	-67.681365	-245.504320	-481.505702	-794.370669	-1171.225462	-1631.455324	-2131.283392	-2590.321855	-3003.603913	-3315.809382	-3508.658491	-3642.777581	9.803408	4.201831	5.495113	5.914959	6.250575	5.918419	3.996592	1.704413	-3.128114	-7.213998	-11.429721	-14.515692	21
3lka_24	27.168618	19.112630	7.622493	3.199265	-1.501211	-5.788223	-12.516980	-19.734396	-24.781872	-28.323174	-28.481140	-27.488127	27.584312	25.649135	23.755406	27.337248	31.358658	36.143185	39.274319	40.580809	41.528414	41.170682	40.853883	39.154450	29.355815	23.377442	15.898919	11.912688	6.486818	1.214786	-5.675430	-9.106027	-14.075937	-17.232527	-14.398057	-8.265629	25.960801	21.960082	19.092838	19.110656	20.051449	21.285410	18.671012	15.098911	11.508416	7.954336	4.599143	2.158947	-72.371226	-253.100097	-474.235554	-764.899170	-1109.133752	-1499.834692	-1921.515405	-2317.828073	-2685.701214	-2981.409562	-3210.698810	-3382.703241	28.469447	26.102459	25.016728	29.922175	35.404579	41.224691	44.781104	46.191654	47.112954	46.631296	46.203987	44.367980	-70.143213	-257.786790	-499.097508	-835.140045	-1227.251026	-1667.539720	-2132.996325	-2555.400560	-2935.713886	-3223.133935	-3434.999889	-3588.915800	27.599627	23.820232	20.863493	20.667943	20.321512	20.625895	17.714834	14.004698	10.273787	7.090257	4.311946	2.346795	21
3lka_258	60.083681	71.342473	67.324537	67.613563	65.152368	63.530386	55.758328	50.530839	46.120450	42.597410	40.767737	41.178332	55.871785	65.007019	67.337606	73.986020	78.886357	85.325020	86.306722	90.043293	92.641178	92.995268	91.004439	88.523718	65.055191	77.959315	78.229708	78.234710	74.192710	69.456840	63.388707	60.499857	55.358458	51.690424	53.661192	59.207409	55.105187	61.979815	64.587638	67.538642	68.554222	69.377598	66.740934	64.072905	60.962290	57.361799	53.040270	49.739464	-62.212267	-194.551449	-392.532618	-644.827685	-985.184674	-1369.892558	-1777.896672	-2187.156103	-2586.421614	-2907.234174	-3141.133908	-3312.510490	59.804178	69.318018	72.226458	79.910315	86.670229	94.264024	95.656721	99.609773	102.308368	102.593980	100.496368	97.873240	-55.497209	-192.353607	-406.037736	-697.509562	-1091.606637	-1530.324483	-1980.341141	-2421.876048	-2839.918937	-3155.737651	-3370.884921	-3523.332987	59.967918	67.660125	69.959477	72.518856	72.725467	72.746648	69.841199	67.056380	63.819489	60.583708	56.846758	54.025118	21
3lka_319	9.635706	-1.450922	-13.000479	-14.927511	-18.626009	-21.649567	-26.883601	-33.904835	-41.708094	-45.099754	-46.571441	-44.397015	5.475234	4.027113	2.451014	7.616494	12.152425	17.495599	21.693044	23.359964	21.640964	21.385378	19.392152	17.956598	12.192503	4.108409	-4.087235	-6.363395	-11.121248	-16.386229	-22.043710	-25.607140	-31.633792	-34.668043	-32.469901	-26.191388	3.580951	0.482756	-2.584844	-1.347542	-0.095667	0.348268	-1.409134	-5.304618	-9.812894	-13.278135	-17.598155	-20.566006	-83.994361	-287.011165	-503.022681	-779.426141	-1119.081303	-1518.576395	-1944.553452	-2365.400007	-2737.381430	-3036.222848	-3261.001098	-3415.401713	8.411307	6.158365	5.060080	11.404767	17.418234	23.995581	28.682154	30.546488	28.782420	28.402771	26.290391	24.698944	-80.319295	-290.261045	-523.804064	-844.216572	-1232.541873	-1687.428598	-2160.122641	-2612.203893	-2993.144206	-3282.605274	-3488.217139	-3623.416025	7.258939	4.114623	0.535750	1.430552	1.443562	1.086700	-0.922029	-4.945202	-9.596152	-12.680007	-16.404615	-18.879345	21
3lka_373	-7.442228	-11.189615	-19.714731	-21.330951	-24.675254	-28.982906	-36.421354	-41.175855	-46.590018	-51.313360	-52.570397	-52.149642	-4.575271	0.521547	3.627092	10.788337	15.710808	19.951969	23.112248	27.425164	29.061023	28.035024	25.954762	22.677729	-5.154215	-6.754736	-10.901386	-14.148277	-18.380730	-24.240810	-30.963547	-33.422780	-38.708592	-43.171377	-40.741675	-34.776771	-5.176527	-1.752845	0.948756	2.232440	3.810548	3.762292	1.775169	-0.665324	-4.098394	-8.740662	-13.162561	-16.724062	-92.176200	-256.009557	-467.496949	-742.795570	-1083.939853	-1482.565190	-1928.172760	-2340.290147	-2747.730349	-3063.631466	-3282.057291	-3439.826614	-1.353648	3.281099	6.797258	15.192146	21.777429	27.272020	31.047216	35.524429	37.247593	36.107587	33.896309	30.464432	-87.927700	-258.456631	-486.906773	-809.086530	-1200.285859	-1652.836009	-2146.714582	-2588.648349	-3012.834807	-3320.904526	-3518.262819	-3654.853705	-1.260094	2.325997	4.596422	5.659741	6.212185	5.406327	3.199122	0.627607	-2.932907	-7.203165	-11.007552	-14.063962	21
3lka_404	24.979483	16.429231	11.816274	5.857689	2.636163	-0.212177	-4.080877	-10.633919	-15.626705	-20.157066	-22.897565	-22.618078	22.178833	20.954783	24.152491	26.511569	31.031056	36.504611	42.022423	44.213589	46.235418	45.950855	43.235180	40.118762	27.445457	21.169744	19.631962	15.124452	10.943451	5.393229	0.255404	-3.473648	-8.988698	-12.995328	-11.160526	-5.275981	20.497419	17.589086	19.694109	19.654095	20.762704	20.959158	19.695224	16.068314	12.666394	8.731467	4.264825	0.803951	-58.048566	-224.875341	-434.699270	-711.108442	-1042.707490	-1421.614210	-1849.482012	-2256.163448	-2654.073573	-2987.587336	-3227.243391	-3390.204342	24.467332	22.689948	26.492241	29.939086	36.063104	42.637393	48.738279	51.118719	53.224399	52.881042	50.059629	46.795348	-55.053034	-227.684739	-458.005102	-775.205923	-1155.902567	-1585.516324	-2062.431715	-2498.499784	-2913.442675	-3242.142014	-3462.410013	-3604.721529	23.433622	20.581016	22.508065	22.127554	22.222162	21.604097	20.110291	16.364472	12.831618	9.246249	5.363714	2.397576	21
3lka_431	26.291434	23.670455	14.282803	9.897769	8.628972	4.458004	0.613499	-6.873559	-12.714792	-18.537184	-21.105463	-20.641887	27.766694	27.914657	26.582728	30.664927	37.670264	42.586757	48.276023	50.021518	51.190309	49.258640	46.194658	43.759406	27.991310	27.497214	22.089793	18.068487	14.522112	8.339128	3.267505	-1.312151	-6.971926	-11.432914	-9.597034	-4.085792	25.773673	24.150920	22.179240	22.853263	25.245038	25.649751	24.330275	20.056655	16.091269	11.696981	6.983213	3.650383	-68.719830	-227.472753	-447.160839	-719.865734	-1058.556954	-1438.446861	-1871.037867	-2280.586929	-2691.724577	-3010.191990	-3236.988866	-3409.569294	28.827439	28.688634	28.211858	33.397439	42.097719	47.985082	54.286625	56.207445	57.501257	55.470196	52.285541	49.706679	-66.695559	-231.945470	-472.025001	-785.685249	-1175.511663	-1604.745537	-2087.216835	-2526.289135	-2955.981772	-3266.215186	-3472.319669	-3625.641518	27.552781	26.231683	24.300140	24.610515	26.007508	25.467858	23.949991	19.550510	15.468324	11.441022	7.329280	4.481964	21
3lka_435	31.301795	28.257235	20.988200	16.506987	12.353205	6.714957	-0.135551	-7.166732	-11.533876	-14.538848	-15.693140	-15.741063	21.400990	17.579123	17.455262	19.771057	23.282250	25.240569	25.968937	26.002950	26.867511	27.056120	26.218617	25.172262	36.971617	36.045632	31.994563	26.845868	21.593883	15.193280	9.217796	5.855558	1.432937	-1.703142	0.531622	5.070020	19.210992	13.610504	11.983991	10.566973	11.129695	10.175623	7.025961	2.721785	-0.401930	-3.724586	-6.920808	-9.437445	-67.756290	-227.665702	-456.121923	-731.579481	-1050.612936	-1425.567477	-1799.978543	-2173.548592	-2510.439194	-2806.789914	-3036.099969	-3237.807382	29.886054	26.095916	26.786998	30.204134	34.800131	37.754833	38.726778	38.864706	39.673506	39.781578	38.850947	37.704118	-57.730530	-224.392456	-475.618196	-791.909959	-1154.257023	-1578.718039	-1988.829344	-2388.866759	-2736.914879	-3028.968123	-3243.200052	-3431.796919	28.543959	23.521618	21.839330	19.991117	19.025709	17.171253	13.717265	9.280995	6.018551	3.029373	0.364672	-1.733517	21
3lka_438	47.254622	44.689648	38.964979	36.282660	33.360384	31.113880	27.909068	22.064377	15.257019	9.473402	6.513427	5.265412	39.704106	43.175467	45.131060	50.236474	55.155236	59.841533	65.408505	68.693632	68.666975	66.993472	64.514148	60.975234	51.612323	51.057399	48.920770	45.975021	41.505664	36.825892	31.593458	27.777533	21.414297	16.923187	18.248536	23.164584	38.234550	39.714391	41.161671	42.592399	43.740341	43.544056	41.864020	38.606969	34.454387	29.992233	25.425453	21.849517	-51.937031	-215.519460	-424.161736	-684.376493	-1002.740305	-1371.960430	-1779.999851	-2192.694910	-2576.640256	-2910.351989	-3160.607201	-3347.875014	46.492460	49.676506	52.010868	58.007991	64.215820	70.011769	76.068054	79.601031	79.628220	77.906397	75.332603	71.664865	-43.934350	-212.003526	-438.665247	-738.619912	-1103.786603	-1525.544783	-1981.515263	-2428.656542	-2827.479837	-3156.931597	-3390.284988	-3559.002946	45.847255	47.584741	48.533248	49.407363	49.283772	48.305141	46.366935	42.993688	38.713482	34.592045	30.580932	27.471189	21
3lka_439	37.614131	35.907000	30.798835	22.534507	17.337254	12.237116	5.293751	-2.221502	-7.414455	-7.860690	-8.415335	-8.900398	24.039941	24.773838	27.193383	25.585277	27.840699	30.211599	30.766767	30.090971	30.198609	32.227824	32.490732	31.139294	42.753497	42.938117	40.976829	33.787067	27.852751	21.697505	15.252809	11.667918	7.254326	5.548814	7.578445	11.931019	21.400337	20.332889	21.143901	17.789130	17.458676	16.769630	13.390122	9.389401	6.396217	4.158918	1.361338	-0.979799	-39.728369	-210.514893	-424.388023	-690.724555	-1008.148493	-1355.223516	-1714.526385	-2055.511712	-2387.882972	-2649.680738	-2883.298263	-3082.735266	31.515366	31.664254	34.522029	33.888219	37.396453	40.561457	41.369103	40.739218	40.839855	42.761700	42.952800	41.513290	-31.209026	-209.870642	-442.880603	-748.419027	-1110.807407	-1501.662604	-1896.313737	-2258.716814	-2602.458001	-2858.792305	-3080.298249	-3267.078052	29.547018	28.567606	28.958829	25.141755	23.534235	21.891668	18.220239	14.096064	10.975470	9.064840	6.750959	4.802211	21
