name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3mss_101	-3.226969	-15.117452	-22.464517	-17.775571	1.237494	10.789361	18.898821	21.048811	19.788406	20.145933	23.761244	24.064671	4.710876	-0.609993	-1.951487	2.851163	16.569261	24.414451	34.353849	40.198635	43.399719	47.025943	49.236031	52.288671	-0.704368	-2.193421	0.034466	4.054294	5.769417	3.825290	5.488181	5.077266	6.005760	7.215011	4.543315	7.666268	2.773138	2.456336	5.982163	11.699904	14.893435	14.983705	16.670889	16.509851	17.206305	18.970126	18.919164	20.630597	-78.185767	-255.411509	-485.114582	-778.095815	-1175.184166	-1689.110124	-2339.238772	-3065.346969	-3853.584735	-4793.573459	-5815.459871	-6882.098139	4.607846	-2.258170	-3.871221	1.258851	17.131848	26.428933	36.671410	42.570481	45.751740	48.779087	50.160075	52.409072	-78.028456	-254.852479	-498.908233	-834.342127	-1304.925179	-1895.299060	-2626.006774	-3416.439535	-4247.448873	-5216.919126	-6253.840283	-7329.030756	3.587871	3.195434	6.532692	12.106981	15.085123	14.854145	16.563619	16.511180	17.393712	19.598627	20.169126	22.583195	42
3mss_141	-2.094024	-13.494467	-19.633187	-9.749344	4.041354	15.281282	25.455624	27.787391	27.222352	27.712550	32.934426	32.128843	2.475838	-2.320210	-3.438455	6.137853	15.224282	24.237094	36.764712	42.383633	46.201145	50.065448	53.213507	55.524997	2.192849	1.482046	5.856621	13.374530	11.115075	9.750406	12.769565	13.234097	14.269355	15.172443	14.704507	16.771261	1.722643	1.904144	6.424052	15.237657	15.368695	15.723809	19.288978	19.492524	20.113412	21.759131	23.301398	24.203034	-81.215100	-270.291467	-497.360384	-789.438350	-1194.799298	-1719.686698	-2364.509614	-3124.076068	-3944.761778	-4895.127063	-5967.864046	-7087.538279	3.764791	-2.883774	-3.810130	6.265664	17.520776	28.041868	40.838620	46.517516	50.295458	53.573732	55.810524	57.253301	-79.123792	-267.566297	-509.792948	-846.434725	-1323.536791	-1927.623465	-2652.451179	-3480.984659	-4347.988309	-5327.472795	-6417.511104	-7547.469329	3.948088	3.859154	8.623467	17.419296	17.286687	17.337189	20.907877	21.204861	21.987334	24.117259	26.233372	27.820373	42
3mss_18	-4.750549	-17.350738	-28.767903	-20.571827	-3.013189	5.162204	10.983475	12.779204	10.688300	12.850541	15.751544	15.211551	2.081573	-1.675240	-7.892126	0.717652	12.871775	18.679511	26.884421	32.210065	34.179612	38.986339	40.298888	42.714704	-2.732256	-5.094172	-4.880107	1.548998	2.843311	-0.081043	-1.400421	-2.033947	-1.272619	0.861106	-1.650227	0.400136	-0.028841	0.775745	1.375262	9.731667	12.415793	10.714349	9.959051	9.405775	9.454668	11.583663	11.624010	12.511938	-72.600136	-259.933815	-494.534691	-773.938305	-1170.348609	-1684.413098	-2320.250334	-3043.456133	-3828.702285	-4749.203578	-5759.899803	-6835.899441	2.284448	-3.715302	-9.965997	-0.989958	13.306029	20.571533	29.053436	34.430053	36.377103	40.592503	41.079746	42.660209	-72.665212	-260.892399	-508.777522	-828.311083	-1296.398997	-1888.266304	-2602.263219	-3390.066774	-4217.735434	-5167.266188	-6191.837067	-7277.922601	1.016878	1.170704	1.810865	9.993753	12.483373	10.475543	9.734301	9.280429	9.507914	12.078247	12.726957	14.273669	42
3mss_197	-2.401951	-13.559381	-19.202985	-11.517323	2.039496	11.126384	18.998463	22.782594	23.193156	23.876940	27.208236	27.870418	2.694186	-2.267510	-2.074470	4.162778	14.330525	20.398181	30.548172	37.157374	41.631960	44.930970	46.239543	50.416698	0.878894	0.324200	4.748309	11.446733	8.964151	6.360969	7.297886	8.711592	10.831821	12.641373	10.673985	13.137792	1.114397	1.333302	7.032498	13.591661	14.820018	12.943380	14.302193	14.927057	16.397274	18.135199	18.197847	20.000654	-77.871171	-260.564352	-482.756868	-780.422329	-1168.065874	-1703.731800	-2336.185935	-3080.044634	-3886.783209	-4801.788421	-5842.702584	-6937.537069	3.621261	-3.004044	-2.866287	3.845844	15.795411	23.571272	33.966227	40.633324	45.071674	47.813822	48.259370	51.582128	-76.859296	-259.733856	-494.744678	-837.661974	-1290.577586	-1911.034979	-2620.046902	-3431.429662	-4283.465955	-5224.458939	-6280.728049	-7386.699591	2.977964	3.079535	8.716545	15.306285	15.919074	13.947101	15.300742	16.019898	17.651518	19.890960	20.545215	23.013782	42
3mss_214	7.700232	0.089980	-0.074623	6.779297	12.317820	20.902266	25.805886	26.803560	25.288760	26.415621	32.814251	32.539098	7.757967	4.944555	10.815301	17.664163	21.992319	28.939935	35.334177	39.571262	42.051612	46.773649	51.070321	54.159894	12.223661	16.606752	29.254492	33.360865	21.400745	19.217607	19.414969	19.741256	21.339144	23.405263	21.764619	23.197159	1.711525	4.381639	17.656467	24.684954	21.372737	21.784450	21.041553	20.916475	21.503499	24.743076	25.922088	26.178066	-124.642612	-368.275318	-653.833674	-1002.064217	-1429.354156	-1972.356351	-2640.779576	-3400.372056	-4281.342150	-5290.224137	-6472.043460	-7717.932797	14.179806	10.298342	16.312341	23.521982	29.341997	37.539224	44.212239	48.507793	50.966203	55.064341	58.308618	60.372430	-122.872916	-366.166431	-665.582832	-1058.829918	-1551.697828	-2174.218915	-2924.411729	-3751.398391	-4686.388186	-5728.123629	-6934.557820	-8197.482663	9.837780	13.447639	26.626440	33.126142	28.284489	27.947878	27.252479	27.277049	28.048800	31.807072	33.519853	34.430187	42
3mss_23	-8.395493	-20.699817	-30.461230	-21.723304	-6.118009	3.340460	9.307554	10.162661	8.162093	8.912699	15.278588	11.437479	0.710233	-2.037920	-6.063548	1.556943	13.080758	20.829432	28.779550	33.108998	35.754475	39.211233	44.168273	43.996802	-6.322694	-8.242499	-7.721052	-0.000190	-0.680946	-2.353691	-3.337714	-4.601863	-4.295158	-2.884183	-2.905267	-3.523912	-1.353474	0.708811	2.620440	10.587314	12.633233	12.745572	11.829906	10.704565	11.181541	12.672281	15.186867	14.107011	-81.543007	-264.558866	-478.439075	-765.102283	-1150.214655	-1642.272168	-2249.011966	-2976.356473	-3775.888916	-4668.854865	-5653.302956	-6749.991777	-0.821677	-5.420587	-9.389398	-1.374581	12.137317	21.255327	29.491766	33.883067	36.498404	39.391265	43.560402	42.491987	-82.405139	-265.306805	-490.724018	-821.232600	-1274.380724	-1839.446244	-2520.074378	-3313.887793	-4159.633478	-5079.059994	-6077.432741	-7186.180050	-1.986352	-0.262709	1.675229	9.618062	11.329876	11.101206	10.230013	9.187641	9.810811	11.759919	14.895190	14.395170	42
3mss_239	15.292417	12.625872	2.651143	6.154851	17.845087	25.188356	33.647914	33.046134	31.580809	31.665196	35.045271	35.562539	18.937462	20.969738	17.344988	21.729261	29.350179	35.997209	46.966369	50.141012	53.559244	57.161884	58.949595	63.696268	18.004864	26.089538	31.251085	33.649967	28.402203	23.552061	26.446014	25.121086	26.489327	26.836108	22.817632	25.113315	12.954604	19.457869	24.663206	30.782652	30.617727	29.732920	33.132843	31.762328	32.568221	33.558107	32.766089	34.449768	-113.120226	-321.100156	-624.126138	-994.339238	-1471.919809	-2035.929916	-2764.552504	-3598.116994	-4536.799436	-5579.701140	-6739.017733	-8051.610261	22.271051	23.718579	20.117433	24.835886	34.594296	42.406500	53.654005	56.892150	60.293844	63.297182	64.168501	67.815651	-113.904131	-320.334382	-640.692242	-1057.813975	-1612.854525	-2254.293510	-3074.795248	-3981.803285	-4976.065426	-6049.884106	-7225.742821	-8556.599714	17.861501	25.465341	30.802155	36.482544	35.400825	33.600635	36.991805	35.761890	36.773963	38.392821	38.360674	40.703856	42
3mss_244	9.023809	-0.033182	-7.014258	-9.227628	0.918391	11.059945	13.710533	14.176630	13.174622	14.372239	22.792235	23.930218	9.889396	7.162835	4.992308	3.992886	10.495422	19.120609	24.145339	27.599118	30.727753	34.728275	40.987274	45.199175	14.410489	18.561772	24.575620	18.213389	11.935857	9.503367	6.992904	6.537431	8.749961	10.173912	10.867133	13.168263	5.491564	9.483752	15.194533	13.083689	12.114840	12.824047	10.601367	9.408483	10.601687	12.099035	15.385035	16.291461	-122.251482	-347.901200	-626.734265	-992.505981	-1442.298828	-1987.978949	-2658.263834	-3452.863657	-4349.525439	-5320.385773	-6432.897657	-7631.642894	15.568593	12.102877	9.913260	9.132644	17.396015	27.293042	32.584990	36.091348	39.200028	42.666481	48.020827	51.294007	-119.029755	-340.307948	-634.179899	-1048.037781	-1568.820943	-2194.134433	-2945.964373	-3813.166661	-4763.416313	-5762.096895	-6893.143956	-8106.566101	12.818989	17.825661	23.409169	20.752377	18.573845	18.543000	16.360569	15.285655	16.667326	18.804421	22.775796	24.402861	42
3mss_264	-1.717839	-2.874754	-11.355294	-7.221277	9.268629	15.091756	20.427552	22.507394	20.182796	15.403221	21.681280	21.939847	4.424538	7.931242	4.119632	8.037062	19.692867	24.699756	32.498971	38.049689	40.154789	38.741107	42.736706	46.714374	3.060793	10.571716	12.482395	14.367249	13.763496	8.427231	7.834521	7.770323	8.108305	7.176345	7.231315	8.323076	2.013838	8.828976	10.019192	13.728861	16.389753	14.360536	14.051436	13.781031	13.631905	13.539620	15.682841	16.076398	-112.932544	-295.971555	-555.887517	-892.426824	-1333.950581	-1877.331710	-2527.090413	-3294.963954	-4149.878018	-5084.950100	-6154.238920	-7345.180787	5.594940	8.477216	4.827135	9.296236	23.051470	29.368213	37.411455	43.019375	45.089586	43.170028	46.294349	49.285376	-111.498895	-295.073317	-572.776032	-956.908447	-1472.633531	-2093.152360	-2820.511291	-3657.398009	-4561.147377	-5518.043879	-6603.297148	-7811.041776	4.551520	12.263553	13.656282	17.311584	19.329300	16.672419	16.382877	16.229764	16.254643	16.785115	19.583252	20.593038	42
3mss_3	-8.478246	-20.977707	-31.722644	-27.992076	-12.010993	-8.610181	-5.446761	-3.009052	-1.851410	-3.313394	1.088223	-0.202953	-1.744509	-5.010347	-9.217594	-4.706479	7.247381	9.350085	14.720679	20.313784	25.979341	27.246910	29.839696	31.863348	-4.533788	-9.323087	-8.392947	-5.635314	-8.883332	-16.462715	-18.282107	-17.233070	-13.931150	-12.496790	-14.896276	-13.546382	-2.351291	-4.864269	-3.588140	1.771786	2.839682	-2.175469	-4.242304	-3.893537	-1.111712	0.326582	0.869869	0.992015	-84.613767	-311.648953	-606.015520	-950.615666	-1386.485470	-1923.360228	-2589.231984	-3388.034462	-4258.471738	-5226.842457	-6357.670143	-7582.769307	-1.502428	-7.554389	-12.111960	-7.171443	6.614787	9.850166	15.461590	21.119630	26.757489	27.458188	29.079300	30.090642	-83.180168	-317.130572	-630.795417	-1021.892105	-1529.874168	-2141.436205	-2885.958834	-3758.181021	-4678.724495	-5671.849055	-6822.146437	-8062.394300	-1.172717	-4.471963	-3.407280	1.699655	1.784934	-4.029759	-6.100187	-5.649069	-2.685394	-0.670468	0.461574	1.218026	42
