name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3myg_104	-1.670086	-7.120700	-17.850929	-16.265291	22.622968	47.798758	56.234074	66.824101	64.320703	60.443260	55.172207	32.600451	-7.555822	-9.137766	-12.401762	-13.049051	5.162828	6.506322	9.866371	21.880918	29.317053	40.117100	40.516363	40.701217	-1.876496	-2.258942	0.044308	-7.479931	-14.598634	-28.650560	-48.879317	-69.062808	-95.187245	-121.921104	-156.177495	-181.255623	-17.409822	-18.725548	-12.872956	-10.578178	-1.210193	-3.360134	-4.401589	-3.050033	-1.989970	0.209812	1.264516	5.298232	-110.162585	-379.196780	-718.405013	-1167.752684	-1779.210749	-2681.682946	-3798.651448	-5176.851081	-6781.886100	-8621.700458	-10495.621746	-12565.159967	4.608625	-2.786932	-9.665285	-11.738344	8.975272	10.597737	12.200903	21.339467	25.450026	32.296148	29.411777	26.337074	-112.239479	-386.594822	-739.417238	-1247.651936	-1964.108718	-3000.981918	-4246.720094	-5758.608754	-7466.386268	-9376.042885	-11268.529374	-13351.774549	-3.232805	-5.300546	1.983325	4.438385	13.480458	11.486845	10.519432	11.973311	13.316194	16.050527	18.079015	22.885298	57
3myg_110	-20.239197	-21.555199	-30.899848	-31.697899	-0.353274	26.184892	31.648139	39.424555	39.084148	33.131792	39.243350	23.353234	-15.493821	-12.581297	-11.730509	-14.146964	-7.035458	-2.624313	-1.813727	8.354658	17.317814	25.976288	34.006719	40.443417	-17.688053	-17.399240	-16.071657	-24.642841	-30.659996	-39.633272	-60.389551	-78.854979	-98.869773	-122.547375	-146.447845	-167.908404	-19.384544	-18.765675	-11.513728	-10.964562	-7.975330	-6.110319	-9.043993	-6.294084	-2.272112	1.412432	8.931438	17.402906	-94.533305	-296.611175	-616.173627	-1033.589829	-1621.388728	-2452.819834	-3485.592581	-4771.589740	-6216.244506	-7883.431865	-9758.346216	-11799.397746	-10.442117	-11.837781	-17.021804	-21.232099	-11.519896	-6.755600	-7.555354	-0.142092	5.929070	11.028087	15.297326	18.234755	-93.982885	-302.965419	-641.492109	-1113.957304	-1798.750254	-2751.545808	-3900.441782	-5306.463937	-6838.817404	-8564.194347	-10471.094712	-12534.080396	-12.902856	-12.794394	-6.465428	-5.956295	-2.541881	-0.406578	-3.247537	-0.463482	3.891046	8.070726	16.175356	25.205971	57
3myg_115	-3.234709	-9.646487	-13.840657	-11.357552	26.255643	53.614167	68.673514	71.605084	66.565088	57.244589	56.927974	34.605413	3.815656	3.960811	6.860168	7.418077	16.930868	27.411347	37.571517	43.243364	47.212807	53.410881	57.841983	55.246180	-5.596798	-7.006950	1.078838	3.148182	7.815989	2.062362	-9.488727	-29.895455	-48.846287	-71.108849	-94.438296	-118.020806	-4.285003	-3.074720	8.147216	18.182222	27.461804	35.552760	40.969039	42.025050	46.033647	48.983824	55.930232	56.961807	-83.321118	-281.927083	-574.378679	-956.547680	-1546.679072	-2324.542184	-3309.216999	-4548.222851	-5938.592308	-7400.217692	-9036.743916	-10787.890173	5.842056	1.950436	-0.556972	-1.472229	11.011553	21.973099	30.539075	33.575582	34.785203	38.253212	39.729290	34.471809	-88.475050	-289.788967	-597.783072	-1024.106949	-1711.751940	-2598.173555	-3696.608194	-5050.441323	-6519.424872	-8020.659209	-9673.763974	-11433.718991	-0.855100	-0.057543	10.476268	20.590288	31.172823	39.511515	44.999666	46.119368	50.453457	54.169749	61.904639	63.657083	57
3myg_140	-7.673841	-15.443424	-27.914463	-25.722127	7.312766	32.462940	39.613644	41.320094	35.849384	33.834114	28.974450	9.204534	1.725953	-0.685641	-4.059523	-0.653590	8.006980	17.546757	22.737215	29.619114	33.524307	42.164980	40.676991	41.017521	-6.341801	-5.860749	-6.816436	-7.868262	-8.314625	-19.530483	-37.666821	-56.659448	-74.386494	-91.859492	-123.152483	-146.609569	-5.514735	-4.207864	-0.422205	11.692385	22.597908	27.923088	28.917714	30.294733	34.498016	39.620347	39.362287	41.623593	-118.585444	-364.970888	-714.477606	-1126.147750	-1735.872795	-2546.480317	-3544.591237	-4708.189847	-6043.823259	-7636.669408	-9367.709949	-11184.228421	4.739028	-1.654096	-10.225525	-8.112213	3.242726	13.126205	16.882387	21.653266	23.095336	28.371974	23.597230	21.133625	-121.295571	-367.979544	-735.934104	-1191.872765	-1898.900015	-2824.852494	-3933.577066	-5197.572721	-6607.621434	-8256.643273	-10012.239010	-11842.359723	-0.515571	1.297212	5.261869	17.144588	28.353775	33.583952	34.676859	36.304863	40.962298	46.601362	47.024883	50.015043	57
3myg_159	-4.688814	-4.607011	-13.963477	-12.765300	7.563272	15.103048	19.998765	23.289833	23.055972	20.954745	20.612528	10.862544	-0.163284	3.279790	1.611758	3.298608	7.445260	7.409578	9.056084	14.373862	20.182436	27.914029	27.469957	33.209067	-3.104221	0.721958	1.335482	-2.694845	-11.283773	-28.296941	-44.051299	-61.036915	-77.040432	-91.977181	-112.425763	-128.408504	-2.830827	0.848482	5.304097	10.347058	11.893953	9.923428	7.499013	5.990412	6.714768	11.184503	13.544714	20.959826	-59.876013	-225.348555	-497.413673	-823.145581	-1286.550595	-1865.400174	-2620.181011	-3552.693842	-4616.462338	-5862.553773	-7324.056407	-9003.634732	1.744673	0.424176	-6.484536	-5.904975	0.278390	0.305253	0.759100	4.146070	7.810162	12.837702	9.314699	11.861647	-60.249762	-230.852387	-519.448497	-884.615845	-1421.444417	-2076.570085	-2918.319915	-3939.093850	-5069.616181	-6360.309665	-7848.601879	-9555.064767	0.056934	2.175080	5.749207	10.784605	12.534435	10.135487	7.755107	6.316533	7.271793	12.078914	14.757771	22.406321	57
3myg_162	-8.322348	-17.357253	-32.943049	-28.547096	0.542505	20.386067	34.596210	41.086553	36.240184	25.665499	23.234520	0.241791	-4.135486	-7.365534	-14.112728	-12.301774	-6.091028	-0.556285	7.774992	16.563789	18.855104	18.169549	17.405832	13.368722	-4.714374	-9.454562	-17.059665	-15.960262	-18.222562	-27.075764	-37.701543	-56.133196	-76.070684	-99.335982	-127.017594	-154.443060	-6.212702	-8.951608	-11.378252	-3.436635	2.021739	6.393037	10.065316	9.594456	10.744128	8.792040	9.663627	8.317671	-76.639667	-275.590817	-568.645143	-936.210256	-1480.427102	-2188.409424	-3102.310367	-4207.847210	-5519.209162	-7029.650634	-8719.447012	-10565.319401	-0.751039	-8.601150	-20.480195	-20.348776	-11.569837	-5.718537	1.144071	7.686610	7.256181	3.326189	-0.855522	-8.059320	-75.643668	-278.702900	-588.383056	-1001.698993	-1633.713014	-2438.852897	-3460.035103	-4669.764426	-6060.441216	-7622.203684	-9339.774294	-11205.554485	-1.557158	-5.315392	-8.467056	-0.655563	5.565602	9.919419	13.682350	13.320866	14.697034	13.168907	14.523850	13.671865	57
3myg_181	-8.094221	-18.933983	-33.248232	-32.267518	-1.374018	25.425361	40.679648	43.116480	43.984555	32.899711	36.319195	16.760352	-1.129635	-8.102422	-12.086454	-12.286043	-5.207795	7.882476	16.995268	22.167891	29.961788	32.332557	37.656253	38.282908	-5.527659	-11.465204	-17.455186	-21.845084	-22.186382	-29.192264	-41.868756	-64.241174	-80.948582	-103.263377	-125.727642	-151.892813	-3.146278	-9.356040	-9.078617	-4.889263	1.805955	10.245970	14.435027	11.721574	16.750736	18.100118	23.626216	24.698882	-72.994084	-271.412627	-556.102194	-930.981858	-1489.249590	-2215.349832	-3188.952143	-4350.965956	-5732.912433	-7217.832606	-8934.121348	-10821.322768	-0.525621	-12.844455	-21.205466	-22.901711	-13.160972	0.212182	7.621220	10.411600	15.258872	14.670946	16.571318	13.954756	-72.711645	-276.603261	-580.785480	-1003.808813	-1652.996044	-2482.710297	-3571.777139	-4840.642496	-6308.304785	-7836.272715	-9580.251505	-11489.677651	-1.403572	-9.315224	-8.883002	-4.609672	3.027366	11.466212	15.696815	13.080653	18.294487	20.257074	26.327377	27.902869	57
3myg_198	-8.979646	-13.492908	-22.497331	-14.721279	17.570810	36.791147	49.474022	52.513740	52.781070	54.034769	55.538271	35.814510	-3.409245	-2.778985	-4.271182	0.200023	14.759383	19.051404	26.843230	34.097270	41.640268	54.853928	56.233263	54.219644	-7.846848	-7.811792	-7.460226	-6.027412	-10.701024	-23.499075	-36.999816	-56.203304	-72.004207	-88.824451	-115.321221	-140.929154	-7.167317	-6.193217	-2.548620	5.043189	13.233149	13.567449	15.629804	15.573192	19.899102	26.383812	26.857566	27.082540	-72.200644	-272.595673	-574.230579	-947.608814	-1469.301546	-2185.891816	-3103.795852	-4188.053925	-5457.695831	-6923.731280	-8646.099099	-10563.245144	-0.831130	-5.648392	-12.620242	-9.391145	7.406037	11.844106	18.134487	23.255674	28.229424	38.308608	36.082621	30.603292	-73.020623	-278.730861	-600.047244	-1022.957702	-1631.653772	-2450.622707	-3476.159376	-4658.842357	-6005.607146	-7526.334942	-9282.928674	-11225.860472	-3.450511	-4.168546	-1.187451	6.638418	14.886199	15.089851	17.208365	17.291899	21.888091	28.826951	29.696524	30.306452	57
3myg_225	-12.091082	-17.422683	-24.030334	-18.452696	16.719784	45.695283	50.070555	52.280237	43.326127	34.780157	29.545243	16.762890	1.690600	-0.953641	-0.458597	2.731935	14.199506	24.741283	26.688749	32.087501	31.435958	34.344375	32.635932	39.392253	-10.396965	-10.107557	-4.261445	-0.751689	0.483512	-5.575504	-25.648395	-45.614315	-66.808975	-88.870032	-120.281332	-137.801136	-4.194162	-5.523783	3.599829	15.296396	27.710032	35.446498	32.851473	31.325500	31.390517	32.265856	32.702462	39.952362	-113.746179	-356.273191	-663.311486	-1075.613019	-1669.508971	-2486.823041	-3467.913882	-4638.036337	-5992.960415	-7555.737646	-9293.076569	-11071.293886	1.531802	-5.672426	-8.540094	-7.227104	6.900299	17.840601	18.396065	21.579456	18.351156	18.047476	13.021518	17.054506	-116.700457	-364.095847	-682.557771	-1142.716401	-1832.407994	-2767.970958	-3855.474272	-5128.884599	-6559.644695	-8172.842941	-9933.981897	-11725.411582	-2.499277	-3.902513	6.343438	17.733094	30.572861	38.476661	35.964767	34.627933	35.090400	36.534859	37.640542	45.624371	57
3myg_31	-6.325573	-14.560931	-24.800506	-23.716600	6.234080	21.842531	34.034813	40.601403	36.122951	27.602011	25.774372	8.914908	1.167437	-4.766725	-7.478684	-9.217318	-0.510361	2.515519	9.061886	17.594050	20.807343	23.354500	23.373008	24.279643	-3.621300	-7.401729	-8.279892	-9.813112	-13.259560	-25.806925	-36.301788	-54.040439	-72.526004	-95.713646	-123.055107	-144.667586	-1.618734	-6.851461	-4.171345	0.496445	7.292811	8.979275	12.643764	12.365899	15.635748	15.184683	16.155849	18.892150	-83.298622	-294.365375	-573.551033	-939.531926	-1486.902365	-2187.599654	-3101.898894	-4197.764924	-5503.576399	-7003.461151	-8655.794975	-10457.410278	1.636267	-9.678122	-15.963478	-19.016103	-7.668828	-4.306381	0.795803	7.122461	7.627225	6.929759	3.692038	1.551723	-83.717700	-300.621266	-595.438507	-1004.379865	-1642.710075	-2437.239070	-3456.117988	-4655.184499	-6039.253256	-7591.788830	-9270.027303	-11090.711678	0.200636	-6.512846	-3.161693	1.536932	9.216698	10.822054	14.597527	14.452068	17.949556	17.899759	19.422801	22.683107	57
