name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3o9i_12	13.570611	0.962729	-6.527150	-12.322840	-22.714038	-24.477889	-40.584982	-61.197373	-76.359013	-88.651240	-95.532100	-96.278544	6.768283	-4.533308	-5.608458	-3.859574	-10.772381	-2.348664	4.075703	10.349082	19.114572	24.276032	24.484725	20.035443	16.489473	7.870972	5.429433	2.381599	-5.882837	-6.011122	-9.214973	-8.764303	-3.635204	7.717557	19.878278	33.787905	2.551854	-13.773742	-15.091272	-16.576593	-23.795507	-24.138650	-29.957493	-36.619319	-42.453824	-50.880975	-63.768640	-77.150195	-224.775991	-620.879827	-1195.298434	-1931.961569	-2939.062092	-4249.802004	-5906.860803	-7766.114989	-9715.652746	-11543.910258	-13130.120958	-14391.467761	9.288351	-2.634048	-1.556379	3.576543	4.095210	19.699498	30.998185	40.949247	52.447798	58.577838	58.948376	54.189093	-218.937632	-633.601376	-1261.137327	-2102.645401	-3264.506062	-4771.200900	-6633.635131	-8662.781698	-10725.821176	-12584.498394	-14143.835083	-15355.601281	6.782063	-8.653833	-9.910408	-12.138126	-20.365291	-21.435624	-27.566537	-34.655720	-41.003239	-48.793629	-60.235512	-72.113311	81
3o9i_130	88.686564	87.481553	88.376612	85.559144	83.214348	76.915025	68.187860	50.997671	32.825913	15.765342	5.179403	-0.320175	66.594530	63.028005	67.645865	70.920451	71.697312	74.325796	86.377114	96.104768	102.464667	106.520528	105.041930	101.216887	92.647678	93.825369	100.010598	100.932963	100.321807	97.668429	96.804232	96.427601	98.624113	106.503595	116.612318	128.409212	61.085343	52.963796	58.376764	60.050279	60.573471	57.385241	54.094649	48.555681	41.837524	33.672111	21.181569	9.343813	-70.685147	-414.794944	-930.754066	-1597.748767	-2510.963847	-3712.224839	-5247.420973	-7022.223497	-8908.639945	-10775.388168	-12362.398896	-13745.547000	87.062485	82.788706	89.567213	96.059709	103.382556	112.584544	129.328384	142.805020	152.012125	157.361743	156.156353	152.257527	-48.190428	-408.399398	-975.285519	-1740.551760	-2795.323017	-4176.009959	-5910.352075	-7858.061254	-9859.761277	-11769.924841	-13335.533662	-14682.204471	83.110115	75.630628	81.337233	82.425451	81.781489	77.929797	74.447894	68.592334	61.444360	53.828705	42.656489	32.127282	81
3o9i_135	59.689787	57.068257	64.769353	58.759782	62.317093	56.902131	43.119628	27.033493	12.426801	0.480934	-9.240163	-12.551893	43.143100	39.219589	49.518305	49.485031	55.970863	60.507523	67.697079	79.226663	86.784848	91.001103	90.548340	89.310680	65.524189	67.451994	77.546588	76.570258	77.914262	75.398483	73.815126	74.928019	79.067074	89.468280	99.816420	112.157152	40.895654	34.040766	42.133553	41.559594	43.522890	41.255209	37.315691	33.430974	27.052502	18.581359	6.780210	-4.098350	-143.950125	-478.925834	-976.748367	-1666.453009	-2619.003894	-3848.408122	-5381.278162	-7183.963817	-9007.240192	-10727.615094	-12296.315531	-13677.626016	54.619274	50.218242	62.814921	66.571669	80.582760	91.637468	103.175826	118.504160	128.559447	133.696792	133.509621	132.224970	-131.127989	-477.851977	-1028.888494	-1824.018860	-2929.601384	-4336.754526	-6057.765717	-8034.761793	-9962.354885	-11710.447872	-13259.336161	-14607.887578	53.975823	47.870067	56.448368	55.850906	57.333994	54.214615	49.892628	45.676924	38.798333	30.943777	20.436160	10.844105	81
3o9i_141	132.497487	139.396900	141.811905	145.152264	149.551609	144.789563	128.769707	109.165732	92.563201	81.849030	76.359533	73.555184	110.179639	109.578298	114.028885	122.910579	130.963320	135.097116	140.986003	147.979680	154.606889	159.351448	163.842526	163.922998	140.818298	153.516024	160.172859	163.571797	164.497672	161.910982	158.595764	157.739849	161.686326	173.979925	185.592979	197.564643	107.352318	104.934572	109.169412	112.565475	115.561785	112.629396	107.627628	101.114096	95.132688	88.106069	77.806814	66.843001	-108.405468	-435.811145	-968.302659	-1673.835100	-2581.742490	-3759.387097	-5335.128215	-7121.147790	-8988.254470	-10697.506098	-12297.911009	-13715.571356	128.939635	128.865743	135.482409	148.003009	161.671445	171.649137	182.406363	193.093013	202.401614	208.004884	212.809337	212.879345	-82.436853	-419.135913	-1004.815269	-1820.481317	-2864.640125	-4214.919776	-5997.305882	-7955.968705	-9935.025388	-11670.914498	-13258.019356	-14646.917231	128.140895	127.354600	131.723825	134.703398	135.430430	131.225162	126.031811	119.173678	112.716670	106.304236	97.277339	87.585246	81
3o9i_164	24.710342	17.485470	6.846915	-2.850198	-7.075969	-8.743730	-29.222726	-49.248665	-63.291762	-73.639405	-78.946880	-78.803323	21.682744	22.195563	17.932786	17.066022	17.106934	25.477273	28.023780	36.225694	45.404102	52.182364	53.313269	51.350079	26.793144	24.544430	19.958968	16.788706	12.401052	11.401934	6.277219	6.907025	12.965390	24.945898	36.873992	50.008885	18.277110	14.793883	10.897172	10.389296	7.967597	6.632636	-0.676966	-6.122014	-11.379303	-19.275468	-32.527845	-45.711837	-171.451773	-571.714065	-1171.211877	-1919.583561	-2891.528492	-4178.120377	-5848.634428	-7729.690284	-9649.919921	-11461.014381	-13011.115480	-14309.156601	26.084737	25.099802	23.427128	25.946745	32.441966	47.970362	55.624212	67.663973	79.440677	87.155991	88.420795	86.211728	-166.168625	-584.689868	-1243.151148	-2092.209268	-3206.464982	-4686.401128	-6564.812742	-8621.701184	-10651.858888	-12493.287012	-14015.372012	-15269.832447	24.141569	20.799254	17.535244	16.245591	12.027038	10.062333	2.559914	-3.275893	-9.080357	-16.345506	-28.126677	-39.853896	81
3o9i_178	113.115543	105.419198	105.189040	98.886481	96.845959	93.873746	82.041702	63.835805	48.045709	33.733462	24.537369	18.874369	87.063814	71.129171	72.408423	70.756597	71.445096	75.258109	78.845433	81.251960	83.541223	88.002545	93.702177	97.080146	117.233616	109.862155	111.888961	107.894230	105.058581	103.014094	100.179314	98.079077	100.288892	106.628467	114.601121	123.067080	80.929403	59.930164	60.165710	56.766438	55.600918	53.246927	48.188345	42.093099	36.902964	32.255348	26.578023	19.598697	-45.957332	-297.151495	-718.721300	-1272.253747	-1976.949794	-2883.779720	-4049.685318	-5420.908713	-6862.078230	-8379.882662	-9865.607787	-11243.089331	115.137871	100.036791	103.073354	103.970693	109.077280	117.294738	124.208997	129.474970	133.863723	139.493503	145.781358	149.463666	-18.020235	-279.475346	-745.907539	-1382.132201	-2193.045798	-3234.662277	-4551.245576	-6055.821878	-7582.879730	-9144.662890	-10640.197195	-12012.499052	110.701807	91.278432	91.702386	87.680600	84.799269	81.359027	76.007436	69.657054	64.106071	59.820304	54.933148	48.800067	81
3o9i_201	76.303151	72.702742	63.393764	59.517090	52.912096	48.344570	31.360758	11.591790	-8.600997	-22.914837	-30.032796	-34.441270	55.642276	49.239791	43.489216	45.630911	42.605704	47.456993	52.040207	58.013503	61.063134	66.378841	71.914200	69.406210	80.530627	77.366489	72.157355	70.056241	65.401325	63.131084	59.901115	59.130528	61.956509	71.848680	81.905267	93.744664	51.022321	37.773394	31.238044	29.444313	26.376407	23.872325	18.624331	11.765999	4.846985	-2.153217	-12.861412	-24.716707	-124.907538	-457.889859	-1006.973232	-1713.751270	-2649.379115	-3869.695430	-5430.569205	-7177.370989	-9031.364426	-10853.013992	-12546.121824	-13945.657001	69.632076	62.975808	59.662731	65.533008	68.805226	80.198998	89.382616	98.793523	104.478169	110.951926	116.943247	114.372789	-109.794450	-459.674499	-1065.522173	-1879.204800	-2952.322231	-4354.346698	-6109.962316	-8017.883038	-9977.747821	-11838.484947	-13525.980943	-14890.929036	66.663293	54.384091	48.475586	46.472236	41.817339	38.495379	32.943416	25.673070	18.270216	11.818204	2.326800	-8.215467	81
3o9i_213	10.341023	-0.305625	-8.861825	-16.435539	-21.450689	-27.838811	-41.880435	-64.799910	-80.369271	-92.120958	-98.899629	-100.079914	6.945917	-0.603066	-2.253421	-1.755702	-2.926119	0.749102	9.080142	13.100951	20.397886	26.514670	27.225691	24.010115	12.753530	5.909394	3.715093	-0.198985	-5.356939	-7.674684	-10.202474	-11.370770	-7.117515	4.278944	15.891004	29.381177	2.471767	-10.121903	-10.891127	-12.771324	-16.327192	-18.871518	-23.863501	-31.659642	-38.542881	-46.159268	-58.959455	-71.612375	-224.661172	-610.898857	-1199.426157	-1935.793144	-2908.890114	-4205.886968	-5840.599843	-7681.239641	-9576.812271	-11393.103029	-12971.259148	-14267.701055	8.989716	0.788052	1.133283	5.004800	10.594667	21.373927	34.531527	42.172708	52.028908	59.133261	60.028932	56.573689	-219.696450	-623.024958	-1264.431098	-2105.010238	-3225.990423	-4714.177538	-6554.233570	-8562.077407	-10566.396207	-12415.722916	-13969.200499	-15221.280676	6.213913	-5.573041	-6.372649	-9.020373	-14.099583	-17.349767	-22.639858	-30.866017	-38.282695	-45.289110	-56.675769	-67.887410	81
3o9i_215	54.244611	51.409117	44.153258	41.298429	32.519856	28.584475	17.494589	-3.842955	-20.276650	-32.927308	-38.270666	-39.479902	34.678096	31.139639	27.483316	31.384653	26.120647	32.306769	43.504204	49.732825	55.136004	60.301665	61.749094	58.532192	58.451078	58.281344	57.663701	56.926283	51.146914	49.673600	48.405979	47.532531	52.488095	63.304256	75.541005	88.299899	29.905236	20.905996	18.555971	18.565416	14.109505	12.506554	8.677964	1.385813	-5.560976	-14.033973	-26.679213	-40.179785	-168.449478	-552.802956	-1134.416243	-1873.467131	-2871.064228	-4168.795919	-5799.498176	-7667.603790	-9546.444978	-11377.314453	-12937.510810	-14244.391129	44.484649	40.183101	38.966628	46.490474	48.143868	61.265793	77.188061	87.177078	95.008787	101.203862	102.795745	99.346218	-156.497495	-557.901249	-1195.523472	-2043.500525	-3188.886817	-4678.062554	-6515.243585	-8558.523484	-10539.935759	-12403.885822	-13938.230274	-15201.974978	41.410136	33.126074	31.184009	30.625981	24.677766	22.179965	17.980400	10.282316	2.773213	-5.065643	-16.272500	-28.329987	81
3o9i_219	77.711665	82.034776	77.441102	73.153203	64.775209	58.235624	43.507307	27.870917	8.156638	-4.285303	-9.123348	-10.588472	61.881910	67.841957	67.659335	70.741803	64.511275	68.643187	75.842223	87.175970	91.367405	96.139196	99.014875	95.172946	83.975138	91.173372	90.749639	88.070627	83.342413	80.264742	77.716607	79.968842	84.275039	96.905057	109.393126	122.885918	59.297686	59.978542	58.740815	57.560937	52.209929	49.142884	43.310773	38.248897	31.317946	23.572219	11.009020	-2.405402	-158.432672	-516.435122	-1083.837710	-1813.322517	-2875.257681	-4236.341855	-5885.540168	-7754.423835	-9721.045958	-11568.383864	-13186.668555	-14504.416280	67.781333	73.424781	75.167717	81.666582	84.239094	95.810625	107.544250	122.518509	129.412720	135.163928	138.242102	134.138918	-146.619439	-517.187658	-1140.906591	-1978.617982	-3211.776731	-4772.386350	-6619.708151	-8662.473995	-10739.139632	-12615.710428	-14210.455390	-15481.359975	67.013397	68.631046	67.363038	65.496993	60.180325	56.385825	50.077418	44.558374	37.088236	29.999421	18.896832	6.975423	81
