name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3o9i_12	-7.291006	-18.134299	-21.487649	-3.034326	46.275400	106.073008	141.996319	176.174861	201.249503	208.336660	219.818571	222.324341	1.326798	-10.047377	-15.156264	-5.529525	23.830952	57.562168	78.672592	111.142671	136.685788	151.682989	165.162692	170.377208	-11.188933	-20.649123	-16.937717	-19.811102	-19.691098	-10.934988	-15.074070	-3.783186	-0.106897	-0.996293	0.899123	9.617249	-9.891822	-25.175292	-23.646035	-20.777575	-16.352769	-7.210199	-11.529831	0.870216	4.892796	2.439344	3.801691	9.869013	-178.980536	-537.008210	-1066.562407	-1724.474993	-2609.039972	-3828.706050	-5467.207703	-7516.672881	-9985.043680	-12608.706333	-15346.118237	-18109.993864	3.332473	-9.754363	-13.570093	-1.866367	33.632345	73.106483	96.864781	131.236464	158.354838	172.999467	185.464244	189.689493	-184.256064	-559.745909	-1132.322255	-1887.916241	-2937.946160	-4363.302668	-6224.992290	-8490.198557	-11144.263759	-13869.052162	-16649.039325	-19421.446744	-5.960258	-20.581144	-18.653375	-16.249853	-12.413932	-3.415307	-7.733819	4.691289	8.807577	7.220089	10.108163	18.079234	81
3o9i_130	20.169994	25.255570	21.600598	40.868439	91.397341	142.793811	199.082707	235.146172	253.591229	263.829044	273.350830	274.154189	21.504479	29.917136	22.572358	30.597065	61.143045	89.245004	131.842341	164.982710	184.980423	202.117913	210.922332	215.319901	14.991793	16.007832	27.545085	32.079168	39.034135	44.411767	58.064685	69.814002	72.368749	73.132143	74.785214	78.136925	11.330396	11.280181	18.450986	24.006638	32.032461	37.838804	51.539227	63.228690	66.838134	66.235583	64.505538	67.423817	-76.636594	-370.149392	-845.213261	-1445.832728	-2254.564341	-3354.681906	-4835.969515	-6736.705105	-8960.555046	-11436.276283	-13917.307291	-16603.315239	24.242612	29.636142	23.520002	33.756002	70.067861	103.358196	148.521764	183.480993	204.842708	221.651634	229.568414	232.907529	-82.032987	-397.266925	-905.756529	-1597.849422	-2555.986316	-3837.717440	-5529.097740	-7635.023311	-10019.208934	-12597.280281	-15113.489707	-17819.731861	15.199326	14.360992	22.291253	27.930919	35.705820	41.425436	55.208935	66.901603	70.581867	70.630404	70.364126	74.770740	81
3o9i_135	12.129703	15.574406	32.295069	51.178026	105.463921	151.299624	183.387972	215.597349	234.004748	246.408644	256.406258	256.631003	16.679518	20.650323	32.007046	37.958296	72.261098	96.042121	116.702664	146.258066	167.104088	186.446423	197.418654	200.657523	7.346280	12.900581	38.297096	38.636153	45.813349	42.702349	37.439528	41.772172	46.338238	49.148679	49.664546	51.195242	5.125857	6.382807	26.109638	27.646474	37.923525	37.993163	34.233620	38.794471	44.302031	45.045509	44.121440	44.153721	-128.924941	-424.981267	-882.839814	-1515.875745	-2375.288688	-3547.525656	-5062.257883	-7020.819418	-9209.382194	-11635.379788	-14249.403710	-17006.192227	21.032650	23.092805	35.832086	44.313200	85.052493	114.219101	137.170765	168.532455	190.652558	209.674186	219.636031	221.783760	-134.547123	-442.929856	-941.611727	-1675.493764	-2696.727978	-4060.783006	-5776.275297	-7947.131343	-10285.472620	-12807.125169	-15468.127333	-18249.099304	11.104510	12.454062	32.966828	34.811517	45.116839	44.978471	41.158241	45.701187	51.364288	52.924904	53.281308	54.814968	81
3o9i_141	36.553056	42.641842	49.971436	68.625134	113.201415	146.966548	191.433488	219.339011	238.768354	244.955448	256.190669	255.764585	39.509997	42.322086	39.944579	47.531241	76.345892	89.305787	116.826184	142.777513	163.831569	175.476002	187.464497	189.466938	31.832169	42.265307	57.821399	54.278946	48.687709	38.982364	44.519573	47.827498	46.109260	45.599489	44.784370	45.924705	26.263724	28.641399	35.241497	34.440768	33.662445	27.247519	31.696830	35.351453	34.209427	30.075793	27.831965	28.010395	-133.973973	-433.472769	-926.367351	-1568.296431	-2380.259540	-3496.496716	-5068.706942	-6991.003386	-9192.962384	-11534.013253	-14172.995074	-17032.104237	46.071556	48.085863	46.916717	56.897539	90.604332	108.403414	138.631385	166.350901	188.717673	200.040362	210.977505	211.771083	-138.787035	-447.895682	-979.795147	-1724.013161	-2685.081705	-3979.335119	-5775.740218	-7903.802228	-10267.322816	-12692.818327	-15385.204180	-18275.912256	34.821847	38.350353	45.412536	44.643213	42.420981	35.504359	39.976268	43.664178	42.667844	39.460929	38.383505	39.852754	81
3o9i_164	11.063919	0.897555	1.058461	17.375704	53.253626	97.633711	147.255569	185.503070	204.468267	205.627428	212.826874	213.307352	16.661764	9.446784	4.324934	12.114383	32.145861	53.707353	86.708944	121.510584	140.668550	150.131194	160.227467	163.503925	5.245963	-1.490912	6.059807	4.752926	-4.907305	-9.653181	0.088906	14.731847	11.643901	3.558499	0.739747	6.712475	3.591426	-5.889158	-4.043808	0.794244	-2.615056	-3.418978	6.109416	20.745233	17.084932	7.535071	4.348334	8.430400	-152.265746	-515.316630	-1066.880355	-1741.267716	-2619.999122	-3826.771949	-5494.327316	-7606.319249	-10021.662239	-12612.194044	-15216.312193	-18037.728137	20.383045	10.885435	7.213370	16.971618	42.479431	69.671635	105.584562	142.393803	163.018466	172.134261	181.352316	183.573723	-158.315197	-535.774870	-1135.388014	-1903.171498	-2936.254636	-4341.673911	-6242.865157	-8581.133687	-11174.013709	-13862.360170	-16498.804974	-19334.502209	9.185591	-0.179036	2.363419	6.536274	1.851950	0.877056	10.504695	25.134457	21.616052	13.009126	11.604058	17.449401	81
3o9i_178	1.953800	-2.433452	-8.111496	3.376586	39.951406	69.285234	100.832954	120.095271	136.081122	144.996619	158.797618	166.093486	5.020801	1.700269	-5.911081	-3.452166	20.565233	33.795464	55.479841	73.135976	90.071482	104.268598	118.031140	126.718835	0.202703	-6.683981	-5.082861	-6.657970	-3.772083	-5.611153	-1.772042	0.954877	0.351622	1.573569	1.359706	5.662208	-0.383763	-8.868159	-10.247958	-11.096661	-4.239589	-3.928863	0.573376	4.366602	4.398513	4.793478	3.459626	6.307485	-79.795259	-272.941757	-639.793020	-1119.565570	-1744.440990	-2598.580281	-3747.439140	-5225.907539	-6934.508309	-8932.370854	-11192.286963	-13662.489795	6.397799	1.800576	-4.736360	-0.406863	28.114389	45.221203	68.821419	87.883792	105.873236	119.757190	132.500259	140.015900	-82.179453	-288.393005	-690.638821	-1245.579975	-1984.744005	-2973.016937	-4276.944031	-5911.080989	-7746.243485	-9832.876834	-12155.920904	-14668.617083	1.929677	-6.503577	-6.912278	-7.462299	-0.735718	-0.597055	3.919578	7.702475	7.798841	8.508117	7.679227	11.201907	81
3o9i_201	7.552599	3.530813	-0.678801	13.065509	58.222096	116.351886	159.740978	190.536427	204.515748	214.183803	229.468981	232.720208	4.131814	-3.682934	-13.305397	-10.997163	17.430969	51.915563	80.212991	109.706206	125.859979	141.830016	158.401037	162.561240	-0.026241	-6.764329	-0.658403	-4.518186	-4.840831	3.996305	4.076475	13.095085	10.118817	11.419391	12.585367	19.898612	-11.543828	-25.783054	-25.438754	-27.101890	-22.385049	-11.917814	-10.950643	-1.397602	-2.768499	-3.894694	-3.837553	-0.195757	-138.255203	-427.788413	-921.614809	-1556.807174	-2389.719423	-3526.614117	-5116.080381	-7019.504687	-9298.924943	-11836.783843	-14500.944062	-17269.445771	10.667205	1.793500	-6.385528	-1.605558	32.513827	72.317151	103.330804	134.507984	152.046774	167.653564	183.194496	186.271631	-145.851092	-453.095074	-987.433621	-1719.207435	-2705.058477	-4034.149878	-5849.387438	-7948.396984	-10391.530538	-13033.125925	-15749.268877	-18536.825148	-3.312241	-16.677847	-15.442496	-16.900629	-12.780055	-2.487940	-1.495909	8.081846	6.804528	6.343013	7.685062	12.899053	81
3o9i_213	-0.161386	-14.985146	-20.121906	-2.202134	32.997880	81.501517	122.557921	152.293881	180.161378	192.894306	195.980141	198.574844	8.113157	-6.070157	-15.125206	-4.847454	13.256259	37.700802	62.296991	88.490511	118.671837	138.958001	143.966631	149.205201	-7.963171	-18.597441	-14.946258	-17.523100	-28.642353	-28.038764	-29.449328	-20.937745	-14.706825	-9.000448	-15.868474	-8.047808	-7.089236	-22.514881	-23.184004	-19.298493	-24.522704	-22.023511	-24.079191	-16.598248	-8.180866	-4.281743	-11.949350	-6.581703	-165.805625	-525.056595	-1067.791560	-1722.075452	-2587.462225	-3794.100971	-5448.801935	-7482.792922	-9891.443244	-12472.899238	-15205.728958	-17947.934842	10.183072	-5.885979	-13.786151	-1.406927	22.266074	52.380684	79.797322	107.839533	139.531791	159.479380	163.475885	167.732551	-174.641733	-547.567690	-1132.431134	-1884.613351	-2905.259642	-4312.597181	-6199.546085	-8443.987723	-11033.048314	-13712.945114	-16490.208670	-19242.207658	-3.128769	-18.108670	-18.431654	-14.991475	-21.283280	-18.904517	-20.899735	-13.396800	-4.869590	-0.093349	-6.282456	0.959463	81
3o9i_215	9.710297	15.311958	18.804061	40.403988	83.973762	128.592472	182.447426	212.359595	237.576978	249.274729	270.525204	275.097811	7.308109	11.767334	7.510840	19.380220	44.621471	64.404711	101.383420	129.979962	155.999456	175.460150	198.587038	205.633485	6.679507	10.637744	22.532265	25.445325	21.079834	16.622032	27.324428	34.590371	41.512941	43.913393	54.840889	63.745979	-4.353798	-6.769323	-2.730951	4.697697	5.009782	2.675379	12.168414	21.126036	28.067359	29.080681	38.871838	45.518336	-142.774017	-481.947769	-1013.620684	-1677.480193	-2564.247997	-3797.209942	-5425.810190	-7492.642849	-9874.185472	-12519.054573	-15188.033685	-17971.210778	14.646814	16.931544	14.132734	28.372924	59.419477	84.903872	124.531262	155.051830	182.539867	201.640447	223.800070	229.831715	-145.744462	-504.012445	-1081.098512	-1844.748919	-2891.357143	-4327.356284	-6182.750170	-8467.007140	-11020.087994	-13770.822226	-16479.398141	-19275.151891	4.769446	2.537818	7.304238	14.565563	13.939220	11.414643	20.889072	29.874398	36.976556	38.782374	50.181896	58.663631	81
3o9i_219	40.000780	45.378252	38.567238	57.389461	114.916591	167.778518	208.545812	238.453327	253.919120	263.471559	272.124447	274.575607	35.930324	40.009106	28.312363	37.516367	68.847374	95.377708	122.481998	151.801480	168.622377	184.739629	195.065621	199.598080	32.449431	41.778552	43.613115	41.491367	46.494495	50.401011	49.926155	54.772525	52.855773	53.952811	52.505680	57.518695	16.963794	20.064201	17.080890	20.580676	25.645469	31.021322	31.469262	37.768517	36.774054	34.771179	32.638163	34.575318	-158.830639	-475.054938	-998.418555	-1654.715936	-2602.320335	-3877.032004	-5537.695895	-7581.926167	-10044.361812	-12694.587430	-15491.438040	-18331.456127	44.995207	48.830701	38.045817	49.304378	88.085029	120.509906	150.205325	181.337349	199.668288	215.413852	224.697457	228.201087	-165.373689	-489.135981	-1053.235630	-1809.149726	-2944.051253	-4426.118424	-6311.734765	-8569.887728	-11210.228629	-13963.338023	-16806.259742	-19661.256634	28.413952	33.147378	30.210623	33.239513	38.768112	43.932758	44.355668	50.714265	49.836096	48.704680	48.078904	51.897903	81
