name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3ozs_10	31.523775	29.234361	27.377836	29.962056	41.876623	53.533861	63.153529	67.803098	72.458476	76.093774	75.444517	78.772961	20.265079	15.917250	16.342795	19.958765	28.298493	37.038411	49.459051	58.745932	73.014475	85.321158	94.207506	105.008494	36.496137	34.743486	33.357975	28.893295	28.980740	27.659519	29.177813	28.173696	29.823504	29.656018	32.396319	37.419464	16.558104	8.942266	7.321916	6.177503	10.021145	10.087361	9.497761	6.738896	5.814803	2.746926	-1.535168	-4.625646	-134.620943	-409.904974	-727.801318	-1110.418118	-1596.014343	-2186.891849	-2977.197140	-3952.891763	-5109.995979	-6276.232572	-7462.993544	-8620.673417	25.382031	21.084843	22.910908	28.829870	40.866490	52.895712	69.126878	82.152214	100.179471	114.522991	124.726772	136.458104	-128.930564	-416.528963	-760.843506	-1198.573843	-1761.598939	-2441.523647	-3345.139131	-4428.437128	-5681.121832	-6896.740795	-8104.123286	-9274.214244	22.543825	15.287690	12.870872	10.291434	12.065345	10.365024	9.321818	6.271853	5.083191	2.012639	-1.837114	-4.483292	50
3ozs_103	31.224423	34.445525	33.623630	45.041896	61.293326	73.286485	79.908720	83.935074	85.960566	88.158432	87.532901	86.671200	22.182037	23.077769	24.568902	34.077066	43.472136	53.745822	65.479427	75.593012	86.560416	95.660161	100.808029	103.223469	35.207818	38.470513	38.241732	41.149162	40.142217	36.098672	35.184014	33.346015	34.173173	34.231677	38.069317	43.202656	17.456583	15.109905	14.555912	18.249658	19.186033	18.658805	16.379909	12.639937	8.900541	3.776083	-2.758945	-8.629644	-120.259107	-347.215853	-684.667172	-1129.028945	-1733.809156	-2478.730760	-3375.052140	-4387.271900	-5528.310610	-6653.328544	-7658.695771	-8600.028179	27.216576	28.177160	31.674797	45.193827	60.743822	76.012509	91.522793	104.786819	118.737441	129.389094	135.038924	137.642277	-116.519784	-351.808208	-724.511028	-1244.052294	-1953.419233	-2810.103673	-3822.274220	-4934.256347	-6155.366625	-7315.312810	-8318.090561	-9248.284959	23.318521	21.221190	20.660096	24.214867	24.367059	22.491377	19.407968	15.026878	10.734135	5.667928	-0.221322	-5.470275	50
3ozs_107	4.404576	5.721795	14.276190	22.334509	36.467829	51.666061	59.675719	64.828134	62.178854	61.158565	59.406111	57.255933	4.589451	9.083704	20.148748	26.769481	35.970620	47.216251	57.931530	67.575656	72.818350	79.657208	89.264367	95.452511	6.773764	7.362131	11.427854	10.439856	10.446821	9.989593	9.305875	7.445170	5.055492	3.499957	4.110563	5.760521	2.635969	3.038678	7.490942	6.251809	6.830294	6.273816	4.589356	1.910306	-2.227912	-5.474819	-8.005378	-11.768400	-99.698790	-278.900186	-491.457931	-752.344204	-1124.581161	-1625.734171	-2284.385158	-3037.013273	-3937.464027	-4988.705290	-6095.496967	-7158.928212	5.911279	10.134116	22.007553	30.507798	43.512652	58.859280	73.107985	85.489718	93.580181	102.710186	113.894480	121.167659	-96.972211	-284.376197	-521.333770	-828.063624	-1269.952775	-1858.396339	-2613.754704	-3446.684913	-4415.534074	-5517.042239	-6654.563727	-7732.805122	4.503881	4.834182	8.672248	6.728297	6.736119	5.873728	4.069881	1.101618	-3.257371	-6.485621	-8.787541	-12.247299	50
3ozs_11	-5.834595	-12.262509	-14.081264	2.270364	15.879783	32.209206	41.140921	42.511927	41.027315	37.920789	36.968304	36.430256	4.995279	3.496021	8.814412	25.079545	36.371360	50.267151	63.901077	70.846085	76.829793	78.660610	79.235184	78.670780	-2.220934	-7.215347	-6.177199	-2.352104	-7.767765	-12.030931	-12.462629	-16.731677	-16.826296	-17.367942	-10.829419	-3.926383	1.096046	-5.311368	-2.084559	4.073323	6.281982	5.497846	1.467434	-7.008189	-15.405723	-23.914340	-32.200596	-39.280312	-194.248405	-570.866059	-1065.562051	-1673.061878	-2385.651467	-3266.683121	-4344.094797	-5497.968045	-6667.033200	-7730.006085	-8666.834851	-9516.697685	5.748073	3.904667	11.442012	32.055100	47.832590	66.925768	84.929069	94.816906	102.781588	105.148881	105.626189	104.709828	-192.388463	-585.599731	-1125.970056	-1830.088123	-2646.768546	-3661.469984	-4878.719300	-6138.644025	-7375.615655	-8448.353969	-9362.778449	-10187.416340	2.874816	-3.409284	-0.894827	3.929550	2.308710	-0.811977	-5.932868	-15.446523	-24.855380	-33.300648	-40.699218	-46.974427	50
3ozs_110	59.892635	67.485646	73.450200	82.892291	91.943181	104.691094	110.231541	115.991245	122.976825	131.419949	136.200979	137.763014	43.677688	45.946125	54.098858	63.600304	68.535371	75.344516	85.466484	97.101815	113.491015	129.322627	142.568236	149.983476	63.612734	71.655844	77.720955	80.258322	77.395139	78.309239	78.287773	76.961472	79.571486	81.384788	85.619177	89.999674	38.545161	39.322786	45.260250	49.883562	50.137946	50.266130	49.401906	46.955383	46.563211	44.436247	41.140649	36.746838	-78.835294	-272.975013	-561.711139	-942.183112	-1451.897678	-2128.822167	-2953.009294	-3906.652140	-4984.403769	-6084.473670	-7175.854317	-8218.090275	49.865316	52.311398	62.147360	74.608841	84.188700	96.432419	110.392852	125.332932	144.791923	162.409636	176.699830	184.753949	-72.081309	-273.119225	-592.434766	-1033.283425	-1626.101524	-2410.718601	-3344.113834	-4397.071137	-5557.800394	-6702.444766	-7811.264106	-8857.003009	45.485723	46.608850	52.414628	56.430707	55.507611	55.193395	53.814380	50.918576	50.099010	48.012788	45.196968	41.297090	50
3ozs_113	45.844622	42.779062	45.474152	53.185600	63.022825	73.040724	75.367940	77.553229	77.708460	75.779024	72.155410	71.316547	20.510730	13.209939	17.985919	25.760042	31.092588	38.909835	44.440470	50.630164	56.185979	59.212521	62.128071	68.692878	50.446350	47.061311	46.537322	43.925499	40.644979	37.100372	34.525681	32.111726	31.931045	30.640459	31.980306	33.892811	14.959283	5.085492	5.217705	5.857283	4.602271	2.903471	-1.192258	-5.285353	-9.204663	-13.668909	-17.520891	-20.101963	-91.546799	-277.428359	-532.327280	-833.324867	-1254.930258	-1788.343036	-2407.922047	-3052.968445	-3772.299019	-4564.840650	-5396.842639	-6343.542947	33.209323	26.035864	32.120411	41.597120	50.895062	62.365423	70.263012	77.963732	85.026443	89.223135	92.978687	100.548601	-80.068140	-271.317870	-554.928963	-903.846561	-1401.149304	-2021.556528	-2721.413678	-3427.073562	-4194.075384	-5013.416757	-5856.730411	-6821.199748	28.452180	18.780149	18.535127	17.882049	15.633914	12.977117	8.189129	3.450075	-0.981389	-5.428515	-8.947456	-11.274813	50
3ozs_120	33.982708	39.812186	43.546502	54.260202	67.176509	73.012964	77.916547	86.044620	91.288343	97.304470	100.002527	101.087150	25.592986	28.283923	35.760559	45.376906	52.101534	54.237322	63.204702	76.346081	90.624706	103.721969	113.076432	118.990165	36.926749	42.280095	46.576809	48.955396	46.721103	41.787645	40.418634	39.203271	40.666803	41.772903	46.595333	51.353226	20.464972	19.687936	24.765429	28.113850	27.364153	23.658346	20.415011	17.058227	14.827362	11.623385	7.330293	2.706409	-116.781024	-332.968876	-655.890211	-1054.288778	-1607.268073	-2300.587526	-3127.025555	-4095.086099	-5181.629512	-6289.044033	-7338.840520	-8322.242971	30.317462	33.185082	42.523471	55.144754	67.155180	74.043145	86.484237	102.881454	120.136817	134.959760	145.146974	151.491613	-110.544849	-336.838917	-694.196045	-1156.788286	-1804.697900	-2599.152739	-3532.590522	-4603.936403	-5772.174537	-6921.339894	-7980.376947	-8961.205126	26.008572	25.600989	30.542622	33.058795	31.239642	26.406771	22.412320	18.546859	15.841726	12.685369	8.936375	4.860123	50
3ozs_123	23.722436	26.239541	30.099980	40.666384	52.682930	61.722386	64.987907	70.547139	75.730643	79.159971	77.183591	75.215185	20.740451	23.252359	29.963568	39.176496	44.126315	49.927551	57.618834	68.373798	80.978087	89.858841	92.266218	92.618402	26.676916	30.082991	34.550590	36.576893	33.354960	28.830810	26.157347	23.913707	25.015611	25.997345	29.719972	34.275731	16.154607	15.356838	19.573512	22.174979	20.463775	17.933381	12.856932	8.139892	3.839308	-0.825256	-7.345860	-13.277120	-129.674697	-402.628526	-736.976785	-1167.696792	-1767.873707	-2508.219210	-3344.791292	-4305.349570	-5283.085511	-6297.787200	-7207.205206	-8047.296609	23.987070	26.282803	34.452655	47.015120	57.990793	68.733771	79.439492	93.061246	107.601180	117.750402	120.517715	120.936386	-125.737501	-408.950297	-773.961535	-1274.841648	-1978.417682	-2828.103253	-3766.710401	-4823.776717	-5866.140865	-6910.543565	-7813.442929	-8640.086822	20.245174	19.526069	23.023087	24.862052	22.267610	18.400214	12.280416	6.887555	1.842548	-2.745839	-8.629105	-13.952059	50
3ozs_130	2.443216	1.749074	-4.757584	3.445360	15.560789	17.801292	24.755214	32.433844	40.395605	45.422818	48.081010	50.102349	1.979224	-0.648411	-4.247842	3.576748	11.320472	11.245423	20.996474	33.706356	50.888119	63.253598	74.966799	83.580763	4.742253	4.076171	1.166144	3.294829	3.603506	-1.329229	-0.847778	-0.079965	3.265635	5.323962	9.010864	13.192031	-0.855934	-6.271606	-8.943318	-5.716854	-3.369855	-6.621324	-7.712862	-8.074116	-7.026233	-8.408368	-11.144230	-14.639623	-116.635667	-291.440191	-568.326382	-913.795416	-1376.024064	-1954.481613	-2719.345198	-3631.649530	-4682.889998	-5777.828873	-6858.595172	-7891.217036	2.915841	0.399212	-1.550018	9.157684	21.264220	25.146928	38.928213	55.181337	75.717554	90.111697	102.983679	112.343409	-114.913604	-297.352349	-600.384134	-1002.226858	-1540.187234	-2199.674368	-3071.282928	-4082.628613	-5219.088140	-6359.475305	-7458.978273	-8498.334417	0.692958	-4.456116	-7.027671	-4.116662	-2.671200	-6.846957	-8.134443	-8.743486	-7.951847	-9.279613	-11.606251	-14.662695	50
3ozs_136	26.050587	31.562100	31.811278	40.686827	48.958995	57.664688	61.968810	69.172557	71.263822	75.112536	75.992864	76.441684	16.787375	17.919846	21.989272	30.972585	37.830287	42.419178	49.273155	60.106263	67.642069	77.307011	86.754303	95.229065	29.362458	34.357663	32.926634	33.658255	29.521142	28.045233	28.140939	28.573454	30.051507	31.194950	34.250994	36.525630	11.724831	9.913712	9.579940	12.166819	12.953604	11.472216	8.974185	7.207622	4.496881	2.543585	0.687731	-2.190128	-134.578521	-337.449951	-641.924701	-983.652096	-1409.314085	-1962.821395	-2603.053260	-3308.396640	-4109.142512	-5019.767990	-6054.906672	-7104.691316	23.156506	24.635907	30.153031	41.034598	50.488035	58.672274	67.921669	80.659589	90.102783	101.331419	112.172507	121.753627	-127.311514	-338.224302	-674.344712	-1066.496007	-1557.243888	-2197.002511	-2920.713387	-3697.874839	-4555.001344	-5505.127303	-6568.675599	-7638.323002	18.962731	17.625398	16.807412	17.886576	16.234188	13.572912	10.315003	7.947854	4.767112	2.822419	1.241400	-1.346379	50
