name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3p5o_104	-2.596201	-18.152923	-32.575970	-42.941775	-25.241290	-13.509113	-9.221701	-6.173973	-8.062090	-11.511567	-8.661993	-10.912534	5.142646	-2.006121	-8.853464	-17.850806	-8.098217	-3.802590	2.012099	9.996593	13.803031	16.232386	18.166573	20.655473	-0.013818	-4.973846	-2.935217	-7.165498	-0.717466	0.487367	2.096493	2.571347	3.412096	4.811692	1.847231	4.597287	3.501117	-0.565723	2.058431	-1.353809	5.110427	5.584069	7.298694	7.655873	8.492972	9.298226	9.740069	9.493980	-84.660427	-295.872057	-567.550505	-942.925703	-1459.712456	-2186.670329	-3125.072949	-4227.296248	-5452.281248	-6801.954557	-8265.378987	-9657.285492	4.606302	-3.957718	-9.343818	-16.268456	-1.974381	6.441739	14.512037	24.103465	29.209909	32.060896	33.977242	36.399951	-84.533977	-299.967272	-587.122676	-1013.149236	-1618.913109	-2456.748360	-3508.934921	-4715.131149	-6013.937248	-7404.067778	-8886.202086	-10281.162161	4.050663	-0.184391	2.642880	-0.651134	6.075458	6.649980	8.370060	8.728076	9.601185	10.839703	12.022161	12.797634	52
3p5o_108	4.216203	-7.905871	-23.895933	-28.755494	-12.886598	-4.847309	2.014935	5.318382	2.839703	2.633203	5.790822	5.497167	8.426704	7.525598	-0.901583	-5.247616	2.749945	4.154028	13.112724	22.199484	25.758476	31.726764	33.779487	39.062166	7.400929	7.392459	9.143175	9.876829	13.389525	11.470249	13.488010	14.406377	15.538392	19.728045	16.468150	21.017769	6.024943	9.131605	10.458831	11.121485	15.937299	15.119734	17.979994	19.416317	20.661140	24.103204	24.147564	26.041149	-94.619871	-320.619899	-621.714577	-1044.177639	-1608.623386	-2400.654561	-3385.857813	-4506.862230	-5812.296903	-7238.680997	-8757.771480	-10255.878565	9.987222	7.477688	0.724917	-0.953562	11.533225	17.342950	28.500349	39.078235	44.033615	50.469555	52.511386	57.720036	-93.710378	-320.502781	-641.992574	-1125.327959	-1780.924746	-2690.873279	-3795.840233	-5018.665062	-6403.018219	-7873.189958	-9410.060333	-10914.204492	8.876236	11.615172	13.288531	14.416647	19.017915	18.236446	21.008311	22.446221	23.730650	27.661717	28.559782	31.495128	52
3p5o_114	-7.960891	-20.198123	-32.785187	-33.727279	-17.883477	-8.006979	-4.139032	-0.030021	-4.309961	-8.315274	-5.095198	-8.347261	0.287278	-4.423822	-9.033808	-8.828033	-1.101162	2.280611	8.067940	17.171067	18.533796	21.160100	24.150462	26.323777	-5.547608	-5.942443	-1.133611	3.479646	8.576639	7.864856	7.082324	8.492574	8.681581	8.712382	5.194734	7.312312	-2.511547	-2.790956	2.417686	7.723851	13.176004	13.304802	13.166745	14.321800	14.180284	14.397602	14.920151	14.504966	-108.885930	-322.297815	-605.812509	-993.781235	-1544.934351	-2301.798598	-3278.713071	-4389.646787	-5676.356085	-7049.197749	-8560.001694	-9991.989005	-0.061076	-5.787711	-8.957403	-6.486878	5.846794	13.531703	21.651040	32.294828	35.051825	38.113955	41.088241	43.190528	-109.176394	-323.556809	-625.635565	-1067.780180	-1708.693572	-2578.716147	-3676.827636	-4890.616522	-6255.432918	-7668.260251	-9199.566974	-10634.134229	-1.548639	-1.712714	3.643448	9.129336	14.672792	14.928783	14.786331	15.946393	15.839794	16.567767	17.861818	18.512619	52
3p5o_126	11.077527	-7.496685	-23.005870	-27.997068	-11.380353	0.578304	5.197829	8.289889	5.941883	5.422563	9.613338	8.231613	13.316024	8.079436	-0.674948	-5.341056	4.615639	9.976346	16.177008	24.228170	28.110921	33.555097	37.649905	42.436868	13.179406	7.954112	10.890947	11.183307	15.762999	17.264695	18.192794	17.983906	19.096658	23.496979	20.494761	23.890093	10.320910	9.760795	11.353527	11.274390	18.749178	21.270910	22.249784	21.551690	22.897243	26.409074	28.071037	29.314916	-79.024873	-320.470248	-627.469332	-1051.391475	-1616.021477	-2396.830678	-3388.355029	-4564.038430	-5869.963771	-7283.186141	-8795.694788	-10323.482693	15.284030	8.080715	1.088864	-0.930743	13.404898	23.007127	31.463206	41.188732	46.407744	52.298585	56.377925	61.085498	-78.890630	-322.855007	-649.837332	-1134.473082	-1788.524023	-2684.679855	-3796.583509	-5084.604045	-6467.764191	-7921.411443	-9451.061829	-10986.492207	13.497736	12.382896	14.347461	14.672265	21.798048	24.240248	25.167397	24.462470	25.824960	29.870403	32.409530	34.666957	52
3p5o_141	7.457644	-5.904247	-15.867694	-10.754558	3.522794	17.306076	24.253538	31.574563	31.554581	31.660369	37.994596	33.628701	7.298763	0.935209	-2.394017	3.280249	11.640826	20.432652	27.774845	38.725478	43.656245	49.408709	54.429715	55.307692	7.159721	0.761530	2.717045	10.603741	13.791227	17.923769	18.233610	20.848919	20.719531	22.233563	24.372841	25.847465	4.838793	-0.064992	3.001554	10.994912	13.975732	17.742003	17.554240	20.044028	20.436142	22.248124	26.135838	26.036115	-29.485134	-184.355585	-393.240290	-650.719131	-1014.147134	-1522.997070	-2250.673294	-3154.568590	-4200.058170	-5370.605037	-6611.230704	-7924.611151	8.707360	0.717497	-1.695183	5.405825	16.870950	28.649091	37.998341	50.485498	56.704428	62.912793	67.915956	68.711843	-30.290122	-191.020804	-412.844071	-707.416791	-1134.917750	-1724.124852	-2551.725428	-3551.945040	-4669.637356	-5885.430136	-7146.016365	-8472.103021	6.718624	1.285820	4.472839	12.493697	15.559170	19.468579	19.382559	21.872126	22.269334	24.298292	28.662092	29.126987	52
3p5o_165	3.082798	-2.311397	-25.789223	-22.224667	-2.071505	8.902914	16.019419	20.934815	24.003296	20.266347	24.200058	21.378247	7.369026	11.139062	-1.943091	2.307623	13.731836	18.175527	26.729151	36.826510	45.678426	48.174944	51.761514	55.748138	5.190134	7.011029	-0.327337	6.484337	14.294685	15.543902	18.987832	20.606765	23.424669	23.837010	22.437712	25.383218	6.403688	11.157261	5.718520	13.058701	19.600186	20.987536	24.520375	26.382645	29.451792	29.587013	31.923924	33.803919	-58.404634	-225.395262	-530.021082	-880.694778	-1379.798117	-2099.917688	-3018.319894	-4126.888622	-5305.011197	-6655.435956	-8051.960955	-9531.688611	7.246082	9.567930	-1.845203	4.534971	20.323291	29.048959	39.833099	51.615985	61.664841	64.605567	68.178476	72.078329	-57.821167	-230.324977	-559.354288	-959.455351	-1545.141906	-2374.612822	-3405.167127	-4622.139786	-5870.521287	-7263.593536	-8674.039190	-10163.976877	7.079795	11.472328	6.874645	14.434373	21.208883	22.905101	26.446214	28.304461	31.406033	31.942679	35.087412	37.796159	52
3p5o_236	11.788222	6.976865	-11.642389	-12.111835	6.841603	23.888355	25.073037	25.282184	20.271385	18.076010	26.649146	24.597347	15.524303	18.118381	9.439409	10.662287	20.655817	31.281646	34.530212	41.604855	42.653268	46.282486	54.282571	58.382965	16.433632	23.818291	24.533421	29.550633	32.973117	35.585108	31.741386	29.416774	27.694963	29.189253	27.652505	31.600128	12.768498	18.863653	19.719231	26.860872	31.722421	36.284651	33.034499	31.921345	29.781556	29.707580	32.690389	33.858511	-113.370113	-349.823395	-712.708953	-1170.684498	-1804.063580	-2635.110185	-3732.167485	-4975.109219	-6351.580495	-7884.584523	-9492.051869	-11139.729651	18.966784	20.673280	13.771483	17.199302	32.250648	47.164382	52.928655	61.673229	64.096918	68.210108	76.191513	80.207191	-111.366324	-350.353518	-739.080047	-1255.968836	-1994.502425	-2950.497500	-4184.171150	-5542.606528	-6998.628361	-8578.454959	-10205.533027	-11861.240191	17.870545	24.347124	25.469881	32.278876	36.900970	41.111646	37.805853	36.692575	34.622184	35.111402	39.080879	41.343854	52
3p5o_238	-5.947686	-17.028104	-32.291381	-34.024721	-19.057814	-13.567905	-11.436166	-3.792611	-5.295622	-9.410721	-4.356545	-5.419323	1.122112	0.909821	-6.066832	-7.186395	-0.553097	-2.062553	2.184552	14.508199	18.934807	21.415456	25.033496	29.748571	-3.320744	-2.199657	-0.319568	3.186238	6.805515	2.087361	1.708809	5.192988	7.313265	8.236830	6.527571	10.667148	-1.424282	2.555508	5.194144	8.748352	12.902282	8.563800	8.850518	11.595932	13.630620	14.498127	15.700381	17.374363	-105.331486	-326.509949	-617.212691	-1024.757903	-1589.586790	-2366.826096	-3353.385399	-4485.796717	-5757.995373	-7166.931805	-8708.864273	-10206.060377	1.292529	-0.428648	-5.941433	-4.549841	6.846248	9.502132	16.006927	29.904501	35.669523	38.629170	42.233218	46.876915	-105.261880	-327.599145	-635.705693	-1102.683346	-1760.186625	-2652.536469	-3756.889054	-4996.126602	-6344.009646	-7794.824514	-9358.302023	-10861.684105	0.057398	3.738588	6.485468	10.414014	14.671269	10.232161	10.471285	13.216453	15.311988	16.694324	18.670224	21.372297	52
3p5o_267	-2.058156	-15.251149	-27.807268	-33.688278	-9.637635	-0.711762	7.738865	12.117676	12.971536	10.514110	13.744554	14.124067	6.473398	3.321322	-0.407395	-5.340789	8.530044	10.528974	20.418273	29.294292	35.646482	39.076782	41.029815	47.466066	0.858539	-1.052146	3.266735	2.731957	15.882327	14.708951	21.702554	21.561214	25.575458	27.769757	24.432653	30.424200	5.099572	5.344395	10.674861	10.709144	21.894657	20.762625	27.410599	26.423964	30.065558	31.602253	31.663971	35.690122	-89.191518	-307.696323	-598.915515	-977.765913	-1527.525122	-2276.834069	-3230.835489	-4334.977805	-5567.214849	-6960.353672	-8453.902654	-9951.054270	5.319340	0.607801	-1.719722	-4.643219	14.339139	20.373158	32.512565	42.917921	50.571004	54.492430	56.431486	62.785704	-88.708250	-310.979883	-620.042734	-1050.480710	-1696.872444	-2556.281272	-3623.383454	-4831.491254	-6137.625505	-7574.244472	-9087.164051	-10592.590086	5.072379	5.053150	10.503607	10.491817	22.249440	21.037132	27.683617	26.686731	30.384615	32.388283	33.220624	38.180055	52
3p5o_287	-10.610201	-22.927862	-34.289043	-37.304782	-19.649521	-8.891790	0.412177	2.934667	1.115662	-4.260023	-0.444638	-1.287633	-1.150294	-3.102752	-7.302660	-9.423843	-0.331275	3.529631	13.921344	21.809401	26.217994	27.811003	30.828878	35.329434	-8.534535	-7.917367	-1.956474	0.264086	6.745708	7.527468	13.234192	12.783620	14.043626	12.995320	10.285508	14.409113	-4.432506	-1.312836	3.831179	6.771428	13.446901	14.661959	19.865047	19.522642	21.073072	20.375065	21.403242	22.773076	-112.209618	-329.995060	-626.659874	-1020.102490	-1575.179095	-2341.962661	-3322.270041	-4463.356692	-5739.968595	-7152.568311	-8668.076927	-10133.069571	-1.886065	-4.930396	-7.473702	-7.346368	6.432085	14.548187	27.281568	36.762488	42.505379	44.568561	47.572722	52.001356	-113.068997	-330.581254	-647.833726	-1095.720506	-1743.928171	-2624.361239	-3724.736959	-4972.737709	-6325.814087	-7780.893708	-9315.516604	-10784.978022	-3.795549	-0.648713	4.850912	7.889751	14.645920	15.881108	21.088597	20.739093	22.327263	22.127794	23.969946	26.398242	52
