name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3pxf_100	-6.573925	-3.230151	-17.932630	-16.093886	-2.172532	5.101000	12.328026	10.406141	1.886367	-6.945890	17.556567	18.097099	-1.036231	3.834001	-2.583306	0.001876	11.014183	34.765212	86.670125	135.216385	165.782664	182.851506	213.731628	236.617148	-1.598964	8.385531	7.222951	10.123214	11.955108	11.431862	17.839093	22.951844	25.972059	23.455949	25.931232	33.048232	-1.802212	5.060015	4.728861	8.128896	10.678529	11.533735	24.625023	32.449095	35.854597	35.920708	45.798616	46.646175	-73.796174	-239.571509	-486.551814	-791.272563	-1227.608193	-1904.438034	-2773.116839	-3838.766690	-5167.824545	-6660.095172	-8230.486105	-9750.535966	4.847851	7.612157	3.002140	11.488155	33.680572	62.604762	106.427827	142.856328	162.754883	169.541260	187.500511	201.227143	-71.485060	-240.374737	-505.870607	-859.900971	-1384.634973	-2196.199658	-3202.941097	-4395.356447	-5828.661682	-7379.292452	-8978.551469	-10512.045302	6.109220	13.021153	13.015500	17.868580	20.883192	22.122411	34.466803	43.119054	47.077270	49.247769	64.064293	71.455309	33
3pxf_117	-9.966366	-15.098216	-32.334637	-35.488733	-21.337226	-13.686081	-5.551110	15.781408	8.158029	10.642758	38.073655	35.790367	-8.582803	-11.199068	-19.379186	-21.765030	-10.512946	15.624735	68.193887	141.573594	169.103338	195.639311	228.482426	252.947481	-7.120860	-6.926251	-11.169687	-10.563133	-9.288507	-9.355200	-2.867752	22.480511	24.522872	27.844384	35.304223	40.704483	-9.640686	-11.572662	-14.801740	-14.741985	-13.062759	-9.753604	2.397087	30.205880	29.869976	32.422668	45.609294	45.536878	-55.304709	-224.936968	-493.891287	-847.162059	-1314.013428	-1963.185161	-2855.315853	-3938.190690	-5236.319472	-6766.112769	-8394.673186	-10092.680551	-2.377339	-8.516694	-14.784056	-11.107022	11.915319	42.339447	86.460916	146.971159	164.785067	180.324899	199.319190	212.075181	-53.784583	-229.095866	-519.027487	-929.444212	-1487.859368	-2259.096891	-3297.025164	-4516.853534	-5912.274365	-7510.688767	-9169.709002	-10892.555218	-2.054899	-5.083777	-7.522958	-5.943855	-3.824104	-0.482594	10.560448	38.709676	39.967915	44.167897	61.828657	66.940280	33
3pxf_13	-3.460188	-8.083656	-26.816176	-26.516190	-14.972558	2.452151	2.218475	15.621520	4.903833	6.134240	35.292292	33.840513	1.960152	-2.119221	-11.595763	-10.093909	0.319569	36.969067	78.414062	137.121070	166.971940	194.496701	229.259923	255.707133	0.845378	1.814157	-2.241842	1.427203	0.105932	6.492299	6.333204	20.420324	22.298186	27.641015	31.419116	35.862890	0.723764	-2.250890	-6.355487	-2.206752	-1.123525	9.759619	12.677245	24.461534	27.576548	34.302347	44.038525	44.572701	-72.957892	-249.955173	-543.145314	-903.748601	-1378.199885	-2014.254065	-2878.312569	-3901.383210	-5260.859453	-6805.687035	-8438.052324	-10123.963582	7.796924	0.328467	-6.047761	1.813427	22.922944	63.448345	97.673402	145.244244	163.888518	180.156205	201.023662	215.945482	-70.698818	-252.303529	-571.673513	-987.152284	-1549.820262	-2309.014195	-3308.437160	-4458.863522	-5928.060346	-7541.705433	-9210.765978	-10922.851032	8.587886	4.484353	2.250360	7.698589	7.755289	18.416950	21.856024	35.623051	38.873006	47.041604	61.239939	67.092050	33
3pxf_136	-6.042270	-10.069230	-20.717635	-17.167150	1.438762	10.921103	22.180236	34.311643	19.657870	17.269383	45.509974	42.945962	3.666620	2.154861	0.220265	4.405609	20.842425	48.992759	100.305439	159.029305	181.449501	206.567113	239.522042	262.014086	-0.683576	1.875968	3.808698	8.460797	12.507371	15.000800	24.922126	38.448600	36.018164	36.555540	39.290980	42.321647	3.657344	3.885634	6.774682	11.526487	17.202392	23.247975	34.965127	47.347155	44.797736	48.448516	56.489404	54.658744	-74.633207	-253.449144	-497.733194	-819.711116	-1275.776504	-1949.304908	-2795.195425	-3830.309784	-5112.374499	-6627.745829	-8219.829891	-9816.058757	4.665931	0.587319	0.918486	10.530566	39.282984	72.398892	116.625813	163.693642	176.366137	190.430619	209.812067	222.006767	-71.946068	-254.748201	-518.948956	-893.446943	-1444.617505	-2248.708454	-3226.505211	-4389.894432	-5768.989561	-7352.496393	-8980.342880	-10597.496855	6.684004	6.605647	10.215023	15.845118	22.655044	29.032408	41.332030	55.033183	53.792258	58.825309	71.230326	75.247865	33
3pxf_152	-9.368545	-14.247376	-29.381826	-32.152837	-11.860812	-8.096496	-6.869403	5.054393	-1.437755	-4.922718	19.352530	24.500454	-5.129290	-8.692661	-13.886090	-14.149824	3.252387	26.976261	73.141481	135.099054	167.382407	192.652761	222.633051	253.043926	-5.538272	-4.914990	-6.093675	-5.999467	0.511089	-3.298530	-3.685710	13.230803	13.245773	11.846861	15.323792	27.956307	-6.224496	-8.637074	-8.447254	-6.233643	0.452156	1.735045	8.044722	26.355104	28.157468	29.929722	39.443239	45.938356	-70.079295	-238.583962	-513.418000	-858.457687	-1321.007159	-1984.682175	-2866.482521	-3932.951495	-5221.163228	-6789.464815	-8386.847337	-10035.610650	-1.068328	-7.047651	-9.978658	-5.017800	24.252750	52.277319	90.192495	139.901334	162.408898	176.039203	192.859083	212.153137	-68.325319	-241.578051	-540.381526	-937.392967	-1494.148483	-2283.006866	-3304.582974	-4501.848028	-5891.102007	-7532.534485	-9158.591205	-10829.519260	-0.394996	-2.997317	-1.692460	1.022026	8.157673	9.362487	14.986291	34.241841	37.516156	40.409325	54.918770	66.920671	33
3pxf_184	-3.821749	-7.236475	-19.827453	-19.142682	3.406312	16.120342	22.906852	27.228854	22.929197	26.209504	47.945743	41.114489	4.205694	2.922651	-1.740149	0.804352	19.340672	50.770486	98.518605	149.906138	186.536312	213.884732	240.682148	261.715073	1.049834	3.101542	2.745357	6.003378	15.767222	21.635782	26.313718	33.287808	37.838019	45.416321	44.140580	44.599266	3.645152	2.968437	2.735673	7.317593	16.502525	25.970005	33.406951	39.790145	46.193442	53.757545	55.649948	52.516976	-73.808267	-247.859015	-493.735375	-829.670527	-1297.567714	-1975.721001	-2824.322628	-3860.283327	-5211.952705	-6710.233983	-8419.050763	-10099.036798	7.817636	4.080037	2.132487	10.198674	41.475032	77.518215	118.327668	158.488561	184.069105	200.888032	212.331297	222.114574	-71.484071	-250.034631	-517.728303	-906.307955	-1471.652488	-2279.333419	-3259.017949	-4421.121975	-5885.174110	-7445.832909	-9197.405661	-10900.340229	9.327580	8.371549	9.373816	14.866455	25.289419	34.762289	43.149894	51.412832	58.106115	67.652893	72.837745	75.245153	33
3pxf_2	-11.640091	-21.677024	-37.272531	-37.379657	-16.904440	-8.553413	-1.149134	5.814543	-6.977040	-15.235721	3.361766	-0.211689	-3.564530	-7.381502	-14.229439	-11.645118	5.176131	31.536453	83.369799	135.299134	162.066409	180.856215	206.313838	229.436299	-7.523376	-10.970093	-12.422227	-11.109861	-3.421244	-2.190262	1.845317	14.859295	13.822512	8.087623	2.136262	5.298286	-4.278691	-7.111304	-8.579158	-4.788713	2.147289	6.562166	16.324429	26.100574	24.878804	21.357159	21.678281	19.248763	-76.624811	-269.733260	-550.583799	-895.360830	-1359.267341	-2017.890141	-2904.264859	-3948.477615	-5315.769365	-6871.357058	-8550.225401	-10261.346290	-2.304322	-9.035357	-13.893117	-6.059261	22.277002	52.841495	96.592959	137.323687	152.990645	160.695872	171.693430	183.107834	-74.953571	-272.187138	-576.997413	-974.904069	-1531.703695	-2313.760972	-3345.135274	-4512.821627	-5989.951420	-7614.294786	-9331.957840	-11068.738352	-1.120538	-4.435774	-5.272693	-1.126583	5.751610	10.067510	19.342826	31.201897	30.328240	28.494440	32.995822	35.905846	33
3pxf_22	-11.270200	-19.889826	-32.878638	-34.567053	-11.280670	-2.765422	10.379919	25.907208	12.336544	13.352405	34.313715	35.514575	-5.859396	-7.021632	-15.020749	-16.698769	3.049241	30.785629	85.839673	147.197598	175.819884	202.473417	229.140084	259.678760	-8.136701	-9.528929	-9.272884	-9.026446	3.448136	3.449914	12.939151	33.759068	28.608659	32.197122	31.586253	39.220861	-7.170958	-6.158047	-9.315620	-9.599250	1.919419	6.542676	19.346852	38.493142	36.509644	40.624863	44.671181	49.240567	-66.841026	-242.427835	-517.031813	-853.819577	-1313.594485	-1980.056485	-2849.790475	-3872.249870	-5227.689353	-6768.479201	-8452.951317	-10165.845898	-5.202895	-8.986729	-13.292696	-9.112910	22.496935	54.592526	102.037372	152.289251	169.864900	185.245435	197.168618	215.700545	-65.740006	-243.663123	-545.268960	-934.320142	-1487.529575	-2280.291181	-3290.080427	-4433.920188	-5900.796955	-7510.542237	-9232.815944	-10972.812063	-4.875323	-4.232972	-4.716818	-3.879447	8.037188	12.594375	25.426440	46.631464	44.941351	50.459875	58.348514	67.972438	33
3pxf_263	-3.743224	-4.530838	-19.145556	-22.490016	-8.329857	-0.129510	-4.431165	-1.561566	-6.170935	-7.668271	20.431672	18.895294	2.491925	2.108979	-4.898294	-8.220173	4.071129	31.524433	69.628186	119.605530	152.856887	178.326283	211.738440	239.825452	0.539247	5.785839	4.041995	3.961267	5.527862	2.523784	-2.208035	4.279822	9.133283	11.312126	17.996473	25.097620	1.688767	2.974827	0.783457	-0.336403	2.917100	4.356355	3.428058	8.099414	12.793902	16.123072	27.581847	31.801856	-71.297369	-228.361422	-489.854383	-842.600593	-1315.841612	-1961.372110	-2837.620448	-3904.654927	-5203.940049	-6778.454140	-8453.174392	-10177.420805	7.324355	5.463190	1.636048	4.311947	28.734435	60.162785	90.763002	128.661129	151.742628	165.431181	184.080647	200.090205	-69.245127	-229.416681	-513.790904	-922.218496	-1488.206395	-2257.656210	-3271.135978	-4469.568286	-5871.816206	-7519.471628	-9231.148035	-10981.203299	8.548546	10.281955	10.077460	10.315243	14.206631	15.447172	14.554523	20.208087	25.943721	30.247389	45.494830	54.739613	33
3pxf_305	-8.633147	-8.040546	-22.331025	-25.957238	-0.261004	12.202357	14.125539	6.608214	-14.920834	-23.370704	-5.530476	-13.897478	1.163263	6.575276	1.410437	-1.018034	21.195512	48.114513	90.958131	132.371595	150.043742	170.531409	193.816502	214.699079	-3.249583	5.158903	5.272945	4.841591	15.520087	19.795350	22.431568	23.566909	18.413533	18.112780	12.285648	11.968883	0.276034	7.913600	9.137318	9.527799	20.368853	23.914261	28.117271	29.097441	24.526222	27.489631	28.262037	24.676213	-87.459499	-274.658827	-553.826961	-906.850899	-1367.100889	-2006.456102	-2879.946233	-3969.024637	-5317.224577	-6916.963940	-8551.709378	-10280.246374	2.800760	5.950268	3.095033	6.455006	39.840547	70.785058	106.115939	135.163135	142.249073	150.915365	160.575470	169.473360	-85.301663	-275.365816	-575.349695	-982.613409	-1536.709063	-2295.616524	-3306.778986	-4525.309110	-5974.547095	-7643.715634	-9311.121671	-11065.578922	4.156556	11.931702	13.844677	15.033859	25.350713	28.874108	33.185852	34.972156	31.199988	35.271768	40.848802	42.398960	33
