name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3rsx_121	11.447998	9.136972	7.296858	9.457859	11.428346	11.739300	12.162976	12.997075	12.227978	12.310169	11.783692	11.529074	11.531909	14.472871	16.862490	19.471556	16.529369	14.373712	15.692337	18.921499	20.476737	22.508465	23.277782	22.920742	13.511078	14.033355	13.752060	15.091165	13.220073	11.938763	13.130515	14.423219	14.539971	16.234338	19.545449	23.122600	11.939168	14.980625	16.000352	18.703916	18.688790	19.141055	20.407825	21.750270	21.093485	20.986445	20.347082	19.622138	-33.697821	-149.472786	-346.043590	-598.314723	-942.090087	-1362.069091	-1880.933827	-2422.631226	-2962.545681	-3432.436139	-3861.195314	-4180.059171	11.750048	13.879175	16.703742	20.315248	19.497195	18.838671	21.046445	24.734179	26.582877	28.640330	29.414417	29.044709	-31.694851	-151.041063	-369.864929	-659.851387	-1051.374089	-1522.329535	-2097.419234	-2680.865356	-3243.931844	-3711.784041	-4126.936272	-4426.039735	12.555321	15.386163	16.530835	19.204684	19.001781	19.023258	20.242566	21.594048	20.930731	21.263043	21.311541	21.245706	26
3rsx_131	8.040211	5.106030	4.183342	2.902938	6.276584	10.821896	9.984453	9.502874	7.234544	5.859366	5.134639	5.390970	9.470659	11.623851	13.314567	12.827581	11.953094	13.605410	12.941116	14.520486	14.330958	14.627607	14.249836	14.124763	10.800120	10.859006	11.696406	10.907844	10.114457	11.530688	11.707434	10.642105	9.829746	10.468903	13.728689	17.601759	9.215787	10.464632	11.031361	12.551582	14.857236	17.706203	17.409462	16.054968	14.155001	12.649046	11.008727	10.374245	-81.801635	-237.612402	-439.232805	-702.250206	-1041.076614	-1465.327420	-2012.101973	-2579.889918	-3133.738793	-3612.126790	-3978.877385	-4269.370323	9.676924	11.287709	13.788430	14.127969	15.012124	18.227111	18.514242	20.575297	20.654637	20.981222	20.599382	20.464475	-79.479174	-239.424457	-461.523809	-756.753938	-1140.294869	-1619.585808	-2229.085100	-2842.689990	-3420.602846	-3896.519527	-4242.687629	-4511.688159	10.190631	11.615900	12.341016	13.470539	15.101056	17.527198	17.178691	15.839459	13.926341	12.906233	12.083056	12.160881	26
3rsx_132	48.547331	42.362600	40.819303	40.878409	40.530467	42.094766	41.464111	42.481514	40.031335	40.039944	41.062615	42.119791	43.477705	40.701009	42.910470	42.751336	40.309301	40.850727	41.490334	43.833413	42.930045	44.630109	47.006583	47.810070	53.109413	50.592104	53.164588	51.665490	46.226332	45.064146	45.426577	45.835206	45.360567	47.521342	51.358709	55.469071	43.508195	40.701486	43.835344	44.030756	44.544526	46.379174	46.510300	45.976711	44.187299	44.595570	44.694595	44.486646	-44.733288	-210.144239	-446.866065	-732.760203	-1082.255204	-1481.994636	-1923.528801	-2423.089591	-2931.362671	-3448.391048	-3907.822180	-4222.749385	51.434334	48.439604	51.088596	51.900117	50.784586	52.309664	53.331212	56.026947	55.368080	57.148910	59.534652	60.330402	-33.706059	-202.790375	-459.993753	-784.516472	-1177.131655	-1624.855538	-2110.488271	-2651.481080	-3183.150437	-3707.007924	-4158.881387	-4455.966190	52.425549	50.125810	52.970075	52.749191	51.985010	52.915352	52.826776	52.303231	50.509205	51.290559	52.027985	52.490298	26
3rsx_172	12.686253	10.797047	7.373155	9.823635	14.747005	16.474083	18.898372	20.279106	19.367941	19.281673	19.258148	18.822808	11.529230	15.143313	15.675098	18.213365	18.627852	17.723140	20.719188	24.244583	25.530031	27.226852	28.314972	28.124046	14.772625	16.096814	14.722418	16.825982	17.579189	17.428482	19.888955	20.805086	21.226707	22.994917	26.645253	30.086087	11.837488	15.613281	15.414208	18.577892	21.594584	22.969903	25.217572	25.924292	25.444427	25.357812	24.983759	24.469792	-41.017224	-167.189293	-360.299845	-611.924016	-947.104711	-1365.364579	-1878.146659	-2406.795965	-2915.915742	-3397.767079	-3812.095772	-4150.906176	11.911827	14.644446	15.677267	19.276105	21.616941	22.340237	26.197673	30.146150	31.653583	33.396048	34.483345	34.290543	-39.189400	-170.178143	-382.919794	-671.303408	-1051.422263	-1522.114025	-2092.462479	-2662.016915	-3190.091175	-3672.388465	-4072.919085	-4394.085356	12.659273	16.243319	16.121452	19.294586	21.946110	23.018773	25.199351	25.914269	25.420560	25.746634	26.058125	26.177072	26
3rsx_173	8.045077	8.703214	6.854053	9.663130	8.570838	10.378336	12.231399	11.693815	11.862761	11.194775	10.735524	10.717685	10.375258	13.105112	15.232921	17.161644	11.300223	9.942719	13.045877	14.713475	17.148323	18.217893	18.755622	18.495078	10.789899	14.360721	13.463091	15.801562	11.273047	10.953414	12.484099	12.919803	13.677650	15.134878	18.719044	22.287804	11.131554	13.653251	13.901536	16.408053	14.158691	15.197409	16.861546	17.124615	16.956299	16.380805	15.685547	14.829583	-49.532295	-173.713707	-365.595318	-619.854443	-973.264827	-1418.484707	-1928.347087	-2485.111581	-3012.641550	-3490.380719	-3903.557222	-4213.686772	11.856327	14.079261	16.928640	20.062292	16.227972	16.634032	20.499116	22.637413	25.305148	26.421863	26.964654	26.691388	-46.438578	-176.625637	-389.708674	-682.040683	-1082.229801	-1585.019932	-2147.802581	-2747.260763	-3295.894416	-3771.612737	-4169.262817	-4459.249358	13.147884	15.840210	16.330058	18.951207	16.355120	17.099640	18.667003	18.939555	18.754042	18.644127	18.676211	18.497720	26
3rsx_218	56.187806	59.895159	56.587818	59.113886	62.652602	64.965727	66.295354	66.713111	66.440416	67.503094	67.784918	68.901476	44.159373	46.650110	45.240994	48.243660	49.885825	50.562087	52.399188	54.059096	55.448627	57.793025	58.813430	60.052718	62.640415	69.419157	69.935310	70.765701	69.667945	69.667477	71.203930	72.225659	72.509624	74.210879	77.551756	81.403600	45.023371	47.036812	46.326709	49.709587	54.491079	56.935724	58.044360	58.141252	57.242710	56.799873	55.949580	55.840669	-48.336501	-201.283386	-438.169282	-706.126767	-1034.295238	-1427.195965	-1904.784020	-2411.376324	-2921.425885	-3388.167866	-3798.149893	-4149.210520	53.146138	55.730253	55.122533	58.880436	61.626685	63.363733	65.844509	67.863878	69.497192	71.882004	72.904334	74.140976	-36.482703	-192.882100	-451.704735	-752.755147	-1119.699023	-1561.342128	-2094.296621	-2641.593147	-3175.467441	-3644.638309	-4042.946713	-4380.007741	55.039484	57.817941	57.174756	59.926945	63.308167	64.948288	65.924990	66.030198	65.127291	65.115968	64.954769	65.460133	26
3rsx_230	12.686962	12.798906	12.792276	14.015385	19.225086	25.389582	26.709485	25.550530	23.865710	21.334291	20.891263	20.693512	16.751156	15.223712	17.483419	17.799949	19.921313	22.955177	25.007418	25.290852	25.399525	24.635508	25.348210	25.284358	17.357938	20.143660	20.919410	21.867449	23.698848	25.711025	26.306249	25.807529	25.230034	25.245402	28.366667	32.150014	17.901697	15.585689	16.116196	17.691891	23.094920	26.020523	26.471344	25.432088	23.986513	22.327797	21.562705	21.347187	-102.382619	-229.325263	-413.072644	-638.425263	-934.320318	-1321.774172	-1780.938341	-2293.048373	-2844.752400	-3363.998528	-3791.736385	-4135.781763	16.307563	15.357772	18.093336	19.271174	22.852504	27.407179	30.175602	30.910913	31.411540	30.730073	31.441263	31.369783	-98.475385	-228.008244	-429.930883	-684.117680	-1019.067472	-1460.204819	-1971.301031	-2526.254932	-3107.810868	-3632.860730	-4049.095675	-4376.278399	18.432553	17.169019	17.508431	18.814468	23.489708	26.104813	26.495338	25.465325	24.022280	22.715385	22.600837	22.998297	26
3rsx_243	5.762417	-0.573654	-0.063005	-2.514539	1.576260	4.733329	4.825827	4.718996	1.854907	0.574008	0.100765	0.300416	8.708420	7.508299	10.968211	9.167622	9.157340	8.602802	9.148723	11.073680	10.440328	10.774626	11.051785	10.678897	8.260443	5.585408	7.856834	5.456291	5.008886	5.781343	5.900775	5.760990	4.302220	4.954588	8.623756	12.452714	8.567336	7.011993	9.339638	9.054496	11.806645	13.442935	13.278767	12.663414	10.175167	8.595352	7.746307	6.894354	-76.138740	-236.458237	-442.551348	-707.926540	-1045.835235	-1490.254034	-2043.945371	-2603.133599	-3147.706152	-3602.850800	-3991.430128	-4274.323725	8.744463	6.803989	10.824423	9.867147	11.592456	12.829912	14.328855	16.687084	16.298449	16.651398	16.931831	16.547668	-74.218447	-239.279681	-465.760983	-764.478286	-1147.752362	-1651.128790	-2268.105342	-2870.492947	-3436.561814	-3886.350017	-4256.388521	-4516.918297	9.303336	7.772208	10.025701	9.373111	11.433953	12.785064	12.564356	11.961924	9.466225	8.405653	8.344030	8.212923	26
3rsx_249	6.937101	2.841300	1.941018	3.318779	6.643994	8.240252	8.320834	9.029204	7.306009	5.568544	5.341084	6.077676	7.034403	6.988241	9.340889	11.340448	9.832503	9.279656	9.240524	11.708481	12.221229	12.030977	12.503656	12.639003	10.092837	8.638176	10.297744	10.792724	9.784257	9.451392	10.325733	10.691670	9.819088	10.431109	14.113173	18.325290	7.119657	6.012797	7.935497	10.578631	12.114666	13.840235	14.098242	13.739329	11.952464	10.292606	9.428185	8.937428	-85.193007	-237.617943	-446.107713	-708.109319	-1055.543601	-1474.173101	-2038.155189	-2581.363810	-3141.171097	-3598.099511	-3988.030723	-4267.784748	7.328738	6.861374	9.921740	12.687161	13.066736	13.930925	14.906018	17.767938	18.570169	18.389502	18.864939	18.989140	-82.551119	-239.776892	-468.724849	-763.439256	-1157.994552	-1628.283015	-2259.347640	-2843.423038	-3428.883941	-3880.320662	-4252.235279	-4509.945609	8.182572	7.350456	9.356100	11.544433	12.506549	13.696610	13.894373	13.549693	11.747225	10.593647	10.511882	10.744066	26
3rsx_266	-4.818314	-5.508104	-8.965182	-7.965702	-7.013260	-6.136720	-5.942803	-4.641344	-7.132760	-7.827881	-8.209566	-7.165805	-6.567096	-0.589574	-1.057917	-0.528803	-3.374369	-6.001282	-5.052813	-1.826118	-2.163985	-1.325675	-1.280438	-0.771686	-1.855109	0.284414	-0.908714	-0.446672	-3.382524	-3.931974	-3.326409	-3.144726	-4.066437	-3.016250	0.871173	5.011570	-6.585228	-2.004945	-3.230472	-1.650516	-0.794009	-0.212645	0.322400	-0.006628	-2.078503	-3.349435	-4.272929	-4.775655	-85.715318	-256.604433	-471.708454	-736.651088	-1082.371239	-1532.673446	-2085.239318	-2656.699295	-3189.777877	-3642.427306	-4010.946271	-4295.523984	-5.539015	-0.599612	-0.191369	1.310642	0.177003	-0.761645	1.061810	4.744743	4.613187	5.461100	5.509536	6.008071	-82.235479	-259.183423	-495.240600	-795.338640	-1185.258617	-1693.442799	-2308.476837	-2926.234075	-3478.931649	-3925.909637	-4273.758090	-4537.008574	-4.870916	-0.451297	-1.490502	-0.206552	-0.131867	0.046115	0.471977	0.151695	-1.923611	-2.669575	-2.770016	-2.552804	26
