name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3ryj_125	30.657489	33.442648	40.383348	47.402203	56.892711	70.717323	79.019569	86.383770	89.511727	88.536777	87.970512	87.628830	14.752438	9.897597	13.188801	16.752752	21.229695	30.308702	40.608733	53.756595	62.031518	63.545228	63.574160	61.260777	32.118703	33.026915	36.814603	36.708458	37.213441	39.435017	39.044888	40.436698	41.743988	43.260192	46.091790	50.913544	10.915051	3.827237	6.313497	5.494779	5.815000	7.284160	6.340627	6.148239	2.731780	-2.828806	-9.067810	-14.169161	-90.603834	-236.978565	-456.015828	-736.450670	-1139.677828	-1708.224789	-2396.931290	-3179.439418	-3916.702181	-4524.988990	-5051.378222	-5443.563055	17.297294	12.585680	16.935968	22.780832	31.682281	45.868013	59.540053	75.501138	85.162416	86.774431	86.578758	83.640037	-84.535118	-235.582007	-475.343480	-801.570740	-1276.464864	-1943.268305	-2726.895238	-3592.811816	-4373.671000	-4980.931675	-5488.675147	-5853.974111	13.923498	6.939235	9.168761	7.959327	7.987874	9.507630	8.272422	7.721329	3.683477	-1.841840	-7.588318	-12.222048	27
3ryj_154	-2.821432	-0.072347	7.306133	14.529648	23.763202	36.820742	44.904326	50.513793	54.607817	53.662222	53.460567	53.070121	-11.442523	-15.709368	-11.862878	-7.653734	-4.120445	4.590369	14.760408	25.911343	34.968326	36.563490	36.877130	34.600500	-1.628664	-0.409807	3.199876	2.688425	2.759316	4.385987	3.574212	4.302104	6.459203	8.028952	10.939788	15.722346	-14.902401	-21.390366	-18.999097	-19.748943	-20.328242	-19.187160	-20.513686	-21.697391	-24.533382	-30.035354	-36.290845	-41.401805	-125.083299	-273.899842	-483.961740	-765.221810	-1182.335978	-1750.254301	-2442.981476	-3231.566627	-3954.384810	-4568.137571	-5090.329628	-5488.473754	-8.719888	-12.839692	-7.851698	-1.336369	6.957239	20.652948	34.230488	48.213809	58.543235	60.264064	60.331261	57.449153	-120.385397	-273.378971	-504.972747	-833.167314	-1324.564125	-1987.437426	-2776.288932	-3648.458115	-4412.033196	-5025.122231	-5528.488072	-5900.168568	-11.703975	-18.092869	-15.874076	-16.990754	-17.641991	-16.537882	-18.154622	-19.693076	-23.171149	-28.635958	-34.394997	-39.037681	27
3ryj_157	21.565490	25.764026	30.690347	39.453147	48.677561	63.749001	73.126019	78.058062	81.549332	81.510735	81.605564	81.823078	10.655908	6.505651	7.112989	12.756559	17.027243	27.252566	38.767412	49.218169	57.542492	60.210052	60.842526	59.617074	22.614550	25.211924	27.669775	28.910207	29.351256	31.442012	31.669946	32.000622	34.125433	35.970213	38.955088	43.534558	6.708100	0.337999	0.983627	1.812102	2.152796	3.474904	3.300524	1.613080	-1.411377	-6.517034	-12.720916	-17.759575	-105.151182	-249.132461	-476.695267	-752.264772	-1157.545627	-1731.599749	-2435.459114	-3219.148827	-3936.480397	-4562.090298	-5088.085480	-5508.787571	13.118899	9.177490	11.064732	18.945262	27.584185	42.979742	58.035056	71.191625	80.713675	83.568750	83.960773	82.194878	-99.590376	-248.285969	-497.531731	-819.185818	-1294.400077	-1969.261724	-2772.386956	-3636.463764	-4393.659140	-5020.737746	-5528.152742	-5924.793883	9.665183	3.443520	4.012845	4.376283	4.336925	5.711321	5.286981	3.193361	-0.500689	-5.564768	-11.271546	-15.849635	27
3ryj_221	56.456579	64.316190	69.794456	77.957233	87.784870	96.646514	104.830049	106.286658	107.619080	110.360068	112.340856	113.485592	49.259546	49.107977	51.459699	57.774499	62.261586	67.285163	76.896250	83.398349	89.475897	94.944635	97.043601	95.704037	59.461520	64.964518	68.111904	66.751138	64.112178	62.578084	62.127869	61.449116	62.879380	65.106235	68.623440	74.105204	46.122355	42.615827	45.376575	45.033659	42.239125	40.424873	38.756412	35.438591	31.533022	26.667098	20.503421	15.506593	-83.888200	-248.668425	-493.624289	-799.603922	-1225.806486	-1798.994503	-2509.849661	-3294.629025	-4029.502575	-4681.367427	-5203.267221	-5585.632214	61.541544	61.694888	64.965627	73.165739	81.929290	91.425996	104.485096	113.534398	120.839380	126.573351	128.367764	126.318984	-69.708484	-240.200669	-505.327039	-860.097367	-1364.604619	-2032.318319	-2844.827029	-3708.133440	-4484.322124	-5143.438370	-5647.009541	-6001.956735	59.057041	55.736050	57.831743	56.395232	52.789215	50.455277	48.459669	44.653555	40.062161	35.236809	29.598368	25.096825	27
3ryj_229	5.485731	1.623570	8.878537	19.674124	28.241550	38.162775	48.716695	50.843567	50.079595	49.958347	49.248289	50.778683	2.629900	-2.441772	2.603818	10.716122	15.161937	20.778987	33.355164	40.816703	44.571019	46.713266	45.938569	45.392095	5.447446	0.625559	4.000581	3.934056	0.996030	0.146771	0.819318	0.039561	0.826570	2.608424	5.904379	11.202107	-0.456669	-7.435485	-3.989230	-3.792859	-5.961979	-7.177649	-7.228781	-10.982905	-16.175056	-22.047756	-28.639044	-33.567879	-91.223762	-295.170658	-534.630321	-853.122279	-1292.928879	-1905.636634	-2659.567031	-3440.861605	-4155.132982	-4755.080130	-5255.263807	-5652.078525	4.159245	-1.077371	5.253552	16.078963	25.018933	35.967811	52.390708	62.150397	66.824837	68.896425	67.718067	66.521870	-88.791292	-300.311911	-564.181250	-939.789240	-1456.042458	-2168.339533	-3025.895656	-3879.485244	-4626.712162	-5222.701948	-5699.582711	-6070.797447	1.456969	-5.602238	-2.313698	-2.394338	-5.172944	-6.415546	-6.694963	-11.045416	-17.013812	-22.860451	-28.922872	-33.371151	27
3ryj_245	28.390112	35.391301	47.256848	59.494850	69.098064	81.808067	90.939743	93.858854	95.291843	98.134205	98.327427	100.134280	17.849678	16.678897	22.966358	31.321592	36.619861	44.672456	55.653550	63.878728	70.093657	75.482755	75.508870	75.029632	30.548562	36.261874	44.995759	47.216635	46.466495	47.264328	47.435311	47.224501	48.279796	50.538813	53.953208	59.438362	14.064149	10.797401	16.833684	18.215949	18.090641	18.242666	17.586636	14.706854	10.201504	5.063146	-1.518585	-6.468763	-101.339669	-257.298818	-501.190147	-805.372504	-1228.271925	-1826.214946	-2563.088602	-3358.207739	-4096.585638	-4732.604238	-5238.252797	-5635.966855	27.296227	26.354810	34.099602	44.903896	54.201165	67.371770	82.003465	92.750509	100.122256	105.633016	105.253069	104.104296	-90.726405	-250.643266	-519.368111	-876.290062	-1371.076090	-2071.457690	-2911.716113	-3785.329881	-4564.153496	-5203.825059	-5686.876974	-6058.752916	24.102387	20.963648	26.931481	27.755518	26.628810	26.618538	25.663676	22.266896	17.041887	11.935474	5.889491	1.427315	27
3ryj_272	47.677974	49.147243	57.988081	69.874707	78.582837	90.255189	99.871622	101.451805	101.967854	105.921681	106.345024	108.738863	33.578003	30.304116	34.663384	43.679378	47.809533	54.818628	66.611318	73.439275	78.453667	85.129237	85.358799	85.861286	49.948465	50.247879	55.738683	58.528394	56.489864	56.974927	57.514380	56.258294	57.538212	59.651459	63.203096	68.492550	29.914680	24.615231	28.404203	31.285686	29.700251	29.488270	29.433648	25.556970	21.151610	16.139637	9.783005	4.996260	-81.678424	-246.476009	-485.084458	-786.561274	-1213.002953	-1806.113619	-2526.476941	-3312.856564	-4037.862275	-4680.903965	-5180.120326	-5592.565146	44.056445	40.929197	46.568514	57.744805	66.062582	78.125211	93.388710	102.715728	108.817846	115.698438	115.528663	115.429610	-68.790157	-236.935640	-499.636051	-852.058091	-1354.419154	-2047.776238	-2868.587157	-3733.542215	-4496.113750	-5145.549474	-5622.379841	-6011.488230	40.990911	35.738460	39.283455	41.365010	38.941199	38.555324	38.143545	33.759244	28.624061	23.641413	17.823188	13.510404	27
3ryj_281	37.516142	43.989856	52.580308	65.643671	76.915966	86.780421	96.563587	101.059347	103.165551	103.895566	103.243680	105.108061	26.268445	25.407888	31.378468	41.301756	48.209626	53.401833	64.836198	74.378912	81.367894	84.860998	84.081864	84.199805	39.008930	43.542192	49.789100	53.555297	54.923741	54.976702	55.802165	56.458834	57.473223	58.941004	62.391794	67.834208	21.614935	18.224540	24.362933	28.015179	29.917229	29.214929	29.194242	27.033791	22.889713	17.357494	11.035878	6.560839	-76.376085	-233.615461	-466.592807	-769.058433	-1177.955672	-1763.875054	-2490.023703	-3243.448263	-3967.349044	-4618.205001	-5119.474310	-5536.809272	41.663551	41.108750	48.057883	60.243022	71.079396	81.261089	96.370910	108.137176	116.289869	120.068528	118.913548	118.461110	-60.843274	-224.840865	-478.071266	-833.698846	-1314.513426	-1998.160539	-2827.811318	-3655.037045	-4420.388980	-5077.365530	-5555.842836	-5950.020048	37.607830	34.431365	40.037523	42.996480	43.923858	43.054123	42.784686	40.050459	35.197320	29.712316	23.918515	19.908739	27
3ryj_296	-0.511330	4.028657	7.392978	19.367403	24.949869	38.401441	48.042315	49.859289	49.634520	47.591796	47.559638	48.627335	-9.454919	-7.719507	-4.789739	4.343828	6.153844	15.201571	26.824713	33.707970	38.449085	38.315872	38.277349	37.050128	0.658253	2.600090	2.583632	3.393048	-1.655182	-0.786885	-1.294761	-1.838753	-0.972799	0.254081	3.450713	8.957260	-11.883275	-13.401485	-11.732960	-10.692015	-14.617970	-14.164161	-15.373970	-19.385016	-24.086671	-30.870130	-37.551254	-42.452914	-102.995953	-302.223602	-547.838319	-867.316764	-1316.287444	-1931.233619	-2702.423222	-3460.628634	-4199.132347	-4786.816815	-5295.722327	-5684.884909	-8.539542	-6.903204	-2.869334	8.974128	15.222257	29.664485	45.271889	54.140220	59.992859	59.694546	59.279961	57.362687	-99.295647	-308.488718	-576.477041	-953.601887	-1477.103486	-2195.306637	-3074.988496	-3900.225501	-4675.615012	-5255.962097	-5742.940708	-6104.707254	-10.583605	-12.098754	-10.800155	-10.082669	-14.723032	-14.302251	-15.710184	-20.412320	-25.850665	-32.600984	-38.752053	-43.165069	27
3ryj_332	9.128885	6.392669	8.476193	19.147996	27.441442	41.753436	50.887489	54.737549	55.595872	55.370169	54.667144	55.870114	8.546340	5.075788	4.215888	13.106034	17.453780	26.854028	37.921409	47.520047	53.498114	55.746497	54.651749	53.886373	8.722604	5.017863	3.625901	5.339842	2.987268	5.060979	4.974393	4.823458	5.734457	7.167861	10.327539	15.676260	5.254635	-0.232238	-2.225277	0.408157	-1.092989	0.195933	-0.594287	-3.222878	-7.655123	-13.725590	-20.722236	-25.514874	-103.931457	-275.462788	-520.598617	-825.491563	-1255.964881	-1864.207374	-2616.183874	-3398.693473	-4131.913391	-4747.917149	-5232.384159	-5629.600661	9.539450	6.217605	6.844000	18.150673	26.922399	41.890662	56.857862	68.857748	75.952275	78.225752	76.668027	75.258396	-102.641694	-281.013137	-551.780186	-907.391955	-1412.295342	-2124.021439	-2978.289239	-3834.895995	-4605.631651	-5219.864523	-5679.124902	-6050.080092	6.686937	1.353028	-0.556055	1.614811	-0.437857	1.031768	0.069291	-3.107172	-8.269627	-14.305340	-20.754538	-25.062801	27
