name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3syr_105	-6.227550	-6.984561	-7.156247	5.488381	37.674620	48.135659	52.813275	53.114222	55.473904	41.391312	14.046747	-28.583698	-6.509303	-0.151280	4.804510	20.592811	35.553662	42.602427	56.526649	71.473411	94.151659	111.559493	127.754679	136.358189	-13.187221	-12.214583	-13.405247	-18.309622	-24.660435	-35.539639	-50.819373	-69.806075	-88.721278	-117.540986	-152.335134	-190.475632	-20.892612	-17.068802	-12.327958	-4.071871	-2.099272	1.159870	2.805488	4.047926	9.968457	9.814076	8.485978	7.042665	-152.509868	-349.851148	-636.185826	-1026.993195	-1540.597976	-2252.265930	-3198.978549	-4380.723428	-5836.813005	-7577.841898	-9608.035782	-11923.934445	-3.769919	2.612353	8.323519	26.247849	44.325553	54.951980	71.583309	88.567459	113.244717	131.806486	148.474375	157.413905	-159.995462	-364.091696	-677.067373	-1136.023910	-1739.870713	-2560.080692	-3636.935422	-4946.008066	-6522.006050	-8354.649611	-10456.158158	-12829.912000	-17.328891	-13.117172	-8.485523	-0.338863	0.854355	3.802232	5.424731	6.666671	12.589038	12.501486	11.325493	10.075448	33
3syr_225	-2.314614	-0.781457	4.340582	14.946316	46.251859	59.229236	65.691199	63.097569	60.649122	47.456965	22.076876	-15.165172	-5.259133	-3.009078	6.212017	19.024087	31.840663	40.512988	55.537872	67.393300	85.664948	104.336657	122.815307	136.018579	-8.827401	-10.077188	-3.386523	-7.984182	-14.695589	-24.888698	-40.078244	-59.379270	-83.330052	-109.279158	-144.389819	-177.204935	-19.534587	-24.279021	-13.006524	-5.423661	-4.216154	-0.915229	0.447081	0.843328	1.782634	5.244283	3.777448	6.789239	-150.155775	-342.387925	-625.590579	-1005.105746	-1523.081754	-2240.739652	-3195.373546	-4342.871238	-5780.946398	-7545.510808	-9599.266856	-11914.892747	-2.230695	0.247621	10.334895	25.120637	41.124300	53.556973	71.336762	85.063111	105.291840	125.181079	144.145949	157.685672	-156.525420	-360.825086	-667.999755	-1108.539832	-1716.749233	-2546.637615	-3637.243358	-4902.894488	-6459.089054	-8317.101509	-10447.296296	-12821.041743	-15.655220	-19.821776	-8.557555	-1.221462	-0.710977	2.414229	3.756365	4.142989	5.091418	8.592195	7.232707	10.429463	33
3syr_251	-9.003213	-5.606406	-5.289126	1.398504	33.190850	49.729912	56.567528	52.521184	49.082064	38.281173	15.704740	-21.824365	-15.040982	-2.515238	4.872312	13.688853	29.889318	41.112967	56.205560	66.730551	83.902204	105.502745	126.827026	140.005130	-11.397525	-13.703577	-13.910103	-21.232102	-26.473916	-36.461703	-48.817615	-69.852837	-92.522099	-117.893390	-148.878508	-183.271494	-23.657431	-21.323037	-14.700393	-9.928161	-5.777391	-2.681686	0.821805	0.104505	2.010194	6.418633	9.302572	11.007828	-115.091792	-323.251480	-630.267365	-1011.825253	-1519.458538	-2233.873337	-3169.849590	-4340.933762	-5765.940554	-7522.617528	-9562.310744	-11867.181629	-12.146356	-0.126445	7.934226	18.657244	37.928512	52.997291	70.793543	83.328622	102.428155	125.227495	147.037337	160.539211	-116.955642	-342.172834	-677.422095	-1118.628046	-1714.656683	-2544.636520	-3608.388305	-4902.056968	-6441.303910	-8292.423253	-10406.502035	-12770.585997	-20.151200	-17.804810	-11.315052	-6.835091	-3.437045	-0.431179	3.086537	2.376701	4.298786	8.731625	11.725477	13.604274	33
3syr_330	4.793324	-3.540297	-2.140827	4.756705	38.483386	53.342620	54.552583	54.463989	55.273542	44.146618	16.967037	-25.442621	6.492513	6.405178	14.768593	25.230221	43.934000	55.205978	65.218430	79.058840	100.497993	119.891017	136.418100	144.398904	-2.844204	-9.616575	-6.873118	-15.780953	-22.365577	-32.810106	-51.403296	-68.903880	-90.814440	-114.398206	-149.923834	-186.393748	-7.506352	-10.884721	-1.126780	3.377465	6.899590	10.750167	8.659434	11.059329	14.485324	18.367482	16.407481	15.638393	-120.240012	-340.503814	-649.391959	-1026.675604	-1533.830717	-2241.114877	-3186.832813	-4354.589275	-5812.499528	-7502.600416	-9521.506923	-11775.780503	9.133013	8.919526	17.987559	30.287181	52.074430	67.004416	79.720647	95.540397	118.990020	139.475704	156.482582	164.791091	-128.056866	-358.434164	-693.116917	-1131.220036	-1731.461926	-2551.841768	-3626.751360	-4916.927944	-6496.233021	-8271.500408	-10362.928425	-12670.501401	-4.121289	-7.161461	2.427335	6.529694	9.264877	12.878102	10.782948	13.170736	16.597496	20.581803	18.764536	18.241234	33
3syr_408	11.801655	7.583192	2.045338	6.219657	42.774328	63.974648	64.080820	63.448216	59.213713	46.650534	21.284717	-18.187350	11.382889	16.202311	17.776621	24.333984	41.049112	57.586476	67.637803	81.036243	97.388042	116.795094	132.327150	142.817282	6.562828	2.294371	-3.421226	-15.318313	-19.805939	-23.173850	-42.639912	-60.950820	-85.801781	-113.123021	-145.766982	-180.779797	-0.269321	-0.151507	1.438254	1.693562	3.934913	13.866028	11.194062	12.837249	12.390509	14.555923	12.382690	12.568262	-113.307233	-323.194126	-626.314471	-1016.826220	-1537.357267	-2248.891706	-3185.067961	-4361.688137	-5785.309615	-7542.688759	-9527.797953	-11781.173886	13.334572	17.764288	19.749456	28.449209	48.523069	68.760048	81.366396	96.766915	115.008905	135.618707	151.607254	162.428355	-118.882939	-337.451981	-665.969649	-1123.643990	-1739.828930	-2562.880530	-3625.396615	-4926.692438	-6464.811343	-8316.656778	-10369.904666	-12678.190184	2.391470	2.548270	3.729187	3.912705	5.587288	15.281048	12.527642	14.156262	13.714639	15.918503	13.947369	14.379491	33
3syr_412	17.436003	11.918299	11.514669	23.062703	52.812684	66.437515	72.302485	67.480139	63.906932	49.141270	23.429475	-12.925975	16.472838	15.522950	19.309671	34.000313	47.758060	59.241447	74.605203	85.847906	102.623113	119.456658	135.456893	149.440029	8.669063	6.570511	6.303285	0.383633	-9.724708	-19.667673	-33.691332	-57.124911	-80.904206	-110.234188	-141.934813	-175.311396	-0.570170	-2.040681	2.646197	10.335374	10.197435	15.461412	18.722742	17.298670	18.349621	17.797355	17.460434	19.695982	-135.519609	-330.403037	-632.305437	-1020.212207	-1542.155213	-2244.737892	-3191.506711	-4388.576334	-5852.142633	-7591.369255	-9618.750023	-11900.459950	20.613901	19.924640	24.624285	41.381990	58.287295	73.164751	91.224588	104.523002	123.282681	141.262928	157.719309	172.024649	-144.577511	-342.095747	-673.041578	-1125.650055	-1740.534232	-2550.934750	-3629.627547	-4955.511717	-6537.690426	-8368.295632	-10465.630876	-12804.930217	4.483869	3.544823	8.297025	15.762150	14.815524	19.618828	22.842736	21.409911	22.463090	21.988854	21.805878	24.270791	33
3syr_413	8.602819	12.109524	15.283817	21.468265	50.848076	69.041251	73.783693	75.276347	73.502352	65.240593	38.893662	-1.948625	7.420698	20.769132	28.569911	39.887187	57.060397	68.327842	82.343941	97.212093	116.413460	139.804707	155.528107	166.894569	4.211237	7.653636	7.132224	-1.565717	-8.672517	-16.516961	-32.404123	-49.468757	-69.421370	-94.297869	-127.842199	-164.343001	-2.726186	5.789390	10.620967	16.776684	21.257086	25.350256	26.455576	28.918260	33.594158	37.660752	35.864994	37.263052	-89.071266	-300.787312	-598.498500	-991.027575	-1486.931013	-2209.262210	-3157.330538	-4345.244946	-5753.831555	-7482.599018	-9466.023804	-11828.584381	11.697212	24.471896	33.017016	46.224638	66.209898	81.509431	98.270456	115.194884	136.242057	160.821530	177.012569	188.729019	-92.808843	-316.897368	-645.617564	-1100.520053	-1681.770865	-2521.825111	-3600.730250	-4915.412576	-6433.337814	-8255.742399	-10307.410207	-12732.338356	2.153069	10.629953	15.389367	21.228433	24.754179	28.887022	29.987079	32.442350	37.121273	41.269760	39.677221	41.170366	33
3syr_416	13.718832	12.036226	10.691814	21.740322	56.769931	74.384043	75.533646	71.704174	71.404065	61.514225	37.121111	-6.699810	13.032307	23.497641	27.991223	41.863405	60.148785	70.184403	81.697157	90.536740	110.315204	131.896911	151.046875	156.872719	9.431630	7.875883	6.651824	0.929181	-5.739774	-14.394437	-30.539043	-51.714116	-72.390781	-96.693526	-129.211757	-167.639323	2.516543	8.012980	12.848089	20.003511	22.161824	25.096697	25.216022	22.446355	26.035544	30.326541	31.407995	28.081271	-113.189159	-339.977284	-632.187755	-1009.646851	-1522.926003	-2264.458816	-3175.049454	-4347.518178	-5779.193616	-7492.663810	-9489.386849	-11736.416430	15.170130	25.257735	30.565493	46.126457	67.669823	81.833736	95.653255	106.471457	128.189174	150.926674	170.549094	176.694860	-118.233031	-357.012034	-674.729952	-1112.380992	-1720.966286	-2582.980268	-3611.843627	-4908.375556	-6456.920210	-8260.521591	-10327.824690	-12628.586065	5.390064	11.019634	15.753779	22.377402	23.894451	26.870084	26.793418	24.008155	27.603281	31.985938	33.237979	30.154747	33
3syr_448	15.720406	10.793812	10.858828	21.559913	52.117249	61.822068	65.094955	67.760900	65.048245	50.389273	22.832095	-13.824567	15.178036	18.570584	23.748462	38.662754	52.601653	60.550845	72.268335	89.653395	107.250839	124.977287	141.202250	154.804744	9.207918	5.141366	5.764007	-2.258447	-9.224084	-21.790237	-38.371447	-57.659848	-81.193709	-110.438431	-145.271389	-178.985440	1.465218	1.236556	7.213403	13.792256	15.663350	18.540841	19.020676	20.826045	21.873758	22.072974	20.724402	22.504427	-124.435030	-325.697342	-634.582076	-1022.633565	-1539.358140	-2239.313231	-3199.585382	-4401.510076	-5848.141101	-7582.122584	-9659.398278	-11958.658974	18.683431	22.009774	28.108159	44.831764	61.851758	73.294050	87.814150	107.325982	126.860602	145.760593	162.485475	176.422044	-130.906938	-338.771178	-678.062108	-1129.654972	-1736.277091	-2542.472090	-3636.523961	-4971.306145	-6534.644113	-8359.505564	-10512.229589	-12869.527455	5.786086	5.834461	11.909848	18.030585	19.071970	21.620879	22.096457	23.909872	24.965920	25.273046	24.021873	26.027932	33
3syr_452	30.335289	29.577652	31.916659	43.802596	77.474257	91.580304	94.862641	93.238225	92.766405	81.950351	56.697748	17.941488	23.602228	29.826984	36.798345	52.783017	66.544055	77.522789	89.317493	101.498346	121.926685	142.951979	159.238743	172.245201	24.656358	25.255494	29.212176	22.728011	16.489247	7.106123	-9.834068	-30.031519	-51.121426	-77.280369	-109.192483	-145.744331	9.420589	12.543761	21.756553	29.329980	29.706467	34.507776	34.071251	33.657758	37.895211	40.782587	40.083135	40.909292	-109.354752	-320.710479	-623.354626	-984.682872	-1505.037641	-2208.718300	-3159.729587	-4343.955859	-5798.109653	-7539.001607	-9519.308171	-11886.180175	28.794059	34.876915	42.798588	60.517032	77.641469	92.133599	106.677096	120.887589	143.306404	165.485147	182.215334	195.570739	-114.323913	-332.927457	-662.655832	-1084.626069	-1700.067125	-2513.701476	-3597.053487	-4908.326289	-6481.265382	-8314.826292	-10361.667911	-12793.187953	15.436757	18.819337	28.098871	35.162725	34.965712	39.415064	38.977128	38.557860	42.804827	45.748289	45.265922	46.200086	33
