name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3tsk_134	-17.115580	-17.396042	-61.392937	-73.012193	-59.370231	-54.074261	-45.791720	-40.525312	-53.337379	-64.588662	-82.377907	-109.647223	1.408454	4.864257	-14.543000	-12.643086	3.134422	16.275934	26.015097	39.148342	50.383822	62.897838	64.346444	72.659452	-12.686437	-5.431541	-30.207807	-46.188635	-76.012690	-96.855537	-116.888499	-136.294359	-148.185407	-159.831037	-182.503628	-194.834855	-2.954047	1.996504	-7.787844	-3.247101	0.196643	-2.945430	-9.008387	-13.081704	-12.839767	-6.858203	-9.398786	-10.083246	-182.927302	-534.444810	-1074.572974	-1715.804001	-2517.958764	-3490.615243	-4725.370759	-6210.032475	-7854.125002	-9711.953122	-11770.731686	-14088.090852	5.421233	6.411081	-12.056759	-9.136386	10.032357	25.527766	35.168690	47.288606	57.665025	68.207509	66.819156	71.907737	-180.175978	-540.479589	-1120.423186	-1844.055374	-2771.651427	-3882.336149	-5268.196553	-6898.648822	-8645.291921	-10562.463184	-12650.714403	-15002.582531	3.789066	9.636396	0.089444	4.226665	5.849203	1.610610	-4.140821	-7.619132	-6.685415	0.573735	-0.186346	0.710335	71
3tsk_176	-12.315487	-10.695607	-46.309805	-56.580226	-42.133190	-30.447856	-25.897145	-24.871385	-44.632719	-59.796118	-69.479213	-89.813561	10.058852	23.150356	7.209708	9.573757	27.723469	44.539388	55.975933	65.410614	69.991380	78.675764	89.189548	102.883943	-8.886463	-2.896698	-16.764342	-30.036154	-59.518386	-74.541523	-97.138961	-117.572028	-135.496130	-150.809953	-164.539213	-170.878320	6.230015	17.577053	14.461953	21.026429	25.115096	25.431257	20.963262	14.875902	10.986843	13.634597	21.078132	25.214226	-172.404973	-503.625609	-1013.630219	-1636.358734	-2429.926222	-3396.924145	-4545.285262	-5942.691144	-7583.080277	-9391.176861	-11378.501624	-13565.456661	8.305005	18.881491	4.130334	7.486809	29.232520	48.412363	59.719787	68.225945	71.875599	78.635034	86.395899	97.140333	-171.987963	-513.700886	-1059.440658	-1762.797877	-2684.667471	-3791.975711	-5073.123322	-6600.991945	-8346.015491	-10211.817056	-12226.970081	-14444.701358	7.086752	19.012633	16.489321	22.754054	25.410565	24.690168	20.575640	15.129619	11.782678	15.645936	24.804746	30.598331	71
3tsk_259	13.832752	-5.241525	-52.287042	-50.959040	-36.719547	-33.388848	-26.003513	-20.381503	-34.663638	-45.017338	-57.838733	-74.754853	11.374251	-7.874626	-27.269744	-12.420890	4.052535	14.721770	26.786675	40.399301	50.788341	64.254666	71.754958	89.525227	19.152081	8.738752	-14.137758	-25.165346	-57.560734	-78.793068	-101.976089	-122.572803	-135.421729	-146.415507	-164.680697	-169.511944	2.445310	-14.495676	-21.264591	-10.332321	-7.071770	-9.640594	-13.119088	-18.415240	-18.753743	-12.734695	-9.815495	-4.862473	-186.789014	-604.125785	-1197.465107	-1854.076138	-2712.372209	-3737.915095	-5029.556027	-6545.552140	-8276.924895	-10144.343420	-12164.712380	-14514.480372	27.067337	5.510489	-13.121512	2.655583	22.676460	35.467408	47.331664	59.977835	69.447797	81.067376	86.028922	100.566505	-182.579971	-607.560904	-1238.107203	-1987.120936	-2979.780052	-4147.676600	-5598.165797	-7259.755584	-9101.370851	-11024.655017	-13066.943053	-15454.781349	21.467487	5.926308	-1.097698	9.063297	10.203680	6.067914	2.862637	-1.653767	-1.280281	6.292153	11.421202	18.078390	71
3tsk_263	11.839718	-1.282878	-36.688998	-48.679217	-30.548573	-26.832312	-16.282527	-11.505463	-25.277249	-36.353193	-44.511529	-62.133621	19.528774	16.955383	8.424866	12.881674	30.405458	40.877066	54.049694	65.464331	76.851916	88.866921	99.478725	118.516182	15.222965	11.401583	-5.220882	-23.302698	-50.594547	-71.837818	-93.022110	-111.621054	-125.991091	-137.066812	-149.964694	-156.363867	11.874475	11.790386	11.477739	17.929107	20.569790	16.861717	11.628740	7.464577	7.408497	12.272394	18.523407	25.068768	-161.360159	-552.513024	-1112.347642	-1741.018868	-2546.888722	-3513.733022	-4734.798065	-6228.058387	-7930.936197	-9728.056501	-11740.169954	-14030.668857	26.904837	21.098775	13.541045	18.842853	39.837122	52.292346	65.287524	75.664823	86.100419	96.359198	104.291978	120.144049	-160.058957	-557.366933	-1162.414900	-1866.205260	-2801.488479	-3903.084827	-5277.609704	-6917.119803	-8732.200340	-10582.124637	-12620.399036	-14948.789605	22.148524	22.359952	22.328275	27.929112	28.734733	23.542744	18.567000	14.977610	15.517118	21.892692	30.069815	38.219380	71
3tsk_273	-4.293661	-20.702900	-71.764747	-75.137214	-56.605900	-56.651877	-46.201368	-41.906854	-49.899450	-63.748747	-75.479549	-100.333480	6.687012	-5.657730	-26.446177	-16.860053	5.687937	13.744108	31.634084	43.638587	58.191339	70.474467	80.643225	90.612297	-1.588060	-11.232478	-36.978219	-48.183524	-79.406743	-103.493398	-122.947678	-144.485412	-153.141133	-168.228637	-187.171073	-198.320064	-1.611741	-14.223368	-21.567720	-11.092021	-5.068336	-9.808953	-9.158427	-15.370659	-13.184851	-8.961645	-5.185172	-6.304287	-188.134832	-598.761941	-1206.965330	-1873.072474	-2731.041743	-3772.637601	-5025.513783	-6558.185242	-8339.736430	-10184.083710	-12255.121921	-14551.694006	13.178682	-1.966208	-22.474749	-11.850274	14.392128	24.765657	42.571315	53.560454	67.139285	77.669383	85.124392	92.098672	-187.418871	-609.672101	-1254.745544	-2009.260337	-3007.582515	-4191.905586	-5593.608851	-7275.514513	-9175.590429	-11071.958454	-13170.503406	-15498.283601	7.921617	-3.772566	-11.674187	-1.796736	2.289651	-3.837754	-2.750204	-8.260218	-5.429917	0.452013	6.300195	7.089676	71
3tsk_285	21.678702	10.182601	-27.254091	-29.514761	-13.610833	-13.945428	-8.314771	-9.151689	-21.729015	-28.605559	-38.873906	-61.065024	22.084006	10.181025	-3.411118	7.792165	22.775594	32.534616	42.666100	51.730309	62.479980	79.150432	88.863695	101.438386	26.036990	22.433867	7.478396	-4.335331	-35.013120	-58.430864	-82.154358	-103.204760	-115.754079	-126.233269	-142.844661	-150.074649	10.969124	-0.520481	-1.873003	9.316680	11.167658	9.602179	3.120018	-1.522400	-2.167499	4.636640	9.254615	12.325345	-199.093852	-607.296634	-1154.076048	-1811.898093	-2684.573532	-3714.215374	-4948.231470	-6405.839607	-8102.312349	-10012.394136	-12063.358434	-14287.935934	36.714762	23.237787	10.874089	23.159055	41.956422	53.862600	63.866163	72.048853	81.876168	96.565944	103.581227	113.330708	-196.245317	-611.923598	-1194.325423	-1942.119116	-2954.935288	-4125.149761	-5504.585088	-7095.729079	-8901.845951	-10878.289770	-12956.620069	-15208.422171	29.240325	19.684185	18.323580	28.966834	28.995924	25.883418	19.823736	16.039564	16.067380	24.240014	30.884819	35.938288	71
3tsk_29	-11.817744	-20.805828	-49.970127	-44.099295	-31.560452	-14.765711	0.879776	9.297644	0.453417	-15.038092	-23.816713	-42.749437	-3.530629	-11.745694	-20.793954	-5.233762	8.563346	28.199863	44.833478	58.504988	70.407560	75.123421	83.144107	94.010359	-12.748812	-17.787508	-31.986814	-32.097838	-51.009192	-58.040333	-66.630123	-79.504072	-91.779434	-105.372701	-118.350357	-127.484791	-9.164107	-16.337530	-18.265168	-4.186949	0.281728	4.490060	6.920498	5.898970	7.173362	8.863097	13.112262	13.392971	-98.170287	-361.613905	-781.048235	-1239.755501	-1835.335862	-2604.339151	-3566.206682	-4777.652587	-6305.971524	-7975.339235	-9842.231931	-11853.844758	-0.767291	-12.174008	-20.480799	-4.191457	12.214953	34.034014	50.494936	63.255477	74.105836	76.825370	81.955956	89.895775	-100.080969	-373.855460	-827.199317	-1349.331953	-2038.508928	-2927.466453	-4008.363012	-5342.495169	-6982.993197	-8710.781199	-10613.008997	-12658.312198	-4.987701	-12.671413	-13.998579	-0.245031	3.017244	6.750986	9.290159	8.557043	9.952039	12.329797	17.620112	19.081340	71
3tsk_294	5.329325	-0.203796	-31.365958	-40.548634	-23.505362	-24.442149	-12.901510	-10.136560	-24.986045	-44.443726	-55.285094	-76.163937	10.172949	0.936104	-6.419455	-3.633548	17.237672	28.181306	44.003600	57.489232	69.317162	75.975500	83.808292	96.893707	10.659276	12.356739	1.531662	-13.830902	-45.304525	-69.676737	-88.565436	-111.569953	-124.917019	-145.020385	-163.542086	-170.198600	1.811680	-6.402327	-3.967603	1.937848	6.587709	5.868270	4.395146	0.382357	2.209223	1.829914	2.344108	4.571819	-201.590381	-564.853272	-1113.379338	-1804.364323	-2645.647178	-3666.678578	-4945.884434	-6466.557429	-8186.819827	-10019.223183	-12044.337425	-14322.370985	23.619123	13.852031	7.887681	11.831887	35.991383	49.375307	65.131489	77.621668	88.542507	93.452319	98.692624	108.771069	-197.064606	-566.925367	-1157.155603	-1939.997393	-2910.563212	-4070.901410	-5510.791814	-7179.117222	-9007.416437	-10890.813635	-12942.247270	-15251.892299	18.730648	13.161845	16.132897	21.711216	24.009750	22.078024	21.003587	17.713134	20.254839	21.501308	24.142122	28.215635	71
3tsk_31	-17.928266	-22.150410	-57.071110	-65.936487	-56.292630	-45.423219	-27.814717	-23.701220	-32.728704	-43.169567	-54.855581	-76.365383	2.423613	14.342272	4.307232	9.817248	16.728711	28.158298	48.499832	62.618776	76.366268	90.699131	98.428649	111.705989	-15.917557	-8.165146	-23.781548	-34.130162	-61.981252	-75.395884	-89.138720	-109.520383	-118.861195	-130.647539	-149.050762	-158.803692	-1.866050	15.489054	15.814931	26.545059	23.635458	22.185541	23.244332	19.926166	22.501069	29.446745	31.827965	33.262593	-151.858375	-491.485376	-996.037991	-1574.628266	-2327.250148	-3301.067546	-4473.415871	-5895.396597	-7518.342171	-9339.895238	-11393.215037	-13616.994824	2.736103	10.259989	0.753077	6.935186	17.191788	31.394160	51.599887	64.726426	77.550998	89.914668	94.670122	104.891340	-151.694458	-494.166576	-1035.251712	-1684.185295	-2552.933426	-3672.559730	-4990.964008	-6550.781800	-8279.073442	-10161.319050	-12249.816968	-14507.923885	0.625917	16.861385	17.233414	27.282467	22.950809	20.943153	22.257524	19.479715	22.601802	30.711857	34.620548	37.649865	71
3tsk_337	-26.370171	-42.279515	-67.767671	-69.827285	-63.777393	-55.637024	-41.730775	-36.811018	-43.273617	-54.591020	-64.069816	-82.002059	-6.558675	-6.808745	-8.375345	2.218817	14.860645	29.878566	47.922428	62.550705	79.623801	91.559797	102.792711	119.577037	-22.528392	-30.241729	-37.478515	-46.441431	-83.061094	-102.591199	-118.917033	-138.786028	-145.978198	-157.990812	-175.050037	-180.265019	-9.886422	-8.977588	-1.421469	9.289350	9.315065	7.177636	7.481691	3.374106	9.058903	14.448746	19.257739	24.150463	-176.154772	-554.957005	-1071.126182	-1702.979455	-2505.846104	-3489.120016	-4670.848159	-6069.700443	-7741.595793	-9682.623435	-11748.275191	-14002.638860	-5.510330	-9.760948	-10.779359	0.834114	16.759885	34.201888	52.147624	65.883985	82.009276	91.714215	100.041865	113.774293	-174.510097	-561.403513	-1116.196196	-1836.520231	-2760.739033	-3888.874657	-5211.640056	-6744.204586	-8528.230437	-10539.441396	-12638.704843	-14926.691452	-6.371196	-5.961638	1.447551	11.842559	9.980285	6.803963	7.478219	4.098815	10.333816	16.720060	23.242575	29.842818	71
