name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3u8n_441	13.693420	14.242388	5.848374	7.246422	31.016168	47.494962	66.865348	76.371409	83.372446	94.299053	103.885310	105.952625	10.588310	15.676793	13.816986	15.057417	26.937139	34.447070	49.280925	56.165795	61.710906	74.654736	83.199870	88.607310	13.531957	21.592105	22.849234	20.983346	23.604901	22.010534	27.359270	28.171178	27.307388	29.711068	29.963264	32.763108	3.228590	9.997622	11.548062	12.104979	17.326635	19.035119	24.107567	25.513931	26.643199	29.207717	31.376761	33.282501	-97.454457	-299.125157	-584.955048	-932.375847	-1403.177622	-2002.457125	-2762.200480	-3673.010460	-4669.539446	-5819.915198	-7039.462352	-8336.820084	17.093928	19.975666	15.284335	16.698085	32.516641	41.643715	56.640753	63.082229	67.883808	79.321558	86.354915	90.431032	-98.966646	-301.540199	-605.833918	-998.442830	-1551.548475	-2238.100016	-3095.085175	-4089.697252	-5145.134790	-6340.712890	-7579.598308	-8889.147908	11.926415	20.139996	22.342837	22.533180	26.932647	27.819252	32.900653	34.392403	35.846652	39.056855	42.084354	44.767242	36
3u8n_443	27.547785	35.837531	35.737521	40.754805	58.366243	79.407705	99.467527	111.421663	121.350998	129.950508	138.148617	140.198775	17.548980	22.960462	25.780214	29.836921	38.655144	49.363271	64.025217	72.998937	80.884923	91.668594	98.572647	103.612300	30.315351	42.341794	52.478328	56.097198	51.401976	52.291888	57.412714	59.997767	62.053052	63.805281	61.425595	64.492694	10.885468	15.112259	22.315490	27.561129	28.348329	31.559287	36.480986	38.915005	42.442150	44.245795	43.363536	45.311490	-82.205030	-269.151482	-551.703521	-889.098336	-1333.480744	-1931.927440	-2713.766118	-3599.492048	-4594.076598	-5688.388424	-6894.015396	-8205.849415	28.727719	33.334712	33.023575	37.502972	49.504697	62.107114	76.944150	85.484019	92.625861	102.093669	107.485083	111.115367	-79.626741	-270.372681	-570.859256	-951.308668	-1470.728115	-2163.076302	-3048.773779	-4015.643097	-5070.187514	-6202.623978	-7429.434304	-8755.002192	24.346504	31.307360	38.919178	43.987812	43.079131	45.864537	50.832292	53.346629	57.196345	59.776102	59.720893	62.375809	36
3u8n_464	17.495125	15.083044	7.647633	10.766228	25.421426	46.784458	62.990891	75.115109	84.786773	94.991007	105.647536	107.254309	5.635975	9.034415	6.005628	7.636520	14.321016	25.084322	36.985421	48.064725	55.542479	67.615868	76.865489	81.192788	20.042013	23.223238	24.868492	24.558335	17.058137	20.008365	23.792068	26.673128	26.367836	28.607705	29.462592	32.320513	-1.578999	1.445863	2.114569	3.143194	2.648871	7.946730	12.584489	17.551010	18.965355	20.703452	23.014780	24.373187	-102.386496	-329.919695	-623.341938	-981.479234	-1434.769933	-2049.432773	-2846.392816	-3744.713861	-4789.914277	-5916.418749	-7190.786861	-8567.868132	16.717951	17.542222	11.635037	13.322426	23.061362	35.608401	47.648592	58.322387	64.971069	75.665981	83.267272	86.098381	-99.974393	-329.186908	-637.735402	-1045.490252	-1573.480961	-2283.372362	-3182.279107	-4163.010225	-5275.355668	-6442.480816	-7739.860461	-9132.507498	11.905394	16.363401	17.433315	18.029107	15.423372	20.087809	24.721223	29.804891	31.501487	34.016818	37.126339	39.200411	36
3u8n_468	21.590268	13.797199	5.138019	15.714448	37.103685	53.598952	63.503806	72.441049	82.426982	92.999577	107.057196	109.085741	21.436043	20.755375	18.767202	28.058547	43.187261	48.325505	53.345148	59.125938	67.396453	80.323066	93.289683	97.752822	20.558348	19.844491	22.224980	29.262808	26.843562	26.063711	24.305915	24.908626	24.683556	29.729242	33.411530	35.296738	13.738352	14.084750	17.443343	25.098402	30.596942	31.143701	29.681229	30.217440	31.733017	36.598918	41.856162	42.096139	-74.740792	-291.041995	-570.536076	-925.359498	-1356.957893	-1972.235714	-2772.929276	-3693.450340	-4697.359290	-5775.926129	-7000.640098	-8363.023434	24.800651	20.688339	15.838837	24.925589	42.929182	50.058999	55.227866	60.536687	68.066373	79.751218	91.141239	94.092379	-77.203536	-296.141116	-588.088954	-996.773899	-1500.414426	-2209.979291	-3110.670128	-4114.656623	-5179.921237	-6292.612500	-7539.550581	-8919.290169	19.024895	19.747968	23.365340	30.806777	34.199725	34.446152	33.005620	33.603444	35.455805	41.172386	47.227510	48.134380	36
3u8n_471	30.814263	30.853458	33.795939	40.051534	58.076325	82.476130	91.887387	103.017962	109.168693	112.632949	124.596497	124.210018	16.063793	14.973841	23.177212	29.996736	41.068798	53.035391	58.249150	67.785251	72.780968	77.887940	88.275588	90.533763	29.599714	34.867187	50.333728	55.383079	50.143585	53.247833	53.638209	54.069179	51.792279	49.312296	50.469014	53.402250	5.344098	4.252580	19.043617	27.444811	29.935061	33.557726	34.332339	36.584190	36.560901	33.281918	35.907119	37.432400	-64.836045	-272.764166	-575.972454	-930.112577	-1379.189494	-2003.550081	-2782.988760	-3692.865307	-4684.369663	-5773.107741	-7037.972284	-8404.323490	28.897024	24.362287	28.835886	35.714596	49.816054	63.813321	69.086217	78.218807	82.505910	86.343553	95.050570	95.802142	-66.020229	-279.183215	-599.778657	-996.880222	-1519.326226	-2244.521856	-3117.351589	-4113.876440	-5162.592220	-6286.624923	-7577.093230	-8957.290216	20.219383	19.643070	34.556132	42.281978	42.660406	45.951970	46.626139	49.004394	49.340942	46.888243	50.248687	52.453419	36
3u8n_477	20.303313	30.459700	27.872943	35.304763	59.154652	79.938483	95.786139	105.542942	118.263377	125.323943	135.313122	135.079123	6.006040	16.991194	20.866802	28.829853	42.616694	52.458338	64.619179	71.308847	81.864195	89.829989	98.786986	100.809802	22.687231	39.190561	46.995330	49.683378	51.038754	53.117247	57.648629	58.355900	59.456463	59.328781	60.015153	61.586791	-1.078778	10.709626	18.603010	24.648528	30.752735	34.824533	40.205469	41.299836	43.748335	42.303349	44.918038	44.601749	-96.436032	-294.605151	-592.752642	-935.108358	-1389.347969	-2006.921762	-2769.265466	-3676.778392	-4685.206474	-5816.236668	-7039.263824	-8373.986757	18.779090	27.343552	27.715413	35.629552	52.831462	64.449847	76.671768	82.970436	92.765808	99.328652	106.760105	107.354374	-94.607022	-294.410889	-610.852075	-998.880264	-1531.914646	-2245.183200	-3101.437543	-4092.880171	-5165.828234	-6337.674417	-7580.426981	-8928.289706	13.976568	27.131976	35.206759	40.450963	44.983819	48.429610	53.706375	54.936679	57.708396	56.998974	60.467102	60.871475	36
3u8n_482	46.457899	54.167957	52.499681	54.487227	75.624607	93.220742	102.956670	115.680249	124.353803	131.554112	137.764520	143.529146	29.055661	36.584334	40.032511	39.955478	52.885966	60.387250	66.544693	78.891173	85.791746	94.794338	99.509935	108.812715	48.770128	60.528834	66.536900	68.444005	67.003996	65.067839	62.882225	65.288250	65.391952	66.265566	62.984981	69.798946	21.693905	28.661443	34.497024	36.728652	41.337840	42.174177	41.238008	45.821318	47.663925	48.138027	45.818278	52.173058	-61.464942	-235.740204	-505.532224	-862.469113	-1304.945034	-1907.705334	-2669.631080	-3489.143457	-4466.930129	-5539.499675	-6718.318434	-7973.327264	45.057293	51.479054	51.776481	51.704442	67.852612	77.228646	83.433495	95.467887	101.635835	109.324042	112.562851	120.548670	-58.312027	-235.332634	-523.411381	-928.457317	-1446.078558	-2139.723099	-2997.099522	-3890.808760	-4929.309570	-6039.377698	-7238.460028	-8505.802443	39.917773	49.105223	55.140707	57.247214	60.198478	60.576980	59.540137	64.286692	66.441490	67.642693	66.128003	73.206597	36
3u8n_498	38.650466	36.181148	33.418557	38.638063	60.738132	77.856140	93.323422	103.802462	114.586493	123.224262	132.942777	134.808219	31.421033	35.008341	37.248330	41.594214	55.796046	63.144093	73.257919	80.137311	88.805340	99.601581	108.433549	113.409435	33.548972	40.596671	49.815708	51.875694	51.253932	48.988934	52.218828	53.475627	54.689405	57.055061	57.363171	59.330685	18.126232	25.033126	33.932852	37.492370	43.624583	44.091816	46.912099	47.961445	50.542058	52.596038	54.759611	55.785044	-65.620758	-289.912844	-567.815909	-916.829760	-1358.681352	-1964.733172	-2762.982081	-3690.273744	-4715.954107	-5803.239683	-6992.850009	-8353.822528	40.025434	39.651861	39.500865	43.764664	61.104822	70.198260	80.428907	86.866827	94.757870	104.301217	111.718327	115.184261	-70.802554	-295.890046	-586.046665	-984.231883	-1501.855718	-2201.687670	-3101.656400	-4115.731947	-5204.684226	-6326.525460	-7532.826798	-8910.743668	28.862778	35.905183	45.562164	48.611756	52.888513	52.728666	55.534948	56.682623	59.582604	62.494948	65.586641	67.282987	36
3u8n_509	16.331627	16.707988	7.922951	15.987154	39.791403	60.796507	77.395766	84.259493	95.269648	99.444017	108.621317	109.717400	3.945138	4.489170	0.215726	9.762625	22.379486	32.154954	42.334868	46.879999	56.148287	62.636374	70.216296	73.934513	17.230989	25.511419	28.574624	32.740656	30.665729	33.829025	38.347329	35.952144	36.245615	34.677211	33.623773	35.406845	-5.848828	-2.821433	-1.086178	7.890753	9.172211	14.266864	17.993309	16.815262	19.020773	17.449834	17.401606	17.527713	-112.462701	-318.196719	-617.548553	-944.031435	-1395.017084	-2011.367992	-2833.401889	-3776.329952	-4808.031131	-5944.023044	-7170.393165	-8526.442846	15.867470	15.842268	8.299926	17.588737	33.792851	45.411571	55.787051	59.869315	68.387251	73.509634	79.614738	81.892699	-112.015096	-316.007306	-630.315099	-997.407355	-1533.123680	-2245.592046	-3174.361934	-4204.267696	-5300.660183	-6474.278400	-7719.440019	-9089.976533	8.716163	14.782851	16.769610	24.531297	24.553472	29.126754	32.926584	31.831333	34.395175	33.627972	34.507015	35.380044	36
3u8n_516	12.641786	9.252518	5.809789	11.166274	34.477733	54.870799	66.894921	77.206342	86.627133	95.192987	104.589920	114.794684	13.148067	12.746752	13.688572	19.777186	32.413079	41.672320	50.756802	57.207908	64.748658	75.589919	84.637718	97.685816	12.563276	16.935275	24.069567	26.373359	26.998134	26.624387	27.393037	27.873414	27.953700	30.024867	29.295201	40.544483	5.085996	6.847280	12.525705	18.111420	22.367351	23.649821	25.971572	26.638684	28.509207	30.463487	31.960656	41.759155	-104.423956	-307.511997	-586.647373	-920.619248	-1375.985251	-1996.621200	-2755.985197	-3729.514632	-4770.276502	-5898.305971	-7090.248435	-8414.355543	17.015621	15.221331	13.364499	19.190105	35.585615	46.794351	55.931131	61.846767	68.605965	78.068884	85.747305	97.387561	-106.290214	-309.726767	-604.331207	-982.226540	-1518.380999	-2237.210258	-3088.415880	-4156.875721	-5262.237563	-6428.360788	-7636.429167	-8973.854149	11.265877	15.210657	21.397455	26.141501	29.461911	30.364144	32.576945	33.276496	35.472941	38.203393	40.688302	51.231864	36
