name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3uex_1000	49.209187	49.407830	34.978508	24.867187	13.444342	-2.017558	-15.595613	-25.239004	-31.408001	-32.794282	-30.897108	-25.677892	41.724721	40.652668	31.453730	28.579202	23.514411	20.329910	20.963193	23.335551	26.830296	32.102323	38.032449	44.405494	55.428792	64.173940	62.768034	62.689462	59.148072	56.675420	56.735530	58.412795	62.408110	67.755898	72.057272	77.616300	43.868520	46.821129	44.715266	44.303319	40.708394	38.406564	36.482100	33.664460	32.516729	31.438927	28.319000	25.248401	-57.860511	-190.319145	-412.658146	-723.843850	-1182.186095	-1806.167973	-2526.939366	-3279.096128	-4055.452319	-4806.201521	-5506.282172	-6133.900413	44.531824	43.731961	35.470290	34.463087	33.001003	33.368958	35.663264	38.996063	43.199363	48.728250	54.730751	61.103538	-50.903758	-182.320146	-419.292326	-777.513135	-1306.465128	-2019.836368	-2821.403354	-3634.184644	-4448.613791	-5210.332709	-5905.822922	-6525.053707	47.615796	51.434094	49.603235	49.580900	46.190163	44.059171	42.000246	39.009026	37.706071	37.050506	34.696915	32.366468	55
3uex_102	15.874378	11.915578	-2.754636	-15.825745	-29.483586	-40.877419	-54.181996	-63.726465	-69.072024	-69.786113	-66.430020	-61.087467	15.091907	16.200711	7.357881	1.559659	-4.508065	-4.159674	-2.285344	-0.775052	2.122688	6.224832	11.754628	16.743310	20.706585	25.156875	24.179227	22.483247	17.289092	15.889441	16.132163	18.379581	22.762075	28.611990	33.201204	38.650403	16.993318	21.484344	20.586866	18.398934	12.864593	11.205920	9.642387	6.633622	5.027957	3.576884	0.023069	-3.612998	-75.949555	-229.517553	-452.621103	-761.516420	-1268.086200	-1896.114929	-2646.297460	-3391.580210	-4146.025323	-4852.280335	-5495.965506	-6069.130624	15.671851	16.265607	7.827356	4.046836	2.626452	6.367283	10.027123	12.397799	15.889642	20.153696	25.706768	30.665242	-70.712182	-224.399207	-458.112852	-815.009469	-1406.923555	-2122.881330	-2957.985669	-3758.942668	-4546.409887	-5257.005399	-5891.529864	-6452.493603	18.383257	23.098805	21.907716	20.284920	15.779589	14.115397	12.447609	9.245607	7.475941	6.483469	3.756146	0.900249	55
3uex_12	-10.882124	-28.303891	-48.207518	-59.402503	-72.479409	-87.972906	-100.147069	-109.950013	-118.273615	-118.937900	-115.608937	-110.205858	-7.281900	-15.715336	-28.906001	-33.115111	-38.495429	-40.425654	-37.272170	-34.871523	-34.994016	-30.101498	-24.103414	-19.602465	-8.476294	-17.737803	-24.283984	-24.771265	-30.113486	-32.900008	-32.551496	-30.757078	-27.153028	-21.742513	-17.335778	-11.949196	-6.469068	-11.669056	-16.977418	-17.318850	-22.696166	-24.706626	-25.776308	-28.406060	-30.574422	-31.888003	-35.285737	-39.016972	-77.266822	-246.680502	-458.388881	-738.081705	-1211.234439	-1856.335673	-2594.416171	-3349.316848	-4092.807043	-4802.540331	-5449.955017	-5994.541789	-8.101787	-17.578114	-30.068950	-32.687894	-33.532557	-31.472939	-26.535783	-23.180811	-22.750303	-17.689428	-11.654197	-7.194134	-75.367449	-246.292802	-469.309972	-788.852308	-1345.465494	-2085.223398	-2904.536542	-3717.289757	-4489.452189	-5205.299220	-5844.471538	-6374.933238	-6.695923	-12.109413	-17.349088	-17.433655	-21.623612	-23.119967	-24.276572	-27.079213	-29.432550	-30.325709	-32.921573	-35.859738	55
3uex_187	30.103864	32.143392	21.566365	9.332221	-6.070191	-16.978136	-26.514773	-37.028653	-44.835586	-43.400307	-39.481751	-34.798792	28.818177	34.412663	28.974984	24.574263	17.231652	16.959114	21.118143	24.210148	25.249617	31.030961	36.773752	40.107919	36.066408	47.713365	49.664222	48.333119	43.281597	42.580678	43.946068	45.574624	49.662068	55.989959	60.516490	66.081766	31.306355	41.140324	42.619510	41.002635	35.565595	34.218515	32.977571	30.547669	28.767528	27.519768	23.657564	19.627608	-79.582603	-233.383166	-448.571116	-768.318818	-1301.792450	-1913.934676	-2637.925513	-3435.915851	-4215.116063	-4915.019590	-5556.203862	-6108.105675	29.718495	35.082712	30.084149	27.754232	25.419396	27.912842	33.649685	37.839636	39.516439	45.418622	51.179299	54.464308	-73.294496	-225.691155	-450.827582	-822.258353	-1446.040213	-2136.553447	-2942.451412	-3807.263517	-4620.856859	-5324.840508	-5955.944489	-6492.245642	33.175774	43.495028	44.604090	43.557308	39.324846	37.442641	36.017069	33.427275	31.479371	30.702734	27.698598	24.488981	55
3uex_203	-7.603969	-17.802478	-32.593186	-44.032504	-52.381765	-67.837821	-79.822129	-89.085484	-94.173892	-97.611219	-95.647917	-94.061575	-4.264063	-6.960682	-14.677363	-18.636532	-19.499336	-21.586430	-18.450284	-14.834805	-10.667705	-7.144536	-2.012650	-1.964379	-4.398576	-8.176849	-13.462790	-16.663729	-21.310834	-25.462376	-26.238093	-25.290666	-22.120332	-18.149319	-14.587909	-10.361019	-2.982259	-4.098010	-8.243698	-11.003454	-15.813996	-19.361170	-21.792418	-25.097024	-27.457375	-30.034818	-34.357031	-39.834392	-80.342545	-238.306663	-460.000374	-755.077931	-1229.651122	-1875.991630	-2615.632589	-3390.202176	-4167.051880	-4937.378181	-5618.036228	-6169.029930	-4.874057	-8.375329	-15.285814	-17.712474	-14.147185	-12.347585	-7.463273	-2.830189	1.996625	5.789424	10.967495	10.963241	-77.648192	-238.820650	-478.273516	-815.852808	-1376.752900	-2118.484394	-2941.633943	-3778.863441	-4593.156981	-5374.426904	-6047.675075	-6579.577497	-2.926900	-4.066397	-8.016799	-10.646254	-14.455218	-17.607298	-20.151512	-23.626653	-26.154497	-28.309518	-31.818209	-36.457973	55
3uex_212	16.194213	13.409160	-3.067593	-15.952281	-28.875205	-43.647037	-57.516082	-66.523010	-71.983021	-73.756105	-72.221309	-68.259120	13.326343	10.855674	-1.096991	-7.313491	-13.054603	-14.651660	-14.142778	-12.053382	-9.990142	-5.193260	-0.265191	3.710218	20.441463	24.349964	19.918138	17.773981	12.593838	10.031325	9.730231	11.622469	15.655635	20.791161	24.766652	29.813072	14.406267	14.104272	9.289045	6.834648	1.240170	-0.758630	-2.873822	-5.776162	-7.630023	-8.692014	-12.155258	-15.853893	-80.161718	-211.784904	-408.085613	-690.079652	-1159.855109	-1799.126481	-2520.694617	-3247.589214	-3963.075404	-4693.838392	-5358.992427	-5931.766091	14.438615	11.991234	0.541632	-3.889018	-5.059992	-2.719219	-0.533085	2.416467	4.996258	10.039195	15.021046	18.974845	-75.144054	-208.932662	-413.348687	-737.537304	-1290.127593	-2024.198750	-2824.848807	-3605.690184	-4350.298237	-5091.122763	-5750.164886	-6310.408799	16.342998	16.701985	11.690902	9.718561	5.361639	3.851924	1.620834	-1.467852	-3.497655	-4.156663	-6.862556	-9.807476	55
3uex_224	-8.441422	-20.365763	-38.510893	-53.948380	-64.804343	-79.148654	-93.101391	-101.142854	-108.888545	-110.292457	-108.160765	-103.637952	-5.751257	-11.885781	-24.140281	-31.961557	-36.280157	-37.406105	-35.499027	-32.380347	-32.466905	-28.136315	-22.479202	-18.107644	-6.394669	-11.951365	-18.454634	-21.955316	-25.531601	-28.111103	-28.191522	-26.219101	-22.881223	-17.891226	-13.919087	-8.933799	-5.523941	-9.463355	-14.969617	-17.872040	-21.457873	-23.096287	-23.772365	-26.148478	-28.332516	-29.574241	-32.660939	-36.143452	-74.101829	-209.950031	-408.779973	-686.348596	-1109.677082	-1719.775297	-2440.779921	-3148.037604	-3849.328555	-4537.195808	-5182.851604	-5726.782717	-5.595967	-12.291881	-24.394678	-30.469028	-31.036654	-28.218564	-24.444618	-20.466777	-20.020658	-15.494301	-9.781847	-5.436303	-71.817634	-208.288415	-416.180180	-735.889714	-1229.390042	-1932.813311	-2736.147522	-3496.368193	-4224.860264	-4919.950189	-5560.425723	-6092.076209	-4.746690	-8.637750	-14.522881	-16.894505	-19.778348	-20.771952	-21.471189	-24.021079	-26.367409	-27.216912	-29.584505	-32.335406	55
3uex_227	3.381841	-8.187989	-22.707194	-39.014539	-51.176883	-67.984386	-81.282891	-90.941091	-98.349342	-100.528107	-97.520433	-92.446982	5.020590	0.102494	-8.564794	-17.500294	-22.376644	-25.228822	-24.408234	-22.168671	-22.830243	-18.103848	-11.379024	-7.666338	6.807975	2.287472	-0.943009	-5.495066	-10.228636	-13.731183	-14.101066	-12.519788	-8.778034	-3.798777	0.413098	5.840471	6.334258	3.690982	0.974383	-3.373644	-8.347021	-10.967373	-13.412992	-16.373134	-18.976694	-20.146315	-23.316635	-27.247862	-74.747840	-229.874373	-432.782917	-725.622551	-1197.972058	-1854.188054	-2575.939665	-3322.948380	-4028.963929	-4772.402553	-5450.522653	-5985.031263	4.835955	-0.858992	-8.882979	-16.085184	-16.593513	-15.323998	-12.878629	-9.707602	-9.936899	-4.965521	1.820255	5.481963	-71.486733	-228.516385	-443.504787	-778.235860	-1331.014156	-2084.777632	-2883.658116	-3688.099688	-4418.272864	-5172.678179	-5846.123951	-6364.835331	6.829440	4.159864	1.441467	-2.511513	-6.474246	-8.513545	-11.101796	-14.235998	-17.036506	-17.818109	-20.228558	-23.356140	55
3uex_244	-3.379923	-11.761303	-19.506967	-30.287730	-38.577052	-54.200678	-62.327284	-71.573458	-77.909619	-81.677631	-81.851224	-80.685662	0.604063	0.460246	-0.255042	-3.617744	-4.513163	-7.217535	-0.716713	2.369528	4.676305	8.796377	12.256677	12.891258	0.479185	-0.715951	-0.009803	-3.032677	-7.340131	-11.400432	-11.133961	-10.172487	-7.545014	-3.791100	-0.787072	3.377892	2.434888	4.208445	5.966493	3.388775	-1.148768	-4.727752	-6.333835	-9.823773	-12.876649	-15.136809	-19.800142	-24.931925	-86.759398	-252.890478	-476.856523	-770.279503	-1246.155793	-1881.962832	-2606.359459	-3366.771328	-4124.176735	-4911.731100	-5606.793892	-6187.796073	-0.103587	-1.082325	-1.325164	-3.263081	0.237222	1.179580	9.349968	13.413226	16.323321	20.731746	24.245149	24.844108	-83.584371	-252.415750	-493.503083	-829.283284	-1391.677675	-2120.376595	-2929.855161	-3751.540782	-4543.133877	-5345.097700	-6032.980805	-6597.678860	2.479376	4.223385	5.761770	3.166353	-0.440421	-3.812213	-5.564613	-9.223806	-12.451839	-14.336738	-18.215406	-22.546719	55
3uex_247	-1.260050	-15.357040	-32.625070	-49.037069	-61.838181	-76.161881	-90.092439	-99.523569	-107.134798	-109.203991	-105.325477	-99.297137	0.061447	-5.046937	-15.889964	-25.315283	-30.475922	-31.460632	-30.215204	-27.801641	-27.981042	-23.683639	-16.948058	-11.923132	1.526248	-5.289166	-10.372547	-14.342019	-19.669631	-22.002309	-22.287842	-20.255105	-16.613194	-11.392809	-6.857051	-1.272195	1.089562	-1.557839	-5.681388	-10.001349	-15.122555	-16.787658	-18.645645	-21.221724	-23.664424	-24.895126	-28.094730	-31.710418	-67.021767	-230.623995	-442.574881	-734.320545	-1202.599339	-1844.540418	-2584.970544	-3333.844366	-4057.528864	-4792.331981	-5445.317822	-5988.511155	-0.097374	-6.438397	-16.724425	-24.197669	-24.992354	-22.043837	-18.977234	-15.641900	-15.323432	-10.804805	-4.031144	0.948433	-64.271747	-230.078011	-453.830614	-789.189125	-1338.041776	-2073.743829	-2895.882160	-3701.250083	-4451.146700	-5194.505528	-5840.501111	-6369.644333	1.494845	-1.550717	-5.730580	-9.440365	-13.552205	-14.740316	-16.650407	-19.407213	-22.033133	-22.862103	-25.271041	-28.095433	55
