name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3ui7_133	4.207002	-0.204638	6.018870	25.268266	51.936377	80.599881	101.243191	119.038245	133.259306	137.066267	135.471750	131.897004	10.796796	6.146557	3.366622	3.381116	0.020480	-3.335014	-4.100254	2.480158	7.254106	11.044043	12.272870	13.028764	8.832504	6.070576	8.612816	10.064757	10.346657	9.484526	7.266166	7.925359	4.134818	1.577274	-1.153218	0.393723	11.376155	8.462193	8.473539	8.117701	6.527619	6.153780	6.118594	7.709630	8.418531	7.427622	4.028123	0.291657	-110.086718	-293.220121	-550.432631	-910.792993	-1449.011507	-2177.033297	-3064.685012	-4047.733315	-5069.231918	-5972.669108	-6735.529908	-7346.252123	11.304192	6.409324	4.498646	6.158329	6.534533	6.300125	6.955332	14.418471	19.846146	23.737364	24.970657	25.742338	-106.123494	-291.428942	-569.511470	-986.044506	-1610.588447	-2438.379239	-3423.953497	-4492.146273	-5566.369140	-6475.521270	-7216.124125	-7798.191312	12.941074	10.586301	10.739553	10.617162	9.404190	9.107502	9.054166	10.655605	11.382601	11.112760	8.906894	6.285704	47
3ui7_138	17.036663	17.675989	19.627162	37.921530	63.953266	91.239818	115.047511	132.989212	148.885761	153.683140	153.633740	150.415746	19.820637	19.825939	15.698754	14.871573	13.472900	8.450270	8.916861	14.490772	20.277609	23.325172	24.932034	25.513310	21.889753	23.100965	23.086281	25.964374	25.857564	25.276718	25.708067	25.415383	21.747379	19.264888	17.312694	18.823232	21.050773	21.570561	20.746365	20.879085	19.320992	17.683258	19.197759	20.624299	21.318148	20.460607	17.231245	13.814284	-78.077084	-241.627722	-479.632984	-808.137635	-1309.171592	-1996.749214	-2866.903086	-3853.492257	-4883.726313	-5820.390499	-6617.720517	-7269.576408	20.643573	20.221386	16.733699	17.422769	19.476120	17.532818	19.532203	26.077461	32.595504	35.768327	37.375879	37.963538	-72.937668	-239.119721	-495.748578	-875.974435	-1457.733202	-2241.539525	-3211.592362	-4286.096672	-5374.664202	-6321.397076	-7099.964916	-7725.233098	22.757393	23.605573	22.803002	23.177415	21.987837	20.555281	22.111923	23.550016	24.263119	24.047793	21.933470	19.568411	47
3ui7_151	4.146129	7.569161	11.530401	28.823468	57.488662	82.259648	104.369819	118.167860	126.686863	127.556720	126.735982	122.364939	5.689514	8.515250	3.786496	4.694484	1.947244	-1.737684	-1.709058	1.597951	3.461235	5.210724	6.895440	7.905738	8.534759	11.147431	12.052483	11.388750	11.769678	7.662741	5.297441	3.442045	-3.485724	-7.366808	-9.240431	-7.930135	5.963740	8.234647	6.900127	7.676471	6.027566	5.484640	5.643938	5.076720	4.153813	1.979925	-1.134206	-4.779418	-96.270764	-292.257211	-570.561384	-934.080503	-1497.259627	-2225.445163	-3137.423774	-4127.117564	-5118.811694	-5995.001757	-6747.166800	-7311.882134	6.910833	9.049881	5.178634	7.662926	8.837506	8.009067	9.494014	13.652150	16.084118	17.904935	19.600236	20.632985	-92.048649	-294.495893	-595.334979	-1014.244077	-1668.540466	-2493.491250	-3507.486387	-4579.126848	-5617.128216	-6494.387434	-7223.511203	-7757.211968	8.155662	10.717745	9.492312	10.358866	9.150670	8.424405	8.540095	7.987098	7.084966	5.662016	3.760740	1.276771	47
3ui7_16	-4.097028	-8.876486	-4.181335	10.254240	35.815779	63.960677	86.258037	104.543304	118.632254	121.062955	120.848452	116.918459	-1.444761	-3.422204	-8.004469	-8.103582	-11.640268	-13.758457	-15.395807	-9.542689	-4.695333	-2.160169	0.115562	0.811307	-0.789033	-4.286705	-2.915202	-4.927366	-5.375576	-6.725254	-7.296340	-7.324873	-11.581501	-14.408255	-16.745831	-15.118976	-1.123746	-1.950211	-3.639708	-3.591481	-5.528029	-5.713909	-5.228390	-3.997419	-3.411266	-4.626856	-7.994297	-11.505464	-81.213154	-287.770333	-548.392103	-901.440645	-1434.532016	-2138.477732	-3039.266476	-4049.047923	-5081.284052	-5974.903296	-6746.230466	-7352.078038	-0.595387	-4.124963	-7.802705	-6.451692	-6.297114	-5.422316	-5.521919	1.307806	6.843677	9.470294	11.751132	12.462375	-78.080187	-289.450116	-572.515004	-977.348546	-1595.835032	-2396.442280	-3398.400020	-4497.204265	-5583.319248	-6479.472003	-7229.740822	-7805.703369	0.449959	-0.862914	-2.319368	-2.208762	-3.736641	-3.878676	-3.384444	-2.129795	-1.514939	-1.998016	-4.183854	-6.574731	47
3ui7_208	1.970888	-0.313046	8.016138	20.730788	49.131153	73.172769	96.332031	115.175797	128.501777	130.139883	128.988800	125.165158	3.274028	-1.797956	-3.835912	-4.737816	-8.034804	-11.585077	-10.503553	-3.758102	1.111684	3.875912	5.768183	6.062074	6.696782	5.636731	10.095197	6.223843	6.738852	3.585661	3.479422	4.240821	-1.209598	-4.549473	-7.142355	-5.847227	3.601587	0.367403	1.126493	0.608525	-1.643065	-1.441365	0.000012	1.545569	1.375527	0.124056	-3.151216	-6.856102	-106.908961	-299.055999	-577.482669	-933.125680	-1489.846449	-2195.299508	-3075.308635	-4070.508433	-5083.561786	-5958.757087	-6704.370962	-7332.146683	4.852349	-0.750951	-1.864434	-1.370483	-0.837617	-1.595566	0.928336	8.593178	14.111591	16.947251	18.847595	19.155041	-101.717465	-297.147987	-600.111026	-1006.486620	-1652.750968	-2451.325674	-3430.639591	-4513.223933	-5579.597606	-6456.647635	-7179.823468	-7780.139751	6.179485	3.331193	4.306825	3.694673	1.844110	1.882426	3.332153	4.889363	4.745830	4.231826	2.162135	-0.456813	47
3ui7_227	-0.583479	-8.324857	-5.400554	13.478318	41.968904	68.349067	89.150765	106.826095	119.846925	122.778189	121.469843	117.376357	4.667598	-2.401467	-6.689339	-5.259500	-9.046300	-11.580591	-12.525503	-5.083175	-0.968797	2.364183	3.887926	4.309622	3.541646	-2.461584	-2.126234	-0.969176	-0.022071	-2.753901	-4.411123	-5.055527	-9.506228	-12.574654	-15.036565	-13.828728	4.806178	-0.484497	-1.374206	-0.059784	-2.226191	-2.093485	-1.771811	-0.510896	-0.366436	-1.464499	-4.854930	-8.569818	-110.271199	-310.912074	-581.752621	-935.918832	-1492.990746	-2211.376933	-3096.588095	-4070.421770	-5082.638252	-5973.281236	-6727.356500	-7339.456161	5.354367	-2.330595	-5.879627	-2.825857	-2.738397	-2.365689	-1.929203	6.373575	11.130004	14.543140	16.074252	16.510874	-106.507303	-310.324976	-601.994255	-1011.249834	-1657.276985	-2472.668858	-3455.608078	-4513.746213	-5578.103252	-6473.256498	-7204.615770	-7788.199837	6.507011	1.526923	0.613535	2.092387	0.367303	0.398144	0.668445	1.947836	2.115840	1.735142	-0.455033	-3.063859	47
3ui7_240	73.517848	80.602506	90.204624	103.433992	129.450987	156.170737	175.485334	187.410244	199.026262	200.643955	197.162973	194.129866	58.343655	62.321366	60.762480	59.858111	61.657412	59.234042	60.490443	63.127029	67.627346	68.172686	66.968252	66.921191	81.042359	85.820949	91.635654	88.232730	87.786930	85.974776	83.139371	81.690680	75.580520	72.225773	68.493667	69.673539	56.284547	59.513174	62.156520	62.845135	65.009953	64.960643	65.098488	64.299251	63.315137	60.543650	56.278989	52.293202	-83.566351	-246.662703	-525.736906	-883.893111	-1394.411848	-2081.879220	-2895.353322	-3790.126071	-4710.054219	-5554.896586	-6281.792627	-6891.294884	68.820502	73.697999	72.843904	73.146878	77.935661	78.236780	80.676198	84.037662	89.049522	89.691424	88.489295	88.452199	-70.332069	-235.186541	-536.172529	-942.712304	-1533.649118	-2318.359837	-3225.234205	-4195.811120	-5163.983628	-6014.743690	-6721.602421	-7307.921097	68.311463	73.036289	75.530473	75.840704	77.628741	77.383991	77.456963	76.675778	75.696276	73.610573	70.451501	67.475476	47
3ui7_282	6.426862	0.719034	5.135070	21.584109	50.938083	77.658517	99.924835	116.281769	132.341222	137.296731	136.327056	133.532797	9.945259	5.158905	0.468473	0.974140	-2.030264	-3.906405	-4.868698	1.301111	6.971643	10.457915	11.822744	12.704246	10.652984	6.948777	7.910639	7.986114	10.056919	8.340393	8.051371	8.182659	4.363585	2.828152	0.366327	2.374487	10.244335	7.477401	5.798983	6.788088	4.954222	5.491429	6.080382	7.341060	8.208580	7.238846	3.672552	0.097104	-95.698439	-280.750477	-543.000458	-893.244996	-1434.847851	-2135.881666	-3022.133930	-3983.058640	-5021.990345	-5938.498686	-6698.929173	-7326.381615	10.948332	5.638935	1.734032	3.614425	4.484896	5.472655	5.982355	12.997947	19.406585	23.002913	24.373068	25.262972	-92.063488	-279.613103	-563.077553	-963.436614	-1593.919224	-2389.506666	-3375.539083	-4418.322438	-5515.801639	-6439.839370	-7177.926073	-7778.069137	12.203526	9.771249	8.191926	9.158631	7.873659	8.340804	8.926262	10.197040	11.095663	10.818962	8.440521	5.949227	47
3ui7_287	9.893377	7.558876	13.663695	32.524035	57.352026	78.800527	102.741412	120.622521	134.049364	135.788698	133.324005	129.804139	10.146571	8.054924	6.053113	5.977609	4.546763	0.310369	1.201691	6.714912	12.100958	14.997716	15.876230	16.971368	14.718480	13.336341	15.343716	16.379816	14.391915	8.562770	8.549553	8.664725	3.905267	0.072670	-3.086111	-1.567701	10.590244	9.901863	10.424442	11.029835	10.617802	9.450406	11.134864	12.308785	12.794090	11.305695	7.469351	3.759243	-92.575248	-270.812611	-552.827080	-937.063630	-1483.557291	-2182.067451	-3079.479465	-4088.084732	-5095.096299	-5977.144568	-6721.058341	-7312.738020	11.647867	9.265644	7.970001	9.584937	11.617411	9.988850	12.405948	18.860484	24.872286	27.841137	28.723927	29.838259	-87.490151	-268.341146	-576.268485	-1017.796812	-1648.157588	-2437.896640	-3438.118764	-4535.088775	-5593.523364	-6478.355487	-7198.230478	-7760.733422	13.076630	12.902638	13.525965	14.347112	13.965250	12.484096	14.187581	15.373024	15.888400	15.136996	12.517380	9.938920	47
3ui7_333	-10.060059	-18.945741	-13.779861	2.756248	31.781389	59.098119	82.046123	97.834791	110.908283	113.264938	112.464030	108.820865	-2.261521	-4.854816	-7.808584	-5.986744	-9.556565	-13.268340	-13.607624	-8.478765	-3.538345	-1.070641	0.495553	1.252852	-7.278369	-13.785734	-11.700493	-11.326916	-10.702624	-12.078056	-12.889455	-13.645938	-19.181246	-21.998608	-24.525335	-23.030492	-1.930116	-2.948793	-2.844384	-1.180120	-4.224600	-4.748651	-4.156139	-3.196902	-2.710192	-4.022956	-7.525860	-11.279886	-94.548876	-298.935955	-558.556905	-892.511706	-1438.270607	-2155.799878	-3054.124353	-4035.970158	-5061.130683	-5956.837138	-6732.246644	-7344.250855	-3.046144	-6.867596	-9.161480	-6.013774	-5.478904	-6.069721	-4.890035	1.128824	6.748536	9.310685	10.882586	11.654961	-92.956423	-299.783868	-582.101198	-964.718947	-1602.699568	-2417.295442	-3415.463449	-4480.121453	-5559.725793	-6459.004067	-7213.595822	-7797.082795	-1.917975	-3.203199	-3.083108	-1.469170	-3.711892	-4.103261	-3.502269	-2.526739	-2.016947	-2.607824	-4.940530	-7.585188	47
