name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3uo4_137	-8.244567	-21.346483	-35.224058	-32.527606	-5.943566	13.210443	32.242506	38.610209	41.863889	40.522483	52.854315	52.586625	0.393680	-5.783250	-13.463750	-16.405164	-17.648812	-10.130028	12.512661	27.960018	33.519064	38.362448	48.313617	60.989042	-3.081659	-2.867560	2.723078	11.953526	19.468237	16.846591	19.344806	13.374941	10.390851	10.872785	1.409499	3.040153	0.257402	-0.565494	2.302039	7.399438	9.058971	8.918879	12.608595	6.131132	5.391866	4.955284	1.642401	-1.961779	-81.238756	-297.403581	-593.893163	-1030.498670	-1683.413333	-2517.198414	-3609.385875	-4898.704305	-6373.044684	-7943.312591	-9701.314100	-11607.621522	1.899747	-5.658678	-8.181141	-0.405993	15.949305	29.477599	45.586168	49.942514	47.475998	45.503222	44.413664	46.792102	-78.567231	-296.552507	-615.301713	-1124.109532	-1893.104144	-2849.728824	-4078.095556	-5484.880317	-7038.914264	-8646.061914	-10423.887111	-12350.751110	3.172867	2.278134	6.833779	15.207184	19.689952	19.709416	24.101777	20.818063	23.243238	27.129614	30.046597	31.656952	46
3uo4_203	-15.429543	-32.141350	-47.159794	-54.928936	-22.922891	-0.095024	27.400782	36.512602	46.275883	46.198354	58.763412	58.522162	-0.240539	-7.727465	-9.251181	-18.495606	-11.618915	-2.302521	28.683047	48.757332	59.652414	68.605543	78.141841	90.179937	-9.244426	-7.940462	-3.000539	-6.418991	5.171879	5.383071	12.447372	7.199710	9.444091	9.337361	-0.191567	0.568521	-0.952161	0.524461	9.258009	7.678093	17.425528	19.757852	28.530244	24.223224	27.712307	29.080813	25.270969	18.553019	-117.945270	-360.395136	-704.032824	-1165.028604	-1821.206278	-2719.602509	-3884.692015	-5264.762643	-6900.209461	-8701.262276	-10566.944425	-12489.033639	-1.701179	-10.484165	-8.242677	-8.734603	15.087570	31.080871	54.653367	62.776662	64.186241	64.559942	62.832534	65.807300	-116.041461	-357.686301	-725.688130	-1255.388610	-2029.175824	-3067.143420	-4382.650772	-5889.788490	-7620.467354	-9473.996437	-11355.638340	-13290.866407	-0.505969	0.995917	9.398363	8.623699	20.000215	22.384450	31.406529	30.428820	36.458496	41.498291	45.139475	45.616760	46
3uo4_239	-5.082768	-17.589737	-44.918617	-48.582353	-23.846040	-5.406907	12.232153	22.287598	28.556716	32.808065	48.052656	53.214225	-1.411656	-8.090560	-25.304294	-33.090510	-30.477018	-23.487478	-4.012569	15.277739	22.680117	34.012503	44.153299	63.271292	2.235064	3.157990	-2.976017	-1.932513	-1.158168	-4.848887	-3.248532	-6.575739	-6.369539	-1.710809	-9.581842	-4.908615	-3.221957	-5.422183	-10.575122	-9.772127	-8.116762	-9.540189	-9.104412	-12.350202	-10.971702	-5.758102	-9.584129	-9.186158	-121.413588	-377.865495	-723.902390	-1150.611865	-1775.570556	-2579.170289	-3642.444652	-4951.258880	-6412.368972	-8068.892729	-9838.484889	-11775.418098	4.357569	-3.340955	-16.616088	-16.424303	1.923201	14.582114	28.047991	35.457099	34.783221	38.044251	36.979443	45.568225	-117.621661	-376.116348	-743.304162	-1229.933871	-1969.074951	-2893.693329	-4093.529558	-5529.525506	-7070.874884	-8775.882026	-10566.893727	-12528.662678	4.758088	2.798558	-2.772591	-1.681885	1.095037	-0.114842	1.639727	0.548575	5.013393	13.445438	15.829483	21.424114	46
3uo4_25	-11.381663	-27.768938	-46.880775	-45.440616	-18.786075	10.142687	28.589465	36.125638	45.065121	44.259821	55.633455	59.677130	-7.605624	-15.176142	-24.630997	-26.175941	-23.423399	-7.678088	14.036166	30.363590	40.487981	46.471483	55.669745	71.540988	-5.969893	-7.008328	-4.962837	2.218302	10.178178	16.660822	18.192766	13.818159	15.252696	14.717144	4.708851	8.496543	-8.640313	-9.553894	-7.298777	0.013795	6.462276	14.208127	16.064062	11.223227	14.116420	13.399257	9.605945	7.039132	-109.731006	-349.070546	-677.087993	-1112.754569	-1737.290405	-2570.693192	-3620.208806	-4928.702615	-6417.528625	-8053.991273	-9712.878690	-11527.072696	-3.786443	-13.045578	-17.797853	-11.193805	7.438967	29.405529	45.067758	49.595091	51.251012	49.570745	49.389730	56.115477	-107.088177	-347.291651	-697.892014	-1196.513298	-1930.549380	-2893.378970	-4073.254198	-5505.196905	-7078.520928	-8760.053823	-10429.810028	-12261.258572	-3.080111	-4.310878	-1.300082	6.572330	14.392448	22.282604	25.729440	23.169151	28.784262	31.693079	35.589605	39.021784	46
3uo4_260	-14.504747	-24.613299	-42.704995	-52.606167	-32.313869	-10.663330	15.211865	25.573068	32.208215	31.123754	42.002989	40.132665	-5.026711	-11.557529	-19.733187	-32.697707	-31.142341	-23.189385	5.438821	25.702333	34.485146	40.887710	49.583765	60.161015	-7.197751	-1.064590	1.763594	-1.263483	-3.264707	-2.995027	2.800504	-0.049685	-0.331660	-0.792785	-12.799569	-13.902897	-5.792874	-4.766313	-2.261865	-4.939850	-1.972095	-0.659630	5.950761	3.553750	5.123118	4.838112	-0.210592	-7.864613	-124.709762	-362.546473	-721.883329	-1186.091830	-1808.850039	-2657.414648	-3790.411825	-5197.134812	-6722.612810	-8410.831028	-10173.976210	-12077.897885	-1.757135	-9.307236	-12.603025	-17.122117	-1.460852	12.719530	34.188619	41.285421	41.989148	40.701671	39.068240	40.097641	-121.280055	-359.333674	-744.831208	-1272.250712	-2001.257353	-2979.772816	-4262.835620	-5806.349422	-7414.814198	-9147.667677	-10924.763399	-12845.946162	-0.450654	0.793130	3.969140	1.711512	4.241454	5.673598	12.388276	11.459202	16.710860	20.495529	23.020646	21.658369	46
3uo4_273	-12.731522	-31.909064	-44.149096	-51.498509	-25.535836	0.951910	20.761488	34.066171	40.082095	39.565288	54.159422	53.205081	0.096209	-8.411174	-9.234697	-16.771090	-11.740314	1.080045	24.481282	46.907617	54.471168	61.620428	75.100591	86.443755	-5.985509	-6.490069	1.313745	-1.389969	3.806701	7.398094	8.991939	7.891353	7.691013	8.383435	0.179631	0.284946	-0.834832	-0.649859	9.381187	10.268921	17.708392	22.340203	25.153868	23.940838	25.491650	26.661929	25.920592	19.751361	-121.217694	-389.098530	-727.330235	-1168.980809	-1788.174333	-2637.605877	-3731.537662	-5092.681187	-6619.405413	-8261.610036	-9947.044205	-11817.859350	0.717214	-9.735541	-6.830298	-7.198066	12.938043	32.296813	48.943078	58.770330	57.835302	57.558598	61.508131	63.392324	-118.543408	-385.683460	-745.691772	-1248.659276	-1976.544496	-2961.415396	-4194.550544	-5688.196561	-7299.972636	-8984.035208	-10680.477180	-12568.477548	1.803547	1.508480	10.897214	11.164403	19.175035	24.067707	27.671849	28.283238	32.877288	38.167084	45.346360	45.254889	46
3uo4_274	-7.220251	-23.865727	-44.968569	-46.859381	-15.406664	3.883372	23.690633	38.070705	44.863729	45.530072	58.412242	64.576336	-3.036068	-6.650744	-16.606315	-20.903299	-15.167293	-7.825406	15.019088	38.477685	46.772568	54.159832	64.482164	81.601363	-0.104340	0.887174	1.260908	3.157307	13.163975	11.471695	12.937918	14.080950	14.332005	15.466241	5.849055	12.116872	-3.946853	-0.269176	2.192224	5.790864	13.410784	13.789386	15.306774	15.977591	17.851077	18.765547	15.912923	14.714041	-108.515415	-376.489104	-728.564306	-1166.931730	-1790.531115	-2631.994128	-3714.256074	-5075.031742	-6593.096926	-8243.699599	-9912.822123	-11787.110216	2.602620	-3.295533	-9.602671	-6.685256	14.313757	27.474774	43.672002	54.509881	54.372452	54.299128	55.409974	62.866540	-104.951903	-373.767829	-746.187941	-1246.567372	-1983.897180	-2953.070970	-4174.394590	-5667.959883	-7270.230222	-8964.379637	-10642.524147	-12535.869523	3.626303	6.568741	8.303451	11.287832	19.412247	19.667519	22.130398	24.516943	29.455867	34.437676	39.737539	44.422383	46
3uo4_282	-18.106798	-25.698151	-41.149862	-45.541365	-19.782447	2.383475	25.585572	39.999397	46.036697	44.565311	57.012782	58.289646	-4.453566	-8.150261	-13.051988	-19.658264	-13.730918	-5.659217	20.142096	44.109581	52.923353	60.510290	71.011114	86.661602	-12.147579	-4.482369	1.994881	3.395539	8.719329	9.470143	15.157841	15.057370	14.102667	12.845668	3.777630	5.494569	-5.447684	-1.849670	4.660245	7.056161	15.205361	16.219735	21.590514	22.245641	24.446974	25.149852	22.761670	20.428902	-115.855546	-341.454575	-690.042150	-1132.082799	-1739.758690	-2581.488814	-3653.726209	-5044.414099	-6586.288596	-8206.240278	-9899.697756	-11784.073993	-5.021379	-9.572356	-9.244524	-7.689971	12.615474	27.015444	46.683701	56.941062	57.013898	57.539699	58.402063	64.383760	-113.743190	-340.202172	-714.194070	-1218.782416	-1930.043541	-2904.139595	-4111.139262	-5641.339410	-7270.276658	-8930.230402	-10634.164169	-12537.438834	-4.163935	-0.182454	7.604950	10.448489	18.782610	19.904461	26.576691	27.593018	32.553836	37.686073	43.084117	46.669957	46
3uo4_289	-12.475017	-18.877355	-31.163727	-39.594322	-13.223393	6.435283	29.039846	43.039655	55.739047	55.725107	68.527940	72.973892	-0.135181	-0.513975	-2.648564	-11.790699	-7.738756	-1.862776	23.524703	46.601380	61.067197	68.795419	79.291052	95.430860	-4.985344	6.505551	14.288720	11.322638	15.508461	13.598556	16.889038	16.756558	22.661961	23.600245	14.910965	18.932228	-1.128075	7.016185	15.717525	15.741902	20.573422	20.107330	24.059796	23.703377	31.325024	32.611457	30.167605	27.055950	-132.491152	-377.831375	-718.677601	-1161.764519	-1775.812645	-2639.777250	-3748.370068	-5122.270297	-6668.279530	-8328.566491	-10007.870642	-11939.272549	2.138915	0.681106	2.753410	1.494907	19.853668	32.222339	51.050016	61.410434	67.100238	67.365313	68.730406	74.685523	-128.550825	-373.350476	-736.108370	-1240.528917	-1963.533033	-2963.054501	-4215.500495	-5723.469177	-7358.208877	-9060.975859	-10747.536284	-12700.990992	3.384476	11.740254	20.220343	20.248390	24.884252	24.539939	29.447102	30.923445	41.425727	46.923977	52.902725	55.471428	46
3uo4_293	-8.086748	-22.875603	-46.431258	-43.548284	-15.727170	16.379129	38.681528	54.421850	62.178180	66.549203	87.867749	89.146259	3.401167	-1.882581	-16.353504	-16.628045	-14.829192	1.519327	28.266612	54.876760	64.376439	77.580879	94.032860	108.286497	-1.489158	-1.510943	-4.421381	-0.362274	3.865850	10.310468	12.045600	10.494589	8.860632	12.671490	9.293122	11.733542	2.067149	2.183190	-1.684288	3.155732	5.871561	12.292106	15.851050	14.947203	15.304824	20.161373	21.267502	16.304808	-115.021849	-376.976267	-740.600357	-1202.431871	-1888.646776	-2804.641180	-3993.182150	-5427.780241	-7117.228342	-8987.664855	-10913.614418	-12895.046750	4.361773	-2.499967	-11.359329	-2.607130	16.995628	39.984607	59.728138	73.560340	73.212215	77.290193	82.078997	86.976052	-112.363493	-377.061311	-768.473185	-1300.500900	-2111.775779	-3172.746041	-4512.925492	-6085.698764	-7875.226413	-9801.889877	-11745.856950	-13740.583741	5.017492	5.013799	2.387815	8.049266	12.656146	18.992330	23.611066	25.569827	28.487288	36.886708	45.679656	48.154544	46
3uo4_329	-21.324167	-31.307805	-50.511524	-52.891100	-27.923741	-7.283625	17.676000	29.880000	39.427048	40.877814	50.782104	53.263096	-11.698891	-16.694616	-27.003877	-32.433672	-28.369745	-22.805784	3.823206	25.468300	37.076215	45.052375	52.519141	66.555492	-14.659405	-8.566218	-5.579798	-2.177049	0.666999	0.075709	6.752800	5.972462	7.695601	9.042797	-1.700765	0.916579	-12.538457	-10.118774	-8.179336	-4.853609	0.300731	-0.742228	4.809146	4.363160	8.234784	9.066013	4.726741	0.365682	-122.354542	-378.946551	-725.919900	-1173.622658	-1787.814187	-2643.473111	-3720.925067	-5102.795390	-6638.166234	-8261.355067	-9929.638474	-11810.894829	-10.724153	-17.045863	-22.418448	-18.827792	-1.041891	10.916762	31.039409	39.571148	42.573588	43.421232	41.763904	46.089654	-119.656809	-378.156263	-748.317564	-1261.196442	-1980.496429	-2968.915071	-4182.918660	-5700.295157	-7322.789088	-8986.499452	-10661.580732	-12562.034147	-9.656887	-7.068307	-4.482279	-0.077636	4.405224	3.510259	10.191079	10.935706	17.765070	23.001855	26.914567	28.415135	46
3uo4_33	-8.255705	-17.299138	-38.691922	-39.067110	-11.274528	7.671314	21.759228	31.573786	41.493944	43.606254	56.116066	56.826105	-2.037836	-0.976754	-12.844527	-18.756365	-15.360123	-7.800237	10.754191	29.899443	41.256876	50.023434	60.015192	72.177570	-1.457372	4.707082	5.541196	8.950771	16.691141	13.277334	10.198766	8.236868	10.212976	12.964490	2.862298	4.205388	-2.188064	5.325367	6.412788	7.322269	13.478392	13.932695	12.036654	9.635190	13.570716	15.895720	12.006945	6.088862	-103.376962	-332.798340	-674.048988	-1114.152321	-1758.539207	-2628.198462	-3674.691247	-4962.198817	-6509.632666	-8240.198409	-10002.861176	-11858.087018	1.096837	0.639694	-6.593006	-2.407128	17.380843	31.380632	44.511870	52.535441	54.724086	54.930628	54.312684	57.282582	-99.677734	-329.634657	-691.826303	-1202.016365	-1961.325194	-2963.110193	-4134.661247	-5540.682969	-7180.662168	-8964.289052	-10743.378098	-12613.915291	2.742900	10.042698	11.824468	15.059263	22.658245	23.249802	24.089526	24.938165	31.000824	36.363393	39.553947	39.972423	46
