name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3uri_1000	-18.018686	-31.005388	-48.301554	-43.833549	-30.642613	-13.646814	-16.105435	-22.527829	-34.186186	-46.701060	-59.014812	-70.724529	-28.677741	-30.592127	-40.263689	-36.896243	-37.994738	-29.931806	-20.366328	-8.118837	-0.290620	5.598725	10.269876	10.201182	-16.121318	-27.874702	-39.780462	-41.594111	-47.429968	-48.082370	-51.723004	-53.933858	-54.774210	-51.510611	-43.027978	-34.037914	-34.605435	-46.656556	-57.180882	-58.341079	-63.442348	-64.291352	-68.165999	-73.378660	-79.133902	-86.314825	-97.804658	-110.806848	-253.068211	-698.601482	-1344.575605	-2185.620875	-3400.301340	-5064.039616	-7126.268342	-9546.345208	-12233.788118	-14971.901219	-17583.637173	-20050.924621	-23.162196	-27.068503	-35.120411	-27.853064	-19.998146	-3.157730	11.040245	27.037271	38.011532	45.045955	49.989623	50.062202	-248.189402	-715.615840	-1422.884725	-2395.395072	-3806.431527	-5724.249769	-8036.783527	-10685.577298	-13539.856860	-16350.420326	-18967.922922	-21417.819236	-26.924017	-38.703813	-49.334444	-50.463192	-55.520176	-56.229482	-60.360448	-65.745031	-71.659379	-77.843694	-87.353392	-98.283384	130
3uri_1001	-15.391013	-30.215525	-45.377631	-41.916577	-32.106851	-15.351560	-17.719393	-23.178397	-36.746349	-48.891929	-62.541860	-73.266791	-27.005097	-32.408392	-40.037572	-38.700204	-42.311903	-33.967288	-24.768659	-11.758140	-6.512660	0.344618	3.892408	4.880803	-13.668978	-27.775160	-37.899951	-41.073656	-48.479178	-49.749018	-53.384936	-55.579470	-57.170365	-54.200529	-46.624607	-37.072674	-33.344879	-48.875053	-57.763094	-61.489325	-67.319561	-68.445653	-72.531035	-77.809917	-84.743379	-91.649613	-103.762647	-116.060394	-252.492016	-680.600285	-1322.162950	-2171.043747	-3375.314280	-5003.029084	-7081.844033	-9489.021164	-12139.000534	-14899.798750	-17514.529957	-19976.931613	-21.003331	-27.981910	-34.094452	-28.473279	-23.461380	-6.700501	7.389473	24.141039	32.463036	40.526367	44.354483	45.482385	-247.881897	-696.538865	-1399.379455	-2385.905529	-3779.544755	-5652.492384	-7987.984630	-10623.879167	-13434.965354	-16273.604545	-18894.933448	-21340.682077	-25.147570	-40.141578	-49.156116	-52.428712	-58.477299	-59.634219	-63.841493	-69.283492	-76.355333	-82.300522	-92.457035	-102.701541	130
3uri_1002	-17.241222	-31.656307	-47.252676	-43.856414	-31.344731	-13.336478	-16.056199	-23.256524	-34.724127	-47.047800	-59.615003	-71.548578	-27.704411	-31.276264	-39.554679	-37.324411	-39.114327	-29.903672	-20.619426	-8.988809	-1.036631	5.246237	9.556287	9.064806	-15.665510	-28.676073	-38.968615	-42.051684	-47.536713	-48.239129	-51.770270	-54.494999	-55.399939	-52.090697	-43.687042	-34.608152	-33.967040	-47.449221	-56.729437	-59.221136	-63.975308	-64.747869	-68.524875	-74.107379	-79.997163	-86.972656	-98.634362	-111.685376	-252.812579	-696.422170	-1342.023603	-2184.893794	-3399.795734	-5059.475173	-7123.131432	-9549.597609	-12236.915304	-14981.250410	-17589.875520	-20048.611906	-22.401062	-27.912252	-34.566903	-28.436960	-21.262984	-3.302995	10.626021	26.026640	37.107674	44.536298	49.115512	48.759982	-248.275254	-712.893631	-1420.313467	-2395.720177	-3805.290463	-5719.196720	-8033.478370	-10689.561155	-13543.295281	-16360.945318	-18974.651375	-21415.002426	-26.497817	-39.688657	-49.040683	-51.499487	-56.201031	-56.849884	-60.877632	-66.631591	-72.691297	-78.682005	-88.355254	-99.325355	130
3uri_1003	-13.840763	-29.958211	-44.470311	-41.453166	-32.092209	-14.331133	-17.526609	-22.996865	-36.040363	-47.799023	-61.410841	-72.569403	-25.969291	-31.471737	-38.803101	-37.740671	-41.782672	-32.495006	-24.124761	-10.774914	-5.156246	2.038710	5.705926	6.256274	-12.174879	-27.531435	-37.234298	-40.415419	-48.061304	-49.088280	-52.806281	-55.051027	-56.610348	-53.512738	-45.718960	-36.268824	-32.280007	-47.973503	-56.755669	-60.303858	-66.384379	-67.312650	-71.493393	-76.500815	-83.544266	-90.395216	-102.234324	-114.646193	-245.876863	-683.021564	-1322.766551	-2170.214050	-3375.343338	-5005.152147	-7079.543581	-9498.318887	-12143.070698	-14907.318688	-17524.223762	-19986.989251	-19.924895	-27.351599	-33.070849	-27.755362	-23.181960	-5.427473	7.798529	24.941479	33.611701	42.023213	45.970412	46.659622	-241.397177	-699.547480	-1400.330431	-2384.142849	-3777.883484	-5654.593551	-7984.555194	-10634.329166	-13439.273210	-16281.882432	-18905.331419	-21351.013187	-24.099407	-39.521947	-48.357375	-51.483842	-57.786636	-58.709981	-63.024605	-68.186631	-75.372617	-81.257715	-91.140848	-101.497578	130
3uri_177	54.075906	50.755137	49.415672	56.671035	61.580913	63.236992	63.084560	60.831129	53.170488	38.478198	25.067863	12.099583	40.036859	39.406941	42.942746	48.784008	39.076187	32.821232	42.939533	56.310894	64.436368	68.824515	77.370653	81.971145	57.059702	52.937509	52.484943	51.173385	43.938986	36.483274	33.390417	33.110538	33.576170	35.238553	40.605104	46.198519	34.743007	24.816813	24.437793	23.302875	14.057280	6.309198	2.992830	-0.211285	-4.614932	-9.591528	-16.705857	-26.284042	-138.716312	-466.216024	-969.195880	-1657.121374	-2713.531240	-4173.892074	-5947.414090	-8001.618553	-10246.082172	-12780.440161	-15393.585817	-17956.575345	58.922126	57.976124	63.286780	72.431328	71.167972	72.818140	86.953817	103.469817	114.098605	119.730012	128.678804	133.521215	-123.129344	-470.303993	-1026.978021	-1827.778866	-3059.017264	-4738.710340	-6730.252561	-8977.849098	-11357.178387	-13973.465779	-16623.817594	-19200.251651	55.690305	47.090497	47.008988	45.990753	37.617431	30.279757	26.770422	23.411291	18.839820	14.537106	8.698693	0.546396	130
3uri_183	47.276847	36.125882	31.961818	42.043473	51.139840	60.095708	61.349194	55.957084	43.054234	29.770904	19.216981	12.856641	33.406206	27.918382	31.434519	40.551246	38.102439	40.177210	51.724519	63.099861	67.611935	72.276908	77.079731	82.721471	49.226068	41.681985	39.263228	42.732181	35.706236	32.515735	30.504156	28.913712	28.563541	31.608736	40.418378	50.021895	26.396250	13.869174	12.553997	17.069818	13.675078	11.774269	8.356591	2.859631	-3.028217	-9.486955	-20.131376	-30.845181	-182.787840	-588.098265	-1244.201853	-2091.952516	-3267.567226	-4826.933708	-6805.324099	-9077.572531	-11574.561601	-14194.223646	-16636.492145	-19028.890222	49.923236	43.570133	48.921228	62.005719	67.498519	77.212017	93.317427	108.093826	115.374780	121.146946	126.205897	132.001031	-168.995759	-592.125888	-1319.163627	-2298.973760	-3654.998977	-5438.758221	-7664.613034	-10150.817807	-12796.388738	-15488.167010	-17933.274370	-20318.452194	45.286841	33.884910	32.811555	37.340146	33.092005	30.746931	27.182515	21.494556	15.429030	9.896978	1.207264	-7.598416	130
3uri_186	78.270642	85.456427	88.195506	98.019603	107.587014	112.664078	115.627591	111.821319	103.900388	95.364445	89.680560	82.322182	54.075067	60.395110	65.855280	75.496665	75.260073	75.133972	85.340109	95.397279	101.282011	107.553044	118.678285	123.855984	85.693717	96.102001	103.280327	105.599677	99.911039	94.614962	94.232910	93.894911	94.999209	98.691148	105.389768	112.763500	49.130648	49.253256	54.330051	59.044767	57.082823	53.617532	50.868267	47.286459	43.203480	38.776340	31.740291	23.210103	-137.549303	-493.861469	-1035.397105	-1750.561130	-2742.600549	-4021.053279	-5644.722471	-7553.049073	-9632.551576	-11843.787748	-14097.100505	-16267.174853	90.095916	96.817215	104.260417	116.675133	122.721097	128.252842	142.089042	155.021499	163.208082	170.418348	181.845000	187.196564	-102.900717	-473.549938	-1069.521454	-1892.380068	-3037.698135	-4501.988509	-6334.971384	-8428.737638	-10636.540992	-12913.272279	-15194.173790	-17367.892995	87.895926	90.080054	95.281138	99.179720	95.887838	91.394995	88.476591	84.736588	80.515443	76.842475	71.185558	64.151292	130
3uri_197	56.504192	50.652985	46.531959	51.199111	56.631473	73.215611	76.293077	73.124218	57.414439	45.255495	31.750587	21.327652	29.299409	23.036271	23.894295	26.507378	20.652339	29.789506	43.293710	57.926838	60.095660	66.169037	72.434602	75.476009	58.932614	53.044496	49.392183	45.792396	37.243243	36.405516	34.902377	31.973441	28.710803	31.209764	37.550307	45.713041	21.355313	6.433825	2.582977	-1.171460	-7.418568	-7.949601	-9.611816	-14.275220	-21.817000	-27.692287	-36.723082	-47.356015	-152.520118	-495.796830	-1054.354706	-1805.097699	-2875.377651	-4320.380857	-6217.899110	-8448.049371	-10916.672931	-13483.466022	-16074.741016	-18505.390571	54.139253	47.785866	50.395374	56.695120	58.224774	74.875134	93.035924	111.272430	116.350887	123.546573	130.168969	133.388440	-133.253143	-495.629331	-1113.584624	-1986.866412	-3221.290169	-4892.230128	-7039.150334	-9489.026007	-12110.074771	-14752.012867	-17366.108198	-19792.285249	48.494543	35.164741	31.509914	27.968691	21.230582	20.665735	18.972318	14.186496	6.481704	1.414807	-6.050312	-14.929028	130
3uri_203	123.716739	135.782662	138.378183	149.532130	150.576819	157.690600	158.416791	153.254988	144.026093	130.919939	116.159566	105.937624	92.874427	103.283507	110.424147	119.867104	106.738040	105.024700	116.215842	128.931680	137.189075	141.051418	144.555361	147.810884	132.260084	143.728513	145.411155	142.478358	129.515642	122.568778	117.691857	117.253697	116.795830	121.536123	128.638261	137.465835	87.937922	87.136108	86.824063	84.667835	74.008816	67.354747	60.466100	56.007344	49.001154	42.290123	30.311661	18.083225	-143.904761	-557.904964	-1239.548982	-2135.149540	-3406.324758	-5103.564664	-7189.543970	-9600.297952	-12189.514910	-14872.860569	-17558.074624	-20141.677458	115.853358	125.923970	135.024394	148.463212	144.058191	150.831748	166.636410	182.880542	193.870253	198.789144	202.621464	206.054408	-119.800456	-553.867936	-1309.792292	-2350.324071	-3816.596679	-5764.082940	-8110.980256	-10746.760398	-13490.883480	-16239.914709	-18937.998308	-21515.900636	113.720621	114.612779	114.404774	111.999802	100.619438	93.663176	86.524869	81.822552	74.595266	68.956720	58.907072	48.655501	130
3uri_204	57.598616	52.379171	59.235094	61.493334	67.054557	77.700882	71.341488	68.339802	63.561847	55.378537	46.765914	40.629578	43.017039	41.940369	55.281055	58.393845	55.216761	59.296951	61.781150	72.619036	83.115994	90.823584	100.804941	109.753128	62.731421	60.563145	68.180635	64.063418	58.233106	55.837728	52.818731	52.931407	54.486124	57.629363	62.997655	69.559323	38.954620	31.765748	40.336107	39.216985	37.647758	35.800536	31.729614	28.411092	25.771914	21.358363	13.887916	5.650738	-147.561007	-502.200150	-1060.897850	-1780.825618	-2759.009771	-4081.890842	-5725.390481	-7618.404367	-9769.214667	-12033.954001	-14379.417498	-16699.758828	63.314719	61.697683	76.620063	82.522351	85.461611	96.139800	102.197890	115.823565	128.812959	137.487211	147.805963	156.970656	-126.720488	-495.971928	-1116.602634	-1941.938716	-3066.409945	-4589.212603	-6429.732670	-8501.546315	-10791.858886	-13126.690957	-15503.537916	-17838.442142	61.507183	55.512525	64.146826	62.325414	59.440363	57.270266	52.949391	49.456258	46.668841	42.955663	36.802342	29.961135	130
