name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3uri_1000	-17.788956	-28.902846	-50.338276	-31.469783	-6.438411	24.301319	27.843377	33.391462	39.825977	22.777565	-1.999077	-25.167689	-13.941993	-14.057799	-25.695432	-6.257251	14.172726	41.458228	61.612773	88.118293	118.256681	138.701181	152.857856	174.361007	-20.443333	-27.671001	-28.450868	-7.447759	-2.209540	10.630863	12.472354	21.026677	28.459886	32.573536	37.604016	56.673283	-25.572671	-32.809470	-32.642498	-11.160454	-5.178146	7.319741	9.654140	18.430620	25.713363	28.193191	31.496465	46.497607	-206.765760	-595.700637	-1177.633473	-1902.459411	-2957.978717	-4451.786321	-6434.442952	-8995.088905	-12150.957999	-15805.878751	-19967.900075	-24630.035232	-12.009259	-13.736400	-23.439879	0.031640	29.313174	65.927885	92.047101	124.374815	160.313782	183.839060	199.669650	222.685132	-211.702067	-619.514052	-1245.358423	-2079.824183	-3321.448762	-5058.446787	-7302.464572	-10133.279558	-13536.544318	-17360.121083	-21633.777597	-26389.277880	-22.288732	-29.447619	-29.180251	-7.630312	-1.490973	11.532961	13.856084	22.688276	30.002146	32.650388	36.363610	51.888036	130
3uri_1001	-17.613924	-31.897359	-56.499934	-45.177113	-25.348787	-1.678082	-1.838137	-0.920142	3.740678	-7.646964	-27.006169	-54.062872	-13.223057	-16.639091	-30.453094	-19.029242	-2.428433	16.872149	33.166517	54.816279	82.612342	109.262696	128.459210	146.484886	-20.082901	-31.359738	-35.670771	-21.710077	-21.845194	-16.415653	-17.646215	-16.262901	-8.049271	1.525966	12.311495	26.304573	-24.792352	-35.661412	-38.444469	-24.580686	-22.407399	-18.117515	-18.903411	-17.343930	-9.678092	-1.293954	7.475676	17.918593	-204.850064	-579.983060	-1165.078843	-1896.571783	-2944.587002	-4413.253133	-6422.756708	-8977.206864	-12089.885752	-15761.704460	-19907.440264	-24566.521947	-11.293972	-16.106109	-28.088255	-12.431169	12.806698	41.081236	63.676284	91.125169	124.593919	154.409906	175.280228	194.818482	-209.916532	-602.708332	-1232.988641	-2076.085303	-3306.628004	-5010.468521	-7288.302971	-10114.448148	-13466.060868	-17311.055981	-21568.111005	-26322.046395	-21.512061	-32.198186	-34.890632	-20.726280	-18.519937	-13.854289	-14.500319	-12.882885	-5.180645	3.345302	12.518190	23.465293	130
3uri_1002	-17.163045	-30.563232	-51.293992	-33.896733	-10.383857	18.750760	24.255510	31.342366	35.168028	19.086190	-2.260240	-23.450534	-13.121648	-15.611492	-26.335722	-9.161041	9.686254	34.913490	57.096639	85.099456	112.813039	134.323645	151.479510	174.880954	-19.535243	-29.328659	-29.960478	-9.738229	-5.536975	4.900106	9.247624	19.433866	23.855934	28.656559	37.362172	58.820335	-24.430764	-34.415614	-34.172990	-14.268121	-9.292349	0.466090	5.399839	15.797248	20.281521	23.456504	30.039135	47.376353	-205.214557	-593.649826	-1176.854490	-1903.138176	-2960.183750	-4453.483266	-6437.386496	-8996.918622	-12153.540474	-15821.886271	-19974.347493	-24630.135228	-11.289169	-15.406913	-24.194750	-3.007977	24.717937	59.252433	87.424740	121.246582	154.737755	179.353521	198.176061	223.086699	-209.761508	-616.696365	-1245.134290	-2080.931496	-3322.887526	-5059.317575	-7304.981360	-10134.625360	-13538.300816	-17377.472643	-21640.430750	-26388.800616	-21.258246	-31.202997	-30.826430	-10.872435	-5.713941	4.560099	9.492158	19.942546	24.445740	27.772902	34.780201	52.646889	130
3uri_1003	-16.813857	-31.825533	-53.922611	-44.446930	-24.267061	0.096921	0.686041	0.711007	6.205870	-4.561634	-29.423038	-57.171969	-12.719502	-16.777765	-28.217105	-18.570170	-1.066776	18.925475	35.927858	57.002298	85.783825	113.348831	126.805775	144.055254	-19.171484	-31.501336	-33.535260	-21.138976	-20.353130	-15.277886	-14.933968	-14.114304	-5.487158	4.112099	9.911624	23.084881	-23.965286	-35.889912	-36.583196	-24.197767	-20.526482	-16.660344	-15.964861	-14.644482	-6.416274	2.156289	5.757075	15.283353	-198.727411	-583.045025	-1163.413408	-1896.293789	-2944.089589	-4414.157130	-6419.424153	-8982.592245	-12089.194688	-15773.935079	-19923.762715	-24584.494106	-10.703424	-16.456641	-26.016625	-12.148779	13.983485	42.996775	66.269350	93.185648	127.611553	158.373641	173.497630	192.261438	-203.588200	-606.460329	-1231.478600	-2075.211739	-3304.166852	-5011.359981	-7284.095176	-10120.296037	-13464.972327	-17325.052617	-21585.239188	-26340.821867	-20.642670	-32.619096	-33.194825	-20.517300	-16.817076	-12.542574	-11.716455	-10.332667	-2.072676	6.638163	10.646950	20.681453	130
3uri_177	8.671813	4.189257	-5.770047	-4.859845	12.096537	20.235429	23.118279	22.687797	25.407136	5.717710	-15.312707	-46.605484	12.125015	12.333642	7.766791	8.853964	18.416077	21.516684	40.033878	57.655214	80.947474	96.284524	111.140003	121.945710	7.399345	7.208561	8.045344	10.487656	17.167939	21.075072	21.678304	22.488270	25.335118	28.659484	32.105377	36.009866	4.378348	0.737944	0.287627	2.163372	5.462798	6.632711	8.152555	8.807404	12.029957	15.634991	18.073295	19.840198	-130.111825	-408.113580	-849.185966	-1460.799694	-2419.023518	-3831.783392	-5629.410286	-7850.884726	-10472.445936	-13717.813076	-17509.651640	-21769.276913	13.386269	12.640058	10.059035	14.891705	34.042175	46.732619	70.770802	93.239879	120.986071	139.140456	155.613273	167.828409	-133.033608	-425.547938	-907.433780	-1615.271791	-2747.928116	-4382.249557	-6413.164340	-8858.597475	-11670.946692	-15065.272220	-18970.984863	-23325.784035	6.611130	3.287423	3.494570	6.015504	11.362810	13.946450	15.541604	16.198360	19.355653	23.055482	25.658534	27.703217	130
3uri_183	4.835582	-8.381857	-32.223269	-30.818043	-9.229468	14.406148	25.877704	25.200124	34.732963	26.481819	4.914137	-17.507906	12.607217	11.048597	-2.631220	1.610468	21.153897	41.849346	70.702611	90.650694	124.596350	154.346049	169.668452	189.630908	1.916836	-4.054105	-9.708418	-1.760670	1.938941	12.879641	21.940700	24.085629	35.057606	46.505360	50.694205	67.946848	2.794012	-1.950924	-7.519115	2.463589	9.107740	20.326952	30.058287	31.804186	42.982306	52.864115	53.565025	65.226826	-156.698962	-530.097736	-1161.796301	-1964.040066	-3047.548518	-4557.653035	-6615.858576	-9209.482135	-12356.395727	-16038.702596	-20129.392079	-24692.492850	13.280611	9.846727	-1.244910	7.552010	35.757556	65.594119	100.960745	126.683251	166.280354	199.131103	216.063271	237.453724	-162.278299	-552.392730	-1242.502019	-2160.223012	-3426.433772	-5167.912903	-7501.037012	-10362.006061	-13750.199919	-17603.848251	-21800.231039	-26449.559225	4.606440	-0.319793	-4.894036	5.513381	11.879981	23.431862	33.353566	35.133108	46.324402	56.397830	57.695545	70.020601	130
3uri_186	5.174296	8.978909	-4.670263	5.787547	18.014293	29.963624	36.105298	37.997649	38.072685	21.320835	7.193882	-26.918596	1.289316	10.044667	2.985878	15.268994	23.187629	32.285494	52.396427	71.623940	90.697616	105.976898	125.051485	128.314491	4.311432	15.900065	20.552178	30.976597	26.409568	26.493539	30.989565	33.641304	35.476311	37.901273	41.813240	45.990568	-8.249525	-0.296080	3.174319	15.214034	11.254951	11.397123	16.396786	19.069539	20.168256	21.619412	24.038950	24.344247	-162.810708	-470.710553	-946.998056	-1587.475005	-2489.034292	-3714.323086	-5397.201812	-7555.962931	-10161.841785	-13252.467140	-16802.306740	-20773.242066	5.400642	13.086353	8.482537	24.178797	39.353484	55.524225	80.980636	105.131051	128.892100	146.785236	167.334375	171.884395	-163.509630	-481.747398	-998.332619	-1734.176928	-2789.812124	-4202.709431	-6114.307309	-8503.221086	-11309.000606	-14543.155518	-18200.313041	-22249.522147	-2.943330	5.319293	9.699599	21.757236	17.681093	17.776578	22.947967	25.674031	26.791806	28.334776	31.026644	31.728712	130
3uri_197	-3.664014	-12.355556	-32.332969	-27.286963	-10.908540	9.519984	25.720300	31.418525	32.956009	19.636750	-0.681310	-20.564500	-5.877976	-9.083328	-20.049457	-13.715868	-0.167919	15.953147	47.586900	75.063840	99.574316	124.274337	142.936657	165.862639	-2.869834	-9.869597	-16.036287	-11.111230	-8.600047	-5.663797	5.540959	9.476490	14.702891	22.068173	26.684786	45.038822	-12.627313	-22.304817	-27.528795	-21.898185	-17.682990	-16.244316	-4.568369	1.758814	7.828555	15.983210	20.142426	35.465359	-151.391253	-455.397534	-963.284658	-1624.145738	-2561.265305	-3886.296752	-5735.003175	-8144.258104	-11032.560676	-14546.221353	-18622.482899	-23005.596545	-2.181643	-6.637554	-15.482409	-5.226010	16.029876	40.497847	78.266114	111.457957	141.218281	169.029824	189.458765	213.811083	-151.349500	-473.537381	-1027.096307	-1791.491346	-2884.672062	-4426.949653	-6535.135701	-9207.230621	-12315.880086	-16001.644990	-20203.971877	-24675.746526	-7.892449	-17.427978	-21.941975	-15.810578	-11.470189	-9.452276	2.494564	8.931682	14.991918	23.125574	27.398086	43.183042	130
3uri_203	28.890819	34.572427	27.186245	43.001309	62.026849	82.791633	93.598245	95.627488	101.132757	81.301855	64.061632	29.743079	16.157633	22.872653	23.383200	42.068379	54.963855	70.507108	98.416459	121.634236	149.981139	167.253115	187.676700	198.745024	24.570218	39.981907	48.893961	59.944015	60.804986	62.747971	67.815079	73.855108	83.378271	90.494147	103.744083	117.340744	-3.196725	3.084856	10.122019	23.881009	25.312337	26.240178	31.476609	37.473242	46.146060	51.084916	61.068419	70.712073	-215.282727	-597.135067	-1226.979762	-2040.067809	-3195.249634	-4796.100779	-6866.622305	-9479.864281	-12604.832584	-16257.264103	-20440.186260	-25172.906774	23.630721	29.733267	32.582100	55.677321	77.839699	102.885316	136.860701	165.667323	199.400182	219.618338	241.713254	254.295144	-219.192351	-610.113472	-1295.993046	-2237.677172	-3589.438805	-5443.496552	-7790.059774	-10670.385916	-14027.670191	-17836.590955	-22128.007558	-26949.851217	6.040748	13.316547	20.673612	34.403498	35.545972	36.632693	41.819820	47.763308	56.409739	61.639073	72.176088	82.400781	130
3uri_204	17.447787	12.274460	-5.042147	-7.148927	16.090208	28.996575	31.952970	38.501908	47.752147	35.640798	15.851931	-12.646322	14.815109	17.169955	10.418655	10.896005	31.597512	40.017378	56.544489	80.291566	109.974286	130.191883	146.799507	162.237516	16.077793	13.002546	16.838497	18.786261	27.626865	26.775192	31.864891	38.982025	45.033457	48.169285	51.727046	57.371246	4.066096	-0.481966	5.860159	10.403997	21.769541	19.609726	24.581276	31.603384	37.817180	39.861698	43.475815	48.683519	-149.850622	-475.697054	-993.071719	-1649.609341	-2537.807382	-3809.857146	-5487.227892	-7630.636780	-10314.548508	-13456.229118	-17230.535673	-21542.119424	19.757685	20.967385	16.010995	19.812883	47.409801	63.530061	85.107059	113.651919	148.272309	171.147166	189.384203	206.304307	-151.260647	-494.581482	-1050.418904	-1798.061521	-2835.023430	-4310.000734	-6204.789974	-8575.516979	-11476.232731	-14769.812155	-18664.617941	-23081.921858	10.237041	5.986393	12.530892	16.889831	27.716069	25.822192	30.808436	37.850872	44.072360	46.186147	49.856929	55.201298	130
