name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3wz8_109	-11.411295	-26.022105	-39.247605	-37.287915	-14.482742	8.543835	25.000364	45.203627	54.751052	62.260118	83.108912	93.760987	-8.033573	-12.287000	-15.003480	-12.415889	-0.993432	15.049590	33.705330	55.370507	66.468212	71.586452	79.970293	95.602164	-8.511412	-11.577882	-10.947479	-12.208754	-12.281479	-11.382424	-14.636035	-11.050510	-10.869020	-13.337289	-11.874106	-6.926268	-12.765563	-16.665146	-16.041017	-15.000920	-12.815198	-10.809227	-11.252475	-8.557216	-7.188120	-7.110588	-1.901626	2.414057	-139.527075	-411.455489	-760.295131	-1233.863602	-1879.555535	-2782.148143	-3933.191333	-5353.348069	-7065.780794	-9053.462120	-11326.746931	-13935.964610	-3.014356	-10.084378	-12.431995	-10.065902	4.289857	22.199291	38.961524	57.433810	65.152988	65.458206	67.654314	76.255238	-138.625101	-414.069222	-790.701255	-1334.156720	-2089.627154	-3136.779397	-4439.186034	-6003.872605	-7833.106960	-9894.805323	-12214.379374	-14876.167896	-4.916332	-8.556154	-7.717271	-6.895077	-4.867109	-2.776957	-3.071441	-0.076954	1.636587	2.481046	8.729504	13.955129	58
3wz8_124	-2.383204	-14.352493	-30.735411	-23.000833	3.393326	29.473092	49.897000	60.563097	68.670045	78.473789	100.072341	106.975800	1.852608	-2.711865	-9.032824	-1.680287	11.206554	30.258140	50.973812	64.761996	75.379792	82.886201	90.838477	103.232402	0.888073	0.097557	-2.050756	1.132127	6.390705	10.119350	10.330167	3.732080	2.659802	3.272328	3.964930	4.883480	-2.363509	-6.819126	-9.726343	-5.205426	0.107482	4.636555	5.625750	-0.200107	0.791550	4.314554	7.958001	8.676278	-133.421250	-393.400649	-754.658699	-1216.177482	-1879.793043	-2797.535314	-4010.081470	-5464.016173	-7168.948401	-9171.651280	-11484.730706	-14105.379970	7.146591	0.459928	-5.924919	1.523562	17.515405	38.471890	56.977834	67.578550	74.956632	77.672181	79.306207	84.740110	-131.646289	-396.300460	-786.299893	-1316.822213	-2095.061067	-3160.210524	-4536.116525	-6134.822338	-7951.261939	-10025.835487	-12387.550192	-15059.414772	5.794178	2.240226	-0.807990	3.740757	9.117986	13.747029	14.643395	9.196387	10.685337	15.062328	19.735320	21.487292	58
3wz8_136	-1.630721	-11.402219	-16.461533	-11.206932	14.623767	36.320482	55.567949	69.367971	77.157010	85.339563	108.008721	115.202185	-4.298041	-4.523302	-0.011298	5.960944	19.785010	34.737509	53.986805	70.091338	79.416982	86.283736	96.770119	109.510342	0.688508	2.876300	10.183394	14.173740	17.296672	18.786220	18.434608	14.581229	14.752472	13.030614	12.380270	12.806502	-8.874432	-7.684369	-0.997041	4.634962	9.200310	11.061736	10.485279	6.776193	8.164426	10.597285	14.312944	14.771619	-103.707542	-357.474658	-697.384257	-1161.997413	-1794.243461	-2660.914667	-3789.090445	-5207.334067	-6945.751478	-8917.949388	-11235.919269	-13862.375101	4.219223	0.220399	4.606011	10.162867	26.798348	43.496518	60.883365	73.705259	79.504165	81.566414	85.516918	91.105076	-102.183999	-361.850481	-729.243245	-1260.664341	-2001.596621	-3005.345172	-4283.075710	-5849.179151	-7707.503424	-9752.410108	-12125.465501	-14806.434423	1.866414	2.608309	9.098215	14.385404	18.799661	20.672824	20.221672	16.669400	18.269461	21.426622	25.899516	27.168961	58
3wz8_145	-2.766564	-9.321051	-22.398163	-13.662628	11.112533	29.980899	49.252946	63.586272	74.999041	84.216380	102.135146	108.928791	2.045326	-0.778665	-5.752749	2.374627	16.977259	28.590809	47.809993	64.089887	77.360948	82.793204	85.932556	99.107919	0.639078	3.466864	1.836538	7.263212	11.542548	12.746066	14.182695	12.904530	13.748396	12.407452	11.840395	12.441026	-1.934830	-4.552698	-7.455506	-0.931648	5.201520	6.092146	8.393166	7.031003	9.383909	8.821028	8.778212	10.521790	-133.633400	-348.414735	-658.528573	-1062.746089	-1626.438363	-2430.031321	-3535.505185	-4885.073006	-6497.958589	-8471.834924	-10772.232862	-13356.686259	5.541769	2.314524	-2.260591	5.890614	23.089511	36.222252	53.317572	66.429321	76.442966	76.731905	73.143757	79.131364	-132.408417	-351.188423	-687.341912	-1152.071095	-1814.399966	-2745.308071	-4001.827595	-5490.546707	-7216.760676	-9272.896509	-11629.215191	-14269.398400	4.357937	3.769697	1.132223	7.637052	13.658339	14.502710	16.567417	15.287321	17.869718	17.567209	17.914187	20.251354	58
3wz8_154	-15.369233	-32.108385	-49.546322	-45.026039	-12.782051	10.485758	23.199838	36.638088	46.584712	58.019768	76.531754	83.044481	-9.991421	-21.975202	-28.538389	-23.892523	-3.616180	13.332253	26.668166	42.501687	54.120397	62.282704	67.834018	79.205738	-13.047699	-18.203696	-20.817877	-17.994845	-9.893604	-7.993798	-13.037899	-15.628194	-16.519173	-16.561311	-17.655440	-17.836921	-15.233019	-25.792867	-28.842520	-24.030113	-14.451638	-11.554698	-15.745222	-17.969180	-17.624763	-15.888163	-13.171160	-14.076200	-156.413269	-399.602890	-760.100694	-1215.445548	-1834.954424	-2689.597921	-3820.774288	-5242.976483	-7014.811205	-9088.251870	-11435.611372	-14198.161945	-6.143967	-18.553083	-24.741230	-20.224644	2.778487	21.350119	32.703862	45.235280	53.120018	55.962012	54.950429	58.557653	-155.784890	-402.655603	-792.715485	-1311.050253	-2038.462877	-3029.187702	-4309.868444	-5878.700465	-7779.660865	-9937.511020	-12335.899434	-15159.956701	-8.353407	-16.652480	-19.301413	-14.732584	-5.463334	-2.687475	-6.875360	-8.964399	-8.557239	-6.418788	-2.880650	-3.261843	58
3wz8_243	10.809752	3.905272	-3.688006	-0.962538	26.845857	53.207715	71.984777	91.067950	100.421824	108.061018	129.337235	133.329566	10.844806	8.306041	8.394116	10.019632	25.486698	44.196768	64.214017	86.294282	96.929269	101.172683	109.448131	119.836119	16.994806	20.934740	24.097706	25.704615	28.394129	32.845062	33.892494	34.705360	35.989920	33.343229	33.323429	31.644997	7.114864	4.550565	5.781516	7.745230	12.295607	17.217660	19.957905	21.655789	23.689105	22.702468	26.514420	25.633042	-137.663179	-394.222887	-731.546713	-1209.721170	-1875.464286	-2790.994458	-3953.707959	-5405.501933	-7136.765712	-9201.344931	-11530.739323	-14195.759590	20.881870	17.706498	17.994509	19.608170	38.101748	58.666181	76.663736	95.469890	102.764645	101.915781	103.809021	107.052673	-133.251833	-393.869662	-757.979087	-1306.251860	-2087.599651	-3150.861163	-4465.081348	-6067.254544	-7914.918133	-10058.991596	-12437.872046	-15155.713608	20.487302	20.177163	21.159107	23.170755	27.636454	32.588697	35.384097	37.370845	39.837766	39.507411	44.336226	44.412955	58
3wz8_296	-8.890404	-13.965280	-23.370063	-16.285290	-1.099123	23.255468	39.696272	55.204917	62.984546	69.269310	81.060715	83.348468	-9.923586	-9.410395	-9.616777	-1.017592	5.305683	21.726182	38.904034	56.908495	66.775173	70.428239	68.808834	76.740360	-1.402060	5.881062	9.021879	11.073491	3.096270	5.574887	3.403696	2.589418	0.576859	-4.544418	-13.222134	-15.514599	-13.639335	-12.517844	-10.660957	-3.563870	-5.816270	-2.977769	-3.238580	-3.592304	-3.906110	-6.646174	-12.284451	-14.715139	-184.844462	-459.819177	-825.391999	-1280.772891	-1906.335018	-2810.571602	-4015.634369	-5473.242914	-7203.916017	-9278.173875	-11661.652479	-14316.074493	0.943953	1.365439	1.581158	10.069936	18.895901	37.096451	52.159353	66.885073	73.405253	71.944751	63.711683	64.614267	-179.876892	-457.164495	-852.582822	-1368.698388	-2097.927373	-3153.139364	-4521.386014	-6127.847709	-7977.123526	-10133.625394	-12569.518879	-15274.594272	1.102628	5.067243	6.887739	13.459807	10.438748	13.279696	13.003916	12.943968	13.060449	10.979969	6.225363	4.852152	58
3wz8_313	-17.528114	-30.949415	-47.532502	-48.113332	-18.359232	-0.009395	16.950952	32.948150	42.866811	52.114315	71.862798	76.722288	-11.618253	-19.094399	-25.103214	-24.761243	-7.015470	4.083547	21.577711	38.979224	49.478000	55.074648	59.563336	69.393306	-13.396217	-16.613380	-18.356553	-22.131444	-16.731411	-18.426296	-20.199592	-20.942291	-23.109655	-23.451812	-24.869900	-26.017388	-15.321244	-23.336812	-26.049864	-26.397178	-19.310365	-20.767522	-21.724918	-23.390256	-25.475586	-24.280410	-23.801882	-25.748804	-154.817490	-414.584082	-793.817805	-1252.595247	-1890.223112	-2781.060693	-3950.920505	-5432.829348	-7235.869790	-9356.222362	-11783.249721	-14547.324392	-7.487599	-16.043608	-22.151942	-21.950979	-1.290753	11.538919	26.910172	40.817119	47.646873	47.846076	45.512042	47.785847	-152.985758	-419.178727	-829.211313	-1347.243427	-2099.173388	-3130.091583	-4455.954635	-6091.490994	-8024.752751	-10228.102232	-12709.348818	-15530.524838	-8.158433	-14.285602	-17.096957	-17.885146	-10.931014	-12.438293	-13.466988	-15.058466	-16.936052	-15.278395	-14.010424	-15.162181	58
3wz8_316	-2.478309	-12.726491	-27.285254	-23.094925	-2.374587	16.737997	31.895322	47.259002	60.015598	73.353637	95.932132	101.528427	1.531921	5.968765	-0.085006	4.153393	16.752192	29.149096	44.987685	62.390598	76.416310	86.165165	93.360765	103.381150	0.153297	-0.694745	-1.196139	1.573759	0.588054	2.599558	1.356093	2.938625	6.053454	8.175269	12.298002	11.129045	-0.415971	2.684184	1.699181	6.216606	8.606770	10.344048	10.357013	12.459360	16.441153	19.338466	22.526463	20.663740	-92.358439	-345.261572	-651.974906	-1025.762198	-1545.494366	-2297.278843	-3301.936819	-4606.282674	-6190.752823	-8102.108307	-10334.017560	-12819.007699	3.724853	3.052048	-2.959828	1.444706	16.225162	30.234393	44.270777	58.425154	69.088415	73.729795	74.293154	77.393869	-90.850950	-351.907199	-679.299235	-1104.661512	-1713.334903	-2588.255285	-3728.910543	-5171.647890	-6871.672369	-8866.011146	-11155.335345	-13694.399582	3.629946	4.977862	3.770305	8.245120	10.247671	12.155926	12.102134	14.043336	18.047043	21.043074	24.475666	23.165766	58
3wz8_318	-10.586550	-13.741485	-28.669713	-24.134961	0.297370	17.822920	38.866347	52.829159	63.101726	67.637246	86.526275	88.595470	-6.757246	3.246353	-0.744865	3.952931	18.534157	31.272593	51.754340	69.748971	80.946035	82.987303	87.732460	94.674482	-7.611831	-1.204930	-3.674019	-0.225296	3.669837	2.074284	5.346625	2.604544	2.698632	-3.197478	-5.311940	-8.243201	-9.241234	-0.425884	-2.276177	3.069362	9.463248	10.430294	13.954232	13.729226	14.513872	10.844791	9.742425	6.119659	-105.864713	-358.468752	-703.953546	-1130.898510	-1714.447164	-2517.078034	-3633.386643	-5013.397795	-6742.284108	-8738.307391	-11045.159873	-13634.954314	-4.281078	1.175310	-2.807090	1.989809	19.090920	33.467056	51.888006	66.618776	74.140486	71.126531	69.289728	69.186306	-104.666897	-365.248777	-739.064267	-1225.492445	-1907.341006	-2834.304683	-4104.292564	-5628.872881	-7482.828002	-9557.738056	-11919.317691	-14561.134708	-4.676247	2.920380	1.073045	6.388827	12.449720	13.418851	16.801167	16.635367	17.429521	14.205141	13.720679	10.880994	58
