name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
3zt2_116	-10.334848	-15.310589	-34.414931	-39.794906	-29.485228	-25.806586	-27.481272	-33.309815	-35.865845	-38.588255	-38.437340	-45.476534	-2.227800	5.329922	4.626674	7.789186	18.812871	28.426448	36.981943	40.797260	45.538955	50.221253	52.889232	54.165862	-7.248986	-1.380403	-1.583352	0.014802	3.657033	3.782583	3.476714	1.094450	3.042157	4.785689	0.099187	0.910790	-3.733479	4.360147	5.860893	9.056139	13.417984	14.631174	13.156234	9.276512	11.884836	15.751445	16.199180	15.244167	-93.977275	-296.185569	-579.467389	-951.796081	-1455.356123	-2083.575400	-2860.536268	-3737.677648	-4659.120975	-5648.144992	-6688.855019	-7847.429945	-2.692750	3.601211	5.477724	11.970082	30.041440	44.859750	56.647057	62.947510	69.539638	75.248670	78.554533	80.491967	-93.499569	-301.385936	-613.517187	-1039.868568	-1634.628831	-2357.637250	-3231.015321	-4187.378830	-5157.314474	-6167.377182	-7213.491778	-8380.337116	-3.366834	4.339258	6.458851	9.307552	13.480191	13.716511	11.922265	7.847900	10.267576	14.711378	16.141471	16.029863	34
3zt2_119	-0.531200	-11.194162	-30.639094	-34.496170	-25.814652	-22.903767	-25.723587	-29.042795	-32.920983	-31.874126	-34.728792	-40.631495	3.156621	5.968831	7.161386	11.369804	21.501563	30.957743	38.061443	44.778881	48.452795	55.678695	55.415408	56.759282	1.949687	2.144555	2.067560	5.535519	6.896210	6.078216	4.985630	4.608149	5.740973	11.452286	4.267441	5.323264	1.316794	4.704787	8.228137	12.637087	16.110808	17.026701	15.057466	13.648542	16.188632	21.979946	19.918610	18.254260	-76.187788	-273.266564	-563.184751	-930.203395	-1418.226859	-2041.966934	-2799.527422	-3667.449547	-4553.143920	-5567.990429	-6604.953137	-7749.101903	4.064493	5.455275	9.208518	17.256315	33.673914	48.403599	58.574080	67.806577	73.169534	81.628517	82.008224	84.005883	-75.438905	-278.015233	-597.021543	-1020.371405	-1592.546336	-2311.708664	-3162.125294	-4110.763346	-5039.874450	-6081.686183	-7124.101221	-8276.868634	2.965542	5.804577	10.025391	14.594115	17.340666	17.368829	15.070882	13.465120	15.824204	22.163804	21.061741	20.236377	34
3zt2_122	-7.775250	-16.162850	-34.293876	-40.116089	-32.824928	-29.852746	-29.585326	-36.364655	-36.280193	-40.642098	-41.647990	-48.964173	-0.356255	1.736140	1.540306	5.182233	12.097252	20.734411	31.895334	35.025303	42.564340	44.380364	46.455890	46.440439	-4.224262	-1.656363	-1.544688	0.187557	0.225635	-0.458922	0.409410	-2.112099	1.466095	2.482173	-2.620963	-2.840864	-1.725421	1.326916	3.339244	7.117869	6.498213	6.974200	7.474132	3.883769	7.866220	9.726867	10.418055	7.632751	-98.182064	-288.439782	-566.223223	-942.273707	-1455.843296	-2083.964770	-2862.423172	-3732.755582	-4685.951498	-5663.991147	-6689.371993	-7820.273722	1.058544	2.298460	4.463964	11.689998	25.886851	39.683079	54.148531	59.672173	69.311536	72.091054	74.776555	75.370535	-96.953043	-291.572651	-596.478126	-1029.649450	-1636.526645	-2357.414902	-3234.750363	-4182.320258	-5190.245506	-6186.029617	-7214.381179	-8351.692545	0.581454	3.546186	6.016700	9.704010	9.067177	8.560535	8.784510	4.962594	8.786463	11.261525	12.981965	11.088544	34
3zt2_136	-9.137908	-18.413520	-31.603302	-36.748185	-30.345284	-28.684593	-28.015267	-32.629161	-35.339533	-34.869779	-35.991263	-39.867929	-8.403803	-11.985346	-9.307893	-6.287111	1.442326	9.268219	20.545418	26.477412	30.713763	36.823154	39.070916	42.893607	-4.179241	-3.490077	-1.672533	1.959529	2.002939	0.188184	1.001830	0.348302	2.960639	7.527615	1.465648	3.940546	-10.948432	-13.410986	-10.500176	-6.626794	-4.274073	-4.301107	-3.421986	-4.860432	-1.815189	2.677575	2.681185	2.676488	-102.448278	-286.599208	-544.149730	-913.016060	-1390.548239	-1999.066250	-2741.415392	-3621.799919	-4533.105084	-5516.537537	-6523.598740	-7684.549811	-5.005781	-8.794152	-3.772284	3.285270	16.905356	29.929934	44.323869	52.956783	59.072906	66.270183	69.116857	73.634895	-98.488061	-286.774018	-571.767970	-999.431482	-1557.698881	-2259.197657	-3095.268925	-4060.045828	-5019.236960	-6026.224586	-7037.748015	-8210.564971	-6.552495	-8.548307	-5.204798	-0.944601	0.449982	-0.369582	0.238364	-1.375859	1.496039	6.547593	7.537270	8.308500	34
3zt2_173	-5.850415	-22.318757	-39.623789	-48.414674	-41.842497	-38.215440	-39.894282	-44.424884	-45.331587	-48.160251	-50.329914	-55.306752	-0.413771	-10.541251	-9.938896	-10.740827	-2.662115	7.360138	16.391453	21.894515	28.544304	31.977612	32.292213	35.455256	-3.542284	-8.396776	-8.929287	-9.957130	-10.057779	-10.349314	-10.950501	-11.091647	-8.176003	-6.244309	-12.956656	-12.193948	-4.422377	-12.167650	-10.698900	-10.497341	-8.590316	-7.164173	-7.947678	-9.383514	-5.225961	-1.894406	-3.890393	-5.106932	-112.732785	-296.484999	-573.197456	-940.156603	-1424.858300	-2042.988018	-2810.311700	-3696.370453	-4598.084554	-5534.631221	-6553.143667	-7709.593809	1.646450	-8.603189	-5.721945	-3.048527	11.442916	26.902972	39.204569	47.365792	55.805035	60.186338	61.116153	64.966726	-113.150027	-298.357193	-602.830094	-1023.197353	-1592.856113	-2307.080186	-3172.335938	-4140.786556	-5090.100461	-6042.816956	-7066.323215	-8234.984636	-1.318883	-8.579905	-6.727693	-6.663792	-5.305667	-4.567033	-5.627535	-7.242331	-3.260157	0.769472	-0.259684	-0.690366	34
3zt2_182	7.775816	3.014482	-10.776279	-17.608222	-6.261723	-2.395192	-2.931328	-7.739594	-7.633606	-13.416364	-15.443068	-19.031737	14.167731	19.282556	21.405084	23.076898	34.186954	44.182792	54.315849	58.984756	66.425388	67.573798	68.564381	73.087985	10.681660	19.666158	24.262860	25.263860	28.758181	28.627276	28.463993	28.169035	31.700563	31.149951	25.357639	28.722491	11.209131	19.334020	23.879403	25.610064	28.820965	30.221721	29.644359	27.386999	31.555378	32.655803	32.387121	33.632242	-91.499625	-293.262198	-567.288085	-954.646859	-1476.626415	-2121.761952	-2902.293204	-3795.416662	-4730.499260	-5731.914334	-6798.899810	-7971.724550	15.929782	20.410708	25.104055	30.721426	49.025268	64.352730	77.606260	84.770220	94.099544	96.275488	97.927094	103.121078	-91.268524	-296.574384	-597.395015	-1044.394367	-1660.909814	-2402.305605	-3279.074339	-4252.284814	-5238.114511	-6259.290633	-7332.025135	-8513.904615	13.953976	22.286271	27.321148	29.175789	32.099447	32.497754	31.573345	29.085250	33.070066	34.791495	35.507167	37.627683	34
3zt2_195	-10.652123	-21.217267	-38.478637	-44.878633	-34.952709	-32.390726	-32.911364	-36.004766	-38.013246	-37.982631	-35.788684	-41.032950	-1.873254	-0.450070	-1.335319	1.147772	11.538304	19.687660	30.273729	36.639501	42.246810	47.847688	51.399792	53.922967	-6.437031	-5.403605	-4.762723	-3.338349	-0.837466	-2.527743	-1.004620	-1.191921	0.991586	5.251601	3.267103	5.106720	-3.409784	-1.457417	-0.098076	2.220223	5.701827	4.943812	6.330698	4.761389	8.348719	12.717239	14.202116	13.472081	-107.997857	-321.692505	-602.918902	-989.089844	-1493.769870	-2133.383755	-2925.193457	-3799.055954	-4712.129857	-5688.906558	-6754.728027	-7931.827518	-1.437814	-0.833730	0.306110	6.514756	23.429431	36.940993	50.843984	59.580309	66.959917	73.585402	77.828130	81.042190	-106.752447	-326.170742	-632.045924	-1077.675970	-1670.776370	-2408.230396	-3300.032245	-4252.365752	-5212.318853	-6209.420285	-7282.378515	-8469.509974	-1.976429	0.012091	1.286586	3.500545	6.216289	4.511559	5.577015	3.782633	7.192122	12.222636	14.667862	14.780717	34
3zt2_233	-9.711265	-18.287173	-37.194090	-43.864749	-36.321848	-32.963555	-36.728870	-40.177952	-44.215831	-44.378590	-44.790122	-45.204479	-3.719456	-3.436259	-4.963975	-4.138898	3.463110	12.095959	18.462768	25.315394	28.343362	34.361020	36.553307	43.890864	-6.079607	-5.223941	-5.571311	-5.300311	-4.703073	-4.999353	-6.702570	-6.180348	-5.983979	-1.647414	-7.111955	-1.379299	-5.920081	-5.667627	-4.790617	-4.119250	-3.037844	-2.182895	-4.904133	-5.632769	-4.718659	0.709807	0.883327	4.119784	-100.201256	-291.874459	-567.963727	-930.263940	-1425.446189	-2018.788555	-2779.217536	-3669.483998	-4568.426765	-5526.403454	-6508.621028	-7667.536778	-0.982503	-1.283174	-0.289125	4.311524	18.542726	31.736367	41.400110	51.031600	55.828598	62.851415	65.592495	73.633923	-99.409338	-296.197002	-600.042215	-1018.802554	-1600.868070	-2280.670354	-3136.943201	-4112.332966	-5057.838673	-6035.257514	-7019.341477	-8190.731418	-2.245694	-1.850324	-0.362888	0.448843	1.106063	0.734507	-2.209850	-3.089824	-2.362093	3.679476	4.881131	8.877160	34
3zt2_250	-7.481170	-17.619817	-41.175182	-50.392205	-43.052987	-39.313011	-39.852837	-43.324343	-46.157435	-47.760888	-48.260170	-48.403970	-1.676379	-6.620236	-10.517041	-11.743055	-3.665834	6.013477	16.860147	23.313261	28.054199	32.342319	33.562309	40.756527	-5.085664	-4.271162	-9.722653	-12.621145	-12.021669	-12.086998	-11.163051	-10.578170	-9.253283	-6.890999	-10.646611	-5.203945	-5.363728	-8.400541	-10.707297	-11.599741	-10.419394	-8.780876	-7.221351	-8.016437	-5.520753	-1.989500	-2.241340	0.610499	-112.880401	-289.033794	-573.496798	-925.158125	-1416.648357	-2024.274498	-2789.835004	-3670.289403	-4587.812860	-5501.479423	-6534.594627	-7661.708000	-0.707872	-5.930081	-7.351425	-5.436209	9.502384	24.390511	38.593766	47.706069	54.327968	59.490021	61.366353	69.214108	-113.182732	-290.725227	-604.692997	-1007.833533	-1588.076727	-2287.432290	-3151.359333	-4114.417046	-5080.642904	-6008.124015	-7047.713988	-8185.034368	-3.397307	-6.111574	-7.788343	-9.073058	-8.024072	-7.169950	-5.849499	-6.813113	-4.503910	-0.249957	0.420089	4.099642	34
3zt2_323	-9.739193	-20.330963	-37.974094	-46.104358	-35.180773	-31.437753	-35.845587	-40.016958	-39.705952	-40.913920	-36.295180	-38.787734	-1.461363	-0.071439	0.422832	-0.228535	11.757744	22.104989	29.034665	34.821407	42.147192	46.783930	53.160232	59.276669	-5.836301	-5.281170	-4.192700	-6.280787	-2.474489	-3.017707	-6.063058	-5.791794	-2.298215	1.931897	2.263431	6.784603	-3.413900	-1.573581	1.039862	-0.444589	5.029382	6.858275	4.662108	3.550321	7.813102	11.966858	16.425898	19.220587	-102.821043	-314.263983	-598.437517	-971.673941	-1471.661740	-2095.050172	-2857.130600	-3745.022807	-4638.605739	-5642.408504	-6677.346034	-7857.716240	-0.278887	0.101714	3.225846	6.379425	24.887493	40.284714	50.294926	58.691977	67.726874	73.497788	80.508196	87.340613	-102.163927	-318.797118	-631.092309	-1062.016467	-1648.885250	-2366.318652	-3221.947702	-4192.038648	-5132.048112	-6159.391746	-7199.712841	-8391.679159	-1.263750	0.401868	3.582893	2.131721	6.911361	7.654118	5.148243	3.836622	7.917349	12.653435	18.091343	21.689512	34
