name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4abg_149	-1.254739	-18.846201	-35.673182	-40.524227	-38.505880	-34.917898	-38.470122	-50.345391	-60.620828	-67.317375	-73.865495	-79.252771	-0.084591	-4.696655	-5.550422	-2.090512	4.102635	11.506098	19.459044	22.046263	28.188540	33.373729	38.224973	41.530377	-2.296995	-8.971045	-8.678363	-9.465374	-15.792748	-15.282394	-14.531348	-15.428778	-13.094718	-12.876651	-13.794635	-12.329532	-6.335104	-7.788255	-1.253722	2.183991	1.239752	3.282337	4.337712	2.581851	3.552010	3.722266	4.771519	5.509381	-70.650841	-231.416315	-453.968500	-694.071086	-990.704337	-1366.813716	-1850.861294	-2442.219910	-3172.717162	-4081.017712	-5068.349638	-6155.206313	2.729291	-3.935095	-5.859919	-2.845016	3.831580	11.305764	18.222025	19.395456	23.906863	26.430886	28.398595	28.730483	-73.600306	-234.174233	-468.267535	-736.186001	-1079.941970	-1511.124822	-2055.133850	-2701.707000	-3484.431628	-4434.043757	-5444.109424	-6548.347246	-2.002647	-3.496979	2.557685	5.771369	4.052950	5.819942	7.134489	5.671215	6.843286	7.173185	8.713875	10.027941	36
4abg_236	42.328443	38.803543	29.844117	30.036656	30.319662	33.098607	27.090624	16.014765	3.386280	-3.379306	-10.081949	-14.726514	9.393402	15.785621	17.895621	23.074217	27.548371	35.318458	40.778933	45.133951	47.365823	54.419680	59.950012	63.299278	49.148738	55.679310	68.859133	73.149303	62.314662	59.315218	58.217888	57.949638	58.910754	56.570912	55.856054	57.900269	2.496252	7.289592	21.334491	27.036599	24.232757	24.500747	22.634824	22.109708	19.477563	19.959996	22.099661	22.887183	-77.535669	-288.099229	-520.748422	-795.727730	-1143.032240	-1567.727840	-2112.450649	-2729.464994	-3490.829931	-4449.666499	-5514.337914	-6621.330787	33.825985	38.671158	40.347766	45.069230	50.028348	57.816422	62.175867	65.313312	66.034851	70.410631	72.861113	73.424428	-72.873921	-288.493530	-521.218060	-830.216570	-1231.515149	-1721.965644	-2336.666219	-3009.520819	-3822.643502	-4825.357938	-5914.649275	-7036.162430	29.569837	35.596462	48.878329	54.363416	50.429127	50.231655	48.718279	48.769909	46.524379	47.333636	50.048394	51.704992	36
4abg_263	-1.750397	-9.450777	-23.899259	-28.787657	-25.419729	-22.743520	-28.744393	-39.283410	-50.405165	-60.405937	-68.531862	-74.812486	0.654701	0.281176	1.505461	5.710979	14.008727	20.124808	24.672073	29.794861	35.416475	39.907374	43.826428	45.966982	-0.546576	1.018980	3.149638	2.459646	-2.873713	-2.161197	-4.075408	-4.515044	-2.487392	-6.876101	-8.662912	-7.438904	-3.998577	-1.909771	5.509589	10.504999	11.961574	12.831683	10.799349	10.467498	11.402913	10.255680	10.686665	10.323051	-80.893194	-208.195744	-423.435053	-662.105536	-948.644842	-1350.746602	-1815.188582	-2414.623847	-3149.177932	-4065.192545	-5076.351265	-6170.729475	4.257304	3.920805	4.272547	7.917921	16.633874	22.832151	26.441999	30.077635	34.042916	35.832331	36.721471	35.882630	-81.471724	-208.147983	-437.324589	-701.977524	-1033.666086	-1498.510570	-2017.354955	-2675.467303	-3461.885412	-4420.004170	-5455.450209	-6566.716027	1.386703	5.045062	12.308424	16.991169	17.600409	18.315042	16.570339	16.484272	17.606477	16.594490	17.434238	17.659408	36
4abg_408	19.525700	10.696247	-12.497975	-17.545775	-13.071916	-9.684138	-14.178476	-25.019403	-40.428748	-47.609769	-53.429526	-60.610473	6.301569	7.945716	0.822235	3.673510	11.588977	18.264040	24.696850	29.289276	32.993110	39.052772	44.420698	45.994691	16.665567	15.664333	14.079328	17.045441	12.984748	12.742874	12.900486	13.967286	11.974243	9.904187	7.779287	8.789965	-5.311536	-4.733105	-0.933055	5.392607	5.888764	7.013530	5.719816	5.604179	3.783229	3.102037	2.489636	2.540889	-59.328579	-240.555917	-489.855224	-765.086092	-1113.675581	-1506.177877	-2034.258261	-2667.941879	-3468.086876	-4430.905967	-5487.855401	-6645.258109	21.404049	20.641412	12.981354	15.357267	23.932248	30.581946	35.889047	39.055698	40.997432	44.364001	46.700572	45.190801	-62.073765	-248.759773	-505.530410	-810.350858	-1216.629251	-1660.389571	-2256.727865	-2950.059111	-3807.337200	-4813.587794	-5896.495153	-7070.321924	11.639645	12.369861	15.990859	22.113697	21.860222	22.399379	21.392512	21.686848	20.106958	19.740145	19.723346	20.477044	36
4abg_414	11.076149	2.644334	-8.522933	-7.924959	-9.103253	-8.341004	-12.445220	-23.258978	-37.186960	-42.487327	-46.844810	-55.092531	10.432739	16.181393	20.735899	30.022757	33.837826	39.459031	47.426784	51.638583	55.256453	63.018328	68.909124	70.049824	10.263861	14.652836	21.726028	26.159828	16.922578	15.337720	14.926004	15.758910	15.618329	16.020915	18.585286	17.288030	3.567437	13.129526	25.410189	34.726447	32.077382	33.226096	33.457574	33.124785	32.509560	33.959331	35.512275	34.136807	-65.932149	-239.791806	-460.101378	-706.528440	-1018.082827	-1416.190055	-1931.152905	-2547.365877	-3303.652740	-4241.827733	-5310.782621	-6437.112892	15.146151	18.623943	22.420610	31.147780	35.479543	41.161023	47.980905	50.760973	52.745272	57.784846	60.419358	58.543024	-68.843750	-242.331158	-471.188311	-749.261453	-1108.456614	-1564.293017	-2144.486201	-2817.231761	-3625.581947	-4607.158359	-5703.519552	-6846.797018	9.997500	19.608825	31.433736	40.481557	36.982703	37.820151	38.282320	38.295958	37.936219	39.590635	41.516669	40.806404	36
4abg_429	20.712302	18.428785	4.163819	8.870526	6.797608	6.136497	1.817395	-10.124419	-20.005006	-31.511252	-37.713158	-46.728851	12.317101	23.521987	26.586778	38.075353	40.955626	45.101776	52.092887	53.655772	60.847313	64.342259	71.326429	73.009311	17.057579	21.492270	30.827757	43.374031	32.337210	28.605532	28.934691	29.792362	30.473662	25.109698	24.647215	26.241028	0.514202	10.060462	25.940882	39.993476	36.382909	35.377845	35.057035	33.608061	33.060553	31.555787	32.586128	34.450405	-55.741841	-224.771389	-464.432473	-726.741446	-1052.128635	-1461.864584	-1986.712501	-2583.908945	-3344.405144	-4287.798460	-5418.856028	-6602.711660	22.532052	31.223465	33.503376	44.689297	48.045995	52.249341	58.112061	58.459180	64.007304	64.838208	68.207966	66.620615	-59.202303	-233.652579	-478.775774	-773.619792	-1147.065318	-1615.577868	-2207.128811	-2855.523600	-3671.996501	-4656.944599	-5822.440316	-7023.122982	12.544841	21.993700	37.513309	51.600897	46.933874	45.555275	45.508571	44.567237	44.285573	43.052695	44.285035	46.734414	36
4abg_430	-1.450747	-6.686530	-20.901914	-27.401132	-22.265847	-23.338726	-27.893051	-38.885603	-52.306959	-60.132680	-68.012464	-75.055095	-1.046213	2.930723	5.211386	6.470866	16.636529	20.351596	27.313294	30.819288	36.968295	41.871921	45.544249	47.347171	0.473671	0.297234	7.536129	7.167970	2.648920	-1.734419	-3.257304	-0.965897	-0.807609	-3.796879	-6.408556	-5.716250	-5.366030	-3.834612	9.169298	11.980619	14.344586	12.913053	11.739532	11.670377	12.283226	11.522574	10.365866	10.086726	-84.370452	-223.885716	-457.783478	-716.994017	-1036.029187	-1416.695421	-1904.892654	-2536.451699	-3331.423412	-4218.435247	-5253.106301	-6366.863036	4.472223	8.051877	9.308605	10.195710	20.890356	24.625489	30.616186	32.523035	36.790807	39.333909	39.945431	38.759969	-84.198360	-228.272379	-471.942901	-761.158102	-1130.577258	-1562.361229	-2112.483346	-2803.803563	-3658.554873	-4582.067174	-5642.340637	-6772.379782	2.034121	4.933266	17.625165	20.385673	21.923761	20.055435	19.214852	19.367357	20.101959	19.764519	19.072070	19.443977	36
4abg_450	-2.054075	-12.401872	-32.474697	-45.167176	-42.090841	-40.362593	-44.055477	-50.144537	-65.744768	-73.517726	-80.015495	-89.456599	1.855012	3.553935	-1.382742	-7.475593	0.202748	6.617915	13.481345	22.160990	24.424418	31.870601	37.353122	37.425268	-2.245085	-5.219720	-7.522054	-11.859403	-17.049369	-19.351835	-20.148747	-16.943811	-15.434148	-18.652368	-19.733084	-21.048117	-2.902787	-1.171522	2.278874	-0.946151	-0.440106	0.247009	-0.663307	0.866115	2.014894	2.610299	3.346977	1.354264	-64.638769	-221.617602	-431.276286	-691.895440	-991.812031	-1362.959239	-1817.883186	-2428.456997	-3192.623547	-4117.883527	-5148.466925	-6274.616907	3.138656	2.558102	-2.557438	-9.143860	-0.983429	5.474400	11.467984	18.516437	18.960331	23.665897	26.005813	22.951026	-66.574621	-228.249169	-447.034319	-736.197104	-1082.595103	-1506.899383	-2016.774165	-2690.403035	-3506.385154	-4475.784191	-5533.043170	-6677.109119	-0.199605	1.420866	5.076492	1.752525	1.472671	1.828740	1.257005	2.930872	4.173802	4.899813	5.993451	4.532675	36
4abg_465	4.515122	-10.102220	-28.683760	-36.811564	-32.066450	-30.835709	-35.639160	-44.922229	-56.987317	-63.684859	-72.997093	-79.765583	5.614985	4.825581	3.281782	2.178922	11.015501	16.764585	23.135985	26.710898	33.357199	39.715464	42.669909	44.505718	-0.317683	-9.735788	-7.295808	-5.353824	-8.987560	-11.490993	-10.858880	-8.564768	-8.249091	-9.641527	-11.163226	-8.752877	-3.351314	-6.703072	2.247882	5.363908	6.802007	6.828430	7.688499	6.483482	6.539776	5.289084	4.380283	4.916658	-46.984845	-203.636159	-424.201599	-691.069979	-1019.411496	-1414.532636	-1894.635709	-2495.379041	-3282.580354	-4257.187123	-5377.599836	-6562.406511	8.590823	4.799192	2.527605	0.926279	10.352354	16.106077	21.522977	23.687238	28.472769	31.888514	31.295948	29.818695	-52.511692	-216.085578	-445.225007	-744.772996	-1124.850387	-1574.080509	-2107.795498	-2763.771258	-3610.159877	-4632.451149	-5783.266341	-6986.358137	0.812975	-3.394756	5.475924	8.647372	9.431865	9.056545	10.230590	9.348127	9.526463	8.347011	7.653708	8.727760	36
4abg_475	36.617041	40.649030	35.784868	34.883906	43.705348	42.953969	38.047814	31.893207	22.170422	14.729229	8.622225	4.052582	9.825911	16.198014	20.984289	26.132758	37.161269	38.790386	43.757427	46.976543	50.926568	52.710498	55.064929	57.410388	40.338177	56.020135	68.526695	70.962685	69.771005	67.798054	68.543711	72.289692	71.510354	68.865987	67.270895	68.014697	1.192490	11.126672	23.659711	30.217499	32.667171	30.301958	29.085187	28.049745	25.764735	24.483213	24.210150	25.575292	-68.473162	-219.427099	-411.423795	-639.766485	-950.481157	-1376.395037	-1878.768341	-2404.344521	-3040.301159	-3778.673766	-4635.414404	-5547.452170	25.753044	32.216767	36.658875	41.486293	53.178202	54.905194	58.908171	61.245650	64.046616	64.121525	64.184366	64.310833	-66.508571	-216.964098	-413.436682	-668.148643	-1035.335507	-1526.037770	-2089.763316	-2657.464242	-3334.872271	-4097.920089	-4970.919461	-5892.819963	19.430499	31.435690	43.524543	49.937977	51.906545	49.355972	48.500780	48.106344	46.255486	45.618302	46.023349	48.190539	36
