name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4agp_134	28.909407	19.814087	8.153798	-1.727957	-5.734363	-9.086991	-16.051317	-22.776328	-25.156179	-24.938771	-24.973158	-24.585682	24.138755	19.296027	16.870374	19.500876	23.096316	29.324045	32.610541	39.258603	43.422697	48.621348	51.516737	52.314434	32.047839	32.115904	35.738893	39.381920	41.682469	46.779890	50.025013	52.606420	56.626900	62.410689	67.237666	71.350248	24.020540	22.997845	26.802934	30.664525	32.495638	35.105232	32.766462	30.511728	27.867575	26.244964	22.395689	17.768452	-74.248249	-271.109195	-535.390096	-875.711400	-1299.680638	-1799.556993	-2352.415198	-3009.695113	-3622.172079	-4228.680411	-4802.076097	-5324.225692	26.997466	21.561405	20.887115	26.053959	32.588644	41.439355	46.128164	54.501399	59.411481	65.022883	68.060978	68.816671	-68.554549	-267.795268	-550.445883	-940.217369	-1424.605720	-1993.263160	-2606.780485	-3328.139511	-3971.468697	-4587.557621	-5156.426580	-5669.788212	27.866689	26.909582	30.680229	34.288085	34.641141	36.095432	32.968166	30.238996	26.987049	25.394212	21.887693	17.592112	63
4agp_202	13.181114	-3.411556	-17.635770	-25.243671	-28.145064	-31.534856	-38.103779	-46.237441	-51.590826	-54.364244	-55.682532	-56.890001	7.508157	3.513291	1.639202	7.627041	11.859265	18.473304	22.266517	22.434435	21.061373	20.719600	17.857815	13.784692	15.405122	6.012952	3.211784	3.802813	3.863130	7.233955	8.994180	9.993586	12.558841	17.057941	21.819281	26.952104	6.244219	1.583410	-1.186012	-1.957352	-3.177309	-3.532399	-9.594365	-17.690720	-23.985577	-28.800542	-35.323797	-40.784344	-97.648537	-402.342282	-763.972000	-1183.951080	-1666.221669	-2243.917628	-2879.309373	-3536.365425	-4163.187698	-4768.331974	-5286.434449	-5765.534619	13.437381	7.746473	7.729162	16.044584	22.634694	31.811459	37.047045	38.160816	37.148943	36.908382	33.843963	29.495999	-90.473570	-405.835390	-799.876563	-1283.392025	-1833.304985	-2491.959242	-3199.513905	-3910.683048	-4562.872033	-5169.800347	-5670.591169	-6131.801575	13.364639	8.151804	4.712875	2.681261	-1.419131	-3.583564	-10.658535	-19.621650	-26.715038	-31.529311	-37.612643	-42.681469	63
4agp_208	10.005434	-2.268353	-12.126425	-15.445120	-18.442168	-20.553172	-29.338012	-38.261545	-45.639845	-49.522488	-50.206628	-49.743078	6.626702	4.332103	6.248885	14.060919	18.280398	26.925891	31.730830	32.832171	30.484768	27.679090	25.095257	21.379687	13.049128	9.416390	10.447639	13.473501	14.575282	18.111911	19.534941	20.842398	23.647667	28.255006	33.559421	39.155541	6.024392	4.018131	4.399713	4.737280	4.372159	4.432980	-0.496889	-7.812827	-13.822822	-19.477912	-25.980674	-31.697095	-139.336447	-436.668103	-791.854695	-1188.670661	-1673.244176	-2259.362330	-2944.445630	-3645.090095	-4312.959301	-4913.017808	-5441.375329	-5901.300050	9.760721	6.545502	10.219606	19.622398	26.384993	37.948882	44.769918	47.052369	45.209902	42.382436	39.563576	35.474330	-133.186859	-438.929341	-826.697963	-1278.397909	-1831.427460	-2505.401505	-3274.776630	-4034.627699	-4729.643502	-5325.853828	-5835.602514	-6274.978595	10.616061	8.676959	8.175103	6.597330	3.540739	2.023108	-3.725621	-11.872184	-18.677405	-24.317042	-30.368710	-35.661808	63
4agp_223	51.688680	40.242219	28.059976	22.579582	23.919023	24.455511	17.952049	8.926260	1.781881	-3.825056	-6.407522	-6.468729	40.647384	33.282459	32.043155	39.384571	47.176752	56.094979	59.430012	61.281801	60.066427	56.869960	54.700610	49.924148	56.669989	52.104236	51.671804	53.219736	56.853874	60.861348	63.134989	64.068076	66.310177	69.860106	74.338560	79.676996	39.815721	32.213120	30.886358	30.811060	33.013404	32.808213	27.411245	20.844066	15.139021	9.335890	3.246554	-2.642818	-87.329669	-351.434762	-698.706857	-1107.744340	-1575.309331	-2113.952625	-2726.598028	-3409.919773	-4070.765329	-4680.678613	-5246.863985	-5680.041867	53.661914	46.020022	46.446105	56.058905	65.909315	76.831903	81.554903	84.751503	84.182934	81.114786	78.896924	73.708400	-71.631328	-342.905357	-720.557449	-1192.726788	-1725.920973	-2343.369276	-3028.780896	-3775.297021	-4467.300580	-5077.911587	-5631.874554	-6042.936055	54.475984	47.299673	45.099033	43.737465	42.870878	40.569472	34.184252	26.899945	20.471302	14.681228	9.000417	3.535802	63
4agp_23	20.668732	14.483320	9.291572	3.627138	2.667867	1.831989	-3.704583	-8.551015	-14.051102	-20.871803	-29.450674	-39.700532	15.699737	12.633096	13.153968	13.795374	17.279021	21.928201	24.737058	29.786965	34.690958	37.469704	39.833209	39.508071	22.813471	20.923409	22.181537	21.466979	22.461590	24.717596	25.106224	25.572880	26.428072	27.180946	27.914442	29.137571	15.010244	11.779041	12.202609	10.223047	10.560007	10.698030	7.989482	5.514961	4.026392	1.655334	-0.986669	-3.501904	-51.995164	-210.006344	-393.683032	-618.617296	-891.974541	-1211.756938	-1603.015654	-2065.832107	-2610.088207	-3192.237770	-3844.903709	-4525.287464	25.050515	21.583634	23.268036	24.850301	30.071422	36.115627	40.156059	46.501636	52.763099	56.413287	59.543828	59.871689	-43.494236	-206.488497	-407.020785	-661.944658	-977.486264	-1343.888599	-1785.808028	-2297.761615	-2883.266252	-3487.658911	-4155.496856	-4844.104013	25.223071	22.107287	22.209430	19.228858	18.320823	17.417917	14.283967	11.520716	9.801240	7.424904	4.916599	2.541385	63
4agp_251	12.445241	5.903665	-8.412675	-17.999463	-16.564962	-20.516861	-28.006583	-38.319137	-44.471646	-44.702091	-43.897323	-43.413362	10.817642	13.879575	11.849036	14.893364	24.157531	31.007196	35.494493	32.827220	29.195241	28.653215	25.477352	20.365309	16.631771	17.114726	15.618490	16.330002	20.549977	24.096836	26.677558	27.810731	30.936685	36.345560	42.317202	48.015277	10.755513	11.523892	8.890359	6.474352	9.141902	8.505316	2.750329	-6.750956	-14.011749	-19.789263	-26.727633	-33.058484	-150.796797	-471.164744	-859.581692	-1313.119536	-1838.761177	-2473.723090	-3181.665864	-3883.363647	-4532.088349	-5119.193546	-5612.965339	-6050.016947	12.994874	15.578795	15.581084	20.822729	32.838699	42.493512	48.716054	46.848155	43.333883	42.614511	39.046240	33.458451	-144.327556	-478.987901	-900.583253	-1416.250350	-2019.318273	-2742.873778	-3531.636896	-4285.494592	-4955.248041	-5537.812819	-6008.740083	-6422.541216	14.547130	15.978525	12.407650	8.271386	7.912217	5.285152	-1.515520	-12.046650	-20.260617	-26.031492	-32.466920	-38.346787	63
4agp_253	18.562358	6.444183	-0.581925	-1.693067	-3.853605	-7.481278	-14.702334	-24.314334	-31.999400	-35.640376	-37.893237	-38.052153	14.934646	11.684287	14.699953	24.191880	29.407706	36.286632	41.473841	42.146584	39.433316	38.568169	34.930688	31.615490	22.157780	18.797481	21.154536	25.589613	26.807883	29.454116	31.222523	31.594553	34.161799	38.152200	42.721494	47.947436	14.656301	12.125671	13.072229	14.769900	14.754419	14.244563	9.629855	2.053852	-3.727094	-8.959124	-15.615306	-21.106711	-125.000427	-410.919018	-736.218254	-1113.525245	-1581.774048	-2147.995646	-2796.870724	-3480.340804	-4124.841142	-4741.340967	-5263.550310	-5736.046422	18.071156	14.177558	18.718633	29.903827	37.850529	47.445918	54.421833	56.325286	54.094362	53.392647	49.560624	45.949988	-118.546340	-412.980994	-767.404926	-1199.800196	-1738.297327	-2387.799920	-3114.718569	-3856.557750	-4526.533204	-5145.428503	-5649.277328	-6103.666930	19.250461	17.016151	16.906223	16.947819	14.586173	12.466283	6.996979	-1.348104	-7.899481	-13.109993	-19.326713	-24.419856	63
4agp_260	92.609459	87.855215	70.294849	58.752400	57.822387	56.330502	50.366767	44.374215	41.022905	43.782079	44.606015	48.080636	74.571472	72.844970	69.490213	69.586122	77.431784	85.503555	88.549637	88.105129	86.967688	86.357093	81.589534	76.662529	99.319262	101.531901	100.039980	100.768932	105.707631	111.203617	114.639294	117.985081	122.058226	129.203602	135.533509	142.419022	73.942863	70.036402	67.565760	63.712617	66.782471	66.649676	59.195532	50.135754	43.214774	37.542166	30.048755	23.711646	-82.403548	-406.771425	-857.390231	-1336.279418	-1925.137372	-2587.246083	-3296.540979	-3994.354973	-4660.322132	-5204.571422	-5678.459318	-6054.422714	88.353220	86.199641	85.150191	87.035372	98.239186	108.664313	112.888891	112.957146	111.912493	110.828869	105.547507	99.947819	-66.425987	-402.204001	-891.672392	-1431.181691	-2105.931554	-2858.269707	-3647.311731	-4398.017470	-5089.443209	-5622.796729	-6070.019901	-6418.279882	89.636796	86.318700	82.983836	76.642032	76.628022	73.862992	65.006992	54.769338	46.857665	41.199940	34.243574	28.405434	63
4agp_261	20.449266	6.987242	-2.972209	-9.999745	-9.923582	-13.810662	-22.007390	-31.763497	-38.343476	-40.419022	-41.177156	-41.536054	15.121495	10.340735	12.114224	16.907635	23.563401	30.161671	33.770894	33.877084	32.231899	30.742375	27.924660	22.762972	24.444566	19.290969	20.835705	21.999743	24.660333	27.972799	29.486980	30.381779	33.060939	38.031951	43.380873	49.026952	14.639463	9.575266	9.856683	8.112018	8.967773	8.442212	2.445047	-5.548299	-11.857670	-17.424738	-24.014981	-30.055206	-142.548063	-453.280084	-831.527993	-1253.130875	-1739.114808	-2336.102747	-3007.623313	-3714.715833	-4389.318585	-4983.502979	-5512.749328	-5966.085099	18.809832	13.129469	16.319558	22.869378	31.716719	41.080548	46.361901	47.629930	46.473604	44.899187	41.837960	36.267108	-135.829905	-454.548600	-865.578451	-1346.124502	-1900.899217	-2584.812073	-3335.547226	-4102.017852	-4805.774171	-5396.763159	-5907.061632	-6338.130395	19.926512	14.933422	13.856574	10.158430	7.844898	5.520015	-1.470707	-10.323005	-17.449911	-23.012691	-29.138132	-34.744862	63
4agp_266	84.893151	78.879600	65.136062	58.791800	52.495644	49.714067	44.366608	41.009498	35.294787	33.765338	33.918076	36.362028	59.292733	55.625317	52.349288	57.765400	56.778835	61.604939	67.573145	70.541918	69.199029	68.233268	65.381639	61.425771	91.862056	93.248451	92.437420	95.572645	95.429458	99.781252	103.388522	106.267359	109.150430	114.599655	120.539284	126.738521	58.100435	53.330241	49.399804	48.514223	45.889475	44.648209	39.983205	32.051919	25.621239	20.403976	13.968375	7.993546	-87.512766	-409.463572	-815.513214	-1271.018788	-1780.166111	-2362.230629	-3042.056204	-3702.873397	-4370.450269	-4970.802077	-5482.498868	-5891.843556	75.723668	71.451466	69.818990	77.256800	77.815192	84.530746	92.171035	95.801397	94.896048	93.870085	90.706435	86.221499	-70.331904	-401.596151	-839.788832	-1358.880009	-1931.622664	-2592.964893	-3359.775148	-4076.445669	-4775.290496	-5374.662284	-5866.741770	-6252.749950	76.443554	72.042685	66.644371	63.715189	57.020055	53.275746	47.571565	38.607995	31.340795	26.133475	20.171410	14.654297	63
