name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4agq_114	1.746527	7.568926	-8.482669	1.083580	29.950801	45.347104	65.184662	74.808139	78.023620	86.700517	96.903343	98.027752	5.806267	8.669303	-1.994077	2.918082	20.998329	32.154183	47.161958	53.671449	58.183262	67.474430	76.496460	80.710987	2.371388	4.100963	-3.122000	-3.334023	-10.269854	-16.011406	-16.057359	-19.565959	-20.101296	-20.220069	-20.912448	-14.431565	0.966023	-1.311649	-7.426567	-5.441284	-0.481321	-1.759872	1.375140	1.840212	-1.007988	-2.120669	2.167051	5.060479	-111.868289	-337.655102	-717.493405	-1166.164518	-1704.355320	-2346.350199	-3081.858294	-3882.506951	-4806.018096	-5825.379820	-6839.051782	-7957.157188	9.728803	10.263312	-4.385693	2.098467	25.734124	39.903287	56.463322	64.084610	69.460096	79.017455	88.087941	92.401854	-112.008878	-348.017395	-752.895887	-1268.209516	-1899.768275	-2636.703977	-3458.699478	-4323.769567	-5303.196813	-6358.071050	-7378.396962	-8501.935830	7.182666	6.207877	-0.947065	0.451149	2.551926	-0.966149	1.243522	1.086247	-1.878485	-2.424039	2.688391	6.225534	64
4agq_121	-5.532936	-6.184132	-8.913546	-1.180198	15.294463	28.517698	37.312012	48.594746	59.948167	68.444871	78.167554	80.834448	3.441613	2.747063	3.224038	10.841734	20.577577	30.271961	36.278852	39.826407	52.157111	61.753038	68.260414	74.463664	-3.648589	-3.988597	-2.313592	-4.817341	-16.077828	-22.849405	-30.083695	-32.178621	-27.575863	-26.854074	-27.957017	-21.406622	0.697438	-1.331982	-0.101265	3.101381	2.510129	-0.082013	-2.942264	-4.688206	-1.200052	-0.704802	0.236160	4.571956	-109.182399	-343.240350	-652.366028	-1000.686707	-1411.214144	-1925.254158	-2525.942084	-3278.844141	-4103.923917	-4993.712202	-5948.072743	-6936.127819	3.819052	-0.472977	-2.430751	6.160920	19.094879	31.250918	38.533055	43.524166	56.781720	66.610599	73.176844	79.454276	-108.758744	-348.645550	-682.103536	-1080.182059	-1559.885980	-2155.927726	-2826.311804	-3650.942074	-4533.721332	-5455.922919	-6424.026843	-7418.217927	3.151973	1.120448	2.184063	4.009330	-0.335153	-4.696342	-8.291567	-10.368505	-6.940334	-5.999495	-4.471994	0.388153	64
4agq_151	6.819296	10.516522	7.285391	17.859037	34.589807	48.703822	62.243116	69.912314	71.858081	86.014528	93.158456	94.316125	11.264462	12.610205	14.505896	24.874066	37.239518	46.765770	54.463009	56.679097	60.774912	74.543867	77.657882	80.865073	5.132974	6.039492	12.442347	13.260531	1.656365	-4.170350	-7.085765	-11.659004	-13.070802	-9.069812	-14.164846	-7.828877	3.957394	0.842461	8.178810	14.237668	17.029786	13.980556	12.145357	9.985325	7.735816	10.879425	8.285263	10.936105	-102.463337	-389.340407	-729.353067	-1096.348624	-1513.588442	-2048.713568	-2670.363902	-3423.048371	-4224.612718	-5190.241201	-6199.889144	-7244.660505	17.356289	13.100106	13.210180	24.567703	39.405746	51.392166	60.318459	63.868576	68.735836	82.816120	85.995239	89.290476	-105.056709	-403.835654	-762.996863	-1179.067140	-1662.587102	-2283.163132	-2980.245542	-3802.551938	-4654.174056	-5661.948492	-6688.144729	-7739.395377	12.281325	8.227893	15.940413	20.067877	17.741621	12.681705	9.976980	7.422231	5.100132	8.637935	6.622995	9.808561	64
4agq_158	11.049706	28.064812	33.637159	46.441217	63.136383	77.118848	101.847951	110.325677	118.504797	125.859585	134.527836	137.071511	9.863957	25.327539	33.804505	45.722938	54.598144	65.853366	84.716645	87.925502	97.423916	105.479548	111.642271	116.379860	6.829635	20.814537	40.351802	44.306579	30.083844	27.511314	31.863247	28.892649	32.502425	33.674115	30.805095	39.426712	-0.669216	10.274882	28.548524	37.993004	35.707585	37.618892	45.595886	45.466357	47.503601	47.644663	48.320713	52.482104	-107.408373	-354.410129	-693.312496	-1078.597461	-1539.364729	-2082.110089	-2775.791942	-3553.669857	-4429.171660	-5352.636151	-6382.159539	-7382.153440	19.366491	30.838155	36.920827	49.946914	62.365227	75.792674	96.529315	101.016561	111.431644	119.729964	125.958587	130.764451	-112.465896	-368.301770	-725.314911	-1162.421997	-1699.456976	-2320.462511	-3107.155749	-3952.184832	-4884.602744	-5836.662205	-6881.158076	-7881.970663	11.282432	22.280370	40.708864	48.525087	41.941193	41.414281	48.848549	48.250662	50.217339	50.933522	52.245122	57.051958	64
4agq_204	4.130052	4.088000	-5.338046	8.406435	25.715901	37.166315	48.389250	55.965695	64.295561	73.457978	83.412561	86.401114	4.343705	2.076196	-1.759070	12.523884	26.513707	34.819749	41.405061	44.475369	53.981786	63.569584	69.772518	75.284954	6.914943	5.920495	3.801333	6.009674	-8.231648	-16.224625	-22.965503	-29.040700	-24.951842	-22.720964	-25.088562	-16.913628	1.347440	-3.368941	-4.489420	4.421666	6.284129	2.508275	-0.694213	-3.701711	-1.371281	-0.053309	0.168108	4.702995	-88.110768	-384.044616	-762.520595	-1154.757284	-1596.926359	-2141.537174	-2796.310179	-3544.195640	-4375.991064	-5290.730259	-6308.881259	-7320.745520	10.565125	1.087559	-5.640885	9.337377	25.913906	36.494896	44.475182	48.710718	59.020812	68.836325	75.123264	80.731931	-85.393068	-391.177818	-796.023505	-1242.503841	-1755.996017	-2383.285095	-3118.208009	-3933.576143	-4818.880581	-5765.245754	-6800.423479	-7816.384106	9.490950	2.327079	1.058485	7.703737	4.152671	-1.965767	-5.987410	-9.499821	-7.269756	-5.451381	-4.620152	0.523912	64
4agq_205	11.195854	18.713071	6.399830	15.714463	30.364965	51.411938	63.138409	72.279577	79.504230	90.490281	98.829451	100.373122	10.548480	16.783786	9.399599	16.861908	26.712000	42.774473	49.850104	54.018085	62.990002	74.961166	79.901043	83.935204	10.825233	13.981245	9.991906	10.382961	-1.968910	-1.006845	-5.548371	-8.788678	-6.321555	-4.120523	-7.109012	-0.447480	4.457110	4.981623	1.785340	6.087833	7.160017	11.312299	9.897502	8.849739	10.149002	12.186677	11.639971	14.971567	-86.378492	-337.237729	-666.511851	-1036.863980	-1457.616805	-1991.307184	-2631.140545	-3351.238203	-4153.338614	-5045.443001	-6016.611712	-7014.169544	17.893620	19.467267	9.747496	17.964982	30.753646	49.671671	58.253287	63.570770	73.370454	85.562146	90.557055	94.684187	-86.723772	-348.748080	-696.716542	-1119.565727	-1607.354358	-2227.216851	-2944.715546	-3728.609175	-4582.960519	-5508.358311	-6494.530696	-7496.994907	13.848346	13.780405	10.392554	13.078474	9.784539	12.365924	10.295718	8.783967	10.028651	12.514906	12.549259	16.435288	64
4agq_217	17.275777	17.861114	15.769195	29.287121	56.886216	75.361667	85.218376	93.564490	101.063686	104.711855	113.456824	112.095229	16.956949	12.514546	15.275833	30.142838	46.397780	59.246503	65.617263	70.617304	80.041292	85.011936	90.721916	91.470366	13.715490	13.369597	22.526396	29.344029	22.416851	20.677660	15.823066	11.879163	13.517595	12.726774	11.039076	18.073986	7.234363	0.746197	10.279232	24.579737	26.917766	28.115381	28.136149	28.233300	28.157531	26.128243	26.810373	29.507583	-90.932286	-351.700112	-718.733912	-1105.701604	-1585.749059	-2178.179338	-2879.061861	-3649.372213	-4481.949754	-5330.785584	-6267.374306	-7216.206183	24.654386	16.417563	15.769109	31.029678	51.842194	67.694301	75.647029	81.800867	91.973049	97.122658	102.869419	103.691636	-94.907947	-363.361484	-752.729386	-1187.548083	-1754.208432	-2437.490135	-3218.875085	-4054.060464	-4938.713167	-5807.211997	-6751.847500	-7697.435064	17.163904	10.996476	19.936228	31.780218	30.785982	30.100473	29.347249	28.900077	28.737371	27.396106	28.813121	32.187699	64
4agq_219	33.759675	42.427262	37.622467	48.054615	61.508247	70.779941	86.758962	99.827430	106.472667	113.119606	124.167965	126.755519	29.336929	31.427418	30.148623	38.440362	49.654396	57.331698	67.811457	76.477308	82.845423	88.686445	94.869906	99.779862	29.457099	40.418277	47.251475	48.785648	32.809309	25.615643	25.368647	26.978166	26.046118	25.211321	22.770006	28.065752	15.821496	19.221306	25.605969	31.630739	32.948873	31.074506	33.694113	37.941471	35.044582	32.742407	32.537559	34.648594	-89.021842	-346.366505	-722.197592	-1115.964404	-1558.403929	-2071.264889	-2721.020331	-3439.479145	-4330.033036	-5334.635169	-6441.476764	-7595.999172	42.541692	41.878761	37.680050	47.546714	60.951127	70.320810	82.319991	92.074799	99.452874	105.581349	111.839645	116.863734	-93.126884	-352.908634	-750.765486	-1198.038543	-1707.029685	-2291.588102	-3024.534143	-3807.330029	-4763.847140	-5809.455212	-6940.323916	-8108.691727	31.692384	36.420568	42.740015	47.327404	42.703040	38.022449	39.933633	43.664924	40.687796	38.765678	39.057912	41.663016	64
4agq_221	-3.722690	1.751829	-2.430054	5.233349	16.856297	31.227398	46.562832	56.664709	69.379089	76.773197	89.242675	92.964720	-1.771859	-0.446199	1.070673	9.085356	15.579561	26.281074	35.660822	39.601750	53.036613	60.764939	69.949101	75.790611	-2.420528	-1.708074	2.229287	0.577941	-16.583431	-21.931784	-23.306619	-26.097528	-18.691684	-18.198137	-18.578924	-11.531949	-5.912164	-10.853334	-5.670640	-1.620329	-5.009349	-6.647936	-6.073007	-7.142274	-1.418627	-1.812758	0.856854	4.065329	-106.642951	-387.519193	-711.527200	-1065.459765	-1501.505505	-2024.298155	-2675.466004	-3430.459111	-4282.233701	-5201.040552	-6217.718091	-7248.334642	6.066746	1.852537	1.873839	10.330088	20.371441	33.528858	44.581046	49.880800	64.264730	72.248365	81.501484	87.425271	-105.987664	-400.154263	-743.991343	-1143.803337	-1650.435096	-2256.227950	-2989.871740	-3814.993097	-4724.937486	-5675.386237	-6710.136406	-7747.914522	4.034539	-1.891027	3.830745	5.495370	-1.650045	-5.222649	-5.203554	-6.646163	-0.980960	-0.880843	2.359320	6.121099	64
4agq_228	-1.108640	-6.051382	-9.800186	2.764815	24.302510	40.748809	56.036493	61.838211	70.730464	77.844839	89.165085	92.150083	7.049544	2.018552	1.419998	14.340417	30.924376	41.605815	51.326650	52.663290	62.745038	69.923189	77.266111	82.109507	-3.643080	-9.752151	-3.838126	-1.672045	-10.378282	-12.490654	-13.736029	-20.448017	-16.363344	-18.204419	-18.712489	-11.326156	-1.191487	-9.314826	-4.616288	3.670582	9.384696	9.090307	10.073348	6.902625	9.469163	6.542185	8.399821	11.698799	-117.952221	-405.713078	-758.283375	-1134.076890	-1564.531371	-2115.108001	-2767.471232	-3536.665715	-4392.023708	-5329.669303	-6344.771038	-7401.084883	9.863782	-0.186965	-3.262898	9.978062	29.533493	42.876559	54.015703	56.667569	67.634147	75.048895	82.449574	87.383957	-122.046552	-418.450395	-791.585775	-1217.288247	-1719.341779	-2355.913558	-3087.542520	-3926.093501	-4838.606923	-5810.884677	-6841.293074	-7904.782964	3.978861	-4.772424	-0.175366	5.527800	6.503062	4.275093	4.458359	0.858261	3.340561	0.896970	3.365245	7.224550	64
